sequence,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThB/nBaoB5?oBUqBFrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThBxiB0nB6?tBFqBXrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThBynB5oB0?nBFqBXrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeXBJvhFiiB5oBcrBz?nBFqBGqB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeXBJvhFiiB5oBcrBz?nBGqBFqB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFxiBTmB0nB6?tBFqBXrB
OJIZTLS,O,X,X,X,O,X
OJIZTSL,O,X,X,X,O,X
OJIZLTS,X,X,X,X,O,X
OJIZLST,X,X,X,O,O,X
OJIZSTL,O,X,X,X,O,X
OJIZSLT,O,X,X,O,O,X
OJLTISZ,X,X,O,X,X,X
OJLTIZS,X,X,X,O,O,O
OJLTSIZ,X,X,O,X,X,X
OJLTSZI,X,X,O,X,X,O
OJLTZIS,X,O,X,O,O,O
OJLTZSI,X,O,X,O,O,O
OJLITSZ,X,X,O,X,X,X
OJLITZS,X,X,X,O,O,X
OJLISTZ,X,O,O,X,X,X
OJLISZT,X,O,O,X,O,X
OJLIZTS,X,X,X,X,O,X
OJLIZST,X,X,X,O,O,X
OJLSTIZ,X,O,O,X,X,X
OJLSTZI,X,O,X,X,X,X
OJLSITZ,X,O,O,X,X,X
OJLSIZT,X,O,O,X,O,X
OJLSZTI,X,O,X,X,O,X
OJLSZIT,X,O,O,X,O,X
OJLZTIS,X,O,X,X,O,O
OJLZTSI,X,O,X,X,O,O
OJLZITS,X,O,X,X,O,O
OJLZIST,X,O,X,O,O,X
OJLZSTI,X,O,X,X,O,X
OJLZSIT,X,O,X,O,O,X
OJSTILZ,O,X,O,X,X,X
OJSTIZL,O,X,X,X,X,X
OJSTLIZ,O,O,O,X,X,X
OJSTLZI,O,O,X,X,X,X
OJSTZIL,O,O,X,X,X,X
OJSTZLI,O,O,X,X,X,X
OJSITLZ,O,X,O,X,X,X
OJSITZL,O,X,X,X,X,X
OJSILTZ,O,O,O,X,X,X
OJSILZT,O,O,O,X,O,X
OJSIZTL,O,O,X,X,O,X
OJSIZLT,O,O,O,X,O,X
OJSLTIZ,O,O,O,X,X,X
OJSLTZI,O,O,X,X,X,X
OJSLITZ,O,O,O,X,X,X
OJSLIZT,O,O,O,X,O,X
OJSLZTI,O,O,X,X,O,X
OJSLZIT,O,O,O,X,O,X
OJSZTIL,O,O,X,X,O,X
OJSZTLI,O,O,X,X,O,X
OJSZITL,O,O,X,X,O,X
OJSZILT,O,O,O,X,O,X
OJSZLTI,O,O,X,X,O,X
OJSZLIT,O,O,O,X,O,X
OJZTILS,O,X,X,X,O,O
OJZTISL,O,O,X,X,O,X
OJZTLIS,O,O,X,X,O,O
OJZTLSI,O,O,X,X,O,O
OJZTSIL,O,O,X,X,O,X
OJZTSLI,O,O,X,X,O,O
OJZITLS,O,X,X,X,O,X
OJZITSL,O,O,X,X,O,X
OJZILTS,X,X,X,X,O,X
OJZILST,X,X,X,O,O,X
OJZISTL,O,O,X,X,O,X
OJZISLT,O,O,X,O,O,X
OJZLTIS,X,O,X,X,O,O
OJZLTSI,X,O,X,X,O,O
OJZLITS,X,O,X,X,O,O
OJZLIST,X,O,X,O,O,X
OJZLSTI,X,O,X,X,O,X
OJZLSIT,X,O,X,O,O,X
OJZSTIL,O,O,X,X,O,X
OJZSTLI,O,O,X,X,O,X
OJZSITL,O,O,X,X,O,X
OJZSILT,O,O,X,O,O,X
OJZSLTI,O,O,X,X,O,X
OJZSLIT,O,O,X,O,O,X
OSTILJZ,O,X,O,X,X,X
OSTILZJ,O,X,X,O,X,X
OSTIJLZ,O,X,O,X,X,X
OSTIJZL,O,X,X,X,X,X
OSTIZLJ,O,X,X,O,X,X
OSTIZJL,O,X,X,O,X,X
OSTLIJZ,O,O,O,X,X,X
OSTLIZJ,O,X,X,O,X,X
OSTLJIZ,O,O,O,X,X,X
OSTLJZI,O,O,X,X,X,X
OSTLZIJ,O,O,X,O,X,X
OSTLZJI,O,O,X,O,X,X
OSTJILZ,O,X,O,X,X,X
OSTJIZL,O,X,X,X,X,X
OSTJLIZ,O,O,O,X,X,X
OSTJLZI,O,O,X,X,X,X
OSTJZIL,O,O,X,X,X,X
OSTJZLI,O,O,X,X,X,X
OSTZILJ,O,X,X,O,X,X
OSTZIJL,O,O,X,O,X,X
OSTZLIJ,O,O,X,O,X,X
OSTZLJI,O,O,X,O,X,X
OSTZJIL,O,O,X,O,X,X
OSTZJLI,O,O,X,O,X,X
OSITLJZ,O,X,O,X,X,X
OSITLZJ,O,X,X,O,X,X
OSITJLZ,O,X,O,X,X,X
OSITJZL,O,X,X,X,X,X
OSITZLJ,O,X,X,O,X,X
OSITZJL,O,X,X,O,X,X
OSILTJZ,O,O,O,X,X,X
OSILTZJ,O,X,X,O,X,X
OSILJTZ,O,O,O,X,X,X
OSILJZT,O,O,O,X,O,X
OSILZTJ,O,O,X,O,O,X
OSILZJT,O,O,O,O,O,X
OSIJTLZ,O,X,O,X,X,X
OSIJTZL,O,X,X,X,X,X
OSIJLTZ,O,O,O,X,X,X
OSIJLZT,O,O,O,X,O,X
OSIJZTL,O,O,X,X,O,X
OSIJZLT,O,O,O,X,O,X
OSIZTLJ,O,X,X,O,O,X
OSIZTJL,O,O,X,X,X,X
OSIZLTJ,O,O,X,O,O,X
OSIZLJT,O,O,O,O,O,X
OSIZJTL,O,O,X,X,O,X
OSIZJLT,O,O,O,O,O,X
OSLTIJZ,O,O,O,X,X,X
OSLTIZJ,O,X,X,O,X,X
OSLTJIZ,O,O,O,X,X,X
OSLTJZI,O,O,X,X,X,X
OSLTZIJ,O,O,X,O,X,X
OSLTZJI,O,O,X,O,X,X
OSLITJZ,O,O,O,X,X,X
OSLITZJ,O,X,X,O,X,X
OSLIJTZ,O,O,O,X,X,X
OSLIJZT,O,O,O,X,O,X
OSLIZTJ,O,O,X,O,O,X
OSLIZJT,O,O,O,O,O,X
OSLJTIZ,O,O,O,X,X,X
OSLJTZI,O,O,X,X,X,X
OSLJITZ,O,O,O,X,X,X
OSLJIZT,O,O,O,X,O,X
OSLJZTI,O,O,X,X,O,X
OSLJZIT,O,O,O,X,O,X
OSLZTIJ,O,O,X,O,O,X
OSLZTJI,O,O,X,X,X,X
OSLZITJ,O,O,X,O,O,X
OSLZIJT,O,O,O,O,O,X
OSLZJTI,O,O,X,X,O,X
OSLZJIT,O,O,O,O,O,X
OSJTILZ,O,X,O,X,X,X
OSJTIZL,O,X,X,X,X,X
OSJTLIZ,O,O,O,X,X,X
OSJTLZI,O,O,X,X,X,X
OSJTZIL,O,O,X,X,X,X
OSJTZLI,O,O,X,X,X,X
OSJITLZ,O,X,O,X,X,X
OSJITZL,O,X,X,X,X,X
OSJILTZ,O,O,O,X,X,X
OSJILZT,O,O,O,X,O,X
OSJIZTL,O,O,X,X,O,X
OSJIZLT,O,O,O,X,O,X
OSJLTIZ,O,O,O,X,X,X
OSJLTZI,O,O,X,X,X,X
OSJLITZ,O,O,O,X,X,X
OSJLIZT,O,O,O,X,O,X
OSJLZTI,O,O,X,X,O,X
OSJLZIT,O,O,O,X,O,X
OSJZTIL,O,O,X,X,O,X
OSJZTLI,O,O,X,X,O,X
OSJZITL,O,O,X,X,O,X
OSJZILT,O,O,O,X,O,X
OSJZLTI,O,O,X,X,O,X
OSJZLIT,O,O,O,X,O,X
OSZTILJ,O,X,X,O,O,X
OSZTIJL,O,O,X,X,X,X
OSZTLIJ,O,O,X,O,O,X
OSZTLJI,O,O,X,X,X,X
OSZTJIL,O,O,X,X,X,X
OSZTJLI,O,O,X,X,X,X
OSZITLJ,O,X,X,O,O,X
OSZITJL,O,O,X,X,X,X
OSZILTJ,O,O,X,O,O,X
OSZILJT,O,O,O,O,O,X
OSZIJTL,O,O,X,X,O,X
OSZIJLT,O,O,O,O,O,X
OSZLTIJ,O,O,X,O,O,X
OSZLTJI,O,O,X,X,X,X
OSZLITJ,O,O,X,O,O,X
OSZLIJT,O,O,O,O,O,X
OSZLJTI,O,O,X,X,O,X
OSZLJIT,O,O,O,O,O,X
OSZJTIL,O,O,X,X,O,X
OSZJTLI,O,O,X,X,O,X
OSZJITL,O,O,X,X,O,X
OSZJILT,O,O,O,O,O,X
OSZJLTI,O,O,X,X,O,X
OSZJLIT,O,O,O,O,O,X
OZTILJS,O,X,X,O,O,O
OZTILSJ,O,X,X,O,O,O
OZTIJLS,O,X,X,O,O,O
OZTIJSL,O,O,X,O,O,X
OZTISLJ,O,O,X,O,O,X
OZTISJL,O,O,X,O,X,X
OZTLIJS,O,O,X,O,O,O
OZTLISJ,O,O,X,O,O,O
OZTLJIS,O,O,X,O,O,O
OZTLJSI,O,O,X,O,O,O
OZTLSIJ,O,O,X,O,O,O
OZTLSJI,O,O,X,O,X,O
OZTJILS,O,X,X,O,O,O
OZTJISL,O,O,X,O,O,X
OZTJLIS,O,O,X,O,O,O
OZTJLSI,O,O,X,O,O,O
OZTJSIL,O,O,X,O,O,X
OZTJSLI,O,O,X,O,O,O
OZTSILJ,O,O,X,O,O,X
OZTSIJL,O,O,X,O,X,X
OZTSLIJ,O,O,X,O,O,O
OZTSLJI,O,O,X,O,X,O
OZTSJIL,O,O,X,O,X,X
OZTSJLI,O,O,X,O,X,O
OZITLJS,O,X,X,O,O,X
OZITLSJ,O,X,X,O,O,X
OZITJLS,O,X,X,O,O,X
OZITJSL,O,O,X,O,O,X
OZITSLJ,O,O,X,O,O,X
OZITSJL,O,O,X,O,X,X
OZILTJS,X,X,X,O,O,X
OZILTSJ,X,X,X,O,O,X
OZILJTS,X,X,X,X,O,X
OZILJST,X,X,X,O,O,X
OZILSTJ,X,X,X,O,O,X
OZILSJT,X,X,X,O,O,X
OZIJTLS,O,X,X,X,O,X
OZIJTSL,O,O,X,X,O,X
OZIJLTS,X,X,X,X,O,X
OZIJLST,X,X,X,O,O,X
OZIJSTL,O,O,X,X,O,X
OZIJSLT,O,O,X,O,O,X
OZISTLJ,O,X,X,O,O,X
OZISTJL,O,O,X,X,X,X
OZISLTJ,O,X,X,O,O,X
OZISLJT,O,O,X,O,O,X
OZISJTL,O,O,X,X,O,X
OZISJLT,O,O,X,O,O,X
OZLTIJS,X,O,X,O,O,O
OZLTISJ,X,O,X,O,O,O
OZLTJIS,X,O,X,O,O,O
OZLTJSI,X,O,X,O,O,O
OZLTSIJ,X,O,X,O,O,O
OZLTSJI,X,O,X,O,X,O
OZLITJS,X,O,X,O,O,O
OZLITSJ,X,O,X,O,O,O
OZLIJTS,X,O,X,X,O,O
OZLIJST,X,O,X,O,O,X
OZLISTJ,X,O,X,O,O,X
OZLISJT,X,O,X,O,O,X
OZLJTIS,X,O,X,X,O,O
OZLJTSI,X,O,X,X,O,O
OZLJITS,X,O,X,X,O,O
OZLJIST,X,O,X,O,O,X
OZLJSTI,X,O,X,X,O,X
OZLJSIT,X,O,X,O,O,X
OZLSTIJ,X,O,X,O,O,X
OZLSTJI,X,O,X,X,X,X
OZLSITJ,X,O,X,O,O,X
OZLSIJT,X,O,X,O,O,X
OZLSJTI,X,O,X,X,O,X
OZLSJIT,X,O,X,O,O,X
OZJTILS,O,X,X,X,O,O
OZJTISL,O,O,X,X,O,X
OZJTLIS,O,O,X,X,O,O
OZJTLSI,O,O,X,X,O,O
OZJTSIL,O,O,X,X,O,X
OZJTSLI,O,O,X,X,O,O
OZJITLS,O,X,X,X,O,X
OZJITSL,O,O,X,X,O,X
OZJILTS,X,X,X,X,O,X
OZJILST,X,X,X,O,O,X
OZJISTL,O,O,X,X,O,X
OZJISLT,O,O,X,O,O,X
OZJLTIS,X,O,X,X,O,O
OZJLTSI,X,O,X,X,O,O
OZJLITS,X,O,X,X,O,O
OZJLIST,X,O,X,O,O,X
OZJLSTI,X,O,X,X,O,X
OZJLSIT,X,O,X,O,O,X
OZJSTIL,O,O,X,X,O,X
OZJSTLI,O,O,X,X,O,X
OZJSITL,O,O,X,X,O,X
OZJSILT,O,O,X,O,O,X
OZJSLTI,O,O,X,X,O,X
OZJSLIT,O,O,X,O,O,X
OZSTILJ,O,X,X,O,O,X
OZSTIJL,O,O,X,X,X,X
OZSTLIJ,O,O,X,O,O,X
OZSTLJI,O,O,X,X,X,X
OZSTJIL,O,O,X,X,X,X
OZSTJLI,O,O,X,X,X,X
OZSITLJ,O,X,X,O,O,X
OZSITJL,O,O,X,X,X,X
OZSILTJ,O,O,X,O,O,X
OZSILJT,O,O,X,O,O,X
OZSIJTL,O,O,X,X,O,X
OZSIJLT,O,O,X,O,O,X
OZSLTIJ,O,O,X,O,O,X
OZSLTJI,O,O,X,X,X,X
OZSLITJ,O,O,X,O,O,X
OZSLIJT,O,O,X,O,O,X
OZSLJTI,O,O,X,X,O,X
OZSLJIT,O,O,X,O,O,X
OZSJTIL,O,O,X,X,O,X
OZSJTLI,O,O,X,X,O,X
OZSJITL,O,O,X,X,O,X
OZSJILT,O,O,X,O,O,X
OZSJLTI,O,O,X,X,O,X
OZSJLIT,O,O,X,O,O,X
