sequence,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeFAJvhF0hB5oB3lBz?nBinBWxB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KelBJvhF3iB5oBilB8?sBGlBzrB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KelBJvhFziB5oBilB8?rBGlB3sB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeFAJvhFTiBeoB5oB3?lBUsB6rB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhF3hBTlB8rB+?sB6tBFtB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeaFJvhFulB1mB5oBz?nB8rB3sB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeFAJvhF0hBxiB3lBz?rBCtBGtB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeUAJvhFxmB6tB3lBF?oBGsBzrB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhFTlBlmBUoBX?sB6tBGsB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhF3hBTlB8rBV?tB+sB6tB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhF1mBSoBTlB8?rBGtB3sB,v115@9gA8IeB8HeB8BeA8EeE8CeA8Ke3AJvhFxmB6tBUlBF?oBGsBzrB
LIZTOJS,X,O,X,X,X,O,X,O,X,X,X,X
LIZTOSJ,X,O,O,X,X,X,X,O,X,X,X,X
LIZJTSO,X,O,O,X,X,X,X,O,X,X,X,X
LIZJTOS,X,X,X,X,X,O,X,O,X,X,X,X
LIZJSTO,X,O,O,O,X,X,X,O,X,X,X,X
LIZJSOT,X,X,O,O,X,X,X,O,X,X,X,X
LIZJOTS,X,O,X,X,X,O,X,O,X,X,X,X
LIZJOST,X,O,X,O,X,X,X,O,X,X,X,X
LIZSTJO,X,O,O,O,X,X,X,O,X,X,X,O
LIZSTOJ,X,O,O,X,X,X,X,O,X,X,X,O
LIZSJTO,X,O,O,O,X,X,X,O,X,X,X,O
LIZSJOT,X,X,O,O,X,X,X,O,X,X,X,O
LIZSOTJ,X,O,O,X,X,X,X,O,X,X,X,O
LIZSOJT,X,O,O,X,X,X,X,O,X,X,X,O
LIZOTJS,X,O,X,X,X,O,X,O,X,X,X,X
LIZOTSJ,X,O,O,X,X,X,X,O,X,X,X,X
LIZOJTS,X,O,X,X,X,O,X,O,X,X,X,X
LIZOJST,X,O,X,X,X,X,X,O,X,X,X,X
LIZOSTJ,X,O,O,X,X,X,X,O,X,X,X,X
LIZOSJT,X,O,O,X,X,X,X,O,X,X,X,X
LIOTJSZ,X,X,X,X,X,O,X,X,X,X,X,X
LIOTJZS,X,O,X,X,O,O,X,X,X,X,X,X
LIOTSJZ,X,X,X,X,X,O,X,X,X,X,X,X
LIOTSZJ,X,O,X,X,X,X,X,X,X,X,X,X
LIOTZJS,X,O,X,X,X,O,O,X,X,X,X,X
LIOTZSJ,X,O,O,X,X,X,O,X,X,X,X,X
LIOJTSZ,X,X,X,X,X,O,X,X,X,X,X,X
LIOJTZS,X,O,X,X,O,O,X,X,X,X,X,X
LIOJSTZ,O,X,X,X,X,O,X,X,X,X,X,X
LIOJSZT,O,X,X,X,O,X,X,X,X,X,X,X
LIOJZTS,X,O,X,X,O,O,X,X,X,X,X,X
LIOJZST,O,O,X,X,O,X,X,X,X,X,X,X
LIOSTJZ,O,X,X,X,X,O,O,X,X,X,X,O
LIOSTZJ,O,O,O,X,X,X,O,X,X,X,X,O
LIOSJTZ,O,X,X,X,X,O,O,X,X,X,X,O
LIOSJZT,O,X,O,X,O,X,O,X,X,X,X,O
LIOSZTJ,O,O,O,X,X,X,O,X,X,X,X,O
LIOSZJT,X,O,O,X,X,X,O,X,X,X,X,O
LIOZTJS,X,O,X,X,X,O,O,O,X,X,X,X
LIOZTSJ,X,O,O,X,X,X,O,O,X,X,X,X
LIOZJTS,X,O,X,X,O,O,O,O,X,X,X,X
LIOZJST,X,O,X,X,O,X,O,O,X,X,X,X
LIOZSTJ,X,O,O,X,X,X,O,O,X,X,X,X
LIOZSJT,X,O,O,X,X,X,O,O,X,X,X,X
LJTISZO,X,X,X,X,X,X,X,X,X,X,X,O
LJTISOZ,X,X,X,X,X,O,X,X,X,X,X,O
LJTIZSO,X,O,O,X,X,X,X,O,X,X,X,X
LJTIZOS,X,X,X,X,X,O,X,O,X,X,X,X
LJTIOSZ,X,X,X,X,X,O,X,X,X,X,O,X
LJTIOZS,X,O,X,X,X,O,X,X,X,X,O,X
LJTSIZO,X,X,X,X,X,X,X,X,X,X,X,X
LJTSIOZ,X,X,X,X,X,O,X,X,X,X,X,X
LJTSZIO,X,X,X,X,X,X,X,X,X,X,X,X
LJTSZOI,X,X,X,X,X,X,X,X,X,X,X,X
LJTSOIZ,X,X,X,X,X,O,X,X,X,X,O,X
LJTSOZI,X,X,X,X,X,X,X,X,X,X,O,X
LJTZISO,X,O,O,X,X,X,X,O,X,X,X,X
LJTZIOS,X,X,X,X,X,O,X,O,X,X,X,X
LJTZSIO,X,O,X,X,X,X,X,X,X,X,X,X
LJTZSOI,X,X,X,X,O,X,X,X,X,X,X,X
LJTZOIS,X,X,X,X,O,O,X,X,X,X,O,X
LJTZOSI,X,X,X,X,O,X,X,X,X,X,O,X
LJTOISZ,X,X,X,X,X,O,X,X,X,X,O,X
LJTOIZS,X,O,X,X,O,O,X,X,X,X,O,X
LJTOSIZ,X,X,X,X,X,O,X,X,X,X,O,X
LJTOSZI,X,X,X,X,X,X,X,X,X,X,O,X
LJTOZIS,X,O,X,X,O,O,O,X,X,X,O,X
LJTOZSI,X,O,X,X,O,X,X,X,X,X,O,X
LJITSZO,X,X,X,X,X,X,X,X,X,X,X,O
LJITSOZ,X,X,X,X,X,O,X,X,X,X,X,O
LJITZSO,X,O,O,X,X,X,X,O,X,X,X,X
LJITZOS,X,X,X,X,X,O,X,O,X,X,X,X
LJITOSZ,X,X,X,X,X,O,X,X,X,X,O,X
LJITOZS,X,O,X,X,X,O,X,X,X,X,O,X
LJISTZO,O,X,X,O,X,X,X,X,X,X,X,O
LJISTOZ,O,X,X,X,X,O,X,X,X,X,X,O
LJISZTO,O,X,O,O,X,X,X,O,X,X,X,O
LJISZOT,O,X,O,O,X,X,X,O,X,X,X,O
LJISOTZ,O,X,X,X,X,O,X,X,X,X,X,O
LJISOZT,O,X,O,X,X,X,X,X,X,X,X,O
LJIZTSO,X,O,O,X,X,X,X,O,X,X,X,X
LJIZTOS,X,X,X,X,X,O,X,O,X,X,X,X
LJIZSTO,O,O,O,O,X,X,X,O,X,X,X,O
LJIZSOT,O,X,O,O,O,X,X,O,X,X,X,O
LJIZOTS,X,O,X,X,O,O,X,O,X,X,X,X
LJIZOST,O,O,X,O,O,X,X,O,X,X,X,X
LJIOTSZ,X,X,X,X,X,O,X,X,X,X,O,X
LJIOTZS,X,O,X,X,O,O,X,X,X,X,O,X
LJIOSTZ,O,X,X,X,X,O,X,X,X,X,O,O
LJIOSZT,O,X,X,X,O,X,X,X,X,X,X,O
LJIOZTS,X,O,X,X,O,O,X,O,X,X,O,X
LJIOZST,O,O,X,X,O,X,X,O,X,X,X,X
LJSTIZO,O,X,X,O,X,X,X,X,X,X,X,X
LJSTIOZ,O,X,X,X,X,O,X,X,X,X,X,X
LJSTZIO,O,X,X,O,X,X,X,X,X,X,X,X
LJSTZOI,O,X,X,O,X,X,X,X,X,X,X,X
LJSTOIZ,O,X,X,X,X,O,O,X,X,X,O,X
LJSTOZI,O,X,X,X,X,X,O,X,X,X,O,X
LJSITZO,O,X,X,O,X,X,X,X,X,X,X,O
LJSITOZ,O,X,X,X,X,O,X,X,X,X,X,O
LJSIZTO,O,X,O,O,X,X,X,O,X,X,X,O
LJSIZOT,O,X,O,O,X,X,X,O,X,X,X,O
LJSIOTZ,O,X,X,X,X,O,X,X,X,X,X,O
LJSIOZT,O,X,O,X,X,X,X,X,X,X,X,O
LJSZTIO,O,X,O,O,X,X,X,X,X,X,X,X
LJSZTOI,O,X,O,O,O,X,X,X,X,X,X,X
LJSZITO,O,X,O,O,X,X,X,O,X,X,X,X
LJSZIOT,O,X,O,O,O,X,X,O,X,X,X,X
LJSZOTI,O,X,O,O,O,X,X,X,X,X,X,X
LJSZOIT,O,X,O,O,O,X,X,X,X,X,X,X
LJSOTIZ,O,X,X,X,X,O,O,X,X,X,O,X
LJSOTZI,O,X,X,X,X,X,O,X,X,X,O,X
LJSOITZ,O,X,X,X,X,O,O,X,X,X,O,X
LJSOIZT,O,X,O,X,O,X,O,X,X,X,X,X
LJSOZTI,O,X,O,X,O,X,O,X,X,X,X,X
LJSOZIT,O,X,O,X,O,X,O,X,X,X,X,X
LJZTISO,X,O,O,X,X,X,X,O,X,X,X,X
LJZTIOS,X,X,X,X,X,O,X,O,X,X,X,X
LJZTSIO,X,O,X,X,X,X,X,X,X,X,X,X
LJZTSOI,X,X,X,X,O,X,X,X,X,X,X,X
LJZTOIS,X,X,X,X,O,O,X,X,X,X,O,X
LJZTOSI,X,X,X,X,O,X,X,X,X,X,O,X
LJZITSO,X,O,O,X,X,X,X,O,X,X,X,X
LJZITOS,X,X,X,X,X,O,X,O,X,X,X,X
LJZISTO,O,O,O,O,X,X,X,O,X,X,X,O
LJZISOT,O,X,O,O,O,X,X,O,X,X,X,O
LJZIOTS,X,O,X,X,O,O,X,O,X,X,X,X
LJZIOST,O,O,X,O,O,X,X,O,X,X,X,X
LJZSTIO,O,O,X,O,X,X,X,X,X,X,X,X
LJZSTOI,O,X,X,O,O,X,X,X,X,X,X,X
LJZSITO,O,O,X,O,X,X,X,O,X,X,X,X
LJZSIOT,O,X,X,O,O,X,X,O,X,X,X,X
LJZSOTI,O,X,X,O,O,X,X,X,X,X,X,X
LJZSOIT,O,X,X,O,O,X,X,X,X,X,X,X
LJZOTIS,X,O,X,X,O,O,X,X,X,X,O,X
LJZOTSI,X,O,X,X,O,X,X,X,X,X,O,X
LJZOITS,X,O,X,X,O,O,X,O,X,X,O,X
LJZOIST,O,O,X,O,O,X,X,O,X,X,X,X
LJZOSTI,O,O,X,O,O,X,X,X,X,X,X,X
LJZOSIT,O,O,X,O,O,X,X,X,X,X,X,X
LJOTISZ,X,X,X,X,X,O,X,X,X,X,O,X
LJOTIZS,X,O,X,X,O,O,X,X,X,X,O,X
LJOTSIZ,X,X,X,X,X,O,X,X,X,X,O,X
LJOTSZI,X,X,X,X,X,X,X,X,X,X,O,X
LJOTZIS,X,O,X,X,O,O,O,X,X,X,O,X
LJOTZSI,X,O,X,X,O,X,X,X,X,X,O,X
LJOITSZ,X,X,X,X,X,O,X,X,X,X,O,X
LJOITZS,X,O,X,X,O,O,X,X,X,X,O,X
LJOISTZ,O,X,X,X,X,O,X,X,X,X,O,O
LJOISZT,O,X,X,X,O,X,X,X,X,X,X,O
LJOIZTS,X,O,X,X,O,O,X,O,X,X,O,X
LJOIZST,O,O,X,X,O,X,X,O,X,X,X,X
LJOSTIZ,O,X,X,X,X,O,O,X,X,X,O,X
LJOSTZI,O,X,X,X,X,X,O,X,X,X,O,X
LJOSITZ,O,X,X,X,X,O,O,X,X,X,O,X
LJOSIZT,O,X,X,X,O,X,O,X,X,X,X,X
LJOSZTI,O,X,X,X,O,X,O,X,X,X,X,X
LJOSZIT,O,X,X,X,O,X,O,X,X,X,X,X
LJOZTIS,X,O,X,X,O,O,O,X,X,X,O,X
LJOZTSI,X,O,X,X,O,X,X,X,X,X,O,X
LJOZITS,X,O,X,X,O,O,O,O,X,X,O,X
LJOZIST,O,O,X,X,O,X,O,O,X,X,X,X
LJOZSTI,O,O,X,X,O,X,O,X,X,X,X,X
LJOZSIT,O,O,X,X,O,X,O,X,X,X,X,X
LSTIJZO,O,X,X,O,X,X,X,X,X,X,X,X
LSTIJOZ,O,X,X,X,X,O,X,X,X,X,X,X
LSTIZJO,O,O,O,O,X,X,X,X,X,X,X,X
LSTIZOJ,O,O,O,X,X,X,X,X,X,X,X,X
LSTIOJZ,O,X,X,X,X,O,O,X,X,X,X,X
LSTIOZJ,O,O,O,X,X,X,O,X,X,X,X,X
LSTJIZO,O,X,X,O,X,X,X,X,X,X,X,X
LSTJIOZ,O,X,X,X,X,O,X,X,X,X,X,X
LSTJZIO,O,X,X,O,X,X,X,X,X,X,X,X
LSTJZOI,O,X,X,O,X,X,X,X,X,X,X,X
LSTJOIZ,O,X,X,X,X,O,O,X,X,X,X,X
LSTJOZI,O,X,X,X,X,X,O,X,X,X,X,X
LSTZIJO,O,O,O,O,X,X,X,X,X,X,X,X
LSTZIOJ,O,O,O,X,X,X,X,X,X,X,X,X
LSTZJIO,O,O,O,O,X,X,X,X,X,X,X,X
LSTZJOI,O,X,O,O,X,X,X,X,X,X,X,X
LSTZOIJ,O,O,O,X,X,X,O,X,O,X,X,X
LSTZOJI,X,X,O,O,X,X,O,X,O,X,X,X
LSTOIJZ,O,X,X,X,X,O,O,X,X,X,X,X
LSTOIZJ,O,O,O,X,X,X,O,X,O,X,X,X
LSTOJIZ,O,X,X,X,X,O,O,X,X,X,X,X
LSTOJZI,O,X,X,X,X,X,O,X,X,X,X,X
LSTOZIJ,O,O,O,X,X,X,O,X,O,X,X,X
LSTOZJI,X,O,O,X,X,X,O,X,O,X,X,X
LSITJZO,O,X,X,O,X,X,X,X,X,X,X,O
LSITJOZ,O,X,X,X,X,O,X,X,X,X,X,O
LSITZJO,O,O,O,O,X,X,X,X,X,X,X,O
LSITZOJ,O,O,O,X,X,X,X,X,X,X,X,O
LSITOJZ,O,X,X,X,X,O,O,X,X,X,X,O
LSITOZJ,O,O,O,X,X,X,O,X,X,X,X,O
LSIJTZO,O,X,X,O,X,X,X,X,X,X,X,O
LSIJTOZ,O,X,X,X,X,O,X,X,X,X,X,O
LSIJZTO,O,X,O,O,X,X,X,X,X,X,X,O
LSIJZOT,O,X,O,O,X,X,X,X,X,X,X,O
LSIJOTZ,O,X,X,X,X,O,X,X,X,X,X,O
LSIJOZT,O,X,O,X,X,X,X,X,X,X,X,O
LSIZTJO,O,O,O,O,X,X,X,O,X,X,X,O
LSIZTOJ,O,O,O,X,X,X,X,O,X,X,X,O
LSIZJTO,O,O,O,O,X,X,X,O,X,X,X,O
LSIZJOT,O,X,O,O,X,X,X,O,X,X,X,O
LSIZOTJ,O,O,O,X,X,X,X,O,X,X,X,O
LSIZOJT,X,O,O,X,X,X,X,O,X,X,X,O
LSIOTJZ,O,X,X,X,X,O,O,X,X,X,X,O
LSIOTZJ,O,O,O,X,X,X,O,X,X,X,X,O
LSIOJTZ,O,X,X,X,X,O,O,X,X,X,X,O
LSIOJZT,O,X,O,X,X,X,O,X,X,X,X,O
LSIOZTJ,O,O,O,X,X,X,O,X,X,X,X,O
LSIOZJT,X,O,O,X,X,X,O,X,X,X,X,O
LSJTIZO,O,X,X,O,X,X,X,X,X,X,X,X
LSJTIOZ,O,X,X,X,X,O,X,X,X,X,X,X
LSJTZIO,O,X,X,O,X,X,X,X,X,X,X,X
LSJTZOI,O,X,X,O,X,X,X,X,X,X,X,X
LSJTOIZ,O,X,X,X,X,O,O,X,X,X,X,X
LSJTOZI,O,X,X,X,X,X,O,X,X,X,X,X
LSJITZO,O,X,X,O,X,X,X,X,X,X,X,O
LSJITOZ,O,X,X,X,X,O,X,X,X,X,X,O
LSJIZTO,O,X,O,O,X,X,X,O,X,X,X,O
LSJIZOT,O,X,O,O,X,X,X,O,X,X,X,O
LSJIOTZ,O,X,X,X,X,O,X,X,X,X,X,O
LSJIOZT,O,X,O,X,X,X,X,X,X,X,X,O
LSJZTIO,O,X,O,O,X,X,X,X,X,X,X,X
LSJZTOI,O,X,O,O,O,X,X,X,X,X,X,X
LSJZITO,O,X,O,O,X,X,X,O,X,X,X,X
LSJZIOT,O,X,O,O,O,X,X,O,X,X,X,X
LSJZOTI,O,X,O,O,O,X,X,X,X,X,X,X
LSJZOIT,O,X,O,O,O,X,X,X,X,X,X,X
LSJOTIZ,O,X,X,X,X,O,O,X,X,X,X,X
LSJOTZI,O,X,X,X,X,X,O,X,X,X,X,X
LSJOITZ,O,X,X,X,X,O,O,X,X,X,X,X
LSJOIZT,O,X,O,X,O,X,O,X,X,X,X,X
LSJOZTI,O,X,O,X,O,X,O,X,X,X,X,X
LSJOZIT,O,X,O,X,O,X,O,X,X,X,X,X
LSZTIJO,O,O,O,O,X,X,X,X,X,X,X,X
LSZTIOJ,O,O,O,X,X,X,X,X,X,X,X,X
LSZTJIO,O,O,O,O,X,X,X,X,X,X,X,X
LSZTJOI,O,X,O,O,X,X,X,X,X,X,X,X
LSZTOIJ,O,O,O,X,X,X,O,X,O,O,X,X
LSZTOJI,X,X,O,O,X,X,O,X,O,O,X,X
LSZITJO,O,O,O,O,X,X,X,O,X,X,X,X
LSZITOJ,O,O,O,X,X,X,X,O,X,X,X,X
LSZIJTO,O,O,O,O,X,X,X,O,X,X,X,X
LSZIJOT,O,X,O,O,X,X,X,O,X,X,X,X
LSZIOTJ,O,O,O,X,X,X,X,O,X,X,X,X
LSZIOJT,X,O,O,X,X,X,X,O,X,X,X,X
LSZJTIO,O,O,O,O,X,X,X,X,X,X,X,X
LSZJTOI,O,X,O,O,O,X,X,X,X,X,X,X
LSZJITO,O,O,O,O,X,X,X,O,X,X,X,X
LSZJIOT,O,X,O,O,O,X,X,O,X,X,X,X
LSZJOTI,O,X,O,O,O,X,X,X,X,X,X,X
LSZJOIT,O,X,O,O,O,X,X,X,X,X,X,X
LSZOTIJ,O,O,O,X,X,X,O,X,O,O,X,X
LSZOTJI,X,O,O,O,X,X,O,X,O,O,X,X
LSZOITJ,O,O,O,X,X,X,O,X,O,O,X,X
LSZOIJT,X,O,O,X,O,X,O,X,X,X,X,X
LSZOJTI,X,O,O,O,O,X,O,X,X,X,X,X
LSZOJIT,X,O,O,O,O,X,O,X,X,X,X,X
LSOTIJZ,O,X,X,X,X,O,O,X,X,X,X,X
LSOTIZJ,O,O,O,X,X,X,O,X,O,X,X,X
LSOTJIZ,O,X,X,X,X,O,O,X,X,X,X,X
LSOTJZI,O,X,X,X,X,X,O,X,X,X,X,X
LSOTZIJ,O,O,O,X,X,X,O,X,O,X,X,X
LSOTZJI,X,O,O,X,X,X,O,X,O,X,X,X
LSOITJZ,O,X,X,X,X,O,O,X,X,X,X,X
LSOITZJ,O,O,O,X,X,X,O,X,O,X,X,X
LSOIJTZ,O,X,X,X,X,O,O,X,X,X,X,X
LSOIJZT,O,X,O,X,O,X,O,X,X,X,X,X
LSOIZTJ,O,O,O,X,X,X,O,X,O,O,X,X
LSOIZJT,X,O,O,X,O,X,O,X,X,X,X,X
LSOJTIZ,O,X,X,X,X,O,O,X,X,X,X,X
LSOJTZI,O,X,X,X,X,X,O,X,X,X,X,X
LSOJITZ,O,X,X,X,X,O,O,X,X,X,X,X
LSOJIZT,O,X,O,X,O,X,O,X,X,X,X,X
LSOJZTI,O,X,O,X,O,X,O,X,X,X,X,X
LSOJZIT,O,X,O,X,O,X,O,X,X,X,X,X
LSOZTIJ,O,O,O,X,X,X,O,X,O,O,X,X
LSOZTJI,X,O,O,X,X,X,O,X,O,O,X,X
LSOZITJ,O,O,O,X,X,X,O,X,O,O,X,X
LSOZIJT,X,O,O,X,O,X,O,X,X,X,X,X
LSOZJTI,X,O,O,X,O,X,O,X,X,X,X,X
LSOZJIT,X,O,O,X,O,X,O,X,X,X,X,X
LZTIJSO,X,O,O,X,X,X,X,O,X,X,X,X
LZTIJOS,X,X,X,X,X,O,X,O,X,X,X,X
LZTISJO,X,O,O,X,X,X,X,O,X,X,X,X
LZTISOJ,X,O,O,X,X,X,X,O,X,X,X,X
LZTIOJS,X,O,X,X,X,O,X,O,X,X,X,X
LZTIOSJ,X,O,O,X,X,X,X,O,X,X,X,X
LZTJISO,X,O,O,X,X,X,X,O,X,X,X,X
LZTJIOS,X,X,X,X,X,O,X,O,X,X,X,X
LZTJSIO,X,O,X,X,X,X,X,X,X,X,X,X
LZTJSOI,X,X,X,X,X,X,X,X,X,X,X,X
LZTJOIS,X,X,X,X,X,O,X,X,X,X,X,X
LZTJOSI,X,X,X,X,X,X,X,X,X,X,X,X
LZTSIJO,X,O,O,X,X,X,X,X,X,X,X,X
LZTSIOJ,X,O,O,X,X,X,X,X,X,X,X,X
LZTSJIO,X,O,X,X,X,X,X,X,X,X,X,X
LZTSJOI,X,X,X,X,X,X,X,X,X,X,X,X
LZTSOIJ,X,O,X,X,X,X,X,X,X,O,X,X
LZTSOJI,X,X,X,X,X,X,X,X,X,O,X,X
LZTOIJS,X,O,X,X,X,O,O,X,X,O,X,X
LZTOISJ,X,O,O,X,X,X,O,X,X,O,X,X
LZTOJIS,X,O,X,X,X,O,O,X,X,O,X,X
LZTOJSI,X,O,X,X,X,X,X,X,X,O,X,X
LZTOSIJ,X,O,X,X,X,X,O,X,X,O,X,X
LZTOSJI,X,O,X,X,X,X,X,X,X,O,X,X
LZITJSO,X,O,O,X,X,X,X,O,X,X,X,X
LZITJOS,X,X,X,X,X,O,X,O,X,X,X,X
LZITSJO,X,O,O,X,X,X,X,O,X,X,X,X
LZITSOJ,X,O,O,X,X,X,X,O,X,X,X,X
LZITOJS,X,O,X,X,X,O,X,O,X,X,X,X
LZITOSJ,X,O,O,X,X,X,X,O,X,X,X,X
LZIJTSO,X,O,O,X,X,X,X,O,X,X,X,X
LZIJTOS,X,X,X,X,X,O,X,O,X,X,X,X
LZIJSTO,X,O,O,O,X,X,X,O,X,X,X,X
LZIJSOT,X,X,O,O,X,X,X,O,X,X,X,X
LZIJOTS,X,O,X,X,X,O,X,O,X,X,X,X
LZIJOST,X,O,X,O,X,X,X,O,X,X,X,X
LZISTJO,X,O,O,O,X,X,X,O,X,X,X,O
LZISTOJ,X,O,O,X,X,X,X,O,X,X,X,O
LZISJTO,X,O,O,O,X,X,X,O,X,X,X,O
LZISJOT,X,X,O,O,X,X,X,O,X,X,X,O
LZISOTJ,X,O,O,X,X,X,X,O,X,X,X,O
LZISOJT,X,O,O,X,X,X,X,O,X,X,X,O
LZIOTJS,X,O,X,X,X,O,X,O,X,X,X,X
LZIOTSJ,X,O,O,X,X,X,X,O,X,X,X,X
LZIOJTS,X,O,X,X,X,O,X,O,X,X,X,X
LZIOJST,X,O,X,X,X,X,X,O,X,X,X,X
LZIOSTJ,X,O,O,X,X,X,X,O,X,X,X,X
LZIOSJT,X,O,O,X,X,X,X,O,X,X,X,X
LZJTISO,X,O,O,X,X,X,X,O,X,X,X,X
LZJTIOS,X,X,X,X,X,O,X,O,X,X,X,X
LZJTSIO,X,O,X,X,X,X,X,X,X,X,X,X
LZJTSOI,X,X,X,X,O,X,X,X,X,X,X,X
LZJTOIS,X,X,X,X,O,O,X,X,X,X,X,X
LZJTOSI,X,X,X,X,O,X,X,X,X,X,X,X
LZJITSO,X,O,O,X,X,X,X,O,X,X,X,X
LZJITOS,X,X,X,X,X,O,X,O,X,X,X,X
LZJISTO,X,O,O,O,X,X,X,O,X,X,X,O
LZJISOT,X,X,O,O,O,X,X,O,X,X,X,O
LZJIOTS,X,O,X,X,O,O,X,O,X,X,X,X
LZJIOST,X,O,X,O,O,X,X,O,X,X,X,X
LZJSTIO,X,O,X,O,X,X,X,X,X,X,X,X
LZJSTOI,X,X,X,O,O,X,X,X,X,X,X,X
LZJSITO,X,O,X,O,X,X,X,O,X,X,X,X
LZJSIOT,X,X,X,O,O,X,X,O,X,X,X,X
LZJSOTI,X,X,X,O,O,X,X,X,X,X,X,X
LZJSOIT,X,X,X,O,O,X,X,X,X,X,X,X
LZJOTIS,X,O,X,X,O,O,X,X,X,X,X,X
LZJOTSI,X,O,X,X,O,X,X,X,X,X,X,X
LZJOITS,X,O,X,X,O,O,X,O,X,X,X,X
LZJOIST,X,O,X,O,O,X,X,O,X,X,X,X
LZJOSTI,X,O,X,O,O,X,X,X,X,X,X,X
LZJOSIT,X,O,X,O,O,X,X,X,X,X,X,X
LZSTIJO,X,O,O,O,X,X,X,X,X,X,X,X
LZSTIOJ,X,O,O,X,X,X,X,X,X,X,X,X
LZSTJIO,X,O,O,O,X,X,X,X,X,X,X,X
LZSTJOI,X,X,O,O,X,X,X,X,X,X,X,X
LZSTOIJ,X,O,O,X,X,X,O,X,O,O,X,X
LZSTOJI,X,X,O,O,X,X,O,X,O,O,X,X
LZSITJO,X,O,O,O,X,X,X,O,X,X,X,X
LZSITOJ,X,O,O,X,X,X,X,O,X,X,X,X
LZSIJTO,X,O,O,O,X,X,X,O,X,X,X,X
LZSIJOT,X,X,O,O,X,X,X,O,X,X,X,X
LZSIOTJ,X,O,O,X,X,X,X,O,X,X,X,X
LZSIOJT,X,O,O,X,X,X,X,O,X,X,X,X
LZSJTIO,X,O,O,O,X,X,X,X,X,X,X,X
LZSJTOI,X,X,O,O,O,X,X,X,X,X,X,X
LZSJITO,X,O,O,O,X,X,X,O,X,X,X,X
LZSJIOT,X,X,O,O,O,X,X,O,X,X,X,X
LZSJOTI,X,X,O,O,O,X,X,X,X,X,X,X
LZSJOIT,X,X,O,O,O,X,X,X,X,X,X,X
LZSOTIJ,X,O,O,X,X,X,O,X,O,O,X,X
LZSOTJI,X,O,O,O,X,X,O,X,O,O,X,X
LZSOITJ,X,O,O,X,X,X,O,X,O,O,X,X
LZSOIJT,X,O,O,X,O,X,O,X,X,X,X,X
LZSOJTI,X,O,O,O,O,X,O,X,X,X,X,X
LZSOJIT,X,O,O,O,O,X,O,X,X,X,X,X
LZOTIJS,X,O,X,X,X,O,O,X,X,O,X,X
LZOTISJ,X,O,O,X,X,X,O,X,X,O,X,X
LZOTJIS,X,O,X,X,X,O,O,X,X,O,X,X
LZOTJSI,X,O,X,X,X,X,X,X,X,O,X,X
LZOTSIJ,X,O,X,X,X,X,O,X,X,O,X,X
LZOTSJI,X,O,X,X,X,X,O,X,X,O,X,X
LZOITJS,X,O,X,X,X,O,O,O,X,O,X,X
LZOITSJ,X,O,O,X,X,X,O,O,X,O,X,X
LZOIJTS,X,O,X,X,O,O,O,O,X,X,X,X
LZOIJST,X,O,X,X,O,X,O,O,X,X,X,X
LZOISTJ,X,O,O,X,X,X,O,O,O,O,X,X
LZOISJT,X,O,O,X,O,X,O,O,X,X,X,X
LZOJTIS,X,O,X,X,O,O,O,X,X,X,X,X
LZOJTSI,X,O,X,X,O,X,X,X,X,X,X,X
LZOJITS,X,O,X,X,O,O,O,O,X,X,X,X
LZOJIST,X,O,X,O,O,X,O,O,X,X,X,X
LZOJSTI,X,O,X,O,O,X,O,X,X,X,X,X
LZOJSIT,X,O,X,O,O,X,O,X,X,X,X,X
LZOSTIJ,X,O,X,X,X,X,O,X,O,O,X,X
LZOSTJI,X,O,X,O,X,X,O,X,O,O,X,X
LZOSITJ,X,O,X,X,X,X,O,X,O,O,X,X
LZOSIJT,X,O,X,X,O,X,O,X,X,X,X,X
LZOSJTI,X,O,X,O,O,X,O,X,X,X,X,X
LZOSJIT,X,O,X,O,O,X,O,X,X,X,X,X
LOTIJSZ,X,X,X,X,X,O,X,X,X,X,O,X
LOTIJZS,X,O,X,X,O,O,X,X,X,X,O,X
LOTISJZ,X,X,X,X,X,O,X,X,X,X,X,X
LOTISZJ,X,O,X,X,X,X,X,X,O,X,X,X
LOTIZJS,X,O,X,X,X,O,O,X,X,O,X,X
LOTIZSJ,X,O,O,X,X,X,O,X,X,O,X,X
LOTJISZ,X,X,X,X,X,O,X,X,X,X,O,X
LOTJIZS,X,O,X,X,O,O,X,X,X,X,O,X
LOTJSIZ,X,X,X,X,X,O,X,X,X,X,O,X
LOTJSZI,X,X,X,X,X,X,X,X,X,X,O,X
LOTJZIS,X,O,X,X,O,O,O,X,X,X,O,X
LOTJZSI,X,O,X,X,O,X,X,X,X,X,O,X
