sequence,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFzfBChBXiB8?nBerBFqB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFqkBTgBOmBX?iB8nB1vB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFukBFhBXiB8?nBTlByvB,v115@GhA8IeA8EeB8AeB8AeA8CeE8Jei/IvhF3gBRiBcpBO?rBlnBTqB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFGgBFiB8nBz?kBXmByvB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeTAJvhFRiBOpBXmBl?nB0kByvB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFVmBynBzkBf?rBGnBUqB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFukBXiB8nBK?qBzlBFrB
JTSOLIZ,O,O,X,O,X,O,X,X
JTSOLZI,O,O,X,O,X,O,X,X
JTSOZIL,O,O,X,O,X,O,X,X
JTSOZLI,O,O,X,O,X,O,X,X
JTZILSO,O,O,O,O,X,X,X,O
JTZILOS,O,O,O,O,X,X,X,O
JTZISLO,O,O,O,O,X,X,X,O
JTZISOL,O,O,O,O,X,O,X,X
JTZIOLS,O,O,X,O,X,X,X,X
JTZIOSL,O,O,X,O,X,X,X,X
JTZLISO,O,O,O,O,X,X,X,O
JTZLIOS,O,O,O,O,X,X,X,O
JTZLSIO,O,O,O,O,X,X,X,O
JTZLSOI,O,O,O,O,X,X,X,O
JTZLOIS,O,O,O,O,X,X,X,O
JTZLOSI,O,O,O,O,X,X,X,O
JTZSILO,O,O,O,O,X,X,X,O
JTZSIOL,O,O,O,O,X,O,X,X
JTZSLIO,O,O,O,O,X,X,X,O
JTZSLOI,O,O,O,O,X,X,X,O
JTZSOIL,O,O,O,O,X,O,X,X
JTZSOLI,O,O,X,O,X,O,X,X
JTZOILS,O,O,X,O,X,X,X,X
JTZOISL,O,O,X,O,X,X,X,X
JTZOLIS,O,O,X,O,X,X,X,X
JTZOLSI,O,O,X,O,X,X,X,X
JTZOSIL,O,O,X,O,X,X,X,X
JTZOSLI,O,O,X,O,X,X,X,X
JTOILSZ,O,O,X,O,X,X,O,X
JTOILZS,O,O,X,O,X,X,O,X
JTOISLZ,O,X,X,O,X,O,X,X
JTOISZL,O,X,X,O,X,O,X,X
JTOIZLS,O,O,X,O,X,X,X,X
JTOIZSL,O,O,X,O,X,X,X,X
JTOLISZ,O,O,X,O,X,X,O,X
JTOLIZS,O,O,X,O,X,X,O,X
JTOLSIZ,O,O,X,O,X,X,X,X
JTOLSZI,O,O,X,O,X,X,X,X
JTOLZIS,O,O,X,O,X,X,X,X
JTOLZSI,O,O,X,O,X,X,X,X
JTOSILZ,O,X,X,O,X,O,X,X
JTOSIZL,O,X,X,O,X,O,X,X
JTOSLIZ,O,O,X,O,X,O,X,X
JTOSLZI,O,O,X,O,X,O,X,X
JTOSZIL,O,O,X,O,X,O,X,X
JTOSZLI,O,O,X,O,X,O,X,X
JTOZILS,O,O,X,O,X,X,X,X
JTOZISL,O,O,X,O,X,X,X,X
JTOZLIS,O,O,X,O,X,X,X,X
JTOZLSI,O,O,X,O,X,X,X,X
JTOZSIL,O,O,X,O,X,X,X,X
JTOZSLI,O,O,X,O,X,X,X,X
JITLSZO,O,O,O,O,X,X,X,X
JITLSOZ,O,O,X,X,X,O,X,X
JITLZSO,O,O,O,O,X,X,X,O
JITLZOS,O,O,O,O,X,X,X,O
JITLOSZ,O,O,X,O,X,X,O,X
JITLOZS,O,O,O,O,X,X,O,O
JITSLZO,O,O,X,O,X,X,X,X
JITSLOZ,O,O,X,X,X,O,X,X
JITSZLO,O,O,X,O,X,X,X,X
JITSZOL,O,O,X,O,X,O,X,X
JITSOLZ,O,X,X,O,X,O,X,X
JITSOZL,O,X,X,O,X,O,X,X
JITZLSO,O,O,O,O,X,X,X,O
JITZLOS,O,O,O,O,X,X,X,O
JITZSLO,O,O,O,O,X,X,X,O
JITZSOL,O,O,O,O,X,O,X,X
JITZOLS,O,O,X,O,X,X,X,X
JITZOSL,O,O,X,O,X,X,X,X
JITOLSZ,O,O,X,O,X,X,O,X
JITOLZS,O,O,X,O,X,X,O,X
JITOSLZ,O,X,X,O,X,O,X,X
JITOSZL,O,X,X,O,X,O,X,X
JITOZLS,O,O,X,O,X,X,X,X
JITOZSL,O,O,X,O,X,X,X,X
JILTSZO,O,O,O,X,X,X,X,X
JILTSOZ,O,O,X,X,X,X,X,X
JILTZSO,O,O,O,X,X,X,X,O
JILTZOS,O,O,O,X,X,X,X,O
JILTOSZ,O,O,O,X,X,X,O,X
JILTOZS,O,O,O,X,X,X,O,O
JILSTZO,O,X,O,X,X,X,X,X
JILSTOZ,O,X,X,X,X,X,X,X
JILSZTO,O,X,O,O,X,X,X,O
JILSZOT,O,X,O,O,X,X,X,O
JILSOTZ,X,X,X,X,X,X,X,X
JILSOZT,X,X,X,X,X,X,X,O
JILZTSO,O,O,O,O,X,X,X,O
JILZTOS,O,O,O,X,X,X,X,O
JILZSTO,O,O,O,O,X,X,X,O
JILZSOT,O,X,O,O,X,X,X,O
JILZOTS,O,X,O,O,X,X,X,O
JILZOST,O,X,O,O,X,X,X,O
JILOTSZ,O,X,O,X,X,X,O,X
JILOTZS,O,X,O,X,X,X,O,O
JILOSTZ,X,X,O,X,X,X,X,X
JILOSZT,X,X,O,O,X,X,X,O
JILOZTS,O,X,O,O,X,X,X,O
JILOZST,O,X,O,O,X,X,X,O
JISTLZO,O,X,X,O,X,X,X,X
JISTLOZ,O,X,X,X,X,O,X,X
JISTZLO,O,X,X,O,X,X,X,X
JISTZOL,O,X,X,O,X,O,X,X
JISTOLZ,O,X,X,X,X,O,X,X
JISTOZL,O,X,X,O,X,O,X,X
JISLTZO,O,X,O,X,X,X,X,X
JISLTOZ,O,X,X,X,X,X,X,X
JISLZTO,O,X,O,O,X,X,X,O
JISLZOT,O,X,O,O,X,X,X,O
JISLOTZ,X,X,X,X,X,X,X,X
JISLOZT,X,X,X,X,X,X,X,O
JISZTLO,O,X,O,O,X,X,X,O
JISZTOL,O,X,O,O,O,X,X,X
JISZLTO,O,X,O,O,X,X,X,O
JISZLOT,O,X,O,O,X,X,X,O
JISZOTL,O,X,O,O,O,X,X,X
JISZOLT,O,X,O,O,O,X,X,O
JISOTLZ,X,X,X,X,X,O,X,X
JISOTZL,X,X,X,O,O,O,X,X
JISOLTZ,X,X,X,X,X,X,X,X
JISOLZT,X,X,X,O,O,X,X,X
JISOZTL,X,X,X,O,O,X,X,X
JISOZLT,X,X,X,O,O,X,X,X
JIZTLSO,O,O,O,O,X,X,X,O
JIZTLOS,O,O,O,O,X,X,X,O
JIZTSLO,O,O,O,O,X,X,X,O
JIZTSOL,O,O,O,O,O,X,X,X
JIZTOLS,O,O,X,O,X,X,X,X
JIZTOSL,O,O,X,O,O,X,X,X
JIZLTSO,O,O,O,O,X,X,X,O
JIZLTOS,O,O,O,O,X,X,X,O
JIZLSTO,O,O,O,O,X,X,X,O
JIZLSOT,O,X,O,O,X,X,X,O
JIZLOTS,O,X,O,O,X,X,X,O
JIZLOST,O,X,O,O,X,X,X,O
JIZSTLO,O,O,O,O,X,X,X,O
JIZSTOL,O,O,O,O,O,X,X,X
JIZSLTO,O,O,O,O,X,X,X,O
JIZSLOT,O,X,O,O,X,X,X,O
JIZSOTL,O,X,O,O,O,X,X,X
JIZSOLT,O,X,O,O,O,X,X,O
JIZOTLS,O,X,X,O,X,X,X,X
JIZOTSL,O,X,X,O,O,X,X,X
JIZOLTS,O,X,O,O,X,X,X,O
JIZOLST,O,X,O,O,X,X,X,O
JIZOSTL,O,X,O,O,O,X,X,X
JIZOSLT,O,X,O,O,O,X,X,O
JIOTLSZ,O,X,X,O,X,X,O,X
JIOTLZS,O,X,X,O,X,X,O,X
JIOTSLZ,O,X,X,O,X,X,X,X
JIOTSZL,O,X,X,O,X,X,X,X
JIOTZLS,O,X,X,O,X,X,X,X
JIOTZSL,O,X,X,O,X,X,X,X
JIOLTSZ,O,X,X,X,X,X,O,X
JIOLTZS,O,X,O,X,X,X,O,O
JIOLSTZ,X,X,X,X,X,X,X,X
JIOLSZT,X,X,X,O,X,X,X,O
JIOLZTS,O,X,O,O,X,X,X,O
JIOLZST,O,X,O,O,X,X,X,O
JIOSTLZ,X,X,X,O,X,X,X,X
JIOSTZL,X,X,X,O,O,X,X,X
JIOSLTZ,X,X,X,X,X,X,X,X
JIOSLZT,X,X,X,O,O,X,X,X
JIOSZTL,X,X,X,O,O,X,X,X
JIOSZLT,X,X,X,O,O,X,X,X
JIOZTLS,O,X,X,O,X,X,X,X
JIOZTSL,O,X,X,O,O,X,X,X
JIOZLTS,O,X,O,O,X,X,X,O
JIOZLST,O,X,O,O,X,X,X,O
JIOZSTL,O,X,O,O,O,X,X,X
JIOZSLT,O,X,O,O,O,X,X,O
JLTISZO,O,O,O,O,X,X,X,X
JLTISOZ,O,O,X,X,X,O,X,X
JLTIZSO,O,O,O,O,X,X,X,O
JLTIZOS,O,O,O,O,X,X,X,O
JLTIOSZ,O,O,O,O,X,X,O,X
JLTIOZS,O,O,O,O,X,X,O,O
JLTSIZO,O,O,O,O,X,X,X,X
JLTSIOZ,O,O,X,X,X,O,X,X
JLTSZIO,O,O,O,O,X,X,X,X
JLTSZOI,O,O,O,O,X,X,X,X
JLTSOIZ,O,O,X,X,X,O,X,X
JLTSOZI,O,O,X,X,X,O,X,X
JLTZISO,O,O,O,O,X,X,X,O
JLTZIOS,O,O,O,O,X,X,X,O
JLTZSIO,O,O,O,O,X,X,X,O
JLTZSOI,O,O,O,O,X,X,X,O
JLTZOIS,O,O,O,O,X,X,X,O
JLTZOSI,O,O,O,O,X,X,X,O
JLTOISZ,O,O,O,O,X,X,O,X
JLTOIZS,O,O,O,O,X,X,O,O
JLTOSIZ,O,O,O,O,X,X,X,X
JLTOSZI,O,O,O,O,X,X,X,X
JLTOZIS,O,O,O,O,X,X,X,O
JLTOZSI,O,O,O,O,X,X,X,O
JLITSZO,O,O,O,X,X,X,X,X
JLITSOZ,O,O,X,X,X,X,X,X
JLITZSO,O,O,O,X,X,X,X,O
JLITZOS,O,O,O,X,X,X,X,O
JLITOSZ,O,O,O,X,X,X,O,X
JLITOZS,O,O,O,X,X,X,O,O
JLISTZO,O,X,O,X,X,X,X,X
JLISTOZ,O,X,X,X,X,X,X,X
JLISZTO,O,X,O,O,X,X,X,O
JLISZOT,O,X,O,O,X,X,X,O
JLISOTZ,X,X,X,X,X,X,X,X
JLISOZT,X,X,X,X,X,X,X,O
JLIZTSO,O,O,O,O,X,X,X,O
JLIZTOS,O,O,O,X,X,X,X,O
JLIZSTO,O,O,O,O,X,X,X,O
JLIZSOT,O,X,O,O,X,X,X,O
JLIZOTS,O,X,O,O,X,X,X,O
JLIZOST,O,X,O,O,X,X,X,O
JLIOTSZ,O,X,O,X,X,X,O,X
JLIOTZS,O,X,O,X,X,X,O,O
JLIOSTZ,X,X,O,X,X,X,X,X
JLIOSZT,X,X,O,O,X,X,X,O
JLIOZTS,O,X,O,O,X,X,X,O
JLIOZST,O,X,O,O,X,X,X,O
JLSTIZO,O,X,O,O,X,X,X,X
JLSTIOZ,O,X,X,X,X,O,X,X
JLSTZIO,O,X,O,O,X,X,X,X
JLSTZOI,O,X,O,O,X,X,X,X
JLSTOIZ,O,X,X,X,X,O,X,X
JLSTOZI,O,X,X,X,X,O,X,X
JLSITZO,O,X,O,X,X,X,X,X
JLSITOZ,O,X,X,X,X,X,X,X
JLSIZTO,O,X,O,O,X,X,X,O
JLSIZOT,O,X,O,O,X,X,X,O
JLSIOTZ,X,X,X,X,X,X,X,X
JLSIOZT,X,X,X,X,X,X,X,O
JLSZTIO,O,X,O,O,X,X,X,O
JLSZTOI,O,X,O,O,X,X,X,O
JLSZITO,O,X,O,O,X,X,X,O
JLSZIOT,O,X,O,O,X,X,X,O
JLSZOTI,O,X,O,O,X,X,X,O
JLSZOIT,O,X,O,O,X,X,X,O
JLSOTIZ,X,X,X,X,X,O,X,X
JLSOTZI,X,X,X,X,X,O,X,X
JLSOITZ,X,X,X,X,X,X,X,X
JLSOIZT,X,X,X,X,X,X,X,O
JLSOZTI,X,X,X,X,X,X,X,O
JLSOZIT,X,X,X,X,X,X,X,O
JLZTISO,O,O,O,O,X,X,X,O
JLZTIOS,O,O,O,O,X,X,X,O
JLZTSIO,O,O,O,O,X,X,X,O
JLZTSOI,O,O,O,O,X,X,X,O
JLZTOIS,O,O,O,O,X,X,X,O
JLZTOSI,O,O,O,O,X,X,X,O
JLZITSO,O,O,O,O,X,X,X,O
JLZITOS,O,O,O,O,X,X,X,O
JLZISTO,O,O,O,O,X,X,X,O
JLZISOT,O,X,O,O,X,X,X,O
JLZIOTS,O,X,O,O,X,X,X,O
JLZIOST,O,X,O,O,X,X,X,O
JLZSTIO,O,O,O,O,X,X,X,O
JLZSTOI,O,O,O,O,X,X,X,O
JLZSITO,O,O,O,O,X,X,X,O
JLZSIOT,O,X,O,O,X,X,X,O
JLZSOTI,O,X,O,O,X,X,X,O
JLZSOIT,O,X,O,O,X,X,X,O
JLZOTIS,O,X,O,O,X,X,X,O
JLZOTSI,O,X,O,O,X,X,X,O
JLZOITS,O,X,O,O,X,X,X,O
JLZOIST,O,X,O,O,X,X,X,O
JLZOSTI,O,X,O,O,X,X,X,O
JLZOSIT,O,X,O,O,X,X,X,O
JLOTISZ,O,X,O,O,X,X,O,X
JLOTIZS,O,X,O,O,X,X,O,O
JLOTSIZ,O,X,O,O,X,X,X,X
JLOTSZI,O,X,O,O,X,X,X,X
JLOTZIS,O,X,O,O,X,X,X,O
JLOTZSI,O,X,O,O,X,X,X,O
JLOITSZ,O,X,O,X,X,X,O,X
JLOITZS,O,X,O,X,X,X,O,O
JLOISTZ,X,X,O,X,X,X,X,X
JLOISZT,X,X,O,O,X,X,X,O
JLOIZTS,O,X,O,O,X,X,X,O
JLOIZST,O,X,O,O,X,X,X,O
JLOSTIZ,X,X,O,O,X,X,X,X
JLOSTZI,X,X,O,O,X,X,X,X
JLOSITZ,X,X,O,X,X,X,X,X
JLOSIZT,X,X,O,O,X,X,X,O
JLOSZTI,X,X,O,O,X,X,X,O
JLOSZIT,X,X,O,O,X,X,X,O
JLOZTIS,O,X,O,O,X,X,X,O
JLOZTSI,O,X,O,O,X,X,X,O
JLOZITS,O,X,O,O,X,X,X,O
JLOZIST,O,X,O,O,X,X,X,O
JLOZSTI,O,X,O,O,X,X,X,O
JLOZSIT,O,X,O,O,X,X,X,O
JSTILZO,O,X,X,O,X,X,X,X
JSTILOZ,O,X,X,X,X,O,X,X
JSTIZLO,O,X,X,O,X,X,X,X
JSTIZOL,O,X,X,O,X,O,X,X
JSTIOLZ,O,X,X,O,X,O,X,X
JSTIOZL,O,X,X,O,X,O,X,X
JSTLIZO,O,X,X,O,X,X,X,X
JSTLIOZ,O,X,X,X,X,O,X,X
JSTLZIO,O,X,X,O,X,X,X,X
JSTLZOI,O,X,X,O,X,X,X,X
JSTLOIZ,O,X,X,X,X,O,X,X
JSTLOZI,O,X,X,X,X,O,X,X
JSTZILO,O,X,X,O,X,X,X,X
JSTZIOL,O,X,X,O,X,O,X,X
JSTZLIO,O,X,X,O,X,X,X,X
JSTZLOI,O,X,X,O,X,X,X,X
JSTZOIL,O,X,X,O,X,O,X,X
JSTZOLI,O,X,X,O,X,O,X,X
JSTOILZ,O,X,X,O,X,O,X,X
JSTOIZL,O,X,X,O,X,O,X,X
JSTOLIZ,O,X,X,O,X,O,X,X
JSTOLZI,O,X,X,O,X,O,X,X
JSTOZIL,O,X,X,O,X,O,X,X
JSTOZLI,O,X,X,O,X,O,X,X
JSITLZO,O,X,X,O,X,X,X,X
JSITLOZ,O,X,X,X,X,O,X,X
JSITZLO,O,X,X,O,X,X,X,X
JSITZOL,O,X,X,O,X,O,X,X
JSITOLZ,O,X,X,X,X,O,X,X
JSITOZL,O,X,X,O,X,O,X,X
JSILTZO,O,X,O,X,X,X,X,X
JSILTOZ,O,X,X,X,X,X,X,X
JSILZTO,O,X,O,O,X,X,X,O
JSILZOT,O,X,O,O,X,X,X,O
JSILOTZ,X,X,X,X,X,X,X,X
JSILOZT,X,X,X,X,X,X,X,O
JSIZTLO,O,X,O,O,X,X,X,O
JSIZTOL,O,X,O,O,O,X,X,X
JSIZLTO,O,X,O,O,X,X,X,O
JSIZLOT,O,X,O,O,X,X,X,O
JSIZOTL,O,X,O,O,O,X,X,X
JSIZOLT,O,X,O,O,O,X,X,O
JSIOTLZ,X,X,X,X,X,O,X,X
JSIOTZL,X,X,X,O,O,O,X,X
JSIOLTZ,X,X,X,X,X,X,X,X
JSIOLZT,X,X,X,O,O,X,X,X
JSIOZTL,X,X,X,O,O,X,X,X
JSIOZLT,X,X,X,O,O,X,X,X
JSLTIZO,O,X,O,O,X,X,X,X
JSLTIOZ,O,X,X,X,X,O,X,X
JSLTZIO,O,X,O,O,X,X,X,X
JSLTZOI,O,X,O,O,X,X,X,X
JSLTOIZ,O,X,X,X,X,O,X,X
JSLTOZI,O,X,X,X,X,O,X,X
JSLITZO,O,X,O,X,X,X,X,X
JSLITOZ,O,X,X,X,X,X,X,X
JSLIZTO,O,X,O,O,X,X,X,O
JSLIZOT,O,X,O,O,X,X,X,O
JSLIOTZ,X,X,X,X,X,X,X,X
JSLIOZT,X,X,X,X,X,X,X,O
JSLZTIO,O,X,O,O,X,X,X,O
JSLZTOI,O,X,O,O,X,X,X,O
JSLZITO,O,X,O,O,X,X,X,O
JSLZIOT,O,X,O,O,X,X,X,O
JSLZOTI,O,X,O,O,X,X,X,O
JSLZOIT,O,X,O,O,X,X,X,O
JSLOTIZ,X,X,X,X,X,O,X,X
JSLOTZI,X,X,X,X,X,O,X,X
JSLOITZ,X,X,X,X,X,X,X,X
JSLOIZT,X,X,X,X,X,X,X,O
JSLOZTI,X,X,X,X,X,X,X,O
JSLOZIT,X,X,X,X,X,X,X,O
JSZTILO,O,X,O,O,X,X,X,O
JSZTIOL,O,X,O,O,O,O,X,X
JSZTLIO,O,X,O,O,X,X,X,O
JSZTLOI,O,X,O,O,X,X,X,O
JSZTOIL,O,X,O,O,O,O,X,X
JSZTOLI,O,X,X,O,O,O,X,X
JSZITLO,O,X,O,O,X,X,X,O
JSZITOL,O,X,O,O,O,X,X,X
JSZILTO,O,X,O,O,X,X,X,O
JSZILOT,O,X,O,O,X,X,X,O
JSZIOTL,O,X,O,O,O,X,X,X
JSZIOLT,O,X,O,O,O,X,X,O
JSZLTIO,O,X,O,O,X,X,X,O
JSZLTOI,O,X,O,O,X,X,X,O
JSZLITO,O,X,O,O,X,X,X,O
JSZLIOT,O,X,O,O,X,X,X,O
JSZLOTI,O,X,O,O,X,X,X,O
JSZLOIT,O,X,O,O,X,X,X,O
JSZOTIL,O,X,O,O,O,O,X,X
JSZOTLI,O,X,X,O,O,O,X,X
JSZOITL,O,X,O,O,O,X,X,X
JSZOILT,O,X,O,O,O,X,X,O
JSZOLTI,O,X,O,O,O,X,X,O
JSZOLIT,O,X,O,O,O,X,X,O
JSOTILZ,X,X,X,O,X,O,X,X
JSOTIZL,X,X,X,O,O,O,X,X
JSOTLIZ,X,X,X,O,X,O,X,X
JSOTLZI,X,X,X,O,X,O,X,X
JSOTZIL,X,X,X,O,O,O,X,X
JSOTZLI,X,X,X,O,O,O,X,X
JSOITLZ,X,X,X,O,X,O,X,X
JSOITZL,X,X,X,O,O,O,X,X
JSOILTZ,X,X,X,X,X,X,X,X
JSOILZT,X,X,X,O,O,X,X,X
JSOIZTL,X,X,X,O,O,X,X,X
JSOIZLT,X,X,X,O,O,X,X,X
JSOLTIZ,X,X,X,O,X,O,X,X
JSOLTZI,X,X,X,O,X,O,X,X
JSOLITZ,X,X,X,X,X,X,X,X
JSOLIZT,X,X,X,O,O,X,X,X
JSOLZTI,X,X,X,O,O,X,X,X
JSOLZIT,X,X,X,O,O,X,X,X
JSOZTIL,X,X,X,O,O,O,X,X
JSOZTLI,X,X,X,O,O,O,X,X
JSOZITL,X,X,X,O,O,X,X,X
JSOZILT,X,X,X,O,O,X,X,X
JSOZLTI,X,X,X,O,O,X,X,X
JSOZLIT,X,X,X,O,O,X,X,X
JZTILSO,O,O,O,O,X,X,X,O
JZTILOS,O,O,O,O,X,X,X,O
JZTISLO,O,O,O,O,X,X,X,O
JZTISOL,O,O,O,O,O,O,X,X
JZTIOLS,O,O,X,O,X,X,X,X
JZTIOSL,O,O,X,O,O,X,X,X
JZTLISO,O,O,O,O,X,X,X,O
JZTLIOS,O,O,O,O,X,X,X,O
JZTLSIO,O,O,O,O,X,X,X,O
JZTLSOI,O,O,O,O,X,X,X,O
JZTLOIS,O,O,O,O,X,X,X,O
JZTLOSI,O,O,O,O,X,X,X,O
JZTSILO,O,O,O,O,X,X,X,O
JZTSIOL,O,O,O,O,O,O,X,X
JZTSLIO,O,O,O,O,X,X,X,O
JZTSLOI,O,O,O,O,X,X,X,O
JZTSOIL,O,O,O,O,O,O,X,X
JZTSOLI,O,O,X,O,O,O,X,X
JZTOILS,O,O,X,O,X,X,X,X
JZTOISL,O,O,X,O,O,X,X,X
JZTOLIS,O,O,X,O,X,X,X,X
JZTOLSI,O,O,X,O,X,X,X,X
JZTOSIL,O,O,X,O,O,X,X,X
JZTOSLI,O,O,X,O,O,X,X,X
JZITLSO,O,O,O,O,X,X,X,O
JZITLOS,O,O,O,O,X,X,X,O
JZITSLO,O,O,O,O,X,X,X,O
JZITSOL,O,O,O,O,O,X,X,X
JZITOLS,O,O,X,O,X,X,X,X
JZITOSL,O,O,X,O,O,X,X,X
JZILTSO,O,O,O,O,X,X,X,O
JZILTOS,O,O,O,O,X,X,X,O
JZILSTO,O,O,O,O,X,X,X,O
JZILSOT,O,X,O,O,X,X,X,O
JZILOTS,O,X,O,O,X,X,X,O
JZILOST,O,X,O,O,X,X,X,O
JZISTLO,O,O,O,O,X,X,X,O
JZISTOL,O,O,O,O,O,X,X,X
JZISLTO,O,O,O,O,X,X,X,O
JZISLOT,O,X,O,O,X,X,X,O
JZISOTL,O,X,O,O,O,X,X,X
JZISOLT,O,X,O,O,O,X,X,O
JZIOTLS,O,X,X,O,X,X,X,X
JZIOTSL,O,X,X,O,O,X,X,X
JZIOLTS,O,X,O,O,X,X,X,O
JZIOLST,O,X,O,O,X,X,X,O
JZIOSTL,O,X,O,O,O,X,X,X
JZIOSLT,O,X,O,O,O,X,X,O
JZLTISO,O,O,O,O,X,X,X,O
JZLTIOS,O,O,O,O,X,X,X,O
JZLTSIO,O,O,O,O,X,X,X,O
JZLTSOI,O,O,O,O,X,X,X,O
JZLTOIS,O,O,O,O,X,X,X,O
JZLTOSI,O,O,O,O,X,X,X,O
JZLITSO,O,O,O,O,X,X,X,O
JZLITOS,O,O,O,O,X,X,X,O
JZLISTO,O,O,O,O,X,X,X,O
JZLISOT,O,X,O,O,X,X,X,O
JZLIOTS,O,X,O,O,X,X,X,O
JZLIOST,O,X,O,O,X,X,X,O
JZLSTIO,O,O,O,O,X,X,X,O
JZLSTOI,O,O,O,O,X,X,X,O
JZLSITO,O,O,O,O,X,X,X,O
JZLSIOT,O,X,O,O,X,X,X,O
JZLSOTI,O,X,O,O,X,X,X,O
JZLSOIT,O,X,O,O,X,X,X,O
JZLOTIS,O,X,O,O,X,X,X,O
JZLOTSI,O,X,O,O,X,X,X,O
JZLOITS,O,X,O,O,X,X,X,O
JZLOIST,O,X,O,O,X,X,X,O
JZLOSTI,O,X,O,O,X,X,X,O
JZLOSIT,O,X,O,O,X,X,X,O
JZSTILO,O,O,O,O,X,X,X,O
JZSTIOL,O,O,O,O,O,O,X,X
JZSTLIO,O,O,O,O,X,X,X,O
JZSTLOI,O,O,O,O,X,X,X,O
JZSTOIL,O,O,O,O,O,O,X,X
JZSTOLI,O,O,X,O,O,O,X,X
JZSITLO,O,O,O,O,X,X,X,O
JZSITOL,O,O,O,O,O,X,X,X
JZSILTO,O,O,O,O,X,X,X,O
JZSILOT,O,X,O,O,X,X,X,O
JZSIOTL,O,X,O,O,O,X,X,X
JZSIOLT,O,X,O,O,O,X,X,O
JZSLTIO,O,O,O,O,X,X,X,O
JZSLTOI,O,O,O,O,X,X,X,O
JZSLITO,O,O,O,O,X,X,X,O
JZSLIOT,O,X,O,O,X,X,X,O
JZSLOTI,O,X,O,O,X,X,X,O
JZSLOIT,O,X,O,O,X,X,X,O
JZSOTIL,O,X,O,O,O,O,X,X
JZSOTLI,O,X,X,O,O,O,X,X
JZSOITL,O,X,O,O,O,X,X,X
JZSOILT,O,X,O,O,O,X,X,O
JZSOLTI,O,X,O,O,O,X,X,O
JZSOLIT,O,X,O,O,O,X,X,O
JZOTILS,O,X,X,O,X,X,X,X
JZOTISL,O,X,X,O,O,X,X,X
JZOTLIS,O,X,X,O,X,X,X,X
JZOTLSI,O,X,X,O,X,X,X,X
JZOTSIL,O,X,X,O,O,X,X,X
JZOTSLI,O,X,X,O,O,X,X,X
JZOITLS,O,X,X,O,X,X,X,X
JZOITSL,O,X,X,O,O,X,X,X
JZOILTS,O,X,O,O,X,X,X,O
JZOILST,O,X,O,O,X,X,X,O
JZOISTL,O,X,O,O,O,X,X,X
JZOISLT,O,X,O,O,O,X,X,O
JZOLTIS,O,X,O,O,X,X,X,O
JZOLTSI,O,X,O,O,X,X,X,O
JZOLITS,O,X,O,O,X,X,X,O
JZOLIST,O,X,O,O,X,X,X,O
JZOLSTI,O,X,O,O,X,X,X,O
JZOLSIT,O,X,O,O,X,X,X,O
JZOSTIL,O,X,O,O,O,X,X,X
JZOSTLI,O,X,X,O,O,X,X,X
JZOSITL,O,X,O,O,O,X,X,X
JZOSILT,O,X,O,O,O,X,X,O
JZOSLTI,O,X,O,O,O,X,X,O
JZOSLIT,O,X,O,O,O,X,X,O
JOTILSZ,O,X,X,O,X,X,O,X
JOTILZS,O,X,X,O,X,X,O,X
JOTISLZ,O,X,X,O,X,O,X,X
JOTISZL,O,X,X,O,X,O,X,X
JOTIZLS,O,X,X,O,X,X,X,X
JOTIZSL,O,X,X,O,X,X,X,X
JOTLISZ,O,X,X,O,X,X,O,X
JOTLIZS,O,X,X,O,X,X,O,X
JOTLSIZ,O,X,X,O,X,X,X,X
JOTLSZI,O,X,X,O,X,X,X,X
JOTLZIS,O,X,X,O,X,X,X,X
JOTLZSI,O,X,X,O,X,X,X,X
JOTSILZ,O,X,X,O,X,O,X,X
JOTSIZL,O,X,X,O,X,O,X,X
JOTSLIZ,O,X,X,O,X,O,X,X
JOTSLZI,O,X,X,O,X,O,X,X
JOTSZIL,O,X,X,O,X,O,X,X
JOTSZLI,O,X,X,O,X,O,X,X
JOTZILS,O,X,X,O,X,X,X,X
JOTZISL,O,X,X,O,X,X,X,X
JOTZLIS,O,X,X,O,X,X,X,X
JOTZLSI,O,X,X,O,X,X,X,X
JOTZSIL,O,X,X,O,X,X,X,X
JOTZSLI,O,X,X,O,X,X,X,X
JOITLSZ,O,X,X,O,X,X,O,X
JOITLZS,O,X,X,O,X,X,O,X
JOITSLZ,O,X,X,O,X,X,X,X
JOITSZL,O,X,X,O,X,X,X,X
JOITZLS,O,X,X,O,X,X,X,X
JOITZSL,O,X,X,O,X,X,X,X
JOILTSZ,O,X,X,X,X,X,O,X
JOILTZS,O,X,O,X,X,X,O,O
JOILSTZ,X,X,X,X,X,X,X,X
JOILSZT,X,X,X,O,X,X,X,O
JOILZTS,O,X,O,O,X,X,X,O
JOILZST,O,X,O,O,X,X,X,O
JOISTLZ,X,X,X,O,X,X,X,X
JOISTZL,X,X,X,O,O,X,X,X
JOISLTZ,X,X,X,X,X,X,X,X
