sequence,v115@vhHT1IZkBtpBmlBfsB0nB6tBWwB,v115@vhHT5I5oBOpB8pBCmBXnBdtB2wB,v115@vhHT5I5oBikBGmBOsBdtB3pBUrB,v115@vhHT5I5oBOpB8pBfrB6rBOsBdtB,v115@vhHu6I8kB6oBznB2uBlqB3rBxxB,v115@vhHOEJzgB+pBKqBUnB/tBFrBRxB,v115@vhHT/IulBypBlmB3nBctB2wBxuB,v115@vhH8EJWmB6oBznB2uBlqB3rBxxB,v115@vhHz/IOoBKpBUmB/sB+tBFqBRwB,v115@vhH3/I6oBllBRnBTpB2vBmrBUtB,v115@vhHT/I8lBWnB+tBipBlrB3sBRvB,v115@vhHz/I8lBWnB+tBipBlrB3sBRvB,v115@vhHu7ITfB8lB+tBipBlrB3sBRvB,v115@vhHu7IzfB8lB+tBipBlrB3sBRvB,v115@vhHx7IfnBKpBdrBznB+tBUqBWxB,v115@vhHx8I8lBmkBtrB+tBTpByvB3sB,v115@vhHx8IylB0kBtrB+tB2uBzqB3sB,v115@vhHO6I+fBKqBUnB/tBTpBFrBRxB,v115@vhHT1IOkB+pBKqBUnB/tBFrBRxB,v115@vhHO+I+jBKpBUmB/sBFqBTtBRwB,v115@vhHT5IOoBKpBUmB/sB+tBFqBRwB,v115@vhH++IWoBKpBUmB/sBFqBTtBRwB,v115@vhH/6I2kB8lBStBTpB2vBlrBxxB,v115@vhHZ6IqfB8lB+tBTpB2vBlrB3sB,v115@vhHu9IejBKpBUmB/sBFqBTtBRwB,v115@vhHu6I8kBzmBftB6tB2uBlqBxwB,v115@vhHWAJ8mB3kBzlB+tByuBlsBRwB,v115@vhHeCJ8kBziBStB2uBlqB3rBxxB,v115@vhH2CJ8kBzmBftB6tB2uBlqBxwB,v115@vhHq7IxcBcqBerBtrB+tBTpB3sB,v115@vhHeGJ8mBziB3kB+tByuBlsBRwB,v115@vhH8EJzgBZnB+rBXoB2uBlqBSyB,v115@vhHe+IWlBKpBTnB/tBUqBFrBRxB,v115@vhHe+IckBXlBesBznBFrBSyBxuB,v115@vhHq6I/oBGlB0nBTpB2vBlrBxxB,v115@vhH+DJ0fBfmBKpBFqBGsBTtBRwB,v115@vhH26IZkB8nBtpB+rBKsB3qBTtB,v115@vhH8CJ+jBfmBKpBFqBGsBTtBRwB,v115@vhH++I8kBzmBftB6tB2uBlqBxwB,v115@vhH28IamBcpBTlBtrB+tB3sBRvB,v115@vhH26IZkB8mBtpBusB3qBywBTtB,v115@vhHS+IfmB5oBzkBdtB2uBWwBUsB,v115@vhHS8IfnB8nB2pBdrBWxBTtBxuB,v115@vhH28I8kBZmBKpBtrB+tBTqB3sB,v115@vhH2CJ5oBOpBXlBlmBatBUrBTsB,v115@vhH/CJTjBxkBlmBipBUrB2xBGtB,v115@vhH/CJOoBxkBlmB+tBipBUrBTsB,v115@vhHO6I+jBKpBUmB/sBFqBTtBRwB,v115@vhHO6IejBKpBUmB/sBFqBTtBRwB,v115@vhH/6I2kB8mB+tBTpBiqBlsBRwB,v115@vhH/6IZkB8mBzkB+tBSvB2wBlsB,v115@vhH8EJzgB5oB+rB3nB2uBlqByxB,v115@vhH++IzfB8lB+tBipBlrB3sBRvB,v115@vhHX5I+jBikBRmB9sBGqB0rBTtB,v115@vhHu6I8kBzgBStB2uBlqB3rBxxB,v115@vhHu6IXgB8lBStBTpB2vBlrBxxB,v115@vhHu6IKlBzgBcpB+tBlrB3sBRvB,v115@vhHO7I+fBKqBUnB/tBTpBFrBRxB,v115@vhHG5IdoB5oBikBuqB3mBzpB0sB,v115@vhHi1IZkBtkBUmBGnBToBXqB2xB,v115@vhH++I8kB6nBToB2uBlqB3rBxxB,v115@vhH++ITfB8lB+tBipBlrB3sBRvB,v115@vhH6+IejBcqB3mB+tBTpBlsBRwB,v115@vhH+/I8mBXjB+tBTpBiqBlsBRwB,v115@vhH5/I8mBXjBKpB+tBTqB2wBlsB,v115@vhH+DJ8lBXiB+sBipBlrBTtBRvB,v115@vhH5DJ8lBXiB+sBKtBTpB2vBlrB,v115@vhHuCJfnBTjBKpBUqBFrBGtBRxB,v115@vhHz6I2kB8lB+tBipBlrB3sBRvB,v115@vhHU+IfnBWoB2pBFrBSxBTtBxuB,v115@vhHz9IWnB5oBKpBetBUqBFrBXsB,v115@vhHz9IWnBcoB2pBFrBXsBSyBxuB,v115@vhHZEJ8mBziBqpB/qB+tB2wBlsB,v115@vhH+AJ/kB0mBCoB2uBlqBTtBxwB,v115@vhHT8I/kB8mByqB+tB2uBlsBRwB,v115@vhHS+I8kBTjBWtB2uBlqB3rBxxB,v115@vhH5+IajB8kB+sB2uBlqB3rBTtB,v115@vhH26IOkBfoBzkBUrBFsBSyBxuB,v115@vhH5+I/kBylB+sB2uB0qBlrBTtB,v115@vhHZ6I/lBymB+tBTpB2vB0rBlsB
OLJZSTI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,O
OLJZSIT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,X,X,X,X,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,X,X,O,X,X,O,X,O,X,X,O,O,X,O,X,O,X,O,X,O,O
OLSTIJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X
OLSTIZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X
OLSTJIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
OLSTJZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OLSTZIJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OLSTZJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OLSITJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,O,O,O,X,O,X,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,O,X,O,O,O,O,O,O,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X,X
OLSITZJ,O,O,X,O,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,X,O,X,X,O,X,O,X,O,X,O,O,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X
OLSIJTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,X,X,O,O,O,O,O,O,X,O,X,O,O,X,O,O,O,O,O,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X,X
OLSIJZT,O,O,X,O,X,O,X,X,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,X,O,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,X,O,O,X,O,O,O,X,O,X,O,O
OLSIZTJ,O,O,X,O,X,X,X,X,X,X,O,O,O,O,X,O,X,O,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,O,O,X,O,O,O,O,O,X,O,X,X,O,X,O,O,O,X,O,O,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,O,O
OLSIZJT,O,O,X,O,X,O,X,X,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,X,O,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,O,X,O,O,O,O,O,O,O,X,O,O,X,O,O,O,X,O,X,O,O
OLSJTIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
OLSJTZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OLSJITZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,X,X,O,O,O,O,O,O,X,O,X,O,O,X,O,O,O,O,O,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,O,X,O,X,X,X
OLSJIZT,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,O,X,O,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,O,X,O,O,X,O,O,X,O,O,X,O,O,O,X,O,X,O,O
OLSJZTI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,O
OLSJZIT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,X,X,X,X,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,O,X,X,O,X,O,X,X,O,O,X,O,X,O,X,O,X,O,O
OLSZTIJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O
OLSZTJI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
OLSZITJ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,O,O,X,O,X,O,O,O,X,O,O,O,O,O,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O,O
OLSZIJT,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,O,O,O,X,O,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,X,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,O,X,O,O,O,X,X,O,X,O,X,O,X,X,O,O,X,O,O,O,X,O,X,O,O
OLSZJTI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,O
OLSZJIT,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,O,O,O,X,O,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,X,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,X,O,X,X,O,X,O,X,X,O,O,X,O,X,O,X,O,X,O,O
OLZTIJS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,O,O
OLZTISJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O
OLZTJIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O
OLZTJSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
OLZTSIJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O
OLZTSJI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
OLZITJS,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,O,O,X,O,O,O,O,O,X,O,O,X,O,O,X,O,X,O,O,X,X,O,X,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,O,O
OLZITSJ,X,O,X,X,X,X,X,X,X,O,O,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,O,X,X,O,O,X,O,O,O,O,O,X,O,X,X,O,X,O,O,X,X,O,O,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,O,O
OLZIJTS,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,O,O,X,O,O,O,O,O,X,O,O,X,O,O,X,O,X,O,O,X,X,O,X,O,O,O,O,O,X,O,X,X,X,X,O,X,O,X,O,O
OLZIJST,X,O,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,O,X,O,O,X,O,O,O,X,O,X,O,O
OLZISTJ,X,O,X,X,X,X,X,X,X,O,O,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,O,O,O,X,X,O,X,O,O,O,X,O,O,O,O,O,X,O,X,X,O,X,O,O,X,X,O,O,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,O,O
OLZISJT,X,O,X,X,X,X,X,X,X,O,O,O,O,O,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,X,O,O,O,O,O,O,O,X,O,O,X,O,O,O,X,O,X,O,O
OLZJTIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O
OLZJTSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
OLZJITS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,O,O,X,O,O,O,O,O,X,O,O,X,O,O,X,X,X,O,O,X,X,O,X,O,O,X,O,O,X,O,X,X,X,X,O,X,O,X,O,O
OLZJIST,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,O,O,O,O,O,X,X,O,O,X,O,O,O,O,O,X,O,O,O,O,O,X,X,X,O,O,X,X,O,O,O,O,X,O,O,X,O,O,X,O,X,O,X,O,X,O,O
OLZJSTI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,O
OLZJSIT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O,X,O,X,O,O,O,O,O,X,X,O,O,X,O,X,X,X,X,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,X,X,O,X,X,O,X,O,X,X,O,O,X,O,X,O,X,O,X,O,O
OLZSTIJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O
OLZSTJI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
OLZSITJ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,O,O,X,O,X,O,O,O,X,O,O,O,O,O,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O,O
OLZSIJT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O,X,O,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,X,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,O,X,O,O,X,X,X,O,X,O,X,O,X,X,O,O,X,O,O,O,X,O,X,O,O
OLZSJTI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,O
OLZSJIT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O,X,O,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,X,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,X,O,X,X,O,X,O,X,X,O,O,X,O,X,O,X,O,X,O,O
OJTILSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OJTILZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OJTISLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OJTISZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
OJTIZLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O
OJTIZSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
OJTLISZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OJTLIZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OJTLSIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJTLSZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJTLZIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OJTLZSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJTSILZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJTSIZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
OJTSLIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJTSLZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OJTSZIL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
OJTSZLI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
