sequence,v115@QhA8HeE8AeF8JeUBJvhFFiBXjBTkB6qBmpBxwB,v115@QhA8HeE8AeF8Je1FJvhF0hBxiBTkB3nBmkBCrB,v115@QhA8HeE8AeF8Je3AJvhFqmBxiBTkB8qBlsBmpB,v115@QhA8HeE8AeF8JeOEJvhFXgBzhBFjBSsBRqB8qB,v115@QhA8HeE8AeF8JeOEJvhFxhBXjBzkBVrBUnB6qB,v115@QhA8HeE8AeF8JexCJvhFTkB0lBlmB3nBmkBCrB,v115@QhA8HeE8AeF8Jex/IvhFqmB/nBFjBTkB2qB8qB,v115@QhA8HeE8AeF8JeT/IvhFXjBmlBUnBCnBxpBlqB,v115@QhA8HeE8AeF8JeFCJvhFXjBxkB8qBWxBTpBiqB,v115@QhA8HeE8AeF8JeUBJvhFFjBxkBTnBikB3mBGqB
IOZJTSL,X,X,X,X,O,X,X,O,X,X
IOZJLTS,X,X,X,X,X,X,X,X,X,X
IOZJLST,X,X,X,X,X,X,X,O,X,X
IOZJSTL,X,X,X,X,O,O,X,O,X,X
IOZJSLT,X,X,X,X,X,X,X,O,X,X
IOZSTLJ,O,X,X,X,O,O,X,X,X,X
IOZSTJL,X,X,X,X,O,O,X,O,X,X
IOZSLTJ,O,O,O,X,X,O,X,X,X,X
IOZSLJT,O,O,X,X,X,X,X,O,X,X
IOZSJTL,X,X,X,X,O,O,X,O,X,X
IOZSJLT,X,X,X,X,X,X,X,O,X,X
LTIJSZO,O,X,X,O,X,X,X,X,X,X
LTIJSOZ,O,X,X,O,X,X,X,X,X,X
LTIJZSO,O,X,O,O,X,X,X,X,X,X
LTIJZOS,O,X,O,O,X,X,X,X,X,X
LTIJOSZ,O,X,X,O,X,X,X,X,X,X
LTIJOZS,O,X,O,O,X,X,X,X,X,X
LTISJZO,O,O,X,O,X,X,X,X,X,X
LTISJOZ,O,O,X,O,X,X,X,X,X,X
LTISZJO,O,O,O,X,X,X,X,X,X,X
LTISZOJ,O,O,O,X,X,X,X,X,X,X
LTISOJZ,O,O,X,O,X,X,X,X,X,X
LTISOZJ,O,O,O,X,X,X,X,X,X,X
LTIZJSO,O,X,O,O,X,X,X,X,X,X
LTIZJOS,O,X,O,O,X,X,X,X,X,X
LTIZSJO,O,O,O,X,X,X,X,X,X,X
LTIZSOJ,O,O,O,X,X,X,X,X,X,X
LTIZOJS,O,X,O,O,X,X,X,X,X,X
LTIZOSJ,O,O,O,X,X,X,X,X,X,X
LTIOJSZ,O,X,X,O,X,X,X,X,X,X
LTIOJZS,O,X,O,O,X,X,X,X,X,X
LTIOSJZ,O,O,X,O,X,X,X,X,X,X
LTIOSZJ,O,O,O,X,X,X,X,X,X,X
LTIOZJS,O,X,O,O,X,X,X,X,X,X
LTIOZSJ,O,O,O,X,X,X,X,X,X,X
LTJISZO,X,X,X,O,X,X,X,X,X,X
LTJISOZ,X,X,X,O,X,X,X,X,X,X
LTJIZSO,X,X,O,O,X,X,X,X,X,X
LTJIZOS,X,X,O,O,X,X,X,X,X,X
LTJIOSZ,X,X,X,O,X,X,X,X,X,X
LTJIOZS,X,X,O,O,X,X,X,X,X,O
LTJSIZO,X,O,X,O,X,X,X,X,X,X
LTJSIOZ,X,O,X,O,X,X,O,X,X,X
LTJSZIO,X,O,X,X,X,X,X,X,X,X
LTJSZOI,X,O,X,X,X,X,O,X,X,X
LTJSOIZ,X,O,X,O,X,X,O,X,X,X
LTJSOZI,X,O,X,X,X,X,O,X,X,X
LTJZISO,X,X,O,O,X,X,X,X,X,X
LTJZIOS,X,X,O,O,X,X,X,X,X,X
LTJZSIO,X,O,O,X,X,X,X,X,X,X
LTJZSOI,X,O,O,X,X,X,X,X,X,X
LTJZOIS,X,X,O,O,X,X,X,X,X,X
LTJZOSI,X,O,O,X,X,X,X,X,X,X
LTJOISZ,X,X,X,O,X,X,X,X,X,X
LTJOIZS,X,X,O,O,X,X,X,X,X,O
LTJOSIZ,X,O,X,O,X,X,O,X,X,X
LTJOSZI,X,O,X,X,X,X,O,X,X,X
LTJOZIS,X,X,O,O,X,X,X,X,X,X
LTJOZSI,X,O,O,X,X,X,X,X,X,X
LTSIJZO,X,O,X,O,X,X,X,X,X,X
LTSIJOZ,X,O,X,O,X,X,O,X,X,X
LTSIZJO,X,O,O,X,X,X,X,X,X,X
LTSIZOJ,O,O,O,X,X,O,X,X,X,X
LTSIOJZ,X,O,X,O,X,X,O,X,X,X
LTSIOZJ,O,O,O,X,X,O,X,X,X,X
LTSJIZO,X,O,X,O,X,X,X,X,X,X
LTSJIOZ,X,O,X,O,X,X,O,X,X,X
LTSJZIO,X,O,X,X,X,X,X,X,X,X
LTSJZOI,O,O,X,X,X,X,O,X,X,X
LTSJOIZ,X,O,X,O,X,X,O,X,X,X
LTSJOZI,O,O,X,X,X,X,O,X,X,X
LTSZIJO,X,O,O,X,X,X,X,X,X,X
LTSZIOJ,O,O,O,X,O,O,X,X,X,X
LTSZJIO,X,O,O,X,X,X,X,X,X,X
LTSZJOI,O,O,O,X,X,X,O,X,X,X
LTSZOIJ,O,O,O,X,O,O,X,X,X,X
LTSZOJI,O,O,O,X,O,O,O,X,X,X
LTSOIJZ,X,O,X,O,X,X,O,X,X,X
LTSOIZJ,O,O,O,X,X,O,X,X,X,X
LTSOJIZ,X,O,X,O,X,X,O,X,X,X
LTSOJZI,O,O,X,X,O,X,O,X,X,X
LTSOZIJ,O,O,O,X,O,O,X,X,X,X
LTSOZJI,O,O,O,X,O,O,O,X,X,X
LTZIJSO,O,X,O,O,X,X,X,X,X,X
LTZIJOS,O,X,O,O,X,X,X,X,X,X
LTZISJO,O,O,O,X,X,X,X,X,X,X
LTZISOJ,O,O,O,X,O,X,X,X,X,X
LTZIOJS,O,X,O,O,O,X,X,X,X,X
LTZIOSJ,O,O,O,X,O,X,X,X,X,X
LTZJISO,X,X,O,O,X,X,X,X,X,X
LTZJIOS,X,X,O,O,X,X,X,X,X,X
LTZJSIO,X,O,O,X,X,X,X,X,X,X
LTZJSOI,O,O,O,X,X,X,X,X,X,X
LTZJOIS,X,X,O,O,X,X,X,X,X,X
LTZJOSI,O,O,O,X,X,X,X,X,X,X
LTZSIJO,X,O,O,X,X,X,X,X,X,X
LTZSIOJ,O,O,O,X,O,O,X,X,X,X
LTZSJIO,X,O,O,X,X,X,X,X,X,X
LTZSJOI,O,O,O,X,X,X,X,X,X,X
LTZSOIJ,O,O,O,X,O,O,X,X,X,X
LTZSOJI,O,O,O,X,O,O,X,X,X,X
LTZOIJS,O,X,O,O,O,X,X,X,X,X
LTZOISJ,O,O,O,X,O,X,X,X,X,X
LTZOJIS,X,X,O,O,O,X,X,X,X,X
LTZOJSI,O,O,O,X,O,X,X,X,X,X
LTZOSIJ,O,O,O,X,O,O,X,X,X,X
LTZOSJI,O,O,O,X,O,O,X,X,X,X
LTOIJSZ,O,X,X,O,X,X,X,X,X,X
LTOIJZS,O,X,O,O,X,X,X,X,X,X
LTOISJZ,O,O,X,O,X,X,X,X,X,X
LTOISZJ,O,O,O,X,X,X,X,X,X,X
LTOIZJS,O,X,O,O,X,X,X,X,X,X
LTOIZSJ,O,O,O,X,X,X,X,X,X,X
LTOJISZ,X,X,X,O,X,X,X,X,X,X
LTOJIZS,X,X,O,O,X,X,X,X,X,O
LTOJSIZ,X,O,X,O,X,X,O,X,X,X
LTOJSZI,X,O,X,X,O,X,O,X,X,X
LTOJZIS,X,X,O,O,O,X,X,X,X,X
LTOJZSI,X,O,O,X,O,X,X,X,X,X
LTOSIJZ,X,O,X,O,X,X,O,X,X,X
LTOSIZJ,O,O,O,X,X,O,X,X,X,X
LTOSJIZ,X,O,X,O,X,X,O,X,X,X
LTOSJZI,O,O,X,X,O,X,O,X,X,X
LTOSZIJ,O,O,O,X,O,O,X,X,X,X
LTOSZJI,O,O,O,X,O,O,O,X,X,X
LTOZIJS,O,X,O,O,O,X,X,X,X,X
LTOZISJ,O,O,O,X,O,X,X,X,X,X
LTOZJIS,X,X,O,O,O,X,X,X,X,X
LTOZJSI,O,O,O,X,O,X,X,X,X,X
LTOZSIJ,O,O,O,X,O,O,X,X,X,X
LTOZSJI,O,O,O,X,O,O,X,X,X,X
LITJSZO,O,X,X,O,X,X,X,X,X,X
LITJSOZ,O,X,X,O,X,X,X,X,X,X
LITJZSO,O,X,O,O,X,X,X,X,X,X
LITJZOS,O,X,O,O,X,X,X,X,X,X
LITJOSZ,O,X,X,O,X,X,X,X,X,X
LITJOZS,O,X,O,O,X,X,X,X,X,X
LITSJZO,O,O,X,O,X,X,X,X,X,X
LITSJOZ,O,O,X,O,X,X,X,X,X,X
LITSZJO,O,O,O,X,X,X,X,X,X,X
LITSZOJ,O,O,O,X,X,X,X,X,X,X
LITSOJZ,O,O,X,O,X,X,X,X,X,X
LITSOZJ,O,O,O,X,X,X,X,X,X,X
LITZJSO,O,X,O,O,X,X,X,X,X,X
LITZJOS,O,X,O,O,X,X,X,X,X,X
LITZSJO,O,O,O,X,X,X,X,X,X,X
LITZSOJ,O,O,O,X,X,X,X,X,X,X
LITZOJS,O,X,O,O,X,X,X,X,X,X
LITZOSJ,O,O,O,X,X,X,X,X,X,X
LITOJSZ,O,X,X,O,X,X,X,X,X,X
LITOJZS,O,X,O,O,X,X,X,X,X,X
LITOSJZ,O,O,X,O,X,X,X,X,X,X
LITOSZJ,O,O,O,X,X,X,X,X,X,X
LITOZJS,O,X,O,O,X,X,X,X,X,X
LITOZSJ,O,O,O,X,X,X,X,X,X,X
LIJTSZO,O,X,X,O,X,X,X,X,X,X
LIJTSOZ,O,X,X,O,X,X,X,X,X,X
LIJTZSO,O,X,X,O,X,X,X,X,X,X
LIJTZOS,O,X,X,O,X,X,X,X,X,X
LIJTOSZ,O,X,X,O,X,X,X,X,X,X
LIJTOZS,O,X,X,O,X,X,X,X,X,X
LIJSTZO,O,X,X,O,X,X,X,X,X,X
LIJSTOZ,O,X,X,O,X,X,O,X,X,X
LIJSZTO,O,X,X,O,X,X,X,X,X,X
LIJSZOT,O,X,X,O,X,X,X,O,X,X
LIJSOTZ,O,X,X,O,X,X,O,X,X,X
LIJSOZT,O,X,X,O,X,X,O,O,X,X
LIJZTSO,O,X,X,O,X,X,X,X,X,X
LIJZTOS,O,X,X,O,X,X,X,X,X,X
LIJZSTO,O,X,X,O,X,X,X,X,X,X
LIJZSOT,O,X,X,O,X,X,X,O,X,X
LIJZOTS,O,X,X,O,X,X,X,X,X,X
LIJZOST,O,X,X,O,X,X,X,O,X,X
LIJOTSZ,O,X,X,O,X,X,X,X,X,X
LIJOTZS,O,X,X,O,X,X,X,X,X,X
LIJOSTZ,O,X,X,O,X,X,O,X,X,X
LIJOSZT,O,X,X,O,X,X,O,O,X,X
LIJOZTS,O,X,X,O,X,X,X,X,X,X
LIJOZST,O,X,X,O,X,X,X,O,X,X
LISTJZO,O,O,X,O,X,X,X,X,X,X
LISTJOZ,O,O,X,O,X,X,O,X,X,X
LISTZJO,O,O,X,X,X,X,X,X,X,X
LISTZOJ,O,O,X,X,X,O,X,X,X,X
LISTOJZ,O,O,X,O,X,X,O,X,X,X
LISTOZJ,O,O,X,X,X,O,X,X,X,X
LISJTZO,O,O,X,O,X,X,X,X,X,X
LISJTOZ,O,O,X,O,X,X,O,X,X,X
LISJZTO,O,O,X,O,X,X,X,X,X,X
LISJZOT,O,O,X,O,X,X,X,O,X,X
LISJOTZ,O,O,X,O,X,X,O,X,X,X
LISJOZT,O,O,X,O,X,X,O,O,X,X
LISZTJO,O,O,X,X,X,X,X,X,X,X
LISZTOJ,O,O,X,X,X,O,X,X,X,X
LISZJTO,O,O,X,X,X,X,X,X,X,X
LISZJOT,O,O,X,X,X,X,X,O,X,X
LISZOTJ,O,O,X,X,X,O,X,X,X,X
LISZOJT,O,O,X,X,X,X,X,O,X,X
LISOTJZ,O,O,X,O,X,X,O,X,X,X
LISOTZJ,O,O,X,X,X,O,X,X,X,X
LISOJTZ,O,O,X,O,X,X,O,X,X,X
LISOJZT,O,O,X,O,X,X,O,O,X,X
LISOZTJ,O,O,X,X,X,O,X,X,X,X
LISOZJT,O,O,X,X,X,X,X,O,X,X
LIZTJSO,O,X,O,O,X,X,X,X,X,X
LIZTJOS,O,X,O,O,X,X,X,X,X,X
LIZTSJO,O,O,O,X,X,X,X,X,X,X
LIZTSOJ,O,O,O,X,X,X,X,X,X,X
LIZTOJS,O,X,O,O,X,X,X,X,X,X
LIZTOSJ,O,O,O,X,X,X,X,X,X,X
LIZJTSO,O,X,X,O,X,X,X,X,X,X
LIZJTOS,O,X,X,O,X,X,X,X,X,X
LIZJSTO,O,X,X,O,X,X,X,X,X,X
LIZJSOT,O,X,X,O,X,X,X,O,X,X
LIZJOTS,O,X,X,O,X,X,X,X,X,X
LIZJOST,O,X,X,O,X,X,X,O,X,X
LIZSTJO,O,O,O,X,X,X,X,X,X,X
LIZSTOJ,O,O,O,X,X,O,X,X,X,X
LIZSJTO,O,O,X,X,X,X,X,X,X,X
LIZSJOT,O,O,X,X,X,X,X,O,X,X
LIZSOTJ,O,O,O,X,X,O,X,X,X,X
LIZSOJT,O,O,X,X,X,X,X,O,X,X
LIZOTJS,O,X,O,O,X,X,X,X,X,X
LIZOTSJ,O,O,O,X,X,X,X,X,X,X
LIZOJTS,O,X,X,O,X,X,X,X,X,X
LIZOJST,O,X,X,O,X,X,X,O,X,X
LIZOSTJ,O,O,O,X,X,O,X,X,X,X
LIZOSJT,O,O,X,X,X,X,X,O,X,X
LIOTJSZ,O,X,X,O,X,X,X,X,X,X
LIOTJZS,O,X,O,O,X,X,X,X,X,X
LIOTSJZ,O,O,X,O,X,X,X,X,X,X
LIOTSZJ,O,O,O,X,X,X,X,X,X,X
LIOTZJS,O,X,O,O,X,X,X,X,X,X
LIOTZSJ,O,O,O,X,X,X,X,X,X,X
LIOJTSZ,O,X,X,O,X,X,X,X,X,X
LIOJTZS,O,X,X,O,X,X,X,X,X,X
LIOJSTZ,O,X,X,O,X,X,O,X,X,X
LIOJSZT,O,X,X,O,X,X,O,O,X,X
LIOJZTS,O,X,X,O,X,X,X,X,X,X
LIOJZST,O,X,X,O,X,X,X,O,X,X
LIOSTJZ,O,O,X,O,X,X,O,X,X,X
LIOSTZJ,O,O,X,X,X,O,X,X,X,X
LIOSJTZ,O,O,X,O,X,X,O,X,X,X
LIOSJZT,O,O,X,O,X,X,O,O,X,X
LIOSZTJ,O,O,X,X,X,O,X,X,X,X
LIOSZJT,O,O,X,X,X,X,X,O,X,X
LIOZTJS,O,X,O,O,X,X,X,X,X,X
LIOZTSJ,O,O,O,X,X,X,X,X,X,X
LIOZJTS,O,X,X,O,X,X,X,X,X,X
LIOZJST,O,X,X,O,X,X,X,O,X,X
LIOZSTJ,O,O,O,X,X,O,X,X,X,X
LIOZSJT,O,O,X,X,X,X,X,O,X,X
LJTISZO,X,X,X,O,X,X,X,X,X,X
LJTISOZ,X,X,X,O,X,X,X,X,X,X
LJTIZSO,X,X,O,O,X,X,X,X,X,X
LJTIZOS,X,X,O,O,X,X,X,X,X,X
LJTIOSZ,X,X,X,O,X,X,X,X,X,X
LJTIOZS,X,X,O,O,X,X,X,X,X,O
LJTSIZO,X,O,X,O,X,X,X,X,X,X
LJTSIOZ,X,O,X,O,X,X,O,X,X,X
LJTSZIO,X,O,X,X,X,X,X,X,O,X
LJTSZOI,X,O,X,X,X,X,O,X,X,X
LJTSOIZ,X,O,X,O,X,X,O,X,X,X
LJTSOZI,X,O,X,X,X,X,O,X,X,X
LJTZISO,X,X,O,O,X,X,X,X,O,X
LJTZIOS,X,X,O,O,X,X,X,X,X,X
LJTZSIO,X,O,O,X,X,X,X,X,O,X
LJTZSOI,X,O,O,X,X,X,X,X,X,X
LJTZOIS,X,X,O,O,X,X,X,X,X,X
LJTZOSI,X,O,O,X,X,X,X,X,X,X
LJTOISZ,X,X,X,O,X,X,X,X,X,X
LJTOIZS,X,X,O,O,X,X,X,X,X,O
LJTOSIZ,X,O,X,O,X,X,O,X,X,X
LJTOSZI,X,O,X,X,X,X,O,X,X,X
LJTOZIS,X,X,O,O,X,X,X,X,X,X
LJTOZSI,X,O,O,X,X,X,X,X,X,X
LJITSZO,O,X,X,O,X,X,X,X,X,X
LJITSOZ,O,X,X,O,X,X,X,X,X,X
LJITZSO,O,X,X,O,X,X,X,X,X,X
LJITZOS,O,X,X,O,X,X,X,X,X,X
LJITOSZ,O,X,X,O,X,X,X,X,X,X
LJITOZS,O,X,X,O,X,X,X,X,X,O
LJISTZO,O,X,X,O,X,X,X,X,X,X
LJISTOZ,O,X,X,O,X,X,O,X,X,X
LJISZTO,O,X,X,O,X,X,X,X,X,X
LJISZOT,O,X,X,O,X,X,X,O,X,X
LJISOTZ,O,X,X,O,X,X,O,X,X,X
LJISOZT,O,X,X,O,X,X,O,O,X,X
LJIZTSO,O,X,X,O,X,X,X,X,X,X
LJIZTOS,O,X,X,O,X,X,X,X,X,X
LJIZSTO,O,X,X,O,X,X,X,X,X,X
LJIZSOT,O,X,X,O,X,X,X,O,X,X
LJIZOTS,O,X,X,O,X,X,X,X,X,O
LJIZOST,O,X,X,O,X,X,X,O,X,X
LJIOTSZ,O,X,X,O,X,X,X,X,X,X
LJIOTZS,O,X,X,O,X,X,X,X,X,O
LJIOSTZ,O,X,X,O,X,X,O,X,X,X
LJIOSZT,O,X,X,O,X,X,O,O,X,X
LJIOZTS,O,X,X,O,X,X,X,X,X,O
LJIOZST,O,X,X,O,X,X,X,O,X,X
LJSTIZO,X,O,X,O,X,X,X,X,X,X
LJSTIOZ,X,O,X,O,X,X,O,X,X,X
LJSTZIO,X,O,X,X,X,X,X,X,O,X
LJSTZOI,O,O,X,X,X,X,O,X,X,X
LJSTOIZ,X,O,X,O,X,X,O,X,X,X
LJSTOZI,O,O,X,X,X,X,O,X,X,X
LJSITZO,X,O,X,O,X,X,X,X,X,X
LJSITOZ,X,O,X,O,X,X,O,X,X,X
LJSIZTO,X,O,X,O,X,X,X,X,X,X
LJSIZOT,X,O,X,O,X,X,X,O,X,X
LJSIOTZ,X,O,X,O,X,X,O,X,X,X
LJSIOZT,X,O,X,O,X,X,O,O,X,X
LJSZTIO,X,O,X,X,X,X,X,X,O,X
LJSZTOI,O,O,X,X,X,X,O,X,X,X
LJSZITO,X,O,X,X,X,X,X,X,O,X
LJSZIOT,X,O,X,X,X,X,X,O,X,X
LJSZOTI,O,O,X,X,O,X,O,X,X,X
LJSZOIT,X,O,X,X,X,X,O,X,X,X
LJSOTIZ,X,O,X,O,X,X,O,X,X,X
LJSOTZI,O,O,X,X,O,X,O,X,X,X
LJSOITZ,X,O,X,O,X,X,O,X,X,X
LJSOIZT,X,O,X,O,X,X,O,X,X,X
LJSOZTI,O,O,X,X,O,X,O,X,X,X
LJSOZIT,X,O,X,X,X,X,O,X,X,X
LJZTISO,X,X,O,O,X,X,X,X,O,X
LJZTIOS,X,X,O,O,X,X,X,X,X,X
LJZTSIO,X,O,O,X,X,X,X,X,O,X
LJZTSOI,O,O,O,X,X,X,X,X,X,X
LJZTOIS,X,X,O,O,X,X,X,X,X,X
LJZTOSI,O,O,O,X,X,X,X,X,X,X
LJZITSO,O,X,X,O,X,X,X,X,O,X
LJZITOS,O,X,X,O,X,X,X,X,X,X
LJZISTO,O,X,X,O,X,X,X,X,O,X
LJZISOT,O,X,X,O,X,X,X,O,X,X
LJZIOTS,O,X,X,O,X,X,X,X,X,X
LJZIOST,O,X,X,O,X,X,X,O,X,X
LJZSTIO,X,O,O,X,X,X,X,X,O,X
LJZSTOI,O,O,O,X,X,X,O,X,X,X
LJZSITO,X,O,X,X,X,X,X,X,O,X
LJZSIOT,X,O,X,X,X,X,X,O,X,X
LJZSOTI,O,O,O,X,O,X,O,X,X,X
LJZSOIT,X,O,X,X,X,X,O,X,X,X
LJZOTIS,X,X,O,O,O,X,X,X,X,X
LJZOTSI,O,O,O,X,O,X,X,X,X,X
LJZOITS,O,X,X,O,X,X,X,X,X,X
LJZOIST,O,X,X,O,X,X,X,X,X,X
LJZOSTI,O,O,O,X,O,X,O,X,X,X
LJZOSIT,X,O,X,X,X,X,O,X,X,X
LJOTISZ,X,X,X,O,X,X,X,X,X,X
LJOTIZS,X,X,O,O,X,X,X,X,X,O
LJOTSIZ,X,O,X,O,X,X,O,X,X,X
LJOTSZI,X,O,X,X,O,X,O,X,X,X
LJOTZIS,X,X,O,O,O,X,X,X,X,X
LJOTZSI,X,O,O,X,O,X,X,X,X,X
LJOITSZ,O,X,X,O,X,X,X,X,X,X
LJOITZS,O,X,X,O,X,X,X,X,X,O
LJOISTZ,O,X,X,O,X,X,O,X,X,X
LJOISZT,O,X,X,O,X,X,O,X,X,X
LJOIZTS,O,X,X,O,X,X,X,X,X,O
LJOIZST,O,X,X,O,X,X,X,X,X,X
LJOSTIZ,X,O,X,O,X,X,O,X,X,X
LJOSTZI,O,O,X,X,O,X,O,X,X,X
LJOSITZ,X,O,X,O,X,X,O,X,X,X
LJOSIZT,X,O,X,O,X,X,O,X,X,X
LJOSZTI,O,O,X,X,O,X,O,X,X,X
LJOSZIT,X,O,X,X,X,X,O,X,X,X
LJOZTIS,X,X,O,O,O,X,X,X,X,X
LJOZTSI,O,O,O,X,O,X,X,X,X,X
LJOZITS,O,X,X,O,X,X,X,X,X,X
LJOZIST,O,X,X,O,X,X,X,X,X,X
LJOZSTI,O,O,O,X,O,X,O,X,X,X
LJOZSIT,X,O,X,X,X,X,O,X,X,X
LSTIJZO,O,O,X,O,X,X,X,X,X,X
LSTIJOZ,O,O,X,O,X,X,O,X,X,X
LSTIZJO,O,O,O,X,X,X,X,X,X,X
LSTIZOJ,O,O,O,X,X,O,X,X,X,X
LSTIOJZ,O,O,X,O,X,X,O,X,X,X
LSTIOZJ,O,O,O,X,X,O,X,X,X,X
LSTJIZO,X,O,X,O,X,X,X,X,X,X
LSTJIOZ,X,O,X,O,X,X,O,X,X,X
LSTJZIO,X,O,X,X,X,X,X,X,O,X
LSTJZOI,O,O,X,X,X,X,O,X,X,X
LSTJOIZ,X,O,X,O,X,X,O,X,X,X
LSTJOZI,O,O,X,X,X,X,O,X,X,X
LSTZIJO,X,O,O,X,X,X,X,X,X,X
LSTZIOJ,O,O,O,X,O,O,X,X,X,X
LSTZJIO,X,O,O,X,X,X,X,X,X,X
LSTZJOI,O,O,O,X,X,X,O,X,X,X
LSTZOIJ,O,O,O,X,O,O,X,X,X,X
LSTZOJI,O,O,O,X,O,O,O,X,X,X
LSTOIJZ,O,O,X,O,X,X,O,X,X,X
LSTOIZJ,O,O,O,X,X,O,X,X,X,X
LSTOJIZ,X,O,X,O,X,X,O,X,X,X
LSTOJZI,O,O,X,X,O,X,O,X,X,X
LSTOZIJ,O,O,O,X,O,O,X,X,X,X
LSTOZJI,O,O,O,X,O,O,O,X,X,X
LSITJZO,O,O,X,O,X,X,X,X,X,X
LSITJOZ,O,O,X,O,X,X,O,X,X,X
LSITZJO,O,O,X,X,X,X,X,X,X,X
LSITZOJ,O,O,X,X,X,O,X,X,X,X
LSITOJZ,O,O,X,O,X,X,O,X,X,X
LSITOZJ,O,O,X,X,X,O,X,X,X,X
LSIJTZO,O,O,X,O,X,X,X,X,X,X
LSIJTOZ,O,O,X,O,X,X,O,X,X,X
LSIJZTO,O,O,X,O,X,X,X,X,X,X
LSIJZOT,O,O,X,O,X,X,X,O,X,X
LSIJOTZ,O,O,X,O,X,X,O,X,X,X
LSIJOZT,O,O,X,O,X,X,O,O,X,X
LSIZTJO,O,O,X,X,X,X,X,X,X,X
LSIZTOJ,O,O,X,X,O,O,X,X,X,X
LSIZJTO,O,O,X,X,X,X,X,X,X,X
LSIZJOT,O,O,X,X,X,X,X,O,X,X
LSIZOTJ,O,O,X,X,X,O,X,X,X,X
LSIZOJT,O,O,X,X,X,X,X,O,X,X
LSIOTJZ,O,O,X,O,X,X,O,X,X,X
LSIOTZJ,O,O,X,X,X,O,X,X,X,X
LSIOJTZ,O,O,X,O,X,X,O,X,X,X
LSIOJZT,O,O,X,O,X,X,O,O,X,X
LSIOZTJ,O,O,X,X,X,O,X,X,X,X
LSIOZJT,O,O,X,X,X,X,X,O,X,X
LSJTIZO,X,O,X,O,X,X,X,X,X,X
LSJTIOZ,X,O,X,O,X,X,O,X,X,X
LSJTZIO,X,O,X,X,X,X,X,X,O,X
LSJTZOI,O,O,X,X,X,X,O,X,X,X
LSJTOIZ,X,O,X,O,X,X,O,X,X,X
LSJTOZI,O,O,X,X,X,X,O,X,X,X
LSJITZO,X,O,X,O,X,X,X,X,X,X
LSJITOZ,X,O,X,O,X,X,O,X,X,X
LSJIZTO,X,O,X,O,X,X,X,X,X,X
LSJIZOT,X,O,X,O,X,X,X,O,X,X
LSJIOTZ,X,O,X,O,X,X,O,X,X,X
LSJIOZT,X,O,X,O,X,X,O,O,X,X
LSJZTIO,X,O,X,X,X,X,X,X,O,X
LSJZTOI,O,O,X,X,X,X,O,X,X,X
LSJZITO,X,O,X,X,X,X,X,X,O,X
LSJZIOT,X,O,X,X,X,X,X,O,X,X
LSJZOTI,O,O,X,X,O,X,O,X,X,X
LSJZOIT,X,O,X,X,X,X,O,X,X,X
LSJOTIZ,X,O,X,O,X,X,O,X,X,X
LSJOTZI,O,O,X,X,O,X,O,X,X,X
LSJOITZ,X,O,X,O,X,X,O,X,X,X
LSJOIZT,X,O,X,O,X,X,O,X,X,X
LSJOZTI,O,O,X,X,O,X,O,X,X,X
LSJOZIT,X,O,X,X,X,X,O,X,X,X
LSZTIJO,X,O,O,X,X,X,X,X,X,X
LSZTIOJ,O,O,O,X,O,O,X,X,X,X
LSZTJIO,X,O,O,X,X,X,X,X,X,X
LSZTJOI,O,O,O,X,X,X,O,X,X,X
LSZTOIJ,O,O,O,X,O,O,X,X,X,X
LSZTOJI,O,O,O,X,O,O,O,X,X,X
LSZITJO,O,O,O,X,X,X,X,X,X,X
LSZITOJ,O,O,O,X,O,O,X,X,X,X
LSZIJTO,O,O,X,X,X,X,X,X,O,X
LSZIJOT,O,O,X,X,X,X,X,O,X,X
LSZIOTJ,O,O,O,X,X,O,X,X,X,X
LSZIOJT,O,O,X,X,X,X,X,O,X,X
LSZJTIO,X,O,O,X,X,X,X,X,O,X
LSZJTOI,O,O,O,X,X,X,O,X,X,X
LSZJITO,X,O,X,X,X,X,X,X,O,X
LSZJIOT,X,O,X,X,X,X,X,O,X,X
LSZJOTI,O,O,O,X,O,X,O,X,X,X
LSZJOIT,X,O,X,X,X,X,O,X,X,X
LSZOTIJ,O,O,O,X,O,O,X,X,X,X
LSZOTJI,O,O,O,X,O,O,O,X,X,X
LSZOITJ,O,O,O,X,X,O,X,X,X,X
LSZOIJT,O,O,X,X,X,X,X,X,X,X
LSZOJTI,O,O,O,X,O,X,O,X,X,X
LSZOJIT,X,O,X,X,X,X,O,X,X,X
LSOTIJZ,O,O,X,O,X,X,O,X,X,X
LSOTIZJ,O,O,O,X,X,O,X,X,X,X
LSOTJIZ,X,O,X,O,X,X,O,X,X,X
LSOTJZI,O,O,X,X,O,X,O,X,X,X
LSOTZIJ,O,O,O,X,O,O,X,X,X,X
LSOTZJI,O,O,O,X,O,O,O,X,X,X
LSOITJZ,O,O,X,O,X,X,O,X,X,X
LSOITZJ,O,O,X,X,X,O,X,X,X,X
LSOIJTZ,O,O,X,O,X,X,O,X,X,X
LSOIJZT,O,O,X,O,X,X,O,X,X,X
LSOIZTJ,O,O,X,X,X,O,X,X,X,X
LSOIZJT,O,O,X,X,X,X,X,X,X,X
LSOJTIZ,X,O,X,O,X,X,O,X,X,X
LSOJTZI,O,O,X,X,O,X,O,X,X,X
LSOJITZ,X,O,X,O,X,X,O,X,X,X
LSOJIZT,X,O,X,O,X,X,O,X,X,X
