sequence,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeeFJvhFRhBCjB8rBT?oB3qBFrB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JelAJvhF3hBCjB8rBT?oBRqB2vB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JecGJvhFenBCjBXlBT?oBllBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8Je/FJvhFxiBKrBFnBT?oBGmBUqB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeaHJvhFGjBXlBTmBU?oBllBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8Je/FJvhFRhBziB+oBU?qBirBlrB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeCCJvhFmlBxnBllBT?oBUqB3rB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeiAJvhFcmBxiBXnBT?oBFqBWwB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeiBJvhFXlBzmBFoB0?lBGoBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JezBJvhFSoBXlB2rBl?lBUoBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JexAJvhFziB+oBVqBi?rB8rB3qB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JexCJvhFmlBXnBToBF?qB6rB0qB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeGDJvhFVqBRmBUoBi?mB3rBTqB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeaHJvhFWoBxlB/rBT?oBFqB0qB,v115@9gB8HeB8HeA8FeA8BeB8DeD8Je0AJvhFfoB6oBzmBR?qB2vBlrB,v115@9gB8HeB8HeA8FeA8BeB8DeD8Je0BJvhFWoBllBXlBy?rBToBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JefIJvhF6oBVqBRmBO?rB8rBTqB
ZLTOISJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTOJIS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTOJSI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTOSIJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTOSJI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLITJSO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLITJOS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLITSJO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLITSOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLITOJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLITOSJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLIJTSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLIJTOS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLIJSTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLIJSOT,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ZLIJOTS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLIJOST,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ZLISTJO,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLISTOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLISJTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLISJOT,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ZLISOTJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLISOJT,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLIOTJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOTSJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOJTS,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLIOJST,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLIOSTJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOSJT,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLJTISO,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X
ZLJTIOS,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
ZLJTSIO,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
ZLJTSOI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLJTOIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLJTOSI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLJITSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLJITOS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLJISTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLJISOT,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ZLJIOTS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLJIOST,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ZLJSTIO,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLJSTOI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLJSITO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLJSIOT,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLJSOTI,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ZLJSOIT,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZLJOTIS,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLJOTSI,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLJOITS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLJOIST,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ZLJOSTI,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ZLJOSIT,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZLSTIJO,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZLSTIOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSTJIO,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZLSTJOI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLSTOIJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSTOJI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSITJO,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLSITOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSIJTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLSIJOT,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ZLSIOTJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLSIOJT,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLSJTIO,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZLSJTOI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLSJITO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLSJIOT,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLSJOTI,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ZLSJOIT,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZLSOTIJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOTJI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOITJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOIJT,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLSOJTI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLSOJIT,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLOTIJS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTISJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTJIS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTJSI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTSIJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTSJI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOITJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOITSJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOIJTS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOIJST,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOISTJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOISJT,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOJTIS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOJTSI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLOJITS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOJIST,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOJSTI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLOJSIT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLOSTIJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSTJI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSITJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSIJT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLOSJTI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLOSJIT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTILSO,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
ZJTILOS,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZJTISLO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJTISOL,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZJTIOLS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTIOSL,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZJTLISO,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X
ZJTLIOS,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
ZJTLSIO,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
ZJTLSOI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZJTLOIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJTLOSI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZJTSILO,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJTSIOL,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJTSLIO,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJTSLOI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTSOIL,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJTSOLI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTOILS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTOISL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJTOLIS,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJTOLSI,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZJTOSIL,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJTOSLI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJITLSO,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
ZJITLOS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X
ZJITSLO,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
ZJITSOL,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
ZJITOLS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
ZJITOSL,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
ZJILTSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJILTOS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJILSTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJILSOT,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ZJILOTS,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJILOST,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ZJISTLO,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZJISTOL,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJISLTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJISLOT,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ZJISOTL,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJISOLT,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ZJIOTLS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOTSL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOLTS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJIOLST,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ZJIOSTL,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJIOSLT,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ZJLTISO,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X
ZJLTIOS,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
ZJLTSIO,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
ZJLTSOI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZJLTOIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJLTOSI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZJLITSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJLITOS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJLISTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJLISOT,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ZJLIOTS,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJLIOST,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ZJLSTIO,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJLSTOI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLSITO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLSIOT,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJLSOTI,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ZJLSOIT,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZJLOTIS,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJLOTSI,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZJLOITS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLOIST,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ZJLOSTI,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ZJLOSIT,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZJSTILO,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZJSTIOL,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJSTLIO,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZJSTLOI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSTOIL,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJSTOLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSITLO,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZJSITOL,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJSILTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJSILOT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZJSIOTL,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJSIOLT,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZJSLTIO,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZJSLTOI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSLITO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJSLIOT,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZJSLOTI,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ZJSLOIT,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJSOTIL,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJSOTLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSOITL,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJSOILT,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZJSOLTI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ZJSOLIT,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJOTILS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOTISL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJOTLIS,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJOTLSI,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZJOTSIL,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJOTSLI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOITLS,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOITSL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOILTS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJOILST,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ZJOISTL,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJOISLT,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ZJOLTIS,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJOLTSI,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZJOLITS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOLIST,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ZJOLSTI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ZJOLSIT,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZJOSTIL,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJOSTLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOSITL,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJOSILT,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJOSLTI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ZJOSLIT,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZSTILJO,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O
ZSTILOJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
ZSTIJLO,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
ZSTIJOL,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSTIOLJ,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
ZSTIOJL,X,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZSTLIJO,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O
ZSTLIOJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
ZSTLJIO,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
ZSTLJOI,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSTLOIJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSTLOJI,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSTJILO,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
ZSTJIOL,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSTJLIO,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
ZSTJLOI,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSTJOIL,O,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X
ZSTJOLI,O,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
ZSTOILJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSTOIJL,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X
ZSTOLIJ,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZSTOLJI,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZSTOJIL,O,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X
ZSTOJLI,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
ZSITLJO,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
ZSITLOJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSITJLO,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
ZSITJOL,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSITOLJ,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSITOJL,X,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZSILTJO,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZSILTOJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSILJTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSILJOT,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSILOTJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSILOJT,X,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
ZSIJTLO,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
ZSIJTOL,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSIJLTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSIJLOT,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSIJOTL,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSIJOLT,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSIOTLJ,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSIOTJL,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSIOLTJ,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSIOLJT,O,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
ZSIOJTL,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
ZSIOJLT,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSLTIJO,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O
ZSLTIOJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
ZSLTJIO,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
ZSLTJOI,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSLTOIJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLTOJI,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLITJO,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZSLITOJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLIJTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSLIJOT,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ZSLIOTJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLIOJT,X,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
ZSLJTIO,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZSLJTOI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSLJITO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSLJIOT,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSLJOTI,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ZSLJOIT,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZSLOTIJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLOTJI,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLOITJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLOIJT,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
ZSLOJTI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSLOJIT,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSJTILO,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
ZSJTIOL,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSJTLIO,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
ZSJTLOI,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSJTOIL,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
ZSJTOLI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSJITLO,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
ZSJITOL,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSJILTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSJILOT,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSJIOTL,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSJIOLT,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSJLTIO,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
