sequence,v115@ChA8GeC8IeB8CeA8CeE8KeT/IvhFigBmiB5oB0nBlp?B3qB,v115@ChA8GeC8IeB8CeA8CeE8Ke2EJvhFRgBTiB6tBXoB0p?BlqB,v115@ChA8GeC8IeB8CeA8CeE8Ke2EJvhFRgBTiBXoB6tB0p?BlqB,v115@ChA8GeC8IeB8CeA8CeE8Ke0/IvhFTiBeoB5oB/pBiq?BlqB,v115@ChA8GeC8IeB8CeA8CeE8KeOEJvhFTiBVtBRqB8pB6t?B3qB,v115@ChA8GeC8IeB8CeA8CeE8KexCJvhFTkB2qB0nB6tBlp?B3qB
OJILZTS,X,X,X,X,X,O
OJILZST,X,X,X,O,X,O
OJISTLZ,X,X,X,O,O,X
OJISTZL,X,X,X,O,O,X
OJISLTZ,X,X,X,O,X,X
OJISLZT,X,X,X,O,X,X
OJISZTL,X,X,X,O,X,X
OJISZLT,X,X,X,O,X,X
OJIZTLS,X,X,X,X,O,X
OJIZTSL,X,X,X,X,O,X
OJIZLTS,X,X,X,X,X,O
OJIZLST,X,X,X,O,X,O
OJIZSTL,X,X,X,O,X,X
OJIZSLT,X,X,X,O,X,X
OJLTISZ,X,O,X,O,O,X
OJLTIZS,X,O,X,X,O,X
OJLTSIZ,X,O,X,O,X,X
OJLTSZI,X,O,X,O,X,X
OJLTZIS,X,O,X,X,X,O
OJLTZSI,X,O,X,X,X,O
OJLITSZ,X,X,X,O,O,X
OJLITZS,X,X,X,X,O,X
OJLISTZ,X,X,X,O,X,X
OJLISZT,X,X,X,O,X,X
OJLIZTS,X,X,X,X,X,O
OJLIZST,X,X,X,O,X,O
OJLSTIZ,X,X,X,O,X,X
OJLSTZI,X,X,X,O,X,X
OJLSITZ,X,X,X,O,X,X
OJLSIZT,X,X,X,O,X,X
OJLSZTI,X,X,X,O,X,O
OJLSZIT,X,X,X,O,X,O
OJLZTIS,X,O,X,X,X,O
OJLZTSI,X,O,X,X,X,O
OJLZITS,X,O,X,X,X,O
OJLZIST,X,O,X,O,X,O
OJLZSTI,X,O,X,O,X,O
OJLZSIT,X,O,X,O,X,O
OJSTILZ,X,X,O,O,O,X
OJSTIZL,X,X,O,O,O,X
OJSTLIZ,X,X,O,O,X,X
OJSTLZI,X,X,O,O,X,X
OJSTZIL,X,X,O,O,X,X
OJSTZLI,X,X,O,X,X,X
OJSITLZ,X,X,X,O,O,X
OJSITZL,X,X,X,O,O,X
OJSILTZ,X,X,X,O,X,X
OJSILZT,X,X,X,O,X,X
OJSIZTL,X,X,X,O,X,X
OJSIZLT,X,X,X,O,X,X
OJSLTIZ,X,X,X,O,X,X
OJSLTZI,X,X,X,O,X,X
OJSLITZ,X,X,X,O,X,X
OJSLIZT,X,X,X,O,X,X
OJSLZTI,X,X,X,O,X,O
OJSLZIT,X,X,X,O,X,O
OJSZTIL,X,X,O,O,X,X
OJSZTLI,X,X,O,X,X,X
OJSZITL,X,X,O,O,X,X
OJSZILT,X,X,O,O,X,X
OJSZLTI,X,X,O,O,X,O
OJSZLIT,X,X,O,O,X,O
OJZTILS,X,O,X,X,O,X
OJZTISL,X,X,O,X,O,X
OJZTLIS,X,O,X,X,X,O
OJZTLSI,X,O,X,X,X,O
OJZTSIL,X,X,O,X,X,X
OJZTSLI,X,X,O,X,X,X
OJZITLS,X,O,X,X,O,X
OJZITSL,X,X,O,X,O,X
OJZILTS,X,O,X,X,X,O
OJZILST,X,O,O,O,X,O
OJZISTL,X,X,O,O,X,X
OJZISLT,X,O,O,O,X,X
OJZLTIS,X,O,X,X,X,O
OJZLTSI,X,O,X,X,X,O
OJZLITS,X,O,X,X,X,O
OJZLIST,X,O,O,O,X,O
OJZLSTI,X,O,O,O,X,O
OJZLSIT,X,O,O,O,X,O
OJZSTIL,X,X,O,O,X,X
OJZSTLI,X,X,O,X,X,X
OJZSITL,X,X,O,O,X,X
OJZSILT,X,O,O,O,X,X
OJZSLTI,X,O,O,O,X,O
OJZSLIT,X,O,O,O,X,O
OSTILJZ,O,O,O,X,X,X
OSTILZJ,O,X,X,X,X,X
OSTIJLZ,O,O,O,X,O,X
OSTIJZL,O,X,O,X,O,X
OSTIZLJ,O,X,O,X,X,X
OSTIZJL,O,X,O,X,X,X
OSTLIJZ,O,O,O,X,X,X
OSTLIZJ,O,X,X,X,X,X
OSTLJIZ,O,O,O,O,X,X
OSTLJZI,O,O,O,O,X,X
OSTLZIJ,O,O,O,X,X,X
OSTLZJI,O,O,O,O,X,X
OSTJILZ,O,O,O,O,O,X
OSTJIZL,O,X,O,O,O,X
OSTJLIZ,O,O,O,O,X,X
OSTJLZI,O,O,O,O,X,X
OSTJZIL,O,X,O,O,X,X
OSTJZLI,O,X,O,X,X,X
OSTZILJ,O,O,O,X,X,X
OSTZIJL,O,O,O,X,X,X
OSTZLIJ,O,O,O,X,X,X
OSTZLJI,O,O,O,X,X,X
OSTZJIL,O,O,O,O,X,X
OSTZJLI,O,O,O,X,X,X
OSITLJZ,O,X,O,X,X,X
OSITLZJ,O,X,X,X,X,X
OSITJLZ,O,X,O,X,O,X
OSITJZL,O,X,O,X,O,X
OSITZLJ,O,X,O,X,X,X
OSITZJL,O,X,O,X,X,X
OSILTJZ,O,X,X,X,X,X
OSILTZJ,O,X,X,X,X,X
OSILJTZ,X,X,X,O,X,X
OSILJZT,X,X,X,O,X,X
OSILZTJ,O,X,X,X,X,X
OSILZJT,O,X,X,O,X,X
OSIJTLZ,X,X,X,O,O,X
OSIJTZL,X,X,X,O,O,X
OSIJLTZ,X,X,X,O,X,X
OSIJLZT,X,X,X,O,X,X
OSIJZTL,X,X,X,O,X,X
OSIJZLT,X,X,X,O,X,X
OSIZTLJ,O,X,X,X,X,X
OSIZTJL,O,X,O,X,X,X
OSIZLTJ,O,X,X,X,X,X
OSIZLJT,O,X,O,X,X,X
OSIZJTL,O,X,O,O,X,X
OSIZJLT,O,X,O,O,X,X
OSLTIJZ,O,O,O,X,X,X
OSLTIZJ,O,X,X,X,X,X
OSLTJIZ,O,O,O,O,X,X
OSLTJZI,O,O,O,O,X,X
OSLTZIJ,O,O,O,X,X,X
OSLTZJI,O,O,O,O,X,X
OSLITJZ,O,X,X,X,X,X
OSLITZJ,O,X,X,X,X,X
OSLIJTZ,X,X,X,O,X,X
OSLIJZT,X,X,X,O,X,X
OSLIZTJ,O,X,X,X,X,X
OSLIZJT,O,X,X,O,X,X
OSLJTIZ,X,X,X,O,X,X
OSLJTZI,X,X,X,O,X,X
OSLJITZ,X,X,X,O,X,X
OSLJIZT,X,X,X,O,X,X
OSLJZTI,X,X,X,O,X,O
OSLJZIT,X,X,X,O,X,O
OSLZTIJ,O,X,X,X,X,X
OSLZTJI,O,X,X,O,X,X
OSLZITJ,O,X,X,X,X,X
OSLZIJT,O,O,O,O,X,O
OSLZJTI,O,O,O,O,X,O
OSLZJIT,O,O,O,O,X,O
OSJTILZ,X,X,O,O,O,X
OSJTIZL,X,X,O,O,O,X
OSJTLIZ,X,X,O,O,X,X
OSJTLZI,X,X,O,O,X,X
OSJTZIL,X,X,O,O,X,X
OSJTZLI,X,X,O,X,X,X
OSJITLZ,X,X,X,O,O,X
OSJITZL,X,X,X,O,O,X
OSJILTZ,X,X,X,O,X,X
OSJILZT,X,X,X,O,X,X
OSJIZTL,X,X,X,O,X,X
OSJIZLT,X,X,X,O,X,X
OSJLTIZ,X,X,X,O,X,X
OSJLTZI,X,X,X,O,X,X
OSJLITZ,X,X,X,O,X,X
OSJLIZT,X,X,X,O,X,X
OSJLZTI,X,X,X,O,X,O
OSJLZIT,X,X,X,O,X,O
OSJZTIL,X,X,O,O,X,X
OSJZTLI,X,X,O,X,X,X
OSJZITL,X,X,O,O,X,X
OSJZILT,X,X,O,O,X,X
OSJZLTI,X,X,O,O,X,O
OSJZLIT,X,X,O,O,X,O
OSZTILJ,O,X,O,X,X,X
OSZTIJL,O,X,O,X,X,X
OSZTLIJ,O,X,O,X,X,X
OSZTLJI,O,X,O,X,X,X
OSZTJIL,O,X,O,O,X,X
OSZTJLI,O,X,O,X,X,X
OSZITLJ,O,X,X,X,X,X
OSZITJL,O,X,O,X,X,X
OSZILTJ,O,X,X,X,X,X
OSZILJT,O,O,O,X,X,X
OSZIJTL,O,X,O,O,X,X
OSZIJLT,O,O,O,O,X,X
OSZLTIJ,O,X,X,X,X,X
OSZLTJI,O,X,X,O,X,X
OSZLITJ,O,X,X,X,X,X
OSZLIJT,O,O,O,O,X,O
OSZLJTI,O,O,O,O,X,O
OSZLJIT,O,O,O,O,X,O
OSZJTIL,O,X,O,O,X,X
OSZJTLI,O,X,O,X,X,X
OSZJITL,O,X,O,O,X,X
OSZJILT,O,O,O,O,X,X
OSZJLTI,O,O,O,O,X,O
OSZJLIT,O,O,O,O,X,O
OZTILJS,O,O,O,X,X,X
OZTILSJ,O,O,O,X,X,X
OZTIJLS,O,O,O,X,O,X
OZTIJSL,O,O,O,X,O,X
OZTISLJ,O,O,O,X,X,X
OZTISJL,O,O,O,X,X,X
OZTLIJS,O,O,O,X,X,O
OZTLISJ,O,O,O,X,X,X
OZTLJIS,O,O,O,X,X,O
OZTLJSI,O,O,O,X,X,O
OZTLSIJ,O,O,O,X,X,X
OZTLSJI,O,O,O,X,X,X
OZTJILS,O,O,O,X,O,X
OZTJISL,O,O,O,X,O,X
OZTJLIS,O,O,O,X,X,O
OZTJLSI,O,O,O,X,X,O
OZTJSIL,O,O,O,X,X,X
OZTJSLI,O,O,O,X,X,X
OZTSILJ,O,O,O,X,X,X
OZTSIJL,O,O,O,X,X,X
OZTSLIJ,O,O,O,X,X,X
OZTSLJI,O,O,O,X,X,X
OZTSJIL,O,O,O,X,X,X
OZTSJLI,O,O,O,X,X,X
OZITLJS,O,O,X,X,X,X
OZITLSJ,O,X,X,X,X,X
OZITJLS,O,O,X,X,O,X
OZITJSL,O,X,O,X,O,X
OZITSLJ,O,X,X,X,X,X
OZITSJL,O,X,O,X,X,X
OZILTJS,O,O,X,X,X,O
OZILTSJ,O,X,X,X,X,X
OZILJTS,O,O,X,X,X,O
OZILJST,O,O,O,X,X,O
OZILSTJ,O,X,X,X,X,X
OZILSJT,O,O,O,X,X,O
OZIJTLS,O,O,X,X,O,X
OZIJTSL,O,X,O,X,O,X
OZIJLTS,O,O,X,X,X,O
OZIJLST,O,O,O,X,X,O
OZIJSTL,O,X,O,X,X,X
OZIJSLT,O,O,O,X,X,X
OZISTLJ,O,X,X,X,X,X
OZISTJL,O,X,O,X,X,X
OZISLTJ,O,X,X,X,X,X
OZISLJT,O,O,O,X,X,X
OZISJTL,O,X,O,X,X,X
OZISJLT,O,O,O,X,X,X
OZLTIJS,O,O,X,X,X,O
OZLTISJ,O,O,X,X,X,X
OZLTJIS,O,O,X,X,X,O
OZLTJSI,O,O,X,X,X,O
OZLTSIJ,O,O,X,X,X,X
OZLTSJI,O,O,X,X,X,X
OZLITJS,O,O,X,X,X,O
OZLITSJ,O,X,X,X,X,X
OZLIJTS,O,O,X,X,X,O
OZLIJST,O,O,O,X,X,O
OZLISTJ,O,X,X,X,X,X
OZLISJT,O,O,O,X,X,O
OZLJTIS,O,O,X,X,X,O
OZLJTSI,O,O,X,X,X,O
OZLJITS,O,O,X,X,X,O
OZLJIST,O,O,O,O,X,O
OZLJSTI,O,O,O,O,X,O
OZLJSIT,O,O,O,O,X,O
OZLSTIJ,O,X,X,X,X,X
OZLSTJI,O,X,X,O,X,X
OZLSITJ,O,X,X,X,X,X
OZLSIJT,O,O,O,O,X,O
OZLSJTI,O,O,O,O,X,O
OZLSJIT,O,O,O,O,X,O
OZJTILS,O,O,X,X,O,X
OZJTISL,O,X,O,X,O,X
OZJTLIS,O,O,X,X,X,O
OZJTLSI,O,O,X,X,X,O
OZJTSIL,O,X,O,X,X,X
OZJTSLI,O,X,O,X,X,X
OZJITLS,O,O,X,X,O,X
OZJITSL,O,X,O,X,O,X
OZJILTS,O,O,X,X,X,O
OZJILST,O,O,O,O,X,O
OZJISTL,O,X,O,O,X,X
OZJISLT,O,O,O,O,X,X
OZJLTIS,O,O,X,X,X,O
OZJLTSI,O,O,X,X,X,O
OZJLITS,O,O,X,X,X,O
OZJLIST,O,O,O,O,X,O
OZJLSTI,O,O,O,O,X,O
OZJLSIT,O,O,O,O,X,O
OZJSTIL,O,X,O,O,X,X
OZJSTLI,O,X,O,X,X,X
OZJSITL,O,X,O,O,X,X
OZJSILT,O,O,O,O,X,X
OZJSLTI,O,O,O,O,X,O
OZJSLIT,O,O,O,O,X,O
OZSTILJ,O,X,O,X,X,X
OZSTIJL,O,X,O,X,X,X
OZSTLIJ,O,X,O,X,X,X
OZSTLJI,O,X,O,X,X,X
OZSTJIL,O,X,O,O,X,X
OZSTJLI,O,X,O,X,X,X
OZSITLJ,O,X,X,X,X,X
OZSITJL,O,X,O,X,X,X
OZSILTJ,O,X,X,X,X,X
OZSILJT,O,O,O,X,X,X
OZSIJTL,O,X,O,O,X,X
OZSIJLT,O,O,O,O,X,X
OZSLTIJ,O,X,X,X,X,X
OZSLTJI,O,X,X,O,X,X
OZSLITJ,O,X,X,X,X,X
OZSLIJT,O,O,O,O,X,O
OZSLJTI,O,O,O,O,X,O
OZSLJIT,O,O,O,O,X,O
OZSJTIL,O,X,O,O,X,X
OZSJTLI,O,X,O,X,X,X
OZSJITL,O,X,O,O,X,X
OZSJILT,O,O,O,O,X,X
OZSJLTI,O,O,O,O,X,O
OZSJLIT,O,O,O,O,X,O
