sequence,v115@BhB8IeB8GeC8DeA8BeC8BeA8Jex/IvhF6nBTjBOpBl?lBUqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhF0iB6oBfqBl?lBzsBGqB,v115@BhB8IeB8GeC8DeA8BeC8BeA8Jex/IvhF6nBOpBllBT?oBUqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFFgB0iB6oBf?qBuqBzsB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JexCJvhF0kBllBCoBO?pBXtBTqB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFqkBllBGoBX?oBTqB0sB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFqkBllBGoB0?nBTqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhF1lB6nBWqBT?oBUqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFukB1lBXjBc?tB6sBTqB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFukB1lB0iBS?tBTqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8Je0AJvhFxiB3kBTqBC?tBOpBFtB
LJZTSOI,O,X,O,O,X,X,X,X,X,X,X
LJZTOIS,O,X,O,X,X,X,X,X,X,X,X
LJZTOSI,O,X,O,X,X,X,X,X,X,X,X
LJZITSO,O,X,O,O,X,O,O,X,X,X,X
LJZITOS,O,X,O,X,X,X,O,X,X,X,X
LJZISTO,O,X,X,O,X,X,X,X,X,X,X
LJZISOT,O,X,X,O,X,X,X,X,X,X,X
LJZIOTS,X,X,O,X,X,X,X,O,X,O,X
LJZIOST,O,X,X,O,X,X,X,X,X,X,X
LJZSTIO,O,X,O,O,X,X,X,X,X,X,X
LJZSTOI,O,X,O,O,X,X,X,X,X,X,X
LJZSITO,O,X,X,O,X,X,X,X,X,X,X
LJZSIOT,O,X,X,O,X,X,X,X,X,X,X
LJZSOTI,O,X,O,O,X,X,X,X,X,X,X
LJZSOIT,O,X,X,O,X,X,X,X,X,X,X
LJZOTIS,O,X,O,X,X,X,X,X,X,O,X
LJZOTSI,O,X,O,X,X,X,X,X,X,O,X
LJZOITS,X,X,O,X,X,X,X,O,X,O,X
LJZOIST,O,X,X,O,X,X,X,X,X,X,X
LJZOSTI,O,X,O,O,X,X,X,X,X,X,X
LJZOSIT,O,X,X,O,X,X,X,X,X,X,X
LJOTISZ,O,X,X,O,X,O,X,O,X,O,X
LJOTIZS,X,X,O,O,X,X,O,O,X,O,X
LJOTSIZ,O,X,X,O,X,X,X,O,X,O,X
LJOTSZI,O,X,O,O,X,X,X,X,X,O,X
LJOTZIS,X,X,O,O,X,X,X,O,X,O,X
LJOTZSI,X,X,O,O,X,X,X,X,X,O,X
LJOITSZ,X,X,X,O,X,O,X,O,X,O,X
LJOITZS,X,X,O,O,X,X,O,O,X,O,X
LJOISTZ,O,X,X,O,X,X,X,O,X,X,O
LJOISZT,O,X,X,O,X,X,X,X,X,X,O
LJOIZTS,X,X,O,O,X,X,X,O,X,O,X
LJOIZST,X,X,X,O,X,X,X,X,X,X,O
LJOSTIZ,O,X,X,O,X,X,X,X,X,X,O
LJOSTZI,O,X,O,O,X,X,X,X,X,X,O
LJOSITZ,O,X,X,O,X,X,X,O,X,X,O
LJOSIZT,O,X,X,O,X,X,X,X,X,X,O
LJOSZTI,O,X,O,O,X,X,X,X,X,X,O
LJOSZIT,O,X,X,O,X,X,X,X,X,X,O
LJOZTIS,O,X,O,O,X,X,X,X,X,O,X
LJOZTSI,O,X,O,O,X,X,X,X,X,O,X
LJOZITS,X,X,O,O,X,X,X,O,X,O,X
LJOZIST,O,X,X,O,X,X,X,X,X,X,O
LJOZSTI,O,X,O,O,X,X,X,X,X,X,O
LJOZSIT,O,X,X,O,X,X,X,X,X,X,O
LSTIJZO,O,X,X,O,O,O,O,X,X,X,X
LSTIJOZ,O,X,X,X,X,O,X,O,X,X,X
LSTIZJO,X,X,X,O,O,X,X,X,X,X,X
LSTIZOJ,O,X,X,O,O,X,X,X,X,X,X
LSTIOJZ,O,O,X,O,X,X,X,O,X,X,X
LSTIOZJ,O,O,X,O,O,X,X,X,X,X,X
LSTJIZO,O,X,X,O,O,O,O,X,X,X,X
LSTJIOZ,O,X,X,X,X,O,X,O,X,X,X
LSTJZIO,O,X,X,O,O,X,X,X,X,X,X
LSTJZOI,O,X,X,X,O,X,X,X,X,X,X
LSTJOIZ,O,X,X,X,X,X,X,O,X,X,X
LSTJOZI,O,X,O,X,X,X,X,X,X,X,X
LSTZIJO,O,X,X,O,O,X,X,X,X,X,X
LSTZIOJ,O,X,X,O,O,X,X,X,X,X,X
LSTZJIO,O,X,X,O,O,X,X,X,X,X,X
LSTZJOI,O,X,X,X,O,X,X,X,X,X,X
LSTZOIJ,O,X,X,O,O,X,X,X,X,X,X
LSTZOJI,O,X,X,X,O,X,X,X,X,X,X
LSTOIJZ,O,O,X,O,X,X,X,O,X,X,X
LSTOIZJ,O,O,X,O,O,X,X,X,X,X,X
LSTOJIZ,O,O,X,O,X,X,X,O,X,X,X
LSTOJZI,O,O,O,O,X,X,X,X,X,X,X
LSTOZIJ,O,O,X,O,O,X,X,X,X,X,X
LSTOZJI,O,O,X,O,O,X,X,X,X,X,X
LSITJZO,O,X,X,O,O,O,O,X,X,X,X
LSITJOZ,O,X,X,X,X,O,X,O,X,X,X
LSITZJO,X,X,X,O,O,X,X,X,X,X,X
LSITZOJ,O,X,X,O,O,X,X,X,X,X,X
LSITOJZ,O,O,X,O,X,X,X,O,X,X,X
LSITOZJ,O,O,X,O,O,X,X,X,X,X,X
LSIJTZO,O,X,X,O,O,O,O,X,X,X,X
LSIJTOZ,O,X,X,O,X,O,X,X,X,X,X
LSIJZTO,O,X,X,O,O,X,X,X,X,X,X
LSIJZOT,O,X,X,O,X,X,X,X,X,X,X
LSIJOTZ,O,X,X,O,X,X,X,O,X,X,X
LSIJOZT,O,X,X,O,X,X,X,X,X,X,X
LSIZTJO,O,X,X,O,O,X,X,X,X,X,X
LSIZTOJ,O,X,X,O,O,X,X,X,X,X,X
LSIZJTO,O,X,X,O,O,X,X,X,X,X,X
LSIZJOT,O,X,X,O,X,X,X,X,X,X,X
LSIZOTJ,O,X,X,O,O,X,X,X,X,O,X
LSIZOJT,O,X,X,X,X,X,X,X,X,X,X
LSIOTJZ,O,O,X,O,X,X,X,O,X,O,O
LSIOTZJ,O,O,X,O,O,X,X,X,X,O,O
LSIOJTZ,O,O,X,O,X,X,X,O,X,X,O
LSIOJZT,O,O,X,O,X,X,X,X,X,X,O
LSIOZTJ,O,O,X,O,O,X,X,X,X,O,O
LSIOZJT,O,O,X,O,X,X,X,X,X,X,O
LSJTIZO,O,X,X,O,O,O,O,X,X,X,X
LSJTIOZ,O,X,X,O,X,O,X,X,X,X,X
LSJTZIO,O,X,X,O,O,X,X,X,X,X,X
LSJTZOI,O,X,X,O,O,X,X,X,X,X,X
LSJTOIZ,O,X,X,O,X,X,X,X,X,X,X
LSJTOZI,O,X,O,O,X,X,X,X,X,X,X
LSJITZO,O,X,X,O,O,O,O,X,X,X,X
LSJITOZ,O,X,X,O,X,O,X,X,X,X,X
LSJIZTO,O,X,X,O,O,X,X,X,X,X,X
LSJIZOT,O,X,X,O,X,X,X,X,X,X,X
LSJIOTZ,O,X,X,O,X,X,X,O,X,X,X
LSJIOZT,O,X,X,O,X,X,X,X,X,X,X
LSJZTIO,O,X,O,O,O,X,X,X,X,X,X
LSJZTOI,O,X,O,O,O,X,X,X,X,X,X
LSJZITO,O,X,X,O,O,X,X,X,X,X,X
LSJZIOT,O,X,X,O,X,X,X,X,X,X,X
LSJZOTI,O,X,O,O,X,X,X,X,X,X,X
LSJZOIT,O,X,X,O,X,X,X,X,X,X,X
LSJOTIZ,O,X,X,O,X,X,X,X,X,X,X
LSJOTZI,O,X,O,O,X,X,X,X,X,X,X
LSJOITZ,O,X,X,O,X,X,X,O,X,X,X
LSJOIZT,O,X,X,O,X,X,X,X,X,X,X
LSJOZTI,O,X,O,O,X,X,X,X,X,X,X
LSJOZIT,O,X,X,O,X,X,X,X,X,X,X
LSZTIJO,O,X,X,O,O,X,X,X,X,X,X
LSZTIOJ,O,X,X,O,O,X,X,X,X,X,X
LSZTJIO,O,X,O,O,O,X,X,X,X,X,X
LSZTJOI,O,X,O,X,O,X,X,X,X,X,X
LSZTOIJ,O,X,X,O,O,X,X,X,X,X,X
LSZTOJI,O,X,O,X,O,X,X,X,X,X,X
LSZITJO,O,X,X,O,O,X,X,X,X,X,X
LSZITOJ,O,X,X,O,O,X,X,X,X,X,X
LSZIJTO,O,X,X,O,O,X,X,X,X,X,X
LSZIJOT,O,X,X,O,X,X,X,X,X,X,X
LSZIOTJ,O,X,X,O,O,X,X,X,X,O,X
LSZIOJT,O,X,X,X,X,X,X,X,X,X,X
LSZJTIO,O,X,O,O,O,X,X,X,X,X,X
LSZJTOI,O,X,O,O,O,X,X,X,X,X,X
LSZJITO,O,X,X,O,O,X,X,X,X,X,X
LSZJIOT,O,X,X,O,X,X,X,X,X,X,X
LSZJOTI,O,X,O,O,X,X,X,X,X,X,X
LSZJOIT,O,X,X,O,X,X,X,X,X,X,X
LSZOTIJ,O,X,X,O,O,X,X,X,X,O,X
LSZOTJI,O,X,O,X,O,X,X,X,X,O,X
LSZOITJ,O,X,X,O,O,X,X,X,X,O,X
LSZOIJT,O,X,X,X,X,X,X,X,X,X,X
LSZOJTI,O,X,O,X,X,X,X,X,X,X,X
LSZOJIT,O,X,X,X,X,X,X,X,X,X,X
LSOTIJZ,O,O,X,O,X,X,X,O,X,O,O
LSOTIZJ,O,O,X,O,O,X,X,X,X,O,O
LSOTJIZ,O,O,X,O,X,X,X,O,X,O,O
LSOTJZI,O,O,O,O,X,X,X,X,X,O,O
LSOTZIJ,O,O,X,O,O,X,X,X,X,O,O
LSOTZJI,O,O,X,O,O,X,X,X,X,O,O
LSOITJZ,O,O,X,O,X,X,X,O,X,O,O
LSOITZJ,O,O,X,O,O,X,X,X,X,O,O
LSOIJTZ,O,O,X,O,X,X,X,O,X,X,O
LSOIJZT,O,O,X,O,X,X,X,X,X,X,O
LSOIZTJ,O,O,X,O,O,X,X,X,X,O,O
LSOIZJT,O,O,X,O,X,X,X,X,X,X,O
LSOJTIZ,O,O,X,O,X,X,X,X,X,X,O
LSOJTZI,O,O,O,O,X,X,X,X,X,X,O
LSOJITZ,O,O,X,O,X,X,X,O,X,X,O
LSOJIZT,O,O,X,O,X,X,X,X,X,X,O
LSOJZTI,O,O,O,O,X,X,X,X,X,X,O
LSOJZIT,O,O,X,O,X,X,X,X,X,X,O
LSOZTIJ,O,O,X,O,O,X,X,X,X,O,O
LSOZTJI,O,O,O,O,O,X,X,X,X,O,O
LSOZITJ,O,O,X,O,O,X,X,X,X,O,O
LSOZIJT,O,O,X,O,X,X,X,X,X,X,O
LSOZJTI,O,O,O,O,X,X,X,X,X,X,O
LSOZJIT,O,O,X,O,X,X,X,X,X,X,O
LZTIJSO,O,X,O,O,X,O,O,X,O,X,X
LZTIJOS,O,X,O,X,X,X,O,O,X,X,X
LZTISJO,O,X,X,O,X,X,X,X,O,X,X
LZTISOJ,O,X,X,O,X,X,X,X,X,X,X
LZTIOJS,X,X,O,X,X,X,X,O,X,O,X
LZTIOSJ,O,X,X,X,X,X,X,X,X,O,X
LZTJISO,O,X,O,O,X,O,O,X,O,X,X
LZTJIOS,O,X,O,X,X,X,O,O,X,X,X
LZTJSIO,O,X,O,O,X,X,X,X,O,X,X
LZTJSOI,O,X,O,O,X,X,X,X,X,X,X
LZTJOIS,O,X,O,X,X,X,X,O,X,X,X
LZTJOSI,O,X,O,X,X,X,X,X,X,X,X
LZTSIJO,O,X,X,O,O,X,X,X,O,X,X
LZTSIOJ,O,X,X,O,O,X,X,X,X,X,X
LZTSJIO,O,X,O,O,O,X,X,X,O,X,X
LZTSJOI,O,X,O,X,O,X,X,X,X,X,X
LZTSOIJ,O,X,X,O,O,X,X,X,X,X,X
LZTSOJI,O,X,O,X,O,X,X,X,X,X,X
LZTOIJS,X,X,O,X,X,X,X,O,X,O,X
LZTOISJ,O,X,X,X,X,X,X,X,X,O,X
LZTOJIS,O,X,O,X,X,X,X,O,X,O,X
LZTOJSI,O,X,O,X,X,X,X,X,X,O,X
LZTOSIJ,O,X,X,X,X,X,X,X,X,O,X
LZTOSJI,O,X,O,X,X,X,X,X,X,O,X
LZITJSO,O,X,O,O,X,O,O,X,O,X,X
LZITJOS,O,X,O,X,X,X,O,O,X,X,X
LZITSJO,O,X,X,O,X,X,X,X,O,X,X
LZITSOJ,O,X,X,O,X,X,X,X,X,X,X
LZITOJS,X,X,O,X,X,X,X,O,X,O,X
LZITOSJ,O,X,X,X,X,X,X,X,X,O,X
LZIJTSO,O,X,O,O,X,O,O,X,X,X,X
LZIJTOS,O,X,O,X,X,X,O,X,X,X,X
LZIJSTO,O,X,X,O,X,X,X,X,X,X,X
LZIJSOT,O,X,X,O,X,X,X,X,X,X,X
LZIJOTS,X,X,O,X,X,X,X,O,X,O,X
LZIJOST,O,X,X,O,X,X,X,X,X,X,X
LZISTJO,O,X,X,O,X,X,X,X,O,X,X
LZISTOJ,O,X,X,O,X,X,X,X,X,X,X
LZISJTO,O,X,X,O,X,X,X,X,X,X,X
LZISJOT,O,X,X,O,X,X,X,X,X,X,X
LZISOTJ,O,X,X,O,X,X,X,X,O,O,X
LZISOJT,O,X,X,X,X,X,X,X,X,X,X
LZIOTJS,X,X,O,X,X,X,X,O,O,O,X
LZIOTSJ,X,X,X,X,X,X,X,X,O,O,O
LZIOJTS,X,X,O,X,X,X,X,O,X,O,X
LZIOJST,X,X,X,O,X,X,X,X,X,X,O
LZIOSTJ,X,X,X,O,X,X,X,X,O,O,O
LZIOSJT,X,X,X,X,X,X,X,X,X,X,O
LZJTISO,O,X,O,O,X,O,O,X,X,X,X
LZJTIOS,O,X,O,X,X,X,O,X,X,X,X
LZJTSIO,O,X,O,O,X,X,X,X,X,X,X
LZJTSOI,O,X,O,O,X,X,X,X,X,X,X
LZJTOIS,O,X,O,X,X,X,X,X,X,X,X
LZJTOSI,O,X,O,X,X,X,X,X,X,X,X
LZJITSO,O,X,O,O,X,O,O,X,X,X,X
LZJITOS,O,X,O,X,X,X,O,X,X,X,X
LZJISTO,O,X,X,O,X,X,X,X,X,X,X
LZJISOT,O,X,X,O,X,X,X,X,X,X,X
LZJIOTS,X,X,O,X,X,X,X,O,X,O,X
LZJIOST,O,X,X,O,X,X,X,X,X,X,X
LZJSTIO,O,X,O,O,X,X,X,X,X,X,X
LZJSTOI,O,X,O,O,X,X,X,X,X,X,X
LZJSITO,O,X,X,O,X,X,X,X,X,X,X
LZJSIOT,O,X,X,O,X,X,X,X,X,X,X
LZJSOTI,O,X,O,O,X,X,X,X,X,X,X
LZJSOIT,O,X,X,O,X,X,X,X,X,X,X
LZJOTIS,O,X,O,X,X,X,X,X,X,O,X
LZJOTSI,O,X,O,X,X,X,X,X,X,O,X
LZJOITS,X,X,O,X,X,X,X,O,X,O,X
LZJOIST,O,X,X,O,X,X,X,X,X,X,X
LZJOSTI,O,X,O,O,X,X,X,X,X,X,X
LZJOSIT,O,X,X,O,X,X,X,X,X,X,X
LZSTIJO,O,X,X,O,O,X,X,X,O,X,X
LZSTIOJ,O,X,X,O,O,X,X,X,X,X,X
LZSTJIO,O,X,O,O,O,X,X,X,O,X,X
LZSTJOI,O,X,O,X,O,X,X,X,X,X,X
LZSTOIJ,O,X,X,O,O,X,X,X,X,X,X
LZSTOJI,O,X,O,X,O,X,X,X,X,X,X
LZSITJO,O,X,X,O,O,X,X,X,O,X,X
LZSITOJ,O,X,X,O,O,X,X,X,X,X,X
LZSIJTO,O,X,X,O,O,X,X,X,X,X,X
LZSIJOT,O,X,X,O,X,X,X,X,X,X,X
LZSIOTJ,O,X,X,O,O,X,X,X,O,O,X
LZSIOJT,O,X,X,X,X,X,X,X,X,X,X
LZSJTIO,O,X,O,O,O,X,X,X,X,X,X
LZSJTOI,O,X,O,O,O,X,X,X,X,X,X
LZSJITO,O,X,X,O,O,X,X,X,X,X,X
LZSJIOT,O,X,X,O,X,X,X,X,X,X,X
LZSJOTI,O,X,O,O,X,X,X,X,X,X,X
LZSJOIT,O,X,X,O,X,X,X,X,X,X,X
LZSOTIJ,O,X,X,O,O,X,X,X,O,O,X
LZSOTJI,O,X,O,X,O,X,X,X,O,O,X
LZSOITJ,O,X,X,O,O,X,X,X,O,O,X
LZSOIJT,O,X,X,X,X,X,X,X,X,X,X
LZSOJTI,O,X,O,X,X,X,X,X,X,X,X
LZSOJIT,O,X,X,X,X,X,X,X,X,X,X
LZOTIJS,X,X,O,X,X,X,X,O,O,O,X
LZOTISJ,O,X,X,X,X,X,X,X,O,O,O
LZOTJIS,O,X,O,X,X,X,X,O,O,O,X
LZOTJSI,O,X,O,X,X,X,X,X,O,O,X
LZOTSIJ,O,X,X,X,X,X,X,X,O,O,O
LZOTSJI,O,X,O,X,X,X,X,X,O,O,O
LZOITJS,X,X,O,X,X,X,X,O,O,O,X
LZOITSJ,X,X,X,X,X,X,X,X,O,O,O
LZOIJTS,X,X,O,X,X,X,X,O,X,O,X
LZOIJST,X,X,X,O,X,X,X,X,X,X,O
LZOISTJ,X,X,X,O,X,X,X,X,O,O,O
LZOISJT,X,X,X,X,X,X,X,X,X,X,O
LZOJTIS,O,X,O,X,X,X,X,X,X,O,X
LZOJTSI,O,X,O,X,X,X,X,X,X,O,X
LZOJITS,X,X,O,X,X,X,X,O,X,O,X
LZOJIST,O,X,X,O,X,X,X,X,X,X,O
LZOJSTI,O,X,O,O,X,X,X,X,X,X,O
LZOJSIT,O,X,X,O,X,X,X,X,X,X,O
LZOSTIJ,O,X,X,O,X,X,X,X,O,O,O
LZOSTJI,O,X,O,X,X,X,X,X,O,O,O
LZOSITJ,O,X,X,O,X,X,X,X,O,O,O
LZOSIJT,O,X,X,X,X,X,X,X,X,X,O
LZOSJTI,O,X,O,X,X,X,X,X,X,X,O
LZOSJIT,O,X,X,X,X,X,X,X,X,X,O
LOTIJSZ,X,X,X,O,X,O,X,O,X,O,X
LOTIJZS,X,X,O,O,X,X,O,O,O,O,X
LOTISJZ,O,O,X,O,X,X,X,O,X,O,O
LOTISZJ,O,O,X,O,X,X,X,X,X,O,O
LOTIZJS,X,X,X,O,X,X,X,O,O,O,X
LOTIZSJ,X,O,X,O,X,X,X,X,O,O,O
LOTJISZ,O,X,X,O,X,O,X,O,X,O,X
LOTJIZS,X,X,O,O,X,X,O,O,O,O,X
LOTJSIZ,O,X,X,O,X,X,X,O,X,O,X
LOTJSZI,O,X,O,O,X,X,X,X,X,O,X
LOTJZIS,X,X,O,O,X,X,X,O,O,O,X
LOTJZSI,X,X,O,O,X,X,X,X,O,O,X
LOTSIJZ,O,O,X,O,X,X,X,O,X,O,O
LOTSIZJ,O,O,X,O,X,X,X,X,X,O,O
LOTSJIZ,O,O,X,O,X,X,X,O,X,O,O
LOTSJZI,O,O,O,O,X,X,X,X,X,O,O
LOTSZIJ,O,O,X,O,X,X,X,X,X,O,O
LOTSZJI,O,O,X,O,X,X,X,X,X,O,O
LOTZIJS,X,X,O,O,X,X,X,O,O,O,X
LOTZISJ,X,O,X,O,X,X,X,X,O,O,O
LOTZJIS,X,X,O,O,X,X,X,O,O,O,X
LOTZJSI,X,X,O,O,X,X,X,X,O,O,X
LOTZSIJ,X,O,X,O,X,X,X,X,O,O,O
LOTZSJI,X,O,O,O,X,X,X,X,O,O,O
LOITJSZ,X,X,X,O,X,O,X,O,X,O,X
LOITJZS,X,X,O,O,X,X,O,O,O,O,X
LOITSJZ,X,O,X,O,X,X,X,O,X,O,O
LOITSZJ,X,O,X,O,X,X,X,X,X,O,O
LOITZJS,X,X,X,O,X,X,X,O,O,O,X
LOITZSJ,X,O,X,O,X,X,X,X,O,O,O
LOIJTSZ,X,X,X,O,X,O,X,O,X,O,X
LOIJTZS,X,X,O,O,X,X,O,O,X,O,X
LOIJSTZ,X,O,X,O,X,X,X,O,X,X,O
LOIJSZT,X,O,X,O,X,X,X,X,X,X,O
LOIJZTS,X,X,O,O,X,X,X,O,X,O,X
LOIJZST,X,O,X,O,X,X,X,X,X,X,O
LOISTJZ,X,O,X,O,X,X,X,O,X,O,O
LOISTZJ,X,O,X,O,X,X,X,X,X,O,O
LOISJTZ,X,O,X,O,X,X,X,O,X,X,O
LOISJZT,X,O,X,O,X,X,X,X,X,X,O
LOISZTJ,X,O,X,O,X,X,X,X,X,O,O
LOISZJT,X,O,X,O,X,X,X,X,X,X,O
LOIZTJS,X,X,O,O,X,X,X,O,O,O,X
LOIZTSJ,X,O,X,O,X,X,X,X,O,O,O
LOIZJTS,X,X,O,O,X,X,X,O,X,O,X
LOIZJST,X,O,X,O,X,X,X,X,X,X,O
LOIZSTJ,X,O,X,O,X,X,X,X,O,O,O
LOIZSJT,X,O,X,O,X,X,X,X,X,X,O
LOJTISZ,O,X,X,O,X,O,X,O,X,O,X
LOJTIZS,X,X,O,O,X,X,O,O,X,O,X
LOJTSIZ,O,X,X,O,X,X,X,O,X,O,X
LOJTSZI,O,X,O,O,X,X,X,X,X,O,X
LOJTZIS,X,X,O,O,X,X,X,O,X,O,X
LOJTZSI,X,X,O,O,X,X,X,X,X,O,X
LOJITSZ,X,X,X,O,X,O,X,O,X,O,X
LOJITZS,X,X,O,O,X,X,O,O,X,O,X
LOJISTZ,O,O,X,O,X,X,X,O,X,X,O
LOJISZT,O,O,X,O,X,X,X,X,X,X,O
LOJIZTS,X,X,O,O,X,X,X,O,X,O,X
LOJIZST,X,O,X,O,X,X,X,X,X,X,O
LOJSTIZ,O,O,X,O,X,X,X,X,X,X,O
LOJSTZI,O,O,O,O,X,X,X,X,X,X,O
LOJSITZ,O,O,X,O,X,X,X,O,X,X,O
LOJSIZT,O,O,X,O,X,X,X,X,X,X,O
LOJSZTI,O,O,O,O,X,X,X,X,X,X,O
LOJSZIT,O,O,X,O,X,X,X,X,X,X,O
LOJZTIS,O,X,O,O,X,X,X,X,X,O,X
LOJZTSI,O,X,O,O,X,X,X,X,X,O,X
LOJZITS,X,X,O,O,X,X,X,O,X,O,X
LOJZIST,O,O,X,O,X,X,X,X,X,X,O
LOJZSTI,O,O,O,O,X,X,X,X,X,X,O
LOJZSIT,O,O,X,O,X,X,X,X,X,X,O
LOSTIJZ,O,O,X,O,X,X,X,O,X,O,O
LOSTIZJ,O,O,X,O,X,X,X,X,X,O,O
LOSTJIZ,O,O,X,O,X,X,X,O,X,O,O
LOSTJZI,O,O,O,O,X,X,X,X,X,O,O
LOSTZIJ,O,O,X,O,X,X,X,X,X,O,O
LOSTZJI,O,O,X,O,X,X,X,X,X,O,O
LOSITJZ,O,O,X,O,X,X,X,O,X,O,O
LOSITZJ,O,O,X,O,X,X,X,X,X,O,O
LOSIJTZ,O,O,X,O,X,X,X,O,X,X,O
LOSIJZT,O,O,X,O,X,X,X,X,X,X,O
LOSIZTJ,O,O,X,O,X,X,X,X,X,O,O
LOSIZJT,O,O,X,O,X,X,X,X,X,X,O
LOSJTIZ,O,O,X,O,X,X,X,X,X,X,O
LOSJTZI,O,O,O,O,X,X,X,X,X,X,O
LOSJITZ,O,O,X,O,X,X,X,O,X,X,O
LOSJIZT,O,O,X,O,X,X,X,X,X,X,O
LOSJZTI,O,O,O,O,X,X,X,X,X,X,O
LOSJZIT,O,O,X,O,X,X,X,X,X,X,O
LOSZTIJ,O,O,X,O,X,X,X,X,X,O,O
LOSZTJI,O,O,O,O,X,X,X,X,X,O,O
LOSZITJ,O,O,X,O,X,X,X,X,X,O,O
LOSZIJT,O,O,X,O,X,X,X,X,X,X,O
LOSZJTI,O,O,O,O,X,X,X,X,X,X,O
LOSZJIT,O,O,X,O,X,X,X,X,X,X,O
LOZTIJS,X,X,O,O,X,X,X,O,O,O,X
LOZTISJ,O,O,X,O,X,X,X,X,O,O,O
LOZTJIS,O,X,O,O,X,X,X,O,O,O,X
LOZTJSI,O,X,O,O,X,X,X,X,O,O,X
LOZTSIJ,O,O,X,O,X,X,X,X,O,O,O
LOZTSJI,O,O,O,O,X,X,X,X,O,O,O
LOZITJS,X,X,O,O,X,X,X,O,O,O,X
LOZITSJ,X,O,X,O,X,X,X,X,O,O,O
LOZIJTS,X,X,O,O,X,X,X,O,X,O,X
LOZIJST,X,O,X,O,X,X,X,X,X,X,O
LOZISTJ,X,O,X,O,X,X,X,X,O,O,O
LOZISJT,X,O,X,O,X,X,X,X,X,X,O
LOZJTIS,O,X,O,O,X,X,X,X,X,O,X
LOZJTSI,O,X,O,O,X,X,X,X,X,O,X
LOZJITS,X,X,O,O,X,X,X,O,X,O,X
LOZJIST,O,O,X,O,X,X,X,X,X,X,O
LOZJSTI,O,O,O,O,X,X,X,X,X,X,O
LOZJSIT,O,O,X,O,X,X,X,X,X,X,O
LOZSTIJ,O,O,X,O,X,X,X,X,O,O,O
LOZSTJI,O,O,O,O,X,X,X,X,O,O,O
LOZSITJ,O,O,X,O,X,X,X,X,O,O,O
LOZSIJT,O,O,X,O,X,X,X,X,X,X,O
LOZSJTI,O,O,O,O,X,X,X,X,X,X,O
LOZSJIT,O,O,X,O,X,X,X,X,X,X,O
JTILSZO,O,X,X,O,X,O,O,X,X,X,X
JTILSOZ,O,X,X,O,X,O,X,O,X,X,X
JTILZSO,O,X,X,O,X,O,O,X,O,X,X
JTILZOS,X,X,X,X,X,X,O,O,X,X,X
JTILOSZ,O,X,X,X,X,O,X,O,X,X,X
JTILOZS,X,X,O,X,X,X,O,O,X,X,X
JTISLZO,O,X,X,O,X,X,X,X,X,X,X
JTISLOZ,O,X,X,O,X,X,X,O,X,X,X
JTISZLO,O,X,X,O,X,X,X,X,O,X,X
JTISZOL,O,X,X,O,X,X,X,X,O,X,X
JTISOLZ,O,X,X,O,X,X,X,O,X,X,X
JTISOZL,O,X,X,O,X,X,X,X,X,X,X
JTIZLSO,O,X,X,O,X,X,X,X,O,X,X
JTIZLOS,X,X,X,X,X,X,X,O,X,X,X
JTIZSLO,O,X,X,O,X,X,X,X,O,X,X
JTIZSOL,O,X,X,O,X,X,X,X,O,X,X
JTIZOLS,X,X,X,X,X,X,X,O,X,X,X
JTIZOSL,X,X,X,X,X,X,X,X,O,X,X
JTIOLSZ,O,X,X,O,X,X,X,O,X,X,X
JTIOLZS,X,X,O,O,X,X,X,O,X,X,X
JTIOSLZ,O,X,X,O,X,X,X,O,X,X,X
JTIOSZL,O,X,X,O,X,X,X,X,X,X,X
JTIOZLS,X,X,X,O,X,X,X,O,X,X,X
JTIOZSL,X,X,X,O,X,X,X,X,O,X,X
JTLISZO,O,X,X,O,X,O,O,X,X,X,X
JTLISOZ,O,X,X,O,X,O,X,O,X,X,X
JTLIZSO,O,X,X,O,X,O,O,X,O,X,X
JTLIZOS,X,X,X,X,X,X,O,O,X,X,X
JTLIOSZ,O,X,X,X,X,O,X,O,X,X,X
JTLIOZS,X,X,O,X,X,X,O,O,X,X,X
JTLSIZO,O,X,X,O,X,O,O,X,X,X,X
JTLSIOZ,O,X,X,O,X,O,X,O,X,X,X
JTLSZIO,O,X,X,O,X,X,X,X,X,X,X
JTLSZOI,O,X,X,O,X,X,X,X,X,X,X
JTLSOIZ,O,X,X,O,X,X,X,O,X,X,X
JTLSOZI,O,X,O,O,X,X,X,X,X,X,X
JTLZISO,O,X,O,O,X,O,O,X,O,X,X
JTLZIOS,O,X,O,X,X,X,O,O,X,X,X
JTLZSIO,O,X,O,O,X,X,X,X,O,X,X
JTLZSOI,O,X,O,O,X,X,X,X,X,X,X
JTLZOIS,O,X,O,X,X,X,X,O,X,X,X
