sequence,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeFBJvhFXiB8nBxkBi?kBzpBmrB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Jel/IvhFUhBziB/pBO?qBxrBasB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeXAJvhFVmBziB2pBx?rBasB0pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeT/IvhFxgBXiB8nBl?pBmrBiqB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeXAJvhFziB2pBRmBi?mBFsB0pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeUBJvhFziB/pBFlBx?rBasBmpB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeUAJvhFRhBziBimBm?pBFsB/pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeT/IvhFRiBilBfsBl?nBmlB0pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Jex/IvhFXhB8nBikB1?rBzpBOsB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Je0/IvhFziB2pBRmBi?mBFsBXqB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Je0/IvhFVmBziB2pBx?rBasBXqB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Jel/IvhFUhBziB2pBx?rBasBXqB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Je0/IvhFziB/pBRmBO?qBimBFsB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Jel/IvhFRhBynB/pBO?qBTmBcsB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeaGJvhFFiB8nBxkBf?sBTkBeqB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeT/IvhFilBRnBmlBf?sBlnB0pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Je2EJvhFRmB3nBFlBT?mB0pBisB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeTEJvhFilBRnBmlBf?sBlnB0pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeT/IvhF8nBypBRmB2?rBXqBFsB
ZLISJOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLISOTJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
ZLISOJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLIOTJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLIOTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLIOJTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLIOJST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
ZLIOSTJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O,X
ZLIOSJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
ZLJTISO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTIOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTSIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTSOI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTOIS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTOSI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJITSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJITOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJISTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZLJISOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLJIOTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLJIOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLJSTIO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLJSTOI,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLJSITO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZLJSIOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLJSOTI,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLJSOIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJOTIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJOTSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJOITS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLJOIST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLJOSTI,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLJOSIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSTIJO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLSTIOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLSTJIO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLSTJOI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLSTOIJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLSTOJI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLSITJO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLSITOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLSIJTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZLSIJOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLSIOTJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
ZLSIOJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLSJTIO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLSJTOI,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLSJITO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZLSJIOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLSJOTI,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLSJOIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOTIJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLSOTJI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLSOITJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
ZLSOIJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLSOJTI,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLSOJIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTIJS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O
ZLOTISJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
ZLOTJIS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLOTJSI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLOTSIJ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLOTSJI,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLOITJS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O
ZLOITSJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
ZLOIJTS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O
ZLOIJST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
ZLOISTJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,O,X
ZLOISJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
ZLOJTIS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLOJTSI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLOJITS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O
ZLOJIST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLOJSTI,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLOJSIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSTIJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZLOSTJI,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLOSITJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X
ZLOSIJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLOSJTI,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLOSJIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTILSO,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ZJTILOS,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZJTISLO,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
ZJTISOL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X
ZJTIOLS,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZJTIOSL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZJTLISO,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJTLIOS,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ZJTLSIO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTLSOI,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTLOIS,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ZJTLOSI,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTSILO,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
ZJTSIOL,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X
ZJTSLIO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTSLOI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTSOIL,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZJTSOLI,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTOILS,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZJTOISL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZJTOLIS,O,X,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
ZJTOLSI,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJTOSIL,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZJTOSLI,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJITLSO,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ZJITLOS,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZJITSLO,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
ZJITSOL,O,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X
ZJITOLS,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZJITOSL,O,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZJILTSO,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ZJILTOS,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ZJILSTO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
ZJILSOT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
ZJILOTS,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O
ZJILOST,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O
ZJISTLO,O,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X
ZJISTOL,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
ZJISLTO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
ZJISLOT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
ZJISOTL,O,O,X,O,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X
ZJISOLT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
ZJIOTLS,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZJIOTSL,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZJIOLTS,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X
ZJIOLST,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
ZJIOSTL,O,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X
ZJIOSLT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
ZJLTISO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJLTIOS,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZJLTSIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLTSOI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLTOIS,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZJLTOSI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLITSO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJLITOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJLISTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZJLISOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZJLIOTS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,O
ZJLIOST,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZJLSTIO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJLSTOI,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZJLSITO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZJLSIOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZJLSOTI,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZJLSOIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLOTIS,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZJLOTSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLOITS,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,O
ZJLOIST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZJLOSTI,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZJLOSIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTILO,O,O,O,O,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X
ZJSTIOL,O,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X
ZJSTLIO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJSTLOI,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZJSTOIL,O,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJSTOLI,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZJSITLO,O,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
ZJSITOL,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
ZJSILTO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZJSILOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZJSIOTL,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X
ZJSIOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZJSLTIO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJSLTOI,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZJSLITO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZJSLIOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZJSLOTI,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZJSLOIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSOTIL,O,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJSOTLI,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZJSOITL,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X
ZJSOILT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZJSOLTI,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZJSOLIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOTILS,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZJOTISL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZJOTLIS,O,X,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
ZJOTLSI,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJOTSIL,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZJOTSLI,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJOITLS,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZJOITSL,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZJOILTS,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X
ZJOILST,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
ZJOISTL,O,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X
ZJOISLT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
ZJOLTIS,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
ZJOLTSI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJOLITS,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X
ZJOLIST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJOLSTI,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZJOLSIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOSTIL,O,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJOSTLI,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZJOSITL,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X
ZJOSILT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZJOSLTI,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZJOSLIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTILJO,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSTILOJ,O,X,X,O,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X
ZSTIJLO,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X
ZSTIJOL,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X
ZSTIOLJ,O,X,X,O,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X
ZSTIOJL,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZSTLIJO,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSTLIOJ,O,X,X,O,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X
ZSTLJIO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSTLJOI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSTLOIJ,O,X,X,O,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X
ZSTLOJI,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSTJILO,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X
ZSTJIOL,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X
ZSTJLIO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSTJLOI,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSTJOIL,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZSTJOLI,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSTOILJ,O,X,X,O,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X
ZSTOIJL,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZSTOLIJ,O,X,X,O,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X
ZSTOLJI,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSTOJIL,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZSTOJLI,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSITLJO,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSITLOJ,O,X,X,O,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X
ZSITJLO,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X
ZSITJOL,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X
ZSITOLJ,O,X,X,O,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X
ZSITOJL,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZSILTJO,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSILTOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSILJTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZSILJOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSILOTJ,X,X,X,X,X,O,X,O,X,X,X,X,O,X,O,O,X,X,X
ZSILOJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
ZSIJTLO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
ZSIJTOL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSIJLTO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZSIJLOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSIJOTL,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
ZSIJOLT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZSIOTLJ,O,X,X,O,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X
ZSIOTJL,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZSIOLTJ,O,X,X,X,X,O,X,O,X,X,X,X,O,X,O,O,X,X,X
ZSIOLJT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
ZSIOJTL,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
ZSIOJLT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZSLTIJO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSLTIOJ,O,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
ZSLTJIO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSLTJOI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSLTOIJ,O,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
ZSLTOJI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSLITJO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSLITOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSLIJTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZSLIJOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSLIOTJ,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X
ZSLIOJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
ZSLJTIO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSLJTOI,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZSLJITO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZSLJIOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSLJOTI,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZSLJOIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOTIJ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
ZSLOTJI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSLOITJ,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X
ZSLOIJT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
ZSLOJTI,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZSLOJIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTILO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X
ZSJTIOL,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X
ZSJTLIO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSJTLOI,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
