sequence,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhFihBziB5oB3?mB0qBlsB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhF8mBziB5oBy?qBlsBXrB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KezAJvhFWnBxiB6tBU?lBXrBlsB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhFliB5oByqBz?mB8sBXrB,v115@9gA8IeC8GeB8HeC8BeB8AeA8Ke0BJvhF5oB3lBznBi?rBGqBlsB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhFxhBTmB/sBF?oB6tB0qB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KezAJvhFWnB5oBysBU?lBXrBlsB
JLIOZST,X,X,X,O,O,X,X
JLSTIZO,O,O,O,X,X,X,X
JLSTIOZ,O,O,O,X,X,X,O
JLSTZIO,O,O,O,X,X,X,X
JLSTZOI,O,O,O,X,X,O,X
JLSTOIZ,O,O,O,X,X,O,O
JLSTOZI,O,O,O,X,X,O,X
JLSITZO,O,O,X,X,X,X,X
JLSITOZ,O,O,O,X,X,X,O
JLSIZTO,O,O,X,X,X,X,X
JLSIZOT,X,X,O,O,O,X,O
JLSIOTZ,O,X,O,X,X,X,O
JLSIOZT,X,X,O,O,O,X,O
JLSZTIO,O,O,X,X,X,X,X
JLSZTOI,O,O,X,X,X,O,X
JLSZITO,O,O,X,X,X,X,X
JLSZIOT,X,X,O,O,O,X,O
JLSZOTI,X,X,O,O,X,O,X
JLSZOIT,X,X,O,O,O,O,O
JLSOTIZ,O,X,O,X,X,O,O
JLSOTZI,O,X,O,X,X,O,X
JLSOITZ,O,X,O,X,X,O,O
JLSOIZT,X,X,O,O,O,X,O
JLSOZTI,X,X,O,O,X,X,X
JLSOZIT,X,X,O,O,O,X,O
JLZTISO,O,O,X,X,X,X,X
JLZTIOS,O,O,X,O,X,X,X
JLZTSIO,O,O,X,X,X,X,X
JLZTSOI,O,O,X,X,X,X,X
JLZTOIS,O,O,X,O,X,X,X
JLZTOSI,O,O,X,O,X,X,X
JLZITSO,O,O,X,X,X,X,X
JLZITOS,O,O,X,O,X,X,X
JLZISTO,O,O,X,X,X,X,X
JLZISOT,O,X,X,O,O,X,O
JLZIOTS,X,O,X,O,X,X,X
JLZIOST,X,X,X,O,O,X,X
JLZSTIO,O,O,X,X,X,X,X
JLZSTOI,O,O,X,X,X,O,X
JLZSITO,O,O,X,X,X,X,X
JLZSIOT,O,X,X,O,O,X,O
JLZSOTI,O,X,X,O,X,O,X
JLZSOIT,O,X,X,O,O,O,O
JLZOTIS,X,O,X,O,X,X,X
JLZOTSI,X,O,X,O,X,X,X
JLZOITS,X,O,X,O,X,X,X
JLZOIST,X,X,X,O,O,O,X
JLZOSTI,X,X,X,O,X,O,X
JLZOSIT,X,X,X,O,O,O,X
JLOTISZ,X,O,X,X,X,X,X
JLOTIZS,X,O,X,O,X,X,X
JLOTSIZ,X,O,X,X,X,X,X
JLOTSZI,X,O,X,X,X,X,X
JLOTZIS,X,O,X,O,X,X,X
JLOTZSI,X,O,X,O,X,X,X
JLOITSZ,X,O,X,X,X,X,X
JLOITZS,X,O,X,O,X,X,X
JLOISTZ,X,X,X,X,X,O,O
JLOISZT,X,X,X,O,O,X,O
JLOIZTS,X,O,X,O,X,X,X
JLOIZST,X,X,X,O,O,X,X
JLOSTIZ,X,X,X,X,X,O,O
JLOSTZI,X,X,X,X,X,O,X
JLOSITZ,X,X,X,X,X,O,O
JLOSIZT,X,X,X,O,O,X,O
JLOSZTI,X,X,X,O,X,X,X
JLOSZIT,X,X,X,O,O,X,O
JLOZTIS,X,O,X,O,X,X,X
JLOZTSI,X,O,X,O,X,X,X
JLOZITS,X,O,X,O,X,X,X
JLOZIST,X,X,X,O,O,X,X
JLOZSTI,X,X,X,O,X,X,X
JLOZSIT,X,X,X,O,O,X,X
JSTILZO,O,X,O,X,X,X,X
JSTILOZ,O,X,O,X,X,X,O
JSTIZLO,O,X,X,X,X,X,X
JSTIZOL,O,X,X,X,X,O,X
JSTIOLZ,O,X,O,X,X,O,O
JSTIOZL,O,X,X,X,X,O,X
JSTLIZO,O,X,O,X,X,X,X
JSTLIOZ,O,X,O,X,X,X,O
JSTLZIO,O,X,O,X,X,X,X
JSTLZOI,O,X,O,X,X,O,X
JSTLOIZ,O,X,O,X,X,O,O
JSTLOZI,O,X,O,X,X,O,X
JSTZILO,O,X,X,X,X,X,X
JSTZIOL,O,X,X,X,X,O,X
JSTZLIO,O,X,O,X,X,X,X
JSTZLOI,O,X,O,X,X,O,X
JSTZOIL,O,X,X,X,X,O,X
JSTZOLI,O,X,O,X,X,O,X
JSTOILZ,O,X,O,X,X,O,O
JSTOIZL,O,X,X,X,X,O,X
JSTOLIZ,O,X,O,X,X,O,O
JSTOLZI,O,X,O,X,X,O,X
JSTOZIL,O,X,X,X,X,O,X
JSTOZLI,O,X,O,X,X,O,X
JSITLZO,O,X,O,X,X,X,X
JSITLOZ,O,X,O,X,X,X,O
JSITZLO,O,X,X,X,X,X,X
JSITZOL,O,X,X,X,X,O,X
JSITOLZ,O,X,O,X,X,O,O
JSITOZL,O,X,X,X,X,O,X
JSILTZO,O,O,X,X,X,X,X
JSILTOZ,O,O,O,X,X,X,O
JSILZTO,O,O,X,X,X,X,X
JSILZOT,X,X,O,O,O,X,O
JSILOTZ,O,X,O,X,X,X,O
JSILOZT,X,X,O,O,O,X,O
JSIZTLO,O,X,X,X,X,X,X
JSIZTOL,O,X,X,X,X,O,X
JSIZLTO,O,X,X,X,X,X,X
JSIZLOT,O,X,X,O,O,X,O
JSIZOTL,O,X,X,X,X,O,X
JSIZOLT,O,X,X,X,O,O,O
JSIOTLZ,O,X,O,X,X,O,O
JSIOTZL,O,X,X,X,X,O,X
JSIOLTZ,O,X,O,X,X,O,O
JSIOLZT,X,X,O,X,O,X,O
JSIOZTL,X,X,X,X,X,O,X
JSIOZLT,X,X,X,X,O,X,O
JSLTIZO,O,O,O,X,X,X,X
JSLTIOZ,O,O,O,X,X,X,O
JSLTZIO,O,O,O,X,X,X,X
JSLTZOI,O,O,O,X,X,O,X
JSLTOIZ,O,O,O,X,X,O,O
JSLTOZI,O,O,O,X,X,O,X
JSLITZO,O,O,X,X,X,X,X
JSLITOZ,O,O,O,X,X,X,O
JSLIZTO,O,O,X,X,X,X,X
JSLIZOT,X,X,O,O,O,X,O
JSLIOTZ,O,X,O,X,X,X,O
JSLIOZT,X,X,O,O,O,X,O
JSLZTIO,O,O,X,X,X,X,X
JSLZTOI,O,O,X,X,X,O,X
JSLZITO,O,O,X,X,X,X,X
JSLZIOT,X,X,O,O,O,X,O
JSLZOTI,X,X,O,O,X,O,X
JSLZOIT,X,X,O,O,O,O,O
JSLOTIZ,O,X,O,X,X,O,O
JSLOTZI,O,X,O,X,X,O,X
JSLOITZ,O,X,O,X,X,O,O
JSLOIZT,X,X,O,O,O,X,O
JSLOZTI,X,X,O,O,X,X,X
JSLOZIT,X,X,O,O,O,X,O
JSZTILO,O,X,X,X,X,X,X
JSZTIOL,O,X,X,X,X,O,X
JSZTLIO,O,X,O,X,X,X,X
JSZTLOI,O,X,O,X,X,O,X
JSZTOIL,O,X,X,X,X,O,X
JSZTOLI,O,X,O,X,X,O,X
JSZITLO,O,X,X,X,X,X,X
JSZITOL,O,X,X,X,X,O,X
JSZILTO,O,X,X,X,X,X,X
JSZILOT,O,X,X,O,O,X,O
JSZIOTL,O,X,X,X,X,O,X
JSZIOLT,O,X,X,X,O,O,O
JSZLTIO,O,X,X,X,X,X,X
JSZLTOI,O,X,X,X,X,O,X
JSZLITO,O,X,X,X,X,X,X
JSZLIOT,O,X,O,O,O,X,O
JSZLOTI,O,X,O,O,X,O,X
JSZLOIT,O,X,O,O,O,O,O
JSZOTIL,O,X,X,X,X,O,X
JSZOTLI,O,X,O,X,X,O,X
JSZOITL,O,X,X,X,X,O,X
JSZOILT,O,X,X,X,O,O,O
JSZOLTI,O,X,O,X,X,O,X
JSZOLIT,O,X,O,X,X,O,O
JSOTILZ,O,X,O,X,X,O,O
JSOTIZL,O,X,X,X,X,O,X
JSOTLIZ,O,X,O,X,X,O,O
JSOTLZI,O,X,O,X,X,O,X
JSOTZIL,O,X,X,X,X,O,X
JSOTZLI,O,X,O,X,X,O,X
JSOITLZ,O,X,O,X,X,O,O
JSOITZL,O,X,X,X,X,O,X
JSOILTZ,O,X,O,X,X,O,O
JSOILZT,X,X,O,X,O,X,O
JSOIZTL,X,X,X,X,X,O,X
JSOIZLT,X,X,X,X,O,X,O
JSOLTIZ,O,X,O,X,X,O,O
JSOLTZI,O,X,O,X,X,O,X
JSOLITZ,O,X,O,X,X,O,O
JSOLIZT,X,X,O,X,O,X,O
JSOLZTI,X,X,O,X,X,X,X
JSOLZIT,X,X,O,X,O,X,O
JSOZTIL,X,X,X,X,X,O,X
JSOZTLI,X,X,O,X,X,O,X
JSOZITL,X,X,X,X,X,O,X
JSOZILT,X,X,X,X,O,O,O
JSOZLTI,X,X,O,X,X,O,X
JSOZLIT,X,X,O,X,X,O,O
JZTILSO,O,O,X,X,X,X,X
JZTILOS,O,O,X,O,X,X,X
JZTISLO,O,X,X,X,X,X,X
JZTISOL,O,X,X,X,X,X,X
JZTIOLS,O,O,X,O,X,X,X
JZTIOSL,O,X,X,X,X,X,X
JZTLISO,O,O,X,X,X,X,X
JZTLIOS,O,O,X,O,X,X,X
JZTLSIO,O,O,X,X,X,X,X
JZTLSOI,O,O,X,X,X,X,X
JZTLOIS,O,O,X,O,X,X,X
JZTLOSI,O,O,X,O,X,X,X
JZTSILO,O,X,X,X,X,X,X
JZTSIOL,O,X,X,X,X,O,X
JZTSLIO,O,X,X,X,X,X,X
JZTSLOI,O,X,X,X,X,O,X
JZTSOIL,O,X,X,X,X,O,X
JZTSOLI,O,X,X,X,X,O,X
JZTOILS,O,O,X,O,X,X,X
JZTOISL,O,X,X,X,X,O,X
JZTOLIS,O,O,X,O,X,X,X
JZTOLSI,O,O,X,O,X,X,X
JZTOSIL,O,X,X,X,X,O,X
JZTOSLI,O,X,X,X,X,O,X
JZITLSO,O,O,X,X,X,X,X
JZITLOS,O,O,X,O,X,X,X
JZITSLO,O,X,X,X,X,X,X
JZITSOL,O,X,X,X,X,X,X
JZITOLS,O,O,X,O,X,X,X
JZITOSL,O,X,X,X,X,X,X
JZILTSO,O,O,X,X,X,X,X
JZILTOS,O,O,X,O,X,X,X
JZILSTO,O,O,X,X,X,X,X
JZILSOT,O,X,X,O,X,X,X
JZILOTS,X,O,X,O,X,X,X
JZILOST,X,X,X,O,X,X,X
JZISTLO,O,X,X,X,X,X,X
JZISTOL,O,X,X,X,X,O,X
JZISLTO,O,X,X,X,X,X,X
JZISLOT,O,X,X,O,X,X,X
JZISOTL,O,X,X,X,X,O,X
JZISOLT,O,X,X,X,X,O,X
JZIOTLS,O,X,X,O,X,X,X
JZIOTSL,O,X,X,X,X,O,X
JZIOLTS,X,X,X,O,X,X,X
JZIOLST,X,X,X,O,X,O,X
JZIOSTL,O,X,X,X,X,O,X
JZIOSLT,O,X,X,X,X,O,X
JZLTISO,O,O,X,X,X,X,X
JZLTIOS,O,O,X,O,X,X,X
JZLTSIO,O,O,X,X,X,X,X
JZLTSOI,O,O,X,X,X,X,X
JZLTOIS,O,O,X,O,X,X,X
JZLTOSI,O,O,X,O,X,X,X
JZLITSO,O,O,X,X,X,X,X
JZLITOS,O,O,X,O,X,X,X
JZLISTO,O,O,X,X,X,X,X
JZLISOT,O,X,X,O,X,X,X
JZLIOTS,X,O,X,O,X,X,X
JZLIOST,X,X,X,O,X,X,X
JZLSTIO,O,O,X,X,X,X,X
JZLSTOI,O,O,X,X,X,O,X
JZLSITO,O,O,X,X,X,X,X
JZLSIOT,O,X,X,O,X,X,X
JZLSOTI,O,X,X,O,X,O,X
JZLSOIT,O,X,X,O,X,O,X
JZLOTIS,X,O,X,O,X,X,X
JZLOTSI,X,O,X,O,X,X,X
JZLOITS,X,O,X,O,X,X,X
JZLOIST,X,X,X,O,X,O,X
JZLOSTI,X,X,X,O,X,O,X
JZLOSIT,X,X,X,O,X,O,X
JZSTILO,O,X,X,X,X,X,X
JZSTIOL,O,X,X,X,X,O,X
JZSTLIO,O,X,X,X,X,X,X
JZSTLOI,O,X,X,X,X,O,X
JZSTOIL,O,X,X,X,X,O,X
JZSTOLI,O,X,X,X,X,O,X
JZSITLO,O,X,X,X,X,X,X
JZSITOL,O,X,X,X,X,O,X
JZSILTO,O,X,X,X,X,X,X
JZSILOT,O,X,X,O,X,X,X
JZSIOTL,O,X,X,X,X,O,X
JZSIOLT,O,X,X,X,X,O,X
JZSLTIO,O,X,X,X,X,X,X
JZSLTOI,O,X,X,X,X,O,X
JZSLITO,O,X,X,X,X,X,X
JZSLIOT,O,X,X,O,X,X,X
JZSLOTI,O,X,X,O,X,O,X
JZSLOIT,O,X,X,O,X,O,X
JZSOTIL,O,X,X,X,X,O,X
JZSOTLI,O,X,X,X,X,O,X
JZSOITL,O,X,X,X,X,O,X
JZSOILT,O,X,X,X,X,O,X
JZSOLTI,O,X,X,X,X,O,X
JZSOLIT,O,X,X,X,X,O,X
JZOTILS,O,X,X,O,X,X,X
JZOTISL,O,X,X,X,X,O,X
JZOTLIS,O,X,X,O,X,X,X
JZOTLSI,O,X,X,O,X,X,X
JZOTSIL,O,X,X,X,X,O,X
JZOTSLI,O,X,X,X,X,O,X
JZOITLS,O,X,X,O,X,X,X
JZOITSL,O,X,X,X,X,O,X
JZOILTS,X,X,X,O,X,X,X
JZOILST,X,X,X,O,X,O,X
JZOISTL,O,X,X,X,X,O,X
JZOISLT,O,X,X,X,X,O,X
JZOLTIS,X,X,X,O,X,X,X
JZOLTSI,X,X,X,O,X,X,X
JZOLITS,X,X,X,O,X,X,X
JZOLIST,X,X,X,O,X,O,X
JZOLSTI,X,X,X,O,X,O,X
JZOLSIT,X,X,X,O,X,O,X
JZOSTIL,O,X,X,X,X,O,X
JZOSTLI,O,X,X,X,X,O,X
JZOSITL,O,X,X,X,X,O,X
JZOSILT,O,X,X,X,X,O,X
JZOSLTI,O,X,X,X,X,O,X
JZOSLIT,O,X,X,X,X,O,X
JOTILSZ,O,X,X,X,X,X,X
JOTILZS,O,X,X,X,X,X,X
JOTISLZ,O,X,X,X,X,O,X
JOTISZL,O,X,X,X,X,O,X
JOTIZLS,O,X,X,X,X,X,X
JOTIZSL,O,X,X,X,X,X,X
JOTLISZ,O,X,X,X,X,X,X
JOTLIZS,O,X,X,X,X,X,X
JOTLSIZ,O,X,X,X,X,X,X
JOTLSZI,O,X,X,X,X,X,X
JOTLZIS,O,X,X,X,X,X,X
JOTLZSI,O,X,X,X,X,X,X
JOTSILZ,O,X,X,X,X,O,X
JOTSIZL,O,X,X,X,X,O,X
JOTSLIZ,O,X,X,X,X,O,X
JOTSLZI,O,X,X,X,X,O,X
JOTSZIL,O,X,X,X,X,O,X
JOTSZLI,O,X,X,X,X,O,X
JOTZILS,O,X,X,X,X,X,X
JOTZISL,O,X,X,X,X,X,X
JOTZLIS,O,X,X,X,X,X,X
JOTZLSI,O,X,X,X,X,X,X
JOTZSIL,O,X,X,X,X,X,X
JOTZSLI,O,X,X,X,X,X,X
JOITLSZ,O,X,X,X,X,X,X
JOITLZS,O,X,X,X,X,X,X
JOITSLZ,O,X,X,X,X,O,X
JOITSZL,O,X,X,X,X,O,X
JOITZLS,O,X,X,X,X,X,X
JOITZSL,O,X,X,X,X,X,X
JOILTSZ,X,O,X,X,X,X,X
JOILTZS,X,O,X,O,X,X,X
JOILSTZ,X,X,X,X,X,O,X
JOILSZT,X,X,X,O,O,X,X
JOILZTS,X,O,X,O,X,X,X
JOILZST,X,X,X,O,O,X,X
JOISTLZ,O,X,X,X,X,O,X
JOISTZL,O,X,X,X,X,O,X
JOISLTZ,O,X,X,X,X,O,X
JOISLZT,X,X,X,X,O,X,X
JOISZTL,X,X,X,X,X,O,X
JOISZLT,X,X,X,X,O,X,X
JOIZTLS,O,X,X,O,X,X,X
JOIZTSL,O,X,X,X,X,X,X
JOIZLTS,X,X,X,O,X,X,X
JOIZLST,X,X,X,O,X,X,X
JOIZSTL,O,X,X,X,X,O,X
JOIZSLT,O,X,X,X,X,X,X
JOLTISZ,X,O,X,X,X,X,X
JOLTIZS,X,O,X,O,X,X,X
JOLTSIZ,X,O,X,X,X,X,X
JOLTSZI,X,O,X,X,X,X,X
JOLTZIS,X,O,X,O,X,X,X
JOLTZSI,X,O,X,O,X,X,X
JOLITSZ,X,O,X,X,X,X,X
JOLITZS,X,O,X,O,X,X,X
JOLISTZ,X,X,X,X,X,O,X
JOLISZT,X,X,X,O,O,X,X
JOLIZTS,X,O,X,O,X,X,X
JOLIZST,X,X,X,O,O,X,X
JOLSTIZ,X,X,X,X,X,O,X
JOLSTZI,X,X,X,X,X,O,X
JOLSITZ,X,X,X,X,X,O,X
JOLSIZT,X,X,X,O,O,X,X
JOLSZTI,X,X,X,O,X,X,X
JOLSZIT,X,X,X,O,O,X,X
JOLZTIS,X,O,X,O,X,X,X
JOLZTSI,X,O,X,O,X,X,X
JOLZITS,X,O,X,O,X,X,X
JOLZIST,X,X,X,O,O,X,X
JOLZSTI,X,X,X,O,X,X,X
JOLZSIT,X,X,X,O,O,X,X
JOSTILZ,O,X,X,X,X,O,X
JOSTIZL,O,X,X,X,X,O,X
JOSTLIZ,O,X,X,X,X,O,X
JOSTLZI,O,X,X,X,X,O,X
JOSTZIL,O,X,X,X,X,O,X
JOSTZLI,O,X,X,X,X,O,X
JOSITLZ,O,X,X,X,X,O,X
JOSITZL,O,X,X,X,X,O,X
JOSILTZ,O,X,X,X,X,O,X
JOSILZT,X,X,X,X,O,X,X
JOSIZTL,X,X,X,X,X,O,X
JOSIZLT,X,X,X,X,O,X,X
JOSLTIZ,O,X,X,X,X,O,X
JOSLTZI,O,X,X,X,X,O,X
JOSLITZ,O,X,X,X,X,O,X
JOSLIZT,X,X,X,X,O,X,X
JOSLZTI,X,X,X,X,X,X,X
JOSLZIT,X,X,X,X,O,X,X
JOSZTIL,X,X,X,X,X,O,X
JOSZTLI,X,X,X,X,X,O,X
JOSZITL,X,X,X,X,X,O,X
JOSZILT,X,X,X,X,O,O,X
JOSZLTI,X,X,X,X,X,O,X
JOSZLIT,X,X,X,X,X,O,X
JOZTILS,O,X,X,O,X,X,X
JOZTISL,O,X,X,X,X,O,X
JOZTLIS,O,X,X,O,X,X,X
JOZTLSI,O,X,X,O,X,X,X
JOZTSIL,O,X,X,X,X,O,X
JOZTSLI,O,X,X,X,X,O,X
JOZITLS,O,X,X,O,X,X,X
JOZITSL,O,X,X,X,X,O,X
JOZILTS,X,X,X,O,X,X,X
JOZILST,X,X,X,O,X,O,X
JOZISTL,O,X,X,X,X,O,X
JOZISLT,O,X,X,X,X,O,X
JOZLTIS,X,X,X,O,X,X,X
JOZLTSI,X,X,X,O,X,X,X
JOZLITS,X,X,X,O,X,X,X
JOZLIST,X,X,X,O,X,O,X
JOZLSTI,X,X,X,O,X,O,X
JOZLSIT,X,X,X,O,X,O,X
JOZSTIL,O,X,X,X,X,O,X
JOZSTLI,O,X,X,X,X,O,X
JOZSITL,O,X,X,X,X,O,X
JOZSILT,O,X,X,X,X,O,X
JOZSLTI,O,X,X,X,X,O,X
JOZSLIT,O,X,X,X,X,O,X
STILJZO,O,O,O,X,X,X,X
STILJOZ,O,O,O,X,X,X,O
STILZJO,O,O,O,X,X,X,X
STILZOJ,O,O,O,X,O,X,X
STILOJZ,O,O,O,X,X,X,O
STILOZJ,O,O,O,X,O,X,X
STIJLZO,O,X,O,X,X,X,X
STIJLOZ,O,X,O,X,X,X,O
STIJZLO,O,X,X,X,X,X,X
STIJZOL,O,X,X,X,X,O,X
STIJOLZ,O,X,O,X,X,O,O
STIJOZL,O,X,X,X,X,O,X
STIZLJO,O,O,X,X,X,X,X
STIZLOJ,O,O,X,X,O,X,X
STIZJLO,O,X,X,X,X,X,X
STIZJOL,O,X,X,X,X,O,X
STIZOLJ,O,O,X,X,O,O,X
STIZOJL,O,X,X,X,X,O,X
STIOLJZ,O,O,O,X,X,O,O
STIOLZJ,O,O,O,X,O,X,X
STIOJLZ,O,X,O,X,X,O,O
STIOJZL,O,X,X,X,X,O,X
STIOZLJ,O,O,X,X,O,X,X
STIOZJL,O,X,X,X,X,O,X
STLIJZO,O,O,O,X,X,X,X
STLIJOZ,O,O,O,X,X,X,O
STLIZJO,O,O,O,X,X,X,X
STLIZOJ,O,O,O,X,O,X,X
STLIOJZ,O,O,O,X,X,X,O
STLIOZJ,O,O,O,X,O,X,X
STLJIZO,O,O,O,X,X,X,X
STLJIOZ,O,O,O,X,X,X,O
STLJZIO,O,O,O,X,X,X,X
STLJZOI,O,O,O,X,X,O,X
STLJOIZ,O,O,O,X,X,O,O
STLJOZI,O,O,O,X,X,O,X
STLZIJO,O,O,O,X,X,X,X
STLZIOJ,O,O,O,X,O,X,X
STLZJIO,O,O,O,X,X,X,X
STLZJOI,O,O,O,X,X,O,X
STLZOIJ,O,O,O,X,O,O,X
STLZOJI,O,O,O,X,X,O,X
STLOIJZ,O,O,O,X,X,O,O
STLOIZJ,O,O,O,X,O,X,X
STLOJIZ,O,O,O,X,X,O,O
STLOJZI,O,O,O,X,X,O,X
STLOZIJ,O,O,O,X,O,X,X
STLOZJI,O,O,O,X,X,X,X
STJILZO,O,X,O,X,X,X,X
STJILOZ,O,X,O,X,X,X,O
STJIZLO,O,X,X,X,X,X,X
STJIZOL,O,X,X,X,X,O,X
STJIOLZ,O,X,O,X,X,O,O
STJIOZL,O,X,X,X,X,O,X
STJLIZO,O,X,O,X,X,X,X
STJLIOZ,O,X,O,X,X,X,O
STJLZIO,O,X,O,X,X,X,X
STJLZOI,O,X,O,X,X,O,X
STJLOIZ,O,X,O,X,X,O,O
STJLOZI,O,X,O,X,X,O,X
STJZILO,O,X,X,X,X,X,X
STJZIOL,O,X,X,X,X,O,X
STJZLIO,O,X,O,X,X,X,X
STJZLOI,O,X,O,X,X,O,X
STJZOIL,O,X,X,X,X,O,X
STJZOLI,O,X,O,X,X,O,X
STJOILZ,O,X,O,X,X,O,O
STJOIZL,O,X,X,X,X,O,X
STJOLIZ,O,X,O,X,X,O,O
STJOLZI,O,X,O,X,X,O,X
STJOZIL,O,X,X,X,X,O,X
STJOZLI,O,X,O,X,X,O,X
STZILJO,O,O,X,X,X,X,X
STZILOJ,O,O,X,X,O,X,X
STZIJLO,O,X,X,X,X,X,X
STZIJOL,O,X,X,X,X,O,X
STZIOLJ,O,O,X,X,O,O,X
STZIOJL,O,X,X,X,X,O,X
STZLIJO,O,O,O,X,X,X,X
STZLIOJ,O,O,O,X,O,X,X
STZLJIO,O,O,O,X,X,X,X
STZLJOI,O,O,O,X,X,O,X
STZLOIJ,O,O,O,X,O,O,X
STZLOJI,O,O,O,X,X,O,X
STZJILO,O,X,X,X,X,X,X
STZJIOL,O,X,X,X,X,O,X
STZJLIO,O,X,O,X,X,X,X
STZJLOI,O,X,O,X,X,O,X
STZJOIL,O,X,X,X,X,O,X
STZJOLI,O,X,O,X,X,O,X
STZOILJ,O,O,X,X,O,O,X
STZOIJL,O,X,X,X,X,O,X
STZOLIJ,O,O,O,X,X,O,X
STZOLJI,O,O,O,X,X,O,X
STZOJIL,O,X,X,X,X,O,X
STZOJLI,O,X,O,X,X,O,X
STOILJZ,O,O,O,X,X,O,O
STOILZJ,O,O,O,X,O,X,X
STOIJLZ,O,X,O,X,X,O,O
STOIJZL,O,X,X,X,X,O,X
STOIZLJ,O,O,X,X,O,X,X
STOIZJL,O,X,X,X,X,O,X
STOLIJZ,O,O,O,X,X,O,O
STOLIZJ,O,O,O,X,O,X,X
STOLJIZ,O,O,O,X,X,O,O
STOLJZI,O,O,O,X,X,O,X
STOLZIJ,O,O,O,X,O,X,X
STOLZJI,O,O,O,X,X,X,X
STOJILZ,O,X,O,X,X,O,O
STOJIZL,O,X,X,X,X,O,X
STOJLIZ,O,X,O,X,X,O,O
STOJLZI,O,X,O,X,X,O,X
STOJZIL,O,X,X,X,X,O,X
STOJZLI,O,X,O,X,X,O,X
STOZILJ,O,O,X,X,O,O,X
STOZIJL,O,X,X,X,X,O,X
STOZLIJ,O,O,O,X,X,O,X
STOZLJI,O,O,O,X,X,O,X
STOZJIL,O,X,X,X,X,O,X
STOZJLI,O,X,O,X,X,O,X
SITLJZO,O,O,O,X,X,X,X
SITLJOZ,O,O,O,X,X,X,O
SITLZJO,O,O,O,X,X,X,X
SITLZOJ,O,O,O,X,O,X,X
SITLOJZ,O,O,O,X,X,X,O
SITLOZJ,O,O,O,X,O,X,X
SITJLZO,O,X,O,X,X,X,X
SITJLOZ,O,X,O,X,X,X,O
SITJZLO,O,X,X,X,X,X,X
SITJZOL,O,X,X,X,X,O,X
SITJOLZ,O,X,O,X,X,O,O
SITJOZL,O,X,X,X,X,O,X
SITZLJO,O,O,X,X,X,X,X
SITZLOJ,O,O,X,X,O,X,X
SITZJLO,O,X,X,X,X,X,X
SITZJOL,O,X,X,X,X,O,X
SITZOLJ,O,O,X,X,O,O,X
SITZOJL,O,X,X,X,X,O,X
SITOLJZ,O,O,O,X,X,O,O
SITOLZJ,O,O,O,X,O,X,X
SITOJLZ,O,X,O,X,X,O,O
SITOJZL,O,X,X,X,X,O,X
SITOZLJ,O,O,X,X,O,X,X
SITOZJL,O,X,X,X,X,O,X
SILTJZO,O,O,O,X,X,X,X
SILTJOZ,O,O,O,X,X,X,O
SILTZJO,O,O,O,X,X,X,X
SILTZOJ,O,O,O,X,O,X,X
SILTOJZ,O,O,O,X,X,X,O
SILTOZJ,O,O,O,X,O,X,X
SILJTZO,O,O,X,X,X,X,X
SILJTOZ,O,O,O,X,X,X,O
SILJZTO,O,O,X,X,X,X,X
SILJZOT,X,X,O,O,O,X,O
SILJOTZ,O,X,O,X,X,X,O
SILJOZT,X,X,O,O,O,X,O
SILZTJO,O,O,X,X,X,X,X
SILZTOJ,O,O,X,X,O,X,X
SILZJTO,O,O,X,X,X,X,X
SILZJOT,O,X,O,O,O,X,O
SILZOTJ,O,X,X,O,O,X,X
SILZOJT,O,X,O,O,O,X,O
SILOTJZ,O,X,O,X,X,X,O
SILOTZJ,O,X,O,X,O,X,X
SILOJTZ,O,X,O,X,X,X,O
SILOJZT,X,X,O,O,O,X,O
SILOZTJ,X,X,X,O,O,X,X
SILOZJT,X,X,O,O,O,X,O
SIJTLZO,O,X,O,X,X,X,X
SIJTLOZ,O,X,O,X,X,X,O
SIJTZLO,O,X,X,X,X,X,X
SIJTZOL,O,X,X,X,X,O,X
SIJTOLZ,O,X,O,X,X,O,O
SIJTOZL,O,X,X,X,X,O,X
SIJLTZO,O,O,X,X,X,X,X
SIJLTOZ,O,O,O,X,X,X,O
SIJLZTO,O,O,X,X,X,X,X
SIJLZOT,X,X,O,O,O,X,O
SIJLOTZ,O,X,O,X,X,X,O
SIJLOZT,X,X,O,O,O,X,O
SIJZTLO,O,X,X,X,X,X,X
SIJZTOL,O,X,X,X,X,O,X
SIJZLTO,O,X,X,X,X,X,X
SIJZLOT,O,X,X,O,O,X,O
SIJZOTL,O,X,X,X,X,O,X
SIJZOLT,O,X,X,X,O,O,O
SIJOTLZ,O,X,O,X,X,O,O
SIJOTZL,O,X,X,X,X,O,X
SIJOLTZ,O,X,O,X,X,O,O
SIJOLZT,X,X,O,X,O,X,O
SIJOZTL,X,X,X,X,X,O,X
SIJOZLT,X,X,X,X,O,X,O
SIZTLJO,O,O,X,X,X,X,X
SIZTLOJ,O,O,X,X,O,X,X
SIZTJLO,O,X,X,X,X,X,X
SIZTJOL,O,X,X,X,X,O,X
