sequence,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF3hBcnB6oBT?lBdtBWxB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFtlBxhBTjBu?rBcsBXtB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFtlBxhBXjBu?rBctBTsB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBxiBT?oBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBxiBT?oB0sBXsB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mB2nBTlBc?tBXsBCtB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBTjBx?sBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mB6oBTlBm?nBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mB6oBTlBm?nB0sBXsB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeUAJvhF9mBOnB6oBz?nB3lBRxB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mBynB+oBT?lBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mBynB+oBT?lB0sBXsB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFtlBXiBTjBW?tB0mBRxB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBxnBT?oBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBxnBT?oB0sBXsB
ZIOSJTL,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
ZIOSJLT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLTIJSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
ZLTIJOS,O,O,O,X,O,X,O,X,O,O,X,X,O,X,O
ZLTISJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
ZLTISOJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLTIOJS,O,X,O,X,O,X,O,X,O,O,X,X,X,X,O
ZLTIOSJ,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
ZLTJISO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
ZLTJIOS,O,O,O,X,O,X,O,X,O,X,X,O,O,X,O
ZLTJSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZLTJSOI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
ZLTJOIS,O,O,O,O,O,X,X,X,O,X,X,O,O,X,O
ZLTJOSI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
ZLTSIJO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZLTSIOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLTSJIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZLTSJOI,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZLTSOIJ,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZLTSOJI,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZLTOIJS,O,X,O,O,O,X,X,X,O,X,X,O,X,X,O
ZLTOISJ,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X
ZLTOJIS,O,O,O,O,O,X,X,X,O,X,X,O,X,X,O
ZLTOJSI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X
ZLTOSIJ,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZLTOSJI,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZLITJSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
ZLITJOS,O,O,O,X,O,X,O,X,O,O,X,X,O,X,O
ZLITSJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
ZLITSOJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLITOJS,X,X,O,X,O,X,O,X,O,O,X,X,X,X,O
ZLITOSJ,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
ZLIJTSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
ZLIJTOS,O,O,O,X,O,X,O,X,O,O,X,X,O,X,O
ZLIJSTO,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
ZLIJSOT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLIJOTS,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X
ZLIJOST,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
ZLISTJO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
ZLISTOJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLISJTO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLISJOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLISOTJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLISOJT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLIOTJS,X,X,O,X,O,X,O,X,O,O,X,X,X,X,O
ZLIOTSJ,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X
ZLIOJTS,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X
ZLIOJST,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLIOSTJ,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X
ZLIOSJT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLJTISO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
ZLJTIOS,O,O,O,X,O,X,O,X,O,X,X,O,O,X,O
ZLJTSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZLJTSOI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
ZLJTOIS,O,O,O,O,O,X,X,X,O,X,X,O,O,X,O
ZLJTOSI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
ZLJITSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
ZLJITOS,O,O,O,X,O,X,O,X,O,O,X,O,O,X,O
ZLJISTO,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
ZLJISOT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLJIOTS,X,X,X,X,O,X,O,X,O,O,X,O,O,X,X
ZLJIOST,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
ZLJSTIO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZLJSTOI,X,O,O,O,O,X,X,X,O,X,X,O,O,X,X
ZLJSITO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSIOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSOTI,X,O,O,O,O,X,X,X,O,X,X,O,O,X,X
ZLJSOIT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLJOTIS,O,O,O,O,O,X,X,X,O,X,X,O,O,X,O
ZLJOTSI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
ZLJOITS,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X
ZLJOIST,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZLJOSTI,X,O,O,O,O,X,X,X,O,X,X,O,O,X,X
ZLJOSIT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLSTIJO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZLSTIOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLSTJIO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZLSTJOI,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZLSTOIJ,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZLSTOJI,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZLSITJO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZLSITOJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLSIJTO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLSIJOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSIOTJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLSIOJT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLSJTIO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZLSJTOI,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZLSJITO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJIOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJOTI,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZLSJOIT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOTIJ,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZLSOTJI,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZLSOITJ,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZLSOIJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOJTI,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZLSOJIT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTIJS,O,X,O,O,O,X,X,X,O,X,X,O,X,X,O
ZLOTISJ,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X
ZLOTJIS,O,O,O,O,O,X,X,X,O,X,X,O,X,X,O
ZLOTJSI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X
ZLOTSIJ,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZLOTSJI,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZLOITJS,O,X,O,O,O,X,X,X,O,O,X,O,X,X,O
ZLOITSJ,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
ZLOIJTS,O,X,O,X,O,X,X,X,O,O,X,O,X,X,X
ZLOIJST,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLOISTJ,X,X,O,O,O,O,X,O,O,O,X,X,X,X,X
ZLOISJT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLOJTIS,O,O,O,O,O,X,X,X,O,X,X,O,X,X,O
ZLOJTSI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X
ZLOJITS,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X
ZLOJIST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOJSTI,X,O,O,O,O,X,X,X,O,X,X,O,X,X,X
ZLOJSIT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSTIJ,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZLOSTJI,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZLOSITJ,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZLOSIJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSJTI,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZLOSJIT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTILSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
ZJTILOS,O,O,O,X,O,X,O,X,O,O,X,O,O,X,O
ZJTISLO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
ZJTISOL,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
ZJTIOLS,O,O,O,X,O,X,O,X,O,O,X,O,O,X,O
ZJTIOSL,O,O,O,X,O,X,X,X,O,O,X,O,O,X,X
ZJTLISO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
ZJTLIOS,O,O,O,X,O,X,O,X,O,X,X,O,O,X,O
ZJTLSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZJTLSOI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
ZJTLOIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
ZJTLOSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
ZJTSILO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZJTSIOL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJTSLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZJTSLOI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
ZJTSOIL,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X
ZJTSOLI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
ZJTOILS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
ZJTOISL,O,O,O,X,O,O,X,X,O,X,O,O,O,X,X
ZJTOLIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
ZJTOLSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
ZJTOSIL,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X
ZJTOSLI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
ZJITLSO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
ZJITLOS,O,O,O,X,O,X,O,X,O,O,X,O,X,X,O
ZJITSLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
ZJITSOL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJITOLS,O,O,O,X,O,X,O,X,O,O,X,O,X,X,O
ZJITOSL,O,O,O,X,O,X,X,X,O,O,X,O,X,X,X
ZJILTSO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
ZJILTOS,O,O,O,X,O,X,O,X,O,O,X,O,X,X,O
ZJILSTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJILSOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJILOTS,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X
ZJILOST,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZJISTLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJISTOL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJISLTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJISLOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJISOTL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJISOLT,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ZJIOTLS,O,O,O,X,O,X,O,X,O,O,X,O,X,X,X
ZJIOTSL,O,O,O,X,O,X,X,X,O,O,X,O,X,X,X
ZJIOLTS,O,X,O,X,O,X,O,X,O,O,X,O,X,X,X
ZJIOLST,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJIOSTL,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X
ZJIOSLT,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJLTISO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
ZJLTIOS,O,O,O,X,O,X,O,X,O,X,X,O,O,X,O
ZJLTSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZJLTSOI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
ZJLTOIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
ZJLTOSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
ZJLITSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
ZJLITOS,O,O,O,X,O,X,O,X,O,O,X,O,O,X,O
ZJLISTO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
ZJLISOT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZJLIOTS,X,X,X,X,O,X,O,X,O,O,X,O,O,X,X
ZJLIOST,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
ZJLSTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZJLSTOI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
ZJLSITO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSIOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSOTI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
ZJLSOIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLOTIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
ZJLOTSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
ZJLOITS,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X
ZJLOIST,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZJLOSTI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
ZJLOSIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTILO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZJSTIOL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJSTLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZJSTLOI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
ZJSTOIL,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X
ZJSTOLI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
ZJSITLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSITOL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJSILTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSILOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSIOTL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJSIOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZJSLTOI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
ZJSLITO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLIOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLOTI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
ZJSLOIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSOTIL,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X
ZJSOTLI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
ZJSOITL,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X
ZJSOILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSOLTI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
ZJSOLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOTILS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
ZJOTISL,O,O,O,X,O,O,X,X,O,X,O,O,O,X,X
ZJOTLIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
ZJOTLSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
ZJOTSIL,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X
ZJOTSLI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
ZJOITLS,O,O,O,X,O,X,X,X,O,X,O,O,X,X,X
ZJOITSL,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X
ZJOILTS,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X
ZJOILST,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOISTL,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X
ZJOISLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOLTIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
ZJOLTSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
ZJOLITS,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X
ZJOLIST,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZJOLSTI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
ZJOLSIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOSTIL,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X
ZJOSTLI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
ZJOSITL,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X
ZJOSILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOSLTI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
ZJOSLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTILJO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSTILOJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZSTIJLO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSTIJOL,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZSTIOLJ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZSTIOJL,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZSTLIJO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSTLIOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTLJIO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSTLJOI,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZSTLOIJ,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZSTLOJI,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZSTJILO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSTJIOL,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSTJLIO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSTJLOI,X,O,O,O,O,O,X,O,O,X,O,O,X,X,X
ZSTJOIL,X,O,O,O,O,O,X,O,O,X,O,O,X,X,X
ZSTJOLI,X,O,O,O,O,O,X,O,O,X,O,O,X,X,X
ZSTOILJ,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZSTOIJL,X,O,O,O,O,O,X,O,O,X,O,O,X,X,X
ZSTOLIJ,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZSTOLJI,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZSTOJIL,X,O,O,O,O,O,X,O,O,X,O,O,X,X,X
ZSTOJLI,X,O,O,O,O,O,X,O,O,X,O,O,X,X,X
ZSITLJO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSITLOJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZSITJLO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSITJOL,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZSITOLJ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZSITOJL,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZSILTJO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSILTOJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZSILJTO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSILJOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILOTJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZSILOJT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZSIJTLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJTOL,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZSIJLTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJLOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJOTL,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZSIJOLT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ZSIOTLJ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZSIOTJL,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZSIOLTJ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZSIOLJT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZSIOJTL,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZSIOJLT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZSLTIJO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSLTIOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTJIO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSLTJOI,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZSLTOIJ,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZSLTOJI,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZSLITJO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSLITOJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZSLIJTO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLIJOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLIOTJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZSLIOJT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZSLJTIO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSLJTOI,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZSLJITO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLJIOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLJOTI,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZSLJOIT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOTIJ,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZSLOTJI,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZSLOITJ,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZSLOIJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOJTI,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZSLOJIT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTILO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSJTIOL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSJTLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSJTLOI,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X
ZSJTOIL,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X
ZSJTOLI,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X
ZSJITLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJITOL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSJILTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJILOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJIOTL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSJIOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJLTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSJLTOI,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X
ZSJLITO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJLIOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJLOTI,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X
ZSJLOIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJOTIL,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X
ZSJOTLI,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X
ZSJOITL,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X
ZSJOILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJOLTI,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X
ZSJOLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOTILJ,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X
ZSOTIJL,X,O,O,O,O,O,X,O,O,X,O,O,X,X,X
