sequence,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeRAJvhFUiBGjB9qBT?mB/tBywB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeGAJvhFxhBXjBimB9?tB0qBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeGAJvhFNmBaoB5oBX?nB0qBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeCBJvhFXiBdoB5oBe?rBUlBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeCBJvhFOnBXjBTmB9?tBUlBRwB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KefGJvhF6mBNnBToBU?lBGtBRwB
JZLOTSI,X,O,O,X,X,X
JZLOITS,X,O,O,X,X,X
JZLOIST,X,O,O,X,X,X
JZLOSTI,X,O,O,X,X,X
JZLOSIT,X,O,O,X,X,X
JZSTILO,O,O,O,X,X,X
JZSTIOL,O,O,O,X,X,X
JZSTLIO,O,O,O,X,X,X
JZSTLOI,O,O,O,X,X,X
JZSTOIL,O,O,O,X,X,X
JZSTOLI,O,O,O,X,X,X
JZSITLO,O,X,O,X,X,X
JZSITOL,O,X,O,X,X,X
JZSILTO,O,X,O,X,X,X
JZSILOT,O,X,O,X,X,X
JZSIOTL,O,X,O,X,X,X
JZSIOLT,O,X,O,X,X,X
JZSLTIO,O,O,O,X,X,X
JZSLTOI,O,O,O,X,X,X
JZSLITO,O,O,O,X,X,X
JZSLIOT,O,X,O,X,X,X
JZSLOTI,O,X,O,X,X,X
JZSLOIT,O,X,O,X,X,X
JZSOTIL,O,O,O,X,X,X
JZSOTLI,O,O,O,X,X,X
JZSOITL,O,X,O,X,X,X
JZSOILT,O,X,O,X,X,X
JZSOLTI,O,O,O,X,X,X
JZSOLIT,O,O,O,X,X,X
JZOTILS,X,O,O,O,X,X
JZOTISL,X,O,O,O,X,X
JZOTLIS,X,O,O,O,X,X
JZOTLSI,X,O,O,O,X,X
JZOTSIL,X,O,O,O,X,X
JZOTSLI,X,O,O,O,X,X
JZOITLS,X,O,O,O,X,X
JZOITSL,X,O,O,O,X,X
JZOILTS,X,O,O,O,X,X
JZOILST,X,O,O,X,X,X
JZOISTL,X,X,O,X,X,X
JZOISLT,X,X,O,X,X,X
JZOLTIS,X,O,O,O,X,X
JZOLTSI,X,O,O,O,X,X
JZOLITS,X,O,O,O,X,X
JZOLIST,X,O,O,X,X,X
JZOLSTI,X,O,O,O,X,X
JZOLSIT,X,O,O,X,X,X
JZOSTIL,X,O,O,O,X,X
JZOSTLI,X,O,O,O,X,X
JZOSITL,X,X,O,X,X,X
JZOSILT,X,X,O,X,X,X
JZOSLTI,X,O,O,O,X,X
JZOSLIT,X,O,O,X,X,X
JOTILSZ,X,O,X,O,X,O
JOTILZS,X,O,X,O,X,X
JOTISLZ,X,O,X,O,X,O
JOTISZL,X,O,X,O,X,X
JOTIZLS,X,X,X,O,X,X
JOTIZSL,X,X,X,O,X,X
JOTLISZ,X,O,X,O,X,X
JOTLIZS,X,O,X,O,X,X
JOTLSIZ,X,O,X,O,X,X
JOTLSZI,X,O,X,O,X,X
JOTLZIS,X,O,X,O,X,X
JOTLZSI,X,O,X,O,X,X
JOTSILZ,X,O,X,O,X,X
JOTSIZL,X,O,X,O,X,X
JOTSLIZ,X,O,X,O,X,X
JOTSLZI,X,O,X,O,X,X
JOTSZIL,X,O,X,O,X,X
JOTSZLI,X,O,X,O,X,X
JOTZILS,X,O,X,O,X,X
JOTZISL,X,O,X,O,X,X
JOTZLIS,X,O,X,O,X,X
JOTZLSI,X,O,X,O,X,X
JOTZSIL,X,O,X,O,X,X
JOTZSLI,X,O,X,O,X,X
JOITLSZ,X,O,X,O,X,O
JOITLZS,X,O,X,O,X,X
JOITSLZ,X,O,X,O,X,O
JOITSZL,X,O,X,O,X,X
JOITZLS,X,X,X,O,X,X
JOITZSL,X,X,X,O,X,X
JOILTSZ,X,O,X,O,X,O
JOILTZS,X,O,X,O,X,X
JOILSTZ,X,O,X,O,X,O
JOILSZT,X,X,O,X,X,X
JOILZTS,X,O,O,O,X,X
JOILZST,X,X,O,X,X,X
JOISTLZ,X,X,X,O,X,O
JOISTZL,X,X,X,O,X,X
JOISLTZ,X,X,X,O,X,O
JOISLZT,X,X,O,X,X,X
JOISZTL,X,X,O,X,X,X
JOISZLT,X,X,O,X,X,X
JOIZTLS,X,X,O,O,X,X
JOIZTSL,X,X,O,O,X,X
JOIZLTS,X,X,O,O,X,X
JOIZLST,X,X,O,X,X,X
JOIZSTL,X,X,O,X,X,X
JOIZSLT,X,X,O,X,X,X
JOLTISZ,X,O,X,O,X,X
JOLTIZS,X,O,X,O,X,X
JOLTSIZ,X,O,X,O,X,X
JOLTSZI,X,O,X,O,X,X
JOLTZIS,X,O,X,O,X,X
JOLTZSI,X,O,X,O,X,X
JOLITSZ,X,O,X,O,X,X
JOLITZS,X,O,X,O,X,X
JOLISTZ,X,O,X,O,X,X
JOLISZT,X,X,O,X,X,X
JOLIZTS,X,O,O,O,X,X
JOLIZST,X,X,O,X,X,X
JOLSTIZ,X,O,X,O,X,X
JOLSTZI,X,O,X,O,X,X
JOLSITZ,X,O,X,O,X,X
JOLSIZT,X,X,O,X,X,X
JOLSZTI,X,X,O,O,X,X
JOLSZIT,X,X,O,X,X,X
JOLZTIS,X,O,O,O,X,X
JOLZTSI,X,O,O,O,X,X
JOLZITS,X,O,O,O,X,X
JOLZIST,X,X,O,X,X,X
JOLZSTI,X,X,O,O,X,X
JOLZSIT,X,X,O,X,X,X
JOSTILZ,X,O,X,O,X,X
JOSTIZL,X,O,X,O,X,X
JOSTLIZ,X,O,X,O,X,X
JOSTLZI,X,O,X,O,X,X
JOSTZIL,X,O,X,O,X,X
JOSTZLI,X,O,X,O,X,X
JOSITLZ,X,X,X,O,X,X
JOSITZL,X,X,X,O,X,X
JOSILTZ,X,X,X,O,X,X
JOSILZT,X,X,O,X,X,X
JOSIZTL,X,X,O,X,X,X
JOSIZLT,X,X,O,X,X,X
JOSLTIZ,X,O,X,O,X,X
JOSLTZI,X,O,X,O,X,X
JOSLITZ,X,O,X,O,X,X
JOSLIZT,X,X,O,X,X,X
JOSLZTI,X,X,O,O,X,X
JOSLZIT,X,X,O,X,X,X
JOSZTIL,X,X,O,O,X,X
JOSZTLI,X,X,O,O,X,X
JOSZITL,X,X,O,X,X,X
JOSZILT,X,X,O,X,X,X
JOSZLTI,X,X,O,O,X,X
JOSZLIT,X,X,O,X,X,X
JOZTILS,X,O,O,O,X,X
JOZTISL,X,O,O,O,X,X
JOZTLIS,X,O,O,O,X,X
JOZTLSI,X,O,O,O,X,X
JOZTSIL,X,O,O,O,X,X
JOZTSLI,X,O,O,O,X,X
JOZITLS,X,O,O,O,X,X
JOZITSL,X,O,O,O,X,X
JOZILTS,X,O,O,O,X,X
JOZILST,X,O,O,X,X,X
JOZISTL,X,X,O,X,X,X
JOZISLT,X,X,O,X,X,X
JOZLTIS,X,O,O,O,X,X
JOZLTSI,X,O,O,O,X,X
JOZLITS,X,O,O,O,X,X
JOZLIST,X,O,O,X,X,X
JOZLSTI,X,O,O,O,X,X
JOZLSIT,X,O,O,X,X,X
JOZSTIL,X,O,O,O,X,X
JOZSTLI,X,O,O,O,X,X
JOZSITL,X,X,O,X,X,X
JOZSILT,X,X,O,X,X,X
JOZSLTI,X,O,O,O,X,X
JOZSLIT,X,O,O,X,X,X
STILJZO,O,O,O,O,X,X
STILJOZ,O,O,X,O,O,O
STILZJO,O,X,O,X,X,X
STILZOJ,O,X,O,X,X,O
STILOJZ,O,X,X,O,O,O
STILOZJ,O,X,X,X,O,O
STIJLZO,O,O,O,O,X,X
STIJLOZ,O,O,X,O,O,O
STIJZLO,O,O,O,O,X,X
STIJZOL,O,O,O,X,O,X
STIJOLZ,O,O,X,O,O,O
STIJOZL,O,O,X,O,O,X
STIZLJO,O,O,O,X,X,X
STIZLOJ,O,O,O,X,X,O
STIZJLO,O,O,O,O,X,X
STIZJOL,O,O,O,X,O,X
STIZOLJ,X,O,O,X,O,O
STIZOJL,O,O,O,O,O,X
STIOLJZ,O,O,X,O,O,O
STIOLZJ,O,O,X,X,O,O
STIOJLZ,O,O,X,O,O,O
STIOJZL,O,O,X,O,O,X
STIOZLJ,X,O,X,X,O,O
STIOZJL,O,O,X,O,O,X
STLIJZO,O,O,O,O,X,X
STLIJOZ,O,O,X,O,O,X
STLIZJO,O,X,O,X,X,X
STLIZOJ,O,X,O,X,X,X
STLIOJZ,O,X,X,O,O,X
STLIOZJ,O,X,X,X,O,X
STLJIZO,O,O,O,O,X,X
STLJIOZ,O,O,X,O,O,X
STLJZIO,O,O,O,O,X,X
STLJZOI,O,O,O,X,X,X
STLJOIZ,O,O,X,O,X,X
STLJOZI,O,O,X,X,X,X
STLZIJO,O,O,O,X,X,X
STLZIOJ,O,O,O,X,X,X
STLZJIO,O,O,O,X,X,X
STLZJOI,O,O,O,X,X,X
STLZOIJ,O,O,O,X,X,X
STLZOJI,O,O,O,X,X,X
STLOIJZ,O,O,X,O,X,X
STLOIZJ,O,O,X,X,X,X
STLOJIZ,O,O,X,O,X,X
STLOJZI,O,O,X,O,X,X
STLOZIJ,O,O,X,X,X,X
STLOZJI,O,O,X,X,X,X
STJILZO,O,O,O,O,X,X
STJILOZ,O,O,X,O,O,X
STJIZLO,O,O,O,O,X,X
STJIZOL,O,O,O,X,O,X
STJIOLZ,O,O,X,O,O,X
STJIOZL,O,O,X,O,O,X
STJLIZO,O,O,O,O,X,X
STJLIOZ,O,O,X,O,O,X
STJLZIO,O,O,O,O,X,X
STJLZOI,O,O,O,X,X,X
STJLOIZ,O,O,X,O,X,X
STJLOZI,O,O,X,X,X,X
STJZILO,O,O,O,O,X,X
STJZIOL,O,O,O,X,O,X
STJZLIO,O,O,O,O,X,X
STJZLOI,O,O,O,X,X,X
STJZOIL,O,O,O,X,X,X
STJZOLI,O,O,O,X,X,X
STJOILZ,O,O,X,O,O,X
STJOIZL,O,O,X,O,O,X
STJOLIZ,O,O,X,O,X,X
STJOLZI,O,O,X,O,X,X
STJOZIL,O,O,X,O,X,X
STJOZLI,O,O,X,O,X,X
STZILJO,O,O,O,X,X,X
STZILOJ,O,O,O,X,X,X
STZIJLO,O,O,O,O,X,X
STZIJOL,O,O,O,X,O,X
STZIOLJ,X,O,O,X,O,X
STZIOJL,O,O,O,O,O,X
STZLIJO,O,O,O,X,X,X
STZLIOJ,O,O,O,X,X,X
STZLJIO,O,O,O,X,X,X
STZLJOI,O,O,O,X,X,X
STZLOIJ,O,O,O,X,X,X
STZLOJI,O,O,O,X,X,X
STZJILO,O,O,O,O,X,X
STZJIOL,O,O,O,X,O,X
STZJLIO,O,O,O,O,X,X
STZJLOI,O,O,O,X,X,X
STZJOIL,O,O,O,X,X,X
STZJOLI,O,O,O,X,X,X
STZOILJ,X,O,O,X,X,X
STZOIJL,O,O,O,O,X,X
STZOLIJ,O,O,O,X,X,X
STZOLJI,O,O,O,X,X,X
STZOJIL,O,O,O,O,X,X
STZOJLI,O,O,O,O,X,X
STOILJZ,O,O,X,O,O,O
STOILZJ,O,O,X,X,O,O
STOIJLZ,O,O,X,O,O,O
STOIJZL,O,O,X,O,O,X
STOIZLJ,X,O,X,X,O,O
STOIZJL,O,O,X,O,O,X
STOLIJZ,O,O,X,O,X,X
STOLIZJ,O,O,X,X,X,X
STOLJIZ,O,O,X,O,X,X
STOLJZI,O,O,X,O,X,X
STOLZIJ,O,O,X,X,X,X
STOLZJI,O,O,X,X,X,X
STOJILZ,O,O,X,O,O,X
STOJIZL,O,O,X,O,O,X
STOJLIZ,O,O,X,O,X,X
STOJLZI,O,O,X,O,X,X
STOJZIL,O,O,X,O,X,X
STOJZLI,O,O,X,O,X,X
STOZILJ,X,O,X,X,X,X
STOZIJL,O,O,X,O,X,X
STOZLIJ,O,O,X,X,X,X
STOZLJI,O,O,X,X,X,X
STOZJIL,O,O,X,O,X,X
STOZJLI,O,O,X,O,X,X
SITLJZO,O,X,O,O,X,X
SITLJOZ,O,X,X,O,O,O
SITLZJO,O,X,O,X,X,X
SITLZOJ,O,X,O,X,X,O
SITLOJZ,O,X,X,O,O,O
SITLOZJ,O,X,X,X,O,O
SITJLZO,O,X,O,O,X,X
SITJLOZ,O,X,X,O,O,O
SITJZLO,O,X,O,O,X,X
SITJZOL,O,X,O,X,O,X
SITJOLZ,O,X,X,O,O,O
SITJOZL,O,X,X,O,O,X
SITZLJO,O,X,O,X,X,X
SITZLOJ,O,X,O,X,X,O
SITZJLO,O,X,O,O,X,X
SITZJOL,O,X,O,X,O,X
SITZOLJ,X,X,O,X,O,O
SITZOJL,O,X,O,O,O,X
SITOLJZ,O,X,X,O,O,O
SITOLZJ,O,X,X,X,O,O
SITOJLZ,O,X,X,O,O,O
SITOJZL,O,X,X,O,O,X
SITOZLJ,X,X,X,X,O,O
SITOZJL,O,X,X,O,O,X
SILTJZO,O,X,O,X,X,X
SILTJOZ,O,X,X,X,X,O
SILTZJO,O,X,O,X,X,X
SILTZOJ,O,X,O,X,X,O
SILTOJZ,O,X,X,X,X,O
SILTOZJ,O,X,X,X,X,O
SILJTZO,O,X,O,X,X,X
SILJTOZ,O,X,X,X,X,O
SILJZTO,O,X,O,X,X,X
SILJZOT,O,X,O,X,X,X
SILJOTZ,O,X,X,X,X,O
SILJOZT,O,X,O,X,X,X
SILZTJO,O,X,O,X,X,X
SILZTOJ,O,X,O,X,X,O
SILZJTO,O,X,O,X,X,X
SILZJOT,O,X,O,X,X,X
SILZOTJ,X,X,O,X,X,O
SILZOJT,O,X,O,X,X,X
SILOTJZ,O,X,X,X,X,O
SILOTZJ,O,X,X,X,X,O
SILOJTZ,O,X,X,X,X,O
SILOJZT,O,X,O,X,X,X
SILOZTJ,X,X,O,X,X,O
SILOZJT,O,X,O,X,X,X
SIJTLZO,O,X,O,O,X,X
SIJTLOZ,O,X,X,O,O,O
SIJTZLO,O,X,O,O,X,X
SIJTZOL,O,X,O,X,O,X
SIJTOLZ,O,X,X,O,O,O
SIJTOZL,O,X,X,O,O,X
SIJLTZO,O,X,O,O,X,X
SIJLTOZ,O,X,X,O,X,O
SIJLZTO,O,X,O,X,X,X
SIJLZOT,O,X,O,X,X,X
SIJLOTZ,O,X,X,X,X,O
SIJLOZT,O,X,O,X,X,X
SIJZTLO,O,X,O,X,X,X
SIJZTOL,O,X,O,X,X,X
SIJZLTO,O,X,O,X,X,X
SIJZLOT,O,X,O,X,X,X
SIJZOTL,O,X,O,X,X,X
SIJZOLT,O,X,O,X,X,X
SIJOTLZ,O,X,X,O,O,O
SIJOTZL,O,X,X,O,O,X
SIJOLTZ,O,X,X,O,O,O
SIJOLZT,O,X,O,X,X,X
SIJOZTL,O,X,O,X,X,X
SIJOZLT,O,X,O,X,X,X
SIZTLJO,O,X,O,X,X,X
SIZTLOJ,O,X,O,X,X,O
SIZTJLO,O,X,O,X,X,X
SIZTJOL,O,X,O,X,X,X
SIZTOLJ,X,X,O,X,X,O
SIZTOJL,O,X,O,X,X,X
SIZLTJO,O,X,O,X,X,X
SIZLTOJ,O,X,O,X,X,O
SIZLJTO,O,X,O,X,X,X
SIZLJOT,O,X,O,X,X,X
SIZLOTJ,X,X,O,X,X,O
SIZLOJT,O,X,O,X,X,X
SIZJTLO,O,X,O,X,X,X
SIZJTOL,O,X,O,X,X,X
SIZJLTO,O,X,O,X,X,X
SIZJLOT,O,X,O,X,X,X
SIZJOTL,O,X,O,X,X,X
SIZJOLT,O,X,O,X,X,X
SIZOTLJ,X,X,O,X,X,O
SIZOTJL,X,X,O,X,X,X
SIZOLTJ,X,X,O,X,X,O
SIZOLJT,X,X,O,X,X,X
SIZOJTL,O,X,O,X,X,X
SIZOJLT,O,X,O,X,X,X
SIOTLJZ,O,X,X,O,O,O
SIOTLZJ,O,X,X,X,O,O
SIOTJLZ,O,X,X,O,O,O
SIOTJZL,O,X,X,O,O,X
SIOTZLJ,X,X,X,X,O,O
SIOTZJL,O,X,X,O,O,X
SIOLTJZ,O,X,X,X,O,O
SIOLTZJ,O,X,X,X,O,O
SIOLJTZ,O,X,X,X,O,O
SIOLJZT,O,X,O,X,X,X
SIOLZTJ,X,X,O,X,X,O
SIOLZJT,O,X,O,X,X,X
SIOJTLZ,O,X,X,O,O,O
SIOJTZL,O,X,X,O,O,X
SIOJLTZ,O,X,X,O,O,O
SIOJLZT,O,X,O,X,X,X
SIOJZTL,O,X,O,X,X,X
SIOJZLT,O,X,O,X,X,X
SIOZTLJ,X,X,O,X,X,O
SIOZTJL,X,X,O,X,X,X
SIOZLTJ,X,X,O,X,X,O
SIOZLJT,X,X,O,X,X,X
SIOZJTL,O,X,O,X,X,X
SIOZJLT,O,X,O,X,X,X
SLTIJZO,O,X,O,X,X,X
SLTIJOZ,O,X,X,X,X,X
SLTIZJO,O,X,O,X,X,X
SLTIZOJ,O,X,O,X,X,X
SLTIOJZ,O,X,X,X,X,X
SLTIOZJ,O,X,X,X,X,X
SLTJIZO,O,X,O,X,X,X
SLTJIOZ,O,X,X,X,X,X
SLTJZIO,O,X,O,X,X,X
SLTJZOI,O,X,O,X,X,X
SLTJOIZ,O,X,X,X,X,X
SLTJOZI,O,X,X,X,X,X
SLTZIJO,O,X,O,X,X,X
SLTZIOJ,O,X,O,X,X,X
SLTZJIO,O,X,O,X,X,X
SLTZJOI,O,X,O,X,X,X
SLTZOIJ,O,X,O,X,X,X
SLTZOJI,O,X,O,X,X,X
SLTOIJZ,O,X,X,X,X,X
SLTOIZJ,O,X,X,X,X,X
SLTOJIZ,O,X,X,X,X,X
SLTOJZI,O,X,X,X,X,X
SLTOZIJ,O,X,X,X,X,X
SLTOZJI,O,X,X,X,X,X
SLITJZO,O,X,O,X,X,X
SLITJOZ,O,X,X,X,X,X
SLITZJO,O,X,O,X,X,X
SLITZOJ,O,X,O,X,X,X
SLITOJZ,O,X,X,X,X,X
SLITOZJ,O,X,X,X,X,X
SLIJTZO,O,X,O,X,X,X
SLIJTOZ,O,X,X,X,X,X
SLIJZTO,O,X,O,X,X,X
SLIJZOT,O,X,O,X,X,X
SLIJOTZ,O,X,X,X,X,X
SLIJOZT,O,X,O,X,X,X
SLIZTJO,O,X,O,X,X,X
SLIZTOJ,O,X,O,X,X,X
SLIZJTO,O,X,O,X,X,X
SLIZJOT,O,X,O,X,X,X
SLIZOTJ,X,X,O,X,X,X
SLIZOJT,O,X,O,X,X,X
SLIOTJZ,O,X,X,X,X,X
SLIOTZJ,O,X,X,X,X,X
SLIOJTZ,O,X,X,X,X,X
SLIOJZT,O,X,O,X,X,X
SLIOZTJ,X,X,O,X,X,X
SLIOZJT,O,X,O,X,X,X
SLJTIZO,O,X,O,X,X,X
SLJTIOZ,O,X,X,X,X,X
SLJTZIO,O,X,O,X,X,X
SLJTZOI,O,X,O,X,X,X
SLJTOIZ,O,X,X,X,X,X
SLJTOZI,O,X,X,X,X,X
SLJITZO,O,X,O,X,X,X
SLJITOZ,O,X,X,X,X,X
SLJIZTO,O,X,O,X,X,X
SLJIZOT,O,X,O,X,X,X
SLJIOTZ,O,X,X,X,X,X
SLJIOZT,O,X,O,X,X,X
SLJZTIO,O,X,O,X,X,X
SLJZTOI,O,X,O,X,X,X
SLJZITO,O,X,O,X,X,X
SLJZIOT,O,X,O,X,X,X
SLJZOTI,O,X,O,X,X,X
SLJZOIT,O,X,O,X,X,X
SLJOTIZ,O,X,X,X,X,X
SLJOTZI,O,X,X,X,X,X
SLJOITZ,O,X,X,X,X,X
SLJOIZT,O,X,O,X,X,X
SLJOZTI,O,X,O,X,X,X
SLJOZIT,O,X,O,X,X,X
SLZTIJO,O,X,O,X,X,X
SLZTIOJ,O,X,O,X,X,X
SLZTJIO,O,X,O,X,X,X
SLZTJOI,O,X,O,X,X,X
SLZTOIJ,O,X,O,X,X,X
SLZTOJI,O,X,O,X,X,X
SLZITJO,O,X,O,X,X,X
SLZITOJ,O,X,O,X,X,X
SLZIJTO,O,X,O,X,X,X
SLZIJOT,O,X,O,X,X,X
SLZIOTJ,X,X,O,X,X,X
SLZIOJT,O,X,O,X,X,X
SLZJTIO,O,X,O,X,X,X
SLZJTOI,O,X,O,X,X,X
SLZJITO,O,X,O,X,X,X
SLZJIOT,O,X,O,X,X,X
SLZJOTI,O,X,O,X,X,X
SLZJOIT,O,X,O,X,X,X
SLZOTIJ,O,X,O,X,X,X
SLZOTJI,O,X,O,X,X,X
SLZOITJ,X,X,O,X,X,X
SLZOIJT,O,X,O,X,X,X
SLZOJTI,O,X,O,X,X,X
SLZOJIT,O,X,O,X,X,X
SLOTIJZ,O,X,X,X,X,X
SLOTIZJ,O,X,X,X,X,X
SLOTJIZ,O,X,X,X,X,X
SLOTJZI,O,X,X,X,X,X
SLOTZIJ,O,X,X,X,X,X
SLOTZJI,O,X,X,X,X,X
SLOITJZ,O,X,X,X,X,X
SLOITZJ,O,X,X,X,X,X
SLOIJTZ,O,X,X,X,X,X
SLOIJZT,O,X,O,X,X,X
SLOIZTJ,X,X,O,X,X,X
SLOIZJT,O,X,O,X,X,X
SLOJTIZ,O,X,X,X,X,X
SLOJTZI,O,X,X,X,X,X
SLOJITZ,O,X,X,X,X,X
SLOJIZT,O,X,O,X,X,X
SLOJZTI,O,X,O,X,X,X
SLOJZIT,O,X,O,X,X,X
SLOZTIJ,O,X,O,X,X,X
SLOZTJI,O,X,O,X,X,X
SLOZITJ,X,X,O,X,X,X
SLOZIJT,O,X,O,X,X,X
SLOZJTI,O,X,O,X,X,X
SLOZJIT,O,X,O,X,X,X
SJTILZO,O,O,O,O,X,X
SJTILOZ,O,O,X,O,X,X
SJTIZLO,O,O,O,O,X,X
SJTIZOL,O,O,O,X,X,X
SJTIOLZ,O,O,X,O,X,X
SJTIOZL,O,O,X,O,X,X
SJTLIZO,O,O,O,O,X,X
SJTLIOZ,O,O,X,O,X,X
SJTLZIO,O,O,O,O,X,X
SJTLZOI,O,O,O,X,X,X
SJTLOIZ,O,O,X,O,X,X
SJTLOZI,O,O,X,X,X,X
SJTZILO,O,O,O,O,X,X
SJTZIOL,O,O,O,X,X,X
SJTZLIO,O,O,O,O,X,X
SJTZLOI,O,O,O,X,X,X
SJTZOIL,O,O,O,X,X,X
SJTZOLI,O,O,O,X,X,X
SJTOILZ,O,O,X,O,X,X
SJTOIZL,O,O,X,O,X,X
SJTOLIZ,O,O,X,O,X,X
SJTOLZI,O,O,X,O,X,X
SJTOZIL,O,O,X,O,X,X
SJTOZLI,O,O,X,O,X,X
SJITLZO,O,X,O,O,X,X
SJITLOZ,O,X,X,O,X,X
SJITZLO,O,X,O,O,X,X
SJITZOL,O,X,O,X,X,X
SJITOLZ,O,X,X,O,X,X
SJITOZL,O,X,X,O,X,X
SJILTZO,O,X,O,O,X,X
SJILTOZ,O,X,X,O,X,X
SJILZTO,O,X,O,X,X,X
SJILZOT,O,X,O,X,X,X
SJILOTZ,O,X,X,X,X,X
SJILOZT,O,X,O,X,X,X
SJIZTLO,O,X,O,X,X,X
SJIZTOL,O,X,O,X,X,X
SJIZLTO,O,X,O,X,X,X
SJIZLOT,O,X,O,X,X,X
SJIZOTL,O,X,O,X,X,X
SJIZOLT,O,X,O,X,X,X
SJIOTLZ,O,X,X,O,X,X
SJIOTZL,O,X,X,O,X,X
SJIOLTZ,O,X,X,O,X,X
SJIOLZT,O,X,O,X,X,X
SJIOZTL,O,X,O,X,X,X
SJIOZLT,O,X,O,X,X,X
SJLTIZO,O,X,O,O,X,X
SJLTIOZ,O,X,X,O,X,X
SJLTZIO,O,X,O,O,X,X
SJLTZOI,O,X,O,X,X,X
SJLTOIZ,O,X,X,O,X,X
SJLTOZI,O,X,X,X,X,X
SJLITZO,O,X,O,O,X,X
SJLITOZ,O,X,X,O,X,X
SJLIZTO,O,X,O,X,X,X
SJLIZOT,O,X,O,X,X,X
SJLIOTZ,O,X,X,X,X,X
SJLIOZT,O,X,O,X,X,X
SJLZTIO,O,X,O,X,X,X
SJLZTOI,O,X,O,X,X,X
SJLZITO,O,X,O,X,X,X
SJLZIOT,O,X,O,X,X,X
SJLZOTI,O,X,O,X,X,X
SJLZOIT,O,X,O,X,X,X
SJLOTIZ,O,X,X,X,X,X
SJLOTZI,O,X,X,X,X,X
SJLOITZ,O,X,X,X,X,X
SJLOIZT,O,X,O,X,X,X
SJLOZTI,O,X,O,X,X,X
SJLOZIT,O,X,O,X,X,X
SJZTILO,O,O,O,X,X,X
SJZTIOL,O,O,O,X,X,X
SJZTLIO,O,O,O,X,X,X
SJZTLOI,O,O,O,X,X,X
SJZTOIL,O,O,O,X,X,X
SJZTOLI,O,O,O,X,X,X
SJZITLO,O,X,O,X,X,X
SJZITOL,O,X,O,X,X,X
SJZILTO,O,X,O,X,X,X
SJZILOT,O,X,O,X,X,X
SJZIOTL,O,X,O,X,X,X
SJZIOLT,O,X,O,X,X,X
SJZLTIO,O,O,O,X,X,X
SJZLTOI,O,O,O,X,X,X
SJZLITO,O,O,O,X,X,X
SJZLIOT,O,X,O,X,X,X
SJZLOTI,O,X,O,X,X,X
SJZLOIT,O,X,O,X,X,X
SJZOTIL,O,O,O,X,X,X
SJZOTLI,O,O,O,X,X,X
SJZOITL,O,X,O,X,X,X
SJZOILT,O,X,O,X,X,X
SJZOLTI,O,O,O,X,X,X
SJZOLIT,O,O,O,X,X,X
SJOTILZ,O,O,X,O,X,X
SJOTIZL,O,O,X,O,X,X
SJOTLIZ,O,O,X,O,X,X
SJOTLZI,O,O,X,O,X,X
SJOTZIL,O,O,X,O,X,X
SJOTZLI,O,O,X,O,X,X
SJOITLZ,O,X,X,O,X,X
SJOITZL,O,X,X,O,X,X
SJOILTZ,O,X,X,O,X,X
SJOILZT,O,X,O,X,X,X
SJOIZTL,O,X,O,X,X,X
SJOIZLT,O,X,O,X,X,X
SJOLTIZ,O,O,X,O,X,X
SJOLTZI,O,O,X,O,X,X
SJOLITZ,O,O,X,O,X,X
SJOLIZT,O,X,O,X,X,X
SJOLZTI,O,X,O,O,X,X
SJOLZIT,O,X,O,X,X,X
SJOZTIL,O,X,O,O,X,X
SJOZTLI,O,X,O,O,X,X
SJOZITL,O,X,O,X,X,X
SJOZILT,O,X,O,X,X,X
SJOZLTI,O,X,O,O,X,X
SJOZLIT,O,X,O,X,X,X
SZTILJO,O,O,O,X,X,X
SZTILOJ,O,O,O,X,X,X
SZTIJLO,O,O,O,X,X,X
SZTIJOL,O,O,O,X,X,X
SZTIOLJ,X,O,O,X,X,X
SZTIOJL,O,O,O,X,X,X
SZTLIJO,O,O,O,X,X,X
SZTLIOJ,O,O,O,X,X,X
SZTLJIO,O,O,O,X,X,X
SZTLJOI,O,O,O,X,X,X
SZTLOIJ,O,O,O,X,X,X
SZTLOJI,O,O,O,X,X,X
SZTJILO,O,O,O,X,X,X
SZTJIOL,O,O,O,X,X,X
SZTJLIO,O,O,O,X,X,X
SZTJLOI,O,O,O,X,X,X
SZTJOIL,O,O,O,X,X,X
SZTJOLI,O,O,O,X,X,X
SZTOILJ,X,O,O,X,X,X
SZTOIJL,O,O,O,X,X,X
SZTOLIJ,O,O,O,X,X,X
SZTOLJI,O,O,O,X,X,X
SZTOJIL,O,O,O,X,X,X
SZTOJLI,O,O,O,X,X,X
SZITLJO,O,X,O,X,X,X
SZITLOJ,O,X,O,X,X,X
SZITJLO,O,X,O,X,X,X
SZITJOL,O,X,O,X,X,X
SZITOLJ,X,X,O,X,X,X
SZITOJL,O,X,O,X,X,X
SZILTJO,O,X,O,X,X,X
SZILTOJ,O,X,O,X,X,X
SZILJTO,O,X,O,X,X,X
SZILJOT,O,X,O,X,X,X
SZILOTJ,X,X,O,X,X,X
SZILOJT,O,X,O,X,X,X
SZIJTLO,O,X,O,X,X,X
