sequence,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeRAJvhFFiB6oBXlB0?mBznBWvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je3AJvhF1mBxiBSsBT?oBUqBupB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je1FJvhFxhBXjBzmBS?tBUqBupB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeRAJvhF3hBziB+oBV?sBUqBCqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JefIJvhF6oBRlBUnBl?mBzpBGqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeWFJvhF1mBxiBSsBT?oB8pB3qB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeXCJvhF6oBRlBznBF?lB0mBWvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JelBJvhFUjBRlBXnBS?tBzpBGqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JefFJvhF0gBSnBTjBl?mBWvBxxB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeXCJvhFRlBCoBFlB0?mBToBWvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je0BJvhFRlBCoBFlBX?nBToBWvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JexBJvhF8nB+oBfqBz?mBlqBCqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeXCJvhFTjBRlBWtBC?lB0mBVvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je5EJvhFVnBilBXoB0?mBGoBTqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeWFJvhFFjBxmBStB8?pBzmB3qB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeuEJvhF3gBUjBxmBz?mBStBVvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je0BJvhFTjBRlBWtBC?lBXnBVvB
TJSILZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TJSILOZ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TJSIZLO,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TJSIZOL,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
TJSIOLZ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TJSIOZL,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
TJSLIZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJSLIOZ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJSLZIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLZOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TJSLOZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSZILO,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TJSZIOL,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,X
TJSZLIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSZLOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSZOIL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
TJSZOLI,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TJSOILZ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJSOIZL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TJSOLIZ,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TJSOLZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSOZIL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
TJSOZLI,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TJZILSO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TJZILOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TJZISLO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TJZISOL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TJZIOLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TJZIOSL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TJZLISO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZLIOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZLSIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZLSOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZLOIS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZLOSI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZSILO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TJZSIOL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TJZSLIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZSLOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZSOIL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
TJZSOLI,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TJZOILS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TJZOISL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O
TJZOLIS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZOLSI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZOSIL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
TJZOSLI,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TJOILSZ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TJOILZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TJOISLZ,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TJOISZL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TJOIZLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TJOIZSL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TJOLISZ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TJOLIZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TJOLSIZ,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
TJOLSZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJOLZIS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJOLZSI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJOSILZ,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TJOSIZL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TJOSLIZ,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
TJOSLZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJOSZIL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
TJOSZLI,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TJOZILS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TJOZISL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O
TJOZLIS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJOZLSI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJOZSIL,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
TJOZSLI,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TSILJZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TSILJOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TSILZJO,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
TSILZOJ,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TSILOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TSILOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TSIJLZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TSIJLOZ,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TSIJZLO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TSIJZOL,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O
TSIJOLZ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TSIJOZL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TSIZLJO,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X
TSIZLOJ,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TSIZJLO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TSIZJOL,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O
TSIZOLJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TSIZOJL,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TSIOLJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TSIOLZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TSIOJLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSIOJZL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TSIOZLJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TSIOZJL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TSLIJZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TSLIJOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TSLIZJO,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
TSLIZOJ,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TSLIOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TSLIOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TSLJIZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TSLJIOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TSLJZIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSLJZOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSLJOIZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TSLJOZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TSLZIJO,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TSLZIOJ,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TSLZJIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSLZJOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSLZOIJ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TSLZOJI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSLOIJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TSLOIZJ,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TSLOJIZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TSLOJZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TSLOZIJ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TSLOZJI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSJILZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TSJILOZ,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TSJIZLO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TSJIZOL,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O
TSJIOLZ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TSJIOZL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TSJLIZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TSJLIOZ,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TSJLZIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSJLZOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSJLOIZ,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TSJLOZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TSJZILO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TSJZIOL,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
TSJZLIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSJZLOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSJZOIL,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X
TSJZOLI,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TSJOILZ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TSJOIZL,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O
TSJOLIZ,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TSJOLZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TSJOZIL,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X
TSJOZLI,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TSZILJO,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X
TSZILOJ,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TSZIJLO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TSZIJOL,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TSZIOLJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TSZIOJL,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TSZLIJO,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TSZLIOJ,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TSZLJIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSZLJOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSZLOIJ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TSZLOJI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSZJILO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TSZJIOL,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TSZJLIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSZJLOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSZJOIL,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TSZJOLI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSZOILJ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TSZOIJL,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TSZOLIJ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TSZOLJI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSZOJIL,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TSZOJLI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSOILJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TSOILZJ,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TSOIJLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSOIJZL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TSOIZLJ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TSOIZJL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TSOLIJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TSOLIZJ,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TSOLJIZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TSOLJZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TSOLZIJ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TSOLZJI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSOJILZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSOJIZL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TSOJLIZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TSOJLZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TSOJZIL,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TSOJZLI,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TSOZILJ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TSOZIJL,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TSOZLIJ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TSOZLJI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSOZJIL,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TSOZJLI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZILJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TZILJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TZILSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TZILSOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZILOJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZILOSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZIJLSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TZIJLOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TZIJSLO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TZIJSOL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TZIJOLS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TZIJOSL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TZISLJO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TZISLOJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TZISJLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TZISJOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TZISOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZISOJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TZIOLJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZIOLSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZIOJLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TZIOJSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TZIOSLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZIOSJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TZLIJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLIJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLISJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLISOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLIOJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLIOSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLJISO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLJIOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLJSIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLJSOI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLJOIS,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TZLJOSI,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TZLSIJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLSIOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLSJIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLSJOI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLSOIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLSOJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLOIJS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TZLOISJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLOJIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TZLOJSI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TZLOSIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLOSJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZJILSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TZJILOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TZJISLO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TZJISOL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TZJIOLS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TZJIOSL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TZJLISO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZJLIOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZJLSIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZJLSOI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZJLOIS,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TZJLOSI,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TZJSILO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TZJSIOL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TZJSLIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZJSLOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZJSOIL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TZJSOLI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZJOILS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TZJOISL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TZJOLIS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TZJOLSI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TZJOSIL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TZJOSLI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZSILJO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TZSILOJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TZSIJLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TZSIJOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TZSIOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZSIOJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TZSLIJO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TZSLIOJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TZSLJIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZSLJOI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZSLOIJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TZSLOJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZSJILO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TZSJIOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TZSJLIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZSJLOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZSJOIL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZSJOLI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZSOILJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TZSOIJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZSOLIJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TZSOLJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZSOJIL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZSOJLI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOILJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOILSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOIJLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOIJSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOISLJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TZOISJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOLIJS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TZOLISJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOLJIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TZOLJSI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TZOLSIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOLSJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOJILS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOJISL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOJLIS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TZOJLSI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TZOJSIL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOJSLI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOSILJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TZOSIJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOSLIJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TZOSLJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOSJIL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
