sequence,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFzfBGhBiiBU?mBFqBXsB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFzfBfmBiiBW?sBFqB0rB,v115@GhA8GeC8HeB8AeA8AeB8BeC8Jex/IvhFylBzhBOpB3?nBFqB0rB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFFgBiiBfqBz?lBWsB0rB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFXhBzkBUnBG?rBFqBisB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JexAJvhFiiBlkBcqBT?mBOpBXsB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFylBzhBWqB3?nB0rBFqB
LSITJOZ,O,O,X,O,X,X,X
LSITZJO,O,X,X,X,X,X,X
LSITZOJ,O,X,X,X,X,X,X
LSITOJZ,O,O,X,O,X,X,X
LSITOZJ,O,X,X,X,X,X,X
LSIJTZO,O,O,X,X,X,X,X
LSIJTOZ,O,O,X,O,X,X,X
LSIJZTO,O,O,X,X,X,X,X
LSIJZOT,O,X,X,O,X,X,X
LSIJOTZ,X,O,X,O,X,X,X
LSIJOZT,X,X,X,O,X,X,X
LSIZTJO,O,X,X,X,X,X,X
LSIZTOJ,O,X,X,X,X,O,X
LSIZJTO,O,X,X,X,X,X,X
LSIZJOT,O,X,X,O,X,X,X
LSIZOTJ,O,X,X,X,X,O,X
LSIZOJT,O,X,X,X,X,O,X
LSIOTJZ,O,X,X,O,X,X,X
LSIOTZJ,O,X,X,X,X,O,X
LSIOJTZ,X,X,X,O,X,X,X
LSIOJZT,X,X,X,O,X,O,X
LSIOZTJ,O,X,X,X,X,O,X
LSIOZJT,O,X,X,X,X,O,X
LSJTIZO,O,O,X,X,X,X,X
LSJTIOZ,O,O,X,O,X,X,X
LSJTZIO,O,O,X,X,X,X,X
LSJTZOI,O,O,X,X,X,X,X
LSJTOIZ,O,O,X,O,X,X,X
LSJTOZI,O,O,X,O,X,X,X
LSJITZO,O,O,X,X,X,X,X
LSJITOZ,O,O,X,O,X,X,X
LSJIZTO,O,O,X,X,X,X,X
LSJIZOT,O,X,X,O,X,X,X
LSJIOTZ,X,O,X,O,X,X,X
LSJIOZT,X,X,X,O,X,X,X
LSJZTIO,O,O,X,X,X,X,X
LSJZTOI,O,O,X,X,X,O,X
LSJZITO,O,O,X,X,X,X,X
LSJZIOT,O,X,X,O,X,X,X
LSJZOTI,O,X,X,O,X,O,X
LSJZOIT,O,X,X,O,X,O,X
LSJOTIZ,X,O,X,O,X,X,X
LSJOTZI,X,O,X,O,X,X,X
LSJOITZ,X,O,X,O,X,X,X
LSJOIZT,X,X,X,O,X,O,X
LSJOZTI,X,X,X,O,X,O,X
LSJOZIT,X,X,X,O,X,O,X
LSZTIJO,O,X,X,X,X,X,X
LSZTIOJ,O,X,X,X,X,O,X
LSZTJIO,O,X,X,X,X,X,X
LSZTJOI,O,X,X,X,X,O,X
LSZTOIJ,O,X,X,X,X,O,X
LSZTOJI,O,X,X,X,X,O,X
LSZITJO,O,X,X,X,X,X,X
LSZITOJ,O,X,X,X,X,O,X
LSZIJTO,O,X,X,X,X,X,X
LSZIJOT,O,X,X,O,X,X,X
LSZIOTJ,O,X,X,X,X,O,X
LSZIOJT,O,X,X,X,X,O,X
LSZJTIO,O,X,X,X,X,X,X
LSZJTOI,O,X,X,X,X,O,X
LSZJITO,O,X,X,X,X,X,X
LSZJIOT,O,X,X,O,X,X,X
LSZJOTI,O,X,X,O,X,O,X
LSZJOIT,O,X,X,O,X,O,X
LSZOTIJ,O,X,X,X,X,O,X
LSZOTJI,O,X,X,X,X,O,X
LSZOITJ,O,X,X,X,X,O,X
LSZOIJT,O,X,X,X,X,O,X
LSZOJTI,O,X,X,X,X,O,X
LSZOJIT,O,X,X,X,X,O,X
LSOTIJZ,O,X,X,O,X,X,X
LSOTIZJ,O,X,X,X,X,O,X
LSOTJIZ,O,X,X,O,X,X,X
LSOTJZI,O,X,X,O,X,X,X
LSOTZIJ,O,X,X,X,X,O,X
LSOTZJI,O,X,X,X,X,O,X
LSOITJZ,O,X,X,O,X,X,X
LSOITZJ,O,X,X,X,X,O,X
LSOIJTZ,X,X,X,O,X,X,X
LSOIJZT,X,X,X,O,X,O,X
LSOIZTJ,O,X,X,X,X,O,X
LSOIZJT,O,X,X,X,X,O,X
LSOJTIZ,X,X,X,O,X,X,X
LSOJTZI,X,X,X,O,X,X,X
LSOJITZ,X,X,X,O,X,X,X
LSOJIZT,X,X,X,O,X,O,X
LSOJZTI,X,X,X,O,X,O,X
LSOJZIT,X,X,X,O,X,O,X
LSOZTIJ,O,X,X,X,X,O,X
LSOZTJI,O,X,X,X,X,O,X
LSOZITJ,O,X,X,X,X,O,X
LSOZIJT,O,X,X,X,X,O,X
LSOZJTI,O,X,X,X,X,O,X
LSOZJIT,O,X,X,X,X,O,X
LZTIJSO,O,X,O,X,X,X,X
LZTIJOS,O,X,O,X,X,X,O
LZTISJO,O,X,X,X,X,X,X
LZTISOJ,O,X,X,X,X,O,X
LZTIOJS,O,X,O,X,X,O,O
LZTIOSJ,O,X,X,X,X,O,X
LZTJISO,O,X,O,X,X,X,X
LZTJIOS,O,X,O,X,X,X,O
LZTJSIO,O,X,O,X,X,X,X
LZTJSOI,O,X,O,X,X,O,X
LZTJOIS,O,X,O,X,X,O,O
LZTJOSI,O,X,O,X,X,O,X
LZTSIJO,O,X,X,X,X,X,X
LZTSIOJ,O,X,X,X,X,O,X
LZTSJIO,O,X,O,X,X,X,X
LZTSJOI,O,X,O,X,X,O,X
LZTSOIJ,O,X,X,X,X,O,X
LZTSOJI,O,X,O,X,X,O,X
LZTOIJS,O,X,O,X,X,O,O
LZTOISJ,O,X,X,X,X,O,X
LZTOJIS,O,X,O,X,X,O,O
LZTOJSI,O,X,O,X,X,O,X
LZTOSIJ,O,X,X,X,X,O,X
LZTOSJI,O,X,O,X,X,O,X
LZITJSO,O,X,O,X,X,X,X
LZITJOS,O,X,O,X,X,X,O
LZITSJO,O,X,X,X,X,X,X
LZITSOJ,O,X,X,X,X,O,X
LZITOJS,O,X,O,X,X,O,O
LZITOSJ,O,X,X,X,X,O,X
LZIJTSO,O,O,X,X,X,X,X
LZIJTOS,O,O,O,X,X,X,O
LZIJSTO,O,O,X,X,X,X,X
LZIJSOT,X,X,O,O,O,X,O
LZIJOTS,O,X,O,X,X,X,O
LZIJOST,X,X,O,O,O,X,O
LZISTJO,O,X,X,X,X,X,X
LZISTOJ,O,X,X,X,X,O,X
LZISJTO,O,X,X,X,X,X,X
LZISJOT,O,X,X,O,O,X,O
LZISOTJ,O,X,X,X,X,O,X
LZISOJT,O,X,X,X,O,O,O
LZIOTJS,O,X,O,X,X,O,O
LZIOTSJ,O,X,X,X,X,O,X
LZIOJTS,O,X,O,X,X,O,O
LZIOJST,X,X,O,X,O,X,O
LZIOSTJ,X,X,X,X,X,O,X
LZIOSJT,X,X,X,X,O,X,O
LZJTISO,O,O,O,X,X,X,X
LZJTIOS,O,O,O,X,X,X,O
LZJTSIO,O,O,O,X,X,X,X
LZJTSOI,O,O,O,X,X,O,X
LZJTOIS,O,O,O,X,X,O,O
LZJTOSI,O,O,O,X,X,O,X
LZJITSO,O,O,X,X,X,X,X
LZJITOS,O,O,O,X,X,X,O
LZJISTO,O,O,X,X,X,X,X
LZJISOT,X,X,O,O,O,X,O
LZJIOTS,O,X,O,X,X,X,O
LZJIOST,X,X,O,O,O,X,O
LZJSTIO,O,O,X,X,X,X,X
LZJSTOI,O,O,X,X,X,O,X
LZJSITO,O,O,X,X,X,X,X
LZJSIOT,X,X,O,O,O,X,O
LZJSOTI,X,X,O,O,X,O,X
LZJSOIT,X,X,O,O,O,O,O
LZJOTIS,O,X,O,X,X,O,O
LZJOTSI,O,X,O,X,X,O,X
LZJOITS,O,X,O,X,X,O,O
LZJOIST,X,X,O,O,O,X,O
LZJOSTI,X,X,O,O,X,X,X
LZJOSIT,X,X,O,O,O,X,O
LZSTIJO,O,X,X,X,X,X,X
LZSTIOJ,O,X,X,X,X,O,X
LZSTJIO,O,X,O,X,X,X,X
LZSTJOI,O,X,O,X,X,O,X
LZSTOIJ,O,X,X,X,X,O,X
LZSTOJI,O,X,O,X,X,O,X
LZSITJO,O,X,X,X,X,X,X
LZSITOJ,O,X,X,X,X,O,X
LZSIJTO,O,X,X,X,X,X,X
LZSIJOT,O,X,X,O,O,X,O
LZSIOTJ,O,X,X,X,X,O,X
LZSIOJT,O,X,X,X,O,O,O
LZSJTIO,O,X,X,X,X,X,X
LZSJTOI,O,X,X,X,X,O,X
LZSJITO,O,X,X,X,X,X,X
LZSJIOT,O,X,O,O,O,X,O
LZSJOTI,O,X,O,O,X,O,X
LZSJOIT,O,X,O,O,O,O,O
LZSOTIJ,O,X,X,X,X,O,X
LZSOTJI,O,X,O,X,X,O,X
LZSOITJ,O,X,X,X,X,O,X
LZSOIJT,O,X,X,X,O,O,O
LZSOJTI,O,X,O,X,X,O,X
LZSOJIT,O,X,O,X,X,O,O
LZOTIJS,O,X,O,X,X,O,O
LZOTISJ,O,X,X,X,X,O,X
LZOTJIS,O,X,O,X,X,O,O
LZOTJSI,O,X,O,X,X,O,X
LZOTSIJ,O,X,X,X,X,O,X
LZOTSJI,O,X,O,X,X,O,X
LZOITJS,O,X,O,X,X,O,O
LZOITSJ,O,X,X,X,X,O,X
LZOIJTS,O,X,O,X,X,O,O
LZOIJST,X,X,O,X,O,X,O
LZOISTJ,X,X,X,X,X,O,X
LZOISJT,X,X,X,X,O,X,O
LZOJTIS,O,X,O,X,X,O,O
LZOJTSI,O,X,O,X,X,O,X
LZOJITS,O,X,O,X,X,O,O
LZOJIST,X,X,O,X,O,X,O
LZOJSTI,X,X,O,X,X,X,X
LZOJSIT,X,X,O,X,O,X,O
LZOSTIJ,X,X,X,X,X,O,X
LZOSTJI,X,X,O,X,X,O,X
LZOSITJ,X,X,X,X,X,O,X
LZOSIJT,X,X,X,X,O,O,O
LZOSJTI,X,X,O,X,X,O,X
LZOSJIT,X,X,O,X,X,O,O
LOTIJSZ,O,X,X,X,X,X,X
LOTIJZS,O,X,X,X,X,X,X
LOTISJZ,O,X,X,X,X,X,X
LOTISZJ,O,X,X,X,X,X,X
LOTIZJS,O,X,X,X,X,O,X
LOTIZSJ,O,X,X,X,X,O,X
LOTJISZ,O,X,X,X,X,X,X
LOTJIZS,O,X,X,X,X,X,X
LOTJSIZ,O,X,X,X,X,X,X
LOTJSZI,O,X,X,X,X,X,X
LOTJZIS,O,X,X,X,X,X,X
LOTJZSI,O,X,X,X,X,X,X
LOTSIJZ,O,X,X,X,X,X,X
LOTSIZJ,O,X,X,X,X,X,X
LOTSJIZ,O,X,X,X,X,X,X
LOTSJZI,O,X,X,X,X,X,X
LOTSZIJ,O,X,X,X,X,X,X
LOTSZJI,O,X,X,X,X,X,X
LOTZIJS,O,X,X,X,X,O,X
LOTZISJ,O,X,X,X,X,O,X
LOTZJIS,O,X,X,X,X,O,X
LOTZJSI,O,X,X,X,X,O,X
LOTZSIJ,O,X,X,X,X,O,X
LOTZSJI,O,X,X,X,X,O,X
LOITJSZ,O,X,X,X,X,X,X
LOITJZS,O,X,X,X,X,X,X
LOITSJZ,O,X,X,X,X,X,X
LOITSZJ,O,X,X,X,X,X,X
LOITZJS,O,X,X,X,X,O,X
LOITZSJ,O,X,X,X,X,O,X
LOIJTSZ,X,O,X,O,X,X,X
LOIJTZS,X,O,X,X,X,X,X
LOIJSTZ,X,O,X,O,X,X,X
LOIJSZT,X,X,X,O,O,X,X
LOIJZTS,X,X,X,X,X,O,X
LOIJZST,X,X,X,O,O,X,X
LOISTJZ,O,X,X,O,X,X,X
LOISTZJ,O,X,X,X,X,X,X
LOISJTZ,X,X,X,O,X,X,X
LOISJZT,X,X,X,O,X,X,X
LOISZTJ,O,X,X,X,X,O,X
LOISZJT,O,X,X,X,X,X,X
LOIZTJS,O,X,X,X,X,O,X
LOIZTSJ,O,X,X,X,X,O,X
LOIZJTS,O,X,X,X,X,O,X
LOIZJST,X,X,X,X,O,X,X
LOIZSTJ,X,X,X,X,X,O,X
LOIZSJT,X,X,X,X,O,X,X
LOJTISZ,X,O,X,O,X,X,X
LOJTIZS,X,O,X,X,X,X,X
LOJTSIZ,X,O,X,O,X,X,X
LOJTSZI,X,O,X,O,X,X,X
LOJTZIS,X,O,X,X,X,X,X
LOJTZSI,X,O,X,X,X,X,X
LOJITSZ,X,O,X,O,X,X,X
LOJITZS,X,O,X,X,X,X,X
LOJISTZ,X,O,X,O,X,X,X
LOJISZT,X,X,X,O,O,X,X
LOJIZTS,X,X,X,X,X,O,X
LOJIZST,X,X,X,O,O,X,X
LOJSTIZ,X,O,X,O,X,X,X
LOJSTZI,X,O,X,O,X,X,X
LOJSITZ,X,O,X,O,X,X,X
LOJSIZT,X,X,X,O,O,X,X
LOJSZTI,X,X,X,O,X,X,X
LOJSZIT,X,X,X,O,O,X,X
LOJZTIS,X,X,X,X,X,O,X
LOJZTSI,X,X,X,X,X,O,X
LOJZITS,X,X,X,X,X,O,X
LOJZIST,X,X,X,O,O,X,X
LOJZSTI,X,X,X,O,X,X,X
LOJZSIT,X,X,X,O,O,X,X
LOSTIJZ,O,X,X,O,X,X,X
LOSTIZJ,O,X,X,X,X,O,X
LOSTJIZ,O,X,X,O,X,X,X
LOSTJZI,O,X,X,O,X,X,X
LOSTZIJ,O,X,X,X,X,O,X
LOSTZJI,O,X,X,X,X,O,X
LOSITJZ,O,X,X,O,X,X,X
LOSITZJ,O,X,X,X,X,O,X
LOSIJTZ,X,X,X,O,X,X,X
LOSIJZT,X,X,X,O,X,O,X
LOSIZTJ,O,X,X,X,X,O,X
LOSIZJT,O,X,X,X,X,O,X
LOSJTIZ,X,X,X,O,X,X,X
LOSJTZI,X,X,X,O,X,X,X
LOSJITZ,X,X,X,O,X,X,X
LOSJIZT,X,X,X,O,X,O,X
LOSJZTI,X,X,X,O,X,O,X
LOSJZIT,X,X,X,O,X,O,X
LOSZTIJ,O,X,X,X,X,O,X
LOSZTJI,O,X,X,X,X,O,X
LOSZITJ,O,X,X,X,X,O,X
LOSZIJT,O,X,X,X,X,O,X
LOSZJTI,O,X,X,X,X,O,X
LOSZJIT,O,X,X,X,X,O,X
LOZTIJS,O,X,X,X,X,O,X
LOZTISJ,O,X,X,X,X,O,X
LOZTJIS,O,X,X,X,X,O,X
LOZTJSI,O,X,X,X,X,O,X
LOZTSIJ,O,X,X,X,X,O,X
LOZTSJI,O,X,X,X,X,O,X
LOZITJS,O,X,X,X,X,O,X
LOZITSJ,O,X,X,X,X,O,X
LOZIJTS,O,X,X,X,X,O,X
LOZIJST,X,X,X,X,O,X,X
LOZISTJ,X,X,X,X,X,O,X
LOZISJT,X,X,X,X,O,X,X
LOZJTIS,O,X,X,X,X,O,X
LOZJTSI,O,X,X,X,X,O,X
LOZJITS,O,X,X,X,X,O,X
LOZJIST,X,X,X,X,O,X,X
LOZJSTI,X,X,X,X,X,X,X
LOZJSIT,X,X,X,X,O,X,X
LOZSTIJ,X,X,X,X,X,O,X
LOZSTJI,X,X,X,X,X,O,X
LOZSITJ,X,X,X,X,X,O,X
LOZSIJT,X,X,X,X,O,O,X
LOZSJTI,X,X,X,X,X,O,X
LOZSJIT,X,X,X,X,X,O,X
JTILSZO,O,O,O,X,X,X,X
JTILSOZ,O,O,X,O,X,X,X
JTILZSO,O,O,O,X,X,X,X
JTILZOS,O,O,O,X,X,X,O
JTILOSZ,O,O,X,O,X,X,X
JTILOZS,O,O,O,X,X,X,X
JTISLZO,O,O,O,X,X,X,X
JTISLOZ,O,O,X,O,X,X,X
JTISZLO,O,O,O,X,X,X,X
JTISZOL,O,O,O,X,O,X,X
JTISOLZ,O,O,X,O,X,X,X
JTISOZL,O,O,X,O,O,X,X
JTIZLSO,O,O,O,X,X,X,X
JTIZLOS,O,O,O,X,X,X,O
JTIZSLO,O,O,O,X,X,X,X
JTIZSOL,O,O,O,X,O,X,X
JTIZOLS,O,O,O,X,X,X,O
JTIZOSL,O,O,O,X,O,X,X
JTIOLSZ,O,O,X,O,X,X,X
JTIOLZS,O,O,O,X,X,X,X
JTIOSLZ,O,O,X,O,X,X,X
JTIOSZL,O,O,X,O,O,X,X
JTIOZLS,O,O,O,X,X,X,X
JTIOZSL,O,O,O,X,O,X,X
JTLISZO,O,O,O,X,X,X,X
JTLISOZ,O,O,X,O,X,X,X
JTLIZSO,O,O,O,X,X,X,X
JTLIZOS,O,O,O,X,X,X,O
JTLIOSZ,O,O,X,O,X,X,X
JTLIOZS,O,O,O,X,X,X,X
JTLSIZO,O,O,O,X,X,X,X
JTLSIOZ,O,O,X,O,X,X,X
JTLSZIO,O,O,O,X,X,X,X
JTLSZOI,O,O,O,X,X,X,X
JTLSOIZ,O,O,X,O,X,X,X
JTLSOZI,O,O,X,O,X,X,X
JTLZISO,O,O,O,X,X,X,X
JTLZIOS,O,O,O,X,X,X,O
JTLZSIO,O,O,O,X,X,X,X
JTLZSOI,O,O,O,X,X,X,X
JTLZOIS,O,O,O,X,X,X,O
JTLZOSI,O,O,O,X,X,X,X
JTLOISZ,O,O,X,O,X,X,X
JTLOIZS,O,O,O,X,X,X,X
JTLOSIZ,O,O,X,O,X,X,X
JTLOSZI,O,O,X,O,X,X,X
JTLOZIS,O,O,O,X,X,X,X
JTLOZSI,O,O,O,X,X,X,X
JTSILZO,O,O,O,X,X,X,X
JTSILOZ,O,O,X,O,X,X,X
JTSIZLO,O,O,O,X,X,X,X
JTSIZOL,O,O,O,X,O,X,X
JTSIOLZ,O,O,X,O,X,X,X
JTSIOZL,O,O,X,O,O,X,X
JTSLIZO,O,O,O,X,X,X,X
JTSLIOZ,O,O,X,O,X,X,X
JTSLZIO,O,O,O,X,X,X,X
JTSLZOI,O,O,O,X,X,X,X
JTSLOIZ,O,O,X,O,X,X,X
JTSLOZI,O,O,X,O,X,X,X
JTSZILO,O,O,O,X,X,X,X
JTSZIOL,O,O,O,X,O,X,X
JTSZLIO,O,O,O,X,X,X,X
JTSZLOI,O,O,O,X,X,X,X
JTSZOIL,O,O,O,X,O,X,X
JTSZOLI,O,O,O,X,X,X,X
JTSOILZ,O,O,X,O,X,X,X
JTSOIZL,O,O,X,O,O,X,X
JTSOLIZ,O,O,X,O,X,X,X
JTSOLZI,O,O,X,O,X,X,X
JTSOZIL,O,O,X,O,O,X,X
JTSOZLI,O,O,X,O,X,X,X
JTZILSO,O,O,O,X,X,X,X
JTZILOS,O,O,O,X,X,X,O
JTZISLO,O,O,O,X,X,X,X
JTZISOL,O,O,O,X,O,X,X
JTZIOLS,O,O,O,X,X,X,O
JTZIOSL,O,O,O,X,O,X,X
JTZLISO,O,O,O,X,X,X,X
JTZLIOS,O,O,O,X,X,X,O
JTZLSIO,O,O,O,X,X,X,X
JTZLSOI,O,O,O,X,X,X,X
JTZLOIS,O,O,O,X,X,X,O
JTZLOSI,O,O,O,X,X,X,X
JTZSILO,O,O,O,X,X,X,X
JTZSIOL,O,O,O,X,O,X,X
JTZSLIO,O,O,O,X,X,X,X
JTZSLOI,O,O,O,X,X,X,X
JTZSOIL,O,O,O,X,O,X,X
JTZSOLI,O,O,O,X,X,X,X
JTZOILS,O,O,O,X,X,X,O
JTZOISL,O,O,O,X,O,X,X
JTZOLIS,O,O,O,X,X,X,O
JTZOLSI,O,O,O,X,X,X,X
JTZOSIL,O,O,O,X,O,X,X
JTZOSLI,O,O,O,X,X,X,X
JTOILSZ,O,O,X,O,X,X,X
JTOILZS,O,O,O,X,X,X,X
JTOISLZ,O,O,X,O,X,X,X
JTOISZL,O,O,X,O,O,X,X
JTOIZLS,O,O,O,X,X,X,X
JTOIZSL,O,O,O,X,O,X,X
JTOLISZ,O,O,X,O,X,X,X
JTOLIZS,O,O,O,X,X,X,X
JTOLSIZ,O,O,X,O,X,X,X
JTOLSZI,O,O,X,O,X,X,X
JTOLZIS,O,O,O,X,X,X,X
JTOLZSI,O,O,O,X,X,X,X
JTOSILZ,O,O,X,O,X,X,X
JTOSIZL,O,O,X,O,O,X,X
JTOSLIZ,O,O,X,O,X,X,X
JTOSLZI,O,O,X,O,X,X,X
JTOSZIL,O,O,X,O,O,X,X
JTOSZLI,O,O,X,O,X,X,X
JTOZILS,O,O,O,X,X,X,X
JTOZISL,O,O,O,X,O,X,X
JTOZLIS,O,O,O,X,X,X,X
JTOZLSI,O,O,O,X,X,X,X
JTOZSIL,O,O,O,X,O,X,X
JTOZSLI,O,O,O,X,X,X,X
JITLSZO,O,O,O,X,X,X,X
JITLSOZ,O,O,X,O,X,X,X
JITLZSO,O,O,O,X,X,X,X
JITLZOS,O,O,O,X,X,X,O
JITLOSZ,O,O,X,O,X,X,X
JITLOZS,O,O,O,X,X,X,X
JITSLZO,O,O,O,X,X,X,X
JITSLOZ,O,O,X,O,X,X,X
JITSZLO,O,O,O,X,X,X,X
JITSZOL,O,O,O,X,O,X,X
JITSOLZ,O,O,X,O,X,X,X
JITSOZL,O,O,X,O,O,X,X
JITZLSO,O,O,O,X,X,X,X
JITZLOS,O,O,O,X,X,X,O
JITZSLO,O,O,O,X,X,X,X
JITZSOL,O,O,O,X,O,X,X
JITZOLS,O,O,O,X,X,X,O
JITZOSL,O,O,O,X,O,X,X
JITOLSZ,O,O,X,O,X,X,X
JITOLZS,O,O,O,X,X,X,X
JITOSLZ,O,O,X,O,X,X,X
JITOSZL,O,O,X,O,O,X,X
JITOZLS,O,O,O,X,X,X,X
JITOZSL,O,O,O,X,O,X,X
JILTSZO,O,O,O,X,X,X,X
JILTSOZ,O,O,X,O,X,X,X
JILTZSO,O,O,O,X,X,X,X
JILTZOS,O,O,O,X,X,X,O
JILTOSZ,O,O,X,O,X,X,X
JILTOZS,O,O,O,X,X,X,X
JILSTZO,O,O,X,X,X,X,X
JILSTOZ,O,O,X,O,X,X,X
JILSZTO,O,O,X,X,X,X,X
JILSZOT,O,X,X,O,O,X,O
JILSOTZ,X,O,X,O,X,X,X
JILSOZT,X,X,X,O,O,X,X
JILZTSO,O,O,X,X,X,X,X
JILZTOS,O,O,O,X,X,X,O
JILZSTO,O,O,X,X,X,X,X
JILZSOT,X,X,O,O,O,X,O
JILZOTS,O,X,O,X,X,X,O
JILZOST,X,X,O,O,O,X,O
JILOTSZ,X,O,X,O,X,X,X
JILOTZS,X,O,X,X,X,X,X
JILOSTZ,X,O,X,O,X,X,X
JILOSZT,X,X,X,O,O,X,X
JILOZTS,X,X,X,X,X,X,O
JILOZST,X,X,X,O,O,X,O
JISTLZO,O,O,O,X,X,X,X
JISTLOZ,O,O,X,O,X,X,X
JISTZLO,O,O,O,X,X,X,X
JISTZOL,O,O,O,X,O,X,X
JISTOLZ,O,O,X,O,X,X,X
JISTOZL,O,O,X,O,O,X,X
JISLTZO,O,O,X,X,X,X,X
JISLTOZ,O,O,X,O,X,X,X
JISLZTO,O,O,X,X,X,X,X
JISLZOT,O,X,X,O,O,X,O
JISLOTZ,X,O,X,O,X,X,X
JISLOZT,X,X,X,O,O,X,X
JISZTLO,O,O,X,X,X,X,X
JISZTOL,O,O,X,X,O,X,X
JISZLTO,O,O,X,X,X,X,X
JISZLOT,O,X,O,O,O,X,O
JISZOTL,O,X,X,O,O,X,X
JISZOLT,O,X,O,O,O,X,O
JISOTLZ,X,O,X,O,X,X,X
JISOTZL,X,O,X,O,O,X,X
JISOLTZ,X,O,X,O,X,X,X
JISOLZT,X,X,X,O,O,X,X
JISOZTL,X,X,X,O,O,X,X
JISOZLT,X,X,X,O,O,X,X
JIZTLSO,O,O,O,X,X,X,X
JIZTLOS,O,O,O,X,X,X,O
JIZTSLO,O,O,O,X,X,X,X
JIZTSOL,O,O,O,X,O,X,X
JIZTOLS,O,O,O,X,X,X,O
JIZTOSL,O,O,O,X,O,X,X
JIZLTSO,O,O,X,X,X,X,X
JIZLTOS,O,O,O,X,X,X,O
JIZLSTO,O,O,X,X,X,X,X
JIZLSOT,X,X,O,O,O,X,O
JIZLOTS,O,X,O,X,X,X,O
JIZLOST,X,X,O,O,O,X,O
JIZSTLO,O,O,X,X,X,X,X
JIZSTOL,O,O,X,X,O,X,X
JIZSLTO,O,O,X,X,X,X,X
JIZSLOT,O,X,O,O,O,X,O
JIZSOTL,O,X,X,O,O,X,X
JIZSOLT,O,X,O,O,O,X,O
JIZOTLS,O,X,O,X,X,X,O
JIZOTSL,O,X,O,X,O,X,X
JIZOLTS,O,X,O,X,X,X,O
JIZOLST,X,X,O,O,O,X,O
JIZOSTL,X,X,X,O,O,X,X
JIZOSLT,X,X,O,O,O,X,O
JIOTLSZ,X,O,X,O,X,X,X
JIOTLZS,X,O,O,X,X,X,X
JIOTSLZ,X,O,X,O,X,X,X
JIOTSZL,X,O,X,O,O,X,X
JIOTZLS,X,O,O,X,X,X,X
JIOTZSL,X,O,O,X,O,X,X
JIOLTSZ,X,O,X,O,X,X,X
JIOLTZS,X,O,X,X,X,X,X
JIOLSTZ,X,O,X,O,X,X,X
JIOLSZT,X,X,X,O,O,X,X
JIOLZTS,X,X,X,X,X,X,O
JIOLZST,X,X,X,O,O,X,O
JIOSTLZ,X,O,X,O,X,X,X
JIOSTZL,X,O,X,O,O,X,X
JIOSLTZ,X,O,X,O,X,X,X
JIOSLZT,X,X,X,O,O,X,X
JIOSZTL,X,X,X,O,O,X,X
JIOSZLT,X,X,X,O,O,X,X
JIOZTLS,X,X,O,X,X,X,O
JIOZTSL,X,X,X,X,O,X,X
JIOZLTS,X,X,O,X,X,X,O
JIOZLST,X,X,O,O,O,X,O
JIOZSTL,X,X,X,O,O,X,X
JIOZSLT,X,X,O,O,O,X,O
JLTISZO,O,O,O,X,X,X,X
JLTISOZ,O,O,X,O,X,X,X
JLTIZSO,O,O,O,X,X,X,X
JLTIZOS,O,O,O,X,X,X,O
JLTIOSZ,O,O,X,O,X,X,X
JLTIOZS,O,O,O,X,X,X,X
JLTSIZO,O,O,O,X,X,X,X
JLTSIOZ,O,O,X,O,X,X,X
JLTSZIO,O,O,O,X,X,X,X
JLTSZOI,O,O,O,X,X,X,X
JLTSOIZ,O,O,X,O,X,X,X
JLTSOZI,O,O,X,O,X,X,X
JLTZISO,O,O,O,X,X,X,X
JLTZIOS,O,O,O,X,X,X,O
JLTZSIO,O,O,O,X,X,X,X
JLTZSOI,O,O,O,X,X,X,X
JLTZOIS,O,O,O,X,X,X,O
JLTZOSI,O,O,O,X,X,X,X
JLTOISZ,O,O,X,O,X,X,X
JLTOIZS,O,O,O,X,X,X,X
JLTOSIZ,O,O,X,O,X,X,X
JLTOSZI,O,O,X,O,X,X,X
JLTOZIS,O,O,O,X,X,X,X
JLTOZSI,O,O,O,X,X,X,X
JLITSZO,O,O,O,X,X,X,X
JLITSOZ,O,O,X,O,X,X,X
JLITZSO,O,O,O,X,X,X,X
JLITZOS,O,O,O,X,X,X,O
JLITOSZ,O,O,X,O,X,X,X
JLITOZS,O,O,O,X,X,X,X
JLISTZO,O,O,X,X,X,X,X
JLISTOZ,O,O,X,O,X,X,X
JLISZTO,O,O,X,X,X,X,X
JLISZOT,O,X,X,O,O,X,O
JLISOTZ,X,O,X,O,X,X,X
JLISOZT,X,X,X,O,O,X,X
JLIZTSO,O,O,X,X,X,X,X
JLIZTOS,O,O,O,X,X,X,O
JLIZSTO,O,O,X,X,X,X,X
JLIZSOT,X,X,O,O,O,X,O
JLIZOTS,O,X,O,X,X,X,O
JLIZOST,X,X,O,O,O,X,O
JLIOTSZ,X,O,X,O,X,X,X
JLIOTZS,X,O,X,X,X,X,X
JLIOSTZ,X,O,X,O,X,X,X
JLIOSZT,X,X,X,O,O,X,X
