sequence,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFulBRiBSoBN?rBUnBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhFfnB0iB6oBG?lBNrBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFtlB0hBxiBW?tBirBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFtlBmhBCjBc?rBxsBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeWFJvhFxgBXjBdrBz?mBStB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFRhBGjBfrB0?mB6sBNtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhFzhBfoB6oBG?lBNrB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeWFJvhFxgBXjBdrBz?mBctB6sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JefHJvhF0iB6oBRlBG?lBNrBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhF3hB9oBGlB0?nBirBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFChB8mBWoBd?rBxsBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFRhB9nB6oBf?rB0mBetB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JezBJvhFfoB6oBRlBG?lBNrB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JezBJvhFRlB3nBctBG?lBNrBCtB
ZIJSTOL,X,X,X,O,X,X,O,O,X,X,O,X,X,X
ZIJSLTO,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZIJSLOT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZIJSOTL,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZIJSOLT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZIJOTLS,O,X,X,O,X,X,X,O,X,X,O,X,X,X
ZIJOTSL,O,X,X,O,X,X,X,O,X,X,O,X,X,X
ZIJOLTS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
ZIJOLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZIJOSTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZIJOSLT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZISTLJO,O,X,X,O,X,X,O,X,O,X,O,X,X,X
ZISTLOJ,O,X,X,O,X,X,O,X,O,X,O,X,O,X
ZISTJLO,O,X,X,O,X,X,O,X,X,X,O,X,X,X
ZISTJOL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
ZISTOLJ,O,X,X,O,X,X,O,O,X,X,O,X,O,O
ZISTOJL,O,X,X,O,X,X,O,O,X,X,O,X,X,O
ZISLTJO,O,X,X,O,X,X,O,X,O,X,X,X,X,X
ZISLTOJ,O,X,X,O,X,X,O,X,O,X,X,X,O,X
ZISLJTO,O,X,X,O,X,X,O,X,O,X,X,X,X,X
ZISLJOT,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZISLOTJ,O,X,X,O,X,X,O,X,O,X,X,X,O,O
ZISLOJT,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZISJTLO,O,X,X,O,X,X,O,X,X,X,O,X,X,X
ZISJTOL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
ZISJLTO,O,X,X,O,X,X,O,X,O,X,X,X,X,X
ZISJLOT,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZISJOTL,O,X,X,X,X,X,X,X,X,X,O,X,X,O
ZISJOLT,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZISOTLJ,O,X,X,O,X,X,O,O,O,X,O,X,O,O
ZISOTJL,O,X,X,O,X,X,O,O,X,X,O,X,X,O
ZISOLTJ,O,X,X,O,X,X,O,X,O,X,X,X,O,O
ZISOLJT,O,X,X,X,X,X,X,X,O,X,X,X,O,X
ZISOJTL,O,X,X,X,X,X,X,X,X,X,O,X,X,O
ZISOJLT,O,X,X,X,X,X,X,X,O,X,X,X,O,X
ZIOTLJS,O,X,X,O,X,X,X,O,X,X,O,X,X,X
ZIOTLSJ,O,X,X,O,X,X,O,O,O,X,O,X,X,X
ZIOTJLS,O,X,X,O,X,X,O,O,X,X,O,X,X,X
ZIOTJSL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
ZIOTSLJ,O,X,X,O,X,X,O,O,O,X,O,X,O,X
ZIOTSJL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
ZIOLTJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
ZIOLTSJ,O,X,X,O,X,X,X,X,O,X,O,X,X,X
ZIOLJTS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
ZIOLJST,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZIOLSTJ,O,X,X,O,X,X,X,X,O,X,X,X,O,X
ZIOLSJT,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ZIOJTLS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
ZIOJTSL,O,X,X,O,X,X,X,X,X,X,O,X,X,X
ZIOJLTS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
ZIOJLST,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZIOJSTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZIOJSLT,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ZIOSTLJ,O,X,X,O,X,X,O,O,O,X,O,X,O,O
ZIOSTJL,O,X,X,O,X,X,O,O,X,X,O,X,X,O
ZIOSLTJ,O,X,X,O,X,X,O,X,O,X,X,X,O,O
ZIOSLJT,O,X,X,X,X,X,X,X,O,X,X,X,O,X
ZIOSJTL,O,X,X,X,X,X,X,X,X,X,O,X,X,O
ZIOSJLT,O,X,X,X,X,X,X,X,O,X,X,X,O,X
ZLTIJSO,O,X,O,O,X,X,X,X,X,O,O,X,X,X
ZLTIJOS,O,X,O,O,X,O,X,O,X,O,O,X,X,X
ZLTISJO,O,O,X,O,X,X,O,X,X,O,O,X,X,X
ZLTISOJ,O,O,O,O,X,X,O,X,X,X,O,X,X,X
ZLTIOJS,O,X,O,O,X,O,X,O,X,X,O,X,X,X
ZLTIOSJ,O,O,O,O,X,X,O,O,X,X,O,X,X,X
ZLTJISO,O,O,O,O,X,X,O,X,X,O,O,X,X,X
ZLTJIOS,O,O,O,O,X,O,O,O,X,O,O,X,X,X
ZLTJSIO,O,O,O,X,X,O,O,X,X,O,X,X,X,X
ZLTJSOI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
ZLTJOIS,O,O,O,O,O,O,O,O,X,O,O,X,X,X
ZLTJOSI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
ZLTSIJO,O,O,X,X,X,O,O,X,X,O,O,X,X,X
ZLTSIOJ,O,O,O,X,X,O,O,X,X,X,O,X,X,X
ZLTSJIO,O,O,O,X,X,O,O,X,X,O,X,X,X,X
ZLTSJOI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
ZLTSOIJ,O,O,O,X,O,O,O,O,X,X,O,X,X,X
ZLTSOJI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
ZLTOIJS,O,X,O,O,O,O,X,O,X,X,O,X,X,X
ZLTOISJ,O,O,O,O,O,X,O,O,X,X,O,X,X,X
ZLTOJIS,O,O,O,O,O,O,O,O,X,O,O,X,X,X
ZLTOJSI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
ZLTOSIJ,O,O,O,X,O,O,O,O,X,X,O,X,X,X
ZLTOSJI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
ZLITJSO,O,X,O,O,X,X,X,X,X,O,O,X,X,X
ZLITJOS,O,X,O,O,X,O,X,X,X,O,O,X,X,X
ZLITSJO,O,X,X,O,X,X,X,X,X,O,O,X,X,X
ZLITSOJ,O,X,O,O,X,X,X,X,X,X,O,X,X,X
ZLITOJS,O,X,O,O,X,O,X,X,X,X,O,X,X,X
ZLITOSJ,O,X,O,O,X,X,X,X,X,X,O,X,X,X
ZLIJTSO,O,X,O,O,X,X,X,X,X,O,O,X,X,X
ZLIJTOS,O,X,O,O,X,X,X,X,X,O,O,X,X,X
ZLIJSTO,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZLIJSOT,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLIJOTS,O,X,O,O,X,X,X,X,X,O,O,X,X,X
ZLIJOST,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLISTJO,O,X,X,O,X,X,X,X,O,O,X,X,X,X
ZLISTOJ,O,X,O,O,X,X,X,X,O,X,X,X,O,X
ZLISJTO,X,X,X,O,X,X,X,X,O,O,X,X,X,X
ZLISJOT,X,X,X,X,X,X,X,X,X,O,X,X,O,X
ZLISOTJ,O,X,X,O,X,X,X,X,O,X,X,X,O,O
ZLISOJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZLIOTJS,O,X,O,O,X,O,X,X,X,X,O,X,X,X
ZLIOTSJ,O,X,O,O,X,X,X,X,O,X,O,X,X,X
ZLIOJTS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
ZLIOJST,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLIOSTJ,O,X,X,O,X,X,X,X,O,X,X,X,O,X
ZLIOSJT,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ZLJTISO,O,O,O,O,X,X,O,X,X,O,X,X,X,X
ZLJTIOS,O,O,O,O,X,X,O,O,X,O,X,O,X,X
ZLJTSIO,O,O,O,X,X,X,O,X,X,O,X,O,X,X
ZLJTSOI,O,O,O,X,O,X,O,O,X,O,X,O,X,X
ZLJTOIS,O,O,O,O,O,X,O,O,X,O,X,O,X,X
ZLJTOSI,O,O,O,X,O,X,O,O,X,O,X,O,X,X
ZLJITSO,O,O,O,O,X,X,X,X,X,O,X,X,X,X
ZLJITOS,O,O,O,O,X,X,X,O,X,O,X,X,X,X
ZLJISTO,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZLJISOT,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLJIOTS,O,O,O,O,X,X,X,X,X,O,X,X,X,X
ZLJIOST,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLJSTIO,X,X,O,X,X,X,O,X,X,O,X,O,X,X
ZLJSTOI,X,X,O,X,O,X,O,O,X,O,X,O,X,X
ZLJSITO,X,X,O,X,X,X,O,X,X,O,X,O,X,X
ZLJSIOT,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZLJSOTI,X,X,X,X,X,X,O,X,X,O,X,O,X,X
ZLJSOIT,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZLJOTIS,O,O,O,X,X,X,X,X,X,O,X,O,X,X
ZLJOTSI,O,O,O,X,X,X,X,X,X,O,X,O,X,X
ZLJOITS,O,O,O,X,X,X,X,X,X,O,X,X,X,X
ZLJOIST,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLJOSTI,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZLJOSIT,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZLSTIJO,O,O,X,X,X,O,O,X,O,O,X,X,X,X
ZLSTIOJ,O,O,O,X,X,O,O,X,O,X,X,X,O,X
ZLSTJIO,O,O,O,X,X,O,O,X,X,O,X,X,X,X
ZLSTJOI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
ZLSTOIJ,O,O,O,X,O,O,O,O,X,X,X,X,O,X
ZLSTOJI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
ZLSITJO,O,O,X,X,X,O,O,X,O,O,X,X,X,X
ZLSITOJ,O,O,O,X,X,O,O,X,O,X,X,X,O,X
ZLSIJTO,O,X,X,X,X,O,O,X,O,O,X,X,X,X
ZLSIJOT,O,X,X,X,X,O,X,X,X,O,X,X,O,X
ZLSIOTJ,O,X,X,X,X,O,O,X,O,X,X,X,O,O
ZLSIOJT,O,X,X,X,X,O,X,X,X,X,X,X,O,X
ZLSJTIO,O,O,O,X,X,O,O,X,X,O,X,O,X,X
ZLSJTOI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
ZLSJITO,O,X,O,X,X,O,O,X,O,O,X,O,X,X
ZLSJIOT,O,X,X,X,X,O,X,X,X,O,X,O,O,X
ZLSJOTI,O,X,X,X,X,O,O,X,X,O,X,O,X,X
ZLSJOIT,O,X,X,X,X,O,X,X,X,O,X,O,O,X
ZLSOTIJ,O,O,X,X,O,O,O,O,X,X,X,X,O,X
ZLSOTJI,O,O,X,X,O,O,O,O,X,O,X,X,X,X
ZLSOITJ,O,X,X,X,X,O,O,X,O,X,X,X,O,O
ZLSOIJT,O,X,X,X,X,O,X,X,X,X,X,X,O,X
ZLSOJTI,O,X,X,X,X,O,O,X,X,O,X,O,X,X
ZLSOJIT,O,X,X,X,X,O,X,X,X,O,X,O,O,X
ZLOTIJS,O,X,O,O,O,O,X,O,X,X,O,X,X,X
ZLOTISJ,O,O,O,O,O,X,O,O,O,X,O,X,X,X
ZLOTJIS,O,O,O,O,O,O,O,O,X,O,O,X,X,X
ZLOTJSI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
ZLOTSIJ,O,O,O,X,O,O,O,O,O,X,O,X,X,X
ZLOTSJI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
ZLOITJS,O,X,O,O,X,O,X,X,X,X,O,X,X,X
ZLOITSJ,O,X,O,O,X,X,X,X,O,X,O,X,X,X
ZLOIJTS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
ZLOIJST,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLOISTJ,O,O,X,O,X,X,X,X,O,X,X,X,O,X
ZLOISJT,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ZLOJTIS,O,O,O,X,X,X,X,X,X,O,X,O,X,X
ZLOJTSI,O,O,O,X,X,X,X,X,X,O,X,O,X,X
ZLOJITS,O,O,O,X,X,X,X,X,X,O,X,X,X,X
ZLOJIST,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ZLOJSTI,X,O,X,X,X,X,X,X,X,O,X,O,X,X
ZLOJSIT,X,X,X,X,X,X,X,X,O,O,X,O,X,X
ZLOSTIJ,O,O,X,X,O,O,O,O,O,X,X,X,O,X
ZLOSTJI,O,O,X,X,O,O,O,O,X,O,X,X,X,X
ZLOSITJ,O,O,X,X,X,O,O,X,O,X,X,X,O,X
ZLOSIJT,O,X,X,X,X,O,X,X,O,X,X,X,O,X
ZLOSJTI,O,O,X,X,X,O,O,X,X,O,X,O,X,X
ZLOSJIT,O,X,X,X,X,O,X,X,O,O,X,O,O,X
ZJTILSO,O,O,X,O,X,X,O,X,X,O,O,X,X,X
ZJTILOS,O,O,X,O,X,X,O,O,X,O,O,O,X,X
ZJTISLO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
ZJTISOL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
ZJTIOLS,O,O,X,O,O,X,O,O,X,X,O,O,X,X
ZJTIOSL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
ZJTLISO,O,O,O,O,X,X,O,X,X,O,O,X,X,X
ZJTLIOS,O,O,O,O,X,X,O,O,X,O,O,O,X,X
ZJTLSIO,O,O,O,X,X,X,O,X,X,O,X,O,X,X
ZJTLSOI,O,O,O,X,O,X,O,O,X,O,X,O,X,X
ZJTLOIS,O,O,O,O,O,X,O,O,X,O,O,O,X,X
ZJTLOSI,O,O,O,X,O,X,O,O,X,O,X,O,X,X
ZJTSILO,O,O,X,O,X,X,O,X,X,X,X,O,X,X
ZJTSIOL,O,O,X,O,X,X,O,O,X,X,X,O,X,X
ZJTSLIO,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJTSLOI,O,O,X,X,X,X,O,O,X,X,X,O,X,X
ZJTSOIL,O,O,X,O,X,X,O,O,X,X,X,O,X,X
ZJTSOLI,O,O,X,X,X,X,O,O,X,X,X,O,X,X
ZJTOILS,O,O,X,O,O,X,O,O,X,X,O,O,X,X
ZJTOISL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
ZJTOLIS,O,O,O,O,O,X,O,O,X,X,O,O,X,X
ZJTOLSI,O,O,O,X,O,X,O,O,X,X,X,O,X,X
ZJTOSIL,O,O,X,O,X,X,O,O,X,X,X,O,X,X
ZJTOSLI,O,O,X,X,X,X,O,O,X,X,X,O,X,X
ZJITLSO,O,O,X,O,X,X,O,X,X,O,O,X,X,X
ZJITLOS,O,O,X,O,X,X,O,O,X,O,O,X,X,X
ZJITSLO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
ZJITSOL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
ZJITOLS,O,O,X,O,O,X,O,O,X,X,O,X,X,X
ZJITOSL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
ZJILTSO,O,O,O,O,X,X,X,X,X,O,O,X,X,X
ZJILTOS,O,O,O,O,X,X,X,O,X,O,O,X,X,X
ZJILSTO,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZJILSOT,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJILOTS,O,O,O,O,X,X,X,X,X,O,O,X,X,X
ZJILOST,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJISTLO,X,X,X,O,X,X,O,X,X,X,O,X,X,X
ZJISTOL,X,X,X,O,X,X,O,O,X,X,O,X,X,X
ZJISLTO,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJISLOT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZJISOTL,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZJISOLT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZJIOTLS,O,O,X,O,X,X,X,O,X,X,O,X,X,X
ZJIOTSL,O,O,X,O,X,X,X,O,X,X,O,X,X,X
ZJIOLTS,O,O,O,O,X,X,X,X,X,X,O,X,X,X
ZJIOLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOSTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJIOSLT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZJLTISO,O,O,O,O,X,X,O,X,X,O,X,X,X,X
ZJLTIOS,O,O,O,O,X,X,O,O,X,O,X,O,X,X
ZJLTSIO,O,O,O,X,X,X,O,X,X,O,X,O,X,X
ZJLTSOI,O,O,O,X,O,X,O,O,X,O,X,O,X,X
ZJLTOIS,O,O,O,O,O,X,O,O,X,O,X,O,X,X
ZJLTOSI,O,O,O,X,O,X,O,O,X,O,X,O,X,X
ZJLITSO,O,O,O,O,X,X,X,X,X,O,X,X,X,X
ZJLITOS,O,O,O,O,X,X,X,O,X,O,X,X,X,X
ZJLISTO,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZJLISOT,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJLIOTS,O,O,O,O,X,X,X,X,X,O,X,X,X,X
ZJLIOST,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJLSTIO,X,X,O,X,X,X,O,X,X,O,X,O,X,X
ZJLSTOI,X,X,O,X,O,X,O,O,X,O,X,O,X,X
ZJLSITO,X,X,O,X,X,X,O,X,X,O,X,O,X,X
ZJLSIOT,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZJLSOTI,X,X,X,X,X,X,O,X,X,O,X,O,X,X
ZJLSOIT,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZJLOTIS,O,O,O,X,X,X,X,X,X,O,X,O,X,X
ZJLOTSI,O,O,O,X,X,X,X,X,X,O,X,O,X,X
ZJLOITS,O,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJLOIST,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJLOSTI,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZJLOSIT,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZJSTILO,O,X,X,O,X,X,O,X,X,X,X,O,X,X
ZJSTIOL,O,X,X,O,X,X,O,O,X,X,X,O,X,X
ZJSTLIO,O,X,X,X,X,X,O,X,X,X,X,O,X,X
ZJSTLOI,O,X,X,X,X,X,O,O,X,X,X,O,X,X
ZJSTOIL,O,X,X,O,X,X,O,O,X,X,X,O,X,X
ZJSTOLI,O,X,X,X,X,X,O,O,X,X,X,O,X,X
ZJSITLO,O,X,X,O,X,X,O,X,X,X,X,O,X,X
ZJSITOL,O,X,X,O,X,X,O,O,X,X,X,O,X,X
ZJSILTO,O,X,X,O,X,X,O,X,X,X,X,O,X,X
ZJSILOT,O,X,X,X,X,X,X,X,X,X,X,O,O,X
ZJSIOTL,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZJSIOLT,O,X,X,X,X,X,X,X,X,X,X,O,O,X
ZJSLTIO,O,X,X,X,X,X,O,X,X,X,X,O,X,X
ZJSLTOI,O,X,X,X,X,X,O,O,X,X,X,O,X,X
ZJSLITO,O,X,X,X,X,X,O,X,X,X,X,O,X,X
ZJSLIOT,O,X,X,X,X,X,X,X,X,X,X,O,O,X
ZJSLOTI,O,X,X,X,X,X,O,X,X,X,X,O,X,X
ZJSLOIT,O,X,X,X,X,X,X,X,X,X,X,O,O,X
ZJSOTIL,O,X,X,X,X,X,O,O,X,X,X,O,X,X
ZJSOTLI,O,X,X,X,X,X,O,O,X,X,X,O,X,X
ZJSOITL,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZJSOILT,O,X,X,X,X,X,X,X,X,X,X,O,O,X
ZJSOLTI,O,X,X,X,X,X,O,X,X,X,X,O,X,X
ZJSOLIT,O,X,X,X,X,X,X,X,X,X,X,O,O,X
ZJOTILS,O,O,X,O,X,X,O,O,X,X,O,O,X,X
ZJOTISL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
ZJOTLIS,O,O,O,O,X,X,O,O,X,X,O,O,X,X
ZJOTLSI,O,O,O,X,X,X,O,O,X,X,X,O,X,X
ZJOTSIL,O,O,X,O,X,X,O,O,X,X,X,O,X,X
ZJOTSLI,O,O,X,X,X,X,O,O,X,X,X,O,X,X
ZJOITLS,O,O,X,O,X,X,X,O,X,X,O,X,X,X
ZJOITSL,O,O,X,O,X,X,X,O,X,X,O,X,X,X
ZJOILTS,O,O,O,O,X,X,X,X,X,X,O,X,X,X
ZJOILST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOISTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJOISLT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZJOLTIS,O,O,O,X,X,X,X,X,X,X,X,O,X,X
ZJOLTSI,O,O,O,X,X,X,X,X,X,X,X,O,X,X
ZJOLITS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJOLIST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOLSTI,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZJOLSIT,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZJOSTIL,O,X,X,X,X,X,O,O,X,X,X,O,X,X
ZJOSTLI,O,X,X,X,X,X,O,O,X,X,X,O,X,X
ZJOSITL,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZJOSILT,O,X,X,X,X,X,X,X,X,X,X,O,O,X
ZJOSLTI,O,X,X,X,X,X,O,X,X,X,X,O,X,X
ZJOSLIT,O,X,X,X,X,X,X,X,X,X,X,O,O,X
ZSTILJO,O,O,X,O,X,O,O,X,O,X,O,O,X,X
ZSTILOJ,O,O,X,O,X,O,O,X,O,X,O,O,O,X
ZSTIJLO,O,O,X,O,X,O,O,X,X,X,O,O,X,X
ZSTIJOL,O,O,X,O,X,O,O,O,X,X,O,O,X,X
ZSTIOLJ,O,O,X,O,X,O,O,O,X,X,O,O,O,O
ZSTIOJL,O,O,X,O,X,O,O,O,X,X,O,O,X,O
ZSTLIJO,O,O,X,X,X,O,O,X,O,X,O,O,X,X
ZSTLIOJ,O,O,X,X,X,O,O,X,O,X,O,O,O,X
ZSTLJIO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
ZSTLJOI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
ZSTLOIJ,O,O,X,X,X,O,O,O,X,X,O,O,O,X
ZSTLOJI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
ZSTJILO,O,O,X,O,X,O,O,X,X,X,X,O,X,X
ZSTJIOL,O,O,X,O,X,O,O,O,X,X,X,O,X,X
ZSTJLIO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
ZSTJLOI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
ZSTJOIL,O,O,X,O,X,O,O,O,X,X,X,O,X,X
ZSTJOLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
ZSTOILJ,O,O,X,O,X,O,O,O,X,X,O,O,O,O
ZSTOIJL,O,O,X,O,X,O,O,O,X,X,O,O,X,O
ZSTOLIJ,O,O,X,X,X,O,O,O,X,X,O,O,O,X
ZSTOLJI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
ZSTOJIL,O,O,X,O,X,O,O,O,X,X,X,O,X,X
ZSTOJLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
ZSITLJO,O,O,X,O,X,O,O,X,O,X,O,O,X,X
ZSITLOJ,O,O,X,O,X,O,O,X,O,X,O,O,O,X
ZSITJLO,O,O,X,O,X,O,O,X,X,X,O,O,X,X
ZSITJOL,O,O,X,O,X,O,O,O,X,X,O,O,X,X
ZSITOLJ,O,O,X,O,X,O,O,O,X,X,O,O,O,O
ZSITOJL,O,X,X,O,X,O,O,O,X,X,O,O,X,O
ZSILTJO,O,O,X,O,X,O,O,X,O,X,X,O,X,X
ZSILTOJ,O,O,X,O,X,O,O,X,O,X,X,O,O,X
ZSILJTO,O,X,X,O,X,O,O,X,O,X,X,X,X,X
ZSILJOT,O,X,X,X,X,O,X,X,X,X,X,X,O,X
ZSILOTJ,O,X,X,O,X,O,O,X,O,X,X,O,O,O
ZSILOJT,O,X,X,X,X,O,X,X,X,X,X,X,O,X
ZSIJTLO,O,X,X,O,X,O,O,X,X,X,O,O,X,X
ZSIJTOL,O,X,X,O,X,O,O,O,X,X,O,O,X,X
ZSIJLTO,O,X,X,O,X,O,O,X,O,X,X,O,X,X
ZSIJLOT,O,X,X,X,X,O,X,X,X,X,X,O,O,X
ZSIJOTL,O,X,X,X,X,O,X,X,X,X,O,O,X,O
ZSIJOLT,O,X,X,X,X,O,X,X,X,X,X,O,O,X
ZSIOTLJ,O,X,X,O,X,O,O,O,O,X,O,O,O,O
ZSIOTJL,O,X,X,O,X,O,O,O,X,X,O,O,X,O
ZSIOLTJ,O,X,X,O,X,O,O,X,O,X,X,O,O,O
ZSIOLJT,O,X,X,X,X,O,X,X,O,X,X,X,O,X
ZSIOJTL,O,X,X,X,X,O,X,X,X,X,O,O,X,O
ZSIOJLT,O,X,X,X,X,O,X,X,O,X,X,O,O,X
ZSLTIJO,O,O,X,X,X,O,O,X,O,X,X,O,X,X
ZSLTIOJ,O,O,X,X,X,O,O,X,O,X,X,O,O,X
ZSLTJIO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
ZSLTJOI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
ZSLTOIJ,O,O,X,X,X,O,O,O,X,X,X,O,O,X
ZSLTOJI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
ZSLITJO,O,O,X,X,X,O,O,X,O,X,X,O,X,X
ZSLITOJ,O,O,X,X,X,O,O,X,O,X,X,O,O,X
ZSLIJTO,O,X,X,X,X,O,O,X,O,X,X,X,X,X
ZSLIJOT,O,X,X,X,X,O,X,X,X,X,X,X,O,X
ZSLIOTJ,O,X,X,X,X,O,O,X,O,X,X,O,O,O
ZSLIOJT,O,X,X,X,X,O,X,X,X,X,X,X,O,X
ZSLJTIO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
