sequence,v115@FhB8IeA8GeC8CeA8AeE8JeZEJvhFFgBXhB0iBqpBzm?BmqB,v115@FhB8IeA8GeC8CeA8AeE8Jex/IvhFylBfnB0iBOpBzp?BFrB,v115@FhB8IeA8GeC8CeA8AeE8JeZFJvhFzgBfnB0iB6pBOp?BFrB,v115@FhB8IeA8GeC8CeA8AeE8JemAJvhFfnB0iBxkBTkByu?BFrB,v115@FhB8IeA8GeC8CeA8AeE8JeZFJvhFzgBfnB0iBOpB6p?BFrB,v115@FhB8IeA8GeC8CeA8AeE8Jex/IvhFXhB0iBikBzmB1u?BmqB,v115@FhB8IeA8GeC8CeA8AeE8Jex/IvhFylBfnB0iBmpBFr?BTpB,v115@FhB8IeA8GeC8CeA8AeE8JeZFJvhFFhB0iBOpBfrBzm?B6pB,v115@FhB8IeA8GeC8CeA8AeE8Jei/IvhFcpBeqBzlBRnBXn?BFrB
LOTSIJZ,O,O,O,O,X,O,X,X,X
LOTSIZJ,O,O,O,O,X,O,X,X,X
LOTSJIZ,O,O,O,O,X,O,X,X,X
LOTSJZI,O,O,O,O,X,O,X,X,X
LOTSZIJ,O,O,O,O,X,O,X,X,X
LOTSZJI,O,O,O,O,X,O,X,X,X
LOTZIJS,O,X,X,X,X,O,X,X,X
LOTZISJ,O,O,O,X,X,O,X,X,X
LOTZJIS,O,O,X,X,X,O,X,X,X
LOTZJSI,O,O,X,X,X,O,X,X,X
LOTZSIJ,O,O,O,X,X,O,X,X,X
LOTZSJI,O,O,O,X,X,O,X,X,X
LOITJSZ,O,X,O,O,X,X,X,X,X
LOITJZS,O,X,X,X,X,X,X,X,X
LOITSJZ,O,X,O,O,X,X,X,X,X
LOITSZJ,O,O,O,O,X,X,X,X,X
LOITZJS,O,X,X,X,X,X,X,X,X
LOITZSJ,O,X,O,X,X,X,X,X,X
LOIJTSZ,O,O,X,X,X,X,X,X,X
LOIJTZS,O,X,X,X,X,X,X,X,X
LOIJSTZ,O,O,X,X,X,X,X,O,X
LOIJSZT,O,O,X,O,X,X,X,O,X
LOIJZTS,O,X,X,X,X,X,X,X,O
LOIJZST,O,O,X,X,X,X,X,O,O
LOISTJZ,O,X,O,X,X,X,X,O,X
LOISTZJ,O,O,O,X,X,X,X,O,X
LOISJTZ,O,O,X,X,X,X,X,O,X
LOISJZT,O,O,X,O,X,X,X,O,X
LOISZTJ,O,O,O,X,X,X,X,O,X
LOISZJT,O,O,X,O,X,X,X,O,X
LOIZTJS,O,X,X,X,X,X,X,X,X
LOIZTSJ,O,X,X,X,X,X,X,X,X
LOIZJTS,O,X,X,X,X,X,X,X,X
LOIZJST,O,X,X,X,X,X,X,O,X
LOIZSTJ,O,O,O,X,X,X,X,O,X
LOIZSJT,O,O,X,O,X,X,X,O,X
LOJTISZ,O,O,X,X,X,O,X,X,X
LOJTIZS,O,O,X,X,X,O,X,X,X
LOJTSIZ,O,O,X,X,X,O,X,X,X
LOJTSZI,O,O,X,X,X,O,X,X,X
LOJTZIS,O,O,X,X,X,O,X,X,X
LOJTZSI,O,O,X,X,X,O,X,X,X
LOJITSZ,O,O,X,X,X,X,X,X,X
LOJITZS,O,O,X,X,X,X,X,X,X
LOJISTZ,O,O,X,X,X,X,X,O,X
LOJISZT,O,O,X,X,X,X,X,O,X
LOJIZTS,O,X,X,X,X,X,X,X,O
LOJIZST,O,O,X,X,X,X,X,O,O
LOJSTIZ,O,O,X,X,X,O,X,O,X
LOJSTZI,O,O,X,X,X,O,X,O,X
LOJSITZ,O,O,X,X,X,X,X,O,X
LOJSIZT,O,O,X,X,X,O,X,O,X
LOJSZTI,O,O,X,X,X,O,X,O,X
LOJSZIT,O,O,X,X,X,O,X,O,X
LOJZTIS,O,X,X,X,X,O,X,X,O
LOJZTSI,O,X,X,X,X,O,X,X,X
LOJZITS,O,X,X,X,X,X,X,X,O
LOJZIST,O,O,X,X,X,X,X,O,O
LOJZSTI,O,O,X,X,X,O,X,O,X
LOJZSIT,O,O,X,X,X,O,X,O,O
LOSTIJZ,O,O,O,O,X,O,X,O,X
LOSTIZJ,O,O,O,O,X,O,X,O,X
LOSTJIZ,O,O,O,O,X,O,X,O,X
LOSTJZI,O,O,O,O,X,O,X,O,X
LOSTZIJ,O,O,O,O,X,O,X,O,X
LOSTZJI,O,O,O,O,X,O,X,O,X
LOSITJZ,O,X,O,X,X,X,X,O,X
LOSITZJ,O,O,O,X,X,X,X,O,X
LOSIJTZ,O,O,X,X,X,X,X,O,X
LOSIJZT,O,O,X,O,X,X,X,O,X
LOSIZTJ,O,O,O,X,X,O,X,O,X
LOSIZJT,O,O,X,O,X,O,X,O,X
LOSJTIZ,O,O,X,X,X,O,X,O,X
LOSJTZI,O,O,X,X,X,O,X,O,X
LOSJITZ,O,O,X,X,X,X,X,O,X
LOSJIZT,O,O,X,X,X,O,X,O,X
LOSJZTI,O,O,X,X,X,O,X,O,X
LOSJZIT,O,O,X,X,X,O,X,O,X
LOSZTIJ,O,O,O,O,X,O,X,O,X
LOSZTJI,O,O,O,O,X,O,X,O,X
LOSZITJ,O,O,O,X,X,O,X,O,X
LOSZIJT,O,O,X,O,X,O,X,O,X
LOSZJTI,O,O,X,X,X,O,X,O,X
LOSZJIT,O,O,X,X,X,O,X,O,X
LOZTIJS,O,X,X,X,X,O,X,X,X
LOZTISJ,O,X,X,X,X,O,X,X,X
LOZTJIS,O,X,X,X,X,O,X,X,X
LOZTJSI,O,X,X,X,X,O,X,X,X
LOZTSIJ,O,X,X,X,X,O,X,X,X
LOZTSJI,O,X,X,X,X,O,X,X,X
LOZITJS,O,X,X,X,X,X,X,X,X
LOZITSJ,O,X,X,X,X,X,X,X,X
LOZIJTS,O,X,X,X,X,X,X,X,X
LOZIJST,O,X,X,X,X,X,X,O,X
LOZISTJ,O,O,O,X,X,X,X,O,X
LOZISJT,O,O,X,O,X,X,X,O,X
LOZJTIS,O,X,X,X,X,O,X,X,X
LOZJTSI,O,X,X,X,X,O,X,X,X
LOZJITS,O,X,X,X,X,X,X,X,X
LOZJIST,O,O,X,X,X,X,X,O,X
LOZJSTI,O,O,X,X,X,O,X,O,X
LOZJSIT,O,O,X,X,X,O,X,O,X
LOZSTIJ,O,O,O,O,X,O,X,O,X
LOZSTJI,O,O,O,O,X,O,X,O,X
LOZSITJ,O,O,O,X,X,O,X,O,X
LOZSIJT,O,O,X,O,X,O,X,O,X
LOZSJTI,O,O,X,X,X,O,X,O,X
LOZSJIT,O,O,X,X,X,O,X,O,X
JTILSZO,X,O,O,O,O,O,O,X,X
JTILSOZ,X,O,O,O,O,O,O,X,X
JTILZSO,X,O,X,O,X,O,O,X,X
JTILZOS,X,X,X,X,X,O,X,X,X
JTILOSZ,X,O,O,O,O,O,O,X,X
JTILOZS,X,X,X,X,X,O,X,X,X
JTISLZO,X,O,O,O,O,O,O,X,X
JTISLOZ,X,O,O,O,O,O,O,X,X
JTISZLO,X,O,O,O,O,O,O,X,X
JTISZOL,X,O,O,O,O,O,O,X,X
JTISOLZ,X,O,O,X,O,X,O,O,X
JTISOZL,X,O,O,O,O,O,O,O,X
JTIZLSO,X,O,X,X,X,O,X,X,X
JTIZLOS,X,X,X,X,X,O,X,X,O
JTIZSLO,X,O,X,O,O,O,X,X,X
JTIZSOL,X,O,X,O,O,O,X,X,X
JTIZOLS,X,X,X,X,X,X,X,X,O
JTIZOSL,X,X,X,X,O,X,X,O,X
JTIOLSZ,X,O,O,X,O,O,X,X,X
JTIOLZS,X,X,X,X,X,O,X,X,X
JTIOSLZ,X,O,O,X,O,O,X,O,X
JTIOSZL,X,O,O,O,O,O,X,O,X
JTIOZLS,X,X,X,X,X,O,X,X,O
JTIOZSL,X,X,X,X,O,O,X,O,X
JTLISZO,O,O,O,O,O,O,O,X,X
JTLISOZ,O,O,O,O,O,O,O,X,X
JTLIZSO,O,O,X,O,X,O,O,X,X
JTLIZOS,O,X,X,X,X,O,X,X,X
JTLIOSZ,O,O,O,O,O,O,O,X,X
JTLIOZS,O,X,X,X,X,O,X,X,X
JTLSIZO,O,O,O,O,O,O,O,X,X
JTLSIOZ,O,O,O,O,O,O,O,X,X
JTLSZIO,O,O,O,O,O,O,O,X,X
JTLSZOI,O,O,O,O,O,O,O,X,X
JTLSOIZ,O,O,O,O,O,O,O,X,X
JTLSOZI,O,O,O,O,O,O,O,X,X
JTLZISO,O,O,X,O,X,O,O,X,X
JTLZIOS,O,X,X,X,X,O,X,X,X
JTLZSIO,O,O,X,O,X,O,O,X,X
JTLZSOI,O,O,X,O,X,O,O,X,X
JTLZOIS,O,X,X,X,X,O,X,X,X
JTLZOSI,O,X,X,X,X,O,X,X,X
JTLOISZ,O,O,O,O,O,O,O,X,X
JTLOIZS,O,O,X,X,X,O,X,X,X
JTLOSIZ,O,O,O,O,O,O,O,X,X
JTLOSZI,O,O,O,O,O,O,O,X,X
JTLOZIS,O,O,X,X,X,O,X,X,X
JTLOZSI,O,O,X,X,X,O,X,X,X
JTSILZO,X,O,O,O,O,O,O,X,X
JTSILOZ,X,O,O,O,O,O,O,X,X
JTSIZLO,X,O,O,O,O,O,O,X,X
JTSIZOL,X,O,O,O,O,O,O,X,X
JTSIOLZ,X,O,O,X,O,X,O,O,X
JTSIOZL,X,O,O,O,O,O,O,O,X
JTSLIZO,O,O,O,O,O,O,O,X,X
JTSLIOZ,O,O,O,O,O,O,O,X,X
JTSLZIO,O,O,O,O,O,O,O,X,X
JTSLZOI,O,O,O,O,O,O,O,X,X
JTSLOIZ,O,O,O,O,O,O,O,X,X
JTSLOZI,O,O,O,O,O,O,O,X,X
JTSZILO,X,O,O,O,O,O,O,X,X
JTSZIOL,X,O,O,O,O,O,O,X,X
JTSZLIO,O,O,O,O,O,O,O,X,X
JTSZLOI,O,O,O,O,O,O,O,X,X
JTSZOIL,X,O,O,O,O,O,O,X,X
JTSZOLI,X,O,O,O,O,O,O,X,X
JTSOILZ,X,O,O,X,O,O,O,O,X
JTSOIZL,X,O,O,O,O,O,O,O,X
JTSOLIZ,X,O,O,O,O,O,O,O,X
JTSOLZI,X,O,O,O,O,O,O,O,X
JTSOZIL,X,O,O,O,O,O,O,O,X
JTSOZLI,X,O,O,O,O,O,O,O,X
JTZILSO,X,O,X,X,X,O,X,X,X
JTZILOS,X,X,X,X,X,O,X,X,O
JTZISLO,X,O,X,O,O,O,X,X,X
JTZISOL,X,O,X,O,O,O,X,X,X
JTZIOLS,X,X,X,X,X,X,X,X,O
JTZIOSL,X,X,X,X,O,X,X,O,X
JTZLISO,O,O,X,O,X,O,O,X,X
JTZLIOS,O,X,X,X,X,O,X,X,O
JTZLSIO,O,O,X,O,X,O,O,X,X
JTZLSOI,O,O,X,O,X,O,O,X,X
JTZLOIS,O,X,X,X,X,O,X,X,O
JTZLOSI,O,X,X,X,X,O,X,X,X
JTZSILO,X,O,X,O,O,O,O,X,X
JTZSIOL,X,O,X,O,O,O,O,X,X
JTZSLIO,O,O,X,O,O,O,O,X,X
JTZSLOI,O,O,X,O,O,O,O,X,X
JTZSOIL,X,O,X,O,O,O,O,X,X
JTZSOLI,X,O,X,O,O,O,O,X,X
JTZOILS,X,X,X,X,X,O,X,X,O
JTZOISL,X,X,X,X,O,O,X,O,X
JTZOLIS,X,X,X,X,X,O,X,X,O
JTZOLSI,X,X,X,X,X,O,X,X,X
JTZOSIL,X,X,X,X,O,O,X,O,X
JTZOSLI,X,X,X,X,O,O,X,O,X
JTOILSZ,X,O,O,X,O,O,X,X,X
JTOILZS,X,O,X,X,X,O,X,X,X
JTOISLZ,X,O,O,X,O,O,X,O,X
JTOISZL,X,O,O,O,O,O,X,O,X
JTOIZLS,X,O,X,X,X,O,X,X,O
JTOIZSL,X,O,X,X,O,O,X,O,X
JTOLISZ,O,O,O,O,O,O,O,X,X
JTOLIZS,O,O,X,X,X,O,X,X,X
JTOLSIZ,O,O,O,O,O,O,O,X,X
JTOLSZI,O,O,O,O,O,O,O,X,X
JTOLZIS,O,O,X,X,X,O,X,X,X
JTOLZSI,O,O,X,X,X,O,X,X,X
JTOSILZ,X,O,O,X,O,O,O,O,X
JTOSIZL,X,O,O,O,O,O,O,O,X
JTOSLIZ,O,O,O,O,O,O,O,O,X
JTOSLZI,O,O,O,O,O,O,O,O,X
JTOSZIL,X,O,O,O,O,O,O,O,X
JTOSZLI,O,O,O,O,O,O,O,O,X
JTOZILS,X,O,X,X,X,O,X,X,O
JTOZISL,X,O,X,X,O,O,X,O,X
JTOZLIS,O,O,X,X,X,O,X,X,O
JTOZLSI,O,O,X,X,X,O,X,X,X
JTOZSIL,X,O,X,X,O,O,X,O,X
JTOZSLI,O,O,X,X,O,O,X,O,X
JITLSZO,X,O,O,X,O,O,O,X,X
JITLSOZ,X,O,O,X,O,O,O,X,X
JITLZSO,X,O,X,X,X,O,O,X,X
JITLZOS,X,X,X,X,X,O,X,X,X
JITLOSZ,X,O,O,X,O,O,O,X,X
JITLOZS,X,X,X,X,X,O,X,X,X
JITSLZO,X,O,O,X,O,O,O,X,X
JITSLOZ,X,O,O,X,O,O,O,X,X
JITSZLO,X,O,O,X,O,O,O,X,X
JITSZOL,X,O,O,X,O,O,O,X,X
JITSOLZ,X,O,O,X,O,X,O,O,X
JITSOZL,X,O,O,X,O,O,O,O,X
JITZLSO,X,O,X,X,X,O,X,X,X
JITZLOS,X,X,X,X,X,O,X,X,O
JITZSLO,X,O,X,X,O,O,X,X,X
JITZSOL,X,O,X,X,O,O,X,X,X
JITZOLS,X,X,X,X,X,X,X,X,O
JITZOSL,X,X,X,X,O,X,X,O,X
JITOLSZ,X,O,O,X,O,O,X,X,X
JITOLZS,X,X,X,X,X,O,X,X,X
JITOSLZ,X,O,O,X,O,O,X,O,X
JITOSZL,X,O,O,X,O,O,X,O,X
JITOZLS,X,X,X,X,X,O,X,X,O
JITOZSL,X,X,X,X,O,O,X,O,X
JILTSZO,O,O,O,X,O,X,X,X,X
JILTSOZ,O,O,O,X,O,X,X,X,X
JILTZSO,O,O,X,X,X,X,X,X,X
JILTZOS,O,X,X,X,X,X,X,X,X
JILTOSZ,O,O,O,X,O,X,X,X,X
JILTOZS,O,X,X,X,X,X,X,X,X
JILSTZO,O,X,O,X,O,X,X,X,X
JILSTOZ,O,X,O,X,O,X,X,X,X
JILSZTO,O,X,O,X,O,X,X,X,X
JILSZOT,O,X,X,X,X,X,X,X,X
JILSOTZ,O,X,X,X,X,X,X,O,X
JILSOZT,O,X,X,X,X,X,X,O,X
JILZTSO,O,X,X,X,X,X,X,X,X
JILZTOS,O,X,X,X,X,X,X,X,O
JILZSTO,O,X,O,X,O,X,X,X,X
JILZSOT,O,X,X,X,X,X,X,X,O
JILZOTS,O,X,X,X,X,X,X,X,O
JILZOST,O,X,X,X,X,X,X,O,O
JILOTSZ,O,X,X,X,X,X,X,X,X
JILOTZS,O,X,X,X,X,X,X,X,X
JILOSTZ,O,X,X,X,X,X,X,O,X
JILOSZT,O,X,X,X,X,X,X,O,X
JILOZTS,O,X,X,X,X,X,X,X,O
JILOZST,O,X,X,X,X,X,X,O,O
JISTLZO,X,O,O,X,O,O,O,X,X
JISTLOZ,X,O,O,X,O,O,O,X,X
JISTZLO,X,O,O,X,O,O,O,X,X
JISTZOL,X,O,O,X,O,O,O,X,X
JISTOLZ,X,O,O,X,O,X,O,O,X
JISTOZL,X,O,O,X,O,O,O,O,X
JISLTZO,O,X,O,X,O,X,X,X,X
JISLTOZ,O,X,O,X,O,X,X,X,X
JISLZTO,O,X,O,X,O,O,X,X,X
JISLZOT,O,X,X,X,X,O,X,X,X
JISLOTZ,O,X,X,X,X,X,X,O,X
JISLOZT,O,X,X,X,X,X,X,O,X
JISZTLO,X,O,O,X,O,O,O,X,X
JISZTOL,X,O,O,X,O,O,O,X,X
JISZLTO,O,X,O,X,O,O,X,X,X
JISZLOT,O,X,X,X,X,O,X,X,O
JISZOTL,X,X,X,X,O,O,X,O,X
JISZOLT,X,X,X,X,X,O,X,O,O
JISOTLZ,X,X,X,X,O,X,X,O,X
JISOTZL,X,X,X,X,O,X,X,O,X
JISOLTZ,X,X,X,X,X,X,X,O,X
JISOLZT,X,X,X,X,X,X,X,O,X
JISOZTL,X,X,X,X,O,O,X,O,X
JISOZLT,X,X,X,X,X,O,X,O,O
JIZTLSO,X,O,X,X,X,O,X,X,X
JIZTLOS,X,X,X,X,X,O,X,X,O
JIZTSLO,X,O,X,X,O,O,X,X,X
JIZTSOL,X,O,X,X,O,O,X,X,X
JIZTOLS,X,X,X,X,X,X,X,X,O
JIZTOSL,X,X,X,X,O,X,X,O,X
JIZLTSO,O,X,X,X,X,X,X,X,X
JIZLTOS,O,X,X,X,X,X,X,X,O
JIZLSTO,O,X,O,X,O,X,X,X,X
JIZLSOT,O,X,X,X,X,X,X,X,O
JIZLOTS,O,X,X,X,X,X,X,X,O
JIZLOST,O,X,X,X,X,X,X,O,O
JIZSTLO,X,O,O,X,O,O,O,X,X
JIZSTOL,X,O,O,X,O,O,O,X,X
JIZSLTO,O,X,O,X,O,O,X,X,X
JIZSLOT,O,X,X,X,X,O,X,X,O
JIZSOTL,X,X,X,X,O,O,X,O,X
JIZSOLT,X,X,X,X,X,O,X,O,O
JIZOTLS,X,X,X,X,X,X,X,X,O
JIZOTSL,X,X,X,X,X,X,X,O,X
JIZOLTS,O,X,X,X,X,X,X,X,O
JIZOLST,O,X,X,X,X,X,X,O,O
JIZOSTL,O,X,X,X,O,X,X,O,X
JIZOSLT,O,X,X,X,X,X,X,O,O
JIOTLSZ,X,O,X,X,O,O,X,X,X
JIOTLZS,X,X,X,X,X,O,X,X,X
JIOTSLZ,X,O,X,X,O,O,X,O,X
JIOTSZL,X,O,X,X,O,O,X,O,X
JIOTZLS,X,X,X,X,X,O,X,X,O
JIOTZSL,X,X,X,X,O,O,X,O,X
JIOLTSZ,O,X,X,X,X,X,X,X,X
JIOLTZS,O,X,X,X,X,X,X,X,X
JIOLSTZ,O,X,X,X,X,X,X,O,X
JIOLSZT,O,X,X,X,X,X,X,O,X
JIOLZTS,O,X,X,X,X,X,X,X,O
JIOLZST,O,X,X,X,X,X,X,O,O
JIOSTLZ,X,X,X,X,O,O,X,O,X
JIOSTZL,O,X,X,X,O,O,X,O,X
JIOSLTZ,O,X,X,X,X,X,X,O,X
JIOSLZT,O,X,X,X,X,O,X,O,X
JIOSZTL,O,X,X,X,O,O,X,O,X
JIOSZLT,O,X,X,X,X,O,X,O,O
JIOZTLS,X,X,X,X,X,O,X,X,O
JIOZTSL,X,X,X,X,X,O,X,O,X
JIOZLTS,O,X,X,X,X,X,X,X,O
JIOZLST,O,X,X,X,X,X,X,O,O
JIOZSTL,O,X,X,X,O,O,X,O,X
JIOZSLT,O,X,X,X,X,O,X,O,O
JLTISZO,O,O,O,O,O,O,O,X,X
JLTISOZ,O,O,O,O,O,O,O,X,X
JLTIZSO,O,O,X,O,X,O,O,X,X
JLTIZOS,O,X,X,X,X,O,X,X,X
JLTIOSZ,O,O,O,O,O,O,O,X,X
JLTIOZS,O,X,X,X,X,O,X,X,X
JLTSIZO,O,O,O,O,O,O,O,X,X
JLTSIOZ,O,O,O,O,O,O,O,X,X
JLTSZIO,O,O,O,O,O,O,O,X,X
JLTSZOI,O,O,O,O,O,O,O,X,X
JLTSOIZ,O,O,O,O,O,O,O,X,X
JLTSOZI,O,O,O,O,O,O,O,X,X
JLTZISO,O,O,X,O,X,O,O,X,X
JLTZIOS,O,X,X,X,X,O,X,X,X
JLTZSIO,O,O,X,O,X,O,O,X,X
JLTZSOI,O,O,X,O,X,O,O,X,X
JLTZOIS,O,X,X,X,X,O,X,X,X
JLTZOSI,O,X,X,X,X,O,X,X,X
JLTOISZ,O,O,O,O,O,O,O,X,X
JLTOIZS,O,X,X,X,X,O,X,X,X
JLTOSIZ,O,O,O,O,O,O,O,X,X
JLTOSZI,O,O,O,O,O,O,O,X,X
JLTOZIS,O,X,X,X,X,O,X,X,X
JLTOZSI,O,X,X,X,X,O,X,X,X
JLITSZO,O,O,O,O,O,X,X,X,X
JLITSOZ,O,O,O,O,O,X,X,X,X
JLITZSO,O,O,X,O,X,X,X,X,X
JLITZOS,O,X,X,X,X,X,X,X,X
JLITOSZ,O,O,O,O,O,X,X,X,X
JLITOZS,O,X,X,X,X,X,X,X,X
JLISTZO,O,X,O,O,O,X,X,X,X
JLISTOZ,O,X,O,X,O,X,X,X,X
JLISZTO,O,X,O,O,O,X,X,X,X
JLISZOT,O,X,X,O,X,X,X,X,X
JLISOTZ,O,X,X,X,X,X,X,O,X
JLISOZT,O,X,X,O,X,X,X,O,X
JLIZTSO,O,X,X,X,X,X,X,X,X
JLIZTOS,O,X,X,X,X,X,X,X,O
JLIZSTO,O,X,O,O,O,X,X,X,X
JLIZSOT,O,X,X,O,X,X,X,X,O
JLIZOTS,O,X,X,X,X,X,X,X,O
JLIZOST,O,X,X,X,X,X,X,O,O
JLIOTSZ,O,X,X,X,X,X,X,X,X
JLIOTZS,O,X,X,X,X,X,X,X,X
JLIOSTZ,O,X,X,X,X,X,X,O,X
JLIOSZT,O,X,X,O,X,X,X,O,X
JLIOZTS,O,X,X,X,X,X,X,X,O
JLIOZST,O,X,X,X,X,X,X,O,O
JLSTIZO,O,O,O,O,O,O,O,X,X
JLSTIOZ,O,O,O,O,O,O,O,X,X
JLSTZIO,O,O,O,O,O,O,O,X,X
JLSTZOI,O,O,O,O,O,O,O,X,X
JLSTOIZ,O,O,O,O,O,O,O,X,X
JLSTOZI,O,O,O,O,O,O,O,X,X
JLSITZO,O,X,O,O,O,X,X,X,X
JLSITOZ,O,X,O,X,O,X,X,X,X
JLSIZTO,O,X,O,O,O,O,X,X,X
JLSIZOT,O,X,X,O,X,O,X,X,X
JLSIOTZ,O,X,X,X,X,X,X,O,X
JLSIOZT,O,X,X,O,X,X,X,O,X
JLSZTIO,O,O,O,O,O,O,O,X,X
JLSZTOI,O,O,O,O,O,O,O,X,X
JLSZITO,O,X,O,O,O,O,X,X,X
JLSZIOT,O,X,X,O,X,O,X,X,X
JLSZOTI,O,X,X,X,X,X,X,X,X
JLSZOIT,O,X,X,X,X,X,X,X,X
JLSOTIZ,O,X,X,X,X,X,X,O,X
JLSOTZI,O,X,X,X,X,X,X,O,X
JLSOITZ,O,X,X,X,X,X,X,O,X
JLSOIZT,O,X,X,X,X,X,X,O,X
JLSOZTI,O,X,X,X,X,X,X,O,X
JLSOZIT,O,X,X,X,X,X,X,O,X
JLZTISO,O,X,X,X,X,O,X,X,X
JLZTIOS,O,X,X,X,X,O,X,X,O
JLZTSIO,O,X,X,X,X,O,X,X,X
JLZTSOI,O,X,X,X,X,O,X,X,X
JLZTOIS,O,X,X,X,X,O,X,X,O
JLZTOSI,O,X,X,X,X,O,X,X,X
JLZITSO,O,X,X,X,X,X,X,X,X
JLZITOS,O,X,X,X,X,X,X,X,O
JLZISTO,O,X,O,O,O,X,X,X,X
JLZISOT,O,X,X,O,X,X,X,X,O
JLZIOTS,O,X,X,X,X,X,X,X,O
JLZIOST,O,X,X,X,X,X,X,O,O
JLZSTIO,O,O,O,O,O,O,O,X,X
JLZSTOI,O,O,O,O,O,O,O,X,X
JLZSITO,O,X,O,O,O,O,X,X,X
JLZSIOT,O,X,X,O,X,O,X,X,O
JLZSOTI,O,X,X,X,X,X,X,X,X
JLZSOIT,O,X,X,X,X,X,X,X,O
JLZOTIS,O,X,X,X,X,X,X,X,O
JLZOTSI,O,X,X,X,X,X,X,X,X
JLZOITS,O,X,X,X,X,X,X,X,O
JLZOIST,O,X,X,X,X,X,X,O,O
JLZOSTI,O,X,X,X,X,X,X,O,X
JLZOSIT,O,X,X,X,X,X,X,O,O
JLOTISZ,O,X,X,X,X,O,X,X,X
JLOTIZS,O,X,X,X,X,O,X,X,X
JLOTSIZ,O,X,X,X,X,O,X,X,X
JLOTSZI,O,X,X,X,X,O,X,X,X
JLOTZIS,O,X,X,X,X,O,X,X,X
JLOTZSI,O,X,X,X,X,O,X,X,X
JLOITSZ,O,X,X,X,X,X,X,X,X
JLOITZS,O,X,X,X,X,X,X,X,X
JLOISTZ,O,X,X,X,X,X,X,O,X
JLOISZT,O,X,X,X,X,X,X,O,X
JLOIZTS,O,X,X,X,X,X,X,X,O
JLOIZST,O,X,X,X,X,X,X,O,O
JLOSTIZ,O,X,X,X,X,O,X,O,X
JLOSTZI,O,X,X,X,X,O,X,O,X
JLOSITZ,O,X,X,X,X,X,X,O,X
JLOSIZT,O,X,X,X,X,O,X,O,X
JLOSZTI,O,X,X,X,X,O,X,O,X
JLOSZIT,O,X,X,X,X,O,X,O,X
JLOZTIS,O,X,X,X,X,O,X,X,O
JLOZTSI,O,X,X,X,X,O,X,X,X
JLOZITS,O,X,X,X,X,X,X,X,O
JLOZIST,O,X,X,X,X,X,X,O,O
JLOZSTI,O,X,X,X,X,O,X,O,X
JLOZSIT,O,X,X,X,X,O,X,O,O
JSTILZO,X,O,O,O,O,O,O,X,X
JSTILOZ,X,O,O,O,O,O,O,X,X
JSTIZLO,X,O,O,O,O,O,O,X,X
JSTIZOL,X,O,O,O,O,O,O,X,X
JSTIOLZ,X,O,O,X,O,X,O,O,X
JSTIOZL,X,O,O,O,O,O,O,O,X
JSTLIZO,O,O,O,O,O,O,O,X,X
JSTLIOZ,O,O,O,O,O,O,O,X,X
JSTLZIO,O,O,O,O,O,O,O,X,X
JSTLZOI,O,O,O,O,O,O,O,X,X
JSTLOIZ,O,O,O,O,O,O,O,X,X
JSTLOZI,O,O,O,O,O,O,O,X,X
JSTZILO,X,O,O,O,O,O,O,X,X
JSTZIOL,X,O,O,O,O,O,O,X,X
JSTZLIO,O,O,O,O,O,O,O,X,X
JSTZLOI,O,O,O,O,O,O,O,X,X
JSTZOIL,X,O,O,O,O,O,O,X,X
JSTZOLI,X,O,O,O,O,O,O,X,X
JSTOILZ,X,O,O,X,O,O,O,O,X
JSTOIZL,X,O,O,O,O,O,O,O,X
JSTOLIZ,X,O,O,O,O,O,O,O,X
JSTOLZI,X,O,O,O,O,O,O,O,X
JSTOZIL,X,O,O,O,O,O,O,O,X
JSTOZLI,X,O,O,O,O,O,O,O,X
JSITLZO,X,O,O,X,O,O,O,X,X
JSITLOZ,X,O,O,X,O,O,O,X,X
JSITZLO,X,O,O,X,O,O,O,X,X
JSITZOL,X,O,O,X,O,O,O,X,X
JSITOLZ,X,O,O,X,O,X,O,O,X
JSITOZL,X,O,O,X,O,O,O,O,X
JSILTZO,O,X,O,X,O,X,X,X,X
JSILTOZ,O,X,O,X,O,X,X,X,X
JSILZTO,O,X,O,X,O,O,X,X,X
JSILZOT,O,X,X,X,X,O,X,X,X
JSILOTZ,O,X,X,X,X,X,X,O,X
JSILOZT,O,X,X,X,X,X,X,O,X
JSIZTLO,X,O,O,X,O,O,O,X,X
JSIZTOL,X,O,O,X,O,O,O,X,X
JSIZLTO,O,X,O,X,O,O,X,X,X
JSIZLOT,O,X,X,X,X,O,X,X,O
JSIZOTL,X,X,X,X,O,O,X,O,X
JSIZOLT,X,X,X,X,X,O,X,O,O
JSIOTLZ,X,X,X,X,O,X,X,O,X
JSIOTZL,X,X,X,X,O,X,X,O,X
JSIOLTZ,X,X,X,X,X,X,X,O,X
JSIOLZT,X,X,X,X,X,X,X,O,X
JSIOZTL,X,X,X,X,O,O,X,O,X
JSIOZLT,X,X,X,X,X,O,X,O,O
JSLTIZO,O,O,O,O,O,O,O,X,X
JSLTIOZ,O,O,O,O,O,O,O,X,X
JSLTZIO,O,O,O,O,O,O,O,X,X
JSLTZOI,O,O,O,O,O,O,O,X,X
JSLTOIZ,O,O,O,O,O,O,O,X,X
JSLTOZI,O,O,O,O,O,O,O,X,X
JSLITZO,O,X,O,O,O,X,X,X,X
