sequence,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZ6IvhETXB8hBCgB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZyIvhEKVB8hBTfB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZwIvhEKbB8hBTfB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZyIvhEKfBzaB8hB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8Je52IvhEKfBzaB8hB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8Jef3IvhEZaB8hBqkBT?gB+oB,v115@BhA8IeA8EeA8BeD8CeG8AeB8Je/wIvhEZaB8hBqkBT?gB+oB,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZ6IvhE3XB8hBqkBT?gB+oB,v115@BhA8IeA8EeA8BeD8CeG8AeB8Je52IvhETXBKfB8hB+?oBXlB
LTZSJOI,X,X,X,O,O,X,X,O,O
LTZSOIJ,X,X,X,O,O,X,X,O,O
LTZSOJI,X,X,X,O,O,X,X,O,O
LTZOIJS,X,X,X,X,X,O,O,O,X
LTZOISJ,X,X,X,X,X,O,O,O,X
LTZOJIS,X,X,X,X,X,O,O,O,X
LTZOJSI,X,X,X,X,X,O,X,O,O
LTZOSIJ,X,X,X,X,X,O,X,O,O
LTZOSJI,X,X,X,X,X,O,X,O,O
LTOIJSZ,X,X,X,X,X,O,O,O,X
LTOIJZS,X,X,X,X,X,O,O,O,X
LTOISJZ,X,X,X,X,X,O,O,O,X
LTOISZJ,X,X,X,X,X,O,O,O,X
LTOIZJS,X,X,X,X,X,O,O,O,X
LTOIZSJ,X,X,X,X,X,O,O,O,X
LTOJISZ,X,X,X,X,X,O,O,O,X
LTOJIZS,X,X,X,X,X,O,O,O,X
LTOJSIZ,X,X,X,X,X,O,X,O,O
LTOJSZI,X,X,X,X,X,O,X,O,O
LTOJZIS,X,X,X,X,X,O,O,O,X
LTOJZSI,X,X,X,X,X,O,X,O,O
LTOSIJZ,X,X,X,X,X,O,X,O,O
LTOSIZJ,X,X,X,X,X,O,X,O,O
LTOSJIZ,X,X,X,X,X,O,X,O,O
LTOSJZI,X,X,X,X,X,O,X,O,O
LTOSZIJ,X,X,X,X,X,O,X,O,O
LTOSZJI,X,X,X,X,X,O,X,O,O
LTOZIJS,X,X,X,X,X,O,O,O,X
LTOZISJ,X,X,X,X,X,O,O,O,X
LTOZJIS,X,X,X,X,X,O,O,O,X
LTOZJSI,X,X,X,X,X,O,X,O,O
LTOZSIJ,X,X,X,X,X,O,X,O,O
LTOZSJI,X,X,X,X,X,O,X,O,O
LITJSZO,X,X,X,O,X,X,O,O,X
LITJSOZ,X,X,X,O,X,X,O,O,X
LITJZSO,X,X,X,O,X,X,O,O,X
LITJZOS,X,X,X,X,X,O,O,O,X
LITJOSZ,X,X,X,X,X,O,O,O,X
LITJOZS,X,X,X,X,X,O,O,O,X
LITSJZO,X,X,X,O,X,X,O,O,X
LITSJOZ,X,X,X,O,X,X,O,O,X
LITSZJO,X,X,X,O,X,X,O,O,X
LITSZOJ,X,X,X,O,X,X,O,O,X
LITSOJZ,X,X,X,O,X,X,O,O,X
LITSOZJ,X,X,X,O,X,X,O,O,X
LITZJSO,X,X,X,O,X,X,O,O,X
LITZJOS,X,X,X,X,X,O,O,O,X
LITZSJO,X,X,X,O,X,X,O,O,X
LITZSOJ,X,X,X,O,X,X,O,O,X
LITZOJS,X,X,X,X,X,O,O,O,X
LITZOSJ,X,X,X,X,X,O,O,O,X
LITOJSZ,X,X,X,X,X,O,O,O,X
LITOJZS,X,X,X,X,X,O,O,O,X
LITOSJZ,X,X,X,X,X,O,O,O,X
LITOSZJ,X,X,X,X,X,O,O,O,X
LITOZJS,X,X,X,X,X,O,O,O,X
LITOZSJ,X,X,X,X,X,O,O,O,X
LIJTSZO,X,X,X,O,X,X,O,O,X
LIJTSOZ,X,X,X,O,X,X,O,O,X
LIJTZSO,X,X,X,O,X,X,O,O,X
LIJTZOS,X,X,X,X,X,O,O,O,X
LIJTOSZ,X,X,X,X,X,O,O,O,X
LIJTOZS,X,X,X,X,X,O,O,O,X
LIJSTZO,O,X,X,O,O,X,O,O,O
LIJSTOZ,O,X,X,O,O,X,O,O,O
LIJSZTO,O,X,X,O,O,X,O,O,O
LIJSZOT,O,O,X,O,O,O,O,O,O
LIJSOTZ,O,O,X,O,O,O,O,O,O
LIJSOZT,O,O,X,O,O,O,O,O,O
LIJZTSO,X,X,X,O,X,X,O,O,X
LIJZTOS,X,X,X,X,X,O,O,O,X
LIJZSTO,O,X,X,O,O,X,O,O,O
LIJZSOT,O,O,X,O,O,O,O,O,O
LIJZOTS,X,O,X,X,X,O,O,O,X
LIJZOST,O,O,X,O,X,O,O,O,O
LIJOTSZ,X,O,X,X,X,O,O,O,X
LIJOTZS,X,O,X,X,X,O,O,O,X
LIJOSTZ,O,O,X,O,X,O,O,O,O
LIJOSZT,O,O,X,O,X,O,O,O,O
LIJOZTS,X,O,X,X,X,O,O,O,X
LIJOZST,O,O,X,O,X,O,O,O,O
LISTJZO,O,X,X,O,O,X,O,O,O
LISTJOZ,O,X,X,O,O,X,O,O,O
LISTZJO,O,X,X,O,O,X,O,O,O
LISTZOJ,O,X,X,O,O,X,O,O,O
LISTOJZ,O,X,X,O,O,X,O,O,O
LISTOZJ,O,X,X,O,O,X,O,O,O
LISJTZO,O,X,X,O,O,X,O,O,O
LISJTOZ,O,X,X,O,O,X,O,O,O
LISJZTO,O,X,X,O,O,X,O,O,O
LISJZOT,O,O,X,O,O,O,O,O,O
LISJOTZ,O,O,X,O,O,O,O,O,O
LISJOZT,O,O,X,O,O,O,O,O,O
LISZTJO,O,X,X,O,O,X,O,O,O
LISZTOJ,O,X,X,O,O,X,O,O,O
LISZJTO,O,X,X,O,O,X,O,O,O
LISZJOT,O,O,X,O,O,O,O,O,O
LISZOTJ,O,O,X,O,O,O,O,O,O
LISZOJT,O,O,X,O,O,O,O,O,O
LISOTJZ,O,O,X,O,O,O,O,O,O
LISOTZJ,O,O,X,O,O,O,O,O,O
LISOJTZ,O,O,X,O,O,O,O,O,O
LISOJZT,O,O,X,O,O,O,O,O,O
LISOZTJ,O,O,X,O,O,O,O,O,O
LISOZJT,O,O,X,O,O,O,O,O,O
LIZTJSO,X,X,X,O,X,X,O,O,X
LIZTJOS,X,X,X,X,X,O,O,O,X
LIZTSJO,X,X,X,O,X,X,O,O,X
LIZTSOJ,X,X,X,O,X,X,O,O,X
LIZTOJS,X,X,X,X,X,O,O,O,X
LIZTOSJ,X,X,X,X,X,O,O,O,X
LIZJTSO,X,X,X,O,X,X,O,O,X
LIZJTOS,X,X,X,X,X,O,O,O,X
LIZJSTO,O,X,X,O,O,X,O,O,O
LIZJSOT,O,O,X,O,O,O,O,O,O
LIZJOTS,X,O,X,X,X,O,O,O,X
LIZJOST,O,O,X,O,X,O,O,O,O
LIZSTJO,O,X,X,O,O,X,O,O,O
LIZSTOJ,O,X,X,O,O,X,O,O,O
LIZSJTO,O,X,X,O,O,X,O,O,O
LIZSJOT,O,O,X,O,O,O,O,O,O
LIZSOTJ,O,O,X,O,O,O,O,O,O
LIZSOJT,O,O,X,O,O,O,O,O,O
LIZOTJS,X,O,X,X,X,O,O,O,X
LIZOTSJ,X,O,X,X,X,O,O,O,X
LIZOJTS,X,O,X,X,X,O,O,O,X
LIZOJST,O,O,X,O,X,O,O,O,O
LIZOSTJ,O,O,X,O,X,O,O,O,O
LIZOSJT,O,O,X,O,X,O,O,O,O
LIOTJSZ,X,O,X,X,X,O,O,O,X
LIOTJZS,X,O,X,X,X,O,O,O,X
LIOTSJZ,X,O,X,X,X,O,O,O,X
LIOTSZJ,X,O,X,X,X,O,O,O,X
LIOTZJS,X,O,X,X,X,O,O,O,X
LIOTZSJ,X,O,X,X,X,O,O,O,X
LIOJTSZ,X,O,X,X,X,O,O,O,X
LIOJTZS,X,O,X,X,X,O,O,O,X
LIOJSTZ,O,O,X,O,X,O,O,O,O
LIOJSZT,O,O,X,O,X,O,O,O,O
LIOJZTS,X,O,X,X,X,O,O,O,X
LIOJZST,O,O,X,O,X,O,O,O,O
LIOSTJZ,O,O,X,O,X,O,O,O,O
LIOSTZJ,O,O,X,O,X,O,O,O,O
LIOSJTZ,O,O,X,O,X,O,O,O,O
LIOSJZT,O,O,X,O,X,O,O,O,O
LIOSZTJ,O,O,X,O,X,O,O,O,O
LIOSZJT,O,O,X,O,X,O,O,O,O
LIOZTJS,X,O,X,X,X,O,O,O,X
LIOZTSJ,X,O,X,X,X,O,O,O,X
LIOZJTS,X,O,X,X,X,O,O,O,X
LIOZJST,O,O,X,O,X,O,O,O,O
LIOZSTJ,O,O,X,O,X,O,O,O,O
LIOZSJT,O,O,X,O,X,O,O,O,O
LJTISZO,X,X,X,O,X,X,O,O,X
LJTISOZ,X,X,X,O,X,X,O,O,X
LJTIZSO,X,X,X,O,X,X,O,O,X
LJTIZOS,X,X,X,X,X,O,O,O,X
LJTIOSZ,X,X,X,X,X,O,O,O,X
LJTIOZS,X,X,X,X,X,O,O,O,X
LJTSIZO,X,X,X,O,O,X,X,O,O
LJTSIOZ,X,X,X,O,O,X,X,O,O
LJTSZIO,X,X,X,O,O,X,X,O,O
LJTSZOI,X,X,X,O,O,X,X,O,O
LJTSOIZ,X,X,X,O,O,X,X,O,O
LJTSOZI,X,X,X,O,O,X,X,O,O
LJTZISO,X,X,X,O,X,X,O,O,X
LJTZIOS,X,X,X,X,X,O,O,O,X
LJTZSIO,X,X,X,O,O,X,X,O,O
LJTZSOI,X,X,X,O,O,X,X,O,O
LJTZOIS,X,X,X,X,X,O,O,O,X
LJTZOSI,X,X,X,X,X,O,X,O,O
LJTOISZ,X,X,X,X,X,O,O,O,X
LJTOIZS,X,X,X,X,X,O,O,O,X
LJTOSIZ,X,X,X,X,X,O,X,O,O
LJTOSZI,X,X,X,X,X,O,X,O,O
LJTOZIS,X,X,X,X,X,O,O,O,X
LJTOZSI,X,X,X,X,X,O,X,O,O
LJITSZO,X,X,X,O,X,X,O,O,X
LJITSOZ,X,X,X,O,X,X,O,O,X
LJITZSO,X,X,X,O,X,X,O,O,X
LJITZOS,X,X,X,X,X,O,O,O,X
LJITOSZ,X,X,X,X,X,O,O,O,X
LJITOZS,X,X,X,X,X,O,O,O,X
LJISTZO,O,X,X,O,O,X,O,O,O
LJISTOZ,O,X,X,O,O,X,O,O,O
LJISZTO,O,X,X,O,O,X,O,O,O
LJISZOT,O,O,X,O,O,O,O,O,O
LJISOTZ,O,O,X,O,O,O,O,O,O
LJISOZT,O,O,X,O,O,O,O,O,O
LJIZTSO,X,X,X,O,X,X,O,O,X
LJIZTOS,X,X,X,X,X,O,O,O,X
LJIZSTO,O,X,X,O,O,X,O,O,O
LJIZSOT,O,O,X,O,O,O,O,O,O
LJIZOTS,X,O,X,X,X,O,O,O,X
LJIZOST,O,O,X,O,X,O,O,O,O
LJIOTSZ,X,O,X,X,X,O,O,O,X
LJIOTZS,X,O,X,X,X,O,O,O,X
LJIOSTZ,O,O,X,O,X,O,O,O,O
LJIOSZT,O,O,X,O,X,O,O,O,O
LJIOZTS,X,O,X,X,X,O,O,O,X
LJIOZST,O,O,X,O,X,O,O,O,O
LJSTIZO,O,X,X,O,O,X,X,O,O
LJSTIOZ,O,X,X,O,O,X,X,O,O
LJSTZIO,O,X,X,O,O,X,X,O,O
LJSTZOI,O,X,O,O,O,X,X,O,O
LJSTOIZ,O,X,O,O,O,X,X,O,O
LJSTOZI,O,X,O,O,O,X,X,O,O
LJSITZO,O,X,X,O,O,X,O,O,O
LJSITOZ,O,X,X,O,O,X,O,O,O
LJSIZTO,O,X,X,O,O,X,O,O,O
LJSIZOT,O,O,O,O,O,O,O,O,O
LJSIOTZ,O,O,O,O,O,O,O,O,O
LJSIOZT,O,O,O,O,O,O,O,O,O
LJSZTIO,O,X,X,O,O,X,X,O,O
LJSZTOI,O,X,O,O,O,X,X,O,O
LJSZITO,O,X,X,O,O,X,O,O,O
LJSZIOT,O,O,O,O,O,O,O,O,O
LJSZOTI,O,O,O,O,O,O,X,O,O
LJSZOIT,O,O,O,O,O,O,O,O,O
LJSOTIZ,O,O,O,O,O,O,X,O,O
LJSOTZI,O,O,O,O,O,O,X,O,O
LJSOITZ,O,O,O,O,O,O,O,O,O
LJSOIZT,O,O,O,O,O,O,O,O,O
LJSOZTI,O,O,O,O,O,O,X,O,O
LJSOZIT,O,O,O,O,O,O,O,O,O
LJZTISO,X,X,X,O,X,X,O,O,X
LJZTIOS,X,X,X,X,X,O,O,O,X
LJZTSIO,X,X,X,O,O,X,X,O,O
LJZTSOI,X,X,X,O,O,X,X,O,O
LJZTOIS,X,X,X,X,X,O,O,O,X
LJZTOSI,X,X,X,X,X,O,X,O,O
LJZITSO,X,X,X,O,X,X,O,O,X
LJZITOS,X,X,X,X,X,O,O,O,X
LJZISTO,O,X,X,O,O,X,O,O,O
LJZISOT,O,O,X,O,O,O,O,O,O
LJZIOTS,X,O,X,X,X,O,O,O,X
LJZIOST,O,O,X,O,X,O,O,O,O
LJZSTIO,O,X,X,O,O,X,X,O,O
LJZSTOI,O,X,O,O,O,X,X,O,O
LJZSITO,O,X,X,O,O,X,O,O,O
LJZSIOT,O,O,O,O,O,O,O,O,O
LJZSOTI,O,O,O,O,O,O,X,O,O
LJZSOIT,O,O,O,O,O,O,O,O,O
LJZOTIS,X,O,X,X,X,O,O,O,X
LJZOTSI,X,O,X,X,X,O,X,O,O
LJZOITS,X,O,X,X,X,O,O,O,X
LJZOIST,O,O,O,O,X,O,O,O,O
LJZOSTI,O,O,O,O,O,O,X,O,O
LJZOSIT,O,O,O,O,O,O,O,O,O
LJOTISZ,X,O,X,X,X,O,O,O,X
LJOTIZS,X,O,X,X,X,O,O,O,X
LJOTSIZ,X,O,X,X,X,O,X,O,O
LJOTSZI,X,O,X,X,X,O,X,O,O
LJOTZIS,X,O,X,X,X,O,O,O,X
LJOTZSI,X,O,X,X,X,O,X,O,O
LJOITSZ,X,O,X,X,X,O,O,O,X
LJOITZS,X,O,X,X,X,O,O,O,X
LJOISTZ,O,O,O,O,X,O,O,O,O
LJOISZT,O,O,O,O,X,O,O,O,O
LJOIZTS,X,O,X,X,X,O,O,O,X
LJOIZST,O,O,O,O,X,O,O,O,O
LJOSTIZ,O,O,O,O,O,O,X,O,O
LJOSTZI,O,O,O,O,O,O,X,O,O
LJOSITZ,O,O,O,O,O,O,O,O,O
LJOSIZT,O,O,O,O,O,O,O,O,O
LJOSZTI,O,O,O,O,O,O,X,O,O
LJOSZIT,O,O,O,O,O,O,O,O,O
LJOZTIS,X,O,X,X,X,O,O,O,X
LJOZTSI,X,O,X,X,X,O,X,O,O
LJOZITS,X,O,X,X,X,O,O,O,X
LJOZIST,O,O,O,O,X,O,O,O,O
LJOZSTI,O,O,O,O,O,O,X,O,O
LJOZSIT,O,O,O,O,O,O,O,O,O
LSTIJZO,O,X,X,O,O,X,X,O,O
LSTIJOZ,O,X,X,O,O,X,X,O,O
LSTIZJO,O,X,X,O,O,X,X,O,O
LSTIZOJ,O,X,X,O,O,X,X,O,O
LSTIOJZ,O,X,X,O,O,X,X,O,O
LSTIOZJ,O,X,X,O,O,X,X,O,O
LSTJIZO,O,X,X,O,O,X,X,O,O
LSTJIOZ,O,X,X,O,O,X,X,O,O
LSTJZIO,O,X,X,O,O,X,X,O,O
LSTJZOI,O,X,O,O,O,X,X,O,O
LSTJOIZ,O,X,O,O,O,X,X,O,O
LSTJOZI,O,X,O,O,O,X,X,O,O
LSTZIJO,O,X,X,O,O,X,X,O,O
LSTZIOJ,O,X,X,O,O,X,X,O,O
LSTZJIO,O,X,X,O,O,X,X,O,O
LSTZJOI,O,X,O,O,O,X,X,O,O
LSTZOIJ,O,X,O,O,O,X,X,O,O
LSTZOJI,O,X,O,O,O,X,X,O,O
LSTOIJZ,O,X,O,O,O,X,X,O,O
LSTOIZJ,O,X,O,O,O,X,X,O,O
LSTOJIZ,O,X,O,O,O,X,X,O,O
LSTOJZI,O,X,O,O,O,X,X,O,O
LSTOZIJ,O,X,O,O,O,X,X,O,O
LSTOZJI,O,X,O,O,O,X,X,O,O
LSITJZO,O,X,X,O,O,X,O,O,O
LSITJOZ,O,X,X,O,O,X,O,O,O
LSITZJO,O,X,X,O,O,X,O,O,O
LSITZOJ,O,X,X,O,O,X,O,O,O
LSITOJZ,O,X,X,O,O,X,O,O,O
LSITOZJ,O,X,X,O,O,X,O,O,O
LSIJTZO,O,X,X,O,O,X,O,O,O
LSIJTOZ,O,X,X,O,O,X,O,O,O
LSIJZTO,O,X,X,O,O,X,O,O,O
LSIJZOT,O,O,O,O,O,O,O,O,O
LSIJOTZ,O,O,O,O,O,O,O,O,O
LSIJOZT,O,O,O,O,O,O,O,O,O
LSIZTJO,O,X,X,O,O,X,O,O,O
LSIZTOJ,O,X,X,O,O,X,O,O,O
LSIZJTO,O,X,X,O,O,X,O,O,O
LSIZJOT,O,O,O,O,O,O,O,O,O
LSIZOTJ,O,O,O,O,O,O,O,O,O
LSIZOJT,O,O,O,O,O,O,O,O,O
LSIOTJZ,O,O,O,O,O,O,O,O,O
LSIOTZJ,O,O,O,O,O,O,O,O,O
LSIOJTZ,O,O,O,O,O,O,O,O,O
LSIOJZT,O,O,O,O,O,O,O,O,O
LSIOZTJ,O,O,O,O,O,O,O,O,O
LSIOZJT,O,O,O,O,O,O,O,O,O
LSJTIZO,O,X,X,O,O,X,X,O,O
LSJTIOZ,O,X,X,O,O,X,X,O,O
LSJTZIO,O,X,X,O,O,X,X,O,O
LSJTZOI,O,X,O,O,O,X,X,O,O
LSJTOIZ,O,X,O,O,O,X,X,O,O
LSJTOZI,O,X,O,O,O,X,X,O,O
LSJITZO,O,X,X,O,O,X,O,O,O
LSJITOZ,O,X,X,O,O,X,O,O,O
LSJIZTO,O,X,X,O,O,X,O,O,O
LSJIZOT,O,O,O,O,O,O,O,O,O
LSJIOTZ,O,O,O,O,O,O,O,O,O
LSJIOZT,O,O,O,O,O,O,O,O,O
LSJZTIO,O,X,X,O,O,X,X,O,O
LSJZTOI,O,X,O,O,O,X,X,O,O
LSJZITO,O,X,X,O,O,X,O,O,O
LSJZIOT,O,O,O,O,O,O,O,O,O
LSJZOTI,O,O,O,O,O,O,X,O,O
LSJZOIT,O,O,O,O,O,O,O,O,O
LSJOTIZ,O,O,O,O,O,O,X,O,O
LSJOTZI,O,O,O,O,O,O,X,O,O
LSJOITZ,O,O,O,O,O,O,O,O,O
LSJOIZT,O,O,O,O,O,O,O,O,O
LSJOZTI,O,O,O,O,O,O,X,O,O
LSJOZIT,O,O,O,O,O,O,O,O,O
LSZTIJO,O,X,X,O,O,X,X,O,O
LSZTIOJ,O,X,X,O,O,X,X,O,O
LSZTJIO,O,X,X,O,O,X,X,O,O
LSZTJOI,O,X,O,O,O,X,X,O,O
LSZTOIJ,O,X,O,O,O,X,X,O,O
LSZTOJI,O,X,O,O,O,X,X,O,O
LSZITJO,O,X,X,O,O,X,O,O,O
LSZITOJ,O,X,X,O,O,X,O,O,O
LSZIJTO,O,X,X,O,O,X,O,O,O
LSZIJOT,O,O,O,O,O,O,O,O,O
LSZIOTJ,O,O,O,O,O,O,O,O,O
LSZIOJT,O,O,O,O,O,O,O,O,O
LSZJTIO,O,X,X,O,O,X,X,O,O
LSZJTOI,O,X,O,O,O,X,X,O,O
LSZJITO,O,X,X,O,O,X,O,O,O
LSZJIOT,O,O,O,O,O,O,O,O,O
LSZJOTI,O,O,O,O,O,O,X,O,O
LSZJOIT,O,O,O,O,O,O,O,O,O
LSZOTIJ,O,O,O,O,O,O,X,O,O
LSZOTJI,O,O,O,O,O,O,X,O,O
LSZOITJ,O,O,O,O,O,O,O,O,O
LSZOIJT,O,O,O,O,O,O,O,O,O
LSZOJTI,O,O,O,O,O,O,X,O,O
LSZOJIT,O,O,O,O,O,O,O,O,O
LSOTIJZ,O,O,O,O,O,O,X,O,O
LSOTIZJ,O,O,O,O,O,O,X,O,O
LSOTJIZ,O,O,O,O,O,O,X,O,O
LSOTJZI,O,O,O,O,O,O,X,O,O
LSOTZIJ,O,O,O,O,O,O,X,O,O
LSOTZJI,O,O,O,O,O,O,X,O,O
LSOITJZ,O,O,O,O,O,O,O,O,O
LSOITZJ,O,O,O,O,O,O,O,O,O
LSOIJTZ,O,O,O,O,O,O,O,O,O
LSOIJZT,O,O,O,O,O,O,O,O,O
LSOIZTJ,O,O,O,O,O,O,O,O,O
LSOIZJT,O,O,O,O,O,O,O,O,O
LSOJTIZ,O,O,O,O,O,O,X,O,O
LSOJTZI,O,O,O,O,O,O,X,O,O
LSOJITZ,O,O,O,O,O,O,O,O,O
LSOJIZT,O,O,O,O,O,O,O,O,O
LSOJZTI,O,O,O,O,O,O,X,O,O
LSOJZIT,O,O,O,O,O,O,O,O,O
LSOZTIJ,O,O,O,O,O,O,X,O,O
LSOZTJI,O,O,O,O,O,O,X,O,O
LSOZITJ,O,O,O,O,O,O,O,O,O
LSOZIJT,O,O,O,O,O,O,O,O,O
LSOZJTI,O,O,O,O,O,O,X,O,O
LSOZJIT,O,O,O,O,O,O,O,O,O
LZTIJSO,X,X,X,O,X,X,O,O,X
LZTIJOS,X,X,X,X,X,O,O,O,X
LZTISJO,X,X,X,O,X,X,O,O,X
LZTISOJ,X,X,X,O,X,X,O,O,X
LZTIOJS,X,X,X,X,X,O,O,O,X
LZTIOSJ,X,X,X,X,X,O,O,O,X
LZTJISO,X,X,X,O,X,X,O,O,X
LZTJIOS,X,X,X,X,X,O,O,O,X
LZTJSIO,X,X,X,O,O,X,X,O,O
LZTJSOI,X,X,X,O,O,X,X,O,O
LZTJOIS,X,X,X,X,X,O,O,O,X
LZTJOSI,X,X,X,X,X,O,X,O,O
LZTSIJO,X,X,X,O,O,X,X,O,O
LZTSIOJ,X,X,X,O,O,X,X,O,O
LZTSJIO,X,X,X,O,O,X,X,O,O
LZTSJOI,X,X,X,O,O,X,X,O,O
LZTSOIJ,X,X,X,O,O,X,X,O,O
LZTSOJI,X,X,X,O,O,X,X,O,O
LZTOIJS,X,X,X,X,X,O,O,O,X
LZTOISJ,X,X,X,X,X,O,O,O,X
LZTOJIS,X,X,X,X,X,O,O,O,X
LZTOJSI,X,X,X,X,X,O,X,O,O
LZTOSIJ,X,X,X,X,X,O,X,O,O
LZTOSJI,X,X,X,X,X,O,X,O,O
LZITJSO,X,X,X,O,X,X,O,O,X
LZITJOS,X,X,X,X,X,O,O,O,X
LZITSJO,X,X,X,O,X,X,O,O,X
LZITSOJ,X,X,X,O,X,X,O,O,X
LZITOJS,X,X,X,X,X,O,O,O,X
LZITOSJ,X,X,X,X,X,O,O,O,X
LZIJTSO,X,X,X,O,X,X,O,O,X
LZIJTOS,X,X,X,X,X,O,O,O,X
LZIJSTO,O,X,X,O,O,X,O,O,O
LZIJSOT,O,O,X,O,O,O,O,O,O
LZIJOTS,X,O,X,X,X,O,O,O,X
LZIJOST,O,O,X,O,X,O,O,O,O
LZISTJO,O,X,X,O,O,X,O,O,O
LZISTOJ,O,X,X,O,O,X,O,O,O
LZISJTO,O,X,X,O,O,X,O,O,O
LZISJOT,O,O,X,O,O,O,O,O,O
LZISOTJ,O,O,X,O,O,O,O,O,O
LZISOJT,O,O,X,O,O,O,O,O,O
LZIOTJS,X,O,X,X,X,O,O,O,X
LZIOTSJ,X,O,X,X,X,O,O,O,X
LZIOJTS,X,O,X,X,X,O,O,O,X
LZIOJST,O,O,X,O,X,O,O,O,O
LZIOSTJ,O,O,X,O,X,O,O,O,O
LZIOSJT,O,O,X,O,X,O,O,O,O
LZJTISO,X,X,X,O,X,X,O,O,X
LZJTIOS,X,X,X,X,X,O,O,O,X
LZJTSIO,X,X,X,O,O,X,X,O,O
LZJTSOI,X,X,X,O,O,X,X,O,O
LZJTOIS,X,X,X,X,X,O,O,O,X
LZJTOSI,X,X,X,X,X,O,X,O,O
LZJITSO,X,X,X,O,X,X,O,O,X
LZJITOS,X,X,X,X,X,O,O,O,X
LZJISTO,O,X,X,O,O,X,O,O,O
LZJISOT,O,O,X,O,O,O,O,O,O
LZJIOTS,X,O,X,X,X,O,O,O,X
LZJIOST,O,O,X,O,X,O,O,O,O
LZJSTIO,O,X,X,O,O,X,X,O,O
LZJSTOI,O,X,O,O,O,X,X,O,O
LZJSITO,O,X,X,O,O,X,O,O,O
LZJSIOT,O,O,O,O,O,O,O,O,O
LZJSOTI,O,O,O,O,O,O,X,O,O
LZJSOIT,O,O,O,O,O,O,O,O,O
LZJOTIS,X,O,X,X,X,O,O,O,X
LZJOTSI,X,O,X,X,X,O,X,O,O
LZJOITS,X,O,X,X,X,O,O,O,X
LZJOIST,O,O,O,O,X,O,O,O,O
LZJOSTI,O,O,O,O,O,O,X,O,O
LZJOSIT,O,O,O,O,O,O,O,O,O
LZSTIJO,O,X,X,O,O,X,X,O,O
LZSTIOJ,O,X,X,O,O,X,X,O,O
LZSTJIO,O,X,X,O,O,X,X,O,O
LZSTJOI,O,X,O,O,O,X,X,O,O
LZSTOIJ,O,X,O,O,O,X,X,O,O
LZSTOJI,O,X,O,O,O,X,X,O,O
LZSITJO,O,X,X,O,O,X,O,O,O
LZSITOJ,O,X,X,O,O,X,O,O,O
LZSIJTO,O,X,X,O,O,X,O,O,O
LZSIJOT,O,O,O,O,O,O,O,O,O
LZSIOTJ,O,O,O,O,O,O,O,O,O
LZSIOJT,O,O,O,O,O,O,O,O,O
LZSJTIO,O,X,X,O,O,X,X,O,O
LZSJTOI,O,X,O,O,O,X,X,O,O
LZSJITO,O,X,X,O,O,X,O,O,O
LZSJIOT,O,O,O,O,O,O,O,O,O
LZSJOTI,O,O,O,O,O,O,X,O,O
LZSJOIT,O,O,O,O,O,O,O,O,O
LZSOTIJ,O,O,O,O,O,O,X,O,O
LZSOTJI,O,O,O,O,O,O,X,O,O
LZSOITJ,O,O,O,O,O,O,O,O,O
LZSOIJT,O,O,O,O,O,O,O,O,O
LZSOJTI,O,O,O,O,O,O,X,O,O
LZSOJIT,O,O,O,O,O,O,O,O,O
LZOTIJS,X,O,X,X,X,O,O,O,X
LZOTISJ,X,O,X,X,X,O,O,O,X
LZOTJIS,X,O,X,X,X,O,O,O,X
LZOTJSI,X,O,X,X,X,O,X,O,O
LZOTSIJ,X,O,X,X,X,O,X,O,O
LZOTSJI,X,O,X,X,X,O,X,O,O
LZOITJS,X,O,X,X,X,O,O,O,X
LZOITSJ,X,O,X,X,X,O,O,O,X
LZOIJTS,X,O,X,X,X,O,O,O,X
LZOIJST,O,O,O,O,X,O,O,O,O
LZOISTJ,O,O,O,O,X,O,O,O,O
LZOISJT,O,O,O,O,X,O,O,O,O
LZOJTIS,X,O,X,X,X,O,O,O,X
LZOJTSI,X,O,X,X,X,O,X,O,O
LZOJITS,X,O,X,X,X,O,O,O,X
LZOJIST,O,O,O,O,X,O,O,O,O
LZOJSTI,O,O,O,O,O,O,X,O,O
LZOJSIT,O,O,O,O,O,O,O,O,O
LZOSTIJ,O,O,O,O,O,O,X,O,O
LZOSTJI,O,O,O,O,O,O,X,O,O
LZOSITJ,O,O,O,O,O,O,O,O,O
LZOSIJT,O,O,O,O,O,O,O,O,O
LZOSJTI,O,O,O,O,O,O,X,O,O
LZOSJIT,O,O,O,O,O,O,O,O,O
LOTIJSZ,X,O,X,X,X,O,O,O,X
LOTIJZS,X,O,X,X,X,O,O,O,X
LOTISJZ,X,O,X,X,X,O,O,O,X
LOTISZJ,X,O,X,X,X,O,O,O,X
LOTIZJS,X,O,X,X,X,O,O,O,X
LOTIZSJ,X,O,X,X,X,O,O,O,X
LOTJISZ,X,O,X,X,X,O,O,O,X
