sequence,v115@GhA8IeC8GeF8BeA8AeA8Jei/IvhFTiBZoBUlBFmBGm?BXsB,v115@GhA8IeC8GeF8BeA8AeA8Je2EJvhFRgBzhB3lB1sB0r?BatB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhF0gBSnBZoB2qBlm?BXsB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhF3gBFiBZoB6rBcs?B2vB,v115@GhA8IeC8GeF8BeA8AeA8Jei/IvhFmiBUlBRmBftBFm?BzrB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhFlgB3hBZoB2qBCs?BcsB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhFKlBfmBZoBWsBcs?BlrB,v115@GhA8IeC8GeF8BeA8AeA8Je2EJvhFRgB3hB1qB0nBzr?BatB
JTZISLO,O,O,O,X,X,X,X,X
JTZISOL,O,O,O,X,X,X,X,X
JTZIOLS,X,X,X,X,X,O,X,O
JTZIOSL,X,O,O,X,X,X,X,O
JTZLISO,O,X,X,X,X,O,X,X
JTZLIOS,X,X,X,X,X,O,X,X
JTZLSIO,O,O,X,X,X,X,X,X
JTZLSOI,O,O,X,X,X,X,X,X
JTZLOIS,X,X,X,X,X,O,X,X
JTZLOSI,X,O,X,X,X,X,X,X
JTZSILO,O,O,O,X,X,X,X,X
JTZSIOL,O,O,O,X,X,X,X,X
JTZSLIO,O,O,O,X,X,X,X,X
JTZSLOI,O,O,O,X,X,X,X,X
JTZSOIL,O,O,O,X,X,X,X,X
JTZSOLI,O,O,O,X,X,X,X,X
JTZOILS,X,X,X,X,X,O,X,O
JTZOISL,X,O,O,X,X,X,X,O
JTZOLIS,X,X,X,X,X,O,X,O
JTZOLSI,X,O,X,X,X,X,X,O
JTZOSIL,X,O,O,X,X,X,X,O
JTZOSLI,X,O,O,X,X,X,X,O
JTOILSZ,X,X,X,X,X,O,O,O
JTOILZS,X,X,X,X,X,O,X,O
JTOISLZ,X,X,O,X,X,O,X,O
JTOISZL,X,O,O,X,X,X,X,O
JTOIZLS,X,X,X,X,X,O,X,O
JTOIZSL,X,X,O,X,X,X,X,O
JTOLISZ,X,X,X,X,X,O,O,O
JTOLIZS,X,X,X,X,X,O,X,O
JTOLSIZ,X,X,X,X,X,O,O,O
JTOLSZI,X,X,X,X,X,X,X,O
JTOLZIS,X,X,X,X,X,O,X,O
JTOLZSI,X,X,X,X,X,X,X,O
JTOSILZ,X,X,O,X,X,O,X,O
JTOSIZL,X,O,O,X,X,X,X,O
JTOSLIZ,X,X,O,X,X,O,X,O
JTOSLZI,X,X,O,X,X,X,X,O
JTOSZIL,X,O,O,X,X,X,X,O
JTOSZLI,X,O,O,X,X,X,X,O
JTOZILS,X,X,X,X,X,O,X,O
JTOZISL,X,O,O,X,X,X,X,O
JTOZLIS,X,X,X,X,X,O,X,O
JTOZLSI,X,O,X,X,X,X,X,O
JTOZSIL,X,O,O,X,X,X,X,O
JTOZSLI,X,O,O,X,X,X,X,O
JITLSZO,X,O,X,X,X,O,O,X
JITLSOZ,X,X,X,X,X,O,O,X
JITLZSO,X,X,X,X,X,O,X,X
JITLZOS,X,X,X,X,X,O,X,X
JITLOSZ,X,X,X,X,X,O,O,O
JITLOZS,X,X,X,X,X,O,X,O
JITSLZO,X,O,O,X,X,O,O,X
JITSLOZ,X,X,O,X,X,O,O,X
JITSZLO,O,O,O,X,X,X,X,X
JITSZOL,O,O,O,X,X,X,X,X
JITSOLZ,X,X,O,X,X,O,X,O
JITSOZL,O,O,O,X,X,X,X,O
JITZLSO,O,X,X,X,X,O,X,X
JITZLOS,X,X,X,X,X,O,X,X
JITZSLO,O,O,O,X,X,X,X,X
JITZSOL,O,O,O,X,X,X,X,X
JITZOLS,X,X,X,X,X,O,X,O
JITZOSL,X,O,O,X,X,X,X,O
JITOLSZ,X,X,X,X,X,O,O,O
JITOLZS,X,X,X,X,X,O,X,O
JITOSLZ,X,X,O,X,X,O,X,O
JITOSZL,X,O,O,X,X,X,X,O
JITOZLS,X,X,X,X,X,O,X,O
JITOZSL,X,X,O,X,X,X,X,O
JILTSZO,X,O,X,X,X,O,O,X
JILTSOZ,X,X,X,X,X,O,O,X
JILTZSO,X,X,X,X,X,O,X,X
JILTZOS,X,X,X,X,X,O,X,X
JILTOSZ,X,X,X,X,X,O,O,O
JILTOZS,X,X,X,X,X,O,X,O
JILSTZO,X,O,O,X,X,O,O,X
JILSTOZ,X,X,O,X,X,O,O,X
JILSZTO,O,O,O,O,X,O,O,X
JILSZOT,O,O,O,O,X,O,O,X
JILSOTZ,X,X,O,X,X,O,O,X
JILSOZT,O,X,O,O,X,O,O,X
JILZTSO,O,X,X,O,X,O,X,X
JILZTOS,X,X,X,O,X,O,X,X
JILZSTO,O,X,O,O,X,O,O,X
JILZSOT,O,X,O,O,X,O,O,X
JILZOTS,X,X,X,O,X,O,X,X
JILZOST,X,X,O,O,X,O,O,X
JILOTSZ,X,X,X,X,X,O,O,X
JILOTZS,X,X,X,X,X,O,X,X
JILOSTZ,X,X,O,X,X,O,O,X
JILOSZT,X,X,O,O,X,O,O,X
JILOZTS,X,X,X,O,X,O,X,X
JILOZST,X,X,O,O,X,O,O,X
JISTLZO,X,O,O,X,X,O,O,X
JISTLOZ,X,X,O,X,X,O,O,X
JISTZLO,O,O,O,X,X,X,X,X
JISTZOL,O,O,O,X,X,X,X,X
JISTOLZ,X,X,O,X,X,O,X,O
JISTOZL,O,O,O,X,X,X,X,O
JISLTZO,X,O,O,X,X,O,O,X
JISLTOZ,X,X,O,X,X,O,O,X
JISLZTO,O,O,O,X,X,O,O,X
JISLZOT,O,O,O,X,X,O,O,X
JISLOTZ,X,X,O,X,X,O,O,X
JISLOZT,O,X,O,X,X,O,O,X
JISZTLO,O,O,O,X,X,X,X,X
JISZTOL,O,O,O,X,X,X,X,X
JISZLTO,O,O,O,X,X,X,O,X
JISZLOT,O,O,O,X,X,X,O,X
JISZOTL,O,O,O,X,X,X,X,X
JISZOLT,O,O,O,X,X,X,X,X
JISOTLZ,X,X,O,X,X,O,X,X
JISOTZL,O,O,O,X,X,X,X,X
JISOLTZ,X,X,O,X,X,O,O,X
JISOLZT,O,X,O,X,X,O,O,X
JISOZTL,O,O,O,X,X,X,X,X
JISOZLT,O,O,O,X,X,X,X,X
JIZTLSO,O,X,X,O,X,O,X,X
JIZTLOS,X,X,X,O,X,O,X,X
JIZTSLO,O,O,O,X,X,X,X,X
JIZTSOL,O,O,O,X,X,X,X,X
JIZTOLS,X,X,X,O,X,O,X,O
JIZTOSL,X,O,O,X,X,X,X,O
JIZLTSO,O,X,X,O,X,O,X,X
JIZLTOS,X,X,X,O,X,O,X,X
JIZLSTO,O,X,O,O,X,O,O,X
JIZLSOT,O,X,O,O,X,O,O,X
JIZLOTS,X,X,X,O,X,O,X,X
JIZLOST,X,X,O,O,X,O,O,X
JIZSTLO,O,O,O,X,X,X,X,X
JIZSTOL,O,O,O,X,X,X,X,X
JIZSLTO,O,O,O,X,X,X,O,X
JIZSLOT,O,O,O,X,X,X,O,X
JIZSOTL,O,O,O,X,X,X,X,X
JIZSOLT,O,O,O,X,X,X,X,X
JIZOTLS,X,X,X,O,X,O,X,X
JIZOTSL,X,O,O,X,X,X,X,X
JIZOLTS,X,X,X,O,X,O,X,X
JIZOLST,X,X,O,O,X,O,O,X
JIZOSTL,X,O,O,X,X,X,X,X
JIZOSLT,X,O,O,X,X,X,X,X
JIOTLSZ,X,X,X,X,X,O,O,O
JIOTLZS,X,X,X,X,X,O,X,O
JIOTSLZ,X,X,O,X,X,O,X,O
JIOTSZL,X,O,O,X,X,X,X,O
JIOTZLS,X,X,X,X,X,O,X,O
JIOTZSL,X,X,O,X,X,X,X,O
JIOLTSZ,X,X,X,X,X,O,O,X
JIOLTZS,X,X,X,X,X,O,X,X
JIOLSTZ,X,X,O,X,X,O,O,X
JIOLSZT,X,X,O,O,X,O,O,X
JIOLZTS,X,X,X,O,X,O,X,X
JIOLZST,X,X,O,O,X,O,O,X
JIOSTLZ,X,X,O,X,X,O,X,X
JIOSTZL,X,O,O,X,X,X,X,X
JIOSLTZ,X,X,O,X,X,O,O,X
JIOSLZT,X,X,O,X,X,O,O,X
JIOSZTL,X,O,O,X,X,X,X,X
JIOSZLT,X,O,O,X,X,X,X,X
JIOZTLS,X,X,X,O,X,O,X,X
JIOZTSL,X,X,O,X,X,X,X,X
JIOZLTS,X,X,X,O,X,O,X,X
JIOZLST,X,X,O,O,X,O,O,X
JIOZSTL,X,X,O,X,X,X,X,X
JIOZSLT,X,X,O,X,X,X,X,X
JLTISZO,X,O,X,X,X,O,O,X
JLTISOZ,X,X,X,X,X,O,O,X
JLTIZSO,X,X,X,X,X,O,X,X
JLTIZOS,X,X,X,X,X,O,X,X
JLTIOSZ,X,X,X,X,X,O,O,O
JLTIOZS,X,X,X,X,X,O,X,O
JLTSIZO,X,O,X,X,X,O,O,X
JLTSIOZ,X,X,X,X,X,O,O,X
JLTSZIO,X,O,X,X,X,X,X,X
JLTSZOI,X,O,X,X,X,X,X,X
JLTSOIZ,X,X,X,X,X,O,O,X
JLTSOZI,X,X,X,X,X,X,X,X
JLTZISO,X,X,X,X,X,O,X,X
JLTZIOS,X,X,X,X,X,O,X,X
JLTZSIO,X,O,X,X,X,X,X,X
JLTZSOI,X,O,X,X,X,X,X,X
JLTZOIS,X,X,X,X,X,O,X,X
JLTZOSI,X,O,X,X,X,X,X,X
JLTOISZ,X,X,X,X,X,O,O,O
JLTOIZS,X,X,X,X,X,O,X,O
JLTOSIZ,X,X,X,X,X,O,O,O
JLTOSZI,X,X,X,X,X,X,X,O
JLTOZIS,X,X,X,X,X,O,X,O
JLTOZSI,X,X,X,X,X,X,X,O
JLITSZO,X,O,X,X,X,O,O,X
JLITSOZ,X,X,X,X,X,O,O,X
JLITZSO,X,X,X,X,X,O,X,X
JLITZOS,X,X,X,X,X,O,X,X
JLITOSZ,X,X,X,X,X,O,O,O
JLITOZS,X,X,X,X,X,O,X,O
JLISTZO,X,O,O,X,X,O,O,X
JLISTOZ,X,X,O,X,X,O,O,X
JLISZTO,O,O,O,O,X,O,O,X
JLISZOT,O,O,O,O,X,O,O,X
JLISOTZ,X,X,O,X,X,O,O,X
JLISOZT,O,X,O,O,X,O,O,X
JLIZTSO,O,X,X,O,X,O,X,X
JLIZTOS,X,X,X,O,X,O,X,X
JLIZSTO,O,X,O,O,X,O,O,X
JLIZSOT,O,X,O,O,X,O,O,X
JLIZOTS,X,X,X,O,X,O,X,X
JLIZOST,X,X,O,O,X,O,O,X
JLIOTSZ,X,X,X,X,X,O,O,X
JLIOTZS,X,X,X,X,X,O,X,X
JLIOSTZ,X,X,O,X,X,O,O,X
JLIOSZT,X,X,O,O,X,O,O,X
JLIOZTS,X,X,X,O,X,O,X,X
JLIOZST,X,X,O,O,X,O,O,X
JLSTIZO,X,O,O,X,X,O,O,X
JLSTIOZ,X,X,O,X,X,O,O,X
JLSTZIO,X,O,O,X,O,X,X,X
JLSTZOI,X,O,O,X,O,X,X,X
JLSTOIZ,X,X,O,X,X,O,O,X
JLSTOZI,X,X,O,X,O,X,X,X
JLSITZO,X,O,O,X,X,O,O,X
JLSITOZ,X,X,O,X,X,O,O,X
JLSIZTO,O,O,O,O,O,O,O,X
JLSIZOT,O,O,O,O,O,O,O,X
JLSIOTZ,X,X,O,X,X,O,O,X
JLSIOZT,O,X,O,O,O,O,O,X
JLSZTIO,O,O,O,O,O,X,X,X
JLSZTOI,O,O,O,O,O,X,X,X
JLSZITO,O,O,O,O,O,X,O,X
JLSZIOT,O,O,O,O,O,X,O,X
JLSZOTI,O,O,O,O,O,X,X,X
JLSZOIT,O,O,O,O,O,X,O,X
JLSOTIZ,X,X,O,X,X,O,O,X
JLSOTZI,X,X,O,X,O,X,X,X
JLSOITZ,X,X,O,X,X,O,O,X
JLSOIZT,O,X,O,O,O,O,O,X
JLSOZTI,O,X,O,O,O,X,X,X
JLSOZIT,O,X,O,O,O,X,O,X
JLZTISO,O,X,X,O,X,O,X,X
JLZTIOS,X,X,X,O,X,O,X,X
JLZTSIO,O,O,X,O,X,X,X,X
JLZTSOI,O,O,X,O,X,X,X,X
JLZTOIS,X,X,X,O,X,O,X,X
JLZTOSI,X,O,X,O,X,X,X,X
JLZITSO,O,X,X,O,X,O,X,X
JLZITOS,X,X,X,O,X,O,X,X
JLZISTO,O,X,O,O,O,O,O,X
JLZISOT,O,X,O,O,O,O,O,X
JLZIOTS,X,X,X,O,X,O,X,X
JLZIOST,X,X,O,O,X,O,O,X
JLZSTIO,O,O,O,O,O,X,X,X
JLZSTOI,O,O,O,O,O,X,X,X
JLZSITO,O,O,O,O,O,X,O,X
JLZSIOT,O,O,O,O,O,X,O,X
JLZSOTI,O,O,O,O,O,X,X,X
JLZSOIT,O,O,O,O,O,X,O,X
JLZOTIS,X,X,X,O,X,O,X,X
JLZOTSI,X,O,X,O,X,X,X,X
JLZOITS,X,X,X,O,X,O,X,X
JLZOIST,X,X,O,O,O,O,O,X
JLZOSTI,X,O,O,O,O,X,X,X
JLZOSIT,X,O,O,O,O,X,O,X
JLOTISZ,X,X,X,X,X,O,O,X
JLOTIZS,X,X,X,X,X,O,X,X
JLOTSIZ,X,X,X,X,X,O,O,X
JLOTSZI,X,X,X,X,X,X,X,X
JLOTZIS,X,X,X,X,X,O,X,X
JLOTZSI,X,X,X,X,X,X,X,X
JLOITSZ,X,X,X,X,X,O,O,X
JLOITZS,X,X,X,X,X,O,X,X
JLOISTZ,X,X,O,X,X,O,O,X
JLOISZT,X,X,O,O,X,O,O,X
JLOIZTS,X,X,X,O,X,O,X,X
JLOIZST,X,X,O,O,X,O,O,X
JLOSTIZ,X,X,O,X,X,O,O,X
JLOSTZI,X,X,O,X,O,X,X,X
JLOSITZ,X,X,O,X,X,O,O,X
JLOSIZT,X,X,O,O,O,O,O,X
JLOSZTI,X,X,O,O,O,X,X,X
JLOSZIT,X,X,O,O,O,X,O,X
JLOZTIS,X,X,X,O,X,O,X,X
JLOZTSI,X,X,X,O,X,X,X,X
JLOZITS,X,X,X,O,X,O,X,X
JLOZIST,X,X,O,O,O,O,O,X
JLOZSTI,X,X,O,O,O,X,X,X
JLOZSIT,X,X,O,O,O,X,O,X
JSTILZO,X,O,O,X,X,O,O,X
JSTILOZ,X,X,O,X,X,O,O,X
JSTIZLO,O,O,O,X,X,X,X,X
JSTIZOL,O,O,O,X,X,X,X,X
JSTIOLZ,X,X,O,X,X,O,X,O
JSTIOZL,O,O,O,X,X,X,X,O
JSTLIZO,X,O,O,X,X,O,O,X
JSTLIOZ,X,X,O,X,X,O,O,X
JSTLZIO,X,O,O,X,O,X,X,X
JSTLZOI,X,O,O,X,O,X,X,X
JSTLOIZ,X,X,O,X,X,O,O,X
JSTLOZI,X,X,O,X,O,X,X,X
JSTZILO,O,O,O,X,O,X,X,X
JSTZIOL,O,O,O,X,X,X,X,X
JSTZLIO,O,O,O,X,O,X,X,X
JSTZLOI,O,O,O,X,O,X,X,X
JSTZOIL,O,O,O,X,O,X,X,X
JSTZOLI,O,O,O,X,O,X,X,X
JSTOILZ,X,X,O,X,X,O,X,O
JSTOIZL,O,O,O,X,O,X,X,O
JSTOLIZ,X,X,O,X,X,O,X,O
JSTOLZI,X,X,O,X,O,X,X,O
JSTOZIL,O,O,O,X,O,X,X,O
JSTOZLI,O,O,O,X,O,X,X,O
JSITLZO,X,O,O,X,X,O,O,X
JSITLOZ,X,X,O,X,X,O,O,X
JSITZLO,O,O,O,X,X,X,X,X
JSITZOL,O,O,O,X,X,X,X,X
JSITOLZ,X,X,O,X,X,O,X,O
JSITOZL,O,O,O,X,X,X,X,O
JSILTZO,X,O,O,X,X,O,O,X
JSILTOZ,X,X,O,X,X,O,O,X
JSILZTO,O,O,O,X,O,O,O,X
JSILZOT,O,O,O,X,O,O,O,X
JSILOTZ,X,X,O,X,X,O,O,X
JSILOZT,O,X,O,X,O,O,O,X
JSIZTLO,O,O,O,X,O,X,X,X
JSIZTOL,O,O,O,X,X,X,X,X
JSIZLTO,O,O,O,X,O,X,O,X
JSIZLOT,O,O,O,X,O,X,O,X
JSIZOTL,O,O,O,X,O,X,X,X
JSIZOLT,O,O,O,X,O,X,X,X
JSIOTLZ,X,X,O,X,X,O,X,X
JSIOTZL,O,O,O,X,O,X,X,X
JSIOLTZ,X,X,O,X,X,O,O,X
JSIOLZT,O,X,O,X,O,O,O,X
JSIOZTL,O,O,O,X,O,X,X,X
JSIOZLT,O,O,O,X,O,X,X,X
JSLTIZO,X,O,O,X,X,O,O,X
JSLTIOZ,X,X,O,X,X,O,O,X
JSLTZIO,X,O,O,X,O,X,X,X
JSLTZOI,X,O,O,X,O,X,X,X
JSLTOIZ,X,X,O,X,X,O,O,X
JSLTOZI,X,X,O,X,O,X,X,X
JSLITZO,X,O,O,X,X,O,O,X
JSLITOZ,X,X,O,X,X,O,O,X
JSLIZTO,O,O,O,X,O,O,O,X
JSLIZOT,O,O,O,X,O,O,O,X
JSLIOTZ,X,X,O,X,X,O,O,X
JSLIOZT,O,X,O,X,O,O,O,X
JSLZTIO,O,O,O,X,O,X,X,X
JSLZTOI,O,O,O,X,O,X,X,X
JSLZITO,O,O,O,X,O,X,O,X
JSLZIOT,O,O,O,X,O,X,O,X
JSLZOTI,O,O,O,X,O,X,X,X
JSLZOIT,O,O,O,X,O,X,O,X
JSLOTIZ,X,X,O,X,X,O,O,X
JSLOTZI,X,X,O,X,O,X,X,X
JSLOITZ,X,X,O,X,X,O,O,X
JSLOIZT,O,X,O,X,O,O,O,X
JSLOZTI,O,X,O,X,O,X,X,X
JSLOZIT,O,X,O,X,O,X,O,X
JSZTILO,O,O,O,X,O,X,X,X
JSZTIOL,O,O,O,X,X,X,X,X
JSZTLIO,O,O,O,X,O,X,X,X
JSZTLOI,O,O,O,X,O,X,X,X
JSZTOIL,O,O,O,X,O,X,X,X
JSZTOLI,O,O,O,X,O,X,X,X
JSZITLO,O,O,O,X,O,X,X,X
JSZITOL,O,O,O,X,X,X,X,X
JSZILTO,O,O,O,X,O,X,O,X
JSZILOT,O,O,O,X,O,X,O,X
JSZIOTL,O,O,O,X,O,X,X,X
JSZIOLT,O,O,O,X,O,X,X,X
JSZLTIO,O,O,O,X,O,X,X,X
JSZLTOI,O,O,O,X,O,X,X,X
JSZLITO,O,O,O,X,O,X,O,X
JSZLIOT,O,O,O,X,O,X,O,X
JSZLOTI,O,O,O,X,O,X,X,X
JSZLOIT,O,O,O,X,O,X,O,X
JSZOTIL,O,O,O,X,O,X,X,X
JSZOTLI,O,O,O,X,O,X,X,X
JSZOITL,O,O,O,X,O,X,X,X
JSZOILT,O,O,O,X,O,X,X,X
JSZOLTI,O,O,O,X,O,X,X,X
JSZOLIT,O,O,O,X,O,X,X,X
JSOTILZ,X,X,O,X,X,O,X,X
JSOTIZL,O,O,O,X,O,X,X,X
JSOTLIZ,X,X,O,X,X,O,X,X
JSOTLZI,X,X,O,X,O,X,X,X
JSOTZIL,O,O,O,X,O,X,X,X
JSOTZLI,O,O,O,X,O,X,X,X
JSOITLZ,X,X,O,X,X,O,X,X
JSOITZL,O,O,O,X,O,X,X,X
JSOILTZ,X,X,O,X,X,O,O,X
JSOILZT,O,X,O,X,O,O,O,X
JSOIZTL,O,O,O,X,O,X,X,X
JSOIZLT,O,O,O,X,O,X,X,X
JSOLTIZ,X,X,O,X,X,O,O,X
JSOLTZI,X,X,O,X,O,X,X,X
JSOLITZ,X,X,O,X,X,O,O,X
JSOLIZT,O,X,O,X,O,O,O,X
JSOLZTI,O,X,O,X,O,X,X,X
JSOLZIT,O,X,O,X,O,X,O,X
JSOZTIL,O,O,O,X,O,X,X,X
JSOZTLI,O,O,O,X,O,X,X,X
JSOZITL,O,O,O,X,O,X,X,X
JSOZILT,O,O,O,X,O,X,X,X
JSOZLTI,O,O,O,X,O,X,X,X
JSOZLIT,O,O,O,X,O,X,X,X
JZTILSO,O,X,X,O,X,O,X,X
JZTILOS,X,X,X,O,X,O,X,X
JZTISLO,O,O,O,X,X,X,X,X
JZTISOL,O,O,O,X,X,X,X,X
JZTIOLS,X,X,X,O,X,O,X,O
JZTIOSL,X,O,O,X,X,X,X,O
JZTLISO,O,X,X,O,X,O,X,X
JZTLIOS,X,X,X,O,X,O,X,X
JZTLSIO,O,O,X,O,X,X,X,X
JZTLSOI,O,O,X,O,X,X,X,X
JZTLOIS,X,X,X,O,X,O,X,X
JZTLOSI,X,O,X,O,X,X,X,X
JZTSILO,O,O,O,X,X,X,X,X
JZTSIOL,O,O,O,X,X,X,X,X
JZTSLIO,O,O,O,X,X,X,X,X
JZTSLOI,O,O,O,X,X,X,X,X
JZTSOIL,O,O,O,X,X,X,X,X
JZTSOLI,O,O,O,X,X,X,X,X
JZTOILS,X,X,X,O,X,O,X,O
JZTOISL,X,O,O,X,X,X,X,O
JZTOLIS,X,X,X,O,X,O,X,O
JZTOLSI,X,O,X,O,X,X,X,O
JZTOSIL,X,O,O,X,X,X,X,O
JZTOSLI,X,O,O,X,X,X,X,O
JZITLSO,O,X,X,O,X,O,X,X
JZITLOS,X,X,X,O,X,O,X,X
JZITSLO,O,O,O,X,X,X,X,X
JZITSOL,O,O,O,X,X,X,X,X
JZITOLS,X,X,X,O,X,O,X,O
JZITOSL,X,O,O,X,X,X,X,O
JZILTSO,O,X,X,O,X,O,X,X
JZILTOS,X,X,X,O,X,O,X,X
JZILSTO,O,X,O,O,O,O,O,X
JZILSOT,O,X,O,O,O,O,O,X
JZILOTS,X,X,X,O,X,O,X,X
JZILOST,X,X,O,O,X,O,O,X
JZISTLO,O,O,O,X,O,X,X,X
JZISTOL,O,O,O,X,X,X,X,X
JZISLTO,O,O,O,X,O,X,O,X
JZISLOT,O,O,O,X,O,X,O,X
JZISOTL,O,O,O,X,X,X,X,X
JZISOLT,O,O,O,X,O,X,X,X
JZIOTLS,X,X,X,O,X,O,X,X
JZIOTSL,X,O,O,X,X,X,X,X
JZIOLTS,X,X,X,O,X,O,X,X
JZIOLST,X,X,O,O,X,O,O,X
JZIOSTL,X,O,O,X,X,X,X,X
JZIOSLT,X,O,O,X,X,X,X,X
JZLTISO,O,X,X,O,X,O,X,X
JZLTIOS,X,X,X,O,X,O,X,X
JZLTSIO,O,O,X,O,X,X,X,X
JZLTSOI,O,O,X,O,X,X,X,X
JZLTOIS,X,X,X,O,X,O,X,X
JZLTOSI,X,O,X,O,X,X,X,X
JZLITSO,O,X,X,O,X,O,X,X
JZLITOS,X,X,X,O,X,O,X,X
JZLISTO,O,X,O,O,O,O,O,X
JZLISOT,O,X,O,O,O,O,O,X
JZLIOTS,X,X,X,O,X,O,X,X
JZLIOST,X,X,O,O,X,O,O,X
JZLSTIO,O,O,O,O,O,X,X,X
JZLSTOI,O,O,O,O,O,X,X,X
JZLSITO,O,O,O,O,O,X,O,X
JZLSIOT,O,O,O,O,O,X,O,X
JZLSOTI,O,O,O,O,O,X,X,X
JZLSOIT,O,O,O,O,O,X,O,X
JZLOTIS,X,X,X,O,X,O,X,X
JZLOTSI,X,O,X,O,X,X,X,X
JZLOITS,X,X,X,O,X,O,X,X
JZLOIST,X,X,O,O,O,O,O,X
JZLOSTI,X,O,O,O,O,X,X,X
JZLOSIT,X,O,O,O,O,X,O,X
JZSTILO,O,O,O,X,O,X,X,X
JZSTIOL,O,O,O,X,X,X,X,X
JZSTLIO,O,O,O,X,O,X,X,X
JZSTLOI,O,O,O,X,O,X,X,X
JZSTOIL,O,O,O,X,O,X,X,X
JZSTOLI,O,O,O,X,O,X,X,X
JZSITLO,O,O,O,X,O,X,X,X
JZSITOL,O,O,O,X,X,X,X,X
JZSILTO,O,O,O,X,O,X,O,X
JZSILOT,O,O,O,X,O,X,O,X
JZSIOTL,O,O,O,X,O,X,X,X
JZSIOLT,O,O,O,X,O,X,X,X
JZSLTIO,O,O,O,X,O,X,X,X
JZSLTOI,O,O,O,X,O,X,X,X
JZSLITO,O,O,O,X,O,X,O,X
JZSLIOT,O,O,O,X,O,X,O,X
JZSLOTI,O,O,O,X,O,X,X,X
JZSLOIT,O,O,O,X,O,X,O,X
JZSOTIL,O,O,O,X,O,X,X,X
JZSOTLI,O,O,O,X,O,X,X,X
JZSOITL,O,O,O,X,O,X,X,X
JZSOILT,O,O,O,X,O,X,X,X
JZSOLTI,O,O,O,X,O,X,X,X
JZSOLIT,O,O,O,X,O,X,X,X
JZOTILS,X,X,X,O,X,O,X,X
JZOTISL,X,O,O,X,X,X,X,X
JZOTLIS,X,X,X,O,X,O,X,X
JZOTLSI,X,O,X,O,X,X,X,X
JZOTSIL,X,O,O,X,X,X,X,X
JZOTSLI,X,O,O,X,X,X,X,X
JZOITLS,X,X,X,O,X,O,X,X
JZOITSL,X,O,O,X,X,X,X,X
JZOILTS,X,X,X,O,X,O,X,X
JZOILST,X,X,O,O,O,O,O,X
JZOISTL,X,O,O,X,O,X,X,X
JZOISLT,X,O,O,X,O,X,X,X
JZOLTIS,X,X,X,O,X,O,X,X
JZOLTSI,X,O,X,O,X,X,X,X
JZOLITS,X,X,X,O,X,O,X,X
JZOLIST,X,X,O,O,O,O,O,X
JZOLSTI,X,O,O,O,O,X,X,X
JZOLSIT,X,O,O,O,O,X,O,X
JZOSTIL,X,O,O,X,O,X,X,X
JZOSTLI,X,O,O,X,O,X,X,X
JZOSITL,X,O,O,X,O,X,X,X
JZOSILT,X,O,O,X,O,X,X,X
JZOSLTI,X,O,O,X,O,X,X,X
JZOSLIT,X,O,O,X,O,X,X,X
JOTILSZ,X,X,X,X,X,O,O,O
JOTILZS,X,X,X,X,X,O,X,O
JOTISLZ,X,X,O,X,X,O,X,O
JOTISZL,X,O,O,X,X,X,X,O
JOTIZLS,X,X,X,X,X,O,X,O
JOTIZSL,X,X,O,X,X,X,X,O
JOTLISZ,X,X,X,X,X,O,O,O
JOTLIZS,X,X,X,X,X,O,X,O
JOTLSIZ,X,X,X,X,X,O,O,O
JOTLSZI,X,X,X,X,X,X,X,O
JOTLZIS,X,X,X,X,X,O,X,O
JOTLZSI,X,X,X,X,X,X,X,O
JOTSILZ,X,X,O,X,X,O,X,O
JOTSIZL,X,O,O,X,X,X,X,O
JOTSLIZ,X,X,O,X,X,O,X,O
JOTSLZI,X,X,O,X,X,X,X,O
JOTSZIL,X,O,O,X,X,X,X,O
JOTSZLI,X,O,O,X,X,X,X,O
JOTZILS,X,X,X,X,X,O,X,O
JOTZISL,X,O,O,X,X,X,X,O
JOTZLIS,X,X,X,X,X,O,X,O
JOTZLSI,X,O,X,X,X,X,X,O
JOTZSIL,X,O,O,X,X,X,X,O
JOTZSLI,X,O,O,X,X,X,X,O
JOITLSZ,X,X,X,X,X,O,O,O
JOITLZS,X,X,X,X,X,O,X,O
JOITSLZ,X,X,O,X,X,O,X,O
JOITSZL,X,O,O,X,X,X,X,O
JOITZLS,X,X,X,X,X,O,X,O
JOITZSL,X,X,O,X,X,X,X,O
JOILTSZ,X,X,X,X,X,O,O,X
JOILTZS,X,X,X,X,X,O,X,X
JOILSTZ,X,X,O,X,X,O,O,X
JOILSZT,X,X,O,O,X,O,O,X
JOILZTS,X,X,X,O,X,O,X,X
JOILZST,X,X,O,O,X,O,O,X
JOISTLZ,X,X,O,X,X,O,X,X
JOISTZL,X,O,O,X,O,X,X,X
JOISLTZ,X,X,O,X,X,O,O,X
JOISLZT,X,X,O,X,O,O,O,X
JOISZTL,X,O,O,X,O,X,X,X
JOISZLT,X,O,O,X,O,X,X,X
JOIZTLS,X,X,X,O,X,O,X,X
JOIZTSL,X,X,O,X,X,X,X,X
JOIZLTS,X,X,X,O,X,O,X,X
JOIZLST,X,X,O,O,O,O,O,X
JOIZSTL,X,X,O,X,O,X,X,X
