sequence,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFTgBemBUnBF?oBCnBXtB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFTgBSoBlmBX?mBmnB0sB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFigBumB3iBz?lBlsBctB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhF/lBTjBimB1?sBGmB0sB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhF2lB/nBcoB1?rBCmBzsB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFqmB/nBcoBm?lBllBzsB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFqmB/nBcoBl?lBmlBzsB
LSITJOZ,X,X,X,O,X,X,X
LSITZJO,X,X,X,X,X,O,O
LSITZOJ,X,X,X,O,X,X,O
LSITOJZ,X,O,X,O,X,X,X
LSITOZJ,X,O,X,O,X,X,O
LSIJTZO,X,X,X,X,X,O,O
LSIJTOZ,X,X,X,O,X,X,X
LSIJZTO,X,X,X,X,X,O,O
LSIJZOT,X,X,X,X,X,O,X
LSIJOTZ,X,X,X,X,X,X,X
LSIJOZT,X,X,X,X,X,O,X
LSIZTJO,X,X,X,X,X,O,O
LSIZTOJ,X,X,X,O,X,X,O
LSIZJTO,X,X,X,X,X,O,O
LSIZJOT,X,X,X,X,X,O,X
LSIZOTJ,X,X,X,X,X,X,O
LSIZOJT,X,X,X,X,X,O,X
LSIOTJZ,X,O,O,O,X,X,X
LSIOTZJ,X,O,X,O,X,X,O
LSIOJTZ,X,X,O,X,X,X,X
LSIOJZT,X,X,X,X,X,O,X
LSIOZTJ,X,X,X,X,X,X,O
LSIOZJT,X,X,X,X,X,O,X
LSJTIZO,X,X,X,X,X,O,O
LSJTIOZ,X,X,X,O,X,X,X
LSJTZIO,X,X,X,X,X,O,O
LSJTZOI,X,X,X,X,X,X,X
LSJTOIZ,X,X,X,O,X,X,X
LSJTOZI,X,X,X,X,X,X,X
LSJITZO,X,X,X,X,X,O,O
LSJITOZ,X,X,X,O,X,X,X
LSJIZTO,X,X,X,X,X,O,O
LSJIZOT,X,X,X,X,X,O,X
LSJIOTZ,X,X,X,X,X,X,X
LSJIOZT,X,X,X,X,X,O,X
LSJZTIO,X,X,X,X,X,O,O
LSJZTOI,X,X,X,X,X,X,X
LSJZITO,X,X,X,X,X,O,O
LSJZIOT,X,X,X,X,X,O,X
LSJZOTI,X,X,X,X,X,X,X
LSJZOIT,X,X,X,X,X,O,X
LSJOTIZ,X,X,X,X,X,X,X
LSJOTZI,X,X,X,X,X,X,X
LSJOITZ,X,X,X,X,X,X,X
LSJOIZT,X,X,X,X,X,O,X
LSJOZTI,X,X,X,X,X,X,X
LSJOZIT,X,X,X,X,X,O,X
LSZTIJO,X,X,X,X,X,O,O
LSZTIOJ,X,X,X,O,X,X,O
LSZTJIO,X,X,X,X,X,O,O
LSZTJOI,X,X,X,X,X,X,X
LSZTOIJ,X,X,X,O,X,X,O
LSZTOJI,X,X,X,X,X,X,X
LSZITJO,X,X,X,X,X,O,O
LSZITOJ,X,X,X,O,X,X,O
LSZIJTO,X,X,X,X,X,O,O
LSZIJOT,X,X,X,X,X,O,X
LSZIOTJ,X,X,X,X,X,X,O
LSZIOJT,X,X,X,X,X,O,X
LSZJTIO,X,X,X,X,X,O,O
LSZJTOI,X,X,X,X,X,X,X
LSZJITO,X,X,X,X,X,O,O
LSZJIOT,X,X,X,X,X,O,X
LSZJOTI,X,X,X,X,X,X,X
LSZJOIT,X,X,X,X,X,O,X
LSZOTIJ,X,X,X,X,X,X,O
LSZOTJI,X,X,X,X,X,X,X
LSZOITJ,X,X,X,X,X,X,O
LSZOIJT,X,X,X,X,X,O,X
LSZOJTI,X,X,X,X,X,X,X
LSZOJIT,X,X,X,X,X,O,X
LSOTIJZ,X,O,O,O,X,X,X
LSOTIZJ,X,O,X,O,X,X,O
LSOTJIZ,X,X,O,O,X,X,X
LSOTJZI,X,X,X,X,X,X,X
LSOTZIJ,X,X,X,O,X,X,O
LSOTZJI,X,X,X,X,X,X,X
LSOITJZ,X,O,O,O,X,X,X
LSOITZJ,X,O,X,O,X,X,O
LSOIJTZ,X,X,O,X,X,X,X
LSOIJZT,X,X,X,X,X,O,X
LSOIZTJ,X,X,X,X,X,X,O
LSOIZJT,X,X,X,X,X,O,X
LSOJTIZ,X,X,O,X,X,X,X
LSOJTZI,X,X,X,X,X,X,X
LSOJITZ,X,X,O,X,X,X,X
LSOJIZT,X,X,X,X,X,O,X
LSOJZTI,X,X,X,X,X,X,X
LSOJZIT,X,X,X,X,X,O,X
LSOZTIJ,X,X,X,X,X,X,O
LSOZTJI,X,X,X,X,X,X,X
LSOZITJ,X,X,X,X,X,X,O
LSOZIJT,X,X,X,X,X,O,X
LSOZJTI,X,X,X,X,X,X,X
LSOZJIT,X,X,X,X,X,O,X
LZTIJSO,X,X,X,X,O,O,O
LZTIJOS,O,O,X,X,X,X,X
LZTISJO,X,X,X,X,O,O,O
LZTISOJ,X,O,X,O,X,X,O
LZTIOJS,O,O,X,X,X,X,X
LZTIOSJ,X,O,X,O,X,X,O
LZTJISO,X,X,X,X,O,O,O
LZTJIOS,O,O,X,X,X,X,X
LZTJSIO,X,X,X,X,O,O,O
LZTJSOI,X,X,X,X,X,X,X
LZTJOIS,O,O,X,X,X,X,X
LZTJOSI,X,X,X,X,X,X,X
LZTSIJO,X,X,X,X,O,O,O
LZTSIOJ,X,O,X,O,X,X,O
LZTSJIO,X,X,X,X,O,O,O
LZTSJOI,X,X,X,X,X,X,X
LZTSOIJ,X,O,X,O,X,X,O
LZTSOJI,X,X,X,X,X,X,X
LZTOIJS,O,O,X,X,X,X,X
LZTOISJ,X,O,X,O,X,X,O
LZTOJIS,O,O,X,X,X,X,X
LZTOJSI,X,X,X,X,X,X,X
LZTOSIJ,X,O,X,O,X,X,O
LZTOSJI,X,X,X,X,X,X,X
LZITJSO,X,X,X,X,O,O,O
LZITJOS,O,O,X,X,X,X,X
LZITSJO,X,X,X,X,O,O,O
LZITSOJ,X,O,X,O,X,X,O
LZITOJS,O,O,X,X,X,X,X
LZITOSJ,X,O,X,O,X,X,O
LZIJTSO,X,X,X,X,O,O,O
LZIJTOS,O,O,X,X,X,X,X
LZIJSTO,X,X,X,X,X,O,O
LZIJSOT,X,X,X,X,X,O,X
LZIJOTS,O,O,X,X,X,X,X
LZIJOST,X,X,X,X,X,O,X
LZISTJO,X,X,X,X,X,O,O
LZISTOJ,X,O,X,O,X,X,O
LZISJTO,X,X,X,X,X,O,O
LZISJOT,X,X,X,X,X,O,X
LZISOTJ,X,O,X,X,X,X,O
LZISOJT,X,X,X,X,X,O,X
LZIOTJS,O,O,O,X,X,X,X
LZIOTSJ,X,O,X,X,X,X,O
LZIOJTS,O,O,O,X,X,X,X
LZIOJST,X,X,X,X,X,O,X
LZIOSTJ,X,O,X,X,X,X,O
LZIOSJT,X,X,X,X,X,O,X
LZJTISO,X,X,X,X,O,O,O
LZJTIOS,O,O,X,X,X,X,X
LZJTSIO,X,X,X,X,O,O,O
LZJTSOI,X,X,X,X,X,X,X
LZJTOIS,O,O,X,X,X,X,X
LZJTOSI,X,X,X,X,X,X,X
LZJITSO,X,X,X,X,O,O,O
LZJITOS,O,O,X,X,X,X,X
LZJISTO,X,X,X,X,X,O,O
LZJISOT,X,X,X,X,X,O,X
LZJIOTS,O,O,X,X,X,X,X
LZJIOST,X,X,X,X,X,O,X
LZJSTIO,X,X,X,X,X,O,O
LZJSTOI,X,X,X,X,X,X,X
LZJSITO,X,X,X,X,X,O,O
LZJSIOT,X,X,X,X,X,O,X
LZJSOTI,X,X,X,X,X,X,X
LZJSOIT,X,X,X,X,X,O,X
LZJOTIS,O,O,X,X,X,X,X
LZJOTSI,X,X,X,X,X,X,X
LZJOITS,O,O,X,X,X,X,X
LZJOIST,X,X,X,X,X,O,X
LZJOSTI,X,X,X,X,X,X,X
LZJOSIT,X,X,X,X,X,O,X
LZSTIJO,X,X,X,X,X,O,O
LZSTIOJ,X,O,X,O,X,X,O
LZSTJIO,X,X,X,X,X,O,O
LZSTJOI,X,X,X,X,X,X,X
LZSTOIJ,X,O,X,O,X,X,O
LZSTOJI,X,X,X,X,X,X,X
LZSITJO,X,X,X,X,X,O,O
LZSITOJ,X,O,X,O,X,X,O
LZSIJTO,X,X,X,X,X,O,O
LZSIJOT,X,X,X,X,X,O,X
LZSIOTJ,X,O,X,X,X,X,O
LZSIOJT,X,X,X,X,X,O,X
LZSJTIO,X,X,X,X,X,O,O
LZSJTOI,X,X,X,X,X,X,X
LZSJITO,X,X,X,X,X,O,O
LZSJIOT,X,X,X,X,X,O,X
LZSJOTI,X,X,X,X,X,X,X
LZSJOIT,X,X,X,X,X,O,X
LZSOTIJ,X,O,X,X,X,X,O
LZSOTJI,X,X,X,X,X,X,X
LZSOITJ,X,O,X,X,X,X,O
LZSOIJT,X,X,X,X,X,O,X
LZSOJTI,X,X,X,X,X,X,X
LZSOJIT,X,X,X,X,X,O,X
LZOTIJS,O,O,O,X,X,X,X
LZOTISJ,X,O,X,X,X,X,O
LZOTJIS,O,O,O,X,X,X,X
LZOTJSI,X,X,X,X,X,X,X
LZOTSIJ,X,O,X,X,X,X,O
LZOTSJI,X,X,X,X,X,X,X
LZOITJS,O,O,O,X,X,X,X
LZOITSJ,X,O,X,X,X,X,O
LZOIJTS,O,O,O,X,X,X,X
LZOIJST,X,X,X,X,X,O,X
LZOISTJ,X,O,X,X,X,X,O
LZOISJT,X,X,X,X,X,O,X
LZOJTIS,O,O,O,X,X,X,X
LZOJTSI,X,X,X,X,X,X,X
LZOJITS,O,O,O,X,X,X,X
LZOJIST,X,X,X,X,X,O,X
LZOJSTI,X,X,X,X,X,X,X
LZOJSIT,X,X,X,X,X,O,X
LZOSTIJ,X,O,X,X,X,X,O
LZOSTJI,X,X,X,X,X,X,X
LZOSITJ,X,O,X,X,X,X,O
LZOSIJT,X,X,X,X,X,O,X
LZOSJTI,X,X,X,X,X,X,X
LZOSJIT,X,X,X,X,X,O,X
LOTIJSZ,X,O,O,O,X,X,X
LOTIJZS,O,O,O,X,X,X,X
LOTISJZ,X,O,O,O,X,X,X
LOTISZJ,X,O,X,O,X,X,O
LOTIZJS,O,O,O,X,X,X,X
LOTIZSJ,X,O,X,O,X,X,O
LOTJISZ,X,O,O,O,X,X,X
LOTJIZS,O,O,O,X,X,X,X
LOTJSIZ,X,X,O,O,X,X,X
LOTJSZI,X,X,X,X,X,X,X
LOTJZIS,O,X,O,X,X,X,X
LOTJZSI,X,X,X,X,X,X,X
LOTSIJZ,X,O,O,O,X,X,X
LOTSIZJ,X,O,X,O,X,X,O
LOTSJIZ,X,X,O,O,X,X,X
LOTSJZI,X,X,X,X,X,X,X
LOTSZIJ,X,X,X,O,X,X,O
LOTSZJI,X,X,X,X,X,X,X
LOTZIJS,O,O,O,X,X,X,X
LOTZISJ,X,O,X,O,X,X,O
LOTZJIS,O,O,O,X,X,X,X
LOTZJSI,X,X,X,X,X,X,X
LOTZSIJ,X,O,X,O,X,X,O
LOTZSJI,X,X,X,X,X,X,X
LOITJSZ,X,O,O,O,X,X,X
LOITJZS,O,O,O,X,X,X,X
LOITSJZ,X,O,O,O,X,X,X
LOITSZJ,X,O,X,O,X,X,O
LOITZJS,O,O,O,X,X,X,X
LOITZSJ,X,O,X,O,X,X,O
LOIJTSZ,X,O,O,X,X,X,X
LOIJTZS,O,O,O,X,X,X,X
LOIJSTZ,X,X,O,X,X,X,X
LOIJSZT,X,X,X,X,X,O,X
LOIJZTS,O,X,O,X,X,X,X
LOIJZST,X,X,X,X,X,O,X
LOISTJZ,X,O,O,O,X,X,X
LOISTZJ,X,O,X,O,X,X,O
LOISJTZ,X,X,O,X,X,X,X
LOISJZT,X,X,X,X,X,O,X
LOISZTJ,X,X,X,X,X,X,O
LOISZJT,X,X,X,X,X,O,X
LOIZTJS,O,O,O,X,X,X,X
LOIZTSJ,X,O,X,X,X,X,O
LOIZJTS,O,O,O,X,X,X,X
LOIZJST,X,X,X,X,X,O,X
LOIZSTJ,X,O,X,X,X,X,O
LOIZSJT,X,X,X,X,X,O,X
LOJTISZ,X,O,O,X,X,X,X
LOJTIZS,O,O,O,X,X,X,X
LOJTSIZ,X,X,O,X,X,X,X
LOJTSZI,X,X,X,X,X,X,X
LOJTZIS,O,X,O,X,X,X,X
LOJTZSI,X,X,X,X,X,X,X
LOJITSZ,X,O,O,X,X,X,X
LOJITZS,O,O,O,X,X,X,X
LOJISTZ,X,X,O,X,X,X,X
LOJISZT,X,X,X,X,X,O,X
LOJIZTS,O,X,O,X,X,X,X
LOJIZST,X,X,X,X,X,O,X
LOJSTIZ,X,X,O,X,X,X,X
LOJSTZI,X,X,X,X,X,X,X
LOJSITZ,X,X,O,X,X,X,X
LOJSIZT,X,X,X,X,X,O,X
LOJSZTI,X,X,X,X,X,X,X
LOJSZIT,X,X,X,X,X,O,X
LOJZTIS,O,X,O,X,X,X,X
LOJZTSI,X,X,X,X,X,X,X
LOJZITS,O,X,O,X,X,X,X
LOJZIST,X,X,X,X,X,O,X
LOJZSTI,X,X,X,X,X,X,X
LOJZSIT,X,X,X,X,X,O,X
LOSTIJZ,X,O,O,O,X,X,X
LOSTIZJ,X,O,X,O,X,X,O
LOSTJIZ,X,X,O,O,X,X,X
LOSTJZI,X,X,X,X,X,X,X
LOSTZIJ,X,X,X,O,X,X,O
LOSTZJI,X,X,X,X,X,X,X
LOSITJZ,X,O,O,O,X,X,X
LOSITZJ,X,O,X,O,X,X,O
LOSIJTZ,X,X,O,X,X,X,X
LOSIJZT,X,X,X,X,X,O,X
LOSIZTJ,X,X,X,X,X,X,O
LOSIZJT,X,X,X,X,X,O,X
LOSJTIZ,X,X,O,X,X,X,X
LOSJTZI,X,X,X,X,X,X,X
LOSJITZ,X,X,O,X,X,X,X
LOSJIZT,X,X,X,X,X,O,X
LOSJZTI,X,X,X,X,X,X,X
LOSJZIT,X,X,X,X,X,O,X
LOSZTIJ,X,X,X,X,X,X,O
LOSZTJI,X,X,X,X,X,X,X
LOSZITJ,X,X,X,X,X,X,O
LOSZIJT,X,X,X,X,X,O,X
LOSZJTI,X,X,X,X,X,X,X
LOSZJIT,X,X,X,X,X,O,X
LOZTIJS,O,O,O,X,X,X,X
LOZTISJ,X,O,X,X,X,X,O
LOZTJIS,O,O,O,X,X,X,X
LOZTJSI,X,X,X,X,X,X,X
LOZTSIJ,X,O,X,X,X,X,O
LOZTSJI,X,X,X,X,X,X,X
LOZITJS,O,O,O,X,X,X,X
LOZITSJ,X,O,X,X,X,X,O
LOZIJTS,O,O,O,X,X,X,X
LOZIJST,X,X,X,X,X,O,X
LOZISTJ,X,O,X,X,X,X,O
LOZISJT,X,X,X,X,X,O,X
LOZJTIS,O,O,O,X,X,X,X
LOZJTSI,X,X,X,X,X,X,X
LOZJITS,O,O,O,X,X,X,X
LOZJIST,X,X,X,X,X,O,X
LOZJSTI,X,X,X,X,X,X,X
LOZJSIT,X,X,X,X,X,O,X
LOZSTIJ,X,O,X,X,X,X,O
LOZSTJI,X,X,X,X,X,X,X
LOZSITJ,X,O,X,X,X,X,O
LOZSIJT,X,X,X,X,X,O,X
LOZSJTI,X,X,X,X,X,X,X
LOZSJIT,X,X,X,X,X,O,X
JTILSZO,X,X,X,X,O,O,O
JTILSOZ,X,X,X,O,X,X,X
JTILZSO,X,X,X,X,O,O,O
JTILZOS,O,X,X,X,X,X,X
JTILOSZ,X,O,O,O,X,X,X
JTILOZS,O,O,O,X,X,X,X
JTISLZO,X,X,X,X,O,X,X
JTISLOZ,X,X,X,O,X,X,X
JTISZLO,X,X,X,X,O,X,X
JTISZOL,O,X,X,X,O,X,X
JTISOLZ,X,X,O,O,X,X,X
JTISOZL,O,X,O,X,O,X,X
JTIZLSO,X,X,X,X,O,O,O
JTIZLOS,O,O,X,X,X,X,X
JTIZSLO,X,X,X,X,O,X,X
JTIZSOL,O,X,X,X,O,X,X
JTIZOLS,O,O,O,X,X,X,X
JTIZOSL,O,X,O,X,O,X,X
JTIOLSZ,X,O,O,O,X,X,X
JTIOLZS,O,O,O,X,X,X,X
JTIOSLZ,X,X,O,O,X,X,X
JTIOSZL,O,X,O,X,O,X,X
JTIOZLS,O,O,O,X,X,X,X
JTIOZSL,O,X,O,X,O,X,X
JTLISZO,X,X,X,X,O,O,O
JTLISOZ,X,X,X,O,X,X,X
JTLIZSO,X,X,X,X,O,O,O
JTLIZOS,O,X,X,X,X,X,X
JTLIOSZ,X,O,O,O,X,X,X
JTLIOZS,O,O,O,X,X,X,X
JTLSIZO,X,X,X,X,O,O,O
JTLSIOZ,X,X,X,O,X,X,X
JTLSZIO,X,X,X,X,O,O,O
JTLSZOI,X,X,X,X,X,X,X
JTLSOIZ,X,X,X,O,X,X,X
JTLSOZI,X,X,X,X,X,X,X
JTLZISO,X,X,X,X,O,O,O
JTLZIOS,O,X,X,X,X,X,X
JTLZSIO,X,X,X,X,O,O,O
JTLZSOI,X,X,X,X,X,X,X
JTLZOIS,O,X,X,X,X,X,X
JTLZOSI,X,X,X,X,X,X,X
JTLOISZ,X,O,O,O,X,X,X
JTLOIZS,O,O,O,X,X,X,X
JTLOSIZ,X,X,O,O,X,X,X
JTLOSZI,X,X,X,X,X,X,X
JTLOZIS,O,X,O,X,X,X,X
JTLOZSI,X,X,X,X,X,X,X
JTSILZO,X,X,X,X,O,X,X
JTSILOZ,X,X,X,O,X,X,X
JTSIZLO,X,X,X,X,O,X,X
JTSIZOL,O,X,X,X,O,X,X
JTSIOLZ,X,X,O,O,X,X,X
JTSIOZL,O,X,O,X,O,X,X
JTSLIZO,X,X,X,X,O,X,X
JTSLIOZ,X,X,X,O,X,X,X
JTSLZIO,X,X,X,X,O,X,X
JTSLZOI,X,X,X,X,X,X,X
JTSLOIZ,X,X,X,O,X,X,X
JTSLOZI,X,X,X,X,X,X,X
JTSZILO,X,X,X,X,O,X,X
JTSZIOL,O,X,X,X,O,X,X
JTSZLIO,X,X,X,X,O,X,X
JTSZLOI,X,X,X,X,X,X,X
JTSZOIL,O,X,X,X,O,X,X
JTSZOLI,X,X,X,X,X,X,X
JTSOILZ,X,X,O,O,X,X,X
JTSOIZL,O,X,O,X,O,X,X
JTSOLIZ,X,X,O,O,X,X,X
JTSOLZI,X,X,X,X,X,X,X
JTSOZIL,O,X,X,X,O,X,X
JTSOZLI,X,X,X,X,X,X,X
JTZILSO,X,X,X,X,O,O,O
JTZILOS,O,O,X,X,X,X,X
JTZISLO,X,X,X,X,O,X,X
JTZISOL,O,X,X,X,O,X,X
JTZIOLS,O,O,O,X,X,X,X
JTZIOSL,O,X,O,X,O,X,X
JTZLISO,X,X,X,X,O,O,O
JTZLIOS,O,O,X,X,X,X,X
JTZLSIO,X,X,X,X,O,O,O
JTZLSOI,X,X,X,X,X,X,X
JTZLOIS,O,O,X,X,X,X,X
JTZLOSI,X,X,X,X,X,X,X
JTZSILO,X,X,X,X,O,X,X
JTZSIOL,O,X,X,X,O,X,X
JTZSLIO,X,X,X,X,O,X,X
JTZSLOI,X,X,X,X,X,X,X
JTZSOIL,O,X,X,X,O,X,X
JTZSOLI,X,X,X,X,X,X,X
JTZOILS,O,O,O,X,X,X,X
JTZOISL,O,X,O,X,O,X,X
JTZOLIS,O,O,O,X,X,X,X
JTZOLSI,X,X,X,X,X,X,X
JTZOSIL,O,X,X,X,O,X,X
JTZOSLI,X,X,X,X,X,X,X
JTOILSZ,X,O,O,O,X,X,X
JTOILZS,O,O,O,X,X,X,X
JTOISLZ,X,X,O,O,X,X,X
JTOISZL,O,X,O,X,O,X,X
JTOIZLS,O,O,O,X,X,X,X
JTOIZSL,O,X,O,X,O,X,X
JTOLISZ,X,O,O,O,X,X,X
JTOLIZS,O,O,O,X,X,X,X
JTOLSIZ,X,X,O,O,X,X,X
JTOLSZI,X,X,X,X,X,X,X
JTOLZIS,O,X,O,X,X,X,X
JTOLZSI,X,X,X,X,X,X,X
JTOSILZ,X,X,O,O,X,X,X
JTOSIZL,O,X,O,X,O,X,X
JTOSLIZ,X,X,O,O,X,X,X
JTOSLZI,X,X,X,X,X,X,X
JTOSZIL,O,X,X,X,O,X,X
JTOSZLI,X,X,X,X,X,X,X
JTOZILS,O,O,O,X,X,X,X
JTOZISL,O,X,O,X,O,X,X
JTOZLIS,O,O,O,X,X,X,X
JTOZLSI,X,X,X,X,X,X,X
JTOZSIL,O,X,X,X,O,X,X
JTOZSLI,X,X,X,X,X,X,X
JITLSZO,X,X,X,X,O,O,O
JITLSOZ,X,X,X,O,X,X,X
JITLZSO,X,X,X,X,O,O,O
JITLZOS,O,X,X,X,X,X,X
JITLOSZ,X,O,O,O,X,X,X
JITLOZS,O,O,O,X,X,X,X
JITSLZO,X,X,X,X,O,X,X
JITSLOZ,X,X,X,O,X,X,X
JITSZLO,X,X,X,X,O,X,X
JITSZOL,O,X,X,X,O,X,X
JITSOLZ,X,X,O,O,X,X,X
JITSOZL,O,X,O,X,O,X,X
JITZLSO,X,X,X,X,O,O,O
JITZLOS,O,O,X,X,X,X,X
JITZSLO,X,X,X,X,O,X,X
JITZSOL,O,X,X,X,O,X,X
JITZOLS,O,O,O,X,X,X,X
JITZOSL,O,X,O,X,O,X,X
JITOLSZ,X,O,O,O,X,X,X
JITOLZS,O,O,O,X,X,X,X
JITOSLZ,X,X,O,O,X,X,X
JITOSZL,O,X,O,X,O,X,X
JITOZLS,O,O,O,X,X,X,X
JITOZSL,O,X,O,X,O,X,X
JILTSZO,X,X,X,X,O,O,O
JILTSOZ,X,X,X,O,X,X,X
JILTZSO,X,X,X,X,O,O,O
JILTZOS,O,X,X,X,X,X,X
JILTOSZ,X,O,O,O,X,X,X
JILTOZS,O,O,O,X,X,X,X
JILSTZO,X,X,X,X,X,O,O
JILSTOZ,X,X,X,O,X,X,X
JILSZTO,X,X,X,X,X,O,O
JILSZOT,X,X,X,X,X,O,X
JILSOTZ,X,X,X,X,X,X,X
JILSOZT,X,X,X,X,X,O,X
JILZTSO,X,X,X,X,O,O,O
JILZTOS,O,X,X,X,X,X,X
JILZSTO,X,X,X,X,X,O,O
JILZSOT,X,X,X,X,X,O,X
JILZOTS,O,X,X,X,X,X,X
JILZOST,X,X,X,X,X,O,X
JILOTSZ,X,O,O,X,X,X,X
JILOTZS,O,O,O,X,X,X,X
JILOSTZ,X,X,O,X,X,X,X
JILOSZT,X,X,X,X,X,O,X
JILOZTS,O,X,O,X,X,X,X
JILOZST,X,X,X,X,X,O,X
JISTLZO,X,X,X,X,O,X,X
JISTLOZ,X,X,X,O,X,X,X
JISTZLO,X,X,X,X,O,X,X
JISTZOL,O,X,X,X,O,X,X
JISTOLZ,X,X,O,O,X,X,X
JISTOZL,O,X,O,X,O,X,X
JISLTZO,X,X,X,X,X,O,X
JISLTOZ,X,X,X,O,X,X,X
JISLZTO,X,X,X,X,X,O,X
JISLZOT,X,X,X,X,X,O,X
JISLOTZ,X,X,X,X,X,X,X
JISLOZT,X,X,X,X,X,O,X
JISZTLO,X,X,X,X,O,X,X
JISZTOL,O,X,X,X,O,X,X
JISZLTO,X,X,X,X,X,O,X
JISZLOT,X,X,X,X,X,O,X
JISZOTL,O,X,X,X,X,X,X
JISZOLT,X,X,X,X,X,X,X
JISOTLZ,X,X,O,O,X,X,X
JISOTZL,O,X,O,X,X,X,X
JISOLTZ,X,X,O,X,X,X,X
JISOLZT,X,X,X,X,X,X,X
JISOZTL,O,X,X,X,X,X,X
JISOZLT,X,X,X,X,X,X,X
JIZTLSO,X,X,X,X,O,O,O
JIZTLOS,O,O,X,X,X,X,X
JIZTSLO,X,X,X,X,O,X,X
JIZTSOL,O,X,X,X,O,X,X
JIZTOLS,O,O,O,X,X,X,X
JIZTOSL,O,X,O,X,O,X,X
JIZLTSO,X,X,X,X,O,O,O
JIZLTOS,O,O,X,X,X,X,X
JIZLSTO,X,X,X,X,X,O,O
JIZLSOT,X,X,X,X,X,O,X
JIZLOTS,O,O,X,X,X,X,X
JIZLOST,X,X,X,X,X,O,X
JIZSTLO,X,X,X,X,O,X,X
JIZSTOL,O,X,X,X,O,X,X
JIZSLTO,X,X,X,X,X,O,X
JIZSLOT,X,X,X,X,X,O,X
JIZSOTL,O,X,X,X,X,X,X
JIZSOLT,X,X,X,X,X,X,X
JIZOTLS,O,O,O,X,X,X,X
JIZOTSL,O,X,O,X,O,X,X
JIZOLTS,O,O,O,X,X,X,X
JIZOLST,X,X,X,X,X,O,X
JIZOSTL,O,X,X,X,X,X,X
JIZOSLT,X,X,X,X,X,X,X
JIOTLSZ,X,O,O,O,X,X,X
JIOTLZS,O,O,O,X,X,X,X
JIOTSLZ,X,X,O,O,X,X,X
JIOTSZL,O,X,O,X,O,X,X
JIOTZLS,O,O,O,X,X,X,X
JIOTZSL,O,X,O,X,O,X,X
JIOLTSZ,X,O,O,X,X,X,X
JIOLTZS,O,O,O,X,X,X,X
JIOLSTZ,X,X,O,X,X,X,X
JIOLSZT,X,X,X,X,X,O,X
JIOLZTS,O,X,O,X,X,X,X
JIOLZST,X,X,X,X,X,O,X
JIOSTLZ,X,X,O,O,X,X,X
JIOSTZL,O,X,O,X,X,X,X
JIOSLTZ,X,X,O,X,X,X,X
JIOSLZT,X,X,X,X,X,X,X
JIOSZTL,O,X,X,X,X,X,X
JIOSZLT,X,X,X,X,X,X,X
JIOZTLS,O,O,O,X,X,X,X
JIOZTSL,O,X,O,X,O,X,X
JIOZLTS,O,O,O,X,X,X,X
JIOZLST,X,X,X,X,X,O,X
JIOZSTL,O,X,X,X,X,X,X
JIOZSLT,X,X,X,X,X,X,X
JLTISZO,X,X,X,X,O,O,O
JLTISOZ,X,X,X,O,X,X,X
JLTIZSO,X,X,X,X,O,O,O
JLTIZOS,O,X,X,X,X,X,X
JLTIOSZ,X,O,O,O,X,X,X
JLTIOZS,O,O,O,X,X,X,X
JLTSIZO,X,X,X,X,O,O,O
JLTSIOZ,X,X,X,O,X,X,X
JLTSZIO,X,X,X,X,O,O,O
JLTSZOI,X,X,X,X,X,X,X
JLTSOIZ,X,X,X,O,X,X,X
JLTSOZI,X,X,X,X,X,X,X
JLTZISO,X,X,X,X,O,O,O
JLTZIOS,O,X,X,X,X,X,X
JLTZSIO,X,X,X,X,O,O,O
JLTZSOI,X,X,X,X,X,X,X
JLTZOIS,O,X,X,X,X,X,X
JLTZOSI,X,X,X,X,X,X,X
JLTOISZ,X,O,O,O,X,X,X
JLTOIZS,O,O,O,X,X,X,X
JLTOSIZ,X,X,O,O,X,X,X
JLTOSZI,X,X,X,X,X,X,X
JLTOZIS,O,X,O,X,X,X,X
JLTOZSI,X,X,X,X,X,X,X
JLITSZO,X,X,X,X,O,O,O
JLITSOZ,X,X,X,O,X,X,X
JLITZSO,X,X,X,X,O,O,O
JLITZOS,O,X,X,X,X,X,X
JLITOSZ,X,O,O,O,X,X,X
JLITOZS,O,O,O,X,X,X,X
JLISTZO,X,X,X,X,X,O,O
JLISTOZ,X,X,X,O,X,X,X
JLISZTO,X,X,X,X,X,O,O
JLISZOT,X,X,X,X,X,O,X
JLISOTZ,X,X,X,X,X,X,X
JLISOZT,X,X,X,X,X,O,X
JLIZTSO,X,X,X,X,O,O,O
JLIZTOS,O,X,X,X,X,X,X
JLIZSTO,X,X,X,X,X,O,O
JLIZSOT,X,X,X,X,X,O,X
JLIZOTS,O,X,X,X,X,X,X
JLIZOST,X,X,X,X,X,O,X
JLIOTSZ,X,O,O,X,X,X,X
JLIOTZS,O,O,O,X,X,X,X
JLIOSTZ,X,X,O,X,X,X,X
JLIOSZT,X,X,X,X,X,O,X
