sequence,v115@RhD8FeH8LeT/IvhFigBfnBxiBUmBFtBGtB,v115@RhD8FeH8LeT/IvhFigBfnBxiBUmBGtBFtB,v115@RhD8FeH8Lei/IvhF8mBGjBRlB3nBFmBTtB,v115@RhD8FeH8LeT/IvhFigBRiBFmBXnBGtBctB,v115@RhD8FeH8LeT/IvhF2lB8mB5oBatBFrB3sB,v115@RhD8FeH8LeT/IvhF2lB8mB5oB3nBFmBatB
SZLOITJ,O,O,X,X,X,X
SZLOIJT,O,O,O,X,O,O
SZLOJTI,O,O,X,X,X,X
SZLOJIT,O,O,O,X,O,O
SZJTILO,O,O,O,O,X,X
SZJTIOL,O,O,X,O,X,O
SZJTLIO,O,O,O,O,X,X
SZJTLOI,O,O,X,O,X,X
SZJTOIL,O,O,X,O,X,O
SZJTOLI,O,O,X,O,X,X
SZJITLO,X,O,O,X,X,X
SZJITOL,X,O,X,X,X,O
SZJILTO,X,O,O,X,X,X
SZJILOT,O,O,O,X,O,O
SZJIOTL,X,O,X,X,X,O
SZJIOLT,O,O,O,X,O,O
SZJLTIO,O,O,O,X,X,X
SZJLTOI,O,O,X,X,X,X
SZJLITO,X,O,O,X,X,X
SZJLIOT,O,O,O,X,O,O
SZJLOTI,O,O,X,X,X,X
SZJLOIT,O,O,O,X,O,O
SZJOTIL,O,O,X,O,X,O
SZJOTLI,O,O,X,O,X,X
SZJOITL,X,O,X,X,X,O
SZJOILT,O,O,O,X,O,O
SZJOLTI,O,O,X,X,X,X
SZJOLIT,O,O,O,X,O,O
SZOTILJ,O,O,X,X,X,X
SZOTIJL,O,X,X,X,X,O
SZOTLIJ,O,O,X,X,X,X
SZOTLJI,O,O,X,O,X,X
SZOTJIL,O,O,X,O,X,O
SZOTJLI,O,O,X,O,X,X
SZOITLJ,O,O,X,X,X,X
SZOITJL,O,X,X,X,X,O
SZOILTJ,O,O,X,X,X,X
SZOILJT,O,O,O,X,O,O
SZOIJTL,X,O,X,X,X,O
SZOIJLT,O,O,O,X,O,O
SZOLTIJ,O,O,X,X,X,X
SZOLTJI,O,O,X,X,X,X
SZOLITJ,O,O,X,X,X,X
SZOLIJT,O,O,O,X,O,O
SZOLJTI,O,O,X,X,X,X
SZOLJIT,O,O,O,X,O,O
SZOJTIL,O,O,X,O,X,O
SZOJTLI,O,O,X,O,X,X
SZOJITL,X,O,X,X,X,O
SZOJILT,O,O,O,X,O,O
SZOJLTI,O,O,X,X,X,X
SZOJLIT,O,O,O,X,O,O
SOTILJZ,O,O,O,O,X,X
SOTILZJ,O,O,O,X,X,X
SOTIJLZ,O,X,O,O,X,X
SOTIJZL,X,X,O,O,X,O
SOTIZLJ,O,X,O,X,X,X
SOTIZJL,X,X,O,X,X,O
SOTLIJZ,O,O,O,O,X,X
SOTLIZJ,O,O,O,X,X,X
SOTLJIZ,O,O,O,O,X,X
SOTLJZI,X,X,O,O,X,X
SOTLZIJ,O,X,O,X,X,X
SOTLZJI,O,X,O,O,X,X
SOTJILZ,O,O,O,O,X,X
SOTJIZL,X,X,O,O,X,O
SOTJLIZ,O,O,O,O,X,X
SOTJLZI,X,X,O,O,X,X
SOTJZIL,X,X,O,O,X,O
SOTJZLI,X,X,O,O,X,X
SOTZILJ,O,X,O,X,X,X
SOTZIJL,O,X,O,X,X,O
SOTZLIJ,O,X,O,X,X,X
SOTZLJI,O,X,O,O,X,X
SOTZJIL,O,X,O,O,X,O
SOTZJLI,O,X,O,O,X,X
SOITLJZ,O,O,O,O,X,X
SOITLZJ,O,O,O,X,X,X
SOITJLZ,O,X,O,O,X,X
SOITJZL,X,X,O,O,X,O
SOITZLJ,O,X,O,X,X,X
SOITZJL,X,X,O,X,X,O
SOILTJZ,O,O,O,X,X,X
SOILTZJ,O,O,O,X,X,X
SOILJTZ,O,O,O,X,X,X
SOILJZT,O,O,O,X,O,O
SOILZTJ,O,O,O,X,X,X
SOILZJT,O,O,O,X,O,O
SOIJTLZ,X,O,O,O,X,X
SOIJTZL,X,X,O,O,X,O
SOIJLTZ,O,O,O,X,X,X
SOIJLZT,O,O,O,X,O,O
SOIJZTL,X,X,O,X,X,O
SOIJZLT,X,O,O,X,O,O
SOIZTLJ,X,X,O,X,X,X
SOIZTJL,X,X,O,X,X,O
SOIZLTJ,O,O,O,X,X,X
SOIZLJT,O,O,O,X,O,O
SOIZJTL,X,X,O,X,X,O
SOIZJLT,X,X,O,X,O,O
SOLTIJZ,O,O,O,O,X,X
SOLTIZJ,O,O,O,X,X,X
SOLTJIZ,O,O,O,O,X,X
SOLTJZI,X,X,O,O,X,X
SOLTZIJ,O,X,O,X,X,X
SOLTZJI,O,X,O,O,X,X
SOLITJZ,O,O,O,X,X,X
SOLITZJ,O,O,O,X,X,X
SOLIJTZ,O,O,O,X,X,X
SOLIJZT,O,O,O,X,O,O
SOLIZTJ,O,O,O,X,X,X
SOLIZJT,O,O,O,X,O,O
SOLJTIZ,O,O,O,O,X,X
SOLJTZI,X,X,O,O,X,X
SOLJITZ,O,O,O,X,X,X
SOLJIZT,O,O,O,X,O,O
SOLJZTI,X,O,O,X,X,X
SOLJZIT,X,O,O,X,O,O
SOLZTIJ,O,O,O,X,X,X
SOLZTJI,O,O,O,X,X,X
SOLZITJ,O,O,O,X,X,X
SOLZIJT,O,O,O,X,O,O
SOLZJTI,O,O,O,X,X,X
SOLZJIT,O,O,O,X,O,O
SOJTILZ,O,O,O,O,X,X
SOJTIZL,X,X,O,O,X,O
SOJTLIZ,O,O,O,O,X,X
SOJTLZI,X,X,O,O,X,X
SOJTZIL,X,X,O,O,X,O
SOJTZLI,X,X,O,O,X,X
SOJITLZ,X,O,O,O,X,X
SOJITZL,X,X,O,O,X,O
SOJILTZ,O,O,O,X,X,X
SOJILZT,O,O,O,X,O,O
SOJIZTL,X,X,O,X,X,O
SOJIZLT,X,O,O,X,O,O
SOJLTIZ,O,O,O,O,X,X
SOJLTZI,X,X,O,O,X,X
SOJLITZ,O,O,O,X,X,X
SOJLIZT,O,O,O,X,O,O
SOJLZTI,X,O,O,X,X,X
SOJLZIT,X,O,O,X,O,O
SOJZTIL,X,O,O,O,X,O
SOJZTLI,X,O,O,O,X,X
SOJZITL,X,O,O,X,X,O
SOJZILT,X,O,O,X,O,O
SOJZLTI,X,O,O,X,X,X
SOJZLIT,X,O,O,X,O,O
SOZTILJ,O,O,O,X,X,X
SOZTIJL,O,X,O,X,X,O
SOZTLIJ,O,O,O,X,X,X
SOZTLJI,O,O,O,O,X,X
SOZTJIL,O,O,O,O,X,O
SOZTJLI,O,O,O,O,X,X
SOZITLJ,O,O,O,X,X,X
SOZITJL,O,X,O,X,X,O
SOZILTJ,O,O,O,X,X,X
SOZILJT,O,O,O,X,O,O
SOZIJTL,X,O,O,X,X,O
SOZIJLT,O,O,O,X,O,O
SOZLTIJ,O,O,O,X,X,X
SOZLTJI,O,O,O,X,X,X
SOZLITJ,O,O,O,X,X,X
SOZLIJT,O,O,O,X,O,O
SOZLJTI,O,O,O,X,X,X
SOZLJIT,O,O,O,X,O,O
SOZJTIL,O,O,O,O,X,O
SOZJTLI,O,O,O,O,X,X
SOZJITL,X,O,O,X,X,O
SOZJILT,O,O,O,X,O,O
SOZJLTI,O,O,O,X,X,X
SOZJLIT,O,O,O,X,O,O
ZTILJSO,X,X,X,X,X,X
ZTILJOS,X,X,X,X,O,X
ZTILSJO,O,X,O,X,X,X
ZTILSOJ,O,X,X,X,X,X
ZTILOJS,X,X,X,X,O,X
ZTILOSJ,O,X,X,X,X,X
ZTIJLSO,X,X,X,X,X,X
ZTIJLOS,X,X,X,X,O,X
ZTIJSLO,X,X,X,X,X,X
ZTIJSOL,X,X,X,X,X,O
ZTIJOLS,X,X,X,X,O,X
ZTIJOSL,X,X,X,X,X,O
ZTISLJO,O,X,O,X,X,X
ZTISLOJ,O,X,X,X,X,X
ZTISJLO,O,X,O,X,X,X
ZTISJOL,O,X,X,X,X,O
ZTISOLJ,O,X,X,X,X,X
ZTISOJL,O,X,X,X,X,O
ZTIOLJS,X,X,X,X,O,X
ZTIOLSJ,O,X,X,X,X,X
ZTIOJLS,X,X,X,X,O,X
ZTIOJSL,X,X,X,X,X,O
ZTIOSLJ,O,X,X,X,X,X
ZTIOSJL,O,X,X,X,X,O
ZTLIJSO,X,X,X,X,X,X
ZTLIJOS,X,X,X,X,O,X
ZTLISJO,O,X,O,X,X,X
ZTLISOJ,O,X,X,X,X,X
ZTLIOJS,X,X,X,X,O,X
ZTLIOSJ,O,X,X,X,X,X
ZTLJISO,X,X,X,X,X,X
ZTLJIOS,X,X,X,X,O,X
ZTLJSIO,O,O,X,O,X,X
ZTLJSOI,O,O,X,O,X,X
ZTLJOIS,X,X,X,X,O,X
ZTLJOSI,O,O,X,O,X,X
ZTLSIJO,O,X,O,X,X,X
ZTLSIOJ,O,O,X,X,X,X
ZTLSJIO,O,O,O,O,X,X
ZTLSJOI,O,O,X,O,X,X
ZTLSOIJ,O,O,X,X,X,X
ZTLSOJI,O,O,X,O,X,X
ZTLOIJS,X,X,X,X,O,X
ZTLOISJ,O,X,X,X,X,X
ZTLOJIS,X,X,X,X,O,X
ZTLOJSI,O,O,X,O,X,X
ZTLOSIJ,O,O,X,X,X,X
ZTLOSJI,O,O,X,O,X,X
ZTJILSO,X,X,X,X,X,X
ZTJILOS,X,X,X,X,O,X
ZTJISLO,X,X,X,X,X,X
ZTJISOL,X,X,X,X,X,O
ZTJIOLS,X,X,X,X,O,X
ZTJIOSL,X,X,X,X,X,O
ZTJLISO,X,X,X,X,X,X
ZTJLIOS,X,X,X,X,O,X
ZTJLSIO,O,O,X,O,X,X
ZTJLSOI,O,O,X,O,X,X
ZTJLOIS,X,X,X,X,O,X
ZTJLOSI,O,O,X,O,X,X
ZTJSILO,O,O,X,O,X,X
ZTJSIOL,O,O,X,O,X,O
ZTJSLIO,O,O,X,O,X,X
ZTJSLOI,O,O,X,O,X,X
ZTJSOIL,O,O,X,O,X,O
ZTJSOLI,O,O,X,O,X,X
ZTJOILS,X,X,X,X,O,X
ZTJOISL,X,X,X,X,X,O
ZTJOLIS,X,X,X,X,O,X
ZTJOLSI,O,O,X,O,X,X
ZTJOSIL,O,O,X,O,X,O
ZTJOSLI,O,O,X,O,X,X
ZTSILJO,O,X,O,X,X,X
ZTSILOJ,O,O,X,X,X,X
ZTSIJLO,O,X,O,X,X,X
ZTSIJOL,O,X,X,X,X,O
ZTSIOLJ,O,O,X,X,X,X
ZTSIOJL,O,X,X,X,X,O
ZTSLIJO,O,X,O,X,X,X
ZTSLIOJ,O,O,X,X,X,X
ZTSLJIO,O,O,O,O,X,X
ZTSLJOI,O,O,X,O,X,X
ZTSLOIJ,O,O,X,X,X,X
ZTSLOJI,O,O,X,O,X,X
ZTSJILO,O,O,O,O,X,X
ZTSJIOL,O,O,X,O,X,O
ZTSJLIO,O,O,O,O,X,X
ZTSJLOI,O,O,X,O,X,X
ZTSJOIL,O,O,X,O,X,O
ZTSJOLI,O,O,X,O,X,X
ZTSOILJ,O,O,X,X,X,X
ZTSOIJL,O,X,X,X,X,O
ZTSOLIJ,O,O,X,X,X,X
ZTSOLJI,O,O,X,O,X,X
ZTSOJIL,O,O,X,O,X,O
ZTSOJLI,O,O,X,O,X,X
ZTOILJS,X,X,X,X,O,X
ZTOILSJ,O,X,X,X,X,X
ZTOIJLS,X,X,X,X,O,X
ZTOIJSL,X,X,X,X,X,O
ZTOISLJ,O,X,X,X,X,X
ZTOISJL,O,X,X,X,X,O
ZTOLIJS,X,X,X,X,O,X
ZTOLISJ,O,X,X,X,X,X
ZTOLJIS,X,X,X,X,O,X
ZTOLJSI,O,O,X,O,X,X
ZTOLSIJ,O,O,X,X,X,X
ZTOLSJI,O,O,X,O,X,X
ZTOJILS,X,X,X,X,O,X
ZTOJISL,X,X,X,X,X,O
ZTOJLIS,X,X,X,X,O,X
ZTOJLSI,O,O,X,O,X,X
ZTOJSIL,O,O,X,O,X,O
ZTOJSLI,O,O,X,O,X,X
ZTOSILJ,O,O,X,X,X,X
ZTOSIJL,O,X,X,X,X,O
ZTOSLIJ,O,O,X,X,X,X
ZTOSLJI,O,O,X,O,X,X
ZTOSJIL,O,O,X,O,X,O
ZTOSJLI,O,O,X,O,X,X
ZITLJSO,X,X,X,X,X,X
ZITLJOS,X,X,X,X,O,X
ZITLSJO,O,X,O,X,X,X
ZITLSOJ,O,X,X,X,X,X
ZITLOJS,X,X,X,X,O,X
ZITLOSJ,O,X,X,X,X,X
ZITJLSO,X,X,X,X,X,X
ZITJLOS,X,X,X,X,O,X
ZITJSLO,X,X,X,X,X,X
ZITJSOL,X,X,X,X,X,O
ZITJOLS,X,X,X,X,O,X
ZITJOSL,X,X,X,X,X,O
ZITSLJO,O,X,O,X,X,X
ZITSLOJ,O,X,X,X,X,X
ZITSJLO,O,X,O,X,X,X
ZITSJOL,O,X,X,X,X,O
ZITSOLJ,O,X,X,X,X,X
ZITSOJL,O,X,X,X,X,O
ZITOLJS,X,X,X,X,O,X
ZITOLSJ,O,X,X,X,X,X
ZITOJLS,X,X,X,X,O,X
ZITOJSL,X,X,X,X,X,O
ZITOSLJ,O,X,X,X,X,X
ZITOSJL,O,X,X,X,X,O
ZILTJSO,X,X,X,X,X,X
ZILTJOS,X,X,X,X,O,X
ZILTSJO,O,X,O,X,X,X
ZILTSOJ,O,X,X,X,X,X
ZILTOJS,X,X,X,X,O,X
ZILTOSJ,O,X,X,X,X,X
ZILJTSO,X,X,X,X,X,X
ZILJTOS,X,X,X,X,O,X
ZILJSTO,X,O,O,X,X,X
ZILJSOT,X,O,O,X,O,O
ZILJOTS,X,X,X,X,O,X
ZILJOST,X,O,X,X,O,O
ZILSTJO,O,X,O,X,X,X
ZILSTOJ,O,O,X,X,X,X
ZILSJTO,X,O,O,X,X,X
ZILSJOT,O,O,O,X,O,O
ZILSOTJ,O,O,X,X,X,X
ZILSOJT,O,O,O,X,O,O
ZILOTJS,X,X,X,X,O,X
ZILOTSJ,O,X,X,X,X,X
ZILOJTS,X,X,X,X,O,X
ZILOJST,X,O,O,X,O,O
ZILOSTJ,O,O,O,X,X,X
ZILOSJT,O,O,O,X,O,O
ZIJTLSO,X,X,X,X,X,X
ZIJTLOS,X,X,X,X,O,X
ZIJTSLO,X,X,X,X,X,X
ZIJTSOL,X,X,X,X,X,O
ZIJTOLS,X,X,X,X,O,X
ZIJTOSL,X,X,X,X,X,O
ZIJLTSO,X,X,X,X,X,X
ZIJLTOS,X,X,X,X,O,X
ZIJLSTO,X,O,O,X,X,X
ZIJLSOT,X,O,O,X,O,O
ZIJLOTS,X,X,X,X,O,X
ZIJLOST,X,O,X,X,O,O
ZIJSTLO,X,O,O,X,X,X
ZIJSTOL,X,O,X,X,X,O
ZIJSLTO,X,O,O,X,X,X
ZIJSLOT,X,O,O,X,O,O
ZIJSOTL,X,O,X,X,X,O
ZIJSOLT,X,O,O,X,O,O
ZIJOTLS,X,X,X,X,O,X
ZIJOTSL,X,X,X,X,X,O
ZIJOLTS,X,X,X,X,O,X
ZIJOLST,X,O,X,X,O,O
ZIJOSTL,X,O,X,X,X,O
ZIJOSLT,X,O,X,X,O,O
ZISTLJO,O,X,O,X,X,X
ZISTLOJ,O,O,X,X,X,X
ZISTJLO,O,X,O,X,X,X
ZISTJOL,O,X,X,X,X,O
ZISTOLJ,O,O,X,X,X,X
ZISTOJL,O,X,X,X,X,O
ZISLTJO,O,X,O,X,X,X
ZISLTOJ,O,O,X,X,X,X
ZISLJTO,X,O,O,X,X,X
ZISLJOT,O,O,O,X,O,O
ZISLOTJ,O,O,X,X,X,X
ZISLOJT,O,O,O,X,O,O
ZISJTLO,X,O,O,X,X,X
ZISJTOL,X,O,X,X,X,O
ZISJLTO,X,O,O,X,X,X
ZISJLOT,O,O,O,X,O,O
ZISJOTL,X,O,X,X,X,O
ZISJOLT,O,O,O,X,O,O
ZISOTLJ,O,O,X,X,X,X
ZISOTJL,O,X,X,X,X,O
ZISOLTJ,O,O,X,X,X,X
ZISOLJT,O,O,O,X,O,O
ZISOJTL,X,O,X,X,X,O
ZISOJLT,O,O,O,X,O,O
ZIOTLJS,X,X,X,X,O,X
ZIOTLSJ,O,X,X,X,X,X
ZIOTJLS,X,X,X,X,O,X
ZIOTJSL,X,X,X,X,X,O
ZIOTSLJ,O,X,X,X,X,X
ZIOTSJL,O,X,X,X,X,O
ZIOLTJS,X,X,X,X,O,X
ZIOLTSJ,O,X,X,X,X,X
ZIOLJTS,X,X,X,X,O,X
ZIOLJST,X,O,O,X,O,O
ZIOLSTJ,O,O,O,X,X,X
ZIOLSJT,O,O,O,X,O,O
ZIOJTLS,X,X,X,X,O,X
ZIOJTSL,X,X,X,X,X,O
ZIOJLTS,X,X,X,X,O,X
ZIOJLST,X,O,O,X,O,O
ZIOJSTL,X,O,O,X,X,O
ZIOJSLT,X,O,O,X,O,O
ZIOSTLJ,O,O,O,X,X,X
ZIOSTJL,O,X,O,X,X,O
ZIOSLTJ,O,O,O,X,X,X
ZIOSLJT,O,O,O,X,O,O
ZIOSJTL,X,O,O,X,X,O
ZIOSJLT,O,O,O,X,O,O
ZLTIJSO,X,X,X,X,X,X
ZLTIJOS,X,X,X,X,O,X
ZLTISJO,O,X,O,X,X,X
ZLTISOJ,O,X,X,X,X,X
ZLTIOJS,X,X,X,X,O,X
ZLTIOSJ,O,X,X,X,X,X
ZLTJISO,X,X,X,X,X,X
ZLTJIOS,X,X,X,X,O,X
ZLTJSIO,O,O,X,O,X,X
ZLTJSOI,O,O,X,O,X,X
ZLTJOIS,X,X,X,X,O,X
ZLTJOSI,O,O,X,O,X,X
ZLTSIJO,O,X,O,X,X,X
ZLTSIOJ,O,O,X,X,X,X
ZLTSJIO,O,O,O,O,X,X
ZLTSJOI,O,O,X,O,X,X
ZLTSOIJ,O,O,X,X,X,X
ZLTSOJI,O,O,X,O,X,X
ZLTOIJS,X,X,X,X,O,X
ZLTOISJ,O,X,X,X,X,X
ZLTOJIS,X,X,X,X,O,X
ZLTOJSI,O,O,X,O,X,X
ZLTOSIJ,O,O,X,X,X,X
ZLTOSJI,O,O,X,O,X,X
ZLITJSO,X,X,X,X,X,X
ZLITJOS,X,X,X,X,O,X
ZLITSJO,O,X,O,X,X,X
ZLITSOJ,O,X,X,X,X,X
ZLITOJS,X,X,X,X,O,X
ZLITOSJ,O,X,X,X,X,X
ZLIJTSO,X,X,X,X,X,X
ZLIJTOS,X,X,X,X,O,X
ZLIJSTO,X,O,O,X,X,X
ZLIJSOT,X,O,O,X,O,O
ZLIJOTS,X,X,X,X,O,X
ZLIJOST,X,O,X,X,O,O
ZLISTJO,O,X,O,X,X,X
ZLISTOJ,O,O,X,X,X,X
ZLISJTO,X,O,O,X,X,X
ZLISJOT,O,O,O,X,O,O
ZLISOTJ,O,O,X,X,X,X
ZLISOJT,O,O,O,X,O,O
ZLIOTJS,X,X,X,X,O,X
ZLIOTSJ,O,X,X,X,X,X
ZLIOJTS,X,X,X,X,O,X
ZLIOJST,X,O,O,X,O,O
ZLIOSTJ,O,O,O,X,X,X
ZLIOSJT,O,O,O,X,O,O
ZLJTISO,X,X,X,X,X,X
ZLJTIOS,X,X,X,X,O,X
ZLJTSIO,O,O,X,O,X,X
ZLJTSOI,O,O,X,O,X,X
ZLJTOIS,X,X,X,X,O,X
ZLJTOSI,O,O,X,O,X,X
ZLJITSO,X,X,X,X,X,X
ZLJITOS,X,X,X,X,O,X
ZLJISTO,X,O,O,X,X,X
ZLJISOT,X,O,O,X,O,O
ZLJIOTS,X,X,X,X,O,X
ZLJIOST,X,O,X,X,O,O
ZLJSTIO,O,O,O,X,X,X
ZLJSTOI,O,O,X,X,X,X
ZLJSITO,X,O,O,X,X,X
ZLJSIOT,O,O,O,X,O,O
ZLJSOTI,O,O,X,X,X,X
ZLJSOIT,O,O,O,X,O,O
ZLJOTIS,X,X,X,X,O,X
ZLJOTSI,O,O,X,O,X,X
ZLJOITS,X,X,X,X,O,X
ZLJOIST,X,O,X,X,O,O
ZLJOSTI,O,O,X,X,X,X
ZLJOSIT,O,O,X,X,O,O
ZLSTIJO,O,X,O,X,X,X
ZLSTIOJ,O,O,X,X,X,X
ZLSTJIO,O,O,O,X,X,X
ZLSTJOI,O,O,X,X,X,X
ZLSTOIJ,O,O,X,X,X,X
ZLSTOJI,O,O,X,X,X,X
ZLSITJO,O,X,O,X,X,X
ZLSITOJ,O,O,X,X,X,X
ZLSIJTO,X,O,O,X,X,X
ZLSIJOT,O,O,O,X,O,O
ZLSIOTJ,O,O,X,X,X,X
ZLSIOJT,O,O,O,X,O,O
ZLSJTIO,O,O,O,X,X,X
ZLSJTOI,O,O,X,X,X,X
ZLSJITO,X,O,O,X,X,X
ZLSJIOT,O,O,O,X,O,O
ZLSJOTI,O,O,X,X,X,X
ZLSJOIT,O,O,O,X,O,O
ZLSOTIJ,O,O,X,X,X,X
ZLSOTJI,O,O,X,X,X,X
ZLSOITJ,O,O,X,X,X,X
ZLSOIJT,O,O,O,X,O,O
ZLSOJTI,O,O,X,X,X,X
ZLSOJIT,O,O,O,X,O,O
ZLOTIJS,X,X,X,X,O,X
ZLOTISJ,O,X,X,X,X,X
ZLOTJIS,X,X,X,X,O,X
ZLOTJSI,O,O,X,O,X,X
ZLOTSIJ,O,O,X,X,X,X
ZLOTSJI,O,O,X,O,X,X
ZLOITJS,X,X,X,X,O,X
ZLOITSJ,O,X,X,X,X,X
ZLOIJTS,X,X,X,X,O,X
ZLOIJST,X,O,O,X,O,O
ZLOISTJ,O,O,O,X,X,X
ZLOISJT,O,O,O,X,O,O
ZLOJTIS,X,X,X,X,O,X
ZLOJTSI,O,O,X,O,X,X
ZLOJITS,X,X,X,X,O,X
ZLOJIST,X,O,O,X,O,O
ZLOJSTI,O,O,O,X,X,X
ZLOJSIT,O,O,O,X,O,O
ZLOSTIJ,O,O,O,X,X,X
ZLOSTJI,O,O,O,X,X,X
ZLOSITJ,O,O,O,X,X,X
ZLOSIJT,O,O,O,X,O,O
ZLOSJTI,O,O,O,X,X,X
ZLOSJIT,O,O,O,X,O,O
ZJTILSO,X,X,X,X,X,X
ZJTILOS,X,X,X,X,O,X
ZJTISLO,X,X,X,X,X,X
ZJTISOL,X,X,X,X,X,O
ZJTIOLS,X,X,X,X,O,X
ZJTIOSL,X,X,X,X,X,O
ZJTLISO,X,X,X,X,X,X
ZJTLIOS,X,X,X,X,O,X
ZJTLSIO,O,O,X,O,X,X
ZJTLSOI,O,O,X,O,X,X
ZJTLOIS,X,X,X,X,O,X
ZJTLOSI,O,O,X,O,X,X
ZJTSILO,O,O,X,O,X,X
ZJTSIOL,O,O,X,O,X,O
ZJTSLIO,O,O,X,O,X,X
ZJTSLOI,O,O,X,O,X,X
ZJTSOIL,O,O,X,O,X,O
ZJTSOLI,O,O,X,O,X,X
ZJTOILS,X,X,X,X,O,X
ZJTOISL,X,X,X,X,X,O
ZJTOLIS,X,X,X,X,O,X
ZJTOLSI,O,O,X,O,X,X
ZJTOSIL,O,O,X,O,X,O
ZJTOSLI,O,O,X,O,X,X
ZJITLSO,X,X,X,X,X,X
ZJITLOS,X,X,X,X,O,X
ZJITSLO,X,X,X,X,X,X
ZJITSOL,X,X,X,X,X,O
ZJITOLS,X,X,X,X,O,X
ZJITOSL,X,X,X,X,X,O
ZJILTSO,X,X,X,X,X,X
ZJILTOS,X,X,X,X,O,X
ZJILSTO,X,O,O,X,X,X
ZJILSOT,X,O,O,X,O,O
ZJILOTS,X,X,X,X,O,X
ZJILOST,X,O,X,X,O,O
ZJISTLO,X,O,O,X,X,X
ZJISTOL,X,O,X,X,X,O
ZJISLTO,X,O,O,X,X,X
ZJISLOT,X,O,O,X,O,O
ZJISOTL,X,O,X,X,X,O
ZJISOLT,X,O,O,X,O,O
ZJIOTLS,X,X,X,X,O,X
ZJIOTSL,X,X,X,X,X,O
ZJIOLTS,X,X,X,X,O,X
ZJIOLST,X,O,X,X,O,O
ZJIOSTL,X,O,X,X,X,O
ZJIOSLT,X,O,X,X,O,O
ZJLTISO,X,X,X,X,X,X
ZJLTIOS,X,X,X,X,O,X
ZJLTSIO,O,O,X,O,X,X
ZJLTSOI,O,O,X,O,X,X
ZJLTOIS,X,X,X,X,O,X
ZJLTOSI,O,O,X,O,X,X
ZJLITSO,X,X,X,X,X,X
ZJLITOS,X,X,X,X,O,X
ZJLISTO,X,O,O,X,X,X
ZJLISOT,X,O,O,X,O,O
ZJLIOTS,X,X,X,X,O,X
ZJLIOST,X,O,X,X,O,O
ZJLSTIO,O,O,O,X,X,X
ZJLSTOI,O,O,X,X,X,X
ZJLSITO,X,O,O,X,X,X
ZJLSIOT,O,O,O,X,O,O
ZJLSOTI,O,O,X,X,X,X
ZJLSOIT,O,O,O,X,O,O
ZJLOTIS,X,X,X,X,O,X
ZJLOTSI,O,O,X,O,X,X
ZJLOITS,X,X,X,X,O,X
ZJLOIST,X,O,X,X,O,O
ZJLOSTI,O,O,X,X,X,X
ZJLOSIT,O,O,X,X,O,O
ZJSTILO,O,O,O,O,X,X
ZJSTIOL,O,O,X,O,X,O
ZJSTLIO,O,O,O,O,X,X
ZJSTLOI,O,O,X,O,X,X
ZJSTOIL,O,O,X,O,X,O
ZJSTOLI,O,O,X,O,X,X
ZJSITLO,X,O,O,X,X,X
ZJSITOL,X,O,X,X,X,O
ZJSILTO,X,O,O,X,X,X
ZJSILOT,O,O,O,X,O,O
ZJSIOTL,X,O,X,X,X,O
ZJSIOLT,O,O,O,X,O,O
ZJSLTIO,O,O,O,X,X,X
ZJSLTOI,O,O,X,X,X,X
ZJSLITO,X,O,O,X,X,X
ZJSLIOT,O,O,O,X,O,O
ZJSLOTI,O,O,X,X,X,X
ZJSLOIT,O,O,O,X,O,O
ZJSOTIL,O,O,X,O,X,O
ZJSOTLI,O,O,X,O,X,X
ZJSOITL,X,O,X,X,X,O
ZJSOILT,O,O,O,X,O,O
ZJSOLTI,O,O,X,X,X,X
ZJSOLIT,O,O,O,X,O,O
ZJOTILS,X,X,X,X,O,X
ZJOTISL,X,X,X,X,X,O
ZJOTLIS,X,X,X,X,O,X
ZJOTLSI,O,O,X,O,X,X
ZJOTSIL,O,O,X,O,X,O
ZJOTSLI,O,O,X,O,X,X
ZJOITLS,X,X,X,X,O,X
ZJOITSL,X,X,X,X,X,O
ZJOILTS,X,X,X,X,O,X
ZJOILST,X,O,X,X,O,O
ZJOISTL,X,O,X,X,X,O
ZJOISLT,X,O,X,X,O,O
ZJOLTIS,X,X,X,X,O,X
ZJOLTSI,O,O,X,O,X,X
ZJOLITS,X,X,X,X,O,X
ZJOLIST,X,O,X,X,O,O
ZJOLSTI,O,O,X,X,X,X
ZJOLSIT,O,O,X,X,O,O
ZJOSTIL,O,O,X,O,X,O
ZJOSTLI,O,O,X,O,X,X
ZJOSITL,X,O,X,X,X,O
ZJOSILT,O,O,X,X,O,O
ZJOSLTI,O,O,X,X,X,X
ZJOSLIT,O,O,X,X,O,O
ZSTILJO,O,X,O,X,X,X
ZSTILOJ,O,O,X,X,X,X
ZSTIJLO,O,X,O,X,X,X
ZSTIJOL,O,X,X,X,X,O
ZSTIOLJ,O,O,X,X,X,X
ZSTIOJL,O,X,X,X,X,O
ZSTLIJO,O,X,O,X,X,X
ZSTLIOJ,O,O,X,X,X,X
ZSTLJIO,O,O,O,O,X,X
ZSTLJOI,O,O,X,O,X,X
ZSTLOIJ,O,O,X,X,X,X
ZSTLOJI,O,O,X,O,X,X
ZSTJILO,O,O,O,O,X,X
ZSTJIOL,O,O,X,O,X,O
ZSTJLIO,O,O,O,O,X,X
ZSTJLOI,O,O,X,O,X,X
ZSTJOIL,O,O,X,O,X,O
ZSTJOLI,O,O,X,O,X,X
