sequence,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lB/mBRiBcoBOs?BVwB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhFxgBliBcoBCmBes?BXrB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhFlgBRiBcoBXmBOs?BSwB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lBxiBmmBFoBXr?B0rB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lBlhB3iBcoB2r?BRwB
TOLJISZ,O,X,X,O,X
TOLJIZS,O,X,O,X,X
TOLJSIZ,O,X,O,O,X
TOLJSZI,O,X,O,O,X
TOLJZIS,O,X,O,X,X
TOLJZSI,O,X,O,X,X
TOLSIJZ,O,X,O,O,X
TOLSIZJ,O,X,O,O,X
TOLSJIZ,O,X,O,O,X
TOLSJZI,O,X,O,O,X
TOLSZIJ,O,X,O,O,X
TOLSZJI,O,X,O,O,X
TOLZIJS,O,X,O,X,O
TOLZISJ,O,X,O,O,O
TOLZJIS,O,X,O,X,X
TOLZJSI,O,X,O,X,X
TOLZSIJ,O,X,O,O,X
TOLZSJI,O,X,O,O,X
TOJILSZ,O,X,X,O,X
TOJILZS,O,X,X,X,X
TOJISLZ,O,X,X,O,X
TOJISZL,O,X,X,O,X
TOJIZLS,O,O,O,X,X
TOJIZSL,O,O,O,X,X
TOJLISZ,O,X,X,O,X
TOJLIZS,O,X,O,X,X
TOJLSIZ,O,X,O,O,X
TOJLSZI,O,X,O,O,X
TOJLZIS,O,X,O,X,X
TOJLZSI,O,X,O,X,X
TOJSILZ,O,X,X,O,X
