sequence,v115@RhC8AeA8EeG8BeA8Jei/IvhFRhB9nBTjBGlB0mBXtB,v115@RhC8AeA8EeG8BeA8Jei/IvhFUhBRiB9oBGlBXnBzsB,v115@RhC8AeA8EeG8BeA8Jei/IvhFRhB3iB9oBGlB0mBzsB,v115@RhC8AeA8EeG8BeA8JeT/IvhF/lBRhBGjB0mB6sBNtB
ITLZOSJ,X,X,X,X
ITLOJSZ,X,X,X,X
ITLOJZS,X,X,X,X
ITLOSJZ,X,X,X,X
ITLOSZJ,X,X,X,X
ITLOZJS,X,X,X,X
ITLOZSJ,X,X,X,X
ITJLSZO,X,X,X,X
ITJLSOZ,X,X,X,X
ITJLZSO,X,X,X,X
ITJLZOS,X,X,X,X
ITJLOSZ,X,X,X,X
ITJLOZS,X,X,X,X
ITJSLZO,X,X,X,X
ITJSLOZ,X,X,X,X
ITJSZLO,X,X,X,X
ITJSZOL,X,X,X,X
ITJSOLZ,X,X,X,X
ITJSOZL,X,X,X,X
ITJZLSO,X,X,X,X
ITJZLOS,X,X,X,X
ITJZSLO,X,X,X,X
ITJZSOL,X,X,X,X
ITJZOLS,X,X,X,X
ITJZOSL,X,X,X,X
ITJOLSZ,X,X,X,X
ITJOLZS,X,X,X,X
ITJOSLZ,X,X,X,X
ITJOSZL,X,X,X,X
ITJOZLS,X,X,X,X
ITJOZSL,X,X,X,X
ITSLJZO,X,X,X,X
ITSLJOZ,X,X,X,X
ITSLZJO,X,X,X,X
ITSLZOJ,X,X,X,X
ITSLOJZ,X,X,X,X
ITSLOZJ,X,X,X,X
ITSJLZO,X,X,X,X
ITSJLOZ,X,X,X,X
