sequence,v115@GhA8IeA8CeC8CeB8BeD8BeA8Jex/IvhFXhBVnBaoBT?kBeqB0sB,v115@GhA8IeA8CeC8CeB8BeD8BeA8JeKEJvhFUhBGiBZoBF?lB/sBzpB,v115@GhA8IeA8CeC8CeB8BeD8BeA8Jex/IvhFXhBliBikBU?nBetBzpB,v115@GhA8IeA8CeC8CeB8BeD8BeA8Jex/IvhFXhBmiBypBF?nBzsB0pB,v115@GhA8IeA8CeC8CeB8BeD8BeA8JeUBJvhFRiB/pBFlBi?nBzsBmpB,v115@GhA8IeA8CeC8CeB8BeD8BeA8JeT/IvhFXhBZoBUnBl?pBOqB6sB,v115@GhA8IeA8CeC8CeB8BeD8BeA8Jex/IvhFVmBUiBikBe?tB3nBzpB,v115@GhA8IeA8CeC8CeB8BeD8BeA8JeOFJvhFXhBZoBTkBF?nB6sB0pB
LIOJSTZ,X,X,O,O,X,X,X,X
LIOJSZT,X,X,O,O,X,X,X,X
LIOJZTS,X,X,O,O,X,X,X,X
LIOJZST,X,X,O,O,X,X,X,X
LIOSTJZ,X,O,X,O,X,X,X,O
LIOSTZJ,X,O,X,O,X,X,X,X
LIOSJTZ,X,O,O,O,X,X,X,O
LIOSJZT,X,O,O,O,X,X,X,X
LIOSZTJ,X,O,X,O,X,X,X,X
LIOSZJT,X,O,X,O,X,X,X,X
LIOZTJS,X,X,X,O,X,X,X,X
LIOZTSJ,X,O,X,O,X,X,X,X
LIOZJTS,X,X,X,O,X,X,X,X
LIOZJST,X,X,X,O,X,X,X,X
LIOZSTJ,X,O,X,O,X,X,X,X
LIOZSJT,X,O,X,O,X,X,X,X
LJTISZO,O,O,O,X,X,X,O,X
LJTISOZ,O,O,O,X,X,X,X,X
LJTIZSO,O,O,O,X,X,X,O,X
LJTIZOS,O,X,O,X,X,X,O,X
LJTIOSZ,O,X,O,X,X,X,X,X
LJTIOZS,O,X,X,X,X,X,O,X
LJTSIZO,O,O,O,X,X,X,O,X
LJTSIOZ,O,O,O,X,X,X,X,X
LJTSZIO,O,O,O,X,X,X,O,X
LJTSZOI,O,O,O,X,X,X,O,X
LJTSOIZ,O,O,O,X,X,X,X,X
LJTSOZI,O,O,O,X,X,X,X,X
LJTZISO,O,O,O,X,X,X,O,X
LJTZIOS,O,X,O,X,X,X,O,X
LJTZSIO,O,O,O,X,X,X,O,X
LJTZSOI,O,O,O,X,X,X,O,X
LJTZOIS,O,X,O,X,X,X,O,X
LJTZOSI,O,X,O,X,X,X,O,X
LJTOISZ,O,X,O,X,X,X,O,X
LJTOIZS,O,X,O,X,X,X,O,X
LJTOSIZ,O,X,O,X,X,X,O,X
LJTOSZI,O,X,O,X,X,X,O,X
LJTOZIS,O,X,O,X,X,X,O,X
LJTOZSI,O,X,O,X,X,X,O,X
LJITSZO,O,O,O,X,X,X,O,X
LJITSOZ,O,O,O,X,X,X,X,X
LJITZSO,O,O,O,X,X,X,O,X
LJITZOS,O,X,O,X,X,X,O,X
LJITOSZ,O,X,O,X,X,X,X,X
LJITOZS,X,X,X,X,X,X,O,X
LJISTZO,O,O,O,X,X,X,O,X
LJISTOZ,O,O,O,X,X,X,X,X
LJISZTO,O,O,O,X,X,X,X,X
LJISZOT,X,O,O,X,X,X,X,X
LJISOTZ,X,O,O,O,X,X,X,X
LJISOZT,X,O,O,O,X,X,X,X
LJIZTSO,O,O,O,X,X,X,O,X
LJIZTOS,O,X,O,X,X,X,O,X
LJIZSTO,O,O,O,X,X,X,X,X
LJIZSOT,X,O,O,X,X,X,X,X
LJIZOTS,O,X,O,X,X,X,X,X
LJIZOST,X,X,O,X,X,X,X,X
LJIOTSZ,X,X,O,O,X,X,X,X
LJIOTZS,X,X,X,O,X,X,O,X
LJIOSTZ,X,X,O,O,X,X,X,X
LJIOSZT,X,X,O,O,X,X,X,X
LJIOZTS,X,X,O,O,X,X,X,X
LJIOZST,X,X,O,O,X,X,X,X
LJSTIZO,O,O,O,X,X,X,O,X
LJSTIOZ,O,O,O,X,X,X,X,X
LJSTZIO,O,O,O,X,X,X,O,X
LJSTZOI,O,O,O,X,O,X,O,X
LJSTOIZ,O,O,O,X,X,X,X,X
LJSTOZI,O,O,O,X,X,X,X,X
LJSITZO,O,O,O,X,X,X,O,X
LJSITOZ,O,O,O,X,X,X,X,X
LJSIZTO,O,O,O,X,X,X,X,X
LJSIZOT,X,O,O,X,X,X,X,X
LJSIOTZ,X,O,O,O,X,X,X,X
LJSIOZT,X,O,O,O,X,X,X,X
LJSZTIO,O,O,O,X,X,X,X,X
LJSZTOI,O,O,O,X,O,X,X,X
LJSZITO,O,O,O,X,X,X,X,X
LJSZIOT,X,O,O,X,X,X,X,X
LJSZOTI,O,O,O,X,X,X,X,X
LJSZOIT,O,O,O,X,X,X,X,X
LJSOTIZ,O,O,O,O,X,X,X,X
LJSOTZI,O,O,O,O,X,X,X,X
LJSOITZ,O,O,O,O,X,X,X,X
LJSOIZT,O,O,O,O,X,X,X,X
LJSOZTI,O,O,O,X,X,X,X,X
LJSOZIT,O,O,O,O,X,X,X,X
LJZTISO,O,O,O,X,X,X,O,X
LJZTIOS,O,X,O,X,X,X,O,X
LJZTSIO,O,O,O,X,X,X,O,X
LJZTSOI,O,O,O,X,X,X,O,X
LJZTOIS,O,X,O,X,X,X,O,X
LJZTOSI,O,X,O,X,X,X,O,X
LJZITSO,O,O,O,X,X,X,O,X
LJZITOS,O,X,O,X,X,X,O,X
LJZISTO,O,O,O,X,X,X,X,X
LJZISOT,X,O,O,X,X,X,X,X
LJZIOTS,O,X,O,X,X,X,X,X
LJZIOST,O,X,O,X,X,X,X,X
LJZSTIO,O,O,O,X,X,X,X,X
LJZSTOI,O,O,O,X,O,X,X,X
LJZSITO,O,O,O,X,X,X,X,X
LJZSIOT,X,O,O,X,X,X,X,X
LJZSOTI,O,O,O,X,X,X,X,X
LJZSOIT,O,O,O,X,X,X,X,X
LJZOTIS,O,X,O,X,X,X,X,X
LJZOTSI,O,X,O,X,X,X,X,X
LJZOITS,O,X,O,X,X,X,X,X
LJZOIST,O,X,O,X,X,X,X,X
LJZOSTI,O,X,O,X,X,X,X,X
LJZOSIT,O,X,O,X,X,X,X,X
LJOTISZ,O,X,O,O,X,X,O,X
LJOTIZS,O,X,O,O,X,X,O,X
LJOTSIZ,O,X,O,O,X,X,O,X
LJOTSZI,O,X,O,O,X,X,O,X
LJOTZIS,O,X,O,O,X,X,O,X
LJOTZSI,O,X,O,O,X,X,O,X
LJOITSZ,O,X,O,O,X,X,O,X
LJOITZS,O,X,O,O,X,X,O,X
LJOISTZ,O,X,O,O,X,X,O,X
LJOISZT,O,X,O,O,X,X,X,X
LJOIZTS,O,X,O,O,X,X,O,X
LJOIZST,O,X,O,O,X,X,X,X
LJOSTIZ,O,X,O,O,X,X,O,X
LJOSTZI,O,X,O,O,X,X,O,X
LJOSITZ,O,X,O,O,X,X,O,X
LJOSIZT,O,X,O,O,X,X,X,X
LJOSZTI,O,X,O,X,X,X,X,X
LJOSZIT,O,X,O,O,X,X,X,X
LJOZTIS,O,X,O,X,X,X,O,X
LJOZTSI,O,X,O,X,X,X,O,X
LJOZITS,O,X,O,O,X,X,O,X
LJOZIST,O,X,O,O,X,X,X,X
LJOZSTI,O,X,O,X,X,X,X,X
LJOZSIT,O,X,O,O,X,X,X,X
LSTIJZO,O,O,O,X,X,X,O,X
LSTIJOZ,O,O,O,X,X,X,X,O
LSTIZJO,O,O,X,X,X,O,X,X
LSTIZOJ,O,O,X,X,O,O,X,X
LSTIOJZ,O,O,X,O,X,X,X,O
LSTIOZJ,X,O,X,O,X,O,X,X
LSTJIZO,O,O,O,X,X,X,O,X
LSTJIOZ,O,O,O,X,X,X,X,O
LSTJZIO,O,O,O,X,X,X,O,X
LSTJZOI,O,O,O,X,O,X,O,X
LSTJOIZ,O,O,O,X,X,X,X,O
LSTJOZI,O,O,X,X,X,X,X,X
LSTZIJO,O,O,X,X,X,O,X,X
LSTZIOJ,O,O,X,X,O,O,X,X
LSTZJIO,O,O,X,X,X,X,X,X
LSTZJOI,O,O,X,X,O,X,X,X
LSTZOIJ,O,O,X,X,O,O,X,X
LSTZOJI,O,O,X,X,O,X,X,X
LSTOIJZ,O,O,X,O,O,X,X,O
LSTOIZJ,X,O,X,O,O,O,X,X
LSTOJIZ,O,O,X,O,O,X,X,O
LSTOJZI,O,O,X,O,O,X,X,X
LSTOZIJ,X,O,X,O,O,O,X,X
LSTOZJI,X,O,X,O,O,X,X,X
LSITJZO,O,O,O,X,X,X,O,X
LSITJOZ,O,O,O,X,X,X,X,O
LSITZJO,O,O,X,X,X,O,X,X
LSITZOJ,O,O,X,X,O,O,X,X
LSITOJZ,O,O,X,O,X,X,X,O
LSITOZJ,X,O,X,O,X,O,X,X
LSIJTZO,X,O,O,X,X,X,O,X
LSIJTOZ,X,O,O,X,X,X,X,O
LSIJZTO,X,O,O,X,X,X,X,X
LSIJZOT,X,O,O,X,X,X,X,X
LSIJOTZ,X,O,O,O,X,X,X,O
LSIJOZT,X,O,O,O,X,X,X,X
LSIZTJO,O,O,X,X,X,O,X,X
LSIZTOJ,O,O,X,X,O,O,X,X
LSIZJTO,X,O,O,X,X,X,X,X
LSIZJOT,X,O,O,X,X,X,X,X
LSIZOTJ,X,O,X,O,X,X,X,X
LSIZOJT,X,O,X,O,X,X,X,X
LSIOTJZ,X,O,X,O,X,X,X,O
LSIOTZJ,X,O,X,O,X,X,X,X
LSIOJTZ,X,O,O,O,X,X,X,O
LSIOJZT,X,O,O,O,X,X,X,X
LSIOZTJ,X,O,X,O,X,X,X,X
LSIOZJT,X,O,X,O,X,X,X,X
LSJTIZO,O,O,O,X,X,X,O,X
LSJTIOZ,O,O,O,X,X,X,X,O
LSJTZIO,O,O,O,X,X,X,O,X
LSJTZOI,O,O,O,X,O,X,O,X
LSJTOIZ,O,O,O,X,X,X,X,O
LSJTOZI,O,O,O,X,X,X,X,X
LSJITZO,O,O,O,X,X,X,O,X
LSJITOZ,O,O,O,X,X,X,X,O
LSJIZTO,O,O,O,X,X,X,X,X
LSJIZOT,X,O,O,X,X,X,X,X
LSJIOTZ,X,O,O,O,X,X,X,O
LSJIOZT,X,O,O,O,X,X,X,X
LSJZTIO,O,O,O,X,X,X,X,X
LSJZTOI,O,O,O,X,O,X,X,X
LSJZITO,O,O,O,X,X,X,X,X
LSJZIOT,X,O,O,X,X,X,X,X
LSJZOTI,O,O,O,X,X,X,X,X
LSJZOIT,O,O,O,X,X,X,X,X
LSJOTIZ,O,O,O,O,X,X,X,O
LSJOTZI,O,O,O,O,X,X,X,X
LSJOITZ,O,O,O,O,X,X,X,O
LSJOIZT,O,O,O,O,X,X,X,X
LSJOZTI,O,O,O,X,X,X,X,X
LSJOZIT,O,O,O,O,X,X,X,X
LSZTIJO,O,O,X,X,X,O,X,X
LSZTIOJ,O,O,X,X,O,O,X,X
LSZTJIO,O,O,X,X,X,X,X,X
LSZTJOI,O,O,X,X,O,X,X,X
LSZTOIJ,O,O,X,X,O,O,X,X
LSZTOJI,O,O,X,X,O,X,X,X
LSZITJO,O,O,X,X,X,O,X,X
LSZITOJ,O,O,X,X,O,O,X,X
LSZIJTO,X,O,O,X,X,X,X,X
LSZIJOT,X,O,O,X,X,X,X,X
LSZIOTJ,X,O,X,O,X,X,X,X
LSZIOJT,X,O,X,O,X,X,X,X
LSZJTIO,O,O,O,X,X,X,X,X
LSZJTOI,O,O,O,X,O,X,X,X
LSZJITO,O,O,O,X,X,X,X,X
LSZJIOT,X,O,O,X,X,X,X,X
LSZJOTI,O,O,O,X,X,X,X,X
LSZJOIT,O,O,O,X,X,X,X,X
LSZOTIJ,X,O,X,O,O,X,X,X
LSZOTJI,X,O,X,O,O,X,X,X
LSZOITJ,X,O,X,O,O,X,X,X
LSZOIJT,X,O,X,O,O,X,X,X
LSZOJTI,X,O,X,X,O,X,X,X
LSZOJIT,X,O,X,O,O,X,X,X
LSOTIJZ,X,O,O,O,O,X,X,O
LSOTIZJ,X,O,X,O,O,X,X,X
LSOTJIZ,X,O,O,O,O,X,X,O
LSOTJZI,X,O,O,O,O,X,X,X
LSOTZIJ,X,O,X,O,O,X,X,X
LSOTZJI,X,O,X,O,O,X,X,X
LSOITJZ,X,O,O,O,O,X,X,O
LSOITZJ,X,O,X,O,O,X,X,X
LSOIJTZ,X,O,O,O,O,X,X,O
LSOIJZT,X,O,O,O,O,X,X,X
LSOIZTJ,X,O,X,O,O,X,X,X
LSOIZJT,X,O,O,O,O,X,X,X
LSOJTIZ,X,O,O,O,O,X,X,O
LSOJTZI,X,O,O,O,O,X,X,X
LSOJITZ,X,O,O,O,O,X,X,O
LSOJIZT,X,O,O,O,O,X,X,X
LSOJZTI,X,O,O,X,O,X,X,X
LSOJZIT,X,O,O,O,O,X,X,X
LSOZTIJ,X,O,X,O,O,X,X,X
LSOZTJI,X,O,X,O,O,X,X,X
LSOZITJ,X,O,X,O,O,X,X,X
LSOZIJT,X,O,O,O,O,X,X,X
LSOZJTI,X,O,O,X,O,X,X,X
LSOZJIT,X,O,O,O,O,X,X,X
LZTIJSO,O,O,X,X,X,O,O,X
LZTIJOS,O,X,X,X,X,O,O,X
LZTISJO,O,O,X,X,X,O,X,X
LZTISOJ,O,O,X,X,X,O,X,X
LZTIOJS,O,X,X,X,X,O,X,X
LZTIOSJ,X,O,X,X,X,O,X,X
LZTJISO,O,O,X,X,X,X,O,X
LZTJIOS,O,X,X,X,X,X,O,X
LZTJSIO,O,O,X,X,X,X,O,X
LZTJSOI,O,O,X,X,X,X,O,X
LZTJOIS,O,X,X,X,X,X,O,X
LZTJOSI,O,X,X,X,X,X,O,X
LZTSIJO,O,O,X,X,X,O,X,X
LZTSIOJ,O,O,X,X,O,O,X,X
LZTSJIO,O,O,X,X,X,X,X,X
LZTSJOI,O,O,X,X,O,X,X,X
LZTSOIJ,O,O,X,X,O,O,X,X
LZTSOJI,O,O,X,X,O,X,X,X
LZTOIJS,O,X,X,X,X,O,X,X
LZTOISJ,X,O,X,X,X,O,X,X
LZTOJIS,O,X,X,X,X,X,X,X
LZTOJSI,O,X,X,X,X,X,X,X
LZTOSIJ,O,O,X,X,X,O,X,X
LZTOSJI,O,O,X,X,X,X,X,X
LZITJSO,O,O,X,X,X,O,O,X
LZITJOS,O,X,X,X,X,O,O,X
LZITSJO,O,O,X,X,X,O,X,X
LZITSOJ,O,O,X,X,X,O,X,X
LZITOJS,O,X,X,X,X,O,X,X
LZITOSJ,X,O,X,X,X,O,X,X
LZIJTSO,O,O,O,X,X,X,O,X
LZIJTOS,O,X,O,X,X,X,O,X
LZIJSTO,O,O,O,X,X,X,X,X
LZIJSOT,X,O,O,X,X,X,X,X
LZIJOTS,O,X,O,X,X,X,X,X
LZIJOST,O,X,O,X,X,X,X,X
LZISTJO,X,O,X,X,X,O,X,X
LZISTOJ,X,O,X,X,O,O,X,X
LZISJTO,X,O,O,X,X,X,X,X
LZISJOT,X,O,O,X,X,X,X,X
LZISOTJ,X,O,X,O,X,X,X,X
LZISOJT,X,O,X,O,X,X,X,X
LZIOTJS,O,X,X,O,X,X,X,X
LZIOTSJ,X,O,X,O,X,X,X,X
LZIOJTS,O,X,X,O,X,X,X,X
LZIOJST,O,X,X,O,X,X,X,X
LZIOSTJ,X,O,X,O,X,X,X,X
LZIOSJT,X,O,X,O,X,X,X,X
LZJTISO,O,O,O,X,X,X,O,X
LZJTIOS,O,X,O,X,X,X,O,X
LZJTSIO,O,O,O,X,X,X,O,X
LZJTSOI,O,O,O,X,X,X,O,X
LZJTOIS,O,X,O,X,X,X,O,X
LZJTOSI,O,X,O,X,X,X,O,X
LZJITSO,O,O,O,X,X,X,O,X
LZJITOS,O,X,O,X,X,X,O,X
LZJISTO,O,O,O,X,X,X,X,X
LZJISOT,X,O,O,X,X,X,X,X
LZJIOTS,O,X,O,X,X,X,X,X
LZJIOST,O,X,O,X,X,X,X,X
LZJSTIO,O,O,O,X,X,X,X,X
LZJSTOI,O,O,O,X,O,X,X,X
LZJSITO,O,O,O,X,X,X,X,X
LZJSIOT,X,O,O,X,X,X,X,X
LZJSOTI,O,O,O,X,X,X,X,X
LZJSOIT,O,O,O,X,X,X,X,X
LZJOTIS,O,X,O,X,X,X,X,X
LZJOTSI,O,X,O,X,X,X,X,X
LZJOITS,O,X,O,X,X,X,X,X
LZJOIST,O,X,O,X,X,X,X,X
LZJOSTI,O,X,O,X,X,X,X,X
LZJOSIT,O,X,O,X,X,X,X,X
LZSTIJO,O,O,X,X,X,O,X,X
LZSTIOJ,O,O,X,X,O,O,X,X
LZSTJIO,O,O,X,X,X,X,X,X
LZSTJOI,O,O,X,X,O,X,X,X
LZSTOIJ,O,O,X,X,O,O,X,X
LZSTOJI,O,O,X,X,O,X,X,X
LZSITJO,O,O,X,X,X,O,X,X
LZSITOJ,O,O,X,X,O,O,X,X
LZSIJTO,X,O,O,X,X,X,X,X
LZSIJOT,X,O,O,X,X,X,X,X
LZSIOTJ,X,O,X,O,X,X,X,X
LZSIOJT,X,O,X,O,X,X,X,X
LZSJTIO,O,O,O,X,X,X,X,X
LZSJTOI,O,O,O,X,O,X,X,X
LZSJITO,O,O,O,X,X,X,X,X
LZSJIOT,X,O,O,X,X,X,X,X
LZSJOTI,O,O,O,X,X,X,X,X
LZSJOIT,O,O,O,X,X,X,X,X
LZSOTIJ,X,O,X,O,O,X,X,X
LZSOTJI,O,O,X,O,O,X,X,X
LZSOITJ,X,O,X,O,O,X,X,X
LZSOIJT,X,O,X,O,O,X,X,X
LZSOJTI,O,O,X,X,O,X,X,X
LZSOJIT,O,O,X,O,O,X,X,X
LZOTIJS,O,X,X,O,X,X,X,X
LZOTISJ,X,O,X,O,O,X,X,X
LZOTJIS,O,X,X,O,X,X,X,X
LZOTJSI,O,X,X,O,X,X,X,X
LZOTSIJ,O,O,X,O,O,X,X,X
LZOTSJI,O,O,X,O,O,X,X,X
LZOITJS,O,X,X,O,X,X,X,X
LZOITSJ,X,O,X,O,O,X,X,X
LZOIJTS,O,X,X,O,X,X,X,X
LZOIJST,O,X,X,O,O,X,X,X
LZOISTJ,X,O,X,O,O,X,X,X
LZOISJT,X,O,X,O,O,X,X,X
LZOJTIS,O,X,X,X,X,X,X,X
LZOJTSI,O,X,X,X,X,X,X,X
LZOJITS,O,X,X,O,X,X,X,X
LZOJIST,O,X,X,O,O,X,X,X
LZOJSTI,O,X,X,X,O,X,X,X
LZOJSIT,O,X,X,O,O,X,X,X
LZOSTIJ,X,O,X,O,O,X,X,X
LZOSTJI,O,O,X,O,O,X,X,X
LZOSITJ,X,O,X,O,O,X,X,X
LZOSIJT,X,O,X,O,O,X,X,X
LZOSJTI,O,O,X,X,O,X,X,X
LZOSJIT,O,O,X,O,O,X,X,X
LOTIJSZ,O,X,O,O,X,X,O,X
LOTIJZS,O,X,O,O,X,X,O,X
LOTISJZ,X,O,O,O,O,X,O,O
LOTISZJ,X,O,X,O,O,X,X,X
LOTIZJS,X,X,X,O,X,X,O,X
LOTIZSJ,X,O,X,O,O,X,X,X
LOTJISZ,O,X,O,O,X,X,O,X
LOTJIZS,O,X,O,O,X,X,O,X
LOTJSIZ,O,X,O,O,X,X,O,X
LOTJSZI,O,X,O,O,X,X,O,X
LOTJZIS,O,X,O,O,X,X,O,X
LOTJZSI,O,X,O,O,X,X,O,X
LOTSIJZ,X,O,O,O,O,X,O,O
LOTSIZJ,X,O,X,O,O,X,X,X
LOTSJIZ,O,O,O,O,O,X,O,O
LOTSJZI,O,O,O,O,O,X,O,X
LOTSZIJ,X,O,X,O,O,X,X,X
LOTSZJI,X,O,X,O,O,X,X,X
LOTZIJS,O,X,X,O,X,X,O,X
LOTZISJ,X,O,X,O,O,X,X,X
LOTZJIS,O,X,X,O,X,X,O,X
LOTZJSI,O,X,X,O,X,X,O,X
LOTZSIJ,X,O,X,O,O,X,X,X
LOTZSJI,O,O,X,O,O,X,X,X
LOITJSZ,X,X,O,O,X,X,O,X
LOITJZS,X,X,O,O,X,X,O,X
LOITSJZ,X,O,O,O,O,X,O,O
LOITSZJ,X,O,X,O,O,X,X,X
LOITZJS,X,X,X,O,X,X,O,X
LOITZSJ,X,O,X,O,O,X,X,X
LOIJTSZ,X,X,O,O,X,X,O,X
LOIJTZS,X,X,O,O,X,X,O,X
LOIJSTZ,X,X,O,O,O,X,O,X
LOIJSZT,X,X,O,O,O,X,X,X
LOIJZTS,X,X,O,O,X,X,O,X
LOIJZST,X,X,O,O,O,X,X,X
LOISTJZ,X,O,O,O,O,X,O,O
LOISTZJ,X,O,X,O,O,X,X,X
LOISJTZ,X,O,O,O,O,X,O,O
LOISJZT,X,O,O,O,O,X,X,X
LOISZTJ,X,O,X,O,O,X,X,X
LOISZJT,X,O,O,O,O,X,X,X
LOIZTJS,X,X,X,O,X,X,O,X
LOIZTSJ,X,O,X,O,O,X,X,X
LOIZJTS,X,X,O,O,X,X,O,X
LOIZJST,X,X,O,O,O,X,X,X
LOIZSTJ,X,O,X,O,O,X,X,X
LOIZSJT,X,O,O,O,O,X,X,X
LOJTISZ,O,X,O,O,X,X,O,X
LOJTIZS,O,X,O,O,X,X,O,X
LOJTSIZ,O,X,O,O,X,X,O,X
LOJTSZI,O,X,O,O,X,X,O,X
LOJTZIS,O,X,O,O,X,X,O,X
LOJTZSI,O,X,O,O,X,X,O,X
LOJITSZ,O,X,O,O,X,X,O,X
LOJITZS,O,X,O,O,X,X,O,X
LOJISTZ,O,X,O,O,O,X,O,X
LOJISZT,O,X,O,O,O,X,X,X
LOJIZTS,O,X,O,O,X,X,O,X
LOJIZST,O,X,O,O,O,X,X,X
LOJSTIZ,O,X,O,O,O,X,O,X
LOJSTZI,O,X,O,O,O,X,O,X
LOJSITZ,O,X,O,O,O,X,O,X
LOJSIZT,O,X,O,O,O,X,X,X
LOJSZTI,O,X,O,X,O,X,X,X
LOJSZIT,O,X,O,O,O,X,X,X
LOJZTIS,O,X,O,X,X,X,O,X
LOJZTSI,O,X,O,X,X,X,O,X
LOJZITS,O,X,O,O,X,X,O,X
LOJZIST,O,X,O,O,O,X,X,X
LOJZSTI,O,X,O,X,O,X,X,X
LOJZSIT,O,X,O,O,O,X,X,X
LOSTIJZ,X,O,O,O,O,X,O,O
LOSTIZJ,X,O,X,O,O,X,X,X
LOSTJIZ,X,O,O,O,O,X,O,O
LOSTJZI,X,O,O,O,O,X,O,X
LOSTZIJ,X,O,X,O,O,X,X,X
LOSTZJI,X,O,X,O,O,X,X,X
LOSITJZ,X,O,O,O,O,X,O,O
LOSITZJ,X,O,X,O,O,X,X,X
LOSIJTZ,X,O,O,O,O,X,O,O
LOSIJZT,X,O,O,O,O,X,X,X
LOSIZTJ,X,O,X,O,O,X,X,X
LOSIZJT,X,O,O,O,O,X,X,X
LOSJTIZ,X,O,O,O,O,X,O,O
LOSJTZI,X,O,O,O,O,X,O,X
LOSJITZ,X,O,O,O,O,X,O,O
LOSJIZT,X,O,O,O,O,X,X,X
LOSJZTI,X,O,O,X,O,X,X,X
LOSJZIT,X,O,O,O,O,X,X,X
LOSZTIJ,X,O,X,O,O,X,X,X
LOSZTJI,X,O,X,O,O,X,X,X
LOSZITJ,X,O,X,O,O,X,X,X
LOSZIJT,X,O,O,O,O,X,X,X
LOSZJTI,X,O,O,X,O,X,X,X
LOSZJIT,X,O,O,O,O,X,X,X
LOZTIJS,O,X,X,O,X,X,O,X
LOZTISJ,X,O,X,O,O,X,X,X
LOZTJIS,O,X,X,O,X,X,O,X
LOZTJSI,O,X,X,O,X,X,O,X
LOZTSIJ,X,O,X,O,O,X,X,X
LOZTSJI,O,O,X,O,O,X,X,X
LOZITJS,O,X,X,O,X,X,O,X
LOZITSJ,X,O,X,O,O,X,X,X
LOZIJTS,O,X,O,O,X,X,O,X
LOZIJST,O,X,O,O,O,X,X,X
LOZISTJ,X,O,X,O,O,X,X,X
LOZISJT,X,O,O,O,O,X,X,X
LOZJTIS,O,X,O,X,X,X,O,X
LOZJTSI,O,X,O,X,X,X,O,X
LOZJITS,O,X,O,O,X,X,O,X
LOZJIST,O,X,O,O,O,X,X,X
LOZJSTI,O,X,O,X,O,X,X,X
LOZJSIT,O,X,O,O,O,X,X,X
LOZSTIJ,X,O,X,O,O,X,X,X
LOZSTJI,O,O,X,O,O,X,X,X
LOZSITJ,X,O,X,O,O,X,X,X
LOZSIJT,X,O,O,O,O,X,X,X
LOZSJTI,O,O,O,X,O,X,X,X
LOZSJIT,O,O,O,O,O,X,X,X
JTILSZO,O,X,O,X,X,X,O,X
JTILSOZ,O,X,O,X,X,X,X,X
JTILZSO,O,X,O,X,X,X,O,X
JTILZOS,O,X,X,X,X,X,O,X
JTILOSZ,O,X,O,X,X,X,X,X
JTILOZS,O,X,X,X,X,X,O,X
JTISLZO,O,X,O,X,X,X,X,X
JTISLOZ,O,X,O,X,X,X,X,O
JTISZLO,O,X,O,X,X,O,X,X
JTISZOL,O,X,O,X,X,O,X,O
JTISOLZ,O,X,O,X,X,X,X,O
JTISOZL,O,X,O,X,X,O,X,O
JTIZLSO,O,X,X,X,X,O,O,X
JTIZLOS,O,X,X,X,X,O,O,X
JTIZSLO,O,X,X,X,X,O,X,X
JTIZSOL,O,X,X,X,X,O,X,X
JTIZOLS,O,X,X,X,X,O,O,X
JTIZOSL,O,X,X,X,X,O,X,X
JTIOLSZ,O,X,O,X,X,X,O,X
JTIOLZS,O,X,O,X,X,X,O,X
JTIOSLZ,O,X,O,X,X,X,X,O
JTIOSZL,O,X,O,X,X,O,X,O
JTIOZLS,O,X,X,X,X,O,O,X
JTIOZSL,O,X,X,X,X,O,X,X
JTLISZO,O,X,O,X,X,X,O,X
JTLISOZ,O,X,O,X,X,X,X,X
JTLIZSO,O,X,O,X,X,X,O,X
JTLIZOS,O,X,O,X,X,X,O,X
JTLIOSZ,O,X,O,X,X,X,X,X
JTLIOZS,O,X,X,X,X,X,O,X
JTLSIZO,O,X,O,X,X,X,O,X
JTLSIOZ,O,X,O,X,X,X,X,X
JTLSZIO,O,X,O,X,X,X,O,X
JTLSZOI,O,X,O,X,X,X,O,X
JTLSOIZ,O,X,O,X,X,X,X,X
JTLSOZI,O,X,O,X,X,X,X,X
JTLZISO,O,X,O,X,X,X,O,X
JTLZIOS,O,X,O,X,X,X,O,X
JTLZSIO,O,X,O,X,X,X,O,X
JTLZSOI,O,X,O,X,X,X,O,X
JTLZOIS,O,X,O,X,X,X,O,X
JTLZOSI,O,X,O,X,X,X,O,X
JTLOISZ,O,X,O,X,X,X,O,X
JTLOIZS,O,X,O,X,X,X,O,X
JTLOSIZ,O,X,O,X,X,X,O,X
JTLOSZI,O,X,O,X,X,X,O,X
JTLOZIS,O,X,O,X,X,X,O,X
JTLOZSI,O,X,O,X,X,X,O,X
JTSILZO,O,X,O,X,X,X,X,X
JTSILOZ,O,X,O,X,X,X,X,O
JTSIZLO,O,X,O,X,X,O,X,X
JTSIZOL,O,X,O,X,X,O,X,O
JTSIOLZ,O,X,O,X,X,X,X,O
JTSIOZL,O,X,O,X,X,O,X,O
JTSLIZO,O,X,O,X,X,X,O,X
JTSLIOZ,O,X,O,X,X,X,X,O
JTSLZIO,O,X,O,X,X,X,O,X
JTSLZOI,O,X,O,X,X,X,O,X
JTSLOIZ,O,X,O,X,X,X,X,O
JTSLOZI,O,X,O,X,X,X,X,X
JTSZILO,O,X,O,X,X,O,X,X
JTSZIOL,O,X,O,X,X,O,X,O
JTSZLIO,O,X,O,X,X,X,O,X
JTSZLOI,O,X,O,X,X,X,O,X
JTSZOIL,O,X,O,X,X,O,X,O
JTSZOLI,O,X,O,X,X,X,O,X
JTSOILZ,O,X,O,X,X,X,X,O
JTSOIZL,O,X,O,X,X,O,X,O
