sequence,v115@GhA8HeB8HeC8BeB8AeD8Jex/IvhF8lBzhBunB/pBaq?BlrB,v115@GhA8HeB8HeC8BeB8AeD8JeT/IvhFigBRiB3lBGnB0p?BlrB,v115@GhA8HeB8HeC8BeB8AeD8JeT/IvhF8lBRiBypBGnBlr?BXqB,v115@GhA8HeB8HeC8BeB8AeD8Jex/IvhF0hBliBTkBmlBXq?BCsB,v115@GhA8HeB8HeC8BeB8AeD8JeOEJvhFxgBliBqpBTlB/r?BUsB,v115@GhA8HeB8HeC8BeB8AeD8JeiAJvhFRiBTkB3lBGnBlr?B0pB,v115@GhA8HeB8HeC8BeB8AeD8Jei/IvhFzhBunBRlB3lB0p?BlrB,v115@GhA8HeB8HeC8BeB8AeD8JeKEJvhFRhBunBFlBXmB8r?BzpB
JTZISOL,O,O,X,O,O,O,O,X
JTZIOLS,O,O,O,O,X,X,O,X
JTZIOSL,O,O,X,O,X,O,O,X
JTZLISO,X,O,O,O,O,X,O,O
JTZLIOS,O,O,O,O,O,X,O,X
JTZLSIO,O,O,O,O,O,X,O,O
JTZLSOI,O,O,O,O,O,X,O,O
JTZLOIS,O,O,O,O,O,X,O,X
JTZLOSI,O,O,O,O,O,X,O,O
JTZSILO,O,O,O,O,O,O,O,O
JTZSIOL,O,O,X,O,O,O,O,X
JTZSLIO,O,O,O,O,O,O,O,O
JTZSLOI,O,O,O,O,O,O,O,O
JTZSOIL,O,O,X,O,O,O,O,X
JTZSOLI,O,O,X,O,O,O,O,X
JTZOILS,O,O,O,O,X,X,O,X
JTZOISL,O,O,X,O,X,O,O,X
JTZOLIS,O,O,O,O,O,X,O,X
JTZOLSI,O,O,O,O,O,X,O,X
JTZOSIL,O,O,X,O,O,O,O,X
JTZOSLI,O,O,X,O,O,O,O,X
JTOILSZ,X,X,O,O,O,O,O,X
JTOILZS,X,X,O,O,O,X,O,X
JTOISLZ,O,O,X,O,X,O,O,X
JTOISZL,O,O,X,O,X,O,X,X
JTOIZLS,O,O,O,O,X,X,O,X
JTOIZSL,O,O,X,O,X,O,O,X
JTOLISZ,X,X,O,O,O,O,O,X
JTOLIZS,X,X,O,O,O,X,O,X
JTOLSIZ,O,X,O,O,O,O,X,X
JTOLSZI,O,X,O,O,O,O,X,X
JTOLZIS,O,X,O,O,O,X,O,X
JTOLZSI,O,X,O,O,O,X,O,X
JTOSILZ,O,O,X,O,O,O,O,X
JTOSIZL,O,O,X,O,O,O,X,X
JTOSLIZ,O,O,X,O,O,O,X,X
JTOSLZI,O,O,X,O,O,O,X,X
JTOSZIL,O,O,X,O,X,O,O,X
JTOSZLI,O,O,X,O,X,O,O,X
JTOZILS,O,O,O,O,X,X,O,X
JTOZISL,O,O,X,O,X,O,O,X
JTOZLIS,O,O,O,O,O,X,O,X
JTOZLSI,O,O,O,O,O,X,O,X
JTOZSIL,O,O,X,O,O,O,O,X
JTOZSLI,O,O,X,O,O,O,O,X
JITLSZO,X,O,O,O,O,O,X,X
JITLSOZ,X,O,O,O,O,O,O,X
JITLZSO,X,O,O,O,O,X,X,X
JITLZOS,X,O,O,O,O,X,O,X
JITLOSZ,X,X,O,O,O,O,O,X
JITLOZS,X,X,O,O,O,X,O,X
JITSLZO,O,O,O,O,O,O,X,X
JITSLOZ,O,O,O,O,O,O,O,X
JITSZLO,O,O,O,O,O,O,X,X
JITSZOL,O,O,X,O,O,O,X,X
JITSOLZ,O,O,X,O,O,O,O,X
JITSOZL,O,O,X,O,O,O,X,X
JITZLSO,X,O,O,O,O,X,O,X
JITZLOS,O,O,O,O,O,X,O,X
JITZSLO,O,O,O,O,O,O,O,X
JITZSOL,O,O,X,O,O,O,O,X
JITZOLS,O,O,O,O,X,X,O,X
JITZOSL,O,O,X,O,X,O,O,X
JITOLSZ,X,X,O,O,X,O,O,X
JITOLZS,X,X,O,O,X,X,O,X
JITOSLZ,O,O,X,O,X,O,O,X
JITOSZL,O,O,X,O,X,O,X,X
JITOZLS,O,O,O,O,X,X,O,X
JITOZSL,O,O,X,O,X,O,O,X
JILTSZO,X,X,O,O,O,X,X,X
JILTSOZ,X,X,O,O,O,X,X,X
JILTZSO,X,X,O,O,O,X,X,O
JILTZOS,X,X,O,O,O,X,X,X
JILTOSZ,X,X,O,O,O,X,X,X
JILTOZS,X,X,O,O,O,X,X,X
JILSTZO,X,O,O,O,O,X,X,X
JILSTOZ,X,X,O,O,O,X,X,X
JILSZTO,X,O,X,O,O,X,X,X
JILSZOT,X,O,X,O,O,X,X,X
JILSOTZ,X,X,O,O,O,X,X,X
JILSOZT,X,O,X,O,O,X,X,X
JILZTSO,X,X,O,O,O,X,X,O
JILZTOS,X,X,O,O,O,X,X,X
JILZSTO,X,O,X,O,X,X,X,O
JILZSOT,X,O,X,O,X,X,X,O
JILZOTS,X,X,O,O,O,X,X,X
JILZOST,X,O,X,O,X,X,X,O
JILOTSZ,X,X,O,O,O,X,X,X
JILOTZS,X,X,O,O,O,X,X,X
JILOSTZ,X,X,O,O,O,X,X,X
JILOSZT,X,X,X,O,O,X,X,X
JILOZTS,X,X,O,O,O,X,X,X
JILOZST,X,X,X,O,O,X,X,X
JISTLZO,O,O,X,O,O,X,X,X
JISTLOZ,O,X,X,O,O,X,X,X
JISTZLO,O,O,X,O,O,X,X,X
JISTZOL,O,O,X,O,O,X,X,X
JISTOLZ,O,X,X,O,O,X,X,X
JISTOZL,O,X,X,O,O,X,X,X
JISLTZO,O,O,O,O,O,X,X,X
JISLTOZ,O,X,O,O,O,X,X,X
JISLZTO,O,O,X,O,O,X,X,X
JISLZOT,O,O,X,O,O,X,X,X
JISLOTZ,X,X,O,O,O,O,X,X
JISLOZT,O,O,X,O,O,X,X,X
JISZTLO,O,O,X,O,O,X,X,X
JISZTOL,O,O,X,O,O,X,X,X
JISZLTO,O,O,X,O,O,X,X,X
JISZLOT,O,O,X,O,O,X,X,X
JISZOTL,O,O,X,O,O,X,X,X
JISZOLT,X,O,X,O,X,X,X,X
JISOTLZ,X,X,X,O,O,X,X,X
JISOTZL,X,X,X,O,O,X,X,X
JISOLTZ,X,X,X,O,X,O,X,X
JISOLZT,X,O,X,O,X,X,X,X
JISOZTL,O,O,X,O,O,X,X,X
JISOZLT,X,O,X,O,X,X,X,X
JIZTLSO,X,O,X,O,O,X,O,O
JIZTLOS,O,O,X,O,O,X,O,X
JIZTSLO,O,O,X,O,O,X,O,O
JIZTSOL,O,O,X,O,O,X,O,X
JIZTOLS,O,O,X,O,X,X,O,X
JIZTOSL,O,O,X,O,X,X,O,X
JIZLTSO,X,X,O,O,O,X,O,O
JIZLTOS,O,X,O,O,O,X,O,X
JIZLSTO,X,O,X,O,X,X,O,O
JIZLSOT,X,O,X,O,X,X,X,O
JIZLOTS,X,X,O,O,O,X,O,X
JIZLOST,X,O,X,O,X,X,X,O
JIZSTLO,O,O,X,O,X,X,O,O
JIZSTOL,O,O,X,O,X,X,O,X
JIZSLTO,O,O,X,O,X,X,O,O
JIZSLOT,O,O,X,O,X,X,X,O
JIZSOTL,O,O,X,O,X,X,X,X
JIZSOLT,X,O,X,O,X,X,X,O
JIZOTLS,O,O,X,O,X,X,O,X
JIZOTSL,O,O,X,O,X,X,O,X
JIZOLTS,X,X,X,O,X,X,O,X
JIZOLST,X,O,X,O,X,X,X,O
JIZOSTL,X,O,X,O,X,X,X,X
JIZOSLT,X,O,X,O,X,X,X,O
JIOTLSZ,X,X,X,O,X,O,X,X
JIOTLZS,X,X,X,O,X,X,X,X
JIOTSLZ,X,X,X,O,X,O,X,X
JIOTSZL,X,X,X,O,X,O,X,X
JIOTZLS,X,X,X,O,X,X,X,X
JIOTZSL,X,X,X,O,X,O,X,X
JIOLTSZ,X,X,O,O,X,X,X,X
JIOLTZS,X,X,O,O,X,X,X,X
JIOLSTZ,X,X,O,O,X,X,X,X
JIOLSZT,X,X,X,O,X,X,X,X
JIOLZTS,X,X,O,O,X,X,X,X
JIOLZST,X,X,X,O,X,X,X,X
JIOSTLZ,X,X,X,O,X,X,X,X
JIOSTZL,X,X,X,O,X,X,X,X
JIOSLTZ,X,X,X,O,X,O,X,X
JIOSLZT,X,O,X,O,X,X,X,X
JIOSZTL,X,O,X,O,X,X,X,X
JIOSZLT,X,O,X,O,X,X,X,X
JIOZTLS,X,X,X,O,X,X,X,X
JIOZTSL,X,O,X,O,X,X,X,X
JIOZLTS,X,X,X,O,X,X,X,X
JIOZLST,X,O,X,O,X,X,X,X
JIOZSTL,X,O,X,O,X,X,X,X
JIOZSLT,X,O,X,O,X,X,X,X
JLTISZO,X,X,O,O,O,X,X,X
JLTISOZ,X,X,O,O,O,X,O,X
JLTIZSO,X,X,O,O,O,X,X,O
JLTIZOS,X,X,O,O,O,X,O,X
JLTIOSZ,X,X,O,O,O,X,O,X
JLTIOZS,X,X,O,O,O,X,O,X
JLTSIZO,O,X,O,O,O,X,X,X
JLTSIOZ,O,X,O,O,O,X,X,X
JLTSZIO,O,X,O,O,O,X,X,O
JLTSZOI,O,X,O,O,O,X,X,O
JLTSOIZ,O,X,O,O,O,X,X,X
JLTSOZI,O,X,O,O,O,X,X,X
JLTZISO,X,X,O,O,O,X,O,O
JLTZIOS,O,X,O,O,O,X,O,X
JLTZSIO,O,X,O,O,O,X,O,O
JLTZSOI,O,X,O,O,O,X,O,O
JLTZOIS,O,X,O,O,O,X,O,X
JLTZOSI,O,X,O,O,O,X,O,O
JLTOISZ,X,X,O,O,O,X,O,X
JLTOIZS,X,X,O,O,O,X,O,X
JLTOSIZ,O,X,O,O,O,X,X,X
JLTOSZI,O,X,O,O,O,X,X,X
JLTOZIS,O,X,O,O,O,X,O,X
JLTOZSI,O,X,O,O,O,X,O,O
JLITSZO,X,X,O,O,O,X,X,X
JLITSOZ,X,X,O,O,O,X,X,X
JLITZSO,X,X,O,O,O,X,X,O
JLITZOS,X,X,O,O,O,X,X,X
JLITOSZ,X,X,O,O,O,X,X,X
JLITOZS,X,X,O,O,O,X,X,X
JLISTZO,X,O,O,O,O,X,X,X
JLISTOZ,X,X,O,O,O,X,X,X
JLISZTO,X,O,X,O,O,X,X,X
JLISZOT,X,O,X,O,O,X,X,X
JLISOTZ,X,X,O,O,O,X,X,X
JLISOZT,X,O,X,O,O,X,X,X
JLIZTSO,X,X,O,O,O,X,X,O
JLIZTOS,X,X,O,O,O,X,X,X
JLIZSTO,X,O,X,O,X,X,X,O
JLIZSOT,X,O,X,O,X,X,X,O
JLIZOTS,X,X,O,O,O,X,X,X
JLIZOST,X,O,X,O,X,X,X,O
JLIOTSZ,X,X,O,O,O,X,X,X
JLIOTZS,X,X,O,O,O,X,X,X
JLIOSTZ,X,X,O,O,O,X,X,X
JLIOSZT,X,X,X,O,O,X,X,X
JLIOZTS,X,X,O,O,O,X,X,X
JLIOZST,X,X,X,O,O,X,X,X
JLSTIZO,O,O,O,O,O,X,X,X
JLSTIOZ,O,X,O,O,O,X,X,X
JLSTZIO,O,O,O,O,O,X,X,O
JLSTZOI,O,O,O,O,O,X,X,O
JLSTOIZ,O,X,O,O,O,O,X,X
JLSTOZI,O,X,O,O,O,O,X,X
JLSITZO,O,O,O,O,O,X,X,X
JLSITOZ,O,X,O,O,O,X,X,X
JLSIZTO,O,O,X,O,O,X,X,X
JLSIZOT,O,O,X,O,O,X,X,X
JLSIOTZ,X,X,O,O,O,O,X,X
JLSIOZT,O,O,X,O,O,X,X,X
JLSZTIO,O,O,X,O,O,X,X,O
JLSZTOI,O,O,X,O,O,X,X,O
JLSZITO,O,O,X,O,O,X,X,O
JLSZIOT,O,O,X,O,O,X,X,O
JLSZOTI,O,O,O,O,O,O,X,O
JLSZOIT,O,O,X,O,O,X,X,O
JLSOTIZ,O,X,O,O,O,O,X,X
JLSOTZI,O,X,O,O,O,O,X,X
JLSOITZ,X,X,O,O,O,O,X,X
JLSOIZT,O,O,X,O,O,X,X,X
JLSOZTI,O,O,O,O,O,O,X,X
JLSOZIT,O,O,X,O,O,X,X,X
JLZTISO,X,X,O,O,O,X,O,O
JLZTIOS,O,X,O,O,O,X,O,X
JLZTSIO,O,X,O,O,O,X,O,O
JLZTSOI,O,X,O,O,O,X,O,O
JLZTOIS,O,X,O,O,O,X,O,X
JLZTOSI,O,X,O,O,O,X,O,O
JLZITSO,X,X,O,O,O,X,O,O
JLZITOS,O,X,O,O,O,X,O,X
JLZISTO,X,O,X,O,X,X,O,O
JLZISOT,X,O,X,O,X,X,X,O
JLZIOTS,X,X,O,O,O,X,O,X
JLZIOST,X,O,X,O,X,X,X,O
JLZSTIO,O,O,X,O,O,X,O,O
JLZSTOI,O,O,X,O,O,X,O,O
JLZSITO,O,O,X,O,O,X,O,O
JLZSIOT,O,O,X,O,O,X,X,O
JLZSOTI,O,O,O,O,O,X,X,O
JLZSOIT,O,O,X,O,O,X,X,O
JLZOTIS,X,X,O,O,O,X,O,X
JLZOTSI,X,X,O,O,O,X,O,O
JLZOITS,X,X,O,O,O,X,O,X
JLZOIST,X,O,X,O,O,X,X,O
JLZOSTI,X,O,O,O,O,X,X,O
JLZOSIT,X,O,X,O,O,X,X,O
JLOTISZ,X,X,O,O,O,X,X,X
JLOTIZS,X,X,O,O,O,X,X,X
JLOTSIZ,X,X,O,O,O,X,X,X
JLOTSZI,X,X,O,O,O,X,X,X
JLOTZIS,X,X,O,O,O,X,X,X
JLOTZSI,X,X,O,O,O,X,X,O
JLOITSZ,X,X,O,O,O,X,X,X
JLOITZS,X,X,O,O,O,X,X,X
JLOISTZ,X,X,O,O,O,X,X,X
JLOISZT,X,X,X,O,O,X,X,X
JLOIZTS,X,X,O,O,O,X,X,X
JLOIZST,X,X,X,O,O,X,X,X
JLOSTIZ,X,X,O,O,O,O,X,X
JLOSTZI,X,X,O,O,O,O,X,X
JLOSITZ,X,X,O,O,O,O,X,X
JLOSIZT,X,X,X,O,O,X,X,X
JLOSZTI,X,X,O,O,O,O,X,X
JLOSZIT,X,X,X,O,O,X,X,X
JLOZTIS,X,X,O,O,O,X,X,X
JLOZTSI,X,X,O,O,O,X,X,O
JLOZITS,X,X,O,O,O,X,X,X
JLOZIST,X,X,X,O,O,X,X,O
JLOZSTI,X,X,O,O,O,X,X,O
JLOZSIT,X,X,X,O,O,X,X,O
JSTILZO,O,O,X,O,O,O,X,X
JSTILOZ,O,O,X,O,O,O,O,X
JSTIZLO,O,O,X,O,O,O,X,X
JSTIZOL,O,O,X,O,O,O,X,X
JSTIOLZ,O,O,X,O,O,O,O,X
JSTIOZL,O,O,X,O,O,O,X,X
JSTLIZO,O,O,X,O,O,O,X,X
JSTLIOZ,O,O,X,O,O,O,X,X
JSTLZIO,O,O,X,O,O,O,X,X
JSTLZOI,O,O,X,O,O,O,X,X
JSTLOIZ,O,O,X,O,O,O,X,X
JSTLOZI,O,O,X,O,O,O,X,X
JSTZILO,O,O,X,O,O,O,O,X
JSTZIOL,O,O,X,O,O,O,O,X
JSTZLIO,O,O,X,O,O,O,O,X
JSTZLOI,O,O,X,O,O,O,O,X
JSTZOIL,O,O,X,O,O,O,O,X
JSTZOLI,O,O,X,O,O,O,O,X
JSTOILZ,O,O,X,O,O,O,O,X
JSTOIZL,O,O,X,O,O,O,X,X
JSTOLIZ,O,O,X,O,O,O,X,X
JSTOLZI,O,O,X,O,O,O,X,X
JSTOZIL,O,O,X,O,X,O,O,X
JSTOZLI,O,O,X,O,X,O,O,X
JSITLZO,O,O,X,O,O,X,X,X
JSITLOZ,O,X,X,O,O,X,X,X
JSITZLO,O,O,X,O,O,X,X,X
JSITZOL,O,O,X,O,O,X,X,X
JSITOLZ,O,X,X,O,O,X,X,X
JSITOZL,O,X,X,O,O,X,X,X
JSILTZO,O,O,O,O,O,X,X,X
JSILTOZ,O,X,O,O,O,X,X,X
JSILZTO,O,O,X,O,O,X,X,X
JSILZOT,O,O,X,O,O,X,X,X
JSILOTZ,X,X,O,O,O,O,X,X
JSILOZT,O,O,X,O,O,X,X,X
JSIZTLO,O,O,X,O,O,X,X,X
JSIZTOL,O,O,X,O,O,X,X,X
JSIZLTO,O,O,X,O,O,X,X,X
JSIZLOT,O,O,X,O,O,X,X,X
JSIZOTL,O,O,X,O,O,X,X,X
JSIZOLT,X,O,X,O,O,X,X,X
JSIOTLZ,X,X,X,O,O,X,X,X
JSIOTZL,X,X,X,O,O,X,X,X
JSIOLTZ,X,X,X,O,O,O,X,X
JSIOLZT,X,O,X,O,O,X,X,X
JSIOZTL,O,O,X,O,O,X,X,X
JSIOZLT,X,O,X,O,O,X,X,X
JSLTIZO,O,O,O,O,O,O,X,X
JSLTIOZ,O,O,O,O,O,O,X,X
JSLTZIO,O,O,O,O,O,O,X,O
JSLTZOI,O,O,O,O,O,O,X,O
JSLTOIZ,O,O,O,O,O,O,X,X
JSLTOZI,O,O,O,O,O,O,X,X
JSLITZO,O,O,O,O,O,X,X,X
JSLITOZ,O,X,O,O,O,X,X,X
JSLIZTO,O,O,X,O,O,X,X,X
JSLIZOT,O,O,X,O,O,X,X,X
JSLIOTZ,X,X,O,O,O,O,X,X
JSLIOZT,O,O,X,O,O,X,X,X
JSLZTIO,O,O,X,O,O,X,X,O
JSLZTOI,O,O,X,O,O,X,X,O
JSLZITO,O,O,X,O,O,X,X,O
JSLZIOT,O,O,X,O,O,X,X,O
JSLZOTI,O,O,O,O,O,O,X,O
JSLZOIT,O,O,X,O,O,X,X,O
JSLOTIZ,O,X,O,O,O,O,X,X
JSLOTZI,O,X,O,O,O,O,X,X
JSLOITZ,X,X,O,O,O,O,X,X
JSLOIZT,O,O,X,O,O,X,X,X
JSLOZTI,O,O,O,O,O,O,X,X
JSLOZIT,O,O,X,O,O,X,X,X
JSZTILO,O,O,X,O,O,X,O,O
JSZTIOL,O,O,X,O,O,X,O,X
JSZTLIO,O,O,X,O,O,X,O,O
JSZTLOI,O,O,X,O,O,X,O,O
JSZTOIL,O,O,X,O,O,X,O,X
JSZTOLI,O,O,X,O,O,X,O,X
JSZITLO,O,O,X,O,O,X,O,O
JSZITOL,O,O,X,O,O,X,O,X
JSZILTO,O,O,X,O,O,X,O,O
JSZILOT,O,O,X,O,O,X,X,O
JSZIOTL,O,O,X,O,O,X,X,X
JSZIOLT,X,O,X,O,O,X,X,O
JSZLTIO,O,O,X,O,O,X,O,O
JSZLTOI,O,O,X,O,O,X,O,O
JSZLITO,O,O,X,O,O,X,O,O
JSZLIOT,O,O,X,O,O,X,X,O
JSZLOTI,O,O,O,O,O,O,X,O
JSZLOIT,O,O,X,O,O,X,X,O
JSZOTIL,O,O,X,O,O,X,X,X
JSZOTLI,O,O,X,O,O,X,X,X
JSZOITL,O,O,X,O,O,X,X,X
JSZOILT,X,O,X,O,O,X,X,O
JSZOLTI,O,O,X,O,O,O,X,O
JSZOLIT,O,O,X,O,O,X,X,O
JSOTILZ,O,X,X,O,O,O,X,X
JSOTIZL,O,X,X,O,O,O,X,X
JSOTLIZ,O,X,X,O,O,O,X,X
JSOTLZI,O,X,X,O,O,O,X,X
JSOTZIL,O,X,X,O,X,O,X,X
JSOTZLI,O,X,X,O,X,O,X,X
JSOITLZ,X,X,X,O,O,X,X,X
JSOITZL,X,X,X,O,O,X,X,X
JSOILTZ,X,X,X,O,O,O,X,X
JSOILZT,X,O,X,O,O,X,X,X
JSOIZTL,O,O,X,O,O,X,X,X
JSOIZLT,X,O,X,O,O,X,X,X
JSOLTIZ,O,X,X,O,O,O,X,X
JSOLTZI,O,X,X,O,O,O,X,X
JSOLITZ,X,X,X,O,O,O,X,X
JSOLIZT,O,O,X,O,O,X,X,X
JSOLZTI,O,O,X,O,O,O,X,X
JSOLZIT,O,O,X,O,O,X,X,X
JSOZTIL,O,O,X,O,O,X,X,X
JSOZTLI,O,O,X,O,O,X,X,X
JSOZITL,O,O,X,O,O,X,X,X
JSOZILT,X,O,X,O,O,X,X,X
JSOZLTI,O,O,X,O,O,O,X,X
JSOZLIT,O,O,X,O,O,X,X,X
JZTILSO,X,O,O,O,O,X,O,O
JZTILOS,O,O,O,O,O,X,O,X
JZTISLO,O,O,O,O,O,X,O,O
JZTISOL,O,O,X,O,O,X,O,X
JZTIOLS,O,O,O,O,X,X,O,X
JZTIOSL,O,O,X,O,X,X,O,X
JZTLISO,X,O,O,O,O,X,O,O
JZTLIOS,O,O,O,O,O,X,O,X
JZTLSIO,O,O,O,O,O,X,O,O
JZTLSOI,O,O,O,O,O,X,O,O
JZTLOIS,O,O,O,O,O,X,O,X
JZTLOSI,O,O,O,O,O,X,O,O
JZTSILO,O,O,O,O,O,X,O,O
JZTSIOL,O,O,X,O,O,X,O,X
JZTSLIO,O,O,O,O,O,X,O,O
JZTSLOI,O,O,O,O,O,X,O,O
JZTSOIL,O,O,X,O,O,X,O,X
JZTSOLI,O,O,X,O,O,X,O,X
JZTOILS,O,O,O,O,X,X,O,X
JZTOISL,O,O,X,O,X,X,O,X
JZTOLIS,O,O,O,O,O,X,O,X
JZTOLSI,O,O,O,O,O,X,O,X
JZTOSIL,O,O,X,O,O,X,O,X
JZTOSLI,O,O,X,O,O,X,O,X
JZITLSO,X,O,X,O,O,X,O,O
JZITLOS,O,O,X,O,O,X,O,X
JZITSLO,O,O,X,O,O,X,O,O
JZITSOL,O,O,X,O,O,X,O,X
JZITOLS,O,O,X,O,X,X,O,X
JZITOSL,O,O,X,O,X,X,O,X
JZILTSO,X,X,O,O,O,X,O,O
JZILTOS,O,X,O,O,O,X,O,X
JZILSTO,X,O,X,O,X,X,O,O
JZILSOT,X,O,X,O,X,X,X,O
JZILOTS,X,X,O,O,O,X,O,X
JZILOST,X,O,X,O,X,X,X,O
JZISTLO,O,O,X,O,X,X,O,O
JZISTOL,O,O,X,O,X,X,O,X
JZISLTO,O,O,X,O,X,X,O,O
JZISLOT,O,O,X,O,X,X,X,O
JZISOTL,O,O,X,O,X,X,X,X
JZISOLT,X,O,X,O,X,X,X,O
JZIOTLS,O,O,X,O,X,X,O,X
JZIOTSL,O,O,X,O,X,X,O,X
JZIOLTS,X,X,X,O,X,X,O,X
JZIOLST,X,O,X,O,X,X,X,O
JZIOSTL,X,O,X,O,X,X,X,X
JZIOSLT,X,O,X,O,X,X,X,O
JZLTISO,X,X,O,O,O,X,O,O
JZLTIOS,O,X,O,O,O,X,O,X
JZLTSIO,O,X,O,O,O,X,O,O
JZLTSOI,O,X,O,O,O,X,O,O
JZLTOIS,O,X,O,O,O,X,O,X
JZLTOSI,O,X,O,O,O,X,O,O
JZLITSO,X,X,O,O,O,X,O,O
JZLITOS,O,X,O,O,O,X,O,X
JZLISTO,X,O,X,O,X,X,O,O
JZLISOT,X,O,X,O,X,X,X,O
JZLIOTS,X,X,O,O,O,X,O,X
JZLIOST,X,O,X,O,X,X,X,O
JZLSTIO,O,O,X,O,O,X,O,O
JZLSTOI,O,O,X,O,O,X,O,O
JZLSITO,O,O,X,O,O,X,O,O
JZLSIOT,O,O,X,O,O,X,X,O
JZLSOTI,O,O,O,O,O,X,X,O
JZLSOIT,O,O,X,O,O,X,X,O
JZLOTIS,X,X,O,O,O,X,O,X
JZLOTSI,X,X,O,O,O,X,O,O
JZLOITS,X,X,O,O,O,X,O,X
JZLOIST,X,O,X,O,O,X,X,O
JZLOSTI,X,O,O,O,O,X,X,O
JZLOSIT,X,O,X,O,O,X,X,O
JZSTILO,O,O,X,O,O,X,O,O
JZSTIOL,O,O,X,O,O,X,O,X
JZSTLIO,O,O,X,O,O,X,O,O
JZSTLOI,O,O,X,O,O,X,O,O
JZSTOIL,O,O,X,O,O,X,O,X
JZSTOLI,O,O,X,O,O,X,O,X
JZSITLO,O,O,X,O,O,X,O,O
JZSITOL,O,O,X,O,O,X,O,X
JZSILTO,O,O,X,O,O,X,O,O
JZSILOT,O,O,X,O,O,X,X,O
JZSIOTL,O,O,X,O,O,X,X,X
JZSIOLT,X,O,X,O,X,X,X,O
JZSLTIO,O,O,X,O,O,X,O,O
JZSLTOI,O,O,X,O,O,X,O,O
JZSLITO,O,O,X,O,O,X,O,O
JZSLIOT,O,O,X,O,O,X,X,O
JZSLOTI,O,O,O,O,O,O,X,O
JZSLOIT,O,O,X,O,O,X,X,O
JZSOTIL,O,O,X,O,O,X,X,X
JZSOTLI,O,O,X,O,O,X,X,X
JZSOITL,O,O,X,O,O,X,X,X
JZSOILT,X,O,X,O,X,X,X,O
JZSOLTI,O,O,X,O,O,O,X,O
JZSOLIT,O,O,X,O,O,X,X,O
JZOTILS,O,O,X,O,X,X,O,X
JZOTISL,O,O,X,O,X,X,O,X
JZOTLIS,O,O,X,O,O,X,O,X
JZOTLSI,O,O,X,O,O,X,O,X
JZOTSIL,O,O,X,O,O,X,O,X
JZOTSLI,O,O,X,O,O,X,O,X
JZOITLS,O,O,X,O,X,X,O,X
JZOITSL,O,O,X,O,X,X,O,X
JZOILTS,X,X,X,O,X,X,O,X
JZOILST,X,O,X,O,X,X,X,O
JZOISTL,X,O,X,O,X,X,X,X
JZOISLT,X,O,X,O,X,X,X,O
JZOLTIS,X,X,O,O,O,X,O,X
JZOLTSI,X,X,O,O,O,X,O,O
JZOLITS,X,X,O,O,O,X,O,X
JZOLIST,X,O,X,O,X,X,X,O
JZOLSTI,X,O,O,O,O,X,X,O
JZOLSIT,X,O,X,O,X,X,X,O
JZOSTIL,O,O,X,O,X,X,X,X
JZOSTLI,O,O,X,O,X,X,X,X
JZOSITL,O,O,X,O,X,X,X,X
JZOSILT,X,O,X,O,X,X,X,O
JZOSLTI,O,O,X,O,X,O,X,O
JZOSLIT,O,O,X,O,X,X,X,O
JOTILSZ,X,X,X,O,O,O,O,X
JOTILZS,X,X,X,O,O,X,O,X
JOTISLZ,O,X,X,O,X,O,O,X
JOTISZL,O,X,X,O,X,O,X,X
JOTIZLS,O,X,X,O,X,X,O,X
JOTIZSL,O,X,X,O,X,O,O,X
JOTLISZ,X,X,X,O,O,O,O,X
JOTLIZS,X,X,X,O,O,X,O,X
JOTLSIZ,O,X,X,O,O,O,X,X
JOTLSZI,O,X,X,O,O,O,X,X
JOTLZIS,O,X,X,O,O,X,O,X
JOTLZSI,O,X,X,O,O,X,O,X
JOTSILZ,O,X,X,O,O,O,O,X
JOTSIZL,O,X,X,O,O,O,X,X
JOTSLIZ,O,X,X,O,O,O,X,X
JOTSLZI,O,X,X,O,O,O,X,X
JOTSZIL,O,X,X,O,X,O,O,X
JOTSZLI,O,X,X,O,X,O,O,X
JOTZILS,O,X,X,O,X,X,O,X
JOTZISL,O,X,X,O,X,O,O,X
JOTZLIS,O,X,X,O,O,X,O,X
JOTZLSI,O,X,X,O,O,X,O,X
JOTZSIL,O,X,X,O,O,O,O,X
JOTZSLI,O,X,X,O,O,O,O,X
JOITLSZ,X,X,X,O,O,O,X,X
JOITLZS,X,X,X,O,O,X,X,X
JOITSLZ,X,X,X,O,X,O,X,X
JOITSZL,X,X,X,O,X,O,X,X
JOITZLS,X,X,X,O,X,X,X,X
JOITZSL,X,X,X,O,X,O,X,X
JOILTSZ,X,X,O,O,O,X,X,X
JOILTZS,X,X,O,O,O,X,X,X
JOILSTZ,X,X,O,O,O,X,X,X
JOILSZT,X,X,X,O,O,X,X,X
JOILZTS,X,X,O,O,O,X,X,X
JOILZST,X,X,X,O,O,X,X,X
JOISTLZ,X,X,X,O,O,X,X,X
JOISTZL,X,X,X,O,X,X,X,X
JOISLTZ,X,X,X,O,O,O,X,X
JOISLZT,X,O,X,O,O,X,X,X
JOISZTL,X,O,X,O,O,X,X,X
JOISZLT,X,O,X,O,O,X,X,X
JOIZTLS,X,X,X,O,X,X,X,X
JOIZTSL,X,O,X,O,X,X,X,X
JOIZLTS,X,X,X,O,X,X,X,X
JOIZLST,X,O,X,O,X,X,X,X
JOIZSTL,X,O,X,O,X,X,X,X
JOIZSLT,X,O,X,O,X,X,X,X
