sequence,v115@9gB8HeC8GeA8IeE8CeA8KelAJvhFUiBGjB6rB/tBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFlhBGjB6sB/tBRq?BzrB,v115@9gB8HeC8GeA8IeE8CeA8Ke8FJvhFzhBaoB5oB+sBXl?BlrB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFVnBGjB/tB6rBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0BJvhFliB5oBzlBysBXl?BWxB
TZJSOLI,X,O,O,X,X
TZJOILS,X,X,O,X,X
TZJOISL,X,X,O,X,X
TZJOLIS,X,X,O,X,X
TZJOLSI,X,X,O,X,X
TZJOSIL,X,O,O,X,X
TZJOSLI,X,O,O,X,X
TZSILJO,O,O,X,X,X
TZSILOJ,O,O,X,X,X
TZSIJLO,O,O,O,X,X
TZSIJOL,O,O,O,O,X
TZSIOLJ,O,O,X,O,X
TZSIOJL,O,O,O,O,X
TZSLIJO,O,O,X,X,X
TZSLIOJ,X,O,X,X,X
TZSLJIO,O,O,X,X,X
TZSLJOI,O,O,X,X,X
TZSLOIJ,O,X,X,X,X
TZSLOJI,O,O,X,X,X
TZSJILO,O,O,O,X,X
TZSJIOL,O,O,O,O,X
TZSJLIO,O,O,O,X,X
TZSJLOI,O,O,O,X,X
TZSJOIL,O,O,O,O,X
TZSJOLI,O,O,O,O,X
TZSOILJ,O,X,X,O,X
TZSOIJL,O,O,O,O,X
TZSOLIJ,X,O,X,X,X
TZSOLJI,O,O,X,O,X
TZSOJIL,O,O,O,O,X
TZSOJLI,O,O,O,O,X
TZOILJS,X,X,O,X,X
TZOILSJ,O,O,X,O,X
TZOIJLS,X,X,O,X,X
TZOIJSL,O,O,O,O,X
TZOISLJ,O,O,X,O,X
TZOISJL,O,O,O,O,X
TZOLIJS,X,X,O,X,X
TZOLISJ,X,O,X,X,X
TZOLJIS,X,X,O,X,X
TZOLJSI,X,O,O,X,X
