sequence,v115@XhD8BeH8Jex/IvhF8lBGiBTjB3mBlpBipB,v115@XhD8BeH8Jex/IvhF8lBGiBTjB3mBipBlpB,v115@XhD8BeH8Jei/IvhFfmBGjBUlBRnBlmBTpB,v115@XhD8BeH8JeRAJvhFGiBTjB0lBlmBipB/pB,v115@XhD8BeH8JeZEJvhFfmBSnBTjBupBUqBlrB,v115@XhD8BeH8JeZEJvhFfmBSnBTjBUlBupBlrB
LZOSJIT,X,O,O,X,O,O
LOTIJSZ,X,X,X,X,O,X
LOTIJZS,X,X,O,O,X,X
LOTISJZ,X,X,X,X,O,X
LOTISZJ,X,X,X,X,X,O
LOTIZJS,X,X,O,O,X,X
LOTIZSJ,X,X,O,O,X,O
LOTJISZ,X,X,X,X,O,X
LOTJIZS,X,X,O,O,X,X
LOTJSIZ,X,X,X,X,O,X
LOTJSZI,O,O,X,O,X,X
LOTJZIS,O,O,O,O,X,X
LOTJZSI,X,X,O,O,X,X
LOTSIJZ,X,X,X,X,O,X
LOTSIZJ,X,X,X,X,X,O
LOTSJIZ,X,X,X,X,O,X
LOTSJZI,O,O,X,O,X,X
LOTSZIJ,O,O,X,O,X,O
LOTSZJI,O,O,X,O,X,X
LOTZIJS,O,O,O,O,X,X
LOTZISJ,X,X,O,O,X,O
LOTZJIS,O,O,O,O,X,X
LOTZJSI,X,X,O,O,X,X
LOTZSIJ,X,X,O,O,X,O
LOTZSJI,X,X,O,O,X,X
LOITJSZ,X,X,X,X,O,X
LOITJZS,X,X,O,O,X,X
LOITSJZ,X,X,X,X,O,X
LOITSZJ,X,X,X,X,X,O
LOITZJS,X,X,O,O,X,X
LOITZSJ,X,X,O,O,X,O
LOIJTSZ,X,X,X,X,O,X
LOIJTZS,X,X,O,O,X,X
LOIJSTZ,X,X,X,X,O,X
LOIJSZT,X,O,O,X,O,O
LOIJZTS,X,O,O,X,X,X
LOIJZST,X,O,O,X,O,O
LOISTJZ,X,X,X,X,O,X
LOISTZJ,X,X,X,X,X,O
LOISJTZ,X,X,X,X,O,X
LOISJZT,X,O,O,X,O,O
LOISZTJ,X,O,O,X,X,O
LOISZJT,X,O,O,X,O,O
LOIZTJS,X,O,O,O,X,X
LOIZTSJ,X,X,O,O,X,O
LOIZJTS,X,O,O,X,X,X
LOIZJST,X,O,O,X,O,O
LOIZSTJ,X,X,O,X,X,O
LOIZSJT,X,O,O,X,O,O
LOJTISZ,X,X,X,X,O,X
LOJTIZS,X,X,O,O,X,X
LOJTSIZ,X,X,X,X,O,X
LOJTSZI,O,O,X,O,X,X
LOJTZIS,O,O,O,O,X,X
LOJTZSI,X,X,O,O,X,X
LOJITSZ,X,X,X,X,O,X
LOJITZS,X,X,O,O,X,X
LOJISTZ,X,X,X,X,O,X
LOJISZT,X,O,O,X,O,O
LOJIZTS,X,O,O,X,X,X
LOJIZST,X,O,O,X,O,O
LOJSTIZ,X,X,X,X,O,X
LOJSTZI,O,O,X,O,X,X
LOJSITZ,X,X,X,X,O,X
LOJSIZT,X,O,O,X,O,O
LOJSZTI,O,O,O,X,X,X
LOJSZIT,O,O,O,X,O,O
LOJZTIS,O,O,O,O,X,X
LOJZTSI,X,X,O,O,X,X
LOJZITS,O,O,O,X,X,X
LOJZIST,O,O,O,X,O,O
LOJZSTI,X,O,O,X,X,X
LOJZSIT,X,O,O,X,O,O
LOSTIJZ,X,X,X,X,O,X
LOSTIZJ,X,X,X,X,X,O
LOSTJIZ,X,X,X,X,O,X
LOSTJZI,O,O,X,O,X,X
LOSTZIJ,O,O,X,O,X,O
LOSTZJI,O,O,X,O,X,X
LOSITJZ,X,X,X,X,O,X
LOSITZJ,X,X,X,X,X,O
LOSIJTZ,X,X,X,X,O,X
LOSIJZT,X,O,O,X,O,O
LOSIZTJ,X,O,O,X,X,O
LOSIZJT,X,O,O,X,O,O
LOSJTIZ,X,X,X,X,O,X
LOSJTZI,O,O,X,O,X,X
LOSJITZ,X,X,X,X,O,X
LOSJIZT,X,O,O,X,O,O
LOSJZTI,O,O,O,X,X,X
LOSJZIT,O,O,O,X,O,O
LOSZTIJ,O,O,O,O,X,O
LOSZTJI,O,O,O,O,X,X
LOSZITJ,X,O,O,X,X,O
LOSZIJT,O,O,O,X,O,O
LOSZJTI,O,O,O,X,X,X
LOSZJIT,O,O,O,X,O,O
LOZTIJS,O,O,O,O,X,X
LOZTISJ,X,X,O,O,X,O
LOZTJIS,O,O,O,O,X,X
LOZTJSI,X,X,O,O,X,X
LOZTSIJ,X,X,O,O,X,O
LOZTSJI,X,X,O,O,X,X
LOZITJS,X,O,O,O,X,X
LOZITSJ,X,X,O,O,X,O
LOZIJTS,O,O,O,X,X,X
LOZIJST,O,O,O,X,O,O
LOZISTJ,X,X,O,X,X,O
LOZISJT,X,O,O,X,O,O
LOZJTIS,O,O,O,O,X,X
LOZJTSI,X,X,O,O,X,X
LOZJITS,O,O,O,X,X,X
LOZJIST,O,O,O,X,O,O
LOZJSTI,X,O,O,X,X,X
LOZJSIT,X,O,O,X,O,O
LOZSTIJ,X,O,O,O,X,O
LOZSTJI,X,O,O,O,X,X
LOZSITJ,X,O,O,X,X,O
LOZSIJT,X,O,O,X,O,O
LOZSJTI,X,O,O,X,X,X
LOZSJIT,X,O,O,X,O,O
JTILSZO,X,X,X,X,X,X
JTILSOZ,X,X,X,X,O,X
JTILZSO,X,X,X,O,X,X
JTILZOS,X,X,X,O,X,X
JTILOSZ,X,X,X,X,O,X
JTILOZS,X,X,X,O,X,X
JTISLZO,X,X,X,X,X,X
JTISLOZ,X,X,X,X,O,X
JTISZLO,O,X,O,X,X,X
JTISZOL,O,X,X,X,X,X
JTISOLZ,X,X,X,X,O,X
JTISOZL,O,X,X,X,X,X
JTIZLSO,X,X,O,O,X,X
JTIZLOS,O,X,X,O,X,X
JTIZSLO,X,X,O,X,X,X
JTIZSOL,O,X,X,X,X,X
JTIZOLS,O,X,X,O,X,X
JTIZOSL,O,X,X,X,X,X
JTIOLSZ,X,X,X,X,O,X
JTIOLZS,X,X,O,O,X,X
JTIOSLZ,X,X,X,X,O,X
JTIOSZL,O,X,X,X,X,X
JTIOZLS,O,X,O,O,X,X
JTIOZSL,O,X,O,X,X,X
JTLISZO,X,X,X,X,X,X
JTLISOZ,X,X,X,X,O,X
JTLIZSO,X,X,X,O,X,X
JTLIZOS,X,X,X,O,X,X
JTLIOSZ,X,X,X,X,O,X
JTLIOZS,X,X,X,O,X,X
JTLSIZO,X,X,X,X,X,X
JTLSIOZ,X,X,X,X,O,X
JTLSZIO,O,O,X,O,X,X
JTLSZOI,O,O,X,O,X,X
JTLSOIZ,X,X,X,X,O,X
JTLSOZI,O,O,X,O,X,X
JTLZISO,X,X,X,O,X,X
JTLZIOS,O,O,X,O,X,X
JTLZSIO,X,X,X,O,X,X
JTLZSOI,X,X,X,O,X,X
JTLZOIS,O,O,X,O,X,X
JTLZOSI,X,X,X,O,X,X
JTLOISZ,X,X,X,X,O,X
JTLOIZS,X,X,X,O,X,X
JTLOSIZ,X,X,X,X,O,X
JTLOSZI,O,O,X,O,X,X
JTLOZIS,O,O,X,O,X,X
JTLOZSI,X,X,X,O,X,X
JTSILZO,X,X,X,X,X,X
JTSILOZ,X,X,X,X,O,X
JTSIZLO,O,X,O,X,X,X
JTSIZOL,O,X,X,X,X,X
JTSIOLZ,X,X,X,X,O,X
JTSIOZL,O,X,X,X,X,X
JTSLIZO,X,X,X,X,X,X
JTSLIOZ,X,X,X,X,O,X
JTSLZIO,O,O,X,O,X,X
JTSLZOI,O,O,X,O,X,X
JTSLOIZ,X,X,X,X,O,X
JTSLOZI,O,O,X,O,X,X
JTSZILO,O,X,O,X,X,X
JTSZIOL,O,O,X,X,X,X
JTSZLIO,O,O,O,O,X,X
JTSZLOI,O,O,X,O,X,X
JTSZOIL,O,O,X,X,X,X
JTSZOLI,O,O,X,O,X,X
JTSOILZ,X,X,X,X,O,X
JTSOIZL,O,X,X,X,X,X
JTSOLIZ,X,X,X,X,O,X
JTSOLZI,O,O,X,O,X,X
JTSOZIL,O,O,X,X,X,X
JTSOZLI,O,O,X,O,X,X
JTZILSO,X,X,O,O,X,X
JTZILOS,O,X,X,O,X,X
JTZISLO,X,X,O,X,X,X
JTZISOL,O,X,X,X,X,X
JTZIOLS,O,O,X,O,X,X
JTZIOSL,O,O,X,X,X,X
JTZLISO,X,X,O,O,X,X
JTZLIOS,O,O,X,O,X,X
JTZLSIO,X,X,O,O,X,X
JTZLSOI,X,X,X,O,X,X
JTZLOIS,O,O,X,O,X,X
JTZLOSI,X,X,X,O,X,X
JTZSILO,O,X,O,X,X,X
JTZSIOL,O,X,X,X,X,X
JTZSLIO,O,X,O,O,X,X
JTZSLOI,O,X,X,O,X,X
JTZSOIL,O,X,X,X,X,X
JTZSOLI,O,X,X,O,X,X
JTZOILS,O,O,X,O,X,X
JTZOISL,O,O,X,X,X,X
JTZOLIS,O,O,X,O,X,X
JTZOLSI,X,X,X,O,X,X
JTZOSIL,O,X,X,X,X,X
JTZOSLI,O,X,X,O,X,X
JTOILSZ,X,X,X,X,O,X
JTOILZS,X,X,O,O,X,X
JTOISLZ,X,X,X,X,O,X
JTOISZL,O,X,X,X,X,X
JTOIZLS,O,X,O,O,X,X
JTOIZSL,O,X,O,X,X,X
JTOLISZ,X,X,X,X,O,X
JTOLIZS,X,X,O,O,X,X
JTOLSIZ,X,X,X,X,O,X
JTOLSZI,O,O,X,O,X,X
JTOLZIS,O,O,O,O,X,X
JTOLZSI,X,X,O,O,X,X
JTOSILZ,X,X,X,X,O,X
JTOSIZL,O,X,X,X,X,X
JTOSLIZ,X,X,X,X,O,X
JTOSLZI,O,O,X,O,X,X
JTOSZIL,O,O,X,X,X,X
JTOSZLI,O,O,X,O,X,X
JTOZILS,O,O,O,O,X,X
JTOZISL,O,O,O,X,X,X
JTOZLIS,O,O,O,O,X,X
JTOZLSI,X,X,O,O,X,X
JTOZSIL,O,X,O,X,X,X
JTOZSLI,O,X,O,O,X,X
JITLSZO,X,X,X,X,X,X
JITLSOZ,X,X,X,X,O,X
JITLZSO,X,X,X,O,X,X
JITLZOS,X,X,X,O,X,X
JITLOSZ,X,X,X,X,O,X
JITLOZS,X,X,X,O,X,X
JITSLZO,X,X,X,X,X,X
JITSLOZ,X,X,X,X,O,X
JITSZLO,O,X,O,X,X,X
JITSZOL,O,X,X,X,X,X
JITSOLZ,X,X,X,X,O,X
JITSOZL,O,X,X,X,X,X
JITZLSO,X,X,O,O,X,X
JITZLOS,O,X,X,O,X,X
JITZSLO,X,X,O,X,X,X
JITZSOL,O,X,X,X,X,X
JITZOLS,O,X,X,O,X,X
JITZOSL,O,X,X,X,X,X
JITOLSZ,X,X,X,X,O,X
JITOLZS,X,X,O,O,X,X
JITOSLZ,X,X,X,X,O,X
JITOSZL,O,X,X,X,X,X
JITOZLS,O,X,O,O,X,X
JITOZSL,O,X,O,X,X,X
JILTSZO,X,X,X,X,X,X
JILTSOZ,X,X,X,X,O,X
JILTZSO,X,X,X,O,X,X
JILTZOS,X,X,X,O,X,X
JILTOSZ,X,X,X,X,O,X
JILTOZS,X,X,X,O,X,X
JILSTZO,X,X,X,X,X,X
JILSTOZ,X,X,X,X,O,X
JILSZTO,X,O,O,X,X,X
JILSZOT,X,O,O,X,O,O
JILSOTZ,X,X,X,X,O,X
JILSOZT,X,O,X,X,O,O
JILZTSO,X,X,O,X,X,X
JILZTOS,X,O,X,X,X,X
JILZSTO,X,X,O,X,X,X
JILZSOT,X,O,O,X,O,O
JILZOTS,X,O,X,X,X,X
JILZOST,X,O,O,X,O,O
JILOTSZ,X,X,X,X,O,X
JILOTZS,X,X,O,O,X,X
JILOSTZ,X,X,X,X,O,X
JILOSZT,X,O,O,X,O,O
JILOZTS,X,O,O,X,X,X
JILOZST,X,O,O,X,O,O
JISTLZO,X,X,X,X,X,X
JISTLOZ,X,X,X,X,O,X
JISTZLO,O,X,O,X,X,X
JISTZOL,O,X,X,X,X,X
JISTOLZ,X,X,X,X,O,X
JISTOZL,O,X,X,X,X,X
JISLTZO,X,X,X,X,X,X
JISLTOZ,X,X,X,X,O,X
JISLZTO,X,O,O,X,X,X
JISLZOT,X,O,O,X,O,O
JISLOTZ,X,X,X,X,O,X
JISLOZT,X,O,X,X,O,O
JISZTLO,O,X,O,X,X,X
JISZTOL,O,O,X,X,X,X
JISZLTO,X,O,O,X,X,X
JISZLOT,O,O,O,X,O,O
JISZOTL,O,O,X,X,X,X
JISZOLT,O,O,O,X,O,O
JISOTLZ,X,X,X,X,O,X
JISOTZL,O,X,X,X,X,X
JISOLTZ,X,X,X,X,O,X
JISOLZT,X,O,O,X,O,O
JISOZTL,O,O,O,X,X,X
JISOZLT,O,O,O,X,O,O
JIZTLSO,X,X,O,X,X,X
JIZTLOS,O,X,X,X,X,X
JIZTSLO,X,X,O,X,X,X
JIZTSOL,O,X,X,X,X,X
JIZTOLS,O,O,X,X,X,X
JIZTOSL,O,O,X,X,X,X
JIZLTSO,X,X,O,X,X,X
JIZLTOS,X,O,X,X,X,X
JIZLSTO,X,X,O,X,X,X
JIZLSOT,X,O,O,X,O,O
JIZLOTS,O,O,X,X,X,X
JIZLOST,O,O,O,X,O,O
JIZSTLO,X,X,O,X,X,X
JIZSTOL,X,X,X,X,X,X
JIZSLTO,X,X,O,X,X,X
JIZSLOT,X,X,O,X,O,O
JIZSOTL,O,O,X,X,X,X
JIZSOLT,O,O,O,X,O,O
JIZOTLS,O,O,O,X,X,X
JIZOTSL,O,O,O,X,X,X
JIZOLTS,O,O,O,X,X,X
JIZOLST,O,O,O,X,O,O
JIZOSTL,O,O,O,X,X,X
JIZOSLT,O,O,O,X,O,O
JIOTLSZ,X,X,X,X,O,X
JIOTLZS,X,X,O,O,X,X
JIOTSLZ,X,X,X,X,O,X
JIOTSZL,O,X,X,X,X,X
JIOTZLS,O,X,O,O,X,X
JIOTZSL,O,X,O,X,X,X
JIOLTSZ,X,X,X,X,O,X
JIOLTZS,X,X,O,O,X,X
JIOLSTZ,X,X,X,X,O,X
JIOLSZT,X,O,O,X,O,O
JIOLZTS,X,O,O,X,X,X
JIOLZST,X,O,O,X,O,O
JIOSTLZ,X,X,X,X,O,X
JIOSTZL,O,X,X,X,X,X
JIOSLTZ,X,X,X,X,O,X
JIOSLZT,X,O,O,X,O,O
JIOSZTL,O,O,O,X,X,X
JIOSZLT,O,O,O,X,O,O
JIOZTLS,O,O,O,X,X,X
JIOZTSL,O,O,O,X,X,X
JIOZLTS,O,O,O,X,X,X
JIOZLST,O,O,O,X,O,O
JIOZSTL,O,O,O,X,X,X
JIOZSLT,O,O,O,X,O,O
JLTISZO,X,X,X,X,X,X
JLTISOZ,X,X,X,X,O,X
JLTIZSO,X,X,X,O,X,X
JLTIZOS,X,X,X,O,X,X
JLTIOSZ,X,X,X,X,O,X
JLTIOZS,X,X,X,O,X,X
JLTSIZO,X,X,X,X,X,X
JLTSIOZ,X,X,X,X,O,X
JLTSZIO,O,O,X,O,X,X
JLTSZOI,O,O,X,O,X,X
JLTSOIZ,X,X,X,X,O,X
JLTSOZI,O,O,X,O,X,X
JLTZISO,X,X,X,O,X,X
JLTZIOS,O,O,X,O,X,X
JLTZSIO,X,X,X,O,X,X
JLTZSOI,X,X,X,O,X,X
JLTZOIS,O,O,X,O,X,X
JLTZOSI,X,X,X,O,X,X
JLTOISZ,X,X,X,X,O,X
JLTOIZS,X,X,X,O,X,X
JLTOSIZ,X,X,X,X,O,X
JLTOSZI,O,O,X,O,X,X
JLTOZIS,O,O,X,O,X,X
JLTOZSI,X,X,X,O,X,X
JLITSZO,X,X,X,X,X,X
JLITSOZ,X,X,X,X,O,X
JLITZSO,X,X,X,O,X,X
JLITZOS,X,X,X,O,X,X
JLITOSZ,X,X,X,X,O,X
JLITOZS,X,X,X,O,X,X
JLISTZO,X,X,X,X,X,X
JLISTOZ,X,X,X,X,O,X
JLISZTO,X,O,O,X,X,X
JLISZOT,X,O,O,X,O,O
JLISOTZ,X,X,X,X,O,X
JLISOZT,X,O,X,X,O,O
JLIZTSO,X,X,O,X,X,X
JLIZTOS,X,O,X,X,X,X
JLIZSTO,X,X,O,X,X,X
JLIZSOT,X,O,O,X,O,O
JLIZOTS,X,O,X,X,X,X
JLIZOST,X,O,O,X,O,O
JLIOTSZ,X,X,X,X,O,X
JLIOTZS,X,X,O,O,X,X
JLIOSTZ,X,X,X,X,O,X
JLIOSZT,X,O,O,X,O,O
JLIOZTS,X,O,O,X,X,X
JLIOZST,X,O,O,X,O,O
JLSTIZO,X,X,X,X,X,X
JLSTIOZ,X,X,X,X,O,X
JLSTZIO,O,O,X,O,X,X
JLSTZOI,O,O,X,O,X,X
JLSTOIZ,X,X,X,X,O,X
JLSTOZI,O,O,X,O,X,X
JLSITZO,X,X,X,X,X,X
JLSITOZ,X,X,X,X,O,X
JLSIZTO,X,O,O,X,X,X
JLSIZOT,X,O,O,X,O,O
JLSIOTZ,X,X,X,X,O,X
JLSIOZT,X,O,X,X,O,O
JLSZTIO,O,O,O,X,X,X
JLSZTOI,O,O,X,X,X,X
JLSZITO,X,O,O,X,X,X
JLSZIOT,O,O,O,X,O,O
JLSZOTI,O,O,X,X,X,X
JLSZOIT,O,O,O,X,O,O
JLSOTIZ,X,X,X,X,O,X
JLSOTZI,O,O,X,O,X,X
JLSOITZ,X,X,X,X,O,X
JLSOIZT,X,O,X,X,O,O
JLSOZTI,O,O,X,X,X,X
JLSOZIT,O,O,X,X,O,O
JLZTISO,X,X,O,O,X,X
JLZTIOS,O,O,X,O,X,X
JLZTSIO,X,X,O,O,X,X
JLZTSOI,X,X,X,O,X,X
JLZTOIS,O,O,X,O,X,X
JLZTOSI,X,X,X,O,X,X
JLZITSO,X,X,O,X,X,X
JLZITOS,X,O,X,X,X,X
JLZISTO,X,X,O,X,X,X
JLZISOT,X,O,O,X,O,O
JLZIOTS,O,O,X,X,X,X
JLZIOST,O,O,O,X,O,O
JLZSTIO,X,O,O,X,X,X
JLZSTOI,X,O,X,X,X,X
JLZSITO,X,O,O,X,X,X
JLZSIOT,X,O,O,X,O,O
JLZSOTI,X,O,X,X,X,X
JLZSOIT,X,O,O,X,O,O
JLZOTIS,O,O,X,O,X,X
JLZOTSI,X,X,X,O,X,X
JLZOITS,O,O,X,X,X,X
JLZOIST,O,O,O,X,O,O
JLZOSTI,X,O,X,X,X,X
JLZOSIT,X,O,O,X,O,O
JLOTISZ,X,X,X,X,O,X
JLOTIZS,X,X,O,O,X,X
JLOTSIZ,X,X,X,X,O,X
JLOTSZI,O,O,X,O,X,X
JLOTZIS,O,O,O,O,X,X
JLOTZSI,X,X,O,O,X,X
JLOITSZ,X,X,X,X,O,X
JLOITZS,X,X,O,O,X,X
JLOISTZ,X,X,X,X,O,X
JLOISZT,X,O,O,X,O,O
JLOIZTS,X,O,O,X,X,X
JLOIZST,X,O,O,X,O,O
JLOSTIZ,X,X,X,X,O,X
JLOSTZI,O,O,X,O,X,X
JLOSITZ,X,X,X,X,O,X
JLOSIZT,X,O,O,X,O,O
JLOSZTI,O,O,O,X,X,X
JLOSZIT,O,O,O,X,O,O
JLOZTIS,O,O,O,O,X,X
JLOZTSI,X,X,O,O,X,X
JLOZITS,O,O,O,X,X,X
JLOZIST,O,O,O,X,O,O
JLOZSTI,X,O,O,X,X,X
JLOZSIT,X,O,O,X,O,O
JSTILZO,X,X,X,X,X,X
JSTILOZ,X,X,X,X,O,X
JSTIZLO,O,X,O,X,X,X
JSTIZOL,O,X,X,X,X,X
JSTIOLZ,X,X,X,X,O,X
JSTIOZL,O,X,X,X,X,X
JSTLIZO,X,X,X,X,X,X
JSTLIOZ,X,X,X,X,O,X
JSTLZIO,O,O,X,O,X,X
JSTLZOI,O,O,X,O,X,X
JSTLOIZ,X,X,X,X,O,X
JSTLOZI,O,O,X,O,X,X
JSTZILO,O,X,O,X,X,X
JSTZIOL,O,O,X,X,X,X
JSTZLIO,O,O,O,O,X,X
JSTZLOI,O,O,X,O,X,X
JSTZOIL,O,O,X,X,X,X
JSTZOLI,O,O,X,O,X,X
JSTOILZ,X,X,X,X,O,X
JSTOIZL,O,X,X,X,X,X
JSTOLIZ,X,X,X,X,O,X
JSTOLZI,O,O,X,O,X,X
JSTOZIL,O,O,X,X,X,X
JSTOZLI,O,O,X,O,X,X
JSITLZO,X,X,X,X,X,X
JSITLOZ,X,X,X,X,O,X
JSITZLO,O,X,O,X,X,X
JSITZOL,O,X,X,X,X,X
JSITOLZ,X,X,X,X,O,X
JSITOZL,O,X,X,X,X,X
JSILTZO,X,X,X,X,X,X
JSILTOZ,X,X,X,X,O,X
JSILZTO,X,O,O,X,X,X
JSILZOT,X,O,O,X,O,O
JSILOTZ,X,X,X,X,O,X
JSILOZT,X,O,X,X,O,O
JSIZTLO,O,X,O,X,X,X
JSIZTOL,O,O,X,X,X,X
JSIZLTO,X,O,O,X,X,X
JSIZLOT,O,O,O,X,O,O
JSIZOTL,O,O,X,X,X,X
JSIZOLT,O,O,O,X,O,O
JSIOTLZ,X,X,X,X,O,X
JSIOTZL,O,X,X,X,X,X
JSIOLTZ,X,X,X,X,O,X
JSIOLZT,X,O,O,X,O,O
JSIOZTL,O,O,O,X,X,X
JSIOZLT,O,O,O,X,O,O
JSLTIZO,X,X,X,X,X,X
JSLTIOZ,X,X,X,X,O,X
JSLTZIO,O,O,X,O,X,X
JSLTZOI,O,O,X,O,X,X
JSLTOIZ,X,X,X,X,O,X
JSLTOZI,O,O,X,O,X,X
JSLITZO,X,X,X,X,X,X
JSLITOZ,X,X,X,X,O,X
JSLIZTO,X,O,O,X,X,X
JSLIZOT,X,O,O,X,O,O
JSLIOTZ,X,X,X,X,O,X
JSLIOZT,X,O,X,X,O,O
JSLZTIO,O,O,O,X,X,X
JSLZTOI,O,O,X,X,X,X
JSLZITO,X,O,O,X,X,X
JSLZIOT,O,O,O,X,O,O
JSLZOTI,O,O,X,X,X,X
JSLZOIT,O,O,O,X,O,O
JSLOTIZ,X,X,X,X,O,X
JSLOTZI,O,O,X,O,X,X
JSLOITZ,X,X,X,X,O,X
JSLOIZT,X,O,X,X,O,O
JSLOZTI,O,O,X,X,X,X
JSLOZIT,O,O,X,X,O,O
JSZTILO,O,X,O,X,X,X
JSZTIOL,O,O,X,X,X,X
JSZTLIO,O,O,O,X,X,X
JSZTLOI,O,O,X,X,X,X
JSZTOIL,O,O,X,X,X,X
JSZTOLI,O,O,X,X,X,X
JSZITLO,O,X,O,X,X,X
JSZITOL,O,O,X,X,X,X
JSZILTO,X,O,O,X,X,X
JSZILOT,O,O,O,X,O,O
JSZIOTL,O,O,X,X,X,X
JSZIOLT,O,O,O,X,O,O
JSZLTIO,O,O,O,X,X,X
JSZLTOI,O,O,X,X,X,X
JSZLITO,X,O,O,X,X,X
JSZLIOT,O,O,O,X,O,O
JSZLOTI,O,O,X,X,X,X
JSZLOIT,O,O,O,X,O,O
JSZOTIL,O,O,X,X,X,X
JSZOTLI,O,O,X,X,X,X
JSZOITL,O,O,X,X,X,X
JSZOILT,O,O,O,X,O,O
JSZOLTI,O,O,X,X,X,X
JSZOLIT,O,O,O,X,O,O
JSOTILZ,X,X,X,X,O,X
JSOTIZL,O,X,X,X,X,X
JSOTLIZ,X,X,X,X,O,X
JSOTLZI,O,O,X,O,X,X
JSOTZIL,O,O,X,X,X,X
JSOTZLI,O,O,X,O,X,X
JSOITLZ,X,X,X,X,O,X
JSOITZL,O,X,X,X,X,X
JSOILTZ,X,X,X,X,O,X
JSOILZT,X,O,O,X,O,O
JSOIZTL,O,O,O,X,X,X
JSOIZLT,O,O,O,X,O,O
JSOLTIZ,X,X,X,X,O,X
JSOLTZI,O,O,X,O,X,X
JSOLITZ,X,X,X,X,O,X
JSOLIZT,X,O,O,X,O,O
JSOLZTI,O,O,O,X,X,X
JSOLZIT,O,O,O,X,O,O
JSOZTIL,O,O,O,X,X,X
JSOZTLI,O,O,O,X,X,X
JSOZITL,O,O,O,X,X,X
JSOZILT,O,O,O,X,O,O
JSOZLTI,O,O,O,X,X,X
JSOZLIT,O,O,O,X,O,O
JZTILSO,X,X,O,O,X,X
JZTILOS,O,X,X,O,X,X
JZTISLO,X,X,O,X,X,X
JZTISOL,O,X,X,X,X,X
JZTIOLS,O,O,X,O,X,X
JZTIOSL,O,O,X,X,X,X
JZTLISO,X,X,O,O,X,X
JZTLIOS,O,O,X,O,X,X
JZTLSIO,X,X,O,O,X,X
JZTLSOI,X,X,X,O,X,X
JZTLOIS,O,O,X,O,X,X
JZTLOSI,X,X,X,O,X,X
JZTSILO,O,X,O,X,X,X
JZTSIOL,O,X,X,X,X,X
JZTSLIO,O,X,O,O,X,X
JZTSLOI,O,X,X,O,X,X
JZTSOIL,O,X,X,X,X,X
JZTSOLI,O,X,X,O,X,X
JZTOILS,O,O,X,O,X,X
JZTOISL,O,O,X,X,X,X
JZTOLIS,O,O,X,O,X,X
JZTOLSI,X,X,X,O,X,X
JZTOSIL,O,X,X,X,X,X
JZTOSLI,O,X,X,O,X,X
JZITLSO,X,X,O,X,X,X
JZITLOS,O,X,X,X,X,X
JZITSLO,X,X,O,X,X,X
JZITSOL,O,X,X,X,X,X
JZITOLS,O,O,X,X,X,X
JZITOSL,O,O,X,X,X,X
JZILTSO,X,X,O,X,X,X
JZILTOS,X,O,X,X,X,X
JZILSTO,X,X,O,X,X,X
JZILSOT,X,O,O,X,O,O
JZILOTS,O,O,X,X,X,X
JZILOST,O,O,O,X,O,O
JZISTLO,X,X,O,X,X,X
JZISTOL,X,X,X,X,X,X
JZISLTO,X,X,O,X,X,X
JZISLOT,X,X,O,X,O,O
JZISOTL,O,O,X,X,X,X
JZISOLT,O,O,O,X,O,O
JZIOTLS,O,O,O,X,X,X
JZIOTSL,O,O,O,X,X,X
JZIOLTS,O,O,O,X,X,X
JZIOLST,O,O,O,X,O,O
JZIOSTL,O,O,O,X,X,X
JZIOSLT,O,O,O,X,O,O
JZLTISO,X,X,O,O,X,X
JZLTIOS,O,O,X,O,X,X
JZLTSIO,X,X,O,O,X,X
JZLTSOI,X,X,X,O,X,X
JZLTOIS,O,O,X,O,X,X
JZLTOSI,X,X,X,O,X,X
JZLITSO,X,X,O,X,X,X
JZLITOS,X,O,X,X,X,X
JZLISTO,X,X,O,X,X,X
JZLISOT,X,O,O,X,O,O
JZLIOTS,O,O,X,X,X,X
JZLIOST,O,O,O,X,O,O
JZLSTIO,X,O,O,X,X,X
JZLSTOI,X,O,X,X,X,X
JZLSITO,X,O,O,X,X,X
JZLSIOT,X,O,O,X,O,O
JZLSOTI,X,O,X,X,X,X
JZLSOIT,X,O,O,X,O,O
JZLOTIS,O,O,X,O,X,X
JZLOTSI,X,X,X,O,X,X
JZLOITS,O,O,X,X,X,X
JZLOIST,O,O,O,X,O,O
JZLOSTI,X,O,X,X,X,X
JZLOSIT,X,O,O,X,O,O
JZSTILO,O,X,O,X,X,X
JZSTIOL,O,O,X,X,X,X
JZSTLIO,O,O,O,X,X,X
JZSTLOI,O,O,X,X,X,X
JZSTOIL,O,O,X,X,X,X
JZSTOLI,O,O,X,X,X,X
JZSITLO,O,X,O,X,X,X
JZSITOL,O,O,X,X,X,X
JZSILTO,X,O,O,X,X,X
JZSILOT,O,O,O,X,O,O
JZSIOTL,O,O,X,X,X,X
JZSIOLT,O,O,O,X,O,O
JZSLTIO,O,O,O,X,X,X
JZSLTOI,O,O,X,X,X,X
JZSLITO,X,O,O,X,X,X
JZSLIOT,O,O,O,X,O,O
JZSLOTI,O,O,X,X,X,X
JZSLOIT,O,O,O,X,O,O
JZSOTIL,O,O,X,X,X,X
JZSOTLI,O,O,X,X,X,X
JZSOITL,O,O,X,X,X,X
JZSOILT,O,O,O,X,O,O
