sequence,v115@QhA8EeE8AeA8CeE8JeZEJvhFukBUhBFiBXjBTlByvB,v115@QhA8EeE8AeA8CeE8Jei/IvhFFiBXjBcpBxlBzlB2vB,v115@QhA8EeE8AeA8CeE8JeUBJvhFFiBXjBxkBmpBzqBipB
ILJTOSZ,O,X,X
ILJTOZS,O,X,X
ILJSTZO,O,O,X
ILJSTOZ,O,X,X
ILJSZTO,O,O,X
ILJSZOT,O,O,X
ILJSOTZ,O,X,X
ILJSOZT,O,X,X
ILJZTSO,O,O,X
ILJZTOS,O,O,X
ILJZSTO,O,O,X
ILJZSOT,O,O,X
ILJZOTS,O,O,X
ILJZOST,O,O,X
ILJOTSZ,O,X,X
ILJOTZS,O,X,X
ILJOSTZ,O,X,X
ILJOSZT,O,X,X
ILJOZTS,O,X,X
ILJOZST,O,X,X
ILSTJZO,O,O,X
ILSTJOZ,O,X,X
ILSTZJO,O,O,X
ILSTZOJ,O,O,X
ILSTOJZ,O,X,X
ILSTOZJ,O,X,X
ILSJTZO,O,O,X
ILSJTOZ,O,X,X
ILSJZTO,O,O,X
ILSJZOT,O,O,X
ILSJOTZ,O,X,X
ILSJOZT,O,X,X
ILSZTJO,O,O,X
ILSZTOJ,O,O,X
ILSZJTO,O,O,X
ILSZJOT,O,X,X
ILSZOTJ,O,O,X
ILSZOJT,O,X,X
ILSOTJZ,O,X,X
ILSOTZJ,O,X,X
ILSOJTZ,O,X,X
ILSOJZT,O,X,X
ILSOZTJ,O,X,X
