sequence,v115@GhC8FeD8FeC8GeB8Jex/IvhF0hBliBmlBXqBSwBTsB,v115@GhC8FeD8FeC8GeB8Jex/IvhFlhB3iBeqBCrBTsBUrB,v115@GhC8FeD8FeC8GeB8Jex/IvhFOmBliBzmB0qBSxBXqB,v115@GhC8FeD8FeC8GeB8Jex/IvhFThBiiB+sB0qBlrBXqB,v115@GhC8FeD8FeC8GeB8Jex/IvhFKmBzhBunB0qBVxBXqB,v115@GhC8FeD8FeC8GeB8JeRBJvhF3iBOqB0mBzqBSxBlpB,v115@GhC8FeD8FeC8GeB8JeTAJvhFlhB3iByqBGsB0pBRwB,v115@GhC8FeD8FeC8GeB8JeRCJvhF/qBFmB6sBzrB0pBmqB
LIOZJTS,O,X,O,O,X,O,O,X
LIOZJST,O,X,O,X,X,O,O,X
LIOZSTJ,O,O,O,X,X,X,X,O
LIOZSJT,X,X,O,X,X,O,O,X
LJTISZO,O,X,X,X,X,X,O,X
LJTISOZ,X,X,X,O,O,X,O,X
LJTIZSO,O,X,O,O,O,X,O,X
LJTIZOS,O,X,O,O,O,X,O,X
LJTIOSZ,O,O,O,O,O,X,O,X
LJTIOZS,O,O,O,O,O,X,O,X
LJTSIZO,O,X,X,X,X,X,O,X
LJTSIOZ,X,X,X,O,O,X,O,X
LJTSZIO,O,X,X,O,O,X,X,X
LJTSZOI,O,X,X,O,O,O,X,X
LJTSOIZ,X,X,X,O,O,X,X,X
LJTSOZI,X,X,X,O,O,X,X,X
LJTZISO,O,X,O,O,O,X,X,X
LJTZIOS,O,X,O,O,O,X,X,X
LJTZSIO,O,X,O,O,O,X,X,X
LJTZSOI,O,X,X,O,O,O,X,X
LJTZOIS,O,X,O,O,O,X,X,X
LJTZOSI,O,X,O,O,O,X,X,X
LJTOISZ,O,O,O,O,O,X,X,X
LJTOIZS,O,O,O,O,O,X,X,X
LJTOSIZ,O,O,O,O,O,X,X,X
LJTOSZI,O,O,O,O,O,X,X,X
LJTOZIS,O,O,O,O,O,X,X,X
LJTOZSI,O,O,O,O,O,X,X,X
LJITSZO,O,X,X,X,X,X,O,X
LJITSOZ,X,X,X,O,O,X,O,X
LJITZSO,O,X,O,O,O,X,O,X
LJITZOS,O,X,O,O,O,X,O,X
LJITOSZ,O,O,O,O,O,X,O,X
LJITOZS,O,O,O,O,O,X,O,X
LJISTZO,O,X,X,X,X,X,O,X
LJISTOZ,X,O,X,O,X,X,O,X
LJISZTO,O,X,X,O,X,X,O,X
LJISZOT,X,X,X,X,X,O,O,X
LJISOTZ,O,O,X,X,X,X,O,X
LJISOZT,O,O,X,X,X,X,O,X
LJIZTSO,O,X,O,O,X,X,O,X
LJIZTOS,O,X,O,O,X,X,O,X
LJIZSTO,O,X,O,O,X,X,O,X
LJIZSOT,X,X,X,X,X,O,O,X
LJIZOTS,O,O,O,O,X,X,O,X
LJIZOST,O,O,O,X,X,X,O,X
LJIOTSZ,O,O,O,O,X,X,O,X
LJIOTZS,O,O,O,O,X,X,O,X
LJIOSTZ,O,O,O,X,X,X,O,O
LJIOSZT,O,O,X,X,X,X,O,X
LJIOZTS,O,O,O,O,X,X,O,X
LJIOZST,O,O,X,X,X,X,O,X
LJSTIZO,O,X,X,X,X,X,O,X
LJSTIOZ,X,O,X,O,X,X,O,X
LJSTZIO,O,X,X,O,X,X,X,X
LJSTZOI,O,X,X,O,X,O,X,X
LJSTOIZ,X,X,X,O,X,X,X,O
LJSTOZI,X,X,X,O,X,X,X,O
LJSITZO,O,X,X,X,X,X,O,X
LJSITOZ,X,O,X,O,X,X,O,X
LJSIZTO,O,X,X,O,X,X,O,X
LJSIZOT,X,X,X,X,X,O,O,X
LJSIOTZ,O,O,X,X,X,X,O,X
LJSIOZT,O,O,X,X,X,X,O,X
LJSZTIO,O,X,X,O,X,X,X,X
LJSZTOI,O,X,X,O,X,O,X,X
LJSZITO,O,X,X,O,X,X,X,X
LJSZIOT,X,X,X,X,X,O,X,X
LJSZOTI,X,X,X,X,X,O,X,X
LJSZOIT,X,X,X,X,X,O,X,X
LJSOTIZ,O,O,X,X,X,X,X,O
LJSOTZI,O,O,X,X,X,O,X,O
LJSOITZ,O,O,X,X,X,X,X,O
LJSOIZT,O,O,X,X,X,O,X,X
LJSOZTI,O,O,X,X,X,O,X,X
LJSOZIT,O,O,X,X,X,O,X,X
LJZTISO,O,X,O,O,X,X,X,X
LJZTIOS,O,X,O,O,X,X,X,X
LJZTSIO,O,X,O,O,X,X,X,X
LJZTSOI,O,X,X,O,X,O,X,X
LJZTOIS,O,X,O,O,X,X,X,X
LJZTOSI,O,X,O,O,X,X,X,X
LJZITSO,O,X,O,O,X,X,X,X
LJZITOS,O,X,O,O,X,X,X,X
LJZISTO,O,X,O,O,X,X,X,X
LJZISOT,X,X,X,X,X,O,X,X
LJZIOTS,O,O,O,O,X,X,X,X
LJZIOST,O,O,O,X,X,X,X,X
LJZSTIO,O,X,O,O,X,X,X,X
LJZSTOI,O,X,X,O,X,O,X,X
LJZSITO,O,X,O,O,X,X,X,X
LJZSIOT,X,X,X,X,X,O,X,X
LJZSOTI,X,X,X,X,X,O,X,X
LJZSOIT,X,X,X,X,X,O,X,X
LJZOTIS,O,O,O,O,X,O,X,X
LJZOTSI,O,O,O,O,X,O,X,X
LJZOITS,O,O,O,O,X,O,X,X
LJZOIST,O,O,O,X,X,O,X,X
LJZOSTI,O,O,O,X,X,O,X,X
LJZOSIT,O,O,O,X,X,O,X,X
LJOTISZ,O,O,O,O,X,X,X,X
LJOTIZS,O,O,O,O,X,X,X,X
LJOTSIZ,O,O,O,O,X,X,X,X
LJOTSZI,O,O,O,O,X,O,X,X
LJOTZIS,O,O,O,O,X,O,X,X
LJOTZSI,O,O,O,O,X,O,X,X
LJOITSZ,O,O,O,O,X,X,X,X
LJOITZS,O,O,O,O,X,X,X,X
LJOISTZ,O,O,O,X,X,X,X,O
LJOISZT,O,O,X,X,X,O,X,X
LJOIZTS,O,O,O,O,X,O,X,X
LJOIZST,O,O,O,X,X,O,X,X
LJOSTIZ,O,O,O,X,X,X,X,O
LJOSTZI,O,O,O,X,X,O,X,O
LJOSITZ,O,O,O,X,X,X,X,O
LJOSIZT,O,O,X,X,X,O,X,X
LJOSZTI,O,O,O,X,X,O,X,X
LJOSZIT,O,O,O,X,X,O,X,X
LJOZTIS,O,O,O,O,X,O,X,X
LJOZTSI,O,O,O,O,X,O,X,X
LJOZITS,O,O,O,O,X,O,X,X
LJOZIST,O,O,O,X,X,O,X,X
LJOZSTI,O,O,O,X,X,O,X,X
LJOZSIT,O,O,O,X,X,O,X,X
LSTIJZO,O,X,X,X,X,X,O,X
LSTIJOZ,O,O,X,X,X,X,O,X
LSTIZJO,O,X,O,X,X,X,X,X
LSTIZOJ,O,X,O,X,X,X,X,X
LSTIOJZ,O,O,O,X,X,X,X,O
LSTIOZJ,O,O,X,X,X,X,X,O
LSTJIZO,O,X,X,X,X,X,O,X
LSTJIOZ,O,O,X,X,X,X,O,X
LSTJZIO,O,X,X,X,X,X,X,X
LSTJZOI,O,X,X,X,X,O,X,X
LSTJOIZ,O,X,X,X,X,X,X,O
LSTJOZI,O,X,X,X,X,X,X,O
LSTZIJO,O,X,O,X,X,X,X,X
LSTZIOJ,O,X,O,X,X,X,X,X
LSTZJIO,O,X,O,X,X,X,X,X
LSTZJOI,O,X,X,X,X,O,X,X
LSTZOIJ,O,X,O,X,X,X,X,O
LSTZOJI,X,X,O,X,X,O,X,O
LSTOIJZ,O,O,O,X,X,X,X,O
LSTOIZJ,O,O,X,X,X,X,X,O
LSTOJIZ,O,O,O,X,X,X,X,O
LSTOJZI,O,O,O,X,X,O,X,O
LSTOZIJ,O,O,O,X,X,X,X,O
LSTOZJI,O,O,O,X,X,O,X,O
LSITJZO,O,X,X,X,X,X,O,X
LSITJOZ,O,O,X,X,X,X,O,X
LSITZJO,O,X,O,X,X,X,X,X
LSITZOJ,O,X,O,X,X,X,X,X
LSITOJZ,O,O,O,X,X,X,O,O
LSITOZJ,O,O,X,X,X,X,X,O
LSIJTZO,O,X,X,X,X,X,O,X
LSIJTOZ,O,O,X,O,X,X,O,X
LSIJZTO,O,X,X,O,X,X,O,X
LSIJZOT,O,X,X,X,X,O,O,X
LSIJOTZ,O,O,X,X,X,X,O,X
LSIJOZT,O,O,X,X,X,X,O,X
LSIZTJO,O,X,O,X,X,X,X,X
LSIZTOJ,O,X,O,X,X,X,X,X
LSIZJTO,O,X,O,O,X,X,O,X
LSIZJOT,O,X,X,X,X,O,O,X
LSIZOTJ,O,X,O,X,X,X,X,X
LSIZOJT,O,X,O,X,X,O,O,X
LSIOTJZ,O,O,O,X,X,X,O,O
LSIOTZJ,O,O,X,X,X,X,X,O
LSIOJTZ,O,O,O,X,X,X,O,O
LSIOJZT,O,O,X,X,X,O,O,X
LSIOZTJ,O,O,X,X,X,X,X,O
LSIOZJT,O,X,X,X,X,O,O,X
LSJTIZO,O,X,X,X,X,X,O,X
LSJTIOZ,O,O,X,O,X,X,O,X
LSJTZIO,O,X,X,O,X,X,X,X
LSJTZOI,O,X,X,O,X,O,X,X
LSJTOIZ,O,X,X,O,X,X,X,O
LSJTOZI,O,X,X,O,X,X,X,O
LSJITZO,O,X,X,X,X,X,O,X
LSJITOZ,O,O,X,O,X,X,O,X
LSJIZTO,O,X,X,O,X,X,O,X
LSJIZOT,O,X,X,X,X,O,O,X
LSJIOTZ,O,O,X,X,X,X,O,X
LSJIOZT,O,O,X,X,X,X,O,X
LSJZTIO,O,X,X,O,X,X,X,X
LSJZTOI,O,X,X,O,X,O,X,X
LSJZITO,O,X,X,O,X,X,X,X
LSJZIOT,O,X,X,X,X,O,X,X
LSJZOTI,O,X,X,X,X,O,X,X
LSJZOIT,O,X,X,X,X,O,X,X
LSJOTIZ,O,O,X,X,X,X,X,O
LSJOTZI,O,O,X,X,X,O,X,O
LSJOITZ,O,O,X,X,X,X,X,O
LSJOIZT,O,O,X,X,X,O,X,X
LSJOZTI,O,O,X,X,X,O,X,X
LSJOZIT,O,O,X,X,X,O,X,X
LSZTIJO,O,X,O,X,X,X,X,X
LSZTIOJ,O,X,O,X,X,X,X,X
LSZTJIO,O,X,O,X,X,X,X,X
LSZTJOI,O,X,X,X,X,O,X,X
LSZTOIJ,O,X,O,X,X,X,X,O
LSZTOJI,X,X,O,X,X,O,X,O
LSZITJO,O,X,O,X,X,X,X,X
LSZITOJ,O,X,O,X,X,X,X,X
LSZIJTO,O,X,O,O,X,X,X,X
LSZIJOT,O,X,X,X,X,O,X,X
LSZIOTJ,O,X,O,X,X,X,X,X
LSZIOJT,O,X,O,X,X,O,X,X
LSZJTIO,O,X,O,X,X,X,X,X
LSZJTOI,O,X,X,X,X,O,X,X
LSZJITO,O,X,O,X,X,X,X,X
LSZJIOT,O,X,X,X,X,O,X,X
LSZJOTI,O,X,X,X,X,O,X,X
LSZJOIT,O,X,X,X,X,O,X,X
LSZOTIJ,O,X,O,X,X,X,X,O
LSZOTJI,O,X,O,X,X,O,X,O
LSZOITJ,O,X,O,X,X,X,X,O
LSZOIJT,O,X,O,X,X,O,X,X
LSZOJTI,O,X,O,X,X,O,X,X
LSZOJIT,O,X,O,X,X,O,X,X
LSOTIJZ,O,O,O,X,X,X,X,O
LSOTIZJ,O,O,X,X,X,X,X,O
LSOTJIZ,O,O,O,X,X,X,X,O
LSOTJZI,O,O,O,X,X,O,X,O
LSOTZIJ,O,O,O,X,X,X,X,O
LSOTZJI,O,O,O,X,X,O,X,O
LSOITJZ,O,O,O,X,X,X,X,O
LSOITZJ,O,O,X,X,X,X,X,O
LSOIJTZ,O,O,O,X,X,X,X,O
LSOIJZT,O,O,X,X,X,O,X,X
LSOIZTJ,O,O,X,X,X,X,X,O
LSOIZJT,O,X,X,X,X,O,X,X
LSOJTIZ,O,O,O,X,X,X,X,O
LSOJTZI,O,O,O,X,X,O,X,O
LSOJITZ,O,O,O,X,X,X,X,O
LSOJIZT,O,O,X,X,X,O,X,X
LSOJZTI,O,O,O,X,X,O,X,X
LSOJZIT,O,O,O,X,X,O,X,X
LSOZTIJ,O,O,O,X,X,X,X,O
LSOZTJI,O,O,O,X,X,O,X,O
LSOZITJ,O,O,O,X,X,X,X,O
LSOZIJT,O,X,O,X,X,O,X,X
LSOZJTI,O,O,O,X,X,O,X,X
LSOZJIT,O,O,O,X,X,O,X,X
LZTIJSO,O,X,O,O,O,X,X,X
LZTIJOS,O,X,O,O,O,X,X,X
LZTISJO,O,X,O,X,O,X,X,X
LZTISOJ,X,X,O,X,O,X,X,X
LZTIOJS,O,X,O,X,O,X,X,X
LZTIOSJ,X,X,O,X,O,X,X,X
LZTJISO,O,X,O,X,O,X,X,X
LZTJIOS,O,X,O,X,O,X,X,X
LZTJSIO,O,X,O,X,O,X,X,X
LZTJSOI,O,X,X,X,O,O,X,X
LZTJOIS,O,X,O,X,O,X,X,X
LZTJOSI,O,X,O,X,O,X,X,X
LZTSIJO,O,X,O,X,O,X,X,X
LZTSIOJ,X,X,O,X,O,X,X,X
LZTSJIO,O,X,O,X,O,X,X,X
LZTSJOI,O,X,X,X,O,O,X,X
LZTSOIJ,X,X,O,X,O,X,X,X
LZTSOJI,X,X,O,X,O,O,X,X
LZTOIJS,O,X,O,X,O,X,X,X
LZTOISJ,X,X,O,X,O,X,X,X
LZTOJIS,O,X,O,X,O,O,X,X
LZTOJSI,O,X,O,X,O,O,X,X
LZTOSIJ,X,X,O,X,O,X,X,X
LZTOSJI,X,X,O,X,O,O,X,X
LZITJSO,O,X,O,O,O,X,X,X
LZITJOS,O,X,O,O,O,X,X,X
LZITSJO,O,X,O,X,O,X,X,X
LZITSOJ,X,X,O,X,O,X,X,X
LZITOJS,O,X,O,X,O,X,X,X
LZITOSJ,X,X,O,X,O,X,X,X
LZIJTSO,O,X,O,O,O,X,X,X
LZIJTOS,O,X,O,O,O,X,X,X
LZIJSTO,O,X,O,O,X,X,X,X
LZIJSOT,X,X,X,X,X,O,X,X
LZIJOTS,O,X,O,O,X,X,X,X
LZIJOST,O,X,O,X,X,X,X,X
LZISTJO,O,X,O,X,O,X,X,X
LZISTOJ,X,X,O,X,O,X,X,X
LZISJTO,X,X,O,O,X,X,X,X
LZISJOT,X,X,X,X,X,O,X,X
LZISOTJ,X,X,O,X,X,X,X,X
LZISOJT,X,X,O,X,X,O,X,X
LZIOTJS,O,X,O,X,O,X,X,X
LZIOTSJ,O,O,O,X,O,X,X,X
LZIOJTS,O,X,O,O,X,O,X,X
LZIOJST,O,X,O,X,X,O,X,X
LZIOSTJ,O,O,O,X,X,X,X,O
LZIOSJT,X,X,O,X,X,O,X,X
LZJTISO,O,X,O,O,O,X,X,X
LZJTIOS,O,X,O,O,O,X,X,X
LZJTSIO,O,X,O,O,O,X,X,X
LZJTSOI,O,X,X,O,O,O,X,X
LZJTOIS,O,X,O,O,O,X,X,X
LZJTOSI,O,X,O,O,O,X,X,X
LZJITSO,O,X,O,O,O,X,X,X
LZJITOS,O,X,O,O,O,X,X,X
LZJISTO,O,X,O,O,X,X,X,X
LZJISOT,X,X,X,X,X,O,X,X
LZJIOTS,O,O,O,O,X,X,X,X
LZJIOST,O,O,O,X,X,X,X,X
LZJSTIO,O,X,O,O,X,X,X,X
LZJSTOI,O,X,X,O,X,O,X,X
LZJSITO,O,X,O,O,X,X,X,X
LZJSIOT,X,X,X,X,X,O,X,X
LZJSOTI,X,X,X,X,X,O,X,X
LZJSOIT,X,X,X,X,X,O,X,X
LZJOTIS,O,O,O,O,X,O,X,X
LZJOTSI,O,O,O,O,X,O,X,X
LZJOITS,O,O,O,O,X,O,X,X
LZJOIST,O,O,O,X,X,O,X,X
LZJOSTI,O,O,O,X,X,O,X,X
LZJOSIT,O,O,O,X,X,O,X,X
LZSTIJO,O,X,O,X,O,X,X,X
LZSTIOJ,X,X,O,X,O,X,X,X
LZSTJIO,O,X,O,X,O,X,X,X
LZSTJOI,O,X,X,X,O,O,X,X
LZSTOIJ,X,X,O,X,O,X,X,O
LZSTOJI,X,X,O,X,O,O,X,O
LZSITJO,O,X,O,X,O,X,X,X
LZSITOJ,X,X,O,X,O,X,X,X
LZSIJTO,X,X,O,O,X,X,X,X
LZSIJOT,X,X,X,X,X,O,X,X
LZSIOTJ,X,X,O,X,X,X,X,X
LZSIOJT,X,X,O,X,X,O,X,X
LZSJTIO,O,X,O,X,X,X,X,X
LZSJTOI,O,X,X,X,X,O,X,X
LZSJITO,O,X,O,X,X,X,X,X
LZSJIOT,X,X,X,X,X,O,X,X
LZSJOTI,X,X,X,X,X,O,X,X
LZSJOIT,X,X,X,X,X,O,X,X
LZSOTIJ,X,X,O,X,X,X,X,O
LZSOTJI,X,X,O,X,X,O,X,O
LZSOITJ,X,X,O,X,X,X,X,O
LZSOIJT,X,X,O,X,X,O,X,X
LZSOJTI,X,X,O,X,X,O,X,X
LZSOJIT,X,X,O,X,X,O,X,X
LZOTIJS,O,X,O,X,O,X,X,X
LZOTISJ,O,O,O,X,O,X,X,X
LZOTJIS,O,O,O,X,O,O,X,X
LZOTJSI,O,O,O,X,O,O,X,X
LZOTSIJ,O,O,O,X,O,X,X,X
LZOTSJI,O,O,O,X,O,O,X,X
LZOITJS,O,X,O,X,O,X,X,X
LZOITSJ,O,O,O,X,O,X,X,X
LZOIJTS,O,X,O,O,X,O,X,X
LZOIJST,O,X,O,X,X,O,X,X
LZOISTJ,O,O,O,X,X,X,X,O
LZOISJT,X,X,O,X,X,O,X,X
LZOJTIS,O,O,O,X,X,O,X,X
LZOJTSI,O,O,O,X,X,O,X,X
LZOJITS,O,O,O,X,X,O,X,X
LZOJIST,O,O,O,X,X,O,X,X
LZOJSTI,O,O,O,X,X,O,X,X
LZOJSIT,O,O,O,X,X,O,X,X
LZOSTIJ,O,O,O,X,X,X,X,O
LZOSTJI,O,O,O,X,X,O,X,O
LZOSITJ,O,O,O,X,X,X,X,O
LZOSIJT,X,X,O,X,X,O,X,X
LZOSJTI,O,O,O,X,X,O,X,X
LZOSJIT,O,O,O,X,X,O,X,X
LOTIJSZ,O,O,O,X,X,X,X,X
LOTIJZS,O,O,O,X,X,X,X,X
LOTISJZ,O,O,O,X,X,X,X,O
LOTISZJ,O,O,X,X,X,X,X,O
LOTIZJS,O,X,O,X,X,X,X,X
LOTIZSJ,O,O,O,X,X,X,X,X
LOTJISZ,O,O,O,X,X,X,X,X
LOTJIZS,O,O,O,X,X,X,X,X
LOTJSIZ,O,O,O,X,X,X,X,X
LOTJSZI,O,O,O,X,X,O,X,X
LOTJZIS,O,O,O,X,X,O,X,X
LOTJZSI,O,O,O,X,X,O,X,X
LOTSIJZ,O,O,O,X,X,X,X,O
LOTSIZJ,O,O,X,X,X,X,X,O
LOTSJIZ,O,O,O,X,X,X,X,O
LOTSJZI,O,O,O,X,X,O,X,O
LOTSZIJ,O,O,O,X,X,X,X,O
LOTSZJI,O,O,O,X,X,O,X,O
LOTZIJS,O,X,O,X,X,X,X,X
LOTZISJ,O,O,O,X,X,X,X,X
LOTZJIS,O,O,O,X,X,O,X,X
LOTZJSI,O,O,O,X,X,O,X,X
LOTZSIJ,O,O,O,X,X,X,X,X
LOTZSJI,O,O,O,X,X,O,X,X
LOITJSZ,O,O,O,X,X,X,X,X
LOITJZS,O,O,O,X,X,X,X,X
LOITSJZ,O,O,O,X,X,X,X,O
LOITSZJ,O,O,X,X,X,X,X,O
LOITZJS,O,X,O,X,X,X,X,X
LOITZSJ,O,O,O,X,X,X,X,X
LOIJTSZ,O,O,O,O,X,X,X,X
LOIJTZS,O,O,O,O,X,X,X,X
LOIJSTZ,O,O,O,X,X,X,X,O
LOIJSZT,O,O,X,X,X,O,X,X
LOIJZTS,O,O,O,O,X,O,X,X
LOIJZST,O,O,O,X,X,O,X,X
LOISTJZ,O,O,O,X,X,X,X,O
LOISTZJ,O,O,X,X,X,X,X,O
LOISJTZ,O,O,O,X,X,X,X,O
LOISJZT,O,O,X,X,X,O,X,X
LOISZTJ,O,O,X,X,X,X,X,O
LOISZJT,O,X,X,X,X,O,X,X
LOIZTJS,O,X,O,X,X,X,X,X
LOIZTSJ,O,O,O,X,X,X,X,X
LOIZJTS,O,X,O,O,X,O,X,X
LOIZJST,O,X,O,X,X,O,X,X
LOIZSTJ,O,O,O,X,X,X,X,O
LOIZSJT,X,X,O,X,X,O,X,X
LOJTISZ,O,O,O,O,X,X,X,X
LOJTIZS,O,O,O,O,X,X,X,X
LOJTSIZ,O,O,O,O,X,X,X,X
LOJTSZI,O,O,O,O,X,O,X,X
LOJTZIS,O,O,O,O,X,O,X,X
LOJTZSI,O,O,O,O,X,O,X,X
LOJITSZ,O,O,O,O,X,X,X,X
LOJITZS,O,O,O,O,X,X,X,X
LOJISTZ,O,O,O,X,X,X,X,O
LOJISZT,O,O,X,X,X,O,X,X
LOJIZTS,O,O,O,O,X,O,X,X
LOJIZST,O,O,O,X,X,O,X,X
LOJSTIZ,O,O,O,X,X,X,X,O
LOJSTZI,O,O,O,X,X,O,X,O
LOJSITZ,O,O,O,X,X,X,X,O
LOJSIZT,O,O,X,X,X,O,X,X
LOJSZTI,O,O,O,X,X,O,X,X
LOJSZIT,O,O,O,X,X,O,X,X
LOJZTIS,O,O,O,O,X,O,X,X
LOJZTSI,O,O,O,O,X,O,X,X
LOJZITS,O,O,O,O,X,O,X,X
LOJZIST,O,O,O,X,X,O,X,X
LOJZSTI,O,O,O,X,X,O,X,X
LOJZSIT,O,O,O,X,X,O,X,X
LOSTIJZ,O,O,O,X,X,X,X,O
LOSTIZJ,O,O,X,X,X,X,X,O
LOSTJIZ,O,O,O,X,X,X,X,O
LOSTJZI,O,O,O,X,X,O,X,O
LOSTZIJ,O,O,O,X,X,X,X,O
LOSTZJI,O,O,O,X,X,O,X,O
LOSITJZ,O,O,O,X,X,X,X,O
LOSITZJ,O,O,X,X,X,X,X,O
LOSIJTZ,O,O,O,X,X,X,X,O
LOSIJZT,O,O,X,X,X,O,X,X
LOSIZTJ,O,O,X,X,X,X,X,O
LOSIZJT,O,X,X,X,X,O,X,X
LOSJTIZ,O,O,O,X,X,X,X,O
LOSJTZI,O,O,O,X,X,O,X,O
LOSJITZ,O,O,O,X,X,X,X,O
LOSJIZT,O,O,X,X,X,O,X,X
LOSJZTI,O,O,O,X,X,O,X,X
LOSJZIT,O,O,O,X,X,O,X,X
LOSZTIJ,O,O,O,X,X,X,X,O
LOSZTJI,O,O,O,X,X,O,X,O
LOSZITJ,O,O,O,X,X,X,X,O
LOSZIJT,O,X,O,X,X,O,X,X
LOSZJTI,O,O,O,X,X,O,X,X
LOSZJIT,O,O,O,X,X,O,X,X
LOZTIJS,O,X,O,X,X,X,X,X
LOZTISJ,O,O,O,X,X,X,X,X
LOZTJIS,O,O,O,X,X,O,X,X
LOZTJSI,O,O,O,X,X,O,X,X
LOZTSIJ,O,O,O,X,X,X,X,X
LOZTSJI,O,O,O,X,X,O,X,X
LOZITJS,O,X,O,X,X,X,X,X
LOZITSJ,O,O,O,X,X,X,X,X
LOZIJTS,O,X,O,O,X,O,X,X
LOZIJST,O,X,O,X,X,O,X,X
LOZISTJ,O,O,O,X,X,X,X,O
LOZISJT,X,X,O,X,X,O,X,X
LOZJTIS,O,O,O,X,X,O,X,X
LOZJTSI,O,O,O,X,X,O,X,X
LOZJITS,O,O,O,X,X,O,X,X
LOZJIST,O,O,O,X,X,O,X,X
LOZJSTI,O,O,O,X,X,O,X,X
LOZJSIT,O,O,O,X,X,O,X,X
LOZSTIJ,O,O,O,X,X,X,X,O
LOZSTJI,O,O,O,X,X,O,X,O
LOZSITJ,O,O,O,X,X,X,X,O
LOZSIJT,X,X,O,X,X,O,X,X
LOZSJTI,O,O,O,X,X,O,X,X
LOZSJIT,O,O,O,X,X,O,X,X
JTILSZO,O,X,X,X,X,X,O,X
JTILSOZ,X,X,X,O,O,X,O,X
JTILZSO,O,X,O,O,O,X,O,X
JTILZOS,O,X,O,O,O,X,O,X
JTILOSZ,X,O,O,O,O,X,O,X
JTILOZS,O,O,O,O,O,X,O,X
JTISLZO,O,X,X,X,X,X,O,X
JTISLOZ,O,O,X,O,O,X,O,X
JTISZLO,O,X,X,X,O,X,O,X
JTISZOL,O,O,X,X,X,X,X,X
JTISOLZ,O,O,X,O,X,X,O,X
JTISOZL,O,O,X,X,X,X,X,X
JTIZLSO,X,X,O,O,O,X,O,X
JTIZLOS,X,X,O,O,O,X,O,X
JTIZSLO,X,X,O,O,O,X,O,X
JTIZSOL,X,X,X,O,X,X,X,X
JTIZOLS,X,X,O,O,O,X,X,X
JTIZOSL,X,X,X,O,X,X,X,X
JTIOLSZ,O,O,X,O,O,X,O,X
JTIOLZS,O,O,X,O,O,X,O,X
JTIOSLZ,O,O,X,O,X,X,O,X
JTIOSZL,O,O,X,X,X,X,X,X
JTIOZLS,O,X,X,O,O,X,X,X
JTIOZSL,O,X,X,O,X,X,X,X
JTLISZO,O,X,X,X,X,X,O,X
JTLISOZ,X,X,X,O,O,X,O,X
JTLIZSO,O,X,O,O,O,X,O,X
JTLIZOS,O,X,O,O,O,X,O,X
JTLIOSZ,X,O,O,O,O,X,O,X
JTLIOZS,O,O,O,O,O,X,O,X
JTLSIZO,O,X,X,X,X,X,O,X
JTLSIOZ,X,X,X,O,O,X,O,X
JTLSZIO,O,X,X,O,O,X,X,X
JTLSZOI,O,X,X,O,O,O,X,X
JTLSOIZ,X,X,X,O,O,X,X,X
JTLSOZI,X,X,X,O,O,X,X,X
JTLZISO,O,X,O,O,O,X,X,X
JTLZIOS,O,X,O,O,O,X,X,X
JTLZSIO,O,X,O,O,O,X,X,X
JTLZSOI,O,X,X,O,O,O,X,X
JTLZOIS,O,X,O,O,O,X,X,X
JTLZOSI,O,X,O,O,O,X,X,X
JTLOISZ,X,O,O,O,O,X,X,X
JTLOIZS,O,O,O,O,O,X,X,X
JTLOSIZ,X,O,O,O,O,X,X,X
JTLOSZI,X,O,O,O,O,X,X,X
JTLOZIS,O,O,O,O,O,X,X,X
JTLOZSI,O,O,O,O,O,X,X,X
JTSILZO,O,X,X,X,X,X,O,X
JTSILOZ,O,O,X,O,O,X,O,X
JTSIZLO,O,X,X,X,O,X,O,X
JTSIZOL,O,O,X,X,X,X,X,X
JTSIOLZ,O,O,X,O,X,X,O,X
JTSIOZL,O,O,X,X,X,X,X,X
JTSLIZO,O,X,X,X,X,X,O,X
JTSLIOZ,O,O,X,O,O,X,O,X
JTSLZIO,O,X,X,O,O,X,X,X
JTSLZOI,O,X,X,O,O,O,X,X
JTSLOIZ,O,X,X,O,O,X,X,X
JTSLOZI,O,X,X,O,O,X,X,X
JTSZILO,O,X,X,O,O,X,O,X
JTSZIOL,O,O,X,O,X,X,X,X
JTSZLIO,O,X,X,O,O,X,X,X
JTSZLOI,O,X,X,O,O,X,X,X
JTSZOIL,O,X,X,O,X,X,X,X
JTSZOLI,X,X,X,O,O,X,X,X
JTSOILZ,O,O,X,O,X,X,O,X
JTSOIZL,O,O,X,X,X,X,X,X
JTSOLIZ,O,O,X,O,O,X,X,X
JTSOLZI,O,O,X,O,O,O,X,X
JTSOZIL,O,O,X,O,X,X,X,X
JTSOZLI,O,O,X,O,O,X,X,X
JTZILSO,X,X,O,O,O,X,O,X
JTZILOS,X,X,O,O,O,X,O,X
JTZISLO,X,X,O,O,O,X,O,X
JTZISOL,X,X,X,O,X,X,X,X
JTZIOLS,X,X,O,O,O,X,X,X
JTZIOSL,X,X,X,O,X,X,X,X
JTZLISO,X,X,O,O,O,X,X,X
JTZLIOS,X,X,O,O,O,X,X,X
JTZLSIO,X,X,O,O,O,X,X,X
JTZLSOI,X,X,X,O,O,X,X,X
JTZLOIS,X,X,O,O,O,X,X,X
JTZLOSI,X,X,O,O,O,X,X,X
