sequence,v115@9gA8IeA8IeB8CeB8CeC8CeC8KeCAJvhFmiB5oB/qBF?mB0nBTrB,v115@9gA8IeA8IeB8CeB8CeC8CeC8Kez/IvhFGhB/nBaoB5?oBlqBUrB,v115@9gA8IeA8IeB8CeB8CeC8CeC8Kez/IvhFfmBaoB5oBG?nB0qBlrB,v115@9gA8IeA8IeB8CeB8CeC8CeC8KefFJvhFlgBcmBiiB5?oBznBWwB,v115@9gA8IeA8IeB8CeB8CeC8CeC8KefFJvhF0gBaoB5oBG?nBzqBlrB,v115@9gA8IeA8IeB8CeB8CeC8CeC8KefFJvhF6lBThBmiB5?oB0nBVwB,v115@9gA8IeA8IeB8CeB8CeC8CeC8Kez/IvhFxiB1qB0nB6?tBXrBGrB
JLIOZTS,X,X,O,X,X,X,X
JLIOZST,X,X,O,X,O,X,X
JLSTIZO,O,O,X,O,X,X,X
JLSTIOZ,X,O,X,X,O,X,X
JLSTZIO,O,O,X,O,X,X,X
JLSTZOI,O,O,X,O,X,X,X
JLSTOIZ,X,O,X,X,O,X,X
JLSTOZI,X,O,X,X,O,X,X
JLSITZO,O,O,X,O,X,X,X
JLSITOZ,X,O,X,X,O,X,X
JLSIZTO,O,O,O,O,X,X,X
JLSIZOT,O,O,O,O,O,X,X
JLSIOTZ,X,O,X,X,O,X,X
JLSIOZT,X,O,O,O,O,X,X
JLSZTIO,O,O,O,O,X,X,X
JLSZTOI,O,O,O,O,X,X,X
JLSZITO,O,O,O,O,X,X,X
JLSZIOT,O,O,O,O,O,X,X
JLSZOTI,O,X,O,O,O,X,X
JLSZOIT,O,O,O,O,O,X,X
JLSOTIZ,X,O,X,X,O,X,X
JLSOTZI,X,O,X,X,O,X,X
JLSOITZ,X,O,X,X,O,X,X
JLSOIZT,X,O,O,O,O,X,X
JLSOZTI,X,X,O,O,O,X,X
JLSOZIT,X,O,O,O,O,X,X
JLZTISO,O,X,O,X,X,X,O
JLZTIOS,X,X,O,X,X,X,O
JLZTSIO,O,X,O,X,X,X,O
JLZTSOI,O,X,O,X,X,X,O
JLZTOIS,X,X,O,X,X,X,O
JLZTOSI,X,X,O,X,X,X,O
JLZITSO,O,X,O,X,X,X,O
JLZITOS,X,X,O,X,X,X,O
JLZISTO,O,X,O,O,X,X,X
JLZISOT,O,X,O,X,O,X,X
JLZIOTS,X,X,O,X,X,X,O
JLZIOST,O,X,O,X,O,X,X
JLZSTIO,O,X,O,O,X,X,X
JLZSTOI,O,X,O,X,X,X,X
JLZSITO,O,X,O,O,X,X,X
JLZSIOT,O,X,O,X,O,X,X
JLZSOTI,O,X,O,X,O,X,X
JLZSOIT,O,X,O,X,O,X,X
JLZOTIS,X,X,O,X,X,X,O
JLZOTSI,X,X,O,X,X,X,O
JLZOITS,X,X,O,X,X,X,O
JLZOIST,O,X,O,X,O,X,X
JLZOSTI,O,X,O,X,O,X,X
JLZOSIT,O,X,O,X,O,X,X
JLOTISZ,X,X,X,X,O,X,X
JLOTIZS,X,X,O,X,X,X,X
JLOTSIZ,X,X,X,X,O,X,X
JLOTSZI,X,X,X,X,O,X,X
JLOTZIS,X,X,O,X,X,X,O
JLOTZSI,X,X,O,X,X,X,O
JLOITSZ,X,X,X,X,O,X,X
JLOITZS,X,X,O,X,X,X,X
JLOISTZ,X,O,X,X,O,X,X
JLOISZT,X,O,O,X,O,X,X
JLOIZTS,X,X,O,X,X,X,X
JLOIZST,X,X,O,X,O,X,X
JLOSTIZ,X,O,X,X,O,X,X
JLOSTZI,X,X,X,X,O,X,X
JLOSITZ,X,O,X,X,O,X,X
JLOSIZT,X,O,O,X,O,X,X
JLOSZTI,X,X,O,X,O,X,X
JLOSZIT,X,O,O,X,O,X,X
JLOZTIS,X,X,O,X,X,X,O
JLOZTSI,X,X,O,X,X,X,O
JLOZITS,X,X,O,X,X,X,O
JLOZIST,X,X,O,X,O,X,X
JLOZSTI,X,X,O,X,O,X,X
JLOZSIT,X,X,O,X,O,X,X
JSTILZO,O,O,X,O,X,O,X
JSTILOZ,X,O,X,X,O,O,X
JSTIZLO,O,O,X,O,X,O,X
JSTIZOL,O,O,X,O,X,O,X
JSTIOLZ,X,O,X,O,O,O,X
JSTIOZL,X,O,X,O,O,O,X
JSTLIZO,O,O,X,O,X,O,X
JSTLIOZ,X,O,X,X,O,O,X
JSTLZIO,O,O,X,O,X,O,X
JSTLZOI,O,O,X,O,X,O,X
JSTLOIZ,X,O,X,X,O,O,X
JSTLOZI,X,O,X,X,O,O,X
JSTZILO,O,O,X,O,X,O,X
JSTZIOL,O,O,X,O,X,O,X
JSTZLIO,O,O,X,O,X,O,X
JSTZLOI,O,O,X,O,X,O,X
JSTZOIL,O,O,X,O,X,O,X
JSTZOLI,O,O,X,O,X,O,X
JSTOILZ,X,O,X,O,O,O,X
JSTOIZL,X,O,X,O,O,O,X
JSTOLIZ,X,O,X,O,O,O,X
JSTOLZI,X,O,X,O,O,O,X
JSTOZIL,X,O,X,O,O,O,X
JSTOZLI,X,O,X,O,O,O,X
JSITLZO,O,O,X,O,X,O,X
JSITLOZ,X,O,X,X,O,O,X
JSITZLO,O,O,X,O,X,O,X
JSITZOL,O,O,X,O,X,O,X
JSITOLZ,X,O,X,O,O,O,X
JSITOZL,X,O,X,O,O,O,X
JSILTZO,O,O,X,O,X,X,X
JSILTOZ,X,O,X,X,O,X,X
JSILZTO,O,O,O,O,X,X,X
JSILZOT,O,O,O,O,O,X,X
JSILOTZ,X,O,X,O,O,X,X
JSILOZT,X,O,O,O,O,X,X
JSIZTLO,O,O,O,O,X,O,X
JSIZTOL,O,O,O,O,X,O,X
JSIZLTO,O,O,O,O,X,O,X
JSIZLOT,O,O,O,O,O,X,X
JSIZOTL,O,X,O,O,O,O,X
JSIZOLT,O,O,O,O,O,X,X
JSIOTLZ,X,O,X,O,O,X,X
JSIOTZL,X,O,X,O,O,X,X
JSIOLTZ,X,O,X,O,O,X,X
JSIOLZT,X,O,O,O,O,X,X
JSIOZTL,X,X,O,O,O,X,X
JSIOZLT,X,O,O,O,O,X,X
JSLTIZO,O,O,X,O,X,X,X
JSLTIOZ,X,O,X,X,O,X,X
JSLTZIO,O,O,X,O,X,X,X
JSLTZOI,O,O,X,O,X,X,X
JSLTOIZ,X,O,X,X,O,X,X
JSLTOZI,X,O,X,X,O,X,X
JSLITZO,O,O,X,O,X,X,X
JSLITOZ,X,O,X,X,O,X,X
JSLIZTO,O,O,O,O,X,X,X
JSLIZOT,O,O,O,O,O,X,X
JSLIOTZ,X,O,X,O,O,X,X
JSLIOZT,X,O,O,O,O,X,X
JSLZTIO,O,O,O,O,X,X,X
JSLZTOI,O,O,O,O,X,X,X
JSLZITO,O,O,O,O,X,X,X
JSLZIOT,O,O,O,O,O,X,X
JSLZOTI,O,X,O,O,O,X,X
JSLZOIT,O,O,O,O,O,X,X
JSLOTIZ,X,O,X,O,O,X,X
JSLOTZI,X,O,X,O,O,X,X
JSLOITZ,X,O,X,O,O,X,X
JSLOIZT,X,O,O,O,O,X,X
JSLOZTI,X,X,O,O,O,X,X
JSLOZIT,X,O,O,O,O,X,X
JSZTILO,O,O,O,O,X,O,X
JSZTIOL,O,O,O,O,X,O,X
JSZTLIO,O,O,O,O,X,O,X
JSZTLOI,O,O,O,O,X,O,X
JSZTOIL,O,O,O,O,X,O,X
JSZTOLI,O,O,O,O,X,O,X
JSZITLO,O,O,O,O,X,O,X
JSZITOL,O,O,O,O,X,O,X
JSZILTO,O,O,O,O,X,O,X
JSZILOT,O,O,O,O,O,X,X
JSZIOTL,O,X,O,O,O,O,X
JSZIOLT,O,O,O,O,O,X,X
JSZLTIO,O,O,O,O,X,O,X
JSZLTOI,O,O,O,O,X,O,X
JSZLITO,O,O,O,O,X,O,X
JSZLIOT,O,O,O,O,O,X,X
JSZLOTI,O,X,O,O,O,X,X
JSZLOIT,O,O,O,O,O,X,X
JSZOTIL,O,X,O,O,O,O,X
JSZOTLI,O,X,O,O,O,O,X
JSZOITL,O,X,O,O,O,O,X
JSZOILT,O,O,O,O,O,X,X
JSZOLTI,O,X,O,O,O,X,X
JSZOLIT,O,O,O,O,O,X,X
JSOTILZ,X,O,X,O,O,X,X
JSOTIZL,X,O,X,O,O,X,X
JSOTLIZ,X,O,X,O,O,X,X
JSOTLZI,X,O,X,O,O,X,X
JSOTZIL,X,O,X,O,O,X,X
JSOTZLI,X,O,X,O,O,X,X
JSOITLZ,X,O,X,O,O,X,X
JSOITZL,X,O,X,O,O,X,X
JSOILTZ,X,O,X,O,O,X,X
JSOILZT,X,O,O,O,O,X,X
JSOIZTL,X,X,O,O,O,X,X
JSOIZLT,X,O,O,O,O,X,X
JSOLTIZ,X,O,X,O,O,X,X
JSOLTZI,X,O,X,O,O,X,X
JSOLITZ,X,O,X,O,O,X,X
JSOLIZT,X,O,O,O,O,X,X
JSOLZTI,X,X,O,O,O,X,X
JSOLZIT,X,O,O,O,O,X,X
JSOZTIL,X,X,O,O,O,X,X
JSOZTLI,X,X,O,O,O,X,X
JSOZITL,X,X,O,O,O,X,X
JSOZILT,X,O,O,O,O,X,X
JSOZLTI,X,X,O,O,O,X,X
JSOZLIT,X,O,O,O,O,X,X
JZTILSO,O,X,O,X,X,X,X
JZTILOS,X,X,O,X,X,X,X
JZTISLO,O,O,O,X,X,O,X
JZTISOL,O,O,O,X,X,O,X
JZTIOLS,X,X,O,X,X,X,X
JZTIOSL,X,O,O,X,X,X,X
JZTLISO,O,X,O,X,X,X,O
JZTLIOS,X,X,O,X,X,X,O
JZTLSIO,O,X,O,X,X,X,O
JZTLSOI,O,X,O,X,X,X,O
JZTLOIS,X,X,O,X,X,X,O
JZTLOSI,X,X,O,X,X,X,O
JZTSILO,O,O,O,X,X,O,X
JZTSIOL,O,O,O,X,X,O,X
JZTSLIO,O,O,O,X,X,O,X
JZTSLOI,O,O,O,X,X,O,X
JZTSOIL,O,O,O,X,X,O,X
JZTSOLI,O,O,O,X,X,O,X
JZTOILS,X,X,O,X,X,X,X
JZTOISL,X,O,O,X,X,X,X
JZTOLIS,X,X,O,X,X,X,O
JZTOLSI,X,X,O,X,X,X,O
JZTOSIL,X,O,O,X,X,X,X
JZTOSLI,X,O,O,X,X,X,X
JZITLSO,O,X,O,X,X,X,X
JZITLOS,X,X,O,X,X,X,X
JZITSLO,O,O,O,X,X,O,X
JZITSOL,O,O,O,X,X,O,X
JZITOLS,X,X,O,X,X,X,X
JZITOSL,X,O,O,X,X,X,X
JZILTSO,O,X,O,X,X,X,X
JZILTOS,X,X,O,X,X,X,X
JZILSTO,O,X,O,O,X,O,X
JZILSOT,O,X,O,X,O,X,X
JZILOTS,X,X,O,X,X,X,X
JZILOST,O,X,O,X,O,X,X
JZISTLO,O,O,O,O,X,O,X
JZISTOL,O,O,O,O,X,O,X
JZISLTO,O,O,O,O,X,O,X
JZISLOT,O,O,O,X,O,X,X
JZISOTL,O,X,O,O,O,O,X
JZISOLT,O,O,O,O,O,X,X
JZIOTLS,X,X,O,X,X,X,X
JZIOTSL,X,X,O,X,X,X,X
JZIOLTS,X,X,O,X,X,X,X
JZIOLST,O,X,O,O,O,X,X
JZIOSTL,O,X,O,O,O,O,X
JZIOSLT,O,O,O,O,O,X,X
JZLTISO,O,X,O,X,X,X,O
JZLTIOS,X,X,O,X,X,X,O
JZLTSIO,O,X,O,X,X,X,O
JZLTSOI,O,X,O,X,X,X,O
JZLTOIS,X,X,O,X,X,X,O
JZLTOSI,X,X,O,X,X,X,O
JZLITSO,O,X,O,X,X,X,O
JZLITOS,X,X,O,X,X,X,O
JZLISTO,O,X,O,O,X,O,X
JZLISOT,O,X,O,X,O,X,X
JZLIOTS,X,X,O,X,X,X,O
JZLIOST,O,X,O,X,O,X,X
JZLSTIO,O,X,O,O,X,O,X
JZLSTOI,O,X,O,X,X,O,X
JZLSITO,O,X,O,O,X,O,X
JZLSIOT,O,X,O,X,O,X,X
JZLSOTI,O,X,O,X,O,X,X
JZLSOIT,O,X,O,X,O,X,X
JZLOTIS,X,X,O,X,X,X,O
JZLOTSI,X,X,O,X,X,X,O
JZLOITS,X,X,O,X,X,X,O
JZLOIST,O,X,O,X,O,X,X
JZLOSTI,O,X,O,X,O,X,X
JZLOSIT,O,X,O,X,O,X,X
JZSTILO,O,O,O,O,X,O,X
JZSTIOL,O,O,O,O,X,O,X
JZSTLIO,O,O,O,O,X,O,X
JZSTLOI,O,O,O,X,X,O,X
JZSTOIL,O,O,O,O,X,O,X
JZSTOLI,O,O,O,O,X,O,X
JZSITLO,O,O,O,O,X,O,X
JZSITOL,O,O,O,O,X,O,X
JZSILTO,O,O,O,O,X,O,X
JZSILOT,O,O,O,X,O,X,X
JZSIOTL,O,X,O,O,O,O,X
JZSIOLT,O,O,O,O,O,X,X
JZSLTIO,O,O,O,O,X,O,X
JZSLTOI,O,O,O,X,X,O,X
JZSLITO,O,O,O,O,X,O,X
JZSLIOT,O,O,O,X,O,X,X
JZSLOTI,O,X,O,X,O,X,X
JZSLOIT,O,O,O,X,O,X,X
JZSOTIL,O,X,O,O,O,O,X
JZSOTLI,O,X,O,O,O,O,X
JZSOITL,O,X,O,O,O,O,X
JZSOILT,O,O,O,O,O,X,X
JZSOLTI,O,X,O,O,O,X,X
JZSOLIT,O,O,O,O,O,X,X
JZOTILS,X,X,O,X,X,X,X
JZOTISL,X,X,O,X,X,X,X
JZOTLIS,X,X,O,X,X,X,O
JZOTLSI,X,X,O,X,X,X,O
JZOTSIL,X,X,O,X,X,X,X
JZOTSLI,X,X,O,X,X,X,X
JZOITLS,X,X,O,X,X,X,X
JZOITSL,X,X,O,X,X,X,X
JZOILTS,X,X,O,X,X,X,X
JZOILST,O,X,O,O,O,X,X
JZOISTL,O,X,O,O,O,O,X
JZOISLT,O,O,O,O,O,X,X
JZOLTIS,X,X,O,X,X,X,O
JZOLTSI,X,X,O,X,X,X,O
JZOLITS,X,X,O,X,X,X,O
JZOLIST,O,X,O,O,O,X,X
JZOLSTI,O,X,O,O,O,X,X
JZOLSIT,O,X,O,O,O,X,X
JZOSTIL,O,X,O,O,O,O,X
JZOSTLI,O,X,O,O,O,O,X
JZOSITL,O,X,O,O,O,O,X
JZOSILT,O,O,O,O,O,X,X
JZOSLTI,O,X,O,O,O,X,X
JZOSLIT,O,O,O,O,O,X,X
JOTILSZ,X,O,X,X,O,X,X
JOTILZS,X,X,O,X,X,X,X
JOTISLZ,X,O,X,X,O,X,X
JOTISZL,X,O,X,X,O,X,X
JOTIZLS,X,X,O,X,X,X,X
JOTIZSL,X,O,O,X,X,X,X
JOTLISZ,X,O,X,X,O,X,X
JOTLIZS,X,X,O,X,X,X,X
JOTLSIZ,X,O,X,X,O,X,X
JOTLSZI,X,O,X,X,O,X,X
JOTLZIS,X,X,O,X,X,X,O
JOTLZSI,X,X,O,X,X,X,O
JOTSILZ,X,O,X,X,O,X,X
JOTSIZL,X,O,X,X,O,X,X
JOTSLIZ,X,O,X,X,O,X,X
JOTSLZI,X,O,X,X,O,X,X
JOTSZIL,X,O,X,X,O,X,X
JOTSZLI,X,O,X,X,O,X,X
JOTZILS,X,X,O,X,X,X,X
JOTZISL,X,O,O,X,X,X,X
JOTZLIS,X,X,O,X,X,X,O
JOTZLSI,X,X,O,X,X,X,O
JOTZSIL,X,O,O,X,X,X,X
JOTZSLI,X,O,O,X,X,X,X
JOITLSZ,X,O,X,X,O,X,X
JOITLZS,X,X,O,X,X,X,X
JOITSLZ,X,O,X,X,O,X,X
JOITSZL,X,O,X,X,O,X,X
JOITZLS,X,X,O,X,X,X,X
JOITZSL,X,O,O,X,X,X,X
JOILTSZ,X,X,X,X,O,X,X
JOILTZS,X,X,O,X,X,X,X
JOILSTZ,X,O,X,O,O,X,X
JOILSZT,X,O,O,O,O,X,X
JOILZTS,X,X,O,X,X,X,X
JOILZST,X,X,O,O,O,X,X
JOISTLZ,X,O,X,O,O,X,X
JOISTZL,X,O,X,O,O,X,X
JOISLTZ,X,O,X,O,O,X,X
JOISLZT,X,O,O,O,O,X,X
JOISZTL,X,X,O,O,O,X,X
JOISZLT,X,O,O,O,O,X,X
JOIZTLS,X,X,O,X,X,X,X
JOIZTSL,X,X,O,X,X,X,X
JOIZLTS,X,X,O,X,X,X,X
JOIZLST,X,X,O,O,O,X,X
JOIZSTL,X,X,O,O,O,X,X
JOIZSLT,X,O,O,O,O,X,X
JOLTISZ,X,X,X,X,O,X,X
JOLTIZS,X,X,O,X,X,X,X
JOLTSIZ,X,X,X,X,O,X,X
JOLTSZI,X,X,X,X,O,X,X
JOLTZIS,X,X,O,X,X,X,O
JOLTZSI,X,X,O,X,X,X,O
JOLITSZ,X,X,X,X,O,X,X
JOLITZS,X,X,O,X,X,X,X
JOLISTZ,X,O,X,O,O,X,X
JOLISZT,X,O,O,O,O,X,X
JOLIZTS,X,X,O,X,X,X,X
JOLIZST,X,X,O,O,O,X,X
JOLSTIZ,X,O,X,O,O,X,X
JOLSTZI,X,X,X,O,O,X,X
JOLSITZ,X,O,X,O,O,X,X
JOLSIZT,X,O,O,O,O,X,X
JOLSZTI,X,X,O,O,O,X,X
JOLSZIT,X,O,O,O,O,X,X
JOLZTIS,X,X,O,X,X,X,O
JOLZTSI,X,X,O,X,X,X,O
JOLZITS,X,X,O,X,X,X,O
JOLZIST,X,X,O,O,O,X,X
JOLZSTI,X,X,O,O,O,X,X
JOLZSIT,X,X,O,O,O,X,X
JOSTILZ,X,O,X,O,O,X,X
JOSTIZL,X,O,X,O,O,X,X
JOSTLIZ,X,O,X,O,O,X,X
JOSTLZI,X,O,X,O,O,X,X
JOSTZIL,X,O,X,O,O,X,X
JOSTZLI,X,O,X,O,O,X,X
JOSITLZ,X,O,X,O,O,X,X
JOSITZL,X,O,X,O,O,X,X
JOSILTZ,X,O,X,O,O,X,X
JOSILZT,X,O,O,O,O,X,X
JOSIZTL,X,X,O,O,O,X,X
JOSIZLT,X,O,O,O,O,X,X
JOSLTIZ,X,O,X,O,O,X,X
JOSLTZI,X,O,X,O,O,X,X
JOSLITZ,X,O,X,O,O,X,X
JOSLIZT,X,O,O,O,O,X,X
JOSLZTI,X,X,O,O,O,X,X
JOSLZIT,X,O,O,O,O,X,X
JOSZTIL,X,X,O,O,O,X,X
JOSZTLI,X,X,O,O,O,X,X
JOSZITL,X,X,O,O,O,X,X
JOSZILT,X,O,O,O,O,X,X
JOSZLTI,X,X,O,O,O,X,X
JOSZLIT,X,O,O,O,O,X,X
JOZTILS,X,X,O,X,X,X,X
JOZTISL,X,X,O,X,X,X,X
JOZTLIS,X,X,O,X,X,X,O
JOZTLSI,X,X,O,X,X,X,O
JOZTSIL,X,X,O,X,X,X,X
JOZTSLI,X,X,O,X,X,X,X
JOZITLS,X,X,O,X,X,X,X
JOZITSL,X,X,O,X,X,X,X
JOZILTS,X,X,O,X,X,X,X
JOZILST,X,X,O,O,O,X,X
JOZISTL,X,X,O,O,O,X,X
JOZISLT,X,O,O,O,O,X,X
JOZLTIS,X,X,O,X,X,X,O
JOZLTSI,X,X,O,X,X,X,O
JOZLITS,X,X,O,X,X,X,O
JOZLIST,X,X,O,O,O,X,X
JOZLSTI,X,X,O,O,O,X,X
JOZLSIT,X,X,O,O,O,X,X
JOZSTIL,X,X,O,O,O,X,X
JOZSTLI,X,X,O,O,O,X,X
JOZSITL,X,X,O,O,O,X,X
JOZSILT,X,O,O,O,O,X,X
JOZSLTI,X,X,O,O,O,X,X
JOZSLIT,X,O,O,O,O,X,X
STILJZO,O,O,X,O,X,O,X
STILJOZ,X,O,X,X,O,O,X
STILZJO,O,O,X,O,X,O,X
STILZOJ,O,O,X,O,X,O,X
STILOJZ,X,O,X,X,O,O,X
STILOZJ,O,O,X,X,X,O,X
STIJLZO,O,O,X,O,X,O,X
STIJLOZ,X,O,X,X,O,O,X
STIJZLO,O,O,X,O,X,O,X
STIJZOL,O,O,X,O,X,O,X
STIJOLZ,X,O,X,O,O,O,X
STIJOZL,X,O,X,O,O,O,X
STIZLJO,O,O,X,O,X,O,X
STIZLOJ,O,O,X,O,X,O,X
STIZJLO,O,O,X,O,X,O,X
STIZJOL,O,O,X,O,X,O,X
STIZOLJ,O,O,X,O,X,O,X
STIZOJL,O,O,X,O,X,O,X
STIOLJZ,X,O,X,O,O,O,X
STIOLZJ,O,O,X,O,X,O,X
STIOJLZ,X,O,X,O,O,O,X
STIOJZL,X,O,X,O,O,O,X
STIOZLJ,O,O,X,O,X,O,X
STIOZJL,O,O,X,O,O,O,X
STLIJZO,O,O,X,O,X,O,X
STLIJOZ,X,O,X,X,O,O,X
STLIZJO,O,O,X,O,X,O,X
STLIZOJ,O,O,X,O,X,O,X
STLIOJZ,X,O,X,X,O,O,X
STLIOZJ,O,O,X,X,X,O,X
STLJIZO,O,O,X,O,X,O,X
STLJIOZ,X,O,X,X,O,O,X
STLJZIO,O,O,X,O,X,O,X
STLJZOI,O,O,X,O,X,O,X
STLJOIZ,X,O,X,X,O,O,X
STLJOZI,X,O,X,X,O,O,X
STLZIJO,O,O,X,O,X,O,O
STLZIOJ,O,O,X,O,X,O,O
STLZJIO,O,O,X,O,X,O,O
STLZJOI,O,O,X,X,X,O,O
STLZOIJ,O,O,X,O,X,O,O
STLZOJI,O,O,X,X,X,O,O
STLOIJZ,X,O,X,X,O,O,X
STLOIZJ,O,O,X,X,X,O,X
STLOJIZ,X,O,X,X,O,O,X
STLOJZI,X,O,X,X,O,O,X
STLOZIJ,O,O,X,X,X,O,O
STLOZJI,O,O,X,X,X,O,O
STJILZO,O,O,X,O,X,O,X
STJILOZ,X,O,X,X,O,O,X
STJIZLO,O,O,X,O,X,O,X
STJIZOL,O,O,X,O,X,O,X
STJIOLZ,X,O,X,O,O,O,X
STJIOZL,X,O,X,O,O,O,X
STJLIZO,O,O,X,O,X,O,X
STJLIOZ,X,O,X,X,O,O,X
STJLZIO,O,O,X,O,X,O,X
STJLZOI,O,O,X,O,X,O,X
STJLOIZ,X,O,X,X,O,O,X
STJLOZI,X,O,X,X,O,O,X
STJZILO,O,O,X,O,X,O,X
STJZIOL,O,O,X,O,X,O,X
STJZLIO,O,O,X,O,X,O,X
STJZLOI,O,O,X,O,X,O,X
STJZOIL,O,O,X,O,X,O,X
STJZOLI,O,O,X,O,X,O,X
STJOILZ,X,O,X,O,O,O,X
STJOIZL,X,O,X,O,O,O,X
STJOLIZ,X,O,X,O,O,O,X
STJOLZI,X,O,X,O,O,O,X
STJOZIL,X,O,X,O,O,O,X
STJOZLI,X,O,X,O,O,O,X
STZILJO,O,O,X,O,X,O,X
STZILOJ,O,O,X,O,X,O,X
STZIJLO,O,O,X,O,X,O,X
STZIJOL,O,O,X,O,X,O,X
STZIOLJ,O,O,X,O,X,O,X
STZIOJL,O,O,X,O,X,O,X
STZLIJO,O,O,X,O,X,O,O
STZLIOJ,O,O,X,O,X,O,O
STZLJIO,O,O,X,O,X,O,O
STZLJOI,O,O,X,X,X,O,O
STZLOIJ,O,O,X,O,X,O,O
STZLOJI,O,O,X,O,X,O,O
STZJILO,O,O,X,O,X,O,X
STZJIOL,O,O,X,O,X,O,X
STZJLIO,O,O,X,O,X,O,X
STZJLOI,O,O,X,X,X,O,X
STZJOIL,O,O,X,O,X,O,X
STZJOLI,O,O,X,O,X,O,X
STZOILJ,O,O,X,O,X,O,X
STZOIJL,O,O,X,O,X,O,X
STZOLIJ,O,O,X,O,X,O,O
STZOLJI,O,O,X,O,X,O,O
STZOJIL,O,O,X,O,X,O,X
STZOJLI,O,O,X,O,X,O,X
STOILJZ,X,O,X,O,O,O,X
STOILZJ,O,O,X,O,X,O,X
STOIJLZ,X,O,X,O,O,O,X
STOIJZL,X,O,X,O,O,O,X
STOIZLJ,O,O,X,O,X,O,X
STOIZJL,O,O,X,O,O,O,X
STOLIJZ,X,O,X,O,O,O,X
STOLIZJ,O,O,X,O,X,O,X
STOLJIZ,X,O,X,O,O,O,X
STOLJZI,X,O,X,O,O,O,X
STOLZIJ,O,O,X,O,X,O,O
STOLZJI,O,O,X,O,X,O,O
STOJILZ,X,O,X,O,O,O,X
STOJIZL,X,O,X,O,O,O,X
STOJLIZ,X,O,X,O,O,O,X
STOJLZI,X,O,X,O,O,O,X
STOJZIL,X,O,X,O,O,O,X
STOJZLI,X,O,X,O,O,O,X
STOZILJ,O,O,X,O,X,O,X
STOZIJL,O,O,X,O,O,O,X
STOZLIJ,O,O,X,O,X,O,O
STOZLJI,O,O,X,O,X,O,O
STOZJIL,O,O,X,O,O,O,X
STOZJLI,O,O,X,O,O,O,X
SITLJZO,O,O,X,O,X,O,X
SITLJOZ,X,O,X,X,O,O,X
SITLZJO,O,O,X,O,X,O,X
SITLZOJ,O,O,X,O,X,O,X
SITLOJZ,X,O,X,X,O,O,X
SITLOZJ,O,O,X,X,X,O,X
SITJLZO,O,O,X,O,X,O,X
SITJLOZ,X,O,X,X,O,O,X
SITJZLO,O,O,X,O,X,O,X
SITJZOL,O,O,X,O,X,O,X
SITJOLZ,X,O,X,O,O,O,X
SITJOZL,X,O,X,O,O,O,X
SITZLJO,O,O,X,O,X,O,X
SITZLOJ,O,O,X,O,X,O,X
SITZJLO,O,O,X,O,X,O,X
SITZJOL,O,O,X,O,X,O,X
SITZOLJ,O,O,X,O,X,O,X
SITZOJL,O,O,X,O,X,O,X
SITOLJZ,X,O,X,O,O,O,X
SITOLZJ,O,O,X,O,X,O,X
SITOJLZ,X,O,X,O,O,O,X
SITOJZL,X,O,X,O,O,O,X
SITOZLJ,O,O,X,O,X,O,X
SITOZJL,O,O,X,O,O,O,X
SILTJZO,O,O,X,O,X,O,X
SILTJOZ,X,O,X,X,O,O,X
SILTZJO,O,O,X,O,X,O,X
SILTZOJ,O,O,X,O,X,O,X
SILTOJZ,X,O,X,X,O,O,X
SILTOZJ,O,O,X,X,X,O,X
SILJTZO,O,O,X,O,X,X,X
SILJTOZ,X,O,X,X,O,X,X
SILJZTO,O,O,O,O,X,X,X
SILJZOT,O,O,O,O,O,X,X
SILJOTZ,X,O,X,O,O,X,X
SILJOZT,X,O,O,O,O,X,X
SILZTJO,O,O,X,O,X,O,X
SILZTOJ,O,O,X,O,X,O,X
SILZJTO,O,O,O,O,X,O,X
SILZJOT,O,O,O,O,O,X,X
SILZOTJ,O,O,X,O,X,X,X
SILZOJT,O,O,O,O,O,X,X
SILOTJZ,X,O,X,O,O,X,X
SILOTZJ,O,O,X,O,X,X,X
SILOJTZ,X,O,X,O,O,X,X
SILOJZT,X,O,O,O,O,X,X
SILOZTJ,O,O,X,O,X,X,X
SILOZJT,O,O,O,O,O,X,X
SIJTLZO,O,O,X,O,X,O,X
SIJTLOZ,X,O,X,X,O,O,X
SIJTZLO,O,O,X,O,X,O,X
SIJTZOL,O,O,X,O,X,O,X
SIJTOLZ,X,O,X,O,O,O,X
SIJTOZL,X,O,X,O,O,O,X
SIJLTZO,O,O,X,O,X,X,X
SIJLTOZ,X,O,X,X,O,X,X
SIJLZTO,O,O,O,O,X,X,X
SIJLZOT,O,O,O,O,O,X,X
SIJLOTZ,X,O,X,O,O,X,X
SIJLOZT,X,O,O,O,O,X,X
SIJZTLO,O,O,O,O,X,O,X
SIJZTOL,O,O,O,O,X,O,X
SIJZLTO,O,O,O,O,X,O,X
SIJZLOT,O,O,O,O,O,X,X
SIJZOTL,O,X,O,O,O,O,X
SIJZOLT,O,O,O,O,O,X,X
SIJOTLZ,X,O,X,O,O,X,X
SIJOTZL,X,O,X,O,O,X,X
SIJOLTZ,X,O,X,O,O,X,X
SIJOLZT,X,O,O,O,O,X,X
SIJOZTL,X,X,O,O,O,X,X
SIJOZLT,X,O,O,O,O,X,X
SIZTLJO,O,O,X,O,X,O,X
SIZTLOJ,O,O,X,O,X,O,X
SIZTJLO,O,O,O,O,X,O,X
