sequence,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFCiBTjBllB0?nBmlB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBamBTjB+?rB0sBFsB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBFhBSoBU?nBmnBTrB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBzhBunBc?oBlrBarB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFmgBzhB0lBC?oBFoB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFTgBUiBGjBy?sBFrB/rB
OLSZJTI,X,O,O,X,O,X
OLSZJIT,X,O,O,X,O,X
OLZTIJS,O,X,X,X,X,O
OLZTISJ,O,X,O,X,X,O
OLZTJIS,O,X,X,X,X,O
OLZTJSI,X,X,X,X,X,X
OLZTSIJ,O,X,O,X,X,X
OLZTSJI,O,X,O,X,X,X
OLZITJS,O,X,X,X,X,O
OLZITSJ,O,X,O,X,X,O
OLZIJTS,O,X,X,X,X,O
OLZIJST,O,O,O,X,O,X
OLZISTJ,O,X,O,X,O,X
OLZISJT,O,O,O,X,O,X
OLZJTIS,O,X,X,X,X,O
OLZJTSI,X,X,X,X,X,X
OLZJITS,O,X,X,X,X,O
OLZJIST,O,O,O,X,O,X
OLZJSTI,O,O,O,X,O,X
OLZJSIT,O,O,O,X,O,X
OLZSTIJ,O,X,O,X,O,X
OLZSTJI,O,X,O,X,O,X
OLZSITJ,O,X,O,X,O,X
OLZSIJT,O,O,O,X,O,X
OLZSJTI,O,O,O,X,O,X
OLZSJIT,O,O,O,X,O,X
OJTILSZ,X,X,X,X,X,O
OJTILZS,X,X,X,X,X,O
OJTISLZ,X,O,X,X,X,O
OJTISZL,X,O,X,X,X,X
OJTIZLS,O,X,X,X,X,O
OJTIZSL,X,O,X,X,X,X
OJTLISZ,X,X,X,X,X,O
OJTLIZS,X,X,X,X,X,O
OJTLSIZ,X,X,X,X,X,O
OJTLSZI,X,X,X,X,X,X
OJTLZIS,X,X,X,X,X,O
OJTLZSI,X,X,X,X,X,X
OJTSILZ,X,O,X,X,X,O
OJTSIZL,X,O,X,X,X,X
OJTSLIZ,X,O,X,X,X,O
OJTSLZI,X,O,X,X,X,X
OJTSZIL,X,O,X,X,X,X
OJTSZLI,X,O,X,X,X,X
OJTZILS,O,X,X,X,X,O
OJTZISL,X,O,X,X,X,X
OJTZLIS,O,X,X,X,X,O
OJTZLSI,X,X,X,X,X,X
OJTZSIL,X,O,X,X,X,X
OJTZSLI,X,O,X,X,X,X
OJITLSZ,X,X,X,X,X,O
OJITLZS,X,X,X,X,X,O
OJITSLZ,X,O,X,X,X,O
OJITSZL,X,O,X,X,X,X
OJITZLS,O,X,X,X,X,O
OJITZSL,X,O,X,X,X,X
OJILTSZ,X,X,X,X,X,O
OJILTZS,X,X,X,X,X,O
OJILSTZ,X,O,O,X,X,O
OJILSZT,X,O,O,X,X,X
OJILZTS,X,X,X,X,X,O
OJILZST,X,O,O,X,X,X
OJISTLZ,X,O,O,X,X,O
OJISTZL,X,O,O,X,X,X
OJISLTZ,X,O,O,X,X,O
OJISLZT,X,O,O,X,X,X
OJISZTL,X,O,O,X,X,X
OJISZLT,X,O,O,X,X,X
OJIZTLS,O,X,X,X,X,O
OJIZTSL,X,O,X,X,X,X
OJIZLTS,O,X,X,X,X,O
OJIZLST,O,O,O,X,X,X
OJIZSTL,O,O,O,X,X,X
OJIZSLT,O,O,O,X,X,X
OJLTISZ,X,X,X,X,X,O
OJLTIZS,X,X,X,X,X,O
OJLTSIZ,X,X,X,X,X,O
OJLTSZI,X,X,X,X,X,X
OJLTZIS,X,X,X,X,X,O
OJLTZSI,X,X,X,X,X,X
OJLITSZ,X,X,X,X,X,O
OJLITZS,X,X,X,X,X,O
OJLISTZ,X,O,O,X,X,O
OJLISZT,X,O,O,X,X,X
OJLIZTS,X,X,X,X,X,O
OJLIZST,X,O,O,X,X,X
OJLSTIZ,X,O,O,X,X,O
OJLSTZI,X,O,O,X,X,X
OJLSITZ,X,O,O,X,X,O
OJLSIZT,X,O,O,X,X,X
OJLSZTI,X,O,O,X,X,X
OJLSZIT,X,O,O,X,X,X
OJLZTIS,X,X,X,X,X,O
OJLZTSI,X,X,X,X,X,X
OJLZITS,X,X,X,X,X,O
OJLZIST,X,O,O,X,X,X
OJLZSTI,X,O,O,X,X,X
OJLZSIT,X,O,O,X,X,X
OJSTILZ,X,O,O,X,X,O
OJSTIZL,X,O,O,X,X,X
OJSTLIZ,X,O,O,X,X,O
OJSTLZI,X,O,O,X,X,X
OJSTZIL,X,O,O,X,X,X
OJSTZLI,X,O,O,X,X,X
OJSITLZ,X,O,O,X,X,O
OJSITZL,X,O,O,X,X,X
OJSILTZ,X,O,O,X,X,O
OJSILZT,X,O,O,X,X,X
OJSIZTL,X,O,O,X,X,X
OJSIZLT,X,O,O,X,X,X
OJSLTIZ,X,O,O,X,X,O
OJSLTZI,X,O,O,X,X,X
OJSLITZ,X,O,O,X,X,O
OJSLIZT,X,O,O,X,X,X
OJSLZTI,X,O,O,X,X,X
OJSLZIT,X,O,O,X,X,X
OJSZTIL,X,O,O,X,X,X
OJSZTLI,X,O,O,X,X,X
OJSZITL,X,O,O,X,X,X
OJSZILT,X,O,O,X,X,X
OJSZLTI,X,O,O,X,X,X
OJSZLIT,X,O,O,X,X,X
OJZTILS,O,X,X,X,X,O
OJZTISL,X,O,X,X,X,X
OJZTLIS,O,X,X,X,X,O
OJZTLSI,X,X,X,X,X,X
OJZTSIL,X,O,X,X,X,X
OJZTSLI,X,O,X,X,X,X
OJZITLS,O,X,X,X,X,O
OJZITSL,X,O,X,X,X,X
OJZILTS,O,X,X,X,X,O
OJZILST,O,O,O,X,X,X
OJZISTL,O,O,O,X,X,X
OJZISLT,O,O,O,X,X,X
OJZLTIS,O,X,X,X,X,O
OJZLTSI,X,X,X,X,X,X
OJZLITS,O,X,X,X,X,O
OJZLIST,O,O,O,X,X,X
OJZLSTI,O,O,O,X,X,X
OJZLSIT,O,O,O,X,X,X
OJZSTIL,O,O,O,X,X,X
OJZSTLI,O,O,O,X,X,X
OJZSITL,O,O,O,X,X,X
OJZSILT,O,O,O,X,X,X
OJZSLTI,O,O,O,X,X,X
OJZSLIT,O,O,O,X,X,X
OSTILJZ,X,O,O,X,X,O
OSTILZJ,O,X,O,O,O,O
OSTIJLZ,X,O,O,X,X,O
OSTIJZL,X,O,O,O,X,X
OSTIZLJ,O,X,O,O,O,X
OSTIZJL,O,O,O,O,O,X
OSTLIJZ,X,O,O,X,X,O
OSTLIZJ,O,X,O,O,O,O
OSTLJIZ,X,O,O,X,X,O
OSTLJZI,X,O,O,X,X,X
OSTLZIJ,O,X,O,O,O,X
OSTLZJI,O,X,O,O,O,X
OSTJILZ,X,O,O,X,X,O
OSTJIZL,X,O,O,O,X,X
OSTJLIZ,X,O,O,X,X,O
OSTJLZI,X,O,O,X,X,X
OSTJZIL,X,O,O,O,X,X
OSTJZLI,X,O,O,O,X,X
OSTZILJ,O,X,O,O,O,X
OSTZIJL,O,O,O,O,O,X
OSTZLIJ,O,X,O,O,O,X
OSTZLJI,O,X,O,O,O,X
OSTZJIL,O,O,O,O,O,X
OSTZJLI,O,O,O,O,O,X
OSITLJZ,X,O,O,X,X,O
OSITLZJ,O,X,O,O,O,O
OSITJLZ,X,O,O,X,X,O
OSITJZL,X,O,O,O,X,X
OSITZLJ,O,X,O,O,O,X
OSITZJL,O,O,O,O,O,X
OSILTJZ,X,O,O,X,X,O
OSILTZJ,O,X,O,X,O,O
OSILJTZ,X,O,O,X,X,O
OSILJZT,X,O,O,X,O,X
OSILZTJ,O,X,O,X,O,X
OSILZJT,O,O,O,X,O,X
OSIJTLZ,X,O,O,X,X,O
OSIJTZL,X,O,O,X,X,X
OSIJLTZ,X,O,O,X,X,O
OSIJLZT,X,O,O,X,O,X
OSIJZTL,X,O,O,X,O,X
OSIJZLT,X,O,O,X,O,X
OSIZTLJ,O,X,O,O,O,X
OSIZTJL,O,O,O,O,O,X
OSIZLTJ,O,X,O,X,O,X
OSIZLJT,O,O,O,X,O,X
OSIZJTL,O,O,O,O,O,X
OSIZJLT,O,O,O,X,O,X
OSLTIJZ,X,O,O,X,X,O
OSLTIZJ,O,X,O,X,O,O
OSLTJIZ,X,O,O,X,X,O
OSLTJZI,X,O,O,X,X,X
OSLTZIJ,O,X,O,X,O,X
OSLTZJI,O,X,O,X,O,X
OSLITJZ,X,O,O,X,X,O
OSLITZJ,O,X,O,X,O,O
OSLIJTZ,X,O,O,X,X,O
OSLIJZT,X,O,O,X,O,X
OSLIZTJ,O,X,O,X,O,X
OSLIZJT,O,O,O,X,O,X
OSLJTIZ,X,O,O,X,X,O
OSLJTZI,X,O,O,X,X,X
OSLJITZ,X,O,O,X,X,O
OSLJIZT,X,O,O,X,O,X
OSLJZTI,X,O,O,X,O,X
OSLJZIT,X,O,O,X,O,X
OSLZTIJ,O,X,O,X,O,X
OSLZTJI,O,X,O,X,O,X
OSLZITJ,O,X,O,X,O,X
OSLZIJT,O,O,O,X,O,X
OSLZJTI,O,O,O,X,O,X
OSLZJIT,O,O,O,X,O,X
OSJTILZ,X,O,O,X,X,O
OSJTIZL,X,O,O,X,X,X
OSJTLIZ,X,O,O,X,X,O
OSJTLZI,X,O,O,X,X,X
OSJTZIL,X,O,O,X,X,X
OSJTZLI,X,O,O,X,X,X
OSJITLZ,X,O,O,X,X,O
OSJITZL,X,O,O,X,X,X
OSJILTZ,X,O,O,X,X,O
OSJILZT,X,O,O,X,O,X
OSJIZTL,X,O,O,X,O,X
OSJIZLT,X,O,O,X,O,X
OSJLTIZ,X,O,O,X,X,O
OSJLTZI,X,O,O,X,X,X
OSJLITZ,X,O,O,X,X,O
OSJLIZT,X,O,O,X,O,X
OSJLZTI,X,O,O,X,O,X
OSJLZIT,X,O,O,X,O,X
OSJZTIL,X,O,O,X,O,X
OSJZTLI,X,O,O,X,O,X
OSJZITL,X,O,O,X,O,X
OSJZILT,X,O,O,X,O,X
OSJZLTI,X,O,O,X,O,X
OSJZLIT,X,O,O,X,O,X
OSZTILJ,O,X,O,O,O,X
OSZTIJL,O,O,O,O,O,X
OSZTLIJ,O,X,O,O,O,X
OSZTLJI,O,X,O,O,O,X
OSZTJIL,O,O,O,O,O,X
OSZTJLI,O,O,O,O,O,X
OSZITLJ,O,X,O,O,O,X
OSZITJL,O,O,O,O,O,X
OSZILTJ,O,X,O,X,O,X
OSZILJT,O,O,O,X,O,X
OSZIJTL,O,O,O,O,O,X
OSZIJLT,O,O,O,X,O,X
OSZLTIJ,O,X,O,X,O,X
OSZLTJI,O,X,O,X,O,X
OSZLITJ,O,X,O,X,O,X
OSZLIJT,O,O,O,X,O,X
OSZLJTI,O,O,O,X,O,X
OSZLJIT,O,O,O,X,O,X
OSZJTIL,O,O,O,O,O,X
OSZJTLI,O,O,O,O,O,X
OSZJITL,O,O,O,O,O,X
OSZJILT,O,O,O,X,O,X
OSZJLTI,O,O,O,X,O,X
OSZJLIT,O,O,O,X,O,X
OZTILJS,O,X,X,O,X,O
OZTILSJ,O,X,O,O,X,O
OZTIJLS,O,X,X,O,X,O
OZTIJSL,X,O,X,O,X,X
OZTISLJ,O,X,O,O,X,X
OZTISJL,O,O,O,O,X,X
OZTLIJS,O,X,X,O,X,O
OZTLISJ,O,X,O,O,X,O
OZTLJIS,O,X,X,O,X,O
OZTLJSI,X,X,X,O,X,X
OZTLSIJ,O,X,O,O,X,X
OZTLSJI,O,X,O,O,X,X
OZTJILS,O,X,X,O,X,O
OZTJISL,X,O,X,O,X,X
OZTJLIS,O,X,X,O,X,O
OZTJLSI,X,X,X,O,X,X
OZTJSIL,X,O,X,O,X,X
OZTJSLI,X,O,X,O,X,X
OZTSILJ,O,X,O,O,X,X
OZTSIJL,O,O,O,O,X,X
OZTSLIJ,O,X,O,O,X,X
OZTSLJI,O,X,O,O,X,X
OZTSJIL,O,O,O,O,X,X
OZTSJLI,O,O,O,O,X,X
OZITLJS,O,X,X,O,X,O
OZITLSJ,O,X,O,O,X,O
OZITJLS,O,X,X,O,X,O
OZITJSL,X,O,X,O,X,X
OZITSLJ,O,X,O,O,X,X
OZITSJL,O,O,O,O,X,X
OZILTJS,O,X,X,X,X,O
OZILTSJ,O,X,O,X,X,O
OZILJTS,O,X,X,X,X,O
OZILJST,O,O,O,X,O,X
OZILSTJ,O,X,O,X,O,X
OZILSJT,O,O,O,X,O,X
OZIJTLS,O,X,X,O,X,O
OZIJTSL,X,O,X,O,X,X
OZIJLTS,O,X,X,X,X,O
OZIJLST,O,O,O,X,O,X
OZIJSTL,O,O,O,O,X,X
OZIJSLT,O,O,O,X,X,X
OZISTLJ,O,X,O,O,O,X
OZISTJL,O,O,O,O,O,X
OZISLTJ,O,X,O,X,O,X
OZISLJT,O,O,O,X,O,X
OZISJTL,O,O,O,O,O,X
OZISJLT,O,O,O,X,O,X
OZLTIJS,O,X,X,X,X,O
OZLTISJ,O,X,O,X,X,O
OZLTJIS,O,X,X,X,X,O
OZLTJSI,X,X,X,X,X,X
OZLTSIJ,O,X,O,X,X,X
OZLTSJI,O,X,O,X,X,X
OZLITJS,O,X,X,X,X,O
OZLITSJ,O,X,O,X,X,O
OZLIJTS,O,X,X,X,X,O
OZLIJST,O,O,O,X,O,X
OZLISTJ,O,X,O,X,O,X
OZLISJT,O,O,O,X,O,X
OZLJTIS,O,X,X,X,X,O
OZLJTSI,X,X,X,X,X,X
OZLJITS,O,X,X,X,X,O
OZLJIST,O,O,O,X,O,X
OZLJSTI,O,O,O,X,O,X
OZLJSIT,O,O,O,X,O,X
OZLSTIJ,O,X,O,X,O,X
OZLSTJI,O,X,O,X,O,X
OZLSITJ,O,X,O,X,O,X
OZLSIJT,O,O,O,X,O,X
OZLSJTI,O,O,O,X,O,X
OZLSJIT,O,O,O,X,O,X
OZJTILS,O,X,X,O,X,O
OZJTISL,X,O,X,O,X,X
OZJTLIS,O,X,X,O,X,O
OZJTLSI,X,X,X,O,X,X
OZJTSIL,X,O,X,O,X,X
OZJTSLI,X,O,X,O,X,X
OZJITLS,O,X,X,O,X,O
OZJITSL,X,O,X,O,X,X
OZJILTS,O,X,X,X,X,O
OZJILST,O,O,O,X,O,X
OZJISTL,O,O,O,O,X,X
OZJISLT,O,O,O,X,X,X
OZJLTIS,O,X,X,X,X,O
OZJLTSI,X,X,X,X,X,X
OZJLITS,O,X,X,X,X,O
OZJLIST,O,O,O,X,O,X
OZJLSTI,O,O,O,X,O,X
OZJLSIT,O,O,O,X,O,X
OZJSTIL,O,O,O,O,X,X
OZJSTLI,O,O,O,O,X,X
OZJSITL,O,O,O,O,X,X
OZJSILT,O,O,O,X,X,X
OZJSLTI,O,O,O,X,X,X
OZJSLIT,O,O,O,X,X,X
OZSTILJ,O,X,O,O,O,X
OZSTIJL,O,O,O,O,O,X
OZSTLIJ,O,X,O,O,O,X
OZSTLJI,O,X,O,O,O,X
OZSTJIL,O,O,O,O,O,X
OZSTJLI,O,O,O,O,O,X
OZSITLJ,O,X,O,O,O,X
OZSITJL,O,O,O,O,O,X
OZSILTJ,O,X,O,X,O,X
OZSILJT,O,O,O,X,O,X
OZSIJTL,O,O,O,O,O,X
OZSIJLT,O,O,O,X,O,X
OZSLTIJ,O,X,O,X,O,X
OZSLTJI,O,X,O,X,O,X
OZSLITJ,O,X,O,X,O,X
OZSLIJT,O,O,O,X,O,X
OZSLJTI,O,O,O,X,O,X
OZSLJIT,O,O,O,X,O,X
OZSJTIL,O,O,O,O,O,X
OZSJTLI,O,O,O,O,O,X
OZSJITL,O,O,O,O,O,X
OZSJILT,O,O,O,X,O,X
OZSJLTI,O,O,O,X,O,X
OZSJLIT,O,O,O,X,O,X
