sequence,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeRAJvhFFiBTjBGlB0?mB3pByvB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeuEJvhFFhBXiBTjBy?uBRrB0qB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeSFJvhFxhBTjBmmBU?qBFrB3pB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeUBJvhFFiBTjBClB2?vBRrB3pB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeRAJvhFSmBOnBTjB3?pBFrBUqB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeRAJvhFSmBOnBTjBU?lB1uBXrB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JexAJvhFXiBTjBllBU?qBirB+pB
JLIOZTS,O,O,X,O,X,X,X
JLIOZST,O,O,X,O,X,X,X
JLSTIZO,X,O,X,X,O,X,X
JLSTIOZ,O,O,X,X,O,X,X
JLSTZIO,X,X,X,X,O,X,X
JLSTZOI,X,O,X,X,O,X,X
JLSTOIZ,O,O,X,X,O,X,X
JLSTOZI,X,O,X,X,O,X,X
JLSITZO,X,O,X,X,X,X,X
JLSITOZ,O,O,X,X,X,X,X
JLSIZTO,O,O,X,X,X,X,X
JLSIZOT,O,O,X,X,X,X,X
JLSIOTZ,O,O,X,X,X,X,X
JLSIOZT,O,O,X,X,X,X,X
JLSZTIO,O,X,X,X,X,X,O
JLSZTOI,O,O,X,X,X,X,O
JLSZITO,O,O,X,X,X,X,X
JLSZIOT,O,O,X,X,X,X,X
JLSZOTI,O,O,X,X,X,X,O
JLSZOIT,O,O,X,O,X,X,X
JLSOTIZ,O,O,X,X,O,X,X
JLSOTZI,X,O,X,X,O,X,X
JLSOITZ,O,O,X,X,X,X,X
JLSOIZT,O,O,X,X,X,X,X
JLSOZTI,O,O,X,X,X,X,O
JLSOZIT,O,O,X,O,X,X,X
JLZTISO,O,X,X,X,X,X,O
JLZTIOS,O,X,X,X,X,X,O
JLZTSIO,O,X,X,X,X,X,O
JLZTSOI,O,X,X,X,X,X,O
JLZTOIS,O,X,O,O,X,X,O
JLZTOSI,O,X,O,X,X,X,O
JLZITSO,O,O,X,X,X,X,X
JLZITOS,O,O,X,X,X,X,X
JLZISTO,O,O,X,X,X,X,X
JLZISOT,O,O,X,X,X,X,X
JLZIOTS,O,O,O,O,X,X,X
JLZIOST,O,O,X,O,X,X,X
JLZSTIO,O,X,X,X,X,X,O
JLZSTOI,O,O,X,X,X,X,O
JLZSITO,O,O,X,X,X,X,X
JLZSIOT,O,O,X,X,X,X,X
JLZSOTI,O,O,O,X,X,X,O
JLZSOIT,O,O,X,O,X,X,X
JLZOTIS,O,X,O,O,X,X,O
JLZOTSI,O,X,O,X,X,X,O
JLZOITS,O,O,O,O,X,X,X
JLZOIST,O,O,X,O,X,X,X
JLZOSTI,O,O,O,X,X,X,O
JLZOSIT,O,O,X,O,X,X,X
JLOTISZ,O,O,O,O,O,X,X
JLOTIZS,O,O,O,O,O,X,X
JLOTSIZ,O,O,O,X,O,O,X
JLOTSZI,X,O,O,X,O,O,X
JLOTZIS,O,X,O,O,O,O,X
JLOTZSI,O,X,O,X,O,O,X
JLOITSZ,O,O,O,O,X,X,X
JLOITZS,O,O,O,O,X,X,X
JLOISTZ,O,O,X,O,X,X,X
JLOISZT,O,O,X,O,X,X,X
JLOIZTS,O,O,X,O,X,X,X
JLOIZST,O,O,X,O,X,X,X
JLOSTIZ,O,O,X,X,O,X,X
JLOSTZI,X,O,X,X,O,X,X
JLOSITZ,O,O,X,X,X,X,X
JLOSIZT,O,O,X,X,X,X,X
JLOSZTI,O,O,X,X,X,X,O
JLOSZIT,O,O,X,O,X,X,X
JLOZTIS,O,X,O,O,X,X,O
JLOZTSI,O,X,O,X,X,X,O
JLOZITS,O,O,O,O,X,X,X
JLOZIST,O,O,X,O,X,X,X
JLOZSTI,O,O,O,X,X,X,O
JLOZSIT,O,O,X,O,X,X,X
JSTILZO,X,O,X,O,O,O,X
JSTILOZ,O,O,O,O,O,O,X
JSTIZLO,O,X,O,O,O,O,X
JSTIZOL,O,X,O,O,O,O,X
JSTIOLZ,O,O,O,O,O,O,X
JSTIOZL,O,X,O,O,O,O,X
JSTLIZO,X,X,X,X,O,O,X
JSTLIOZ,O,O,O,X,O,O,X
JSTLZIO,X,X,X,X,O,O,X
JSTLZOI,X,O,X,X,O,O,X
JSTLOIZ,O,O,O,X,O,O,X
JSTLOZI,X,O,O,X,O,O,X
JSTZILO,O,X,O,X,O,O,X
JSTZIOL,O,X,O,X,O,O,X
JSTZLIO,O,X,O,X,O,O,X
JSTZLOI,O,X,O,X,O,O,X
JSTZOIL,O,X,O,X,O,O,X
JSTZOLI,O,X,O,X,O,O,X
JSTOILZ,O,O,O,O,O,O,X
JSTOIZL,O,X,O,O,O,O,X
JSTOLIZ,O,O,O,X,O,O,X
JSTOLZI,X,O,O,X,O,O,X
JSTOZIL,O,X,O,X,O,O,X
JSTOZLI,O,X,O,X,O,O,X
JSITLZO,X,O,X,O,O,X,X
JSITLOZ,O,O,O,O,O,X,X
JSITZLO,O,X,O,O,O,X,X
JSITZOL,O,X,O,O,O,X,X
JSITOLZ,O,O,O,O,O,X,X
JSITOZL,O,X,O,O,O,X,X
JSILTZO,X,O,X,O,X,X,X
JSILTOZ,O,O,X,O,X,X,X
JSILZTO,O,O,X,O,X,X,X
JSILZOT,O,O,X,O,X,X,X
JSILOTZ,O,O,X,O,X,X,X
JSILOZT,O,O,X,O,X,X,X
JSIZTLO,O,X,X,O,X,X,X
JSIZTOL,O,X,X,O,X,X,X
JSIZLTO,O,X,X,O,X,X,X
JSIZLOT,O,X,X,O,X,X,X
JSIZOTL,O,X,X,O,X,X,X
JSIZOLT,O,X,X,O,X,X,X
JSIOTLZ,O,O,O,O,O,X,X
JSIOTZL,O,X,O,O,O,X,X
JSIOLTZ,O,O,X,O,X,X,X
JSIOLZT,O,O,X,O,X,X,X
JSIOZTL,O,X,X,O,X,X,X
JSIOZLT,O,X,X,O,X,X,X
JSLTIZO,X,O,X,X,O,X,X
JSLTIOZ,O,O,X,X,O,X,X
JSLTZIO,X,X,X,X,O,X,X
JSLTZOI,X,O,X,X,O,X,X
JSLTOIZ,O,O,X,X,O,X,X
JSLTOZI,X,O,X,X,O,X,X
JSLITZO,X,O,X,X,X,X,X
JSLITOZ,O,O,X,X,X,X,X
JSLIZTO,O,O,X,X,X,X,X
JSLIZOT,O,O,X,X,X,X,X
JSLIOTZ,O,O,X,X,X,X,X
JSLIOZT,O,O,X,X,X,X,X
JSLZTIO,O,X,X,X,X,X,O
JSLZTOI,O,O,X,X,X,X,O
JSLZITO,O,O,X,X,X,X,X
JSLZIOT,O,O,X,X,X,X,X
JSLZOTI,O,O,X,X,X,X,O
JSLZOIT,O,O,X,O,X,X,X
JSLOTIZ,O,O,X,X,O,X,X
JSLOTZI,X,O,X,X,O,X,X
JSLOITZ,O,O,X,X,X,X,X
JSLOIZT,O,O,X,X,X,X,X
JSLOZTI,O,O,X,X,X,X,O
JSLOZIT,O,O,X,O,X,X,X
JSZTILO,O,X,X,X,O,X,X
JSZTIOL,O,X,X,X,O,X,X
JSZTLIO,O,X,X,X,O,X,X
JSZTLOI,O,X,X,X,O,X,X
JSZTOIL,O,X,X,X,O,X,X
JSZTOLI,O,X,X,X,O,X,X
JSZITLO,O,X,X,X,X,X,X
JSZITOL,O,X,X,X,X,X,X
JSZILTO,O,X,X,X,X,X,X
JSZILOT,O,X,X,X,X,X,X
JSZIOTL,O,X,X,X,X,X,X
JSZIOLT,O,X,X,X,X,X,X
JSZLTIO,O,X,X,X,X,X,O
JSZLTOI,O,X,X,X,X,X,O
JSZLITO,O,X,X,X,X,X,X
JSZLIOT,O,X,X,X,X,X,X
JSZLOTI,O,X,O,X,X,X,O
JSZLOIT,O,X,X,X,X,X,X
JSZOTIL,O,X,X,X,O,X,X
JSZOTLI,O,X,X,X,O,X,X
JSZOITL,O,X,X,X,X,X,X
JSZOILT,O,X,X,X,X,X,X
JSZOLTI,O,X,O,X,X,X,O
JSZOLIT,O,X,X,X,X,X,X
JSOTILZ,O,O,O,O,O,O,X
JSOTIZL,O,X,O,O,O,O,X
JSOTLIZ,O,O,O,X,O,O,X
JSOTLZI,X,O,O,X,O,O,X
JSOTZIL,O,X,O,X,O,O,X
JSOTZLI,O,X,O,X,O,O,X
JSOITLZ,O,O,O,O,O,X,X
JSOITZL,O,X,O,O,O,X,X
JSOILTZ,O,O,X,O,X,X,X
JSOILZT,O,O,X,O,X,X,X
JSOIZTL,O,X,X,O,X,X,X
JSOIZLT,O,X,X,O,X,X,X
JSOLTIZ,O,O,X,X,O,X,X
JSOLTZI,X,O,X,X,O,X,X
JSOLITZ,O,O,X,X,X,X,X
JSOLIZT,O,O,X,X,X,X,X
JSOLZTI,O,O,X,X,X,X,O
JSOLZIT,O,O,X,O,X,X,X
JSOZTIL,O,X,X,X,O,X,X
JSOZTLI,O,X,X,X,O,X,X
JSOZITL,O,X,X,X,X,X,X
JSOZILT,O,X,X,X,X,X,X
JSOZLTI,O,X,O,X,X,X,O
JSOZLIT,O,X,X,X,X,X,X
JZTILSO,X,X,O,O,X,O,X
JZTILOS,X,X,O,O,X,O,X
JZTISLO,X,X,O,O,X,O,X
JZTISOL,X,X,O,O,X,O,X
JZTIOLS,O,X,O,O,X,O,X
JZTIOSL,O,X,O,O,X,O,X
JZTLISO,O,X,O,X,X,O,O
JZTLIOS,O,X,O,X,O,O,O
JZTLSIO,O,X,O,X,O,O,O
JZTLSOI,O,X,O,X,O,O,O
JZTLOIS,O,X,O,X,O,O,O
JZTLOSI,O,X,O,X,O,O,O
JZTSILO,O,X,O,X,O,O,X
JZTSIOL,O,X,O,X,O,O,X
JZTSLIO,O,X,O,X,O,O,X
JZTSLOI,O,X,O,X,O,O,X
JZTSOIL,O,X,O,X,O,O,X
JZTSOLI,O,X,O,X,O,O,X
JZTOILS,O,X,O,O,X,O,X
JZTOISL,O,X,O,O,X,O,X
JZTOLIS,O,X,O,X,O,O,O
JZTOLSI,O,X,O,X,O,O,O
JZTOSIL,O,X,O,X,O,O,X
JZTOSLI,O,X,O,X,O,O,X
JZITLSO,X,X,O,O,X,X,X
JZITLOS,X,X,O,O,X,X,X
JZITSLO,X,X,O,O,X,X,X
JZITSOL,X,X,O,O,X,X,X
JZITOLS,O,X,O,O,X,X,X
JZITOSL,O,X,O,O,X,X,X
JZILTSO,X,X,X,O,X,X,X
JZILTOS,X,X,X,O,X,X,X
JZILSTO,X,X,X,O,X,X,X
JZILSOT,X,X,X,O,X,X,X
JZILOTS,X,X,O,O,X,X,X
JZILOST,X,X,X,O,X,X,X
JZISTLO,X,X,X,O,X,X,X
JZISTOL,X,X,X,O,X,X,X
JZISLTO,X,X,X,O,X,X,X
JZISLOT,X,X,X,O,X,X,X
JZISOTL,X,X,X,O,X,X,X
JZISOLT,X,X,X,O,X,X,X
JZIOTLS,O,X,O,O,X,X,X
JZIOTSL,O,X,O,O,X,X,X
JZIOLTS,X,X,O,O,X,X,X
JZIOLST,X,X,X,O,X,X,X
JZIOSTL,X,X,X,O,X,X,X
JZIOSLT,X,X,X,O,X,X,X
JZLTISO,O,X,O,X,X,X,O
JZLTIOS,O,X,O,X,X,X,O
JZLTSIO,O,X,O,X,X,X,O
JZLTSOI,O,X,O,X,X,X,O
JZLTOIS,O,X,O,O,X,X,O
JZLTOSI,O,X,O,X,X,X,O
JZLITSO,O,X,X,X,X,X,X
JZLITOS,O,X,X,X,X,X,X
JZLISTO,O,X,X,X,X,X,X
JZLISOT,O,X,X,X,X,X,X
JZLIOTS,O,X,O,O,X,X,X
JZLIOST,O,X,X,O,X,X,X
JZLSTIO,O,X,X,X,X,X,O
JZLSTOI,O,X,X,X,X,X,O
JZLSITO,O,X,X,X,X,X,X
JZLSIOT,O,X,X,X,X,X,X
JZLSOTI,O,X,O,X,X,X,O
JZLSOIT,O,X,X,O,X,X,X
JZLOTIS,O,X,O,O,X,X,O
JZLOTSI,O,X,O,X,X,X,O
JZLOITS,O,X,O,O,X,X,X
JZLOIST,O,X,X,O,X,X,X
JZLOSTI,O,X,O,X,X,X,O
JZLOSIT,O,X,X,O,X,X,X
JZSTILO,O,X,X,X,O,X,X
JZSTIOL,O,X,X,X,O,X,X
JZSTLIO,O,X,X,X,O,X,X
JZSTLOI,O,X,X,X,O,X,X
JZSTOIL,O,X,X,X,O,X,X
JZSTOLI,O,X,X,X,O,X,X
JZSITLO,O,X,X,X,X,X,X
JZSITOL,O,X,X,X,X,X,X
JZSILTO,O,X,X,X,X,X,X
JZSILOT,O,X,X,X,X,X,X
JZSIOTL,O,X,X,X,X,X,X
JZSIOLT,O,X,X,X,X,X,X
JZSLTIO,O,X,X,X,X,X,O
JZSLTOI,O,X,X,X,X,X,O
JZSLITO,O,X,X,X,X,X,X
JZSLIOT,O,X,X,X,X,X,X
JZSLOTI,O,X,O,X,X,X,O
JZSLOIT,O,X,X,X,X,X,X
JZSOTIL,O,X,X,X,O,X,X
JZSOTLI,O,X,X,X,O,X,X
JZSOITL,O,X,X,X,X,X,X
JZSOILT,O,X,X,X,X,X,X
JZSOLTI,O,X,O,X,X,X,O
JZSOLIT,O,X,X,X,X,X,X
JZOTILS,O,X,O,O,X,O,X
JZOTISL,O,X,O,O,X,O,X
JZOTLIS,O,X,O,X,O,O,O
JZOTLSI,O,X,O,X,O,O,O
JZOTSIL,O,X,O,X,O,O,X
JZOTSLI,O,X,O,X,O,O,X
JZOITLS,O,X,O,O,X,X,X
JZOITSL,O,X,O,O,X,X,X
JZOILTS,X,X,O,O,X,X,X
JZOILST,X,X,X,O,X,X,X
JZOISTL,X,X,X,O,X,X,X
JZOISLT,X,X,X,O,X,X,X
JZOLTIS,O,X,O,O,X,X,O
JZOLTSI,O,X,O,X,X,X,O
JZOLITS,O,X,O,O,X,X,X
JZOLIST,O,X,X,O,X,X,X
JZOLSTI,O,X,O,X,X,X,O
JZOLSIT,O,X,X,O,X,X,X
JZOSTIL,O,X,X,X,O,X,X
JZOSTLI,O,X,X,X,O,X,X
JZOSITL,O,X,X,X,X,X,X
JZOSILT,O,X,X,X,X,X,X
JZOSLTI,O,X,O,X,X,X,O
JZOSLIT,O,X,X,X,X,X,X
JOTILSZ,X,X,O,O,O,X,X
JOTILZS,X,X,O,O,O,X,X
JOTISLZ,X,X,O,O,O,O,X
JOTISZL,X,X,O,O,O,O,X
JOTIZLS,X,X,O,O,X,O,X
JOTIZSL,X,X,O,O,X,O,X
JOTLISZ,O,X,O,O,O,X,X
JOTLIZS,O,X,O,O,O,X,X
JOTLSIZ,O,X,O,X,O,O,X
JOTLSZI,X,X,O,X,O,O,X
JOTLZIS,O,X,O,O,O,O,X
JOTLZSI,X,X,O,X,O,O,X
JOTSILZ,O,X,O,O,O,O,X
JOTSIZL,O,X,O,O,O,O,X
JOTSLIZ,O,X,O,X,O,O,X
JOTSLZI,X,X,O,X,O,O,X
JOTSZIL,O,X,O,X,O,O,X
JOTSZLI,O,X,O,X,O,O,X
JOTZILS,O,X,O,O,X,O,X
JOTZISL,O,X,O,O,X,O,X
JOTZLIS,O,X,O,X,O,O,X
JOTZLSI,O,X,O,X,O,O,X
JOTZSIL,O,X,O,X,O,O,X
JOTZSLI,O,X,O,X,O,O,X
JOITLSZ,X,O,O,O,O,X,X
JOITLZS,X,O,O,O,O,X,X
JOITSLZ,X,O,O,O,O,O,X
JOITSZL,X,X,O,O,O,O,X
JOITZLS,X,X,O,O,X,O,X
JOITZSL,X,X,O,O,X,O,X
JOILTSZ,X,O,O,O,X,X,X
JOILTZS,X,O,O,O,X,X,X
JOILSTZ,X,O,X,O,X,X,X
JOILSZT,X,O,X,O,X,X,X
JOILZTS,X,O,X,O,X,X,X
JOILZST,X,O,X,O,X,X,X
JOISTLZ,X,O,O,O,O,X,X
JOISTZL,X,X,O,O,O,X,X
JOISLTZ,X,O,X,O,X,X,X
JOISLZT,X,O,X,O,X,X,X
JOISZTL,X,X,X,O,X,X,X
JOISZLT,X,X,X,O,X,X,X
JOIZTLS,X,X,O,O,X,X,X
JOIZTSL,X,X,O,O,X,X,X
JOIZLTS,X,X,O,O,X,X,X
JOIZLST,X,X,X,O,X,X,X
JOIZSTL,X,X,X,O,X,X,X
JOIZSLT,X,X,X,O,X,X,X
JOLTISZ,O,O,O,O,O,X,X
JOLTIZS,O,O,O,O,O,X,X
JOLTSIZ,O,O,O,X,O,O,X
JOLTSZI,X,O,O,X,O,O,X
JOLTZIS,O,X,O,O,O,O,X
JOLTZSI,O,X,O,X,O,O,X
JOLITSZ,O,O,O,O,X,X,X
JOLITZS,O,O,O,O,X,X,X
JOLISTZ,O,O,X,O,X,X,X
JOLISZT,O,O,X,O,X,X,X
JOLIZTS,O,O,X,O,X,X,X
JOLIZST,O,O,X,O,X,X,X
JOLSTIZ,O,O,X,X,O,X,X
JOLSTZI,X,O,X,X,O,X,X
JOLSITZ,O,O,X,X,X,X,X
JOLSIZT,O,O,X,X,X,X,X
JOLSZTI,O,O,X,X,X,X,O
JOLSZIT,O,O,X,O,X,X,X
JOLZTIS,O,X,O,O,X,X,O
JOLZTSI,O,X,O,X,X,X,O
JOLZITS,O,O,O,O,X,X,X
JOLZIST,O,O,X,O,X,X,X
JOLZSTI,O,O,O,X,X,X,O
JOLZSIT,O,O,X,O,X,X,X
JOSTILZ,O,O,O,O,O,O,X
JOSTIZL,O,X,O,O,O,O,X
JOSTLIZ,O,O,O,X,O,O,X
JOSTLZI,X,O,O,X,O,O,X
JOSTZIL,O,X,O,X,O,O,X
JOSTZLI,O,X,O,X,O,O,X
JOSITLZ,O,O,O,O,O,X,X
JOSITZL,O,X,O,O,O,X,X
JOSILTZ,O,O,X,O,X,X,X
JOSILZT,O,O,X,O,X,X,X
JOSIZTL,O,X,X,O,X,X,X
JOSIZLT,O,X,X,O,X,X,X
JOSLTIZ,O,O,X,X,O,X,X
JOSLTZI,X,O,X,X,O,X,X
JOSLITZ,O,O,X,X,X,X,X
JOSLIZT,O,O,X,X,X,X,X
JOSLZTI,O,O,X,X,X,X,O
JOSLZIT,O,O,X,O,X,X,X
JOSZTIL,O,X,X,X,O,X,X
JOSZTLI,O,X,X,X,O,X,X
JOSZITL,O,X,X,X,X,X,X
JOSZILT,O,X,X,X,X,X,X
JOSZLTI,O,X,O,X,X,X,O
JOSZLIT,O,X,X,X,X,X,X
JOZTILS,O,X,O,O,X,O,X
JOZTISL,O,X,O,O,X,O,X
JOZTLIS,O,X,O,X,O,O,O
JOZTLSI,O,X,O,X,O,O,O
JOZTSIL,O,X,O,X,O,O,X
JOZTSLI,O,X,O,X,O,O,X
JOZITLS,O,X,O,O,X,X,X
JOZITSL,O,X,O,O,X,X,X
JOZILTS,X,X,O,O,X,X,X
JOZILST,X,X,X,O,X,X,X
JOZISTL,X,X,X,O,X,X,X
JOZISLT,X,X,X,O,X,X,X
JOZLTIS,O,X,O,O,X,X,O
JOZLTSI,O,X,O,X,X,X,O
JOZLITS,O,X,O,O,X,X,X
JOZLIST,O,X,X,O,X,X,X
JOZLSTI,O,X,O,X,X,X,O
JOZLSIT,O,X,X,O,X,X,X
JOZSTIL,O,X,X,X,O,X,X
JOZSTLI,O,X,X,X,O,X,X
JOZSITL,O,X,X,X,X,X,X
JOZSILT,O,X,X,X,X,X,X
JOZSLTI,O,X,O,X,X,X,O
JOZSLIT,O,X,X,X,X,X,X
STILJZO,X,O,X,X,O,O,X
STILJOZ,X,O,X,X,O,O,X
STILZJO,X,O,X,X,O,O,X
STILZOJ,X,O,X,X,O,O,X
STILOJZ,X,O,X,X,O,O,X
STILOZJ,X,O,X,X,O,O,X
STIJLZO,X,O,X,O,O,O,X
STIJLOZ,O,O,O,O,O,O,X
STIJZLO,X,X,O,O,O,O,X
STIJZOL,O,X,O,O,O,O,X
STIJOLZ,O,O,O,O,O,O,X
STIJOZL,O,X,O,O,O,O,X
STIZLJO,X,O,X,X,X,O,X
STIZLOJ,O,O,X,X,X,O,X
STIZJLO,O,X,O,O,X,O,X
STIZJOL,O,X,O,O,X,O,X
STIZOLJ,O,O,X,X,X,O,X
STIZOJL,O,X,O,O,X,O,X
STIOLJZ,X,O,X,X,O,O,X
STIOLZJ,X,O,X,X,O,O,X
STIOJLZ,O,O,O,O,O,O,X
STIOJZL,O,X,O,O,O,O,X
STIOZLJ,O,O,X,X,X,O,X
STIOZJL,O,X,O,O,X,O,X
STLIJZO,X,O,X,X,O,O,X
STLIJOZ,X,O,X,X,O,O,X
STLIZJO,X,O,X,X,O,O,X
STLIZOJ,X,O,X,X,O,O,X
STLIOJZ,X,O,X,X,O,O,X
STLIOZJ,X,O,X,X,O,O,X
STLJIZO,X,O,X,X,O,O,X
STLJIOZ,O,O,O,X,O,O,X
STLJZIO,X,X,X,X,O,O,X
STLJZOI,X,O,X,X,O,O,X
STLJOIZ,O,O,O,X,O,O,X
STLJOZI,X,O,O,X,O,O,X
STLZIJO,X,X,X,X,O,O,O
STLZIOJ,O,X,X,X,O,O,O
STLZJIO,O,X,X,X,O,O,O
STLZJOI,O,O,X,X,O,O,O
STLZOIJ,O,X,X,X,O,O,O
STLZOJI,O,O,X,X,O,O,O
STLOIJZ,X,O,X,X,O,O,X
STLOIZJ,X,O,X,X,O,O,X
STLOJIZ,O,O,O,X,O,O,X
STLOJZI,X,O,O,X,O,O,X
STLOZIJ,O,X,X,X,O,O,O
STLOZJI,O,O,X,X,O,O,O
STJILZO,X,O,X,O,O,O,X
STJILOZ,O,O,O,O,O,O,X
STJIZLO,O,X,O,O,O,O,X
STJIZOL,O,X,O,O,O,O,X
STJIOLZ,O,O,O,O,O,O,X
STJIOZL,O,X,O,O,O,O,X
STJLIZO,X,X,X,X,O,O,X
STJLIOZ,O,O,O,X,O,O,X
STJLZIO,X,X,X,X,O,O,X
STJLZOI,X,O,X,X,O,O,X
STJLOIZ,O,O,O,X,O,O,X
STJLOZI,X,O,O,X,O,O,X
STJZILO,O,X,O,X,O,O,X
STJZIOL,O,X,O,X,O,O,X
STJZLIO,O,X,O,X,O,O,X
STJZLOI,O,X,O,X,O,O,X
STJZOIL,O,X,O,X,O,O,X
STJZOLI,O,X,O,X,O,O,X
STJOILZ,O,O,O,O,O,O,X
STJOIZL,O,X,O,O,O,O,X
STJOLIZ,O,O,O,X,O,O,X
STJOLZI,X,O,O,X,O,O,X
STJOZIL,O,X,O,X,O,O,X
STJOZLI,O,X,O,X,O,O,X
STZILJO,X,O,X,X,X,O,X
STZILOJ,O,O,X,X,X,O,X
STZIJLO,O,X,O,X,X,O,X
STZIJOL,O,X,O,X,X,O,X
STZIOLJ,O,O,X,X,X,O,X
STZIOJL,O,X,O,X,X,O,X
STZLIJO,X,X,X,X,O,O,O
STZLIOJ,O,X,X,X,O,O,O
STZLJIO,O,X,O,X,O,O,O
STZLJOI,O,O,O,X,O,O,O
STZLOIJ,O,X,X,X,O,O,O
STZLOJI,O,O,O,X,O,O,O
STZJILO,O,X,O,X,O,O,X
STZJIOL,O,X,O,X,O,O,X
STZJLIO,O,X,O,X,O,O,X
STZJLOI,O,X,O,X,O,O,X
STZJOIL,O,X,O,X,O,O,X
STZJOLI,O,X,O,X,O,O,X
STZOILJ,O,O,X,X,X,O,X
STZOIJL,O,X,O,X,X,O,X
STZOLIJ,O,X,X,X,O,O,O
STZOLJI,O,O,O,X,O,O,O
STZOJIL,O,X,O,X,O,O,X
STZOJLI,O,X,O,X,O,O,X
STOILJZ,X,O,X,X,O,O,X
STOILZJ,X,O,X,X,O,O,X
STOIJLZ,O,O,O,O,O,O,X
STOIJZL,O,X,O,O,O,O,X
STOIZLJ,O,O,X,X,X,O,X
STOIZJL,O,X,O,O,X,O,X
STOLIJZ,X,O,X,X,O,O,X
STOLIZJ,X,O,X,X,O,O,X
STOLJIZ,O,O,O,X,O,O,X
STOLJZI,X,O,O,X,O,O,X
STOLZIJ,O,X,X,X,O,O,O
STOLZJI,O,O,X,X,O,O,O
STOJILZ,O,O,O,O,O,O,X
STOJIZL,O,X,O,O,O,O,X
STOJLIZ,O,O,O,X,O,O,X
STOJLZI,X,O,O,X,O,O,X
STOJZIL,O,X,O,X,O,O,X
STOJZLI,O,X,O,X,O,O,X
STOZILJ,O,O,X,X,X,O,X
STOZIJL,O,X,O,X,X,O,X
STOZLIJ,O,X,X,X,O,O,O
STOZLJI,O,O,O,X,O,O,O
STOZJIL,O,X,O,X,O,O,X
STOZJLI,O,X,O,X,O,O,X
SITLJZO,X,O,X,X,O,X,X
SITLJOZ,X,O,X,X,O,X,X
SITLZJO,X,O,X,X,O,X,X
SITLZOJ,X,O,X,X,O,X,X
SITLOJZ,X,O,X,X,O,X,X
SITLOZJ,X,O,X,X,O,X,X
SITJLZO,X,O,X,O,O,X,X
SITJLOZ,O,O,O,O,O,X,X
SITJZLO,X,X,O,O,O,X,X
SITJZOL,O,X,O,O,O,X,X
SITJOLZ,O,O,O,O,O,X,X
SITJOZL,O,X,O,O,O,X,X
SITZLJO,X,O,X,X,X,X,X
SITZLOJ,O,O,X,X,X,X,X
SITZJLO,O,X,O,O,X,X,X
SITZJOL,O,X,O,O,X,X,X
SITZOLJ,O,O,X,X,X,X,X
SITZOJL,O,X,O,O,X,X,X
SITOLJZ,X,O,X,X,O,X,X
SITOLZJ,X,O,X,X,O,X,X
SITOJLZ,O,O,O,O,O,X,X
SITOJZL,O,X,O,O,O,X,X
SITOZLJ,O,O,X,X,X,X,X
SITOZJL,O,X,O,O,X,X,X
SILTJZO,X,O,X,X,X,X,X
SILTJOZ,X,O,X,X,X,X,X
SILTZJO,X,O,X,X,X,X,X
SILTZOJ,X,O,X,X,X,X,X
SILTOJZ,X,O,X,X,X,X,X
SILTOZJ,X,O,X,X,X,X,X
SILJTZO,X,O,X,X,X,X,X
SILJTOZ,X,O,X,X,X,X,X
SILJZTO,X,O,X,X,X,X,X
SILJZOT,X,O,X,X,X,X,X
SILJOTZ,X,O,X,X,X,X,X
SILJOZT,X,O,X,X,X,X,X
SILZTJO,X,O,X,X,X,X,O
SILZTOJ,X,O,X,X,X,X,O
SILZJTO,X,O,X,X,X,X,X
SILZJOT,X,O,X,X,X,X,X
SILZOTJ,X,O,X,X,X,X,O
SILZOJT,X,O,X,X,X,X,X
SILOTJZ,X,O,X,X,X,X,X
SILOTZJ,X,O,X,X,X,X,X
SILOJTZ,X,O,X,X,X,X,X
SILOJZT,X,O,X,X,X,X,X
SILOZTJ,X,O,X,X,X,X,O
SILOZJT,X,O,X,X,X,X,X
SIJTLZO,X,O,X,O,O,X,X
SIJTLOZ,O,O,O,O,O,X,X
SIJTZLO,O,X,O,O,O,X,X
SIJTZOL,O,X,O,O,O,X,X
SIJTOLZ,O,O,O,O,O,X,X
SIJTOZL,O,X,O,O,O,X,X
SIJLTZO,X,O,X,O,X,X,X
SIJLTOZ,O,O,X,O,X,X,X
SIJLZTO,O,O,X,O,X,X,X
SIJLZOT,O,O,X,O,X,X,X
SIJLOTZ,O,O,X,O,X,X,X
SIJLOZT,O,O,X,O,X,X,X
SIJZTLO,O,X,X,O,X,X,X
SIJZTOL,O,X,X,O,X,X,X
SIJZLTO,O,X,X,O,X,X,X
SIJZLOT,O,X,X,O,X,X,X
SIJZOTL,O,X,X,O,X,X,X
SIJZOLT,O,X,X,O,X,X,X
SIJOTLZ,O,O,O,O,O,X,X
SIJOTZL,O,X,O,O,O,X,X
SIJOLTZ,O,O,X,O,X,X,X
SIJOLZT,O,O,X,O,X,X,X
SIJOZTL,O,X,X,O,X,X,X
SIJOZLT,O,X,X,O,X,X,X
SIZTLJO,X,O,X,X,X,X,X
SIZTLOJ,O,O,X,X,X,X,X
SIZTJLO,O,X,O,O,X,X,X
