sequence,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhFTgBGjBlmB3?nBimB0qB,v115@9gA8IeA8IeA8GeC8AeA8BeE8JezAJvhFRiBSoBVqBU?nBXrBupB,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhF2lBXiBTjBS?sBFmB0qB,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhFlgBUiBTjB/?qBOrBSxB,v115@9gA8IeA8IeA8GeC8AeA8BeE8JeCAJvhFGjB8pBRmB3?nBlmBzqB,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhFUhBFiBTjBS?sBmqB/qB,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhF8mB+nBTjBy?qB/qBFrB,v115@9gA8IeA8IeA8GeC8AeA8BeE8JeUBJvhFRiBSoBXlBV?sBzqBupB
LIOJSTZ,X,X,X,O,X,O,X,X
LIOJSZT,X,X,O,O,X,O,O,X
LIOJZTS,X,X,O,X,X,O,O,X
LIOJZST,X,X,O,O,X,O,O,X
LIOSTJZ,X,X,X,O,X,O,X,X
LIOSTZJ,X,X,O,X,X,X,X,X
LIOSJTZ,X,X,X,O,X,O,X,X
LIOSJZT,X,X,O,O,X,O,O,X
LIOSZTJ,X,X,O,X,X,X,X,X
LIOSZJT,X,X,O,X,X,X,X,X
LIOZTJS,X,X,O,X,X,O,X,X
LIOZTSJ,X,O,O,X,X,X,X,X
LIOZJTS,X,X,O,X,X,O,O,X
LIOZJST,X,X,O,X,X,O,O,X
LIOZSTJ,X,O,O,X,X,X,X,X
LIOZSJT,X,O,O,X,X,X,X,X
LJTISZO,X,X,X,X,X,O,X,X
LJTISOZ,X,X,X,X,X,O,X,X
LJTIZSO,X,O,X,X,X,O,O,X
LJTIZOS,X,X,X,X,X,O,O,X
LJTIOSZ,X,X,X,X,X,O,X,O
LJTIOZS,X,X,X,X,X,O,O,O
LJTSIZO,X,X,X,X,X,O,X,X
LJTSIOZ,X,X,X,X,X,O,X,X
LJTSZIO,X,O,X,X,X,X,X,X
LJTSZOI,X,O,X,X,X,X,X,X
LJTSOIZ,X,X,X,X,X,O,X,X
LJTSOZI,X,O,X,X,X,X,X,X
LJTZISO,X,O,X,X,X,O,O,X
LJTZIOS,X,X,X,X,X,O,O,X
LJTZSIO,X,O,X,X,X,X,X,X
LJTZSOI,X,O,X,X,X,X,X,X
LJTZOIS,X,X,X,X,X,O,O,X
LJTZOSI,X,X,X,X,X,X,X,X
LJTOISZ,X,X,X,X,X,O,X,O
LJTOIZS,X,X,X,X,X,O,O,O
LJTOSIZ,X,X,X,X,X,O,X,O
LJTOSZI,X,X,X,X,X,X,X,O
LJTOZIS,X,X,X,X,X,O,O,O
LJTOZSI,X,X,X,X,X,X,X,O
LJITSZO,X,X,X,X,X,O,X,X
LJITSOZ,X,X,X,X,X,O,X,X
LJITZSO,X,O,X,X,X,O,O,X
LJITZOS,X,X,X,X,X,O,O,X
LJITOSZ,X,X,X,X,X,O,X,O
LJITOZS,X,X,X,X,X,O,O,O
LJISTZO,O,X,X,O,X,O,X,X
LJISTOZ,X,X,X,O,X,O,X,X
LJISZTO,O,X,O,O,X,O,O,X
LJISZOT,O,X,O,O,X,O,O,X
LJISOTZ,X,X,X,O,X,O,X,X
LJISOZT,X,X,O,O,X,O,O,X
LJIZTSO,X,O,O,X,X,O,O,X
LJIZTOS,X,X,O,X,X,O,O,X
LJIZSTO,O,O,O,O,X,O,O,X
LJIZSOT,O,O,O,O,X,O,O,X
LJIZOTS,X,X,O,X,X,O,O,X
LJIZOST,O,X,O,O,X,O,O,X
LJIOTSZ,X,X,X,X,X,O,X,X
LJIOTZS,X,X,X,X,X,O,O,X
LJIOSTZ,X,X,X,O,X,O,X,X
LJIOSZT,X,X,O,O,X,O,O,X
LJIOZTS,X,X,O,X,X,O,O,X
LJIOZST,X,X,O,O,X,O,O,X
LJSTIZO,O,X,X,O,X,O,X,X
LJSTIOZ,X,X,X,O,X,O,X,X
LJSTZIO,O,O,X,O,X,X,X,X
LJSTZOI,O,O,X,O,X,X,X,X
LJSTOIZ,X,X,X,O,X,O,X,X
LJSTOZI,X,O,X,O,X,X,X,X
LJSITZO,O,X,X,O,X,O,X,X
LJSITOZ,X,X,X,O,X,O,X,X
LJSIZTO,O,X,O,O,O,O,O,X
LJSIZOT,O,X,O,O,O,O,O,X
LJSIOTZ,X,X,X,O,X,O,X,X
LJSIOZT,X,X,O,O,X,O,O,X
LJSZTIO,O,O,O,O,O,X,X,X
LJSZTOI,O,O,O,O,O,X,X,X
LJSZITO,O,O,O,O,O,X,O,X
LJSZIOT,O,O,O,O,O,X,O,X
LJSZOTI,O,O,O,O,O,X,X,X
LJSZOIT,O,O,O,O,O,X,O,X
LJSOTIZ,X,X,X,O,X,O,X,X
LJSOTZI,X,O,X,O,X,X,X,X
LJSOITZ,X,X,X,O,X,O,X,X
LJSOIZT,X,X,O,O,O,O,O,X
LJSOZTI,X,O,O,O,O,X,X,X
LJSOZIT,X,O,O,O,O,X,O,X
LJZTISO,X,O,O,X,X,O,O,X
LJZTIOS,X,X,O,X,X,O,O,X
LJZTSIO,X,O,O,X,O,X,X,X
LJZTSOI,X,O,O,X,O,X,X,X
LJZTOIS,X,X,O,X,X,O,O,X
LJZTOSI,X,X,O,X,O,X,X,X
LJZITSO,X,O,O,X,X,O,O,X
LJZITOS,X,X,O,X,X,O,O,X
LJZISTO,O,O,O,O,O,O,O,X
LJZISOT,O,O,O,O,O,O,O,X
LJZIOTS,X,X,O,X,X,O,O,X
LJZIOST,O,X,O,O,O,O,O,X
LJZSTIO,O,O,O,O,O,X,X,X
LJZSTOI,O,O,O,O,O,X,X,X
LJZSITO,O,O,O,O,O,X,O,X
LJZSIOT,O,O,O,O,O,X,O,X
LJZSOTI,O,O,O,O,O,X,X,X
LJZSOIT,O,O,O,O,O,X,O,X
LJZOTIS,X,X,O,X,X,O,O,X
LJZOTSI,X,X,O,X,O,X,X,X
LJZOITS,X,X,O,X,X,O,O,X
LJZOIST,O,X,O,O,O,O,O,X
LJZOSTI,O,X,O,O,O,X,X,X
LJZOSIT,O,X,O,O,O,X,O,X
LJOTISZ,X,X,X,X,X,O,X,X
LJOTIZS,X,X,X,X,X,O,O,X
LJOTSIZ,X,X,X,X,X,O,X,X
LJOTSZI,X,X,X,X,X,X,X,X
LJOTZIS,X,X,X,X,X,O,O,X
LJOTZSI,X,X,X,X,X,X,X,X
LJOITSZ,X,X,X,X,X,O,X,X
LJOITZS,X,X,X,X,X,O,O,X
LJOISTZ,X,X,X,O,X,O,X,X
LJOISZT,X,X,O,O,X,O,O,X
LJOIZTS,X,X,O,X,X,O,O,X
LJOIZST,X,X,O,O,X,O,O,X
LJOSTIZ,X,X,X,O,X,O,X,X
LJOSTZI,X,X,X,O,X,X,X,X
LJOSITZ,X,X,X,O,X,O,X,X
LJOSIZT,X,X,O,O,O,O,O,X
LJOSZTI,X,X,O,O,O,X,X,X
LJOSZIT,X,X,O,O,O,X,O,X
LJOZTIS,X,X,O,X,X,O,O,X
LJOZTSI,X,X,O,X,O,X,X,X
LJOZITS,X,X,O,X,X,O,O,X
LJOZIST,X,X,O,O,O,O,O,X
LJOZSTI,X,X,O,O,O,X,X,X
LJOZSIT,X,X,O,O,O,X,O,X
LSTIJZO,O,X,X,O,X,O,X,X
LSTIJOZ,X,X,X,O,X,O,X,X
LSTIZJO,O,O,O,X,X,X,X,X
LSTIZOJ,O,O,O,X,X,X,X,X
LSTIOJZ,X,X,X,O,X,O,X,O
LSTIOZJ,X,O,O,X,X,X,X,O
LSTJIZO,O,X,X,O,X,O,X,X
LSTJIOZ,X,X,X,O,X,O,X,X
LSTJZIO,O,O,X,O,X,X,X,X
LSTJZOI,O,O,X,O,X,X,X,X
LSTJOIZ,X,X,X,O,X,O,X,X
LSTJOZI,X,O,X,O,X,X,X,X
LSTZIJO,O,O,O,X,X,X,X,X
LSTZIOJ,O,O,O,X,X,X,X,X
LSTZJIO,O,O,O,X,X,X,X,X
LSTZJOI,O,O,O,X,X,X,X,X
LSTZOIJ,O,O,O,X,X,X,X,X
LSTZOJI,O,O,O,X,X,X,X,X
LSTOIJZ,X,X,X,O,X,O,X,O
LSTOIZJ,X,O,O,X,X,X,X,O
LSTOJIZ,X,X,X,O,X,O,X,O
LSTOJZI,X,O,X,O,X,X,X,O
LSTOZIJ,X,O,O,X,X,X,X,O
LSTOZJI,X,O,O,X,X,X,X,O
LSITJZO,O,X,X,O,X,O,X,X
LSITJOZ,X,X,X,O,X,O,X,X
LSITZJO,O,O,O,X,X,X,X,X
LSITZOJ,O,O,O,X,X,X,X,X
LSITOJZ,X,X,X,O,X,O,X,O
LSITOZJ,X,O,O,X,X,X,X,O
LSIJTZO,O,X,X,O,X,O,X,X
LSIJTOZ,X,X,X,O,X,O,X,X
LSIJZTO,O,X,O,O,O,O,O,X
LSIJZOT,O,X,O,O,O,O,O,X
LSIJOTZ,X,X,X,O,X,O,X,X
LSIJOZT,X,X,O,O,X,O,O,X
LSIZTJO,O,O,O,X,O,X,X,X
LSIZTOJ,O,O,O,X,X,X,X,X
LSIZJTO,O,O,O,X,O,X,O,X
LSIZJOT,O,O,O,X,O,X,O,X
LSIZOTJ,O,O,O,X,X,X,X,X
LSIZOJT,O,O,O,X,O,X,X,X
LSIOTJZ,X,X,X,O,X,O,X,X
LSIOTZJ,X,O,O,X,X,X,X,X
LSIOJTZ,X,X,X,O,X,O,X,X
LSIOJZT,X,X,O,O,X,O,O,X
LSIOZTJ,X,O,O,X,X,X,X,X
LSIOZJT,X,O,O,X,X,X,X,X
LSJTIZO,O,X,X,O,X,O,X,X
LSJTIOZ,X,X,X,O,X,O,X,X
LSJTZIO,O,O,X,O,X,X,X,X
LSJTZOI,O,O,X,O,X,X,X,X
LSJTOIZ,X,X,X,O,X,O,X,X
LSJTOZI,X,O,X,O,X,X,X,X
LSJITZO,O,X,X,O,X,O,X,X
LSJITOZ,X,X,X,O,X,O,X,X
LSJIZTO,O,X,O,O,O,O,O,X
LSJIZOT,O,X,O,O,O,O,O,X
LSJIOTZ,X,X,X,O,X,O,X,X
LSJIOZT,X,X,O,O,X,O,O,X
LSJZTIO,O,O,O,O,O,X,X,X
LSJZTOI,O,O,O,O,O,X,X,X
LSJZITO,O,O,O,O,O,X,O,X
LSJZIOT,O,O,O,O,O,X,O,X
LSJZOTI,O,O,O,O,O,X,X,X
LSJZOIT,O,O,O,O,O,X,O,X
LSJOTIZ,X,X,X,O,X,O,X,X
LSJOTZI,X,O,X,O,X,X,X,X
LSJOITZ,X,X,X,O,X,O,X,X
LSJOIZT,X,X,O,O,O,O,O,X
LSJOZTI,X,O,O,O,O,X,X,X
LSJOZIT,X,O,O,O,O,X,O,X
LSZTIJO,O,O,O,X,O,X,X,X
LSZTIOJ,O,O,O,X,X,X,X,X
LSZTJIO,O,O,O,X,O,X,X,X
LSZTJOI,O,O,O,X,O,X,X,X
LSZTOIJ,O,O,O,X,O,X,X,X
LSZTOJI,O,O,O,X,O,X,X,X
LSZITJO,O,O,O,X,O,X,X,X
LSZITOJ,O,O,O,X,X,X,X,X
LSZIJTO,O,O,O,X,O,X,O,X
LSZIJOT,O,O,O,X,O,X,O,X
LSZIOTJ,O,O,O,X,O,X,X,X
LSZIOJT,O,O,O,X,O,X,X,X
LSZJTIO,O,O,O,X,O,X,X,X
LSZJTOI,O,O,O,X,O,X,X,X
LSZJITO,O,O,O,X,O,X,O,X
LSZJIOT,O,O,O,X,O,X,O,X
LSZJOTI,O,O,O,X,O,X,X,X
LSZJOIT,O,O,O,X,O,X,O,X
LSZOTIJ,O,O,O,X,O,X,X,X
LSZOTJI,O,O,O,X,O,X,X,X
LSZOITJ,O,O,O,X,O,X,X,X
LSZOIJT,O,O,O,X,O,X,X,X
LSZOJTI,O,O,O,X,O,X,X,X
LSZOJIT,O,O,O,X,O,X,X,X
LSOTIJZ,X,X,X,O,X,O,X,X
LSOTIZJ,X,O,O,X,X,X,X,X
LSOTJIZ,X,X,X,O,X,O,X,X
LSOTJZI,X,O,X,O,X,X,X,X
LSOTZIJ,X,O,O,X,X,X,X,X
LSOTZJI,X,O,O,X,X,X,X,X
LSOITJZ,X,X,X,O,X,O,X,X
LSOITZJ,X,O,O,X,X,X,X,X
LSOIJTZ,X,X,X,O,X,O,X,X
LSOIJZT,X,X,O,O,O,O,O,X
LSOIZTJ,X,O,O,X,O,X,X,X
LSOIZJT,X,O,O,X,O,X,X,X
LSOJTIZ,X,X,X,O,X,O,X,X
LSOJTZI,X,O,X,O,X,X,X,X
LSOJITZ,X,X,X,O,X,O,X,X
LSOJIZT,X,X,O,O,O,O,O,X
LSOJZTI,X,O,O,O,O,X,X,X
LSOJZIT,X,O,O,O,O,X,O,X
LSOZTIJ,X,O,O,X,O,X,X,X
LSOZTJI,X,O,O,X,O,X,X,X
LSOZITJ,X,O,O,X,O,X,X,X
LSOZIJT,X,O,O,X,O,X,X,X
LSOZJTI,X,O,O,X,O,X,X,X
LSOZJIT,X,O,O,X,O,X,X,X
LZTIJSO,X,O,O,X,X,O,O,X
LZTIJOS,X,X,O,X,X,O,O,X
LZTISJO,O,O,O,X,X,X,X,X
LZTISOJ,O,O,O,X,X,X,X,X
LZTIOJS,X,X,O,X,X,O,X,O
LZTIOSJ,O,O,O,X,X,X,X,O
LZTJISO,X,O,O,X,X,O,O,X
LZTJIOS,X,X,O,X,X,O,O,X
LZTJSIO,X,O,O,X,O,X,X,X
LZTJSOI,X,O,O,X,O,X,X,X
LZTJOIS,X,X,O,X,X,O,O,X
LZTJOSI,X,X,O,X,O,X,X,X
LZTSIJO,O,O,O,X,O,X,X,X
LZTSIOJ,O,O,O,X,X,X,X,X
LZTSJIO,O,O,O,X,O,X,X,X
LZTSJOI,O,O,O,X,O,X,X,X
LZTSOIJ,O,O,O,X,O,X,X,X
LZTSOJI,O,O,O,X,O,X,X,X
LZTOIJS,X,X,O,X,X,O,X,O
LZTOISJ,O,O,O,X,O,X,X,O
LZTOJIS,X,X,O,X,X,O,X,O
LZTOJSI,X,X,O,X,O,X,X,O
LZTOSIJ,O,O,O,X,O,X,X,O
LZTOSJI,O,O,O,X,O,X,X,O
LZITJSO,X,O,O,X,X,O,O,X
LZITJOS,X,X,O,X,X,O,O,X
LZITSJO,O,O,O,X,X,X,X,X
LZITSOJ,O,O,O,X,X,X,X,X
LZITOJS,X,X,O,X,X,O,X,O
LZITOSJ,O,O,O,X,X,X,X,O
LZIJTSO,X,O,O,X,X,O,O,X
LZIJTOS,X,X,O,X,X,O,O,X
LZIJSTO,O,O,O,X,O,O,O,X
LZIJSOT,O,O,O,X,O,O,O,X
LZIJOTS,X,X,O,X,X,O,O,X
LZIJOST,O,X,O,X,O,O,O,X
LZISTJO,O,O,O,X,O,X,X,X
LZISTOJ,O,O,O,X,X,X,X,X
LZISJTO,O,O,O,X,O,X,O,X
LZISJOT,O,O,O,X,O,X,O,X
LZISOTJ,O,O,O,X,O,X,X,X
LZISOJT,O,O,O,X,O,X,X,X
LZIOTJS,X,X,O,X,X,O,X,X
LZIOTSJ,O,O,O,X,O,X,X,X
LZIOJTS,X,X,O,X,X,O,O,X
LZIOJST,O,X,O,X,O,O,O,X
LZIOSTJ,O,O,O,X,O,X,X,X
LZIOSJT,O,O,O,X,O,X,X,X
LZJTISO,X,O,O,X,X,O,O,X
LZJTIOS,X,X,O,X,X,O,O,X
LZJTSIO,X,O,O,X,O,X,X,X
LZJTSOI,X,O,O,X,O,X,X,X
LZJTOIS,X,X,O,X,X,O,O,X
LZJTOSI,X,X,O,X,O,X,X,X
LZJITSO,X,O,O,X,X,O,O,X
LZJITOS,X,X,O,X,X,O,O,X
LZJISTO,O,O,O,X,O,O,O,X
LZJISOT,O,O,O,X,O,O,O,X
LZJIOTS,X,X,O,X,X,O,O,X
LZJIOST,O,X,O,X,O,O,O,X
LZJSTIO,O,O,O,X,O,X,X,X
LZJSTOI,O,O,O,X,O,X,X,X
LZJSITO,O,O,O,X,O,X,O,X
LZJSIOT,O,O,O,X,O,X,O,X
LZJSOTI,O,O,O,X,O,X,X,X
LZJSOIT,O,O,O,X,O,X,O,X
LZJOTIS,X,X,O,X,X,O,O,X
LZJOTSI,X,X,O,X,O,X,X,X
LZJOITS,X,X,O,X,X,O,O,X
LZJOIST,O,X,O,X,O,O,O,X
LZJOSTI,O,X,O,X,O,X,X,X
LZJOSIT,O,X,O,X,O,X,O,X
LZSTIJO,O,O,O,X,O,X,X,X
LZSTIOJ,O,O,O,X,X,X,X,X
LZSTJIO,O,O,O,X,O,X,X,X
LZSTJOI,O,O,O,X,O,X,X,X
LZSTOIJ,O,O,O,X,O,X,X,X
LZSTOJI,O,O,O,X,O,X,X,X
LZSITJO,O,O,O,X,O,X,X,X
LZSITOJ,O,O,O,X,X,X,X,X
LZSIJTO,O,O,O,X,O,X,O,X
LZSIJOT,O,O,O,X,O,X,O,X
LZSIOTJ,O,O,O,X,O,X,X,X
LZSIOJT,O,O,O,X,O,X,X,X
LZSJTIO,O,O,O,X,O,X,X,X
LZSJTOI,O,O,O,X,O,X,X,X
LZSJITO,O,O,O,X,O,X,O,X
LZSJIOT,O,O,O,X,O,X,O,X
LZSJOTI,O,O,O,X,O,X,X,X
LZSJOIT,O,O,O,X,O,X,O,X
LZSOTIJ,O,O,O,X,O,X,X,X
LZSOTJI,O,O,O,X,O,X,X,X
LZSOITJ,O,O,O,X,O,X,X,X
LZSOIJT,O,O,O,X,O,X,X,X
LZSOJTI,O,O,O,X,O,X,X,X
LZSOJIT,O,O,O,X,O,X,X,X
LZOTIJS,X,X,O,X,X,O,X,X
LZOTISJ,O,O,O,X,O,X,X,X
LZOTJIS,X,X,O,X,X,O,X,X
LZOTJSI,X,X,O,X,O,X,X,X
LZOTSIJ,O,O,O,X,O,X,X,X
LZOTSJI,O,O,O,X,O,X,X,X
LZOITJS,X,X,O,X,X,O,X,X
LZOITSJ,O,O,O,X,O,X,X,X
LZOIJTS,X,X,O,X,X,O,O,X
LZOIJST,O,X,O,X,O,O,O,X
LZOISTJ,O,O,O,X,O,X,X,X
LZOISJT,O,O,O,X,O,X,X,X
LZOJTIS,X,X,O,X,X,O,O,X
LZOJTSI,X,X,O,X,O,X,X,X
LZOJITS,X,X,O,X,X,O,O,X
LZOJIST,O,X,O,X,O,O,O,X
LZOJSTI,O,X,O,X,O,X,X,X
LZOJSIT,O,X,O,X,O,X,O,X
LZOSTIJ,O,O,O,X,O,X,X,X
LZOSTJI,O,O,O,X,O,X,X,X
LZOSITJ,O,O,O,X,O,X,X,X
LZOSIJT,O,O,O,X,O,X,X,X
LZOSJTI,O,O,O,X,O,X,X,X
LZOSJIT,O,O,O,X,O,X,X,X
LOTIJSZ,X,X,X,X,X,O,X,O
LOTIJZS,X,X,X,X,X,O,O,O
LOTISJZ,X,X,X,X,X,O,X,O
LOTISZJ,X,X,O,X,X,X,X,O
LOTIZJS,X,X,O,X,X,O,X,O
LOTIZSJ,X,O,O,X,X,X,X,O
LOTJISZ,X,X,X,X,X,O,X,O
LOTJIZS,X,X,X,X,X,O,O,O
LOTJSIZ,X,X,X,X,X,O,X,O
LOTJSZI,X,X,X,X,X,X,X,O
LOTJZIS,X,X,X,X,X,O,O,O
LOTJZSI,X,X,X,X,X,X,X,O
LOTSIJZ,X,X,X,X,X,O,X,O
LOTSIZJ,X,O,O,X,X,X,X,O
LOTSJIZ,X,X,X,X,X,O,X,O
LOTSJZI,X,O,X,X,X,X,X,O
LOTSZIJ,X,O,O,X,X,X,X,O
LOTSZJI,X,O,O,X,X,X,X,O
LOTZIJS,X,X,O,X,X,O,X,O
LOTZISJ,X,O,O,X,X,X,X,O
LOTZJIS,X,X,O,X,X,O,X,O
LOTZJSI,X,X,O,X,X,X,X,O
LOTZSIJ,X,O,O,X,X,X,X,O
LOTZSJI,X,O,O,X,X,X,X,O
LOITJSZ,X,X,X,X,X,O,X,O
LOITJZS,X,X,X,X,X,O,O,O
LOITSJZ,X,X,X,X,X,O,X,O
LOITSZJ,X,X,O,X,X,X,X,O
LOITZJS,X,X,O,X,X,O,X,O
LOITZSJ,X,O,O,X,X,X,X,O
LOIJTSZ,X,X,X,X,X,O,X,X
LOIJTZS,X,X,X,X,X,O,O,X
LOIJSTZ,X,X,X,O,X,O,X,X
LOIJSZT,X,X,O,O,X,O,O,X
LOIJZTS,X,X,O,X,X,O,O,X
LOIJZST,X,X,O,O,X,O,O,X
LOISTJZ,X,X,X,O,X,O,X,X
LOISTZJ,X,X,O,X,X,X,X,X
LOISJTZ,X,X,X,O,X,O,X,X
LOISJZT,X,X,O,O,O,O,O,X
LOISZTJ,X,X,O,X,O,X,X,X
LOISZJT,X,X,O,X,O,X,X,X
LOIZTJS,X,X,O,X,X,O,X,X
LOIZTSJ,X,O,O,X,O,X,X,X
LOIZJTS,X,X,O,X,X,O,O,X
LOIZJST,X,X,O,X,O,O,O,X
LOIZSTJ,X,O,O,X,O,X,X,X
LOIZSJT,X,O,O,X,O,X,X,X
LOJTISZ,X,X,X,X,X,O,X,X
LOJTIZS,X,X,X,X,X,O,O,X
LOJTSIZ,X,X,X,X,X,O,X,X
LOJTSZI,X,X,X,X,X,X,X,X
LOJTZIS,X,X,X,X,X,O,O,X
LOJTZSI,X,X,X,X,X,X,X,X
LOJITSZ,X,X,X,X,X,O,X,X
LOJITZS,X,X,X,X,X,O,O,X
LOJISTZ,X,X,X,O,X,O,X,X
LOJISZT,X,X,O,O,X,O,O,X
LOJIZTS,X,X,O,X,X,O,O,X
LOJIZST,X,X,O,O,X,O,O,X
LOJSTIZ,X,X,X,O,X,O,X,X
LOJSTZI,X,X,X,O,X,X,X,X
LOJSITZ,X,X,X,O,X,O,X,X
LOJSIZT,X,X,O,O,O,O,O,X
LOJSZTI,X,X,O,O,O,X,X,X
LOJSZIT,X,X,O,O,O,X,O,X
LOJZTIS,X,X,O,X,X,O,O,X
LOJZTSI,X,X,O,X,O,X,X,X
LOJZITS,X,X,O,X,X,O,O,X
LOJZIST,X,X,O,O,O,O,O,X
LOJZSTI,X,X,O,O,O,X,X,X
LOJZSIT,X,X,O,O,O,X,O,X
LOSTIJZ,X,X,X,O,X,O,X,O
LOSTIZJ,X,O,O,X,X,X,X,O
LOSTJIZ,X,X,X,O,X,O,X,O
LOSTJZI,X,O,X,O,X,X,X,O
LOSTZIJ,X,O,O,X,X,X,X,O
LOSTZJI,X,O,O,X,X,X,X,O
LOSITJZ,X,X,X,O,X,O,X,X
LOSITZJ,X,O,O,X,X,X,X,X
LOSIJTZ,X,X,X,O,X,O,X,X
LOSIJZT,X,X,O,O,O,O,O,X
LOSIZTJ,X,O,O,X,O,X,X,X
LOSIZJT,X,O,O,X,O,X,X,X
LOSJTIZ,X,X,X,O,X,O,X,X
LOSJTZI,X,O,X,O,X,X,X,X
LOSJITZ,X,X,X,O,X,O,X,X
LOSJIZT,X,X,O,O,O,O,O,X
LOSJZTI,X,O,O,O,O,X,X,X
LOSJZIT,X,O,O,O,O,X,O,X
LOSZTIJ,X,O,O,X,O,X,X,X
LOSZTJI,X,O,O,X,O,X,X,X
LOSZITJ,X,O,O,X,O,X,X,X
LOSZIJT,X,O,O,X,O,X,X,X
LOSZJTI,X,O,O,X,O,X,X,X
LOSZJIT,X,O,O,X,O,X,X,X
LOZTIJS,X,X,O,X,X,O,X,X
LOZTISJ,X,O,O,X,O,X,X,X
LOZTJIS,X,X,O,X,X,O,X,X
LOZTJSI,X,X,O,X,O,X,X,X
LOZTSIJ,X,O,O,X,O,X,X,X
LOZTSJI,X,O,O,X,O,X,X,X
LOZITJS,X,X,O,X,X,O,X,X
LOZITSJ,X,O,O,X,O,X,X,X
LOZIJTS,X,X,O,X,X,O,O,X
LOZIJST,X,X,O,X,O,O,O,X
LOZISTJ,X,O,O,X,O,X,X,X
LOZISJT,X,O,O,X,O,X,X,X
LOZJTIS,X,X,O,X,X,O,O,X
LOZJTSI,X,X,O,X,O,X,X,X
LOZJITS,X,X,O,X,X,O,O,X
LOZJIST,X,X,O,X,O,O,O,X
LOZJSTI,X,X,O,X,O,X,X,X
LOZJSIT,X,X,O,X,O,X,O,X
LOZSTIJ,X,O,O,X,O,X,X,X
LOZSTJI,X,O,O,X,O,X,X,X
LOZSITJ,X,O,O,X,O,X,X,X
LOZSIJT,X,O,O,X,O,X,X,X
LOZSJTI,X,O,O,X,O,X,X,X
LOZSJIT,X,O,O,X,O,X,X,X
JTILSZO,X,X,X,X,X,O,X,X
JTILSOZ,X,X,X,X,X,O,X,X
JTILZSO,X,X,X,X,X,O,O,X
JTILZOS,X,X,X,X,X,O,O,X
JTILOSZ,X,X,X,X,X,O,X,O
JTILOZS,X,X,X,X,X,O,O,O
JTISLZO,O,X,X,O,X,X,X,X
JTISLOZ,X,X,X,O,X,X,X,X
JTISZLO,O,X,X,O,X,X,X,X
JTISZOL,O,X,X,O,X,X,X,X
JTISOLZ,X,X,X,O,X,X,X,X
JTISOZL,O,X,X,O,X,X,X,X
JTIZLSO,X,X,X,X,X,X,O,X
JTIZLOS,X,X,X,X,X,X,O,X
JTIZSLO,O,X,X,O,X,X,X,X
JTIZSOL,O,X,X,O,X,X,X,X
JTIZOLS,X,X,X,X,X,X,O,X
JTIZOSL,O,X,X,O,X,X,X,X
JTIOLSZ,X,X,X,X,X,O,X,O
JTIOLZS,X,X,X,X,X,O,O,O
JTIOSLZ,X,X,X,O,X,X,X,O
JTIOSZL,X,X,X,O,X,X,X,O
JTIOZLS,X,X,X,X,X,X,O,O
JTIOZSL,X,X,X,O,X,X,X,O
JTLISZO,X,X,X,X,X,O,X,X
JTLISOZ,X,X,X,X,X,O,X,X
JTLIZSO,X,O,X,X,X,O,O,X
JTLIZOS,X,X,X,X,X,O,O,X
JTLIOSZ,X,X,X,X,X,O,X,O
JTLIOZS,X,X,X,X,X,O,O,O
JTLSIZO,X,X,X,X,X,O,X,X
JTLSIOZ,X,X,X,X,X,O,X,X
JTLSZIO,X,O,X,X,X,X,X,X
JTLSZOI,X,O,X,X,X,X,X,X
JTLSOIZ,X,X,X,X,X,O,X,X
JTLSOZI,X,O,X,X,X,X,X,X
JTLZISO,X,O,X,X,X,O,O,X
JTLZIOS,X,X,X,X,X,O,O,X
JTLZSIO,X,O,X,X,X,X,X,X
JTLZSOI,X,O,X,X,X,X,X,X
JTLZOIS,X,X,X,X,X,O,O,X
JTLZOSI,X,X,X,X,X,X,X,X
JTLOISZ,X,X,X,X,X,O,X,O
JTLOIZS,X,X,X,X,X,O,O,O
JTLOSIZ,X,X,X,X,X,O,X,O
JTLOSZI,X,X,X,X,X,X,X,O
JTLOZIS,X,X,X,X,X,O,O,O
JTLOZSI,X,X,X,X,X,X,X,O
JTSILZO,O,X,X,O,X,X,X,X
JTSILOZ,X,X,X,O,X,X,X,X
JTSIZLO,O,X,X,O,O,X,X,X
JTSIZOL,O,X,X,O,X,X,X,X
JTSIOLZ,X,X,X,O,X,X,X,X
JTSIOZL,O,X,X,O,X,X,X,X
JTSLIZO,O,X,X,O,X,X,X,X
JTSLIOZ,X,X,X,O,X,X,X,X
JTSLZIO,O,O,X,O,X,X,X,X
JTSLZOI,O,O,X,O,X,X,X,X
JTSLOIZ,X,X,X,O,X,X,X,X
JTSLOZI,X,O,X,O,X,X,X,X
JTSZILO,O,O,X,O,O,X,X,X
JTSZIOL,O,O,X,O,X,X,X,X
JTSZLIO,O,O,X,O,O,X,X,X
JTSZLOI,O,O,X,O,O,X,X,X
JTSZOIL,O,O,X,O,O,X,X,X
JTSZOLI,O,O,X,O,O,X,X,X
JTSOILZ,X,X,X,O,X,X,X,X
JTSOIZL,O,X,X,O,O,X,X,X
