sequence,v115@QhB8EeF8DeD8Je/EJvhFRgBUiBFjBOqB6rBzqB,v115@QhB8EeF8DeD8Je/EJvhFRgBUiBFjBKqBzlB+rB,v115@QhB8EeF8DeD8Je/EJvhFalBulBUiBFjBTmBxvB
ITJLZOS,X,X,X
ITJLOSZ,X,X,X
ITJLOZS,X,X,X
ITJSLZO,X,X,O
ITJSLOZ,X,X,X
ITJSZLO,X,X,O
ITJSZOL,X,X,X
ITJSOLZ,X,X,X
ITJSOZL,X,X,X
ITJZLSO,X,X,X
ITJZLOS,X,X,X
ITJZSLO,X,X,O
ITJZSOL,X,X,X
ITJZOLS,X,X,X
ITJZOSL,X,X,X
ITJOLSZ,X,X,X
ITJOLZS,X,X,X
ITJOSLZ,X,X,X
ITJOSZL,X,X,X
ITJOZLS,X,X,X
ITJOZSL,X,X,X
ITSLJZO,X,X,O
ITSLJOZ,X,X,X
ITSLZJO,X,X,O
ITSLZOJ,X,X,O
ITSLOJZ,X,X,O
ITSLOZJ,X,X,O
ITSJLZO,X,X,O
ITSJLOZ,X,X,X
ITSJZLO,X,X,O
ITSJZOL,X,X,X
ITSJOLZ,X,X,X
ITSJOZL,X,X,X
ITSZLJO,X,X,O
ITSZLOJ,X,X,O
ITSZJLO,X,X,O
ITSZJOL,X,X,X
ITSZOLJ,X,X,O
ITSZOJL,X,X,O
ITSOLJZ,X,X,O
ITSOLZJ,X,X,O
ITSOJLZ,X,X,O
ITSOJZL,X,X,O
ITSOZLJ,X,X,O
ITSOZJL,X,X,O
ITZLJSO,X,X,X
ITZLJOS,X,X,X
ITZLSJO,X,X,X
ITZLSOJ,X,X,X
ITZLOJS,X,X,X
ITZLOSJ,X,X,X
ITZJLSO,X,X,X
ITZJLOS,X,X,X
ITZJSLO,X,X,O
ITZJSOL,X,X,X
ITZJOLS,X,X,X
ITZJOSL,X,X,X
ITZSLJO,X,X,O
ITZSLOJ,X,X,O
ITZSJLO,X,X,O
ITZSJOL,X,X,X
ITZSOLJ,X,X,O
ITZSOJL,X,X,O
ITZOLJS,X,X,X
ITZOLSJ,X,X,X
ITZOJLS,X,X,X
ITZOJSL,X,X,O
