sequence,v115@JhA8FeF8DeB8FeC8JeT/IvhF0gBSnBOoBlmBXsBRvB,v115@JhA8FeF8DeB8FeC8Jex/IvhFXhBTiBOoBFsB0pBSwB,v115@JhA8FeF8DeB8FeC8JeT/IvhFlgB3hBOoBCsBcsBRvB,v115@JhA8FeF8DeB8FeC8JeT/IvhFFiBXjBRsBSvB0rBmqB,v115@JhA8FeF8DeB8FeC8JeT/IvhF0gBmhBqrB3nBFoBRvB,v115@JhA8FeF8DeB8FeC8JeT/IvhFUiBFjBRsBCrBXqB2wB,v115@JhA8FeF8DeB8FeC8JeT/IvhFSmBXjBRsBOsBVvBUrB,v115@JhA8FeF8DeB8FeC8JeT/IvhF6nBOoBRmBfsBVvBUrB,v115@JhA8FeF8DeB8FeC8JeCBJvhFxiBmmBznB1wB/pBUqB,v115@JhA8FeF8DeB8FeC8Je6HJvhFOoBRmBzrB/pBUqBFrB
IOZLTSJ,X,X,X,O,O,O,X,X,X,X
IOZLJTS,X,X,X,O,O,O,X,X,X,X
IOZLJST,O,X,X,O,O,X,X,O,X,O
IOZLSTJ,O,X,X,O,O,O,X,X,X,X
IOZLSJT,O,X,X,O,O,X,X,X,X,X
IOZJTLS,X,X,X,O,O,O,X,X,X,X
IOZJTSL,O,X,X,O,X,X,X,X,X,X
IOZJLTS,X,X,X,O,O,O,X,X,X,X
IOZJLST,O,X,X,O,O,X,X,O,X,O
IOZJSTL,O,X,X,O,X,X,X,X,X,X
IOZJSLT,O,X,X,O,O,X,X,X,X,X
IOZSTLJ,O,X,X,O,X,O,X,X,X,X
IOZSTJL,O,X,X,O,X,X,X,X,X,X
IOZSLTJ,O,X,X,O,O,O,X,X,X,X
IOZSLJT,O,X,X,O,O,X,X,X,X,X
IOZSJTL,O,X,X,O,X,X,X,X,X,X
IOZSJLT,O,X,X,O,O,X,X,X,X,X
LTIJSZO,X,O,O,X,X,X,X,X,X,X
LTIJSOZ,X,O,O,X,X,X,O,X,X,X
LTIJZSO,X,O,O,X,X,X,X,X,X,X
LTIJZOS,X,O,O,X,X,O,X,X,X,X
LTIJOSZ,X,O,O,X,X,X,O,O,X,X
LTIJOZS,X,O,O,X,X,O,X,X,X,X
LTISJZO,X,X,X,X,X,X,X,X,X,X
LTISJOZ,X,O,X,X,X,X,O,X,X,X
LTISZJO,X,X,X,X,X,X,X,X,X,X
LTISZOJ,X,X,X,X,X,O,X,X,X,X
LTISOJZ,X,O,X,X,X,X,O,X,X,X
LTISOZJ,X,X,X,X,X,O,X,X,X,X
LTIZJSO,X,X,X,X,X,X,X,X,X,X
LTIZJOS,X,X,X,X,X,O,X,X,X,X
LTIZSJO,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,X,X,X,X,X,O,X,X,X,X
LTIZOJS,X,X,X,X,X,O,X,X,X,X
LTIZOSJ,X,X,X,X,X,O,X,X,X,X
LTIOJSZ,X,O,X,X,X,X,O,O,X,X
LTIOJZS,X,O,O,X,X,O,X,X,X,X
LTIOSJZ,X,O,X,X,X,X,O,X,X,X
LTIOSZJ,X,X,X,X,X,O,X,X,X,X
LTIOZJS,X,X,X,X,X,O,X,X,X,X
LTIOZSJ,X,X,X,X,X,O,X,X,X,X
LTJISZO,X,O,O,X,X,X,X,X,X,X
LTJISOZ,X,O,O,X,X,X,X,X,X,X
LTJIZSO,X,O,O,X,X,X,X,X,X,X
LTJIZOS,X,O,O,X,X,X,X,X,X,X
LTJIOSZ,X,O,O,X,X,X,X,O,X,X
LTJIOZS,X,O,O,X,X,X,X,X,X,X
LTJSIZO,X,O,O,X,X,X,X,X,X,X
LTJSIOZ,X,O,O,X,X,X,X,X,X,X
LTJSZIO,X,O,O,X,X,X,X,X,X,X
LTJSZOI,X,O,O,X,O,X,X,X,X,X
LTJSOIZ,X,O,X,X,X,X,X,X,X,X
LTJSOZI,X,O,O,X,O,X,X,X,X,X
LTJZISO,X,O,O,X,X,X,X,X,X,X
LTJZIOS,X,O,O,X,X,X,X,X,X,X
LTJZSIO,X,O,O,X,X,X,X,X,X,X
LTJZSOI,X,O,O,X,O,X,X,X,X,X
LTJZOIS,X,O,O,X,X,X,X,X,X,X
LTJZOSI,X,O,O,X,O,X,X,X,X,X
LTJOISZ,X,O,O,X,X,X,X,O,X,X
LTJOIZS,X,O,O,X,X,X,X,X,X,X
LTJOSIZ,X,O,X,X,X,X,X,X,X,X
LTJOSZI,X,O,O,X,O,X,X,X,X,X
LTJOZIS,X,O,O,X,X,X,X,X,X,X
LTJOZSI,X,O,O,X,O,X,X,X,X,X
LTSIJZO,X,X,X,X,X,X,X,X,X,X
LTSIJOZ,X,O,X,X,X,X,O,X,X,X
LTSIZJO,X,X,X,X,X,X,X,X,X,X
LTSIZOJ,X,X,X,X,X,X,X,X,X,X
LTSIOJZ,X,O,X,X,X,X,O,X,X,X
LTSIOZJ,X,X,X,X,X,X,X,X,X,X
LTSJIZO,X,X,O,X,X,X,X,X,X,X
LTSJIOZ,X,O,O,X,X,X,X,X,X,X
LTSJZIO,X,O,O,X,X,X,X,X,X,X
LTSJZOI,X,O,O,X,O,X,X,X,X,X
LTSJOIZ,X,O,X,X,X,X,X,X,X,X
LTSJOZI,X,O,O,X,O,X,X,X,X,X
LTSZIJO,X,X,X,X,X,X,X,X,X,X
LTSZIOJ,X,X,X,X,X,X,X,X,X,X
LTSZJIO,X,X,X,X,X,X,X,X,X,X
LTSZJOI,X,X,X,X,O,X,X,X,X,X
LTSZOIJ,X,X,X,X,X,X,X,X,X,X
LTSZOJI,X,X,X,X,O,X,X,X,X,X
LTSOIJZ,X,O,X,X,X,X,O,X,X,X
LTSOIZJ,X,X,X,X,X,X,X,X,X,X
LTSOJIZ,X,O,X,X,X,X,X,X,X,X
LTSOJZI,X,O,O,X,O,X,X,X,X,X
LTSOZIJ,X,X,X,X,X,X,X,X,X,X
LTSOZJI,X,X,X,X,O,X,X,X,X,X
LTZIJSO,X,X,X,X,X,X,X,X,X,X
LTZIJOS,X,X,X,X,X,X,X,X,X,X
LTZISJO,X,X,X,X,X,X,X,X,X,X
LTZISOJ,X,X,X,X,X,X,X,X,X,X
LTZIOJS,X,X,X,X,X,X,X,X,X,X
LTZIOSJ,X,X,X,X,X,X,X,X,X,X
LTZJISO,X,X,O,X,X,X,X,X,X,X
LTZJIOS,X,X,O,X,X,X,X,X,X,X
LTZJSIO,X,X,O,X,X,X,X,X,X,X
LTZJSOI,X,X,O,X,O,X,X,X,X,X
LTZJOIS,X,X,O,X,X,X,X,X,X,X
LTZJOSI,X,X,O,X,O,X,X,X,X,X
LTZSIJO,X,X,X,X,X,X,X,X,X,X
LTZSIOJ,X,X,X,X,X,X,X,X,X,X
LTZSJIO,X,X,X,X,X,X,X,X,X,X
LTZSJOI,X,X,X,X,O,X,X,X,X,X
LTZSOIJ,X,X,X,X,X,X,X,X,X,X
LTZSOJI,X,X,X,X,O,X,X,X,X,X
LTZOIJS,X,X,X,X,X,X,X,X,X,X
LTZOISJ,X,X,X,X,X,X,X,X,X,X
LTZOJIS,X,X,O,X,X,X,X,X,X,X
LTZOJSI,X,X,O,X,O,X,X,X,X,X
LTZOSIJ,X,X,X,X,X,X,X,X,X,X
LTZOSJI,X,X,X,X,O,X,X,X,X,X
LTOIJSZ,X,O,X,X,X,X,O,O,X,X
LTOIJZS,X,O,O,X,X,O,X,X,X,X
LTOISJZ,X,O,X,X,X,X,O,X,X,X
LTOISZJ,X,X,X,X,X,O,X,X,X,X
LTOIZJS,X,X,X,X,X,O,X,X,X,X
LTOIZSJ,X,X,X,X,X,O,X,X,X,X
LTOJISZ,X,O,O,X,X,X,X,O,X,X
LTOJIZS,X,O,O,X,X,X,X,X,X,X
LTOJSIZ,X,O,X,X,X,X,X,X,X,X
LTOJSZI,X,O,O,X,O,X,X,X,X,X
LTOJZIS,X,O,O,X,X,X,X,X,X,X
LTOJZSI,X,O,O,X,O,X,X,X,X,X
LTOSIJZ,X,O,X,X,X,X,O,X,X,X
LTOSIZJ,X,X,X,X,X,X,X,X,X,X
LTOSJIZ,X,O,X,X,X,X,X,X,X,X
LTOSJZI,X,O,O,X,O,X,X,X,X,X
LTOSZIJ,X,X,X,X,X,X,X,X,X,X
LTOSZJI,X,X,X,X,O,X,X,X,X,X
LTOZIJS,X,X,X,X,X,X,X,X,X,X
LTOZISJ,X,X,X,X,X,X,X,X,X,X
LTOZJIS,X,X,O,X,X,X,X,X,X,X
LTOZJSI,X,X,O,X,O,X,X,X,X,X
LTOZSIJ,X,X,X,X,X,X,X,X,X,X
LTOZSJI,X,X,X,X,O,X,X,X,X,X
LITJSZO,X,O,O,X,X,X,X,X,X,X
LITJSOZ,X,O,O,X,X,X,O,X,X,X
LITJZSO,X,O,O,X,X,X,X,X,X,X
LITJZOS,X,O,O,X,X,O,X,X,X,X
LITJOSZ,X,O,O,X,X,X,O,O,X,X
LITJOZS,X,O,O,X,X,O,X,X,X,X
LITSJZO,X,X,X,X,X,X,X,X,X,X
LITSJOZ,X,O,X,X,X,X,O,X,X,X
LITSZJO,X,X,X,O,X,X,X,X,X,X
LITSZOJ,X,X,X,O,X,O,X,X,X,X
LITSOJZ,X,O,X,X,X,X,O,X,X,X
LITSOZJ,X,X,X,O,X,O,X,X,X,X
LITZJSO,X,X,X,O,X,X,X,X,X,X
LITZJOS,X,X,X,O,X,O,X,X,X,X
LITZSJO,X,X,X,O,X,X,X,X,X,X
LITZSOJ,X,X,X,O,X,O,X,X,X,X
LITZOJS,X,X,X,O,X,O,X,X,X,X
LITZOSJ,X,X,X,O,X,O,X,X,X,X
LITOJSZ,X,O,X,X,X,X,O,O,X,X
LITOJZS,X,O,O,X,X,O,X,X,X,X
LITOSJZ,X,O,X,X,X,X,O,X,X,X
LITOSZJ,X,X,X,O,X,O,X,X,X,X
LITOZJS,X,X,X,O,X,O,X,X,X,X
LITOZSJ,X,X,X,O,X,O,X,X,X,X
LIJTSZO,X,O,O,X,X,X,X,X,X,X
LIJTSOZ,X,O,O,X,X,X,O,X,X,X
LIJTZSO,X,O,O,X,X,X,X,X,X,X
LIJTZOS,X,O,O,X,X,O,X,X,X,X
LIJTOSZ,X,O,O,X,X,X,O,O,X,X
LIJTOZS,X,O,O,X,X,O,X,X,X,X
LIJSTZO,X,X,O,X,X,X,X,X,X,X
LIJSTOZ,X,O,O,X,X,X,O,X,X,X
LIJSZTO,X,X,O,O,X,X,X,X,X,X
LIJSZOT,X,X,O,O,O,X,O,X,X,X
LIJSOTZ,X,X,O,X,X,X,O,O,X,X
LIJSOZT,X,X,O,O,O,X,O,O,X,X
LIJZTSO,X,X,O,O,X,X,X,X,X,X
LIJZTOS,X,X,O,O,X,O,X,X,X,X
LIJZSTO,X,X,O,O,X,X,X,X,X,X
LIJZSOT,X,X,O,O,O,X,O,X,X,X
LIJZOTS,X,X,O,O,X,O,X,X,X,X
LIJZOST,X,X,O,O,O,X,O,O,X,X
LIJOTSZ,X,X,O,X,X,X,O,O,X,X
LIJOTZS,X,X,O,X,X,O,X,X,X,X
LIJOSTZ,X,X,O,X,X,X,O,O,X,X
LIJOSZT,X,X,O,O,O,X,O,O,X,X
LIJOZTS,X,X,O,O,X,O,X,X,X,X
LIJOZST,X,X,O,O,O,X,O,O,X,X
LISTJZO,X,X,X,X,X,X,X,X,X,X
LISTJOZ,X,O,X,X,X,X,O,X,X,X
LISTZJO,X,X,X,O,X,X,X,X,X,X
LISTZOJ,X,X,X,O,X,O,X,X,X,X
LISTOJZ,X,O,X,X,X,X,O,X,X,X
LISTOZJ,X,X,X,O,X,O,X,X,X,X
LISJTZO,X,X,X,X,X,X,X,X,X,X
LISJTOZ,X,O,X,X,X,X,O,X,X,X
LISJZTO,X,X,X,O,X,X,X,X,X,X
LISJZOT,X,X,X,O,O,X,O,X,X,X
LISJOTZ,X,X,X,X,X,X,O,O,X,X
LISJOZT,X,X,X,O,O,X,O,O,X,X
LISZTJO,X,X,X,O,X,X,X,X,X,X
LISZTOJ,X,X,X,O,X,O,X,X,X,X
LISZJTO,X,X,X,O,X,X,X,X,X,X
LISZJOT,X,X,X,O,O,X,O,X,X,X
LISZOTJ,X,X,X,O,X,O,X,X,X,X
LISZOJT,X,X,X,O,O,X,O,X,X,X
LISOTJZ,X,X,X,X,X,X,O,X,X,X
LISOTZJ,X,X,X,O,X,O,X,X,X,X
LISOJTZ,X,X,X,X,X,X,O,O,X,X
LISOJZT,X,X,X,O,O,X,O,O,X,X
LISOZTJ,X,X,X,O,X,O,X,X,X,X
LISOZJT,X,X,X,O,O,X,O,X,X,X
LIZTJSO,X,X,X,O,X,X,X,X,X,X
LIZTJOS,X,X,X,O,X,O,X,X,X,X
LIZTSJO,X,X,X,O,X,X,X,X,X,X
LIZTSOJ,X,X,X,O,X,O,X,X,X,X
LIZTOJS,X,X,X,O,X,O,X,X,X,X
LIZTOSJ,X,X,X,O,X,O,X,X,X,X
LIZJTSO,X,X,X,O,X,X,X,X,X,X
LIZJTOS,X,X,X,O,X,O,X,X,X,X
LIZJSTO,X,X,X,O,X,X,X,X,X,X
LIZJSOT,X,X,X,O,O,X,O,X,X,X
LIZJOTS,X,X,X,O,X,O,X,X,X,X
LIZJOST,X,X,X,O,O,X,O,O,X,X
LIZSTJO,X,X,X,O,X,X,X,X,X,X
LIZSTOJ,X,X,X,O,X,O,X,X,X,X
LIZSJTO,X,X,X,O,X,X,X,X,X,X
LIZSJOT,X,X,X,O,O,X,O,X,X,X
LIZSOTJ,X,X,X,O,X,O,X,X,X,X
LIZSOJT,X,X,X,O,O,X,O,X,X,X
LIZOTJS,X,X,X,O,X,O,X,X,X,X
LIZOTSJ,X,X,X,O,X,O,X,X,X,X
LIZOJTS,X,X,X,O,X,O,X,X,X,X
LIZOJST,X,X,X,O,O,X,O,O,X,X
LIZOSTJ,X,X,X,O,X,O,X,X,X,X
LIZOSJT,X,X,X,O,O,X,O,X,X,X
LIOTJSZ,X,X,X,X,X,X,O,O,X,X
LIOTJZS,X,X,O,X,X,O,X,X,X,X
LIOTSJZ,X,X,X,X,X,X,O,X,X,X
LIOTSZJ,X,X,X,O,X,O,X,X,X,X
LIOTZJS,X,X,X,O,X,O,X,X,X,X
LIOTZSJ,X,X,X,O,X,O,X,X,X,X
LIOJTSZ,X,X,X,X,X,X,O,O,X,X
LIOJTZS,X,X,O,X,X,O,X,X,X,X
LIOJSTZ,X,X,X,X,X,X,O,O,X,X
LIOJSZT,X,X,X,O,O,X,O,O,X,X
LIOJZTS,X,X,O,O,X,O,X,X,X,X
LIOJZST,X,X,O,O,O,X,O,O,X,X
LIOSTJZ,X,X,X,X,X,X,O,X,X,X
LIOSTZJ,X,X,X,O,X,O,X,X,X,X
LIOSJTZ,X,X,X,X,X,X,O,O,X,X
LIOSJZT,X,X,X,O,O,X,O,O,X,X
LIOSZTJ,X,X,X,O,X,O,X,X,X,X
LIOSZJT,X,X,X,O,O,X,O,X,X,X
LIOZTJS,X,X,X,O,X,O,X,X,X,X
LIOZTSJ,X,X,X,O,X,O,X,X,X,X
LIOZJTS,X,X,X,O,X,O,X,X,X,X
LIOZJST,X,X,X,O,O,X,O,O,X,X
LIOZSTJ,X,X,X,O,X,O,X,X,X,X
LIOZSJT,X,X,X,O,O,X,O,X,X,X
LJTISZO,X,O,O,X,X,X,X,X,X,X
LJTISOZ,X,O,O,X,X,X,X,X,X,X
LJTIZSO,X,O,O,X,X,X,X,X,X,X
LJTIZOS,X,O,O,X,X,X,X,X,X,X
LJTIOSZ,X,O,O,X,X,X,X,O,X,X
LJTIOZS,X,O,O,X,X,X,X,X,X,X
LJTSIZO,X,O,O,X,X,X,X,X,X,X
LJTSIOZ,X,O,O,X,X,X,X,X,X,X
LJTSZIO,X,O,O,X,X,X,X,X,X,X
LJTSZOI,X,O,O,X,O,X,X,X,X,X
LJTSOIZ,X,O,X,X,X,X,X,X,X,X
LJTSOZI,X,O,O,X,O,X,X,X,X,X
LJTZISO,X,O,O,X,X,X,X,X,X,X
LJTZIOS,X,O,O,X,X,X,X,X,X,X
LJTZSIO,X,O,O,X,X,X,X,X,X,X
LJTZSOI,X,O,O,X,O,X,X,X,X,X
LJTZOIS,X,O,O,X,X,X,X,X,X,X
LJTZOSI,X,O,O,X,O,X,X,X,X,X
LJTOISZ,X,O,O,X,X,X,X,O,X,X
LJTOIZS,X,O,O,X,X,X,X,X,X,X
LJTOSIZ,X,O,X,X,X,X,X,X,X,X
LJTOSZI,X,O,O,X,O,X,X,X,X,X
LJTOZIS,X,O,O,X,X,X,X,X,X,X
LJTOZSI,X,O,O,X,O,X,X,X,X,X
LJITSZO,X,O,O,X,X,X,X,X,X,X
LJITSOZ,X,O,O,X,X,X,O,X,X,X
LJITZSO,X,O,O,X,X,X,X,X,X,X
LJITZOS,X,O,O,X,X,X,X,X,X,X
LJITOSZ,X,O,O,X,X,X,O,O,X,X
LJITOZS,X,O,O,X,X,X,X,X,X,X
LJISTZO,O,X,O,X,X,X,X,X,X,X
LJISTOZ,O,O,O,X,X,X,O,X,X,X
LJISZTO,O,X,O,X,X,X,X,X,X,X
LJISZOT,O,X,O,X,O,X,O,X,X,X
LJISOTZ,O,X,O,X,X,X,O,O,X,X
LJISOZT,O,X,O,X,O,X,O,O,X,X
LJIZTSO,X,X,O,X,X,X,X,X,X,X
LJIZTOS,X,X,O,X,X,X,X,X,X,X
LJIZSTO,O,X,O,X,X,X,X,X,X,X
LJIZSOT,O,X,O,X,O,X,O,X,X,X
LJIZOTS,X,X,O,X,X,X,X,X,X,X
LJIZOST,O,X,O,X,O,X,O,O,X,X
LJIOTSZ,X,X,O,X,X,X,O,O,X,X
LJIOTZS,X,X,O,X,X,X,X,X,X,X
LJIOSTZ,O,X,O,X,X,X,O,O,X,X
LJIOSZT,O,X,O,X,O,X,O,O,X,X
LJIOZTS,X,X,O,X,X,X,X,X,X,X
LJIOZST,O,X,O,X,O,X,O,O,X,X
LJSTIZO,X,X,O,X,X,X,X,X,X,X
LJSTIOZ,X,O,O,X,X,X,X,X,X,X
LJSTZIO,X,O,O,X,X,X,X,X,X,X
LJSTZOI,O,O,O,X,O,X,X,X,X,X
LJSTOIZ,X,O,X,X,X,X,X,X,X,X
LJSTOZI,O,O,O,X,O,X,X,X,X,X
LJSITZO,X,X,O,X,X,X,X,X,X,X
LJSITOZ,X,O,O,X,X,X,O,X,X,X
LJSIZTO,X,X,O,X,X,X,X,X,X,X
LJSIZOT,O,X,O,X,O,X,O,X,X,X
LJSIOTZ,X,X,O,X,X,X,O,O,X,X
LJSIOZT,O,X,O,X,O,X,O,O,X,X
LJSZTIO,X,X,O,X,X,X,X,X,X,X
LJSZTOI,O,X,O,X,O,X,X,X,X,X
LJSZITO,X,X,O,X,X,X,X,X,X,X
LJSZIOT,O,X,O,X,O,X,X,X,X,X
LJSZOTI,O,X,O,X,O,X,X,X,X,X
LJSZOIT,O,X,O,X,O,X,X,X,X,X
LJSOTIZ,X,X,X,X,X,X,X,X,X,X
LJSOTZI,O,X,O,X,O,X,X,X,X,X
LJSOITZ,X,X,X,X,X,X,O,O,X,X
LJSOIZT,O,X,X,X,O,X,O,O,X,X
LJSOZTI,O,X,O,X,O,X,X,X,X,X
LJSOZIT,O,X,O,X,O,X,X,X,X,X
LJZTISO,X,X,O,X,X,X,X,X,X,X
LJZTIOS,X,X,O,X,X,X,X,X,X,X
LJZTSIO,X,X,O,X,X,X,X,X,X,X
LJZTSOI,X,X,O,X,O,X,X,X,X,X
LJZTOIS,X,X,O,X,X,X,X,X,X,X
LJZTOSI,X,X,O,X,O,X,X,X,X,X
LJZITSO,X,X,O,X,X,X,X,X,X,X
LJZITOS,X,X,O,X,X,X,X,X,X,X
LJZISTO,O,X,O,X,X,X,X,X,X,X
LJZISOT,O,X,O,X,O,X,X,X,X,X
LJZIOTS,X,X,O,X,X,X,X,X,X,X
LJZIOST,O,X,O,X,O,X,X,O,X,X
LJZSTIO,X,X,O,X,X,X,X,X,X,X
LJZSTOI,O,X,O,X,O,X,X,X,X,X
LJZSITO,X,X,O,X,X,X,X,X,X,X
LJZSIOT,O,X,O,X,O,X,X,X,X,X
LJZSOTI,O,X,O,X,O,X,X,X,X,X
LJZSOIT,O,X,O,X,O,X,X,X,X,X
LJZOTIS,X,X,O,X,X,X,X,X,X,X
LJZOTSI,X,X,O,X,O,X,X,X,X,X
LJZOITS,X,X,O,X,X,X,X,X,X,X
LJZOIST,O,X,O,X,O,X,X,O,X,X
LJZOSTI,O,X,O,X,O,X,X,X,X,X
LJZOSIT,O,X,O,X,O,X,X,X,X,X
LJOTISZ,X,X,O,X,X,X,X,O,X,O
LJOTIZS,X,X,O,X,X,X,X,X,X,X
LJOTSIZ,X,X,X,X,X,X,X,X,X,O
LJOTSZI,X,X,O,X,O,X,X,X,X,X
LJOTZIS,X,X,O,X,X,X,X,X,X,X
LJOTZSI,X,X,O,X,O,X,X,X,X,X
LJOITSZ,X,X,O,X,X,X,O,O,X,O
LJOITZS,X,X,O,X,X,X,X,X,X,X
LJOISTZ,O,X,O,X,X,X,O,O,X,O
LJOISZT,O,X,O,X,O,X,O,O,X,O
LJOIZTS,X,X,O,X,X,X,X,X,X,X
LJOIZST,O,X,O,X,O,X,O,O,X,O
LJOSTIZ,X,X,X,X,X,X,X,X,X,O
LJOSTZI,O,X,O,X,O,X,X,X,X,X
LJOSITZ,X,X,X,X,X,X,O,O,X,O
LJOSIZT,O,X,X,X,O,X,O,O,X,O
LJOSZTI,O,X,O,X,O,X,X,X,X,X
LJOSZIT,O,X,O,X,O,X,X,X,X,O
LJOZTIS,X,X,O,X,X,X,X,X,X,X
LJOZTSI,X,X,O,X,O,X,X,X,X,X
LJOZITS,X,X,O,X,X,X,X,X,X,X
LJOZIST,O,X,O,X,O,X,X,O,X,O
LJOZSTI,O,X,O,X,O,X,X,X,X,X
LJOZSIT,O,X,O,X,O,X,X,X,X,O
LSTIJZO,X,X,X,X,X,X,X,X,X,X
LSTIJOZ,X,O,X,X,X,X,O,X,X,X
LSTIZJO,X,X,X,X,X,X,X,X,X,X
LSTIZOJ,X,X,X,X,X,X,X,X,X,X
LSTIOJZ,X,O,X,X,X,X,O,X,X,X
LSTIOZJ,X,X,X,X,X,X,X,X,X,X
LSTJIZO,X,X,O,X,X,X,X,X,X,X
LSTJIOZ,X,O,O,X,X,X,X,X,X,X
LSTJZIO,X,O,O,X,X,X,X,X,X,X
LSTJZOI,O,O,O,X,O,X,X,X,X,X
LSTJOIZ,X,O,X,X,X,X,X,X,X,X
LSTJOZI,O,O,O,X,O,X,X,X,X,X
LSTZIJO,X,X,X,X,X,X,X,X,X,X
LSTZIOJ,X,X,X,X,X,X,X,X,X,X
LSTZJIO,X,X,X,X,X,X,X,X,X,X
LSTZJOI,O,X,X,X,O,X,X,X,X,X
LSTZOIJ,X,X,X,X,X,X,X,X,X,X
LSTZOJI,O,X,X,X,O,X,X,X,X,X
LSTOIJZ,X,O,X,X,X,X,O,X,X,X
LSTOIZJ,X,X,X,X,X,X,X,X,X,X
LSTOJIZ,X,O,X,X,X,X,X,X,X,X
LSTOJZI,O,O,O,X,O,X,X,X,X,X
LSTOZIJ,X,X,X,X,X,X,X,X,X,X
LSTOZJI,O,X,X,X,O,X,X,X,X,X
LSITJZO,X,X,X,X,X,X,X,X,X,X
LSITJOZ,X,O,X,X,X,X,O,X,X,X
LSITZJO,X,X,X,O,X,X,X,X,X,X
LSITZOJ,X,X,X,O,X,X,X,X,X,X
LSITOJZ,X,O,X,X,X,X,O,X,X,X
LSITOZJ,X,X,X,O,X,X,X,X,X,X
LSIJTZO,X,X,X,X,X,X,X,X,X,X
LSIJTOZ,X,O,X,X,X,X,O,X,X,X
LSIJZTO,X,X,X,O,X,X,X,X,X,X
LSIJZOT,O,X,X,O,O,X,O,X,X,X
LSIJOTZ,X,X,X,X,X,X,O,O,X,X
LSIJOZT,O,X,X,O,O,X,O,O,X,X
LSIZTJO,X,X,X,O,X,X,X,X,X,X
LSIZTOJ,X,X,X,O,X,X,X,X,X,X
LSIZJTO,X,X,X,O,X,X,X,X,X,X
LSIZJOT,O,X,X,O,O,X,O,X,X,X
LSIZOTJ,X,X,X,O,X,X,X,X,X,X
LSIZOJT,O,X,X,O,O,X,O,X,X,X
LSIOTJZ,X,X,X,X,X,X,O,X,X,X
LSIOTZJ,X,X,X,O,X,X,X,X,X,X
LSIOJTZ,X,X,X,X,X,X,O,O,X,X
LSIOJZT,O,X,X,O,O,X,O,O,X,X
LSIOZTJ,X,X,X,O,X,X,X,X,X,X
LSIOZJT,O,X,X,O,O,X,O,X,X,X
LSJTIZO,X,X,O,X,X,X,X,X,X,X
LSJTIOZ,X,O,O,X,X,X,X,X,X,X
LSJTZIO,X,O,O,X,X,X,X,X,X,X
LSJTZOI,O,O,O,X,O,X,X,X,X,X
LSJTOIZ,X,O,X,X,X,X,X,X,X,X
LSJTOZI,O,O,O,X,O,X,X,X,X,X
LSJITZO,X,X,O,X,X,X,X,X,X,X
LSJITOZ,X,O,O,X,X,X,O,X,X,X
LSJIZTO,X,X,O,X,X,X,X,X,X,X
LSJIZOT,O,X,O,X,O,X,O,X,X,X
LSJIOTZ,X,X,O,X,X,X,O,O,X,X
LSJIOZT,O,X,O,X,O,X,O,O,X,X
LSJZTIO,X,X,O,X,X,X,X,X,X,X
LSJZTOI,O,X,O,X,O,X,X,X,X,X
LSJZITO,X,X,O,X,X,X,X,X,X,X
LSJZIOT,O,X,O,X,O,X,X,X,X,X
LSJZOTI,O,X,O,X,O,X,X,X,X,X
LSJZOIT,O,X,O,X,O,X,X,X,X,X
LSJOTIZ,X,X,X,X,X,X,X,X,X,X
LSJOTZI,O,X,O,X,O,X,X,X,X,X
LSJOITZ,X,X,X,X,X,X,O,O,X,X
LSJOIZT,O,X,X,X,O,X,O,O,X,X
LSJOZTI,O,X,O,X,O,X,X,X,X,X
LSJOZIT,O,X,O,X,O,X,X,X,X,X
LSZTIJO,X,X,X,X,X,X,X,X,X,X
LSZTIOJ,X,X,X,X,X,X,X,X,X,X
LSZTJIO,X,X,X,X,X,X,X,X,X,X
LSZTJOI,O,X,X,X,O,X,X,X,X,X
LSZTOIJ,X,X,X,X,X,X,X,X,X,X
LSZTOJI,O,X,X,X,O,X,X,X,X,X
LSZITJO,X,X,X,X,X,X,X,X,X,X
LSZITOJ,X,X,X,X,X,X,X,X,X,X
LSZIJTO,X,X,X,X,X,X,X,X,X,X
LSZIJOT,O,X,X,X,O,X,O,X,X,X
LSZIOTJ,X,X,X,X,X,X,X,X,X,X
LSZIOJT,O,X,X,X,O,X,O,X,X,X
LSZJTIO,X,X,X,X,X,X,X,X,X,X
LSZJTOI,O,X,X,X,O,X,X,X,X,X
LSZJITO,X,X,X,X,X,X,X,X,X,X
LSZJIOT,O,X,X,X,O,X,X,X,X,X
LSZJOTI,O,X,X,X,O,X,X,X,X,X
LSZJOIT,O,X,X,X,O,X,X,X,X,X
LSZOTIJ,X,X,X,X,X,X,X,X,X,X
LSZOTJI,O,X,X,X,O,X,X,X,X,X
LSZOITJ,X,X,X,X,X,X,X,X,X,X
LSZOIJT,O,X,X,X,O,X,O,X,X,X
LSZOJTI,O,X,X,X,O,X,X,X,X,X
LSZOJIT,O,X,X,X,O,X,X,X,X,X
LSOTIJZ,X,X,X,X,X,X,O,X,X,X
LSOTIZJ,X,X,X,X,X,X,X,X,X,X
LSOTJIZ,X,X,X,X,X,X,X,X,X,X
LSOTJZI,O,X,O,X,O,X,X,X,X,X
LSOTZIJ,X,X,X,X,X,X,X,X,X,X
LSOTZJI,O,X,X,X,O,X,X,X,X,X
LSOITJZ,X,X,X,X,X,X,O,X,X,X
LSOITZJ,X,X,X,O,X,X,X,X,X,X
LSOIJTZ,X,X,X,X,X,X,O,O,X,X
