sequence,v115@vhGc/I5oB6rBmnBTpB3qB0sB,v115@vhG8/IZkBasBusBctBzpBXrB,v115@vhGz8I5oBOpBXlB0mBUrByxB,v115@vhH+CJzfBKpBUmB/tBFqB0sBRwB,v115@vhGz7IWnBKpBUmB/tB0sBRwB,v115@vhG0AJ5oB3mBatB2uB0qBTsB,v115@vhG8AJZkBzkBusBctB3qBywB
LSJITOZ,O,O,X,X,X,X,O
LSJIZTO,X,X,O,O,O,X,O
LSJIZOT,O,O,O,O,O,O,O
LSJIOTZ,O,O,X,X,X,O,O
LSJIOZT,O,O,O,O,O,O,O
LSJZTIO,X,X,O,X,X,X,O
LSJZTOI,X,X,O,X,X,X,O
LSJZITO,X,X,O,O,O,X,O
LSJZIOT,O,O,O,O,O,O,O
LSJZOTI,O,O,O,X,X,O,O
LSJZOIT,O,O,O,X,X,O,O
LSJOTIZ,O,O,X,X,X,O,O
LSJOTZI,O,O,X,X,X,O,O
LSJOITZ,O,O,X,X,X,O,O
LSJOIZT,O,O,O,O,O,O,O
LSJOZTI,O,O,O,X,X,O,O
LSJOZIT,O,O,O,X,X,O,O
LSZTIJO,X,X,O,X,X,X,O
LSZTIOJ,X,X,O,X,X,X,O
LSZTJIO,X,X,O,X,X,X,O
LSZTJOI,X,X,O,X,X,X,O
LSZTOIJ,X,X,O,X,X,X,O
LSZTOJI,X,X,O,X,X,X,O
LSZITJO,X,X,O,O,O,X,O
LSZITOJ,X,X,O,X,O,X,O
LSZIJTO,X,X,O,O,O,X,O
LSZIJOT,O,O,O,O,O,O,O
LSZIOTJ,O,O,O,X,O,O,O
LSZIOJT,O,O,O,O,O,O,O
LSZJTIO,X,X,O,X,X,X,O
LSZJTOI,X,X,O,X,X,X,O
LSZJITO,X,X,O,O,O,X,O
LSZJIOT,O,O,O,O,O,O,O
LSZJOTI,O,O,O,X,X,O,O
LSZJOIT,O,O,O,X,X,O,O
LSZOTIJ,O,O,O,X,X,O,O
LSZOTJI,O,O,O,X,X,O,O
LSZOITJ,O,O,O,X,X,O,O
LSZOIJT,O,O,O,X,X,O,O
LSZOJTI,O,O,O,X,X,O,O
LSZOJIT,O,O,O,X,X,O,O
LSOTIJZ,O,O,X,X,X,O,O
LSOTIZJ,O,O,X,X,X,O,O
LSOTJIZ,O,O,X,X,X,O,O
LSOTJZI,O,O,X,X,X,O,O
LSOTZIJ,O,O,X,X,X,O,O
LSOTZJI,O,O,X,X,X,O,O
LSOITJZ,O,O,X,X,X,O,O
LSOITZJ,O,O,X,X,X,O,O
LSOIJTZ,O,O,X,X,X,O,O
LSOIJZT,O,O,O,O,O,O,O
LSOIZTJ,O,O,O,X,O,O,O
LSOIZJT,O,O,O,O,O,O,O
LSOJTIZ,O,O,X,X,X,O,O
LSOJTZI,O,O,X,X,X,O,O
LSOJITZ,O,O,X,X,X,O,O
LSOJIZT,O,O,O,O,O,O,O
LSOJZTI,O,O,O,X,X,O,O
LSOJZIT,O,O,O,X,X,O,O
LSOZTIJ,O,O,O,X,X,O,O
LSOZTJI,O,O,O,X,X,O,O
LSOZITJ,O,O,O,X,X,O,O
LSOZIJT,O,O,O,X,X,O,O
LSOZJTI,O,O,O,X,X,O,O
LSOZJIT,O,O,O,X,X,O,O
LZTIJSO,X,X,O,X,X,X,X
LZTIJOS,X,X,O,X,X,O,X
LZTISJO,X,X,O,X,X,X,X
LZTISOJ,X,X,O,X,X,X,X
LZTIOJS,X,X,O,X,X,O,X
LZTIOSJ,X,X,O,X,X,O,X
LZTJISO,X,X,O,X,X,X,X
LZTJIOS,X,X,O,X,X,O,X
LZTJSIO,X,X,O,X,X,X,X
LZTJSOI,X,X,O,X,X,X,X
LZTJOIS,X,X,O,X,X,O,X
LZTJOSI,X,X,O,X,X,O,X
LZTSIJO,X,X,O,X,X,X,X
LZTSIOJ,X,X,O,X,X,X,X
LZTSJIO,X,X,O,X,X,X,X
LZTSJOI,X,X,O,X,X,X,X
LZTSOIJ,X,X,O,X,X,X,X
LZTSOJI,X,X,O,X,X,X,X
LZTOIJS,X,X,O,X,X,O,X
LZTOISJ,X,X,O,X,X,O,X
LZTOJIS,X,X,O,X,X,O,X
LZTOJSI,X,X,O,X,X,O,X
LZTOSIJ,X,X,O,X,X,O,X
LZTOSJI,X,X,O,X,X,O,X
LZITJSO,X,X,O,O,O,X,X
LZITJOS,X,X,O,X,O,O,X
LZITSJO,X,X,O,O,O,X,X
LZITSOJ,X,X,O,X,O,X,X
LZITOJS,X,X,O,X,O,O,X
LZITOSJ,X,X,O,X,O,O,X
LZIJTSO,X,X,O,O,O,X,X
LZIJTOS,X,X,O,X,O,O,X
LZIJSTO,X,X,O,O,O,X,O
LZIJSOT,O,O,O,O,O,O,O
LZIJOTS,O,O,O,X,O,O,X
LZIJOST,O,O,O,O,O,O,X
LZISTJO,X,X,O,O,O,X,O
LZISTOJ,X,X,O,X,O,X,O
LZISJTO,X,X,O,O,O,X,O
LZISJOT,O,O,O,O,O,O,O
LZISOTJ,O,O,O,X,O,O,O
LZISOJT,O,O,O,O,O,O,O
LZIOTJS,O,O,O,X,O,O,X
LZIOTSJ,O,O,O,X,O,O,X
LZIOJTS,O,O,O,X,O,O,X
LZIOJST,O,O,O,O,O,O,X
LZIOSTJ,O,O,O,X,O,O,X
LZIOSJT,O,O,O,O,O,O,X
LZJTISO,X,X,O,X,X,X,X
LZJTIOS,X,X,O,X,X,O,X
LZJTSIO,X,X,O,X,X,X,X
LZJTSOI,X,X,O,X,X,X,X
LZJTOIS,X,X,O,X,X,O,X
LZJTOSI,X,X,O,X,X,O,X
LZJITSO,X,X,O,O,O,X,X
LZJITOS,X,X,O,X,O,O,X
LZJISTO,X,X,O,O,O,X,O
LZJISOT,O,O,O,O,O,O,O
LZJIOTS,O,O,O,X,O,O,X
LZJIOST,O,O,O,O,O,O,X
LZJSTIO,X,X,O,X,X,X,O
LZJSTOI,X,X,O,X,X,X,O
LZJSITO,X,X,O,O,O,X,O
LZJSIOT,O,O,O,O,O,O,O
LZJSOTI,O,O,O,X,X,O,O
LZJSOIT,O,O,O,X,X,O,O
LZJOTIS,O,O,O,X,X,O,X
LZJOTSI,O,O,O,X,X,O,X
LZJOITS,O,O,O,X,X,O,X
LZJOIST,O,O,O,X,X,O,X
LZJOSTI,O,O,O,X,X,O,X
LZJOSIT,O,O,O,X,X,O,X
LZSTIJO,X,X,O,X,X,X,O
LZSTIOJ,X,X,O,X,X,X,O
LZSTJIO,X,X,O,X,X,X,O
LZSTJOI,X,X,O,X,X,X,O
LZSTOIJ,X,X,O,X,X,X,O
LZSTOJI,X,X,O,X,X,X,O
LZSITJO,X,X,O,O,O,X,O
LZSITOJ,X,X,O,X,O,X,O
LZSIJTO,X,X,O,O,O,X,O
LZSIJOT,O,O,O,O,O,O,O
LZSIOTJ,O,O,O,X,O,O,O
LZSIOJT,O,O,O,O,O,O,O
LZSJTIO,X,X,O,X,X,X,O
LZSJTOI,X,X,O,X,X,X,O
LZSJITO,X,X,O,O,O,X,O
LZSJIOT,O,O,O,O,O,O,O
LZSJOTI,O,O,O,X,X,O,O
LZSJOIT,O,O,O,X,X,O,O
LZSOTIJ,O,O,O,X,X,O,O
LZSOTJI,O,O,O,X,X,O,O
LZSOITJ,O,O,O,X,X,O,O
LZSOIJT,O,O,O,X,X,O,O
LZSOJTI,O,O,O,X,X,O,O
LZSOJIT,O,O,O,X,X,O,O
LZOTIJS,O,O,O,X,X,O,X
LZOTISJ,O,O,O,X,X,O,X
LZOTJIS,O,O,O,X,X,O,X
LZOTJSI,O,O,O,X,X,O,X
LZOTSIJ,O,O,O,X,X,O,X
LZOTSJI,O,O,O,X,X,O,X
LZOITJS,O,O,O,X,X,O,X
LZOITSJ,O,O,O,X,X,O,X
LZOIJTS,O,O,O,X,X,O,X
LZOIJST,O,O,O,X,X,O,X
LZOISTJ,O,O,O,X,X,O,X
LZOISJT,O,O,O,X,X,O,X
LZOJTIS,O,O,O,X,X,O,X
LZOJTSI,O,O,O,X,X,O,X
LZOJITS,O,O,O,X,X,O,X
LZOJIST,O,O,O,X,X,O,X
LZOJSTI,O,O,O,X,X,O,X
LZOJSIT,O,O,O,X,X,O,X
LZOSTIJ,O,O,O,X,X,O,X
LZOSTJI,O,O,O,X,X,O,X
LZOSITJ,O,O,O,X,X,O,X
LZOSIJT,O,O,O,X,X,O,X
LZOSJTI,O,O,O,X,X,O,X
LZOSJIT,O,O,O,X,X,O,X
LOTIJSZ,O,O,X,X,X,O,X
LOTIJZS,O,O,O,X,X,O,X
LOTISJZ,O,O,X,X,X,O,X
LOTISZJ,O,O,X,X,X,O,X
LOTIZJS,O,O,O,X,X,O,X
LOTIZSJ,O,O,O,X,X,O,X
LOTJISZ,O,O,X,X,X,O,X
LOTJIZS,O,O,O,X,X,O,X
LOTJSIZ,O,O,X,X,X,O,X
LOTJSZI,O,O,X,X,X,O,X
LOTJZIS,O,O,O,X,X,O,X
LOTJZSI,O,O,O,X,X,O,X
LOTSIJZ,O,O,X,X,X,O,X
LOTSIZJ,O,O,X,X,X,O,X
LOTSJIZ,O,O,X,X,X,O,X
LOTSJZI,O,O,X,X,X,O,X
LOTSZIJ,O,O,X,X,X,O,X
LOTSZJI,O,O,X,X,X,O,X
LOTZIJS,O,O,O,X,X,O,X
LOTZISJ,O,O,O,X,X,O,X
LOTZJIS,O,O,O,X,X,O,X
LOTZJSI,O,O,O,X,X,O,X
LOTZSIJ,O,O,O,X,X,O,X
LOTZSJI,O,O,O,X,X,O,X
LOITJSZ,O,O,X,X,X,O,X
LOITJZS,O,O,O,X,X,O,X
LOITSJZ,O,O,X,X,X,O,X
LOITSZJ,O,O,X,X,X,O,X
LOITZJS,O,O,O,X,X,O,X
LOITZSJ,O,O,O,X,X,O,X
LOIJTSZ,O,O,X,X,X,O,X
LOIJTZS,O,O,O,X,X,O,X
LOIJSTZ,O,O,X,X,X,O,O
LOIJSZT,O,O,O,O,O,O,O
LOIJZTS,O,O,O,X,O,O,X
LOIJZST,O,O,O,O,O,O,X
LOISTJZ,O,O,X,X,X,O,O
LOISTZJ,O,O,X,X,X,O,O
LOISJTZ,O,O,X,X,X,O,O
LOISJZT,O,O,O,O,O,O,O
LOISZTJ,O,O,O,X,O,O,O
LOISZJT,O,O,O,O,O,O,O
LOIZTJS,O,O,O,X,O,O,X
LOIZTSJ,O,O,O,X,O,O,X
LOIZJTS,O,O,O,X,O,O,X
LOIZJST,O,O,O,O,O,O,X
LOIZSTJ,O,O,O,X,O,O,X
LOIZSJT,O,O,O,O,O,O,X
LOJTISZ,O,O,X,X,X,O,X
LOJTIZS,O,O,O,X,X,O,X
LOJTSIZ,O,O,X,X,X,O,X
LOJTSZI,O,O,X,X,X,O,X
LOJTZIS,O,O,O,X,X,O,X
LOJTZSI,O,O,O,X,X,O,X
LOJITSZ,O,O,X,X,X,O,X
LOJITZS,O,O,O,X,X,O,X
LOJISTZ,O,O,X,X,X,O,O
LOJISZT,O,O,O,O,O,O,O
LOJIZTS,O,O,O,X,O,O,X
LOJIZST,O,O,O,O,O,O,X
LOJSTIZ,O,O,X,X,X,O,O
LOJSTZI,O,O,X,X,X,O,O
LOJSITZ,O,O,X,X,X,O,O
LOJSIZT,O,O,O,O,O,O,O
LOJSZTI,O,O,O,X,X,O,O
LOJSZIT,O,O,O,X,X,O,O
LOJZTIS,O,O,O,X,X,O,X
LOJZTSI,O,O,O,X,X,O,X
LOJZITS,O,O,O,X,X,O,X
LOJZIST,O,O,O,X,X,O,X
LOJZSTI,O,O,O,X,X,O,X
LOJZSIT,O,O,O,X,X,O,X
LOSTIJZ,O,O,X,X,X,O,O
LOSTIZJ,O,O,X,X,X,O,O
LOSTJIZ,O,O,X,X,X,O,O
LOSTJZI,O,O,X,X,X,O,O
LOSTZIJ,O,O,X,X,X,O,O
LOSTZJI,O,O,X,X,X,O,O
LOSITJZ,O,O,X,X,X,O,O
LOSITZJ,O,O,X,X,X,O,O
LOSIJTZ,O,O,X,X,X,O,O
LOSIJZT,O,O,O,O,O,O,O
LOSIZTJ,O,O,O,X,O,O,O
LOSIZJT,O,O,O,O,O,O,O
LOSJTIZ,O,O,X,X,X,O,O
LOSJTZI,O,O,X,X,X,O,O
LOSJITZ,O,O,X,X,X,O,O
LOSJIZT,O,O,O,O,O,O,O
LOSJZTI,O,O,O,X,X,O,O
LOSJZIT,O,O,O,X,X,O,O
LOSZTIJ,O,O,O,X,X,O,O
LOSZTJI,O,O,O,X,X,O,O
LOSZITJ,O,O,O,X,X,O,O
LOSZIJT,O,O,O,X,X,O,O
LOSZJTI,O,O,O,X,X,O,O
LOSZJIT,O,O,O,X,X,O,O
LOZTIJS,O,O,O,X,X,O,X
LOZTISJ,O,O,O,X,X,O,X
LOZTJIS,O,O,O,X,X,O,X
LOZTJSI,O,O,O,X,X,O,X
LOZTSIJ,O,O,O,X,X,O,X
LOZTSJI,O,O,O,X,X,O,X
LOZITJS,O,O,O,X,X,O,X
LOZITSJ,O,O,O,X,X,O,X
LOZIJTS,O,O,O,X,X,O,X
LOZIJST,O,O,O,X,X,O,X
LOZISTJ,O,O,O,X,X,O,X
LOZISJT,O,O,O,X,X,O,X
LOZJTIS,O,O,O,X,X,O,X
LOZJTSI,O,O,O,X,X,O,X
LOZJITS,O,O,O,X,X,O,X
LOZJIST,O,O,O,X,X,O,X
LOZJSTI,O,O,O,X,X,O,X
LOZJSIT,O,O,O,X,X,O,X
LOZSTIJ,O,O,O,X,X,O,X
LOZSTJI,O,O,O,X,X,O,X
LOZSITJ,O,O,O,X,X,O,X
LOZSIJT,O,O,O,X,X,O,X
LOZSJTI,O,O,O,X,X,O,X
LOZSJIT,O,O,O,X,X,O,X
JTILSZO,X,X,O,O,O,X,O
JTILSOZ,O,O,X,X,X,X,O
JTILZSO,X,X,O,O,O,X,X
JTILZOS,X,X,O,X,O,O,X
JTILOSZ,O,O,X,X,X,O,X
JTILOZS,O,O,X,X,X,O,X
JTISLZO,X,X,O,O,O,X,O
JTISLOZ,O,O,X,X,X,X,O
JTISZLO,X,X,O,O,O,X,O
JTISZOL,X,X,O,X,O,O,O
JTISOLZ,O,O,X,X,X,O,O
JTISOZL,O,O,X,X,X,O,O
JTIZLSO,X,X,O,O,O,X,X
JTIZLOS,X,X,O,X,O,O,X
JTIZSLO,X,X,O,O,O,X,X
JTIZSOL,X,X,O,X,O,O,X
JTIZOLS,X,X,O,X,O,O,X
JTIZOSL,X,X,O,X,O,O,X
JTIOLSZ,O,O,X,X,X,O,X
JTIOLZS,O,O,X,X,X,O,X
JTIOSLZ,O,O,X,X,X,O,X
JTIOSZL,O,O,X,X,X,O,X
JTIOZLS,O,O,X,X,X,O,X
JTIOZSL,O,O,X,X,X,O,X
JTLISZO,X,X,O,O,O,X,O
JTLISOZ,O,O,X,X,X,X,O
JTLIZSO,X,X,O,O,O,X,X
JTLIZOS,X,X,O,X,O,O,X
JTLIOSZ,O,O,X,X,X,O,X
JTLIOZS,O,O,X,X,X,O,X
JTLSIZO,X,X,O,O,O,X,O
JTLSIOZ,O,O,X,X,X,X,O
JTLSZIO,X,X,O,X,X,X,O
JTLSZOI,X,X,O,X,X,X,O
JTLSOIZ,O,O,X,X,X,X,O
JTLSOZI,O,O,X,X,X,X,O
JTLZISO,X,X,O,X,X,X,X
JTLZIOS,X,X,O,X,X,O,X
JTLZSIO,X,X,O,X,X,X,X
JTLZSOI,X,X,O,X,X,X,X
JTLZOIS,X,X,O,X,X,O,X
JTLZOSI,X,X,O,X,X,O,X
JTLOISZ,O,O,X,X,X,O,X
JTLOIZS,O,O,X,X,X,O,X
JTLOSIZ,O,O,X,X,X,O,X
JTLOSZI,O,O,X,X,X,O,X
JTLOZIS,O,O,X,X,X,O,X
JTLOZSI,O,O,X,X,X,O,X
JTSILZO,X,X,O,O,O,X,O
JTSILOZ,O,O,X,X,X,X,O
JTSIZLO,X,X,O,O,O,X,O
JTSIZOL,X,X,O,X,O,O,O
JTSIOLZ,O,O,X,X,X,O,O
JTSIOZL,O,O,X,X,X,O,O
JTSLIZO,X,X,O,O,O,X,O
JTSLIOZ,O,O,X,X,X,X,O
JTSLZIO,X,X,O,X,X,X,O
JTSLZOI,X,X,O,X,X,X,O
JTSLOIZ,O,O,X,X,X,X,O
JTSLOZI,O,O,X,X,X,X,O
JTSZILO,X,X,O,X,X,X,O
JTSZIOL,X,X,O,X,X,O,O
JTSZLIO,X,X,O,X,X,X,O
JTSZLOI,X,X,O,X,X,X,O
JTSZOIL,X,X,O,X,X,O,O
JTSZOLI,X,X,O,X,X,O,O
JTSOILZ,O,O,X,X,X,O,O
JTSOIZL,O,O,X,X,X,O,O
JTSOLIZ,O,O,X,X,X,O,O
JTSOLZI,O,O,X,X,X,O,O
JTSOZIL,O,O,X,X,X,O,O
JTSOZLI,O,O,X,X,X,O,O
JTZILSO,X,X,O,X,X,X,X
JTZILOS,X,X,O,X,X,O,X
JTZISLO,X,X,O,X,X,X,X
JTZISOL,X,X,O,X,X,O,X
JTZIOLS,X,X,O,X,X,O,X
JTZIOSL,X,X,O,X,X,O,X
JTZLISO,X,X,O,X,X,X,X
JTZLIOS,X,X,O,X,X,O,X
JTZLSIO,X,X,O,X,X,X,X
JTZLSOI,X,X,O,X,X,X,X
JTZLOIS,X,X,O,X,X,O,X
JTZLOSI,X,X,O,X,X,O,X
JTZSILO,X,X,O,X,X,X,X
JTZSIOL,X,X,O,X,X,O,X
JTZSLIO,X,X,O,X,X,X,X
JTZSLOI,X,X,O,X,X,X,X
JTZSOIL,X,X,O,X,X,O,X
JTZSOLI,X,X,O,X,X,O,X
JTZOILS,X,X,O,X,X,O,X
JTZOISL,X,X,O,X,X,O,X
JTZOLIS,X,X,O,X,X,O,X
JTZOLSI,X,X,O,X,X,O,X
JTZOSIL,X,X,O,X,X,O,X
JTZOSLI,X,X,O,X,X,O,X
JTOILSZ,O,O,X,X,X,O,X
JTOILZS,O,O,X,X,X,O,X
JTOISLZ,O,O,X,X,X,O,X
JTOISZL,O,O,X,X,X,O,X
JTOIZLS,O,O,X,X,X,O,X
JTOIZSL,O,O,X,X,X,O,X
JTOLISZ,O,O,X,X,X,O,X
JTOLIZS,O,O,X,X,X,O,X
JTOLSIZ,O,O,X,X,X,O,X
JTOLSZI,O,O,X,X,X,O,X
JTOLZIS,O,O,X,X,X,O,X
JTOLZSI,O,O,X,X,X,O,X
JTOSILZ,O,O,X,X,X,O,X
JTOSIZL,O,O,X,X,X,O,X
JTOSLIZ,O,O,X,X,X,O,X
JTOSLZI,O,O,X,X,X,O,X
JTOSZIL,O,O,X,X,X,O,X
JTOSZLI,O,O,X,X,X,O,X
JTOZILS,O,O,X,X,X,O,X
JTOZISL,O,O,X,X,X,O,X
JTOZLIS,O,O,X,X,X,O,X
JTOZLSI,O,O,X,X,X,O,X
JTOZSIL,O,O,X,X,X,O,X
JTOZSLI,O,O,X,X,X,O,X
JITLSZO,X,X,O,O,O,X,O
JITLSOZ,O,O,X,X,X,X,O
JITLZSO,X,X,O,O,O,X,X
JITLZOS,X,X,O,X,O,O,X
JITLOSZ,O,O,X,X,X,O,X
JITLOZS,O,O,X,X,X,O,X
JITSLZO,X,X,O,O,O,X,O
JITSLOZ,O,O,X,X,X,X,O
JITSZLO,X,X,O,O,O,X,O
JITSZOL,X,X,O,X,O,O,O
JITSOLZ,O,O,X,X,X,O,O
JITSOZL,O,O,X,X,X,O,O
JITZLSO,X,X,O,O,O,X,X
JITZLOS,X,X,O,X,O,O,X
JITZSLO,X,X,O,O,O,X,X
JITZSOL,X,X,O,X,O,O,X
JITZOLS,X,X,O,X,O,O,X
JITZOSL,X,X,O,X,O,O,X
JITOLSZ,O,O,X,X,X,O,X
JITOLZS,O,O,X,X,X,O,X
JITOSLZ,O,O,X,X,X,O,X
JITOSZL,O,O,X,X,X,O,X
JITOZLS,O,O,X,X,X,O,X
JITOZSL,O,O,X,X,X,O,X
JILTSZO,X,X,O,O,O,X,O
JILTSOZ,O,O,X,X,X,X,O
JILTZSO,X,X,O,O,O,X,X
JILTZOS,X,X,O,X,O,O,X
JILTOSZ,O,O,X,X,X,O,X
JILTOZS,O,O,O,X,X,O,X
JILSTZO,X,X,O,O,O,X,O
JILSTOZ,O,O,X,X,X,X,O
JILSZTO,X,X,O,O,O,X,O
JILSZOT,O,O,O,O,O,O,O
JILSOTZ,O,O,X,X,X,O,O
JILSOZT,O,O,O,O,O,O,O
JILZTSO,X,X,O,O,O,X,X
JILZTOS,X,X,O,X,O,O,X
JILZSTO,X,X,O,O,O,X,O
JILZSOT,O,O,O,O,O,O,O
JILZOTS,O,O,O,X,O,O,X
JILZOST,O,O,O,O,O,O,X
JILOTSZ,O,O,X,X,X,O,X
JILOTZS,O,O,O,X,X,O,X
JILOSTZ,O,O,X,X,X,O,O
JILOSZT,O,O,O,O,O,O,O
JILOZTS,O,O,O,X,O,O,X
JILOZST,O,O,O,O,O,O,X
JISTLZO,X,X,O,O,O,X,O
JISTLOZ,O,O,X,X,X,X,O
JISTZLO,X,X,O,O,O,X,O
JISTZOL,X,X,O,X,O,O,O
JISTOLZ,O,O,X,X,X,O,O
JISTOZL,O,O,X,X,X,O,O
JISLTZO,X,X,O,O,O,X,O
JISLTOZ,O,O,X,X,X,X,O
JISLZTO,X,X,O,O,O,X,O
JISLZOT,O,O,O,O,O,O,O
JISLOTZ,O,O,X,X,X,O,O
JISLOZT,O,O,O,O,O,O,O
JISZTLO,X,X,O,O,O,X,O
JISZTOL,X,X,O,X,O,O,O
JISZLTO,X,X,O,O,O,X,O
JISZLOT,O,O,O,O,O,O,O
JISZOTL,O,O,O,X,O,O,O
JISZOLT,O,O,O,O,O,O,O
JISOTLZ,O,O,X,X,X,O,O
JISOTZL,O,O,X,X,X,O,O
JISOLTZ,O,O,X,X,X,O,O
JISOLZT,O,O,O,O,O,O,O
JISOZTL,O,O,O,X,O,O,O
JISOZLT,O,O,O,O,O,O,O
JIZTLSO,X,X,O,O,O,X,X
JIZTLOS,X,X,O,X,O,O,X
JIZTSLO,X,X,O,O,O,X,X
JIZTSOL,X,X,O,X,O,O,X
JIZTOLS,X,X,O,X,O,O,X
JIZTOSL,X,X,O,X,O,O,X
JIZLTSO,X,X,O,O,O,X,X
JIZLTOS,X,X,O,X,O,O,X
JIZLSTO,X,X,O,O,O,X,O
JIZLSOT,O,O,O,O,O,O,O
JIZLOTS,O,O,O,X,O,O,X
JIZLOST,O,O,O,O,O,O,X
JIZSTLO,X,X,O,O,O,X,O
JIZSTOL,X,X,O,X,O,O,O
JIZSLTO,X,X,O,O,O,X,O
JIZSLOT,O,O,O,O,O,O,O
JIZSOTL,O,O,O,X,O,O,O
JIZSOLT,O,O,O,O,O,O,O
JIZOTLS,O,O,O,X,O,O,X
JIZOTSL,O,O,O,X,O,O,X
JIZOLTS,O,O,O,X,O,O,X
JIZOLST,O,O,O,O,O,O,X
JIZOSTL,O,O,O,X,O,O,X
JIZOSLT,O,O,O,O,O,O,X
JIOTLSZ,O,O,X,X,X,O,X
JIOTLZS,O,O,X,X,X,O,X
JIOTSLZ,O,O,X,X,X,O,X
JIOTSZL,O,O,X,X,X,O,X
JIOTZLS,O,O,X,X,X,O,X
JIOTZSL,O,O,X,X,X,O,X
JIOLTSZ,O,O,X,X,X,O,X
JIOLTZS,O,O,X,X,X,O,X
JIOLSTZ,O,O,X,X,X,O,O
JIOLSZT,O,O,O,O,O,O,O
JIOLZTS,O,O,O,X,O,O,X
JIOLZST,O,O,O,O,O,O,X
JIOSTLZ,O,O,X,X,X,O,O
JIOSTZL,O,O,X,X,X,O,O
JIOSLTZ,O,O,X,X,X,O,O
JIOSLZT,O,O,O,O,O,O,O
JIOSZTL,O,O,O,X,O,O,O
JIOSZLT,O,O,O,O,O,O,O
JIOZTLS,O,O,O,X,O,O,X
JIOZTSL,O,O,O,X,O,O,X
JIOZLTS,O,O,O,X,O,O,X
JIOZLST,O,O,O,O,O,O,X
JIOZSTL,O,O,O,X,O,O,X
JIOZSLT,O,O,O,O,O,O,X
JLTISZO,X,X,O,O,O,X,O
JLTISOZ,O,O,X,X,X,X,O
JLTIZSO,X,X,O,O,O,X,X
JLTIZOS,X,X,O,X,O,O,X
JLTIOSZ,O,O,X,X,X,O,X
JLTIOZS,O,O,O,X,X,O,X
JLTSIZO,X,X,O,O,O,X,O
JLTSIOZ,O,O,X,X,X,X,O
JLTSZIO,X,X,O,X,X,X,O
JLTSZOI,X,X,O,X,X,X,O
JLTSOIZ,O,O,X,X,X,X,O
JLTSOZI,O,O,X,X,X,X,O
JLTZISO,X,X,O,X,X,X,X
JLTZIOS,X,X,O,X,X,O,X
JLTZSIO,X,X,O,X,X,X,X
JLTZSOI,X,X,O,X,X,X,X
JLTZOIS,X,X,O,X,X,O,X
JLTZOSI,X,X,O,X,X,O,X
JLTOISZ,O,O,X,X,X,O,X
JLTOIZS,O,O,O,X,X,O,X
JLTOSIZ,O,O,X,X,X,O,X
JLTOSZI,O,O,X,X,X,O,X
JLTOZIS,O,O,O,X,X,O,X
JLTOZSI,O,O,O,X,X,O,X
JLITSZO,X,X,O,O,O,X,O
JLITSOZ,O,O,X,X,X,X,O
JLITZSO,X,X,O,O,O,X,X
JLITZOS,X,X,O,X,O,O,X
JLITOSZ,O,O,X,X,X,O,X
JLITOZS,O,O,O,X,X,O,X
JLISTZO,X,X,O,O,O,X,O
JLISTOZ,O,O,X,X,X,X,O
JLISZTO,X,X,O,O,O,X,O
JLISZOT,O,O,O,O,O,O,O
JLISOTZ,O,O,X,X,X,O,O
JLISOZT,O,O,O,O,O,O,O
JLIZTSO,X,X,O,O,O,X,X
JLIZTOS,X,X,O,X,O,O,X
JLIZSTO,X,X,O,O,O,X,O
JLIZSOT,O,O,O,O,O,O,O
JLIZOTS,O,O,O,X,O,O,X
JLIZOST,O,O,O,O,O,O,X
JLIOTSZ,O,O,X,X,X,O,X
JLIOTZS,O,O,O,X,X,O,X
JLIOSTZ,O,O,X,X,X,O,O
JLIOSZT,O,O,O,O,O,O,O
JLIOZTS,O,O,O,X,O,O,X
JLIOZST,O,O,O,O,O,O,X
JLSTIZO,X,X,O,O,O,X,O
JLSTIOZ,O,O,X,X,X,X,O
JLSTZIO,X,X,O,X,X,X,O
JLSTZOI,X,X,O,X,X,X,O
JLSTOIZ,O,O,X,X,X,X,O
JLSTOZI,O,O,X,X,X,X,O
JLSITZO,X,X,O,O,O,X,O
JLSITOZ,O,O,X,X,X,X,O
JLSIZTO,X,X,O,O,O,X,O
JLSIZOT,O,O,O,O,O,O,O
JLSIOTZ,O,O,X,X,X,O,O
JLSIOZT,O,O,O,O,O,O,O
JLSZTIO,X,X,O,X,X,X,O
JLSZTOI,X,X,O,X,X,X,O
JLSZITO,X,X,O,O,O,X,O
JLSZIOT,O,O,O,O,O,O,O
JLSZOTI,O,O,O,X,X,O,O
JLSZOIT,O,O,O,X,X,O,O
JLSOTIZ,O,O,X,X,X,O,O
JLSOTZI,O,O,X,X,X,O,O
JLSOITZ,O,O,X,X,X,O,O
JLSOIZT,O,O,O,O,O,O,O
JLSOZTI,O,O,O,X,X,O,O
JLSOZIT,O,O,O,X,X,O,O
JLZTISO,X,X,O,X,X,X,X
JLZTIOS,X,X,O,X,X,O,X
JLZTSIO,X,X,O,X,X,X,X
JLZTSOI,X,X,O,X,X,X,X
JLZTOIS,X,X,O,X,X,O,X
JLZTOSI,X,X,O,X,X,O,X
JLZITSO,X,X,O,O,O,X,X
JLZITOS,X,X,O,X,O,O,X
JLZISTO,X,X,O,O,O,X,O
JLZISOT,O,O,O,O,O,O,O
JLZIOTS,O,O,O,X,O,O,X
JLZIOST,O,O,O,O,O,O,X
JLZSTIO,X,X,O,X,X,X,O
