sequence,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeF7IvhF0cB6iB3gBT?mB2sBxwB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFGcBTdBylB3?mB1sBxwB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeF7IvhFxcB3gBqnBm?mBTrBUsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFFcBXdBqnBm?lBzmBxwB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeR7IvhFSiBTgB/mBU?iB2wBlsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeR7IvhFWiBigBFmB0?nB3rBTsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeaAJvhFzbBWiBFmBX?nB0nBxwB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFWiBZmB3gBT?iBqrBlsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFzcB+iBZmB3?gBqrBlsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeR7IvhFTgBcnBOrBl?mB3sBCsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeaAJvhFxcBGhBTiB0?rBlsBfrB,v115@zgA8GeD8FeD8FeF8EeE8DeB8Je37IvhFWiBZmBUgBT?iBqrBlsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8Je/BJvhF0gBZnBqnBF?gBTrBGsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeaAJvhFxhB0rBlsBf?rBGrBTsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFmhBqnBxlBF?mB3rBTsB
ZIJSTOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIJSLTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
ZIJSLOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZIJSOTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIJSOLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIJOTLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIJOTSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZIJOLTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIJOLST,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIJOSTL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZIJOSLT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZISTLJO,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O
ZISTLOJ,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZISTJLO,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZISTJOL,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
ZISTOLJ,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZISTOJL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZISLTJO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,O
ZISLTOJ,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZISLJTO,O,O,X,O,X,O,O,O,X,X,X,O,X,X,O
ZISLJOT,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
ZISLOTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZISLOJT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZISJTLO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZISJTOL,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
ZISJLTO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O
ZISJLOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZISJOTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZISJOLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZISOTLJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZISOTJL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZISOLTJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZISOLJT,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O
ZISOJTL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZISOJLT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZIOTLJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOTLSJ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZIOTJLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOTJSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZIOTSLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOTSJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZIOLTJS,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X
ZIOLTSJ,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
ZIOLJTS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ZIOLJST,O,X,X,O,X,X,X,O,X,X,X,X,O,X,O
ZIOLSTJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZIOLSJT,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZIOJTLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOJTSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZIOJLTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOJLST,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOJSTL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZIOJSLT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZIOSTLJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZIOSTJL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZIOSLTJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZIOSLJT,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O
ZIOSJTL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZIOSJLT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLTIJSO,X,O,X,O,X,O,X,O,O,X,X,O,X,X,O
ZLTIJOS,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X
ZLTISJO,X,O,X,O,X,O,O,O,O,X,X,O,X,O,X
ZLTISOJ,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X
ZLTIOJS,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X
ZLTIOSJ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
ZLTJISO,X,O,X,O,X,O,X,O,O,X,X,O,X,X,X
ZLTJIOS,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X
ZLTJSIO,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X
ZLTJSOI,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
ZLTJOIS,X,O,X,X,X,X,O,O,O,X,O,X,X,X,X
ZLTJOSI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
ZLTSIJO,X,O,X,O,X,O,X,O,O,X,X,X,X,O,O
ZLTSIOJ,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X
ZLTSJIO,X,O,X,X,X,O,X,O,O,X,X,X,X,O,O
ZLTSJOI,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
ZLTSOIJ,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X
ZLTSOJI,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZLTOIJS,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
ZLTOISJ,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X
ZLTOJIS,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
ZLTOJSI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
ZLTOSIJ,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X
ZLTOSJI,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZLITJSO,X,O,X,O,X,O,X,O,O,X,X,O,X,X,O
ZLITJOS,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X
ZLITSJO,X,O,X,O,X,O,O,O,O,X,X,O,X,O,X
ZLITSOJ,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X
ZLITOJS,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X
ZLITOSJ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
ZLIJTSO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O
ZLIJTOS,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X
ZLIJSTO,X,O,X,O,X,O,X,O,X,X,X,O,X,X,O
ZLIJSOT,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
ZLIJOTS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ZLIJOST,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
ZLISTJO,X,O,X,O,X,O,O,O,O,X,X,O,X,X,O
ZLISTOJ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
ZLISJTO,X,O,X,O,X,X,O,O,X,X,X,O,X,X,O
ZLISJOT,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
ZLISOTJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLISOJT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZLIOTJS,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X
ZLIOTSJ,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
ZLIOJTS,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
ZLIOJST,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O
ZLIOSTJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZLIOSJT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZLJTISO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
ZLJTIOS,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X
ZLJTSIO,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X
ZLJTSOI,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
ZLJTOIS,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X
ZLJTOSI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
ZLJITSO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O
ZLJITOS,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X
ZLJISTO,X,O,X,O,X,O,X,O,X,X,X,O,X,X,O
ZLJISOT,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
ZLJIOTS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ZLJIOST,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
ZLJSTIO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZLJSTOI,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZLJSITO,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
ZLJSIOT,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
ZLJSOTI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLJSOIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZLJOTIS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLJOTSI,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLJOITS,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLJOIST,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
ZLJOSTI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLJOSIT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLSTIJO,X,X,X,O,X,O,X,O,O,X,X,X,X,O,O
ZLSTIOJ,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
ZLSTJIO,X,X,X,X,X,O,X,O,O,X,X,X,X,O,O
ZLSTJOI,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
ZLSTOIJ,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
ZLSTOJI,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZLSITJO,X,O,X,O,X,O,X,O,O,X,X,X,X,X,O
ZLSITOJ,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
ZLSIJTO,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
ZLSIJOT,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
ZLSIOTJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLSIOJT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZLSJTIO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZLSJTOI,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZLSJITO,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
ZLSJIOT,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
ZLSJOTI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSJOIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZLSOTIJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZLSOTJI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOITJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZLSOIJT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
ZLSOJTI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLSOJIT,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
ZLOTIJS,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X
ZLOTISJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZLOTJIS,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X
ZLOTJSI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
ZLOTSIJ,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
ZLOTSJI,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
ZLOITJS,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X
ZLOITSJ,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
ZLOIJTS,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
ZLOIJST,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O
ZLOISTJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZLOISJT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZLOJTIS,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
ZLOJTSI,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLOJITS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLOJIST,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X
ZLOJSTI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLOJSIT,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZLOSTIJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZLOSTJI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSITJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZLOSIJT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
ZLOSJTI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSJIT,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
ZJTILSO,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
ZJTILOS,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X
ZJTISLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTISOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTIOLS,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X
ZJTIOSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJTLISO,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X
ZJTLIOS,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X
ZJTLSIO,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X
ZJTLSOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
ZJTLOIS,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X
ZJTLOSI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
ZJTSILO,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X
ZJTSIOL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTSLIO,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X
ZJTSLOI,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X
ZJTSOIL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTSOLI,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X
ZJTOILS,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X
ZJTOISL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJTOLIS,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
ZJTOLSI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
ZJTOSIL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTOSLI,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X
ZJITLSO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJITLOS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJITSLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJITSOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJITOLS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJITOSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJILTSO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,O
ZJILTOS,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X
ZJILSTO,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
ZJILSOT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O
ZJILOTS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ZJILOST,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O
ZJISTLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJISTOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJISLTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
ZJISLOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZJISOTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJISOLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJIOTLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJIOTSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJIOLTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJIOLST,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJIOSTL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJIOSLT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJLTISO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X
ZJLTIOS,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X
ZJLTSIO,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X
ZJLTSOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
ZJLTOIS,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X
ZJLTOSI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
ZJLITSO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,O
ZJLITOS,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X
ZJLISTO,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
ZJLISOT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O
ZJLIOTS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ZJLIOST,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O
ZJLSTIO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZJLSTOI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJLSITO,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
ZJLSIOT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O
ZJLSOTI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJLSOIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJLOTIS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJLOTSI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJLOITS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJLOIST,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
ZJLOSTI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJLOSIT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZJSTILO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJSTIOL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSTLIO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJSTLOI,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
ZJSTOIL,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJSTOLI,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X
ZJSITLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJSITOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSILTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
ZJSILOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZJSIOTL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZJSIOLT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZJSLTIO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZJSLTOI,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJSLITO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZJSLIOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJSLOTI,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
ZJSLOIT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
ZJSOTIL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJSOTLI,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
ZJSOITL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJSOILT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJSOLTI,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
ZJSOLIT,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X
ZJOTILS,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJOTISL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJOTLIS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJOTLSI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJOTSIL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJOTSLI,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
ZJOITLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOITSL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJOILTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOILST,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOISTL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZJOISLT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZJOLTIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJOLTSI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJOLITS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOLIST,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZJOLSTI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJOLSIT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZJOSTIL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJOSTLI,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
ZJOSITL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJOSILT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJOSLTI,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
ZJOSLIT,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X
ZSTILJO,O,O,X,O,X,O,X,X,X,X,X,X,X,O,O
ZSTILOJ,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X
ZSTIJLO,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X
ZSTIJOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSTIOLJ,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X
ZSTIOJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTLIJO,O,O,X,X,X,O,X,O,O,X,X,X,X,O,O
ZSTLIOJ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X
ZSTLJIO,O,O,X,X,X,O,X,O,O,X,X,X,X,O,O
ZSTLJOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
ZSTLOIJ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X
ZSTLOJI,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZSTJILO,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X
ZSTJIOL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSTJLIO,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X
ZSTJLOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
ZSTJOIL,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ZSTJOLI,O,O,X,X,X,O,X,X,O,O,O,X,X,X,X
ZSTOILJ,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X
ZSTOIJL,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZSTOLIJ,O,O,O,X,X,O,X,X,X,X,X,X,O,O,X
ZSTOLJI,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZSTOJIL,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZSTOJLI,X,O,O,X,X,O,X,X,X,O,O,X,X,X,X
ZSITLJO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O
ZSITLOJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
ZSITJLO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSITJOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSITOLJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
ZSITOJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSILTJO,O,O,X,O,X,O,X,O,O,X,X,X,X,X,O
ZSILTOJ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSILJTO,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
ZSILJOT,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
ZSILOTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSILOJT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZSIJTLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSIJTOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSIJLTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
ZSIJLOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZSIJOTL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
