sequence,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFmdB5jB9nB0?mBKtBzrB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFeiBfjB6jBc?sB5mBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFCdBXiB8nB5?oBOtBzrB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFdiBzdB6rBc?sBOtB5oB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFCdBejB5jBX?iBzrBUtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFCdB8mBziB5?oBOtBXsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF5jBziBurBf?nBUtBisB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF5hB0dB6jB2?nBXsBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhF0dB9mBSoBx?sBesBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeT9IvhFOjBUhB5oBd?sBftB6rB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFXeBSoBUnB5?mBTtBOsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFzdB5jBUiBu?mBKtBXsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF5hBKiBGeBU?jBXsBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFqhBxdBXjB+?tB0nBzrB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF/iBTjBasB5?mBGoBUtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF+jBRiB3iBq?rBUnBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFRdB+jB3iBq?rBUnBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFajB5jBTiBf?sBUtBurB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF/iBcjBasB+?tB5mBzsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFRdB+jBUiBq?rB3nBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF0dBSoBurBx?sBfsBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF6jBXiB8nB5?mBOsBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFdiBqiBTeB+?tBRsB0rB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFcjBxmB+tBN?nBqrBzsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFGeBUjBxmBC?sBTtBdsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFzcB3iBqrBx?sBctBGtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFzcB+jB3iBq?rBxsBUtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFdiBCeBGoBR?sB0rBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF3dBWnB6tBR?sBctBzrB,v115@zgD8FeC8GeD8FeE8EeE8BeA8Le+DJvhFUhBRiB3iB6?rBNsBTtB
ZSTLIJO,O,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSTLIOJ,O,X,O,X,X,O,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTLJIO,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSTLJOI,O,O,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTLOIJ,O,X,O,X,X,O,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTLOJI,O,O,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTJILO,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTJIOL,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTJLIO,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSTJLOI,O,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTJOIL,X,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTJOLI,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTOILJ,X,O,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTOIJL,X,O,O,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTOLIJ,O,O,O,X,O,O,X,O,X,O,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTOLJI,O,O,O,X,O,O,X,O,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTOJIL,X,O,O,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTOJLI,X,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSITLJO,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSITLOJ,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSITJLO,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSITJOL,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSITOLJ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSITOJL,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSILTJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSILTOJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSILJTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILJOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILOTJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSILOJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJTLO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZSIJTOL,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZSIJLTO,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
ZSIJLOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSIJOTL,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZSIJOLT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSIOTLJ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOTJL,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOLTJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOLJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOJTL,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOJLT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTIJO,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSLTIOJ,O,X,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSLTJIO,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSLTJOI,O,O,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTOIJ,O,X,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSLTOJI,O,O,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLITJO,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSLITOJ,O,X,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSLIJTO,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLIJOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLIOTJ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLIOJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLJTIO,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSLJTOI,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLJITO,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLJIOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLJOTI,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLJOIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOTIJ,O,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSLOTJI,O,O,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOITJ,O,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOIJT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOJTI,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOJIT,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTILO,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSJTIOL,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTLIO,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSJTLOI,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTOIL,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTOLI,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJITLO,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ZSJITOL,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZSJILTO,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ZSJILOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSJIOTL,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZSJIOLT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSJLTIO,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSJLTOI,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJLITO,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSJLIOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSJLOTI,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJLOIT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJOTIL,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJOTLI,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJOITL,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJOILT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSJOLTI,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJOLIT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOTILJ,X,O,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOTIJL,X,O,O,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOTLIJ,O,O,O,X,O,O,X,O,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSOTLJI,O,O,O,X,O,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOTJIL,X,O,O,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOTJLI,X,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOITLJ,X,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOITJL,X,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOILTJ,X,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOILJT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOIJTL,X,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOIJLT,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOLTIJ,O,O,O,X,O,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSOLTJI,O,O,O,X,O,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOLITJ,O,O,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOLIJT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOLJTI,X,O,X,X,O,X,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOLJIT,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOJTIL,X,O,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOJTLI,X,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOJITL,X,O,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZSOJILT,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZSOJLTI,X,O,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOJLIT,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOTILJS,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOTILSJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZOTIJLS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOTIJSL,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOTISLJ,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZOTISJL,X,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOTLIJS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZOTLISJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZOTLJIS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZOTLJSI,O,O,X,X,O,X,X,X,X,X,O,X,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
ZOTLSIJ,O,O,O,X,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZOTLSJI,O,O,O,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZOTJILS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOTJISL,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZOTJLIS,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZOTJLSI,X,O,X,X,O,X,X,X,X,X,O,X,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
ZOTJSIL,X,O,O,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOTJSLI,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZOTSILJ,X,O,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZOTSIJL,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOTSLIJ,O,O,O,X,O,X,X,O,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZOTSLJI,O,O,O,X,O,X,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZOTSJIL,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOTSJLI,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZOITLJS,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOITLSJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZOITJLS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOITJSL,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOITSLJ,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZOITSJL,X,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOILTJS,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOILTSJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZOILJTS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOILJST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOILSTJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZOILSJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOIJTLS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOIJTSL,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZOIJLTS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOIJLST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
ZOIJSTL,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZOIJSLT,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
ZOISTLJ,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZOISTJL,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOISLTJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZOISLJT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZOISJTL,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOISJLT,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZOLTIJS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZOLTISJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZOLTJIS,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZOLTJSI,O,O,X,O,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
ZOLTSIJ,O,O,O,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZOLTSJI,O,O,O,O,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZOLITJS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOLITSJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZOLIJTS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOLIJST,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOLISTJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZOLISJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOLJTIS,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZOLJTSI,X,O,X,O,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
ZOLJITS,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOLJIST,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
ZOLJSTI,X,O,X,O,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
