sequence,v115@5gB8HeB8IeD8CeG8BeG8JeO/IvhFxbBTeB0hBfqBll?BCqB,v115@5gB8HeB8IeD8CeG8BeG8JeO/IvhFxbBTeBFgB0hBqp?B3qB,v115@5gB8HeB8IeD8CeG8BeG8JeO/IvhFxbBTeB3gB1mBqp?BUqB,v115@5gB8HeB8IeD8CeG8BeG8Jem7IvhFqhBTeBxfBlkB3l?B0pB,v115@5gB8HeB8IeD8CeG8BeG8JeR7IvhFqhBTeBmgBlkBcq?B/pB,v115@5gB8HeB8IeD8CeG8BeG8JeO/IvhFxbBTeBUgB1mBqp?B3qB,v115@5gB8HeB8IeD8CeG8BeG8Jex6IvhFXcBTeBifB1mBup?BcqB,v115@5gB8HeB8IeD8CeG8BeG8Jey/IvhFGcBTeBlkBRmB3l?B0pB,v115@5gB8HeB8IeD8CeG8BeG8Je06IvhFShBTeB/kBeqBRr?BlqB,v115@5gB8HeB8IeD8CeG8BeG8JeK/IvhFxbBTeBulB1mB8p?BfqB,v115@5gB8HeB8IeD8CeG8BeG8JeT+IvhFxfBXhB2kB0hBCq?BFqB
IZOSLJT,O,O,X,X,X,X,X,X,X,X,X
IZOSJTL,O,X,X,X,X,X,X,X,X,X,X
IZOSJLT,O,O,X,X,X,X,X,X,X,X,X
IOTLJSZ,X,X,O,X,X,O,O,O,O,X,X
IOTLJZS,X,X,O,X,X,O,X,X,X,X,X
IOTLSJZ,X,X,O,O,X,O,O,O,X,X,X
IOTLSZJ,X,X,O,O,X,X,O,O,X,X,X
IOTLZJS,X,X,O,X,X,O,X,X,X,O,X
IOTLZSJ,X,X,X,X,X,O,O,X,X,X,X
IOTJLSZ,X,X,O,X,X,O,X,O,O,X,X
IOTJLZS,X,X,O,X,X,O,X,X,X,X,X
IOTJSLZ,X,X,O,X,X,O,X,O,O,X,X
IOTJSZL,X,X,X,X,X,X,X,O,O,X,X
IOTJZLS,X,X,O,X,X,O,X,X,X,O,X
IOTJZSL,X,X,X,X,X,X,X,O,X,X,X
IOTSLJZ,X,X,O,O,X,O,O,O,X,X,X
IOTSLZJ,X,X,O,O,X,X,O,O,X,X,X
IOTSJLZ,X,X,O,O,X,O,O,O,X,X,X
IOTSJZL,X,X,X,X,X,X,O,O,X,X,X
IOTSZLJ,X,X,O,O,X,X,O,O,X,X,X
IOTSZJL,X,X,X,X,X,X,O,O,X,X,X
IOTZLJS,X,X,O,X,X,O,O,X,X,O,X
IOTZLSJ,X,X,X,X,X,X,O,X,X,X,X
IOTZJLS,X,X,O,X,X,O,O,X,X,O,X
IOTZJSL,X,X,X,X,X,X,O,O,X,X,X
IOTZSLJ,X,X,O,X,X,X,O,O,X,X,X
IOTZSJL,X,X,X,X,X,X,O,O,X,X,X
IOLTJSZ,X,O,O,X,X,O,O,O,O,X,X
IOLTJZS,X,O,O,X,X,O,X,X,X,X,X
IOLTSJZ,X,O,O,O,X,O,O,O,X,X,X
IOLTSZJ,X,X,O,O,X,X,O,O,X,X,X
IOLTZJS,X,O,O,X,X,O,X,X,X,O,X
IOLTZSJ,X,O,X,X,X,O,O,X,X,X,X
IOLJTSZ,X,O,O,X,X,O,O,O,O,X,X
IOLJTZS,X,O,O,X,X,O,X,X,X,X,X
IOLJSTZ,X,O,X,X,X,X,X,X,O,X,X
IOLJSZT,X,X,X,X,X,X,X,X,O,X,X
IOLJZTS,X,O,X,X,O,X,X,X,X,X,X
IOLJZST,X,O,X,X,X,X,X,X,O,X,X
IOLSTJZ,X,O,X,O,X,X,O,X,X,X,O
IOLSTZJ,X,O,X,O,X,X,O,X,X,X,O
IOLSJTZ,X,O,X,O,X,X,X,X,O,X,O
IOLSJZT,X,X,X,O,X,X,X,X,O,X,O
IOLSZTJ,X,X,X,X,X,X,X,X,X,X,O
IOLSZJT,X,X,X,O,X,X,X,X,X,X,O
IOLZTJS,X,O,X,X,O,X,X,X,X,O,X
IOLZTSJ,X,O,X,X,X,X,O,X,X,X,X
IOLZJTS,X,O,X,X,O,X,X,X,X,X,X
IOLZJST,X,O,X,X,X,X,X,X,O,X,X
IOLZSTJ,X,O,X,X,X,X,X,X,X,X,X
IOLZSJT,X,O,X,X,X,X,X,X,X,X,X
IOJTLSZ,X,X,O,X,X,O,X,O,O,X,X
IOJTLZS,X,X,O,X,X,O,X,X,X,X,X
IOJTSLZ,X,X,O,X,X,O,X,O,O,X,X
IOJTSZL,X,X,X,X,X,X,X,O,O,X,X
IOJTZLS,X,X,O,X,X,O,X,X,X,X,X
IOJTZSL,X,X,X,X,X,X,X,O,X,X,X
IOJLTSZ,X,O,O,X,X,O,X,O,O,X,X
IOJLTZS,X,O,O,X,X,O,X,X,X,X,X
IOJLSTZ,X,O,X,X,X,X,X,X,O,X,X
IOJLSZT,X,X,X,X,X,X,X,X,O,X,X
IOJLZTS,X,O,X,X,O,X,X,X,X,X,X
IOJLZST,X,O,X,X,X,X,X,X,O,X,X
IOJSTLZ,X,X,X,X,X,X,X,O,O,X,X
IOJSTZL,X,X,X,X,X,X,X,O,O,X,X
IOJSLTZ,X,O,X,X,X,X,X,X,O,X,X
IOJSLZT,X,X,X,X,X,X,X,X,O,X,X
IOJSZTL,O,X,X,X,X,X,X,X,O,X,X
IOJSZLT,O,X,X,X,X,X,X,X,O,X,X
IOJZTLS,X,O,X,X,O,X,X,X,X,X,X
IOJZTSL,O,X,X,X,X,X,X,O,X,X,X
IOJZLTS,X,O,X,X,O,X,X,X,X,X,X
IOJZLST,O,O,X,X,X,X,X,X,O,X,X
IOJZSTL,O,X,X,X,X,X,X,X,O,X,X
IOJZSLT,O,O,X,X,X,X,X,X,O,X,X
IOSTLJZ,X,X,X,O,X,X,X,O,X,X,O
IOSTLZJ,X,X,X,O,X,X,X,O,X,X,O
IOSTJLZ,X,X,X,O,X,X,X,O,X,X,X
IOSTJZL,X,X,X,X,X,X,X,O,X,X,O
IOSTZLJ,X,X,X,O,X,X,X,O,X,X,O
IOSTZJL,X,X,X,X,X,X,X,O,X,X,O
IOSLTJZ,X,O,X,O,X,X,X,X,X,X,O
IOSLTZJ,X,O,X,O,X,X,X,X,X,X,O
IOSLJTZ,X,O,X,O,X,X,X,X,O,X,O
IOSLJZT,X,X,X,O,X,X,X,X,O,X,O
IOSLZTJ,X,X,X,X,X,X,X,X,X,X,O
IOSLZJT,X,X,X,O,X,X,X,X,X,X,O
IOSJTLZ,X,X,X,X,X,X,X,O,O,X,X
IOSJTZL,X,X,X,X,X,X,X,O,O,X,O
IOSJLTZ,X,O,X,O,X,X,X,X,O,X,O
IOSJLZT,X,X,X,O,X,X,X,X,O,X,O
IOSJZTL,O,X,X,X,X,X,X,X,O,X,O
IOSJZLT,O,X,X,X,X,X,X,X,O,X,O
IOSZTLJ,O,X,X,X,X,X,X,X,X,X,O
IOSZTJL,O,X,X,X,X,X,X,X,X,X,O
IOSZLTJ,O,X,X,X,X,X,X,X,X,X,O
IOSZLJT,O,X,X,O,X,X,X,X,X,X,O
IOSZJTL,O,X,X,X,X,X,X,X,X,X,O
IOSZJLT,O,X,X,X,X,X,X,X,X,X,O
IOZTLJS,X,O,X,X,O,X,X,X,X,O,X
IOZTLSJ,X,O,X,X,X,X,X,X,X,X,X
IOZTJLS,X,O,X,X,O,X,X,X,X,O,X
IOZTJSL,O,X,X,X,X,X,X,O,X,X,X
IOZTSLJ,O,O,X,X,X,X,X,O,X,X,X
IOZTSJL,O,X,X,X,X,X,X,O,X,X,X
IOZLTJS,X,O,X,X,O,X,X,X,X,O,X
IOZLTSJ,X,O,X,X,X,X,X,X,X,X,X
IOZLJTS,X,O,X,X,O,X,X,X,X,X,X
IOZLJST,O,O,X,X,X,X,X,X,O,X,X
IOZLSTJ,O,O,X,X,X,X,X,X,X,X,X
IOZLSJT,O,O,X,X,X,X,X,X,X,X,X
IOZJTLS,X,O,X,X,O,X,X,X,X,X,X
IOZJTSL,O,X,X,X,X,X,X,O,X,X,X
IOZJLTS,X,O,X,X,O,X,X,X,X,X,X
IOZJLST,O,O,X,X,X,X,X,X,O,X,X
IOZJSTL,O,X,X,X,X,X,X,X,O,X,X
IOZJSLT,O,O,X,X,X,X,X,X,O,X,X
IOZSTLJ,O,O,X,X,X,X,X,X,X,X,X
IOZSTJL,O,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,O,O,X,X,X,X,X,X,X,X,X
IOZSLJT,O,O,X,X,X,X,X,X,X,X,X
IOZSJTL,O,X,X,X,X,X,X,X,X,X,X
IOZSJLT,O,O,X,X,X,X,X,X,X,X,X
LTIJSZO,X,X,O,X,X,X,X,O,X,X,X
LTIJSOZ,X,O,O,X,X,O,O,O,X,X,X
LTIJZSO,X,O,X,X,X,O,X,X,X,X,X
LTIJZOS,X,O,O,X,X,O,X,X,X,X,X
LTIJOSZ,X,O,O,X,X,O,O,O,X,X,X
LTIJOZS,X,O,O,X,X,O,X,X,X,X,X
LTISJZO,X,X,O,O,X,X,X,O,X,X,X
LTISJOZ,X,O,O,O,X,O,O,O,X,X,X
LTISZJO,X,X,O,O,X,X,X,O,X,X,X
LTISZOJ,X,X,O,O,X,X,O,O,X,X,X
LTISOJZ,X,O,O,O,X,O,O,O,X,X,X
LTISOZJ,X,X,O,O,X,X,O,O,X,X,X
LTIZJSO,X,O,X,X,X,O,X,X,X,O,X
LTIZJOS,X,O,O,X,X,O,X,X,X,O,X
LTIZSJO,X,O,X,X,X,O,X,X,X,X,X
LTIZSOJ,X,O,X,X,X,O,O,X,X,X,X
LTIZOJS,X,O,O,X,X,O,X,X,X,O,X
LTIZOSJ,X,O,X,X,X,O,O,X,X,X,X
LTIOJSZ,X,O,O,X,X,O,O,O,X,X,X
LTIOJZS,X,O,O,X,X,O,X,X,X,X,X
LTIOSJZ,X,O,O,O,X,O,O,O,X,X,X
LTIOSZJ,X,X,O,O,X,X,O,O,X,X,X
LTIOZJS,X,O,O,X,X,O,X,X,X,O,X
LTIOZSJ,X,O,X,X,X,O,O,X,X,X,X
LTJISZO,X,X,O,X,X,X,X,X,X,X,X
LTJISOZ,X,O,O,X,X,O,O,X,X,X,X
LTJIZSO,X,O,X,X,X,O,X,X,X,X,X
LTJIZOS,X,O,O,X,X,O,X,X,X,X,X
LTJIOSZ,X,O,O,X,X,O,O,X,X,X,X
LTJIOZS,X,O,O,X,X,O,X,X,X,X,X
LTJSIZO,X,O,O,O,X,X,X,X,X,X,X
LTJSIOZ,X,O,O,O,X,O,O,X,X,X,X
LTJSZIO,X,O,O,O,X,O,X,X,X,X,X
LTJSZOI,X,O,O,O,X,O,X,X,X,X,X
LTJSOIZ,X,O,O,O,X,O,O,X,X,X,X
LTJSOZI,X,O,O,O,X,O,O,X,X,X,X
LTJZISO,X,O,X,X,O,O,X,X,X,O,X
LTJZIOS,X,O,O,X,O,O,X,X,X,O,X
LTJZSIO,X,O,O,X,O,O,X,X,X,O,X
LTJZSOI,X,O,O,X,O,O,X,X,X,O,X
LTJZOIS,X,O,O,X,O,O,X,X,X,O,X
LTJZOSI,X,O,O,X,O,O,X,X,X,O,X
LTJOISZ,X,O,O,X,X,O,O,X,X,X,X
LTJOIZS,X,O,O,X,X,O,X,X,X,X,X
LTJOSIZ,X,O,O,O,X,O,O,X,X,X,X
LTJOSZI,X,O,O,O,X,O,O,X,X,X,X
LTJOZIS,X,O,O,X,O,O,X,X,X,O,X
LTJOZSI,X,O,O,X,O,O,X,X,X,O,X
LTSIJZO,X,O,O,O,X,X,X,X,X,X,X
LTSIJOZ,X,O,O,O,X,O,O,X,X,X,X
LTSIZJO,X,O,O,O,X,X,X,X,X,X,X
LTSIZOJ,X,O,O,O,X,X,O,X,X,X,X
LTSIOJZ,X,O,O,O,X,O,O,X,X,X,O
LTSIOZJ,X,O,O,O,X,X,O,X,X,X,O
LTSJIZO,X,O,O,O,X,X,X,X,X,X,X
LTSJIOZ,X,O,O,O,X,O,O,X,X,X,X
LTSJZIO,X,O,O,O,X,O,X,X,X,X,X
LTSJZOI,X,O,O,O,X,O,X,X,X,X,X
LTSJOIZ,X,O,O,O,X,O,O,X,X,X,X
LTSJOZI,X,O,O,O,X,O,O,X,X,X,X
LTSZIJO,X,O,O,O,X,O,O,X,X,X,X
LTSZIOJ,X,O,O,O,X,O,O,X,X,X,X
LTSZJIO,X,O,O,O,X,O,O,X,X,O,X
LTSZJOI,X,O,O,O,X,O,O,X,X,O,X
LTSZOIJ,X,O,O,O,X,O,O,X,X,X,X
LTSZOJI,X,O,O,O,X,O,O,X,X,O,X
LTSOIJZ,X,O,O,O,X,O,O,X,X,X,O
LTSOIZJ,X,O,O,O,X,X,O,X,X,X,O
LTSOJIZ,X,O,O,O,X,O,O,X,X,X,X
LTSOJZI,X,O,O,O,X,O,O,X,X,X,X
LTSOZIJ,X,O,O,O,X,O,O,X,X,X,X
LTSOZJI,X,O,O,O,X,O,O,X,X,O,X
LTZIJSO,X,O,X,X,O,O,O,X,X,O,X
LTZIJOS,X,O,O,X,O,O,O,X,X,O,X
LTZISJO,X,O,X,X,X,O,O,X,X,X,X
LTZISOJ,X,O,X,X,X,O,O,X,X,X,X
LTZIOJS,X,O,O,X,O,O,O,X,X,O,X
LTZIOSJ,X,O,X,X,X,O,O,X,X,X,X
LTZJISO,X,O,X,X,O,O,O,X,X,O,X
LTZJIOS,X,O,O,X,O,O,O,X,X,O,X
LTZJSIO,X,O,O,X,O,O,O,X,X,O,X
LTZJSOI,X,O,O,X,O,O,O,X,X,O,X
LTZJOIS,X,O,O,X,O,O,O,X,X,O,X
LTZJOSI,X,O,O,X,O,O,O,X,X,O,X
LTZSIJO,X,O,O,O,X,O,O,X,X,X,X
LTZSIOJ,X,O,O,O,X,O,O,X,X,X,X
LTZSJIO,X,O,O,O,O,O,O,X,X,O,X
LTZSJOI,X,O,O,O,O,O,O,X,X,O,X
LTZSOIJ,X,O,O,O,X,O,O,X,X,X,X
LTZSOJI,X,O,O,O,O,O,O,X,X,O,X
LTZOIJS,X,O,O,X,O,O,O,X,X,O,X
LTZOISJ,X,O,X,X,X,O,O,X,X,X,X
LTZOJIS,X,O,O,X,O,O,O,X,X,O,X
LTZOJSI,X,O,O,X,O,O,O,X,X,O,X
LTZOSIJ,X,O,O,O,X,O,O,X,X,X,X
LTZOSJI,X,O,O,O,O,O,O,X,X,O,X
LTOIJSZ,X,O,O,X,X,O,O,O,X,X,X
LTOIJZS,X,O,O,X,X,O,X,X,X,X,X
LTOISJZ,X,O,O,O,X,O,O,O,X,X,X
LTOISZJ,X,X,O,O,X,X,O,O,X,X,X
LTOIZJS,X,O,O,X,X,O,X,X,X,O,X
LTOIZSJ,X,O,X,X,X,O,O,X,X,X,X
LTOJISZ,X,O,O,X,X,O,O,X,X,X,X
LTOJIZS,X,O,O,X,X,O,X,X,X,X,X
LTOJSIZ,X,O,O,O,X,O,O,X,X,X,X
LTOJSZI,X,O,O,O,X,O,O,X,X,X,X
LTOJZIS,X,O,O,X,O,O,X,X,X,O,X
LTOJZSI,X,O,O,X,O,O,X,X,X,O,X
LTOSIJZ,X,O,O,O,X,O,O,X,X,X,O
LTOSIZJ,X,O,O,O,X,X,O,X,X,X,O
LTOSJIZ,X,O,O,O,X,O,O,X,X,X,X
LTOSJZI,X,O,O,O,X,O,O,X,X,X,X
LTOSZIJ,X,O,O,O,X,O,O,X,X,X,X
LTOSZJI,X,O,O,O,X,O,O,X,X,O,X
LTOZIJS,X,O,O,X,O,O,O,X,X,O,X
LTOZISJ,X,O,X,X,X,O,O,X,X,X,X
LTOZJIS,X,O,O,X,O,O,O,X,X,O,X
LTOZJSI,X,O,O,X,O,O,O,X,X,O,X
LTOZSIJ,X,O,O,O,X,O,O,X,X,X,X
LTOZSJI,X,O,O,O,O,O,O,X,X,O,X
LITJSZO,X,X,O,X,X,X,X,O,O,X,X
LITJSOZ,X,O,O,X,X,O,O,O,O,X,X
LITJZSO,X,O,X,X,X,O,X,X,X,X,X
LITJZOS,X,O,O,X,X,O,X,X,X,X,X
LITJOSZ,X,O,O,X,X,O,O,O,O,X,X
LITJOZS,X,O,O,X,X,O,X,X,X,X,X
LITSJZO,X,X,O,O,X,X,X,O,X,X,X
LITSJOZ,X,O,O,O,X,O,O,O,X,X,X
LITSZJO,X,X,O,O,X,X,X,O,X,X,X
LITSZOJ,X,X,O,O,X,X,O,O,X,X,X
LITSOJZ,X,O,O,O,X,O,O,O,X,X,X
LITSOZJ,X,X,O,O,X,X,O,O,X,X,X
LITZJSO,X,O,X,X,X,O,X,X,X,O,X
LITZJOS,X,O,O,X,X,O,X,X,X,O,X
LITZSJO,X,O,X,X,X,O,X,X,X,X,X
LITZSOJ,X,O,X,X,X,O,O,X,X,X,X
LITZOJS,X,O,O,X,X,O,X,X,X,O,X
LITZOSJ,X,O,X,X,X,O,O,X,X,X,X
LITOJSZ,X,O,O,X,X,O,O,O,O,X,X
LITOJZS,X,O,O,X,X,O,X,X,X,X,X
LITOSJZ,X,O,O,O,X,O,O,O,X,X,X
LITOSZJ,X,X,O,O,X,X,O,O,X,X,X
LITOZJS,X,O,O,X,X,O,X,X,X,O,X
LITOZSJ,X,O,X,X,X,O,O,X,X,X,X
LIJTSZO,X,X,O,X,X,X,X,O,O,X,X
LIJTSOZ,X,O,O,X,X,O,O,O,O,X,X
LIJTZSO,X,O,X,X,X,O,X,X,X,X,X
LIJTZOS,X,O,O,X,X,O,X,X,X,X,X
LIJTOSZ,X,O,O,X,X,O,O,O,O,X,X
LIJTOZS,X,O,O,X,X,O,X,X,X,X,X
LIJSTZO,X,O,X,X,X,X,X,X,O,X,X
LIJSTOZ,X,O,X,X,X,X,X,X,O,X,X
LIJSZTO,X,X,X,X,X,X,X,X,O,X,X
LIJSZOT,X,X,X,X,X,X,X,X,O,X,X
LIJSOTZ,X,O,X,X,X,X,X,X,O,X,X
LIJSOZT,X,X,X,X,X,X,X,X,O,X,X
LIJZTSO,X,O,X,X,O,X,X,X,X,X,X
LIJZTOS,X,O,X,X,O,X,X,X,X,X,X
LIJZSTO,X,O,X,X,X,X,X,X,O,X,X
LIJZSOT,X,O,X,X,X,X,X,X,O,X,X
LIJZOTS,X,O,X,X,O,X,X,X,X,X,X
LIJZOST,X,O,X,X,X,X,X,X,O,X,X
LIJOTSZ,X,O,O,X,X,O,O,O,O,X,X
LIJOTZS,X,O,O,X,X,O,X,X,X,X,X
LIJOSTZ,X,O,X,X,X,X,X,X,O,X,X
LIJOSZT,X,X,X,X,X,X,X,X,O,X,X
LIJOZTS,X,O,X,X,O,X,X,X,X,X,X
LIJOZST,X,O,X,X,X,X,X,X,O,X,X
LISTJZO,X,O,X,O,X,X,X,X,X,X,X
LISTJOZ,X,O,X,O,X,X,O,X,X,X,X
LISTZJO,X,O,X,O,X,X,X,X,X,X,X
LISTZOJ,X,O,X,O,X,X,O,X,X,X,X
LISTOJZ,X,O,X,O,X,X,O,X,X,X,O
LISTOZJ,X,O,X,O,X,X,O,X,X,X,O
LISJTZO,X,O,X,O,X,X,X,X,O,X,X
LISJTOZ,X,O,X,O,X,X,X,X,O,X,X
LISJZTO,X,X,X,X,X,X,X,X,O,X,X
LISJZOT,X,X,X,O,X,X,X,X,O,X,X
LISJOTZ,X,O,X,O,X,X,X,X,O,X,O
LISJOZT,X,X,X,O,X,X,X,X,O,X,O
LISZTJO,X,X,X,X,X,X,X,X,X,X,X
LISZTOJ,X,X,X,X,X,X,X,X,X,X,X
LISZJTO,X,X,X,X,X,X,X,X,X,X,X
LISZJOT,X,X,X,O,X,X,X,X,X,X,X
LISZOTJ,X,X,X,X,X,X,X,X,X,X,O
LISZOJT,X,X,X,O,X,X,X,X,X,X,O
LISOTJZ,X,O,X,O,X,X,O,X,X,X,O
LISOTZJ,X,O,X,O,X,X,O,X,X,X,O
LISOJTZ,X,O,X,O,X,X,X,X,O,X,O
LISOJZT,X,X,X,O,X,X,X,X,O,X,O
LISOZTJ,X,X,X,X,X,X,X,X,X,X,O
LISOZJT,X,X,X,O,X,X,X,X,X,X,O
LIZTJSO,X,O,X,X,O,X,X,X,X,O,X
LIZTJOS,X,O,X,X,O,X,X,X,X,O,X
LIZTSJO,X,O,X,X,X,X,X,X,X,X,X
LIZTSOJ,X,O,X,X,X,X,O,X,X,X,X
LIZTOJS,X,O,X,X,O,X,X,X,X,O,X
LIZTOSJ,X,O,X,X,X,X,O,X,X,X,X
LIZJTSO,X,O,X,X,O,X,X,X,X,X,X
LIZJTOS,X,O,X,X,O,X,X,X,X,X,X
LIZJSTO,X,O,X,X,X,X,X,X,O,X,X
LIZJSOT,X,O,X,X,X,X,X,X,O,X,X
LIZJOTS,X,O,X,X,O,X,X,X,X,X,X
LIZJOST,X,O,X,X,X,X,X,X,O,X,X
LIZSTJO,X,O,X,X,X,X,X,X,X,X,X
LIZSTOJ,X,O,X,X,X,X,X,X,X,X,X
LIZSJTO,X,O,X,X,X,X,X,X,X,X,X
LIZSJOT,X,O,X,X,X,X,X,X,X,X,X
LIZSOTJ,X,O,X,X,X,X,X,X,X,X,X
LIZSOJT,X,O,X,X,X,X,X,X,X,X,X
LIZOTJS,X,O,X,X,O,X,X,X,X,O,X
LIZOTSJ,X,O,X,X,X,X,O,X,X,X,X
LIZOJTS,X,O,X,X,O,X,X,X,X,X,X
LIZOJST,X,O,X,X,X,X,X,X,O,X,X
LIZOSTJ,X,O,X,X,X,X,X,X,X,X,X
LIZOSJT,X,O,X,X,X,X,X,X,X,X,X
LIOTJSZ,X,O,O,X,X,O,O,O,O,X,X
LIOTJZS,X,O,O,X,X,O,X,X,X,X,X
LIOTSJZ,X,O,O,O,X,O,O,O,X,X,X
LIOTSZJ,X,X,O,O,X,X,O,O,X,X,X
LIOTZJS,X,O,O,X,X,O,X,X,X,O,X
LIOTZSJ,X,O,X,X,X,O,O,X,X,X,X
LIOJTSZ,X,O,O,X,X,O,O,O,O,X,X
LIOJTZS,X,O,O,X,X,O,X,X,X,X,X
LIOJSTZ,X,O,X,X,X,X,X,X,O,X,X
LIOJSZT,X,X,X,X,X,X,X,X,O,X,X
LIOJZTS,X,O,X,X,O,X,X,X,X,X,X
LIOJZST,X,O,X,X,X,X,X,X,O,X,X
LIOSTJZ,X,O,X,O,X,X,O,X,X,X,O
LIOSTZJ,X,O,X,O,X,X,O,X,X,X,O
LIOSJTZ,X,O,X,O,X,X,X,X,O,X,O
LIOSJZT,X,X,X,O,X,X,X,X,O,X,O
LIOSZTJ,X,X,X,X,X,X,X,X,X,X,O
LIOSZJT,X,X,X,O,X,X,X,X,X,X,O
LIOZTJS,X,O,X,X,O,X,X,X,X,O,X
LIOZTSJ,X,O,X,X,X,X,O,X,X,X,X
LIOZJTS,X,O,X,X,O,X,X,X,X,X,X
LIOZJST,X,O,X,X,X,X,X,X,O,X,X
LIOZSTJ,X,O,X,X,X,X,X,X,X,X,X
LIOZSJT,X,O,X,X,X,X,X,X,X,X,X
LJTISZO,X,X,O,X,X,X,X,X,X,X,X
LJTISOZ,X,O,O,X,X,O,O,X,X,X,X
LJTIZSO,X,O,X,X,X,O,X,X,X,X,X
LJTIZOS,X,O,O,X,X,O,X,X,X,X,X
LJTIOSZ,X,O,O,X,X,O,O,X,X,X,X
LJTIOZS,X,O,O,X,X,O,X,X,X,X,X
LJTSIZO,X,O,O,O,X,X,X,X,X,X,X
LJTSIOZ,X,O,O,O,X,O,O,X,X,X,X
LJTSZIO,X,O,O,O,X,O,X,X,X,X,X
LJTSZOI,X,O,O,O,X,O,X,X,X,X,X
LJTSOIZ,X,O,O,O,X,O,O,X,X,X,X
LJTSOZI,X,O,O,O,X,O,O,X,X,X,X
LJTZISO,X,O,X,X,O,O,X,X,X,O,X
LJTZIOS,X,O,O,X,O,O,X,X,X,O,X
LJTZSIO,X,O,O,X,O,O,X,X,X,O,X
LJTZSOI,X,O,O,X,O,O,X,X,X,O,X
LJTZOIS,X,O,O,X,O,O,X,X,X,O,X
LJTZOSI,X,O,O,X,O,O,X,X,X,O,X
LJTOISZ,X,O,O,X,X,O,O,X,X,X,X
LJTOIZS,X,O,O,X,X,O,X,X,X,X,X
LJTOSIZ,X,O,O,O,X,O,O,X,X,X,X
LJTOSZI,X,O,O,O,X,O,O,X,X,X,X
LJTOZIS,X,O,O,X,O,O,X,X,X,O,X
LJTOZSI,X,O,O,X,O,O,X,X,X,O,X
LJITSZO,X,X,O,X,X,X,X,X,O,X,X
LJITSOZ,X,O,O,X,X,O,O,X,O,X,X
LJITZSO,X,O,X,X,X,O,X,X,X,X,X
LJITZOS,X,O,O,X,X,O,X,X,X,X,X
LJITOSZ,X,O,O,X,X,O,O,X,O,X,X
LJITOZS,X,O,O,X,X,O,X,X,X,X,X
LJISTZO,X,O,X,X,X,X,X,X,O,X,X
LJISTOZ,X,O,X,X,X,X,X,X,O,X,X
LJISZTO,X,X,X,X,X,X,X,X,O,X,X
LJISZOT,X,X,X,X,X,X,X,X,O,X,X
LJISOTZ,X,O,X,X,X,X,X,X,O,X,X
LJISOZT,X,X,X,X,X,X,X,X,O,X,X
LJIZTSO,X,O,X,X,O,X,X,X,X,X,X
LJIZTOS,X,O,X,X,O,X,X,X,X,X,X
LJIZSTO,X,O,X,X,X,X,X,X,O,X,X
LJIZSOT,X,O,X,X,X,X,X,X,O,X,X
LJIZOTS,X,O,X,X,O,X,X,X,X,X,X
LJIZOST,X,O,X,X,X,X,X,X,O,X,X
LJIOTSZ,X,O,O,X,X,O,O,X,O,X,X
LJIOTZS,X,O,O,X,X,O,X,X,X,X,X
LJIOSTZ,X,O,X,X,X,X,X,X,O,X,X
LJIOSZT,X,X,X,X,X,X,X,X,O,X,X
LJIOZTS,X,O,X,X,O,X,X,X,X,X,X
LJIOZST,X,O,X,X,X,X,X,X,O,X,X
LJSTIZO,X,O,O,O,X,X,X,X,X,X,X
LJSTIOZ,X,O,O,O,X,O,X,X,X,X,X
LJSTZIO,X,O,O,O,X,O,X,X,X,X,X
LJSTZOI,X,O,O,O,X,O,X,X,X,X,X
LJSTOIZ,X,O,O,O,X,O,X,X,X,X,X
LJSTOZI,X,O,O,O,X,O,X,X,X,X,X
LJSITZO,X,O,X,O,X,X,X,X,O,X,X
LJSITOZ,X,O,X,O,X,X,X,X,O,X,X
LJSIZTO,X,X,X,X,X,X,X,X,O,X,X
LJSIZOT,X,X,X,O,X,X,X,X,O,X,X
LJSIOTZ,X,O,X,O,X,X,X,X,O,X,O
LJSIOZT,X,X,X,O,X,X,X,X,O,X,O
LJSZTIO,O,O,X,O,O,X,X,X,X,X,X
LJSZTOI,O,O,X,O,O,X,X,X,X,X,X
LJSZITO,X,O,X,X,X,X,X,X,O,X,X
LJSZIOT,O,O,X,O,X,X,X,X,O,X,X
LJSZOTI,O,O,X,O,O,X,X,X,X,X,X
LJSZOIT,O,O,X,O,X,X,X,X,O,X,X
LJSOTIZ,X,O,O,O,X,O,X,X,X,X,X
LJSOTZI,X,O,O,O,X,O,X,X,X,X,X
LJSOITZ,X,O,X,O,X,X,X,X,O,X,O
LJSOIZT,X,X,X,O,X,X,X,X,O,X,O
LJSOZTI,O,O,X,O,O,X,X,X,X,X,X
LJSOZIT,O,O,X,O,X,X,X,X,O,X,X
LJZTISO,X,O,X,X,O,O,X,X,X,O,X
LJZTIOS,X,O,O,X,O,O,X,X,X,O,X
LJZTSIO,O,O,O,X,O,O,X,X,X,O,X
LJZTSOI,O,O,O,X,O,O,X,X,X,O,X
LJZTOIS,X,O,O,X,O,O,X,X,X,O,X
LJZTOSI,O,O,O,X,O,O,X,X,X,O,X
LJZITSO,X,O,X,X,O,X,X,X,X,X,X
LJZITOS,X,O,X,X,O,X,X,X,X,X,X
LJZISTO,X,O,X,X,X,X,X,X,X,X,X
LJZISOT,X,O,X,X,X,X,X,X,X,X,X
LJZIOTS,X,O,X,X,O,X,X,X,X,X,X
