sequence,v115@1gD8GeB8HeC8DeA8BeD8EeH8Je06IvhFxdB2kBFiB6?oBznB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeT6IvhF5jBykBFiB8?nBmnB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jem9IvhF5jBifBFiB0?fBznB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeT6IvhFxdBykBFiB8?nB+oB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Je06IvhFxdB2kBFiBC?oBToB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeT6IvhFldB5jBykBU?iBeoB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhFifBFiBTjB0?fBWtB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhF3fBFiB6oB8?pBznBOpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Je5DJvhF/kBalBFiB8?nBmnBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeO/IvhF5jBzfBUiBa?oBlnB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeVCJvhFTeBifB0fBx?nBWtB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeO/IvhFViBajB5jBz?kB0nB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeO/IvhFxdBUiBFjBz?kBStB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeX9IvhFVjBmfB0kBx?nBStBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhFykBFiBGoB0?kBXoBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhF/kBalBFiB8?nB+oBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhFmfBFiBXjB0?kBStBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhF3fBFiB8pBC?oBToBOpB
TJLSZOI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,O,O,X
TJLSOIZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TJLSOZI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TJLZISO,O,O,O,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
TJLZIOS,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
TJLZSIO,O,X,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
TJLZSOI,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,O
TJLZOIS,O,O,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
TJLZOSI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X
TJLOISZ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TJLOIZS,O,X,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TJLOSIZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TJLOSZI,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TJLOZIS,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TJLOZSI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TJSILZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSILOZ,O,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TJSIZLO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJSIZOL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TJSIOZL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSLIZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TJSLIOZ,O,X,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X
TJSLZIO,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TJSLZOI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TJSLOIZ,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TJSLOZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TJSZILO,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJSZIOL,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSZLIO,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJSZLOI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSZOIL,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSZOLI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSOILZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSOIZL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSOLIZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSOLZI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSOZIL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSOZLI,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZILSO,O,O,O,O,O,O,X,X,O,X,X,O,O,X,X,O,O,X
TJZILOS,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
TJZISLO,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X
TJZISOL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZIOLS,O,X,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
TJZIOSL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZLISO,O,O,O,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
TJZLIOS,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
TJZLSIO,O,X,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
TJZLSOI,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,O
TJZLOIS,O,O,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
TJZLOSI,O,X,X,O,O,O,O,X,X,X,X,O,X,X,O,O,O,X
TJZSILO,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X
TJZSIOL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZSLIO,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X
TJZSLOI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,O
TJZSOIL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJZSOLI,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TJZOILS,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X
TJZOISL,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TJZOLIS,O,X,X,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X
TJZOLSI,O,X,X,O,O,O,O,O,X,X,X,O,X,X,X,O,O,X
TJZOSIL,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TJZOSLI,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
TJOILSZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJOILZS,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TJOISLZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJOISZL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJOIZLS,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TJOIZSL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJOLISZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJOLIZS,O,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TJOLSIZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TJOLSZI,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TJOLZIS,O,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TJOLZSI,O,X,X,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X
TJOSILZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJOSIZL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJOSLIZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJOSLZI,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJOSZIL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJOSZLI,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJOZILS,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TJOZISL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJOZLIS,O,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X
TJOZLSI,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X
TJOZSIL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJOZSLI,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TSILJZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TSILJOZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TSILZJO,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TSILZOJ,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TSILOJZ,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
TSILOZJ,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TSIJLZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TSIJLOZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TSIJZLO,O,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TSIJZOL,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TSIJOLZ,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TSIJOZL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TSIZLJO,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TSIZLOJ,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TSIZJLO,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TSIZJOL,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TSIZOLJ,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TSIZOJL,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TSIOLJZ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TSIOLZJ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TSIOJLZ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TSIOJZL,O,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TSIOZLJ,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TSIOZJL,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TSLIJZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TSLIJOZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TSLIZJO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TSLIZOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TSLIOJZ,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
TSLIOZJ,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TSLJIZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X
TSLJIOZ,O,X,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X
TSLJZIO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,O,X
TSLJZOI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X
TSLJOIZ,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TSLJOZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TSLZIJO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TSLZIOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,O
TSLZJIO,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X
TSLZJOI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O
TSLZOIJ,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
TSLZOJI,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TSLOIJZ,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
TSLOIZJ,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TSLOJIZ,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TSLOJZI,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TSLOZIJ,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TSLOZJI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TSJILZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TSJILOZ,O,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TSJIZLO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TSJIZOL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TSJIOLZ,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TSJIOZL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TSJLIZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TSJLIOZ,O,X,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X
TSJLZIO,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TSJLZOI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TSJLOIZ,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TSJLOZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TSJZILO,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TSJZIOL,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TSJZLIO,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TSJZLOI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TSJZOIL,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TSJZOLI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TSJOILZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TSJOIZL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TSJOLIZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TSJOLZI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TSJOZIL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TSJOZLI,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TSZILJO,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TSZILOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
TSZIJLO,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TSZIJOL,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TSZIOLJ,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TSZIOJL,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TSZLIJO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X
TSZLIOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,O
TSZLJIO,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X
TSZLJOI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O
TSZLOIJ,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O
TSZLOJI,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,O,O
TSZJILO,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TSZJIOL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TSZJLIO,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
TSZJLOI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O
TSZJOIL,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TSZJOLI,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TSZOILJ,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TSZOIJL,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TSZOLIJ,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O
TSZOLJI,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,O
TSZOJIL,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TSZOJLI,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TSOILJZ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TSOILZJ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TSOIJLZ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TSOIJZL,O,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TSOIZLJ,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TSOIZJL,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TSOLIJZ,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TSOLIZJ,O,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TSOLJIZ,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSOLJZI,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSOLZIJ,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TSOLZJI,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TSOJILZ,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TSOJIZL,O,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TSOJLIZ,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSOJLZI,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSOJZIL,O,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TSOJZLI,O,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TSOZILJ,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TSOZIJL,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TSOZLIJ,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TSOZLJI,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TSOZJIL,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TSOZJLI,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TZILJSO,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X
TZILJOS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TZILSJO,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X
TZILSOJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
TZILOJS,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TZILOSJ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TZIJLSO,O,O,O,X,O,X,X,X,O,X,X,O,O,O,X,X,O,X
TZIJLOS,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TZIJSLO,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TZIJSOL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TZIJOLS,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TZIJOSL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TZISLJO,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TZISLOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
TZISJLO,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TZISJOL,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TZISOLJ,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TZISOJL,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TZIOLJS,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TZIOLSJ,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TZIOJLS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TZIOJSL,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TZIOSLJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TZIOSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TZLIJSO,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
TZLIJOS,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TZLISJO,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
TZLISOJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
TZLIOJS,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TZLIOSJ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TZLJISO,O,O,O,X,O,O,X,X,O,X,X,O,O,X,O,X,O,X
TZLJIOS,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TZLJSIO,O,X,X,X,O,O,X,X,O,X,X,O,O,X,O,X,O,X
TZLJSOI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O
TZLJOIS,O,O,X,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X
TZLJOSI,O,X,X,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X
TZLSIJO,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
TZLSIOJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
TZLSJIO,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
TZLSJOI,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TZLSOIJ,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O
TZLSOJI,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O,O
TZLOIJS,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TZLOISJ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TZLOJIS,X,O,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X
TZLOJSI,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X
TZLOSIJ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O
TZLOSJI,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O
TZJILSO,O,O,O,X,O,O,X,X,O,X,X,O,O,X,X,X,O,X
TZJILOS,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TZJISLO,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TZJISOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TZJIOLS,O,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TZJIOSL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TZJLISO,O,O,O,X,O,O,X,X,O,X,X,O,O,X,O,X,O,X
TZJLIOS,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TZJLSIO,O,X,X,X,O,O,X,X,O,X,X,O,O,X,O,X,O,X
TZJLSOI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O
TZJLOIS,O,O,X,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X
TZJLOSI,O,X,X,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X
TZJSILO,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TZJSIOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TZJSLIO,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
TZJSLOI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O
TZJSOIL,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TZJSOLI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TZJOILS,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TZJOISL,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TZJOLIS,O,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TZJOLSI,O,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X
TZJOSIL,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TZJOSLI,O,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X
TZSILJO,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TZSILOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
TZSIJLO,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TZSIJOL,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TZSIOLJ,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TZSIOJL,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TZSLIJO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X
TZSLIOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,O
TZSLJIO,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X
TZSLJOI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O
TZSLOIJ,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O
TZSLOJI,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,O,O
TZSJILO,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TZSJIOL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TZSJLIO,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
TZSJLOI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O
