sequence,v115@8gA8HeB8HeG8AeD8BeH8Jex6IvhF8gBzcBuiBifBlm?B3pB,v115@8gA8HeB8HeG8AeD8BeH8Jem6IvhFfhB0cBldBxkBCn?BTpB,v115@8gA8HeB8HeG8AeD8BeH8Jex6IvhF0cBldB2kBzgBCn?B3pB,v115@8gA8HeB8HeG8AeD8BeH8Jei6IvhFRcBuiBFgBXhB8m?BTpB,v115@8gA8HeB8HeG8AeD8BeH8Jex6IvhFlcB3dBzgBCnBOp?B8pB,v115@8gA8HeB8HeG8AeD8BeH8JeU8IvhFRdBFgBTiBGmB/p?BipB,v115@8gA8HeB8HeG8AeD8BeH8Jel7IvhF3cBuiBifB8mBRq?BTpB,v115@8gA8HeB8HeG8AeD8BeH8Je8AJvhFRdBifBGiBXgBlm?BTpB,v115@8gA8HeB8HeG8AeD8BeH8JeK/IvhFUcBRdBFgBTiBGm?B3pB,v115@8gA8HeB8HeG8AeD8BeH8Jex7IvhFldBTgB/mBOpBUn?B6pB,v115@8gA8HeB8HeG8AeD8BeH8JeVBJvhF3dBzfBGmBZkBUn?BCqB,v115@8gA8HeB8HeG8AeD8BeH8JeK/IvhFzbBRdBUgBGiBlm?B3pB,v115@8gA8HeB8HeG8AeD8BeH8Jez7IvhFRdBUgBGiBlmB/p?BipB
ISJOZLT,X,O,X,X,X,X,X,X,X,O,X,X,X
ISZTLJO,X,O,X,X,X,X,O,X,X,X,X,X,X
ISZTLOJ,X,O,X,X,X,X,O,X,X,O,X,X,X
ISZTJLO,X,O,X,X,X,X,O,X,X,X,X,X,X
ISZTJOL,X,X,X,X,X,X,O,X,X,O,X,X,X
ISZTOLJ,X,X,X,X,X,X,O,X,X,O,X,X,X
ISZTOJL,X,X,X,X,X,X,O,X,X,O,X,X,X
ISZLTJO,X,O,X,X,X,X,O,X,X,X,X,X,X
ISZLTOJ,X,O,X,X,X,X,O,X,X,O,X,X,X
ISZLJTO,X,O,X,X,X,X,O,X,X,X,X,X,X
ISZLJOT,X,O,X,X,X,X,O,X,X,X,X,X,X
ISZLOTJ,X,O,X,X,X,X,O,X,X,O,X,X,X
ISZLOJT,X,O,X,X,X,X,O,X,X,O,X,X,X
ISZJTLO,X,O,X,X,X,X,O,X,X,X,X,X,X
ISZJTOL,X,X,X,X,X,X,O,X,X,O,X,X,X
ISZJLTO,X,O,X,X,X,X,O,X,X,X,X,X,X
ISZJLOT,X,O,X,X,X,X,O,X,X,X,X,X,X
ISZJOTL,X,X,X,X,X,X,O,X,X,O,X,X,X
ISZJOLT,X,O,X,X,X,X,O,X,X,O,X,X,X
ISZOTLJ,X,X,X,X,X,X,O,X,X,O,X,X,X
ISZOTJL,X,X,X,X,X,X,O,X,X,O,X,X,X
ISZOLTJ,X,O,X,X,X,X,O,X,X,O,X,X,X
ISZOLJT,X,O,X,X,X,X,O,X,X,O,X,X,X
ISZOJTL,X,X,X,X,X,X,O,X,X,O,X,X,X
ISZOJLT,X,O,X,X,X,X,O,X,X,O,X,X,X
ISOTLJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
ISOTLZJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ISOTJLZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOTJZL,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOTZLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOTZJL,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOLTJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
ISOLTZJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ISOLJTZ,X,O,X,X,O,X,X,X,O,X,X,X,X
ISOLJZT,X,O,X,X,X,X,X,X,O,O,X,X,X
ISOLZTJ,X,O,X,X,O,X,X,X,X,O,X,X,X
ISOLZJT,X,O,X,X,O,X,X,X,X,O,X,X,X
ISOJTLZ,X,O,X,X,X,O,X,X,X,X,O,X,X
ISOJTZL,X,X,X,X,X,O,X,X,X,O,O,X,X
ISOJLTZ,X,O,X,X,O,O,X,X,X,X,O,X,X
ISOJLZT,X,O,X,X,X,O,X,X,X,O,X,X,X
ISOJZTL,X,X,X,X,X,O,X,X,X,O,O,X,X
ISOJZLT,X,O,X,X,X,O,X,X,X,O,X,X,X
ISOZTLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOZTJL,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOZLTJ,X,O,X,X,O,X,X,X,X,O,X,X,X
ISOZLJT,X,O,X,X,X,X,X,X,X,O,X,X,X
ISOZJTL,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOZJLT,X,O,X,X,X,X,X,X,X,O,X,X,X
IZTLJSO,X,X,X,O,X,X,O,X,X,X,X,X,X
IZTLJOS,O,X,X,O,X,X,O,X,X,X,X,X,X
IZTLSJO,X,X,X,O,X,X,O,X,X,X,X,X,X
IZTLSOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
IZTLOJS,O,X,X,O,X,X,O,X,X,X,X,X,X
IZTLOSJ,X,X,X,X,X,X,O,X,X,X,X,X,X
IZTJLSO,X,X,X,O,X,X,O,X,X,X,X,X,X
IZTJLOS,O,X,X,O,X,X,O,X,X,X,X,X,X
IZTJSLO,O,O,X,O,X,X,O,X,X,X,X,X,O
IZTJSOL,O,X,X,O,X,X,O,X,X,X,X,X,O
IZTJOLS,O,X,X,O,X,X,O,X,X,X,X,X,X
IZTJOSL,O,X,X,O,X,X,O,X,X,X,X,X,X
IZTSLJO,O,O,X,O,X,X,O,X,X,X,X,X,O
IZTSLOJ,O,O,X,O,X,X,O,X,X,O,X,X,X
IZTSJLO,O,O,X,O,X,X,O,X,X,X,X,X,O
IZTSJOL,O,X,X,O,X,X,O,X,X,O,X,X,O
IZTSOLJ,O,X,X,O,X,X,O,X,X,O,X,X,X
IZTSOJL,O,X,X,O,X,X,O,X,X,O,X,X,O
IZTOLJS,O,X,X,O,X,X,O,X,X,X,X,X,X
IZTOLSJ,X,X,X,O,X,X,O,X,X,X,X,X,X
IZTOJLS,O,X,X,O,X,X,O,X,X,X,X,X,X
IZTOJSL,O,X,X,O,X,X,O,X,X,X,X,X,X
IZTOSLJ,O,X,X,O,X,X,O,X,X,O,X,X,X
IZTOSJL,O,X,X,O,X,X,O,X,X,O,X,X,X
IZLTJSO,O,O,X,O,X,X,O,O,X,X,X,O,X
IZLTJOS,O,X,X,O,X,X,O,O,X,X,X,O,X
IZLTSJO,O,O,X,O,X,X,O,X,X,X,X,O,X
IZLTSOJ,O,O,X,X,X,X,O,X,X,X,X,X,X
IZLTOJS,O,X,X,O,X,X,O,X,X,X,X,O,X
IZLTOSJ,O,X,X,X,X,X,O,X,X,X,X,X,X
IZLJTSO,O,O,X,O,X,X,O,O,X,X,X,O,X
IZLJTOS,O,X,X,O,X,X,O,O,X,X,X,O,X
IZLJSTO,O,O,X,O,X,X,O,O,X,X,X,X,X
IZLJSOT,X,O,X,O,X,X,O,X,X,X,X,X,X
IZLJOTS,O,X,X,O,X,X,O,X,X,X,X,X,X
IZLJOST,X,X,X,O,X,X,O,X,X,X,X,X,X
IZLSTJO,O,O,X,O,X,X,O,X,X,X,X,O,X
IZLSTOJ,O,O,X,O,X,X,O,X,X,X,X,X,X
IZLSJTO,O,O,X,O,X,X,O,X,X,X,X,X,X
IZLSJOT,X,O,X,O,X,X,O,X,X,X,X,X,X
IZLSOTJ,X,O,X,O,X,X,O,X,X,X,X,X,X
IZLSOJT,X,O,X,O,X,X,O,X,X,X,X,X,X
IZLOTJS,O,X,X,O,X,X,O,X,X,X,X,O,X
IZLOTSJ,O,X,X,O,X,X,O,X,X,X,X,X,X
IZLOJTS,O,X,X,O,X,X,O,X,O,X,X,X,X
IZLOJST,X,X,X,O,X,X,O,X,O,X,X,X,X
IZLOSTJ,X,X,X,O,X,X,O,X,X,X,X,X,X
IZLOSJT,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJTLSO,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJTLOS,O,X,X,O,X,X,O,X,X,X,X,X,X
IZJTSLO,O,O,X,O,X,X,O,X,X,X,X,X,X
IZJTSOL,O,X,X,O,X,X,O,X,X,X,X,X,X
IZJTOLS,O,X,X,O,X,X,O,X,X,X,X,X,X
IZJTOSL,O,X,X,O,X,X,O,X,X,X,X,X,X
IZJLTSO,O,O,X,O,X,X,O,O,X,X,X,X,X
IZJLTOS,O,X,X,O,X,X,O,O,X,X,X,X,X
IZJLSTO,O,O,X,O,X,X,O,O,X,X,X,X,X
IZJLSOT,X,O,X,O,X,X,O,X,X,X,X,X,X
IZJLOTS,O,X,X,O,X,X,O,X,X,X,X,X,X
IZJLOST,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJSTLO,X,O,X,O,X,X,O,X,X,X,X,X,X
IZJSTOL,O,X,X,O,X,X,O,X,X,X,X,X,X
IZJSLTO,X,O,X,O,X,X,O,X,X,X,X,X,X
IZJSLOT,X,O,X,O,X,X,O,X,X,X,X,X,X
IZJSOTL,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJSOLT,X,O,X,O,X,X,O,X,X,X,X,X,X
IZJOTLS,O,X,X,O,X,X,O,X,X,X,X,X,X
IZJOTSL,O,X,X,O,X,X,O,X,X,X,X,X,X
IZJOLTS,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJOLST,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJOSTL,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJOSLT,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSTLJO,X,O,X,O,X,X,O,X,X,X,X,X,X
IZSTLOJ,X,O,X,O,X,X,O,X,X,X,X,X,X
IZSTJLO,X,O,X,O,X,X,O,X,X,X,X,X,X
IZSTJOL,O,X,X,O,X,X,O,X,X,X,X,X,X
IZSTOLJ,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSTOJL,O,X,X,O,X,X,O,X,X,X,X,X,X
IZSLTJO,X,O,X,O,X,X,O,X,X,X,X,X,X
IZSLTOJ,X,O,X,O,X,X,O,X,X,X,X,X,X
IZSLJTO,X,O,X,O,X,X,O,X,X,X,X,X,X
IZSLJOT,X,O,X,O,X,X,O,X,X,X,X,X,X
IZSLOTJ,X,O,X,O,X,X,O,X,X,X,X,X,X
IZSLOJT,X,O,X,O,X,X,O,X,X,X,X,X,X
IZSJTLO,X,O,X,O,X,X,O,X,X,X,X,X,X
IZSJTOL,O,X,X,O,X,X,O,X,X,X,X,X,X
IZSJLTO,X,O,X,O,X,X,O,X,X,X,X,X,X
IZSJLOT,X,O,X,O,X,X,O,X,X,X,X,X,X
IZSJOTL,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSJOLT,X,O,X,O,X,X,O,X,X,X,X,X,X
IZSOTLJ,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSOTJL,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSOLTJ,X,O,X,O,X,X,O,X,X,X,X,X,X
IZSOLJT,X,O,X,O,X,X,O,X,X,X,X,X,X
IZSOJTL,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSOJLT,X,O,X,O,X,X,O,X,X,X,X,X,X
IZOTLJS,O,X,X,O,X,X,O,X,X,X,X,X,X
IZOTLSJ,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOTJLS,O,X,X,O,X,X,O,X,X,X,X,X,X
IZOTJSL,O,X,X,O,X,X,O,X,X,X,X,X,X
IZOTSLJ,X,X,X,O,X,X,O,X,X,O,X,X,X
IZOTSJL,O,X,X,O,X,X,O,X,X,O,X,X,X
IZOLTJS,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOLTSJ,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOLJTS,X,X,X,O,X,X,O,X,O,X,X,X,X
IZOLJST,X,X,X,O,X,X,O,X,O,X,X,X,X
IZOLSTJ,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOLSJT,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOJTLS,O,X,X,O,X,X,O,X,X,X,X,X,X
IZOJTSL,O,X,X,O,X,O,O,X,X,X,X,X,X
IZOJLTS,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOJLST,X,X,X,O,X,O,O,X,X,X,X,X,X
IZOJSTL,X,X,X,O,X,O,O,X,X,X,X,X,X
IZOJSLT,X,X,X,O,X,O,O,X,X,X,X,X,X
IZOSTLJ,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOSTJL,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOSLTJ,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOSLJT,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOSJTL,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOSJLT,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTLJSZ,X,X,O,X,O,X,X,X,O,X,X,X,X
IOTLJZS,X,X,O,X,X,X,O,X,O,X,X,X,X
IOTLSJZ,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTLSZJ,X,X,O,X,O,X,X,X,X,X,X,X,X
IOTLZJS,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTLZSJ,X,X,O,X,O,X,O,X,X,X,X,X,X
IOTJLSZ,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTJLZS,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTJSLZ,X,O,O,X,X,O,X,X,X,X,X,X,X
IOTJSZL,X,X,X,X,X,O,X,X,X,X,X,X,O
IOTJZLS,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTJZSL,X,X,X,X,X,O,O,X,X,X,X,X,X
IOTSLJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTSLZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
IOTSJLZ,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTSJZL,X,X,X,X,X,X,X,X,X,O,X,X,O
IOTSZLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
IOTSZJL,X,X,X,X,X,X,X,X,X,O,X,X,O
IOTZLJS,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTZLSJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTZJLS,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTZJSL,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTZSLJ,X,X,X,X,X,X,O,X,X,O,X,X,X
IOTZSJL,X,X,X,X,X,X,O,X,X,O,X,X,X
IOLTJSZ,X,O,O,X,O,X,X,X,O,X,X,O,X
IOLTJZS,X,X,O,X,X,X,O,O,O,X,X,O,X
IOLTSJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
IOLTSZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
IOLTZJS,X,X,O,X,O,X,O,X,O,X,X,O,X
IOLTZSJ,X,X,O,X,O,X,O,X,X,X,X,X,X
IOLJTSZ,X,O,O,X,O,X,X,X,O,X,X,X,X
IOLJTZS,X,X,O,X,X,X,O,O,O,X,X,X,X
IOLJSTZ,X,O,O,X,O,O,X,X,O,X,X,X,X
IOLJSZT,X,O,O,X,X,O,X,X,O,X,X,X,X
IOLJZTS,X,X,O,X,X,X,O,X,O,X,X,X,X
IOLJZST,X,X,O,X,X,O,O,X,O,X,X,X,X
IOLSTJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
IOLSTZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
IOLSJTZ,X,O,X,X,O,X,X,X,O,X,X,X,X
IOLSJZT,X,O,X,X,X,X,X,X,O,O,X,X,X
IOLSZTJ,X,O,O,X,O,X,X,X,X,O,X,X,X
IOLSZJT,X,O,X,X,O,X,X,X,X,O,X,X,X
IOLZTJS,X,X,O,X,O,X,O,X,X,X,X,O,X
IOLZTSJ,X,X,O,X,O,X,O,X,X,X,X,X,X
IOLZJTS,X,X,O,X,O,X,O,X,O,X,X,X,X
IOLZJST,X,X,O,X,O,X,O,X,O,X,X,X,X
IOLZSTJ,X,X,O,X,O,X,O,X,X,X,X,X,X
IOLZSJT,X,X,X,X,O,X,O,X,X,X,X,X,X
IOJTLSZ,X,X,O,X,X,X,X,X,X,X,O,X,X
IOJTLZS,X,X,O,X,X,X,O,X,X,X,X,X,X
IOJTSLZ,X,O,O,X,X,O,X,X,X,X,O,X,X
IOJTSZL,X,X,X,X,X,O,X,X,X,X,O,X,X
IOJTZLS,X,X,O,X,X,X,O,X,X,X,X,X,X
IOJTZSL,X,X,X,X,X,O,O,X,X,X,O,X,X
IOJLTSZ,X,O,O,X,O,X,X,X,O,X,O,X,X
IOJLTZS,X,X,O,X,X,X,O,O,O,X,X,X,X
IOJLSTZ,X,O,O,X,O,O,X,X,O,X,O,X,X
IOJLSZT,X,O,O,X,X,O,X,X,O,X,X,X,X
IOJLZTS,X,X,O,X,X,X,O,X,O,X,X,X,X
IOJLZST,X,X,O,X,X,O,O,X,O,X,X,X,X
IOJSTLZ,X,O,O,X,X,O,X,X,X,X,O,X,X
IOJSTZL,X,X,X,X,X,O,X,X,X,O,O,X,X
IOJSLTZ,X,O,O,X,O,O,X,X,X,X,O,X,X
IOJSLZT,X,O,O,X,X,O,X,X,X,O,X,X,X
IOJSZTL,X,X,X,X,X,O,X,X,X,O,O,X,X
IOJSZLT,X,O,O,X,X,O,X,X,X,O,X,X,X
IOJZTLS,X,X,O,X,X,X,O,X,X,X,X,X,X
IOJZTSL,X,X,X,X,X,O,O,X,X,X,O,X,X
IOJZLTS,X,X,O,X,X,X,O,X,X,X,X,X,X
IOJZLST,X,X,O,X,X,O,O,X,X,X,X,X,X
IOJZSTL,X,X,X,X,X,O,O,X,X,X,O,X,X
IOJZSLT,X,X,O,X,X,O,O,X,X,X,X,X,X
IOSTLJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
IOSTLZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
IOSTJLZ,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTJZL,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSTZLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSTZJL,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSLTJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
IOSLTZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
IOSLJTZ,X,O,X,X,O,X,X,X,O,X,X,X,X
IOSLJZT,X,O,X,X,X,X,X,X,O,O,X,X,X
IOSLZTJ,X,O,O,X,O,X,X,X,X,O,X,X,X
IOSLZJT,X,O,X,X,O,X,X,X,X,O,X,X,X
IOSJTLZ,X,O,X,X,X,O,X,X,X,X,O,X,X
IOSJTZL,X,X,X,X,X,O,X,X,X,O,O,X,X
IOSJLTZ,X,O,X,X,O,O,X,X,X,X,O,X,X
IOSJLZT,X,O,X,X,X,O,X,X,X,O,X,X,X
IOSJZTL,X,X,X,X,X,O,X,X,X,O,O,X,X
IOSJZLT,X,O,X,X,X,O,X,X,X,O,X,X,X
IOSZTLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSZTJL,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSZLTJ,X,O,O,X,O,X,X,X,X,O,X,X,X
IOSZLJT,X,O,X,X,X,X,X,X,X,O,X,X,X
IOSZJTL,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSZJLT,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZTLJS,X,X,O,X,X,X,O,X,X,X,X,X,X
IOZTLSJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOZTJLS,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZTJSL,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZTSLJ,X,X,X,X,X,X,O,X,X,O,X,X,X
IOZTSJL,X,X,X,X,X,X,O,X,X,O,X,X,X
IOZLTJS,X,X,O,X,X,X,O,X,X,X,X,X,X
IOZLTSJ,X,X,O,X,O,X,O,X,X,X,X,X,X
IOZLJTS,X,X,O,X,X,X,O,X,O,X,X,X,X
IOZLJST,X,X,O,X,X,X,O,X,O,X,X,X,X
IOZLSTJ,X,X,O,X,O,X,O,X,X,X,X,X,X
IOZLSJT,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZJTLS,X,X,O,X,X,X,O,X,X,X,X,X,X
IOZJTSL,X,X,X,X,X,O,O,X,X,X,X,X,X
IOZJLTS,X,X,O,X,X,X,O,X,X,X,X,X,X
IOZJLST,X,X,O,X,X,O,O,X,X,X,X,X,X
IOZJSTL,X,X,X,X,X,O,O,X,X,X,X,X,X
IOZJSLT,X,X,O,X,X,O,O,X,X,X,X,X,X
IOZSTLJ,X,X,X,X,X,X,O,X,X,O,X,X,X
IOZSTJL,X,X,X,X,X,X,O,X,X,O,X,X,X
IOZSLTJ,X,X,O,X,O,X,O,X,X,O,X,X,X
IOZSLJT,X,X,X,X,X,X,O,X,X,O,X,X,X
IOZSJTL,X,X,X,X,X,X,O,X,X,O,X,X,X
IOZSJLT,X,X,X,X,X,X,O,X,X,O,X,X,X
LTIJSZO,X,O,O,O,X,X,O,O,X,X,X,O,O
LTIJSOZ,X,O,X,X,X,X,X,X,X,X,X,O,X
LTIJZSO,O,O,O,O,X,X,O,O,X,X,X,O,X
LTIJZOS,O,X,O,O,X,X,O,O,X,X,X,O,X
LTIJOSZ,X,O,O,X,X,X,X,X,X,X,X,O,X
LTIJOZS,O,X,O,O,X,X,O,O,X,X,X,O,X
LTISJZO,X,O,X,O,X,X,O,O,X,X,X,O,O
LTISJOZ,X,O,X,X,X,X,X,X,X,X,X,O,X
LTISZJO,X,O,X,X,O,X,O,X,X,X,X,O,O
LTISZOJ,X,O,X,X,O,X,O,X,X,X,X,X,X
LTISOJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
LTISOZJ,X,O,X,X,O,X,X,X,X,X,X,X,X
LTIZJSO,O,O,O,O,O,X,O,O,X,X,X,O,X
LTIZJOS,O,X,O,O,O,X,O,O,X,X,X,O,X
LTIZSJO,O,O,X,O,O,X,O,X,X,X,X,O,X
LTIZSOJ,O,O,X,O,O,X,O,X,X,X,X,X,X
LTIZOJS,O,X,O,O,X,X,O,X,O,X,X,O,X
LTIZOSJ,O,X,O,X,O,X,O,X,X,X,X,X,X
LTIOJSZ,X,O,O,X,O,X,X,X,O,X,X,O,X
LTIOJZS,O,X,O,O,X,X,O,O,O,X,X,O,X
LTIOSJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
LTIOSZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
LTIOZJS,O,X,O,X,O,X,O,X,O,X,X,O,X
LTIOZSJ,O,X,O,X,O,X,O,X,X,X,X,X,X
LTJISZO,X,O,O,O,X,X,O,O,X,X,X,O,O
LTJISOZ,X,O,X,X,X,X,X,X,X,X,X,O,X
LTJIZSO,O,O,O,O,X,X,O,O,X,X,X,O,X
LTJIZOS,O,X,O,O,X,X,O,O,O,X,X,O,X
LTJIOSZ,X,O,O,X,X,X,X,X,O,X,X,O,X
LTJIOZS,O,X,O,O,X,X,O,O,O,X,X,O,X
LTJSIZO,O,O,O,O,X,X,O,O,X,X,X,O,O
LTJSIOZ,O,O,X,X,X,X,X,X,X,X,X,O,X
LTJSZIO,O,O,O,O,O,X,O,O,X,X,X,O,O
LTJSZOI,O,X,X,O,O,X,O,O,O,X,X,O,O
LTJSOIZ,O,X,O,X,O,X,X,X,O,X,X,O,X
LTJSOZI,O,X,O,X,O,X,X,X,O,X,X,O,X
LTJZISO,O,X,O,O,O,X,O,O,X,X,X,O,X
LTJZIOS,O,X,O,O,O,X,O,O,O,X,X,O,X
LTJZSIO,O,O,O,O,O,X,O,O,X,X,X,O,X
LTJZSOI,O,X,X,O,O,X,O,O,O,X,X,O,X
LTJZOIS,O,X,O,O,O,X,X,O,O,X,X,O,X
LTJZOSI,O,X,O,O,O,X,O,O,O,X,X,O,X
LTJOISZ,X,X,O,X,O,X,X,X,O,X,X,O,X
LTJOIZS,O,X,O,O,X,X,O,O,O,X,X,O,X
LTJOSIZ,O,X,O,X,O,X,X,X,O,X,X,O,X
LTJOSZI,O,X,O,X,O,X,X,X,O,X,X,O,X
LTJOZIS,O,X,O,O,O,X,X,O,O,X,X,O,X
LTJOZSI,O,X,O,O,O,X,O,O,O,X,X,O,X
LTSIJZO,O,O,X,O,X,X,O,O,X,X,X,O,O
LTSIJOZ,O,O,X,X,X,X,X,X,X,X,X,O,X
LTSIZJO,O,O,X,X,O,X,O,X,X,X,X,O,O
LTSIZOJ,O,O,X,X,O,X,O,X,X,X,X,X,X
LTSIOJZ,O,O,X,X,O,X,X,X,X,X,X,X,X
LTSIOZJ,O,O,X,X,O,X,X,X,X,X,X,X,X
LTSJIZO,O,O,O,O,X,X,O,O,X,X,X,O,O
LTSJIOZ,O,O,X,X,X,X,X,X,X,X,X,O,X
LTSJZIO,O,O,O,O,O,X,O,O,X,X,X,O,O
LTSJZOI,O,X,X,O,O,X,O,O,X,X,X,O,O
LTSJOIZ,O,X,O,X,O,X,X,X,X,X,X,O,X
LTSJOZI,O,X,O,X,O,X,X,X,X,X,X,O,X
LTSZIJO,O,O,X,O,O,X,O,X,X,X,X,O,O
LTSZIOJ,O,O,X,O,O,X,X,X,X,X,X,X,X
LTSZJIO,O,O,O,O,O,X,O,O,X,X,X,O,O
LTSZJOI,O,X,X,O,O,X,O,O,X,X,X,O,O
LTSZOIJ,O,O,O,O,O,X,X,X,X,X,X,X,X
LTSZOJI,O,X,O,O,O,X,O,X,O,X,X,O,O
LTSOIJZ,O,O,X,X,O,X,X,X,X,X,X,X,X
LTSOIZJ,O,O,O,X,O,X,X,X,X,X,X,X,X
LTSOJIZ,O,X,O,X,O,X,X,X,O,X,X,O,X
LTSOJZI,O,X,O,X,O,X,X,X,O,X,X,O,X
LTSOZIJ,O,O,O,X,O,X,X,X,X,X,X,X,X
LTSOZJI,O,X,O,X,O,X,X,X,O,X,X,O,X
LTZIJSO,O,O,O,O,O,X,O,O,X,X,X,O,X
LTZIJOS,O,X,O,O,O,X,O,O,X,X,X,O,X
LTZISJO,O,O,X,O,O,X,O,X,X,X,X,O,X
LTZISOJ,O,O,X,O,O,X,O,X,X,X,X,X,X
LTZIOJS,O,X,O,O,X,X,O,X,O,X,X,O,X
LTZIOSJ,O,X,O,X,O,X,O,X,X,X,X,X,X
LTZJISO,O,X,O,O,O,X,O,O,X,X,X,O,X
LTZJIOS,O,X,O,O,O,X,O,O,X,X,X,O,X
LTZJSIO,O,O,O,O,O,X,O,O,X,X,X,O,X
LTZJSOI,O,X,X,O,O,X,O,O,X,X,X,O,X
LTZJOIS,O,X,O,O,O,X,X,O,O,X,X,O,X
LTZJOSI,O,X,O,O,O,X,O,O,O,X,X,O,X
LTZSIJO,O,O,X,O,O,X,O,X,X,X,X,O,X
LTZSIOJ,O,O,X,O,O,X,X,X,X,O,X,X,X
LTZSJIO,O,O,O,O,O,X,O,O,X,X,X,O,X
LTZSJOI,O,X,X,O,O,X,O,O,X,O,X,O,X
LTZSOIJ,O,O,O,O,O,X,X,X,X,O,X,X,X
LTZSOJI,O,X,O,O,O,X,O,X,O,O,X,O,X
LTZOIJS,O,X,O,O,O,X,X,X,O,X,X,O,X
LTZOISJ,O,X,O,X,O,X,X,X,X,X,X,X,X
LTZOJIS,O,X,O,O,O,X,X,O,O,X,X,O,X
LTZOJSI,O,X,O,O,O,X,O,O,O,X,X,O,X
LTZOSIJ,O,O,O,O,O,X,X,X,X,O,X,X,X
LTZOSJI,O,X,O,O,O,X,O,X,O,O,X,O,X
LTOIJSZ,X,O,O,X,O,X,X,X,O,X,X,O,X
LTOIJZS,O,X,O,O,X,X,O,O,O,X,X,O,X
LTOISJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
LTOISZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
