sequence,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFzcBGeBUjBF?nB3sBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeF8IvhF0dB6jB3hBm?nBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JecBJvhFTdB6jBeoBF?nB3qBxwB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeU8IvhFFdB6jBziBm?mB3sBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFGdBTeBFnBX?oBUsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFFdBXeBWnBc?oBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeU8IvhFGeBiiB3hBF?oBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeG9IvhFTeBihBUnBF?oB3qBxwB,v115@zgC8GeD8FeD8FeF8CeC8FeB8Jex9IvhFlhBcnBTjB3?sByvBGrB,v115@zgC8GeD8FeD8FeF8CeC8FeB8Jex9IvhFlhB3iBcoBT?sByvBGrB
IOSZTJL,O,O,X,O,O,O,O,X,O,X
IOSZLTJ,O,O,X,O,O,O,X,X,O,X
IOSZLJT,O,O,X,O,X,O,O,X,O,X
IOSZJTL,O,O,X,O,X,O,X,X,O,X
IOSZJLT,O,O,X,O,X,O,X,X,O,X
IOZTLJS,O,O,O,O,X,O,O,O,X,X
IOZTLSJ,O,O,X,O,X,O,O,O,X,X
IOZTJLS,O,O,O,O,X,O,O,O,X,X
IOZTJSL,O,O,O,X,X,O,O,O,X,X
IOZTSLJ,O,O,X,O,X,O,O,O,X,O
IOZTSJL,O,O,O,O,X,O,O,O,X,O
IOZLTJS,O,O,X,O,X,O,O,O,X,X
IOZLTSJ,O,O,X,O,X,O,O,O,X,X
IOZLJTS,O,O,O,O,X,O,O,O,X,X
IOZLJST,O,O,X,O,X,O,O,X,X,X
IOZLSTJ,O,O,X,O,X,O,X,X,X,O
IOZLSJT,O,O,X,O,X,O,O,X,X,O
IOZJTLS,O,O,O,O,X,O,O,X,X,X
IOZJTSL,O,O,O,X,X,O,O,X,X,X
IOZJLTS,O,O,O,O,X,O,O,X,X,X
IOZJLST,O,O,X,O,X,O,O,X,X,X
IOZJSTL,O,O,X,X,X,O,X,X,X,O
IOZJSLT,O,O,X,X,X,O,X,X,X,O
IOZSTLJ,O,O,X,O,X,O,O,X,O,O
IOZSTJL,O,O,X,O,X,O,O,X,O,O
IOZSLTJ,O,O,X,O,X,O,X,X,O,O
IOZSLJT,O,O,X,O,X,O,O,X,O,O
IOZSJTL,O,O,X,O,X,O,X,X,O,O
IOZSJLT,O,O,X,O,X,O,X,X,O,O
LTIJSZO,X,O,O,O,O,O,O,X,X,X
LTIJSOZ,X,O,O,O,O,X,X,X,X,X
LTIJZSO,O,O,O,O,O,O,O,O,X,X
LTIJZOS,O,O,O,O,X,O,O,O,X,X
LTIJOSZ,X,O,O,X,O,X,X,X,X,X
LTIJOZS,O,O,O,O,X,O,O,X,X,X
LTISJZO,O,O,X,O,O,X,O,X,X,X
LTISJOZ,O,O,X,O,O,X,X,X,X,X
LTISZJO,O,O,X,O,O,X,O,X,X,X
LTISZOJ,O,O,X,O,O,X,X,X,X,X
LTISOJZ,O,O,X,O,O,X,X,X,X,X
LTISOZJ,O,O,X,O,O,X,X,X,X,X
LTIZJSO,O,O,O,O,O,O,O,O,X,X
LTIZJOS,O,O,O,O,X,O,O,O,X,X
LTIZSJO,O,O,X,O,O,O,O,O,X,X
LTIZSOJ,O,O,X,O,O,O,X,O,X,X
LTIZOJS,O,O,X,O,X,O,O,O,X,X
LTIZOSJ,O,O,X,O,X,O,X,O,X,X
LTIOJSZ,X,O,X,X,O,O,X,X,X,X
LTIOJZS,O,O,X,X,X,O,O,X,X,X
LTIOSJZ,X,O,X,X,O,X,X,X,X,X
LTIOSZJ,O,O,X,X,O,X,X,X,X,X
LTIOZJS,O,O,X,X,X,O,O,O,X,X
LTIOZSJ,O,O,X,X,X,O,X,O,X,X
LTJISZO,X,O,O,O,X,X,O,X,X,X
LTJISOZ,X,X,O,O,O,X,X,X,X,X
LTJIZSO,X,O,O,O,X,O,O,X,X,X
LTJIZOS,X,O,O,O,X,X,O,X,X,X
LTJIOSZ,X,O,O,X,X,X,X,X,X,X
LTJIOZS,X,O,O,O,X,X,O,X,X,X
LTJSIZO,X,O,O,O,O,X,X,X,X,X
LTJSIOZ,X,O,O,X,O,X,X,X,X,X
LTJSZIO,X,O,O,O,O,O,O,X,X,X
LTJSZOI,X,O,X,O,O,O,O,X,X,X
LTJSOIZ,X,O,O,X,O,X,X,X,X,X
LTJSOZI,X,O,O,O,O,X,X,X,X,X
LTJZISO,X,O,O,O,X,O,O,X,X,X
LTJZIOS,O,X,O,O,X,O,O,O,X,X
LTJZSIO,X,O,O,O,X,O,O,X,X,X
LTJZSOI,O,O,X,O,O,O,O,O,X,X
LTJZOIS,O,X,O,O,X,O,X,O,X,X
LTJZOSI,O,O,O,O,X,O,O,O,X,X
LTJOISZ,X,X,O,X,X,X,X,X,X,X
LTJOIZS,X,O,O,X,X,X,X,X,X,X
LTJOSIZ,X,X,O,X,O,X,X,X,X,X
LTJOSZI,X,O,O,X,O,X,X,X,X,X
LTJOZIS,O,O,O,O,X,X,X,X,X,X
LTJOZSI,O,O,O,O,X,O,O,X,X,X
LTSIJZO,X,O,X,X,O,X,X,X,X,X
LTSIJOZ,X,O,X,X,O,X,X,X,X,X
LTSIZJO,O,O,X,X,O,X,X,X,X,X
LTSIZOJ,O,O,X,X,O,X,X,X,X,X
LTSIOJZ,X,O,X,X,O,X,X,X,X,X
LTSIOZJ,O,O,X,X,O,X,X,X,X,X
LTSJIZO,X,O,X,O,O,X,X,X,X,X
LTSJIOZ,X,O,X,X,O,X,X,X,X,X
LTSJZIO,O,O,X,O,O,X,O,X,X,X
LTSJZOI,O,O,X,O,O,X,O,X,X,X
LTSJOIZ,X,O,X,X,O,X,X,X,X,X
LTSJOZI,O,O,X,O,O,X,X,X,X,X
LTSZIJO,O,O,X,X,O,X,X,X,X,X
LTSZIOJ,O,O,X,O,O,X,X,X,X,X
LTSZJIO,O,O,X,O,O,X,O,X,X,X
LTSZJOI,O,O,X,O,O,X,O,X,X,X
LTSZOIJ,O,O,X,O,O,X,X,X,X,X
LTSZOJI,O,O,X,O,O,X,X,X,X,X
LTSOIJZ,X,X,X,X,O,X,X,X,X,X
LTSOIZJ,O,O,X,O,O,X,X,X,X,X
LTSOJIZ,X,X,X,O,O,X,X,X,X,X
LTSOJZI,O,O,X,O,O,X,X,X,X,X
LTSOZIJ,O,O,X,O,O,X,X,X,X,X
LTSOZJI,O,O,X,O,O,X,X,X,X,X
LTZIJSO,O,O,O,O,X,O,O,O,X,X
LTZIJOS,O,O,O,O,X,O,O,O,X,X
LTZISJO,O,O,X,O,X,O,O,O,X,X
LTZISOJ,O,O,X,O,X,O,X,O,X,X
LTZIOJS,O,O,X,O,X,O,O,O,X,X
LTZIOSJ,O,O,X,O,X,O,X,O,X,X
LTZJISO,O,O,O,O,X,O,O,O,X,X
LTZJIOS,O,X,O,O,X,O,O,O,X,X
LTZJSIO,O,O,O,O,X,O,O,X,X,X
LTZJSOI,O,O,X,O,O,O,O,O,X,X
LTZJOIS,O,X,O,O,X,O,X,O,X,X
LTZJOSI,O,O,O,O,X,O,O,O,X,X
LTZSIJO,O,O,X,O,O,O,X,O,X,X
LTZSIOJ,O,O,X,O,O,O,X,O,X,X
LTZSJIO,O,O,X,O,O,O,O,X,X,X
LTZSJOI,O,O,X,O,O,O,O,O,X,X
LTZSOIJ,O,O,X,O,O,X,X,O,X,X
LTZSOJI,O,O,X,O,O,O,X,O,X,X
LTZOIJS,O,X,X,O,X,X,X,O,X,X
LTZOISJ,X,X,X,O,X,X,X,O,X,X
LTZOJIS,O,O,O,O,X,O,X,O,X,X
LTZOJSI,O,O,O,O,X,O,O,O,X,X
LTZOSIJ,X,O,X,O,X,O,X,O,X,X
LTZOSJI,O,O,X,O,X,O,X,O,X,X
LTOIJSZ,X,O,X,X,X,X,X,X,X,X
LTOIJZS,X,O,X,X,X,X,X,X,X,X
LTOISJZ,X,O,X,X,X,X,X,X,X,X
LTOISZJ,X,O,X,X,X,X,X,X,X,X
LTOIZJS,O,O,X,X,X,X,X,O,X,X
LTOIZSJ,X,O,X,X,X,X,X,O,X,X
LTOJISZ,X,O,O,X,X,X,X,X,X,X
LTOJIZS,X,O,O,X,X,O,X,X,X,X
LTOJSIZ,X,O,O,X,O,X,X,X,X,X
LTOJSZI,X,O,O,X,O,O,X,X,X,X
LTOJZIS,O,O,O,X,X,O,X,X,X,X
LTOJZSI,O,O,O,X,X,O,O,X,X,X
LTOSIJZ,X,X,X,X,O,X,X,X,X,X
LTOSIZJ,X,O,X,X,O,X,X,X,X,X
LTOSJIZ,X,X,X,X,O,X,X,X,X,X
LTOSJZI,X,O,X,X,O,X,X,X,X,X
LTOSZIJ,X,O,X,X,O,X,X,X,X,X
LTOSZJI,O,O,X,X,O,X,X,X,X,X
LTOZIJS,O,X,X,X,X,X,X,O,X,X
LTOZISJ,X,X,X,X,X,X,X,O,X,X
LTOZJIS,O,O,O,X,X,O,X,O,X,X
LTOZJSI,O,O,O,X,X,O,O,O,X,X
LTOZSIJ,X,O,X,X,X,O,X,O,X,O
LTOZSJI,O,O,X,X,X,O,X,O,X,O
LITJSZO,X,O,O,O,O,O,O,X,X,X
LITJSOZ,X,O,O,O,O,X,X,X,X,X
LITJZSO,O,O,O,O,O,O,O,O,X,X
LITJZOS,O,O,O,O,X,O,O,O,X,X
LITJOSZ,X,O,O,X,O,X,X,X,X,X
LITJOZS,O,O,O,O,X,O,O,X,X,X
LITSJZO,O,O,X,O,O,X,O,X,X,X
LITSJOZ,O,O,X,O,O,X,X,X,X,X
LITSZJO,O,O,X,O,O,X,O,X,X,X
LITSZOJ,O,O,X,O,O,X,X,X,X,X
LITSOJZ,O,O,X,O,O,X,X,X,X,X
LITSOZJ,O,O,X,O,O,X,X,X,X,X
LITZJSO,O,O,O,O,O,O,O,O,X,X
LITZJOS,O,O,O,O,X,O,O,O,X,X
LITZSJO,O,O,X,O,O,O,O,O,X,X
LITZSOJ,O,O,X,O,O,O,X,O,X,X
LITZOJS,O,O,O,O,X,O,O,O,X,X
LITZOSJ,O,O,X,O,X,O,X,O,X,X
LITOJSZ,X,O,O,X,O,O,X,X,X,X
LITOJZS,O,O,O,X,X,O,O,X,X,X
LITOSJZ,X,O,X,X,O,X,X,X,X,X
LITOSZJ,O,O,X,X,O,X,X,X,X,X
LITOZJS,O,O,O,X,X,O,O,O,X,X
LITOZSJ,O,O,X,X,X,O,X,O,X,X
LIJTSZO,X,O,O,O,O,O,X,X,X,X
LIJTSOZ,X,O,O,O,O,X,X,X,X,X
LIJTZSO,O,O,O,O,O,O,X,O,X,X
LIJTZOS,O,O,O,O,X,O,X,O,X,X
LIJTOSZ,X,O,O,X,O,X,X,X,X,X
LIJTOZS,O,O,O,O,X,O,X,X,X,X
LIJSTZO,O,O,O,O,O,O,X,X,X,X
LIJSTOZ,O,O,O,O,O,X,X,X,X,X
LIJSZTO,O,O,O,O,X,O,X,O,X,X
LIJSZOT,O,O,X,O,X,O,X,X,X,X
LIJSOTZ,X,O,X,O,O,X,X,X,X,X
LIJSOZT,X,O,X,O,X,X,X,X,X,X
LIJZTSO,O,O,O,O,X,O,X,O,X,X
LIJZTOS,O,O,O,O,X,O,X,O,X,X
LIJZSTO,O,O,O,O,X,O,X,O,X,X
LIJZSOT,O,O,X,O,X,O,X,X,X,X
LIJZOTS,O,O,O,O,X,O,X,O,X,X
LIJZOST,O,O,X,O,X,O,X,X,X,X
LIJOTSZ,X,O,O,X,X,O,X,X,X,X
LIJOTZS,X,O,O,O,X,O,X,X,X,X
LIJOSTZ,X,O,X,O,X,O,X,X,X,X
LIJOSZT,X,O,X,O,X,O,X,X,X,X
LIJOZTS,X,O,O,O,X,O,X,O,X,X
LIJOZST,X,O,X,O,X,O,X,X,X,X
LISTJZO,O,O,X,O,O,X,X,X,X,X
LISTJOZ,O,O,X,O,O,X,X,X,X,X
LISTZJO,O,O,X,O,O,X,X,X,X,X
LISTZOJ,O,O,X,O,O,X,X,X,X,X
LISTOJZ,O,O,X,O,O,X,X,X,X,X
LISTOZJ,O,O,X,O,O,X,X,X,X,X
LISJTZO,O,O,O,O,O,O,X,X,X,X
LISJTOZ,O,O,O,O,O,X,X,X,X,X
LISJZTO,O,O,O,O,X,O,X,O,X,X
LISJZOT,O,O,X,O,X,O,X,X,X,X
LISJOTZ,X,O,X,O,O,X,X,X,X,X
LISJOZT,X,O,X,O,X,X,X,X,X,X
LISZTJO,O,O,X,O,O,O,X,O,X,X
LISZTOJ,O,O,X,O,O,O,X,O,X,X
LISZJTO,O,O,O,O,X,O,X,O,X,X
LISZJOT,O,X,X,O,X,O,X,X,X,X
LISZOTJ,O,O,X,O,O,O,X,X,X,X
LISZOJT,O,X,X,O,X,O,X,X,X,X
LISOTJZ,O,O,X,O,O,X,X,X,X,X
LISOTZJ,O,O,X,O,O,X,X,X,X,X
LISOJTZ,X,O,X,O,O,O,X,X,X,X
LISOJZT,X,O,X,O,X,O,X,X,X,X
LISOZTJ,O,O,X,O,O,O,X,X,X,X
LISOZJT,O,O,X,O,X,O,X,X,X,X
LIZTJSO,O,O,O,O,O,O,O,O,X,X
LIZTJOS,O,O,O,O,X,O,O,O,X,X
LIZTSJO,O,O,X,O,O,O,O,O,X,X
LIZTSOJ,O,O,X,O,O,O,X,O,X,X
LIZTOJS,O,O,O,O,X,O,O,O,X,X
LIZTOSJ,O,O,X,O,X,O,X,O,X,X
LIZJTSO,O,O,O,O,X,O,X,O,X,X
LIZJTOS,O,O,O,O,X,O,X,O,X,X
LIZJSTO,O,O,O,O,X,O,X,O,X,X
LIZJSOT,O,O,X,O,X,O,X,X,X,X
LIZJOTS,O,O,O,O,X,O,X,O,X,X
LIZJOST,O,O,X,O,X,O,X,X,X,X
LIZSTJO,O,O,X,O,O,O,X,O,X,X
LIZSTOJ,O,O,X,O,O,O,X,O,X,X
LIZSJTO,O,O,O,O,X,O,X,O,X,X
LIZSJOT,O,X,X,O,X,O,X,X,X,X
LIZSOTJ,O,O,X,O,O,O,X,X,X,X
LIZSOJT,O,X,X,O,X,O,X,X,X,X
LIZOTJS,O,O,X,O,X,O,O,O,X,X
LIZOTSJ,O,O,X,O,X,O,O,O,X,X
LIZOJTS,O,O,O,O,X,O,O,O,X,X
LIZOJST,O,O,X,O,X,O,O,X,X,X
LIZOSTJ,O,O,X,O,X,O,X,X,X,X
LIZOSJT,O,O,X,O,X,O,O,X,X,X
LIOTJSZ,X,O,X,X,O,O,O,X,X,X
LIOTJZS,O,O,X,X,X,O,O,X,X,X
LIOTSJZ,X,O,X,X,O,X,O,X,X,X
LIOTSZJ,O,O,X,X,O,X,O,X,X,X
LIOTZJS,O,O,X,X,X,O,O,X,X,X
LIOTZSJ,O,O,X,X,X,O,O,X,X,X
LIOJTSZ,X,O,O,X,X,O,X,X,X,X
LIOJTZS,X,O,O,O,X,O,O,X,X,X
LIOJSTZ,X,O,X,O,X,O,X,X,X,X
LIOJSZT,X,O,X,O,X,O,O,X,X,X
LIOJZTS,X,O,O,O,X,O,O,O,X,X
LIOJZST,X,O,X,O,X,O,O,X,X,X
LIOSTJZ,O,O,X,O,O,X,X,X,X,X
LIOSTZJ,O,O,X,O,O,X,X,X,X,X
LIOSJTZ,X,O,X,O,O,O,X,X,X,X
LIOSJZT,X,O,X,O,X,O,O,X,X,X
LIOSZTJ,O,O,X,O,O,O,X,X,X,X
LIOSZJT,O,O,X,O,X,O,O,X,X,X
LIOZTJS,O,O,X,O,X,O,O,O,X,X
LIOZTSJ,O,O,X,O,X,O,O,O,X,X
LIOZJTS,O,O,O,O,X,O,O,O,X,X
LIOZJST,O,O,X,O,X,O,O,X,X,X
LIOZSTJ,O,O,X,O,X,O,X,X,X,X
LIOZSJT,O,O,X,O,X,O,O,X,X,X
LJTISZO,X,O,O,O,X,X,X,X,X,X
LJTISOZ,X,X,O,O,O,X,X,X,X,X
LJTIZSO,X,O,O,O,X,O,X,X,X,X
LJTIZOS,X,O,O,O,X,X,X,X,X,X
LJTIOSZ,X,O,O,X,X,X,X,X,X,X
LJTIOZS,X,O,O,O,X,X,X,X,X,X
LJTSIZO,X,O,O,O,X,X,X,X,X,X
LJTSIOZ,X,O,O,X,O,X,X,X,X,X
LJTSZIO,X,O,O,O,O,O,X,X,X,X
LJTSZOI,X,O,X,O,O,O,X,X,X,X
LJTSOIZ,X,O,O,X,O,X,X,X,X,X
LJTSOZI,X,O,O,O,O,X,X,X,X,X
LJTZISO,X,O,O,O,X,O,X,X,X,X
LJTZIOS,O,X,O,O,X,O,X,O,X,X
LJTZSIO,X,O,O,O,X,O,X,X,X,X
LJTZSOI,O,O,X,O,O,O,X,O,X,X
LJTZOIS,O,X,O,O,X,O,X,O,X,X
LJTZOSI,O,O,O,O,X,O,X,O,X,X
LJTOISZ,X,X,O,X,X,X,X,X,X,X
LJTOIZS,X,O,O,X,X,X,X,X,X,X
LJTOSIZ,X,X,O,X,O,X,X,X,X,X
LJTOSZI,X,O,O,X,O,X,X,X,X,X
LJTOZIS,O,O,O,O,X,X,X,X,X,X
LJTOZSI,O,O,O,O,X,O,X,X,X,X
LJITSZO,X,O,O,O,O,O,X,X,X,X
LJITSOZ,X,O,O,O,O,X,X,X,X,X
LJITZSO,O,O,O,O,O,O,X,O,X,X
LJITZOS,O,O,O,O,X,O,X,O,X,X
LJITOSZ,X,O,O,X,O,X,X,X,X,X
LJITOZS,O,O,O,O,X,O,X,X,X,X
LJISTZO,O,O,O,O,O,O,X,X,X,X
LJISTOZ,O,O,O,O,O,X,X,X,X,X
LJISZTO,O,O,O,O,X,O,X,O,X,X
LJISZOT,O,O,X,O,X,O,X,X,X,X
LJISOTZ,X,O,X,O,O,X,X,X,X,X
LJISOZT,X,O,X,O,X,X,X,X,X,X
LJIZTSO,O,O,O,O,X,O,X,O,X,X
LJIZTOS,O,O,O,O,X,O,X,O,X,X
LJIZSTO,O,O,O,O,X,O,X,O,X,X
LJIZSOT,O,O,X,O,X,O,X,X,X,X
LJIZOTS,O,O,O,O,X,O,X,O,X,X
LJIZOST,O,O,X,O,X,O,X,X,X,X
LJIOTSZ,X,O,O,X,X,O,X,X,X,X
LJIOTZS,X,O,O,O,X,O,X,X,X,X
LJIOSTZ,X,O,X,O,X,O,X,X,X,X
LJIOSZT,X,O,X,O,X,O,X,X,X,X
LJIOZTS,X,O,O,O,X,O,X,O,X,X
LJIOZST,X,O,X,O,X,O,X,X,X,X
LJSTIZO,X,O,O,O,X,X,X,X,X,X
LJSTIOZ,X,O,O,X,X,X,X,X,X,X
LJSTZIO,O,O,O,O,O,O,X,X,X,X
LJSTZOI,O,O,X,O,O,O,X,X,X,X
LJSTOIZ,X,O,O,X,O,X,X,X,X,X
LJSTOZI,O,O,O,O,O,X,X,X,X,X
LJSITZO,X,O,O,O,O,X,X,X,X,X
LJSITOZ,X,O,O,O,O,X,X,X,X,X
LJSIZTO,X,O,O,O,X,X,X,X,X,X
LJSIZOT,X,O,X,O,X,X,X,X,X,X
LJSIOTZ,X,O,X,O,O,X,X,X,X,X
LJSIOZT,X,O,X,O,X,X,X,X,X,X
LJSZTIO,O,O,O,O,X,O,X,X,X,X
LJSZTOI,O,O,X,O,X,O,X,O,X,X
LJSZITO,O,O,O,O,X,O,X,X,X,X
LJSZIOT,X,O,X,O,X,O,X,X,X,X
LJSZOTI,O,O,X,O,X,O,X,X,X,X
LJSZOIT,X,X,X,O,X,O,X,X,X,X
LJSOTIZ,X,O,X,O,O,X,X,X,X,X
LJSOTZI,X,O,X,O,O,X,X,X,X,X
LJSOITZ,X,O,X,O,O,X,X,X,X,X
LJSOIZT,X,O,X,O,X,X,X,X,X,X
LJSOZTI,X,O,X,O,X,X,X,X,X,X
LJSOZIT,X,X,X,O,X,X,X,X,X,X
LJZTISO,O,O,O,O,X,O,X,O,X,X
LJZTIOS,O,X,O,O,X,O,X,O,X,X
LJZTSIO,O,O,O,O,X,O,X,X,X,X
LJZTSOI,O,O,X,O,X,O,X,O,X,X
LJZTOIS,O,X,O,O,X,O,X,O,X,X
LJZTOSI,O,O,O,O,X,O,X,O,X,X
LJZITSO,O,O,O,O,X,O,X,X,X,X
LJZITOS,O,X,O,O,X,O,X,O,X,X
LJZISTO,O,O,O,O,X,O,X,X,X,X
LJZISOT,O,X,X,O,X,O,X,X,X,X
LJZIOTS,O,X,O,O,X,O,X,X,X,X
LJZIOST,O,X,X,O,X,O,X,X,X,X
LJZSTIO,O,O,O,O,X,O,X,X,X,X
LJZSTOI,O,O,X,O,X,O,X,O,X,X
LJZSITO,O,O,O,O,X,O,X,X,X,X
LJZSIOT,O,O,X,O,X,O,X,X,X,X
LJZSOTI,O,O,X,O,X,O,X,X,X,X
LJZSOIT,X,X,X,O,X,O,X,X,X,X
LJZOTIS,O,X,O,O,X,O,X,O,X,X
LJZOTSI,O,O,X,O,X,O,X,O,X,X
LJZOITS,O,X,O,O,X,O,X,X,X,X
LJZOIST,O,X,X,O,X,O,X,X,X,X
LJZOSTI,O,O,X,O,X,O,X,X,X,X
LJZOSIT,X,X,X,X,X,O,X,X,X,X
LJOTISZ,X,O,O,X,X,X,X,X,X,X
LJOTIZS,X,O,O,X,X,O,X,X,X,X
LJOTSIZ,X,O,O,X,X,X,X,X,X,X
LJOTSZI,X,O,O,X,X,O,X,X,X,X
LJOTZIS,X,O,O,O,X,O,X,X,X,X
LJOTZSI,X,O,O,O,X,O,X,X,X,X
LJOITSZ,X,O,O,X,X,X,X,X,X,X
LJOITZS,X,O,O,O,X,O,X,X,X,X
LJOISTZ,X,O,X,O,X,X,X,X,X,X
LJOISZT,X,O,X,O,X,X,X,X,X,X
LJOIZTS,X,O,O,O,X,O,X,X,X,X
LJOIZST,X,O,X,O,X,O,X,X,X,X
LJOSTIZ,X,O,X,X,X,X,X,X,X,X
LJOSTZI,X,O,X,O,X,O,X,X,X,X
LJOSITZ,X,O,X,X,X,X,X,X,X,X
LJOSIZT,X,O,X,X,X,X,X,X,X,X
LJOSZTI,X,O,X,O,X,O,X,X,X,X
LJOSZIT,X,O,X,X,X,O,X,X,X,X
LJOZTIS,X,O,O,O,X,O,X,O,X,X
LJOZTSI,X,O,X,O,X,O,X,O,X,X
LJOZITS,X,O,O,O,X,O,X,X,X,X
LJOZIST,X,O,X,O,X,O,X,X,X,X
LJOZSTI,X,O,X,O,X,O,X,X,X,X
LJOZSIT,X,O,X,X,X,O,X,X,X,X
LSTIJZO,X,O,X,X,O,X,X,X,X,X
LSTIJOZ,X,O,X,X,O,X,X,X,X,X
LSTIZJO,O,O,X,X,O,X,X,X,X,X
LSTIZOJ,O,O,X,X,O,X,X,X,X,X
LSTIOJZ,X,O,X,X,O,X,X,X,X,X
LSTIOZJ,O,O,X,X,O,X,X,X,X,X
LSTJIZO,X,O,X,O,O,X,X,X,X,X
LSTJIOZ,X,O,X,X,O,X,X,X,X,X
LSTJZIO,O,O,X,O,O,X,X,X,X,X
LSTJZOI,O,O,X,O,O,X,X,X,X,X
LSTJOIZ,X,O,X,X,O,X,X,X,X,X
LSTJOZI,O,O,X,O,O,X,X,X,X,X
LSTZIJO,O,O,X,X,O,X,X,X,X,X
LSTZIOJ,O,O,X,O,O,X,X,X,X,X
LSTZJIO,O,O,X,O,O,X,X,X,X,X
LSTZJOI,O,O,X,O,O,X,X,X,X,X
LSTZOIJ,O,O,X,O,O,X,X,X,X,X
LSTZOJI,O,O,X,O,O,X,X,X,X,X
LSTOIJZ,X,X,X,X,O,X,X,X,X,X
LSTOIZJ,O,O,X,O,O,X,X,X,X,X
LSTOJIZ,X,X,X,O,O,X,X,X,X,X
LSTOJZI,O,O,X,O,O,X,X,X,X,X
LSTOZIJ,O,O,X,O,O,X,X,X,X,X
LSTOZJI,O,O,X,O,O,X,X,X,X,X
LSITJZO,O,O,X,O,O,X,X,X,X,X
LSITJOZ,O,O,X,O,O,X,X,X,X,X
LSITZJO,O,O,X,O,O,X,X,X,X,X
LSITZOJ,O,O,X,O,O,X,X,X,X,X
LSITOJZ,O,O,X,O,O,X,X,X,X,X
LSITOZJ,O,O,X,O,O,X,X,X,X,X
LSIJTZO,O,O,O,O,O,O,X,X,X,X
LSIJTOZ,O,O,O,O,O,X,X,X,X,X
LSIJZTO,O,O,O,O,X,O,X,O,X,X
LSIJZOT,O,O,X,O,X,O,X,X,X,X
LSIJOTZ,X,O,X,O,O,X,X,X,X,X
LSIJOZT,X,O,X,O,X,X,X,X,X,X
LSIZTJO,O,O,X,O,O,O,X,O,X,X
LSIZTOJ,O,O,X,O,O,O,X,O,X,X
LSIZJTO,O,O,O,O,X,O,X,O,X,X
LSIZJOT,O,X,X,O,X,O,X,X,X,X
LSIZOTJ,O,O,X,O,O,O,X,X,X,X
LSIZOJT,O,X,X,O,X,O,X,X,X,X
LSIOTJZ,O,O,X,O,O,X,X,X,X,X
LSIOTZJ,O,O,X,O,O,X,X,X,X,X
LSIOJTZ,X,O,X,O,O,O,X,X,X,X
LSIOJZT,X,O,X,O,X,O,X,X,X,X
LSIOZTJ,O,O,X,O,O,O,X,X,X,X
LSIOZJT,O,O,X,O,X,O,X,X,X,X
LSJTIZO,X,O,O,O,X,X,X,X,X,X
LSJTIOZ,X,O,O,X,X,X,X,X,X,X
LSJTZIO,O,O,O,O,O,O,X,X,X,X
LSJTZOI,O,O,X,O,O,O,X,X,X,X
LSJTOIZ,X,O,O,O,O,X,X,X,X,X
LSJTOZI,O,O,O,O,O,X,X,X,X,X
LSJITZO,X,O,O,O,O,X,X,X,X,X
LSJITOZ,X,O,O,O,O,X,X,X,X,X
LSJIZTO,X,O,O,O,X,X,X,X,X,X
LSJIZOT,X,O,X,O,X,X,X,X,X,X
LSJIOTZ,X,O,X,O,O,X,X,X,X,X
LSJIOZT,X,O,X,O,X,X,X,X,X,X
LSJZTIO,O,O,O,O,X,O,X,X,X,X
LSJZTOI,O,O,X,O,X,O,X,O,X,X
LSJZITO,O,O,O,O,X,O,X,X,X,X
LSJZIOT,X,O,X,O,X,O,X,X,X,X
LSJZOTI,O,O,X,O,X,O,X,X,X,X
LSJZOIT,X,X,X,O,X,O,X,X,X,X
LSJOTIZ,X,O,X,O,O,X,X,X,X,X
LSJOTZI,X,O,X,O,O,X,X,X,X,X
LSJOITZ,X,O,X,O,O,X,X,X,X,X
LSJOIZT,X,O,X,O,X,X,X,X,X,X
LSJOZTI,X,O,X,O,X,X,X,X,X,X
LSJOZIT,X,X,X,O,X,X,X,X,X,X
LSZTIJO,O,O,X,O,O,O,X,O,X,X
LSZTIOJ,O,O,X,O,O,O,X,O,O,X
LSZTJIO,O,O,X,O,O,O,X,X,X,X
LSZTJOI,O,O,X,O,O,O,X,O,O,X
LSZTOIJ,O,O,X,O,O,X,X,O,O,X
LSZTOJI,O,O,X,O,O,O,X,O,O,X
LSZITJO,O,O,X,O,O,O,X,X,X,X
LSZITOJ,O,O,X,O,O,O,X,X,O,X
LSZIJTO,O,O,O,O,X,O,X,X,X,X
LSZIJOT,O,X,X,O,X,O,X,X,X,X
LSZIOTJ,O,O,X,O,O,O,X,X,O,X
LSZIOJT,O,X,X,O,X,O,X,X,O,X
LSZJTIO,O,O,O,O,X,O,X,X,X,X
LSZJTOI,O,O,X,O,X,O,X,O,O,X
LSZJITO,O,X,O,O,X,O,X,X,X,X
LSZJIOT,O,X,X,O,X,O,X,X,X,X
LSZJOTI,O,X,X,O,X,O,X,X,O,X
LSZJOIT,X,X,X,O,X,O,X,X,O,X
