sequence,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeaBJvhFWiBxdB?TgBXjBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Je37IvhFRdBcjB?ylBzhB+nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeR9IvhFcjBmgB?CiB3gBTnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Jez7IvhFRdBcjB?2lBfnB6nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Je37IvhFGdBTeB?ylBRnBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Jez7IvhFCdB2lB?xiBXjBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Je37IvhFqiBTeB?mhBxlBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JecAJvhFehBRdB?SjBzhB3nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeR9IvhFSjBTgB?mhBUhB3nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeC8IvhFxdB2lB?0hBXjBTnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeSCJvhFTeBmgB?3gBRnBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeR8IvhFCeBTgB?2mBXjBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeG+IvhFxgBymB?ziB3gBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JecAJvhFehBzcB?SjBRnB3nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JecAJvhFehBTeB?RnBfnB6nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeC8IvhF2lB0hB?xiBXjBTnBFqB
ZLITSOJ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZLITOJS,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X
ZLITOSJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLIJTSO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O
ZLIJTOS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLIJSTO,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ZLIJSOT,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O
ZLIJOTS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLIJOST,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O
ZLISTJO,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
ZLISTOJ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZLISJTO,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLISJOT,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X
ZLISOTJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLISOJT,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
ZLIOTJS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLIOTSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLIOJTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLIOJST,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X
ZLIOSTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLIOSJT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLJTISO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZLJTIOS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLJTSIO,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZLJTSOI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZLJTOIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLJTOSI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLJITSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZLJITOS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLJISTO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O
ZLJISOT,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O
ZLJIOTS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLJIOST,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZLJSTIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZLJSTOI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZLJSITO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O
ZLJSIOT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O
ZLJSOTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZLJSOIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZLJOTIS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLJOTSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJOITS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLJOIST,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZLJOSTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZLJOSIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZLSTIJO,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
ZLSTIOJ,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ZLSTJIO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZLSTJOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZLSTOIJ,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ZLSTOJI,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ZLSITJO,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
ZLSITOJ,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ZLSIJTO,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
ZLSIJOT,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
ZLSIOTJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLSIOJT,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ZLSJTIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZLSJTOI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZLSJITO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZLSJIOT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZLSJOTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZLSJOIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZLSOTIJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLSOTJI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLSOITJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLSOIJT,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ZLSOJTI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOJIT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTIJS,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X
ZLOTISJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLOTJIS,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X
ZLOTJSI,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
ZLOTSIJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTSJI,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLOITJS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLOITSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLOIJTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLOIJST,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X
ZLOISTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLOISJT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLOJTIS,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
ZLOJTSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOJITS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLOJIST,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
ZLOJSTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOJSIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLOSTIJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSTJI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSITJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLOSIJT,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLOSJTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSJIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTILSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZJTILOS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJTISLO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJTISOL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJTIOLS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJTIOSL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJTLISO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZJTLIOS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJTLSIO,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJTLSOI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJTLOIS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJTLOSI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJTSILO,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJTSIOL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJTSLIO,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJTSLOI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJTSOIL,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJTSOLI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJTOILS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJTOISL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJTOLIS,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X
ZJTOLSI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJTOSIL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJTOSLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJITLSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZJITLOS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJITSLO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJITSOL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJITOLS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJITOSL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJILTSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZJILTOS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJILSTO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O
ZJILSOT,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O
ZJILOTS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJILOST,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,O
ZJISTLO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJISTOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJISLTO,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X,O
ZJISLOT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O
ZJISOTL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJISOLT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJIOTLS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJIOTSL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOLTS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJIOLST,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,O
ZJIOSTL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOSLT,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJLTISO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZJLTIOS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJLTSIO,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJLTSOI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJLTOIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJLTOSI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJLITSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZJLITOS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJLISTO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O
ZJLISOT,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O
ZJLIOTS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJLIOST,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZJLSTIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJLSTOI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJLSITO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O
ZJLSIOT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O
ZJLSOTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJLSOIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJLOTIS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJLOTSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLOITS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJLOIST,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZJLOSTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJLOSIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJSTILO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJSTIOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTLIO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJSTLOI,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJSTOIL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJSTOLI,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJSITLO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJSITOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSILTO,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X,O
ZJSILOT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O
ZJSIOTL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJSIOLT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJSLTIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJSLTOI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJSLITO,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,O
ZJSLIOT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O
ZJSLOTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJSLOIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJSOTIL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJSOTLI,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJSOITL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJSOILT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJSOLTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJSOLIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJOTILS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJOTISL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOTLIS,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
ZJOTLSI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOTSIL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOTSLI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOITLS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJOITSL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOILTS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJOILST,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,O
ZJOISTL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOISLT,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJOLTIS,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
ZJOLTSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOLITS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJOLIST,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O
ZJOLSTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJOLSIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJOSTIL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJOSTLI,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJOSITL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJOSILT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJOSLTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJOSLIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSTILJO,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
ZSTILOJ,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZSTIJLO,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
ZSTIJOL,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
ZSTIOLJ,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
ZSTIOJL,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTLIJO,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
ZSTLIOJ,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
ZSTLJIO,O,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X
ZSTLJOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZSTLOIJ,O,O,X,O,X,X,X,O,O,O,X,O,X,X,X,X
ZSTLOJI,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X
ZSTJILO,O,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X
ZSTJIOL,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
ZSTJLIO,O,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X
ZSTJLOI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
ZSTJOIL,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
ZSTJOLI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
ZSTOILJ,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X
ZSTOIJL,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTOLIJ,O,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
ZSTOLJI,O,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X
ZSTOJIL,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X
ZSTOJLI,O,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X
ZSITLJO,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSITLOJ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSITJLO,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSITJOL,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSITOLJ,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSITOJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSILTJO,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSILTOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSILJTO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSILJOT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSILOTJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSILOJT,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSIJTLO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSIJTOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJLTO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O
ZSIJLOT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O
ZSIJOTL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSIJOLT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSIOTLJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOTJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOLTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOLJT,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSIOJTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOJLT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSLTIJO,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
ZSLTIOJ,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ZSLTJIO,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X
ZSLTJOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZSLTOIJ,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X
ZSLTOJI,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X
ZSLITJO,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSLITOJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZSLIJTO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSLIJOT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSLIOTJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLIOJT,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSLJTIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSLJTOI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSLJITO,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X
ZSLJIOT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSLJOTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSLJOIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSLOTIJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSLOTJI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSLOITJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOIJT,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSLOJTI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOJIT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTILO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSJTIOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTLIO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSJTLOI,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSJTOIL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSJTOLI,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSJITLO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSJITOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJILTO,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X,O
ZSJILOT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O
ZSJIOTL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSJIOLT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSJLTIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSJLTOI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSJLITO,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,O
ZSJLIOT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O
ZSJLOTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSJLOIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSJOTIL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSJOTLI,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSJOITL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSJOILT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSJOLTI,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSJOLIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSOTILJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSOTIJL,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSOTLIJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSOTLJI,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSOTJIL,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSOTJLI,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSOITLJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSOITJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOILTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSOILJT,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSOIJTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
