sequence,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFRdBSjBTfB3?hBlnBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFRdBSjBTfBl?mB3nBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8JeK/IvhFzaBGeBRiBl?mB3nBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jei6IvhFRdBcjB3fBG?iBlmBTsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8JeO/IvhF8fBCdBxiBX?jBlmBTsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jey/IvhFGeBRiBTfBl?mB3nBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jei6IvhFzcBcjB3fBx?mBFsBusB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFcjBTfB5nBl?mBfnBisB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Je2/IvhFzcBFjB3fBx?mBCoBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8JeK/IvhFzaBfiBxdBF?jB0mB+sB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jey/IvhF1mBxiBTfBX?jBGnBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jey/IvhF+hBxiBTfB/?nBFjBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFcjBTfBxmBS?sBfsBlsB
LTZOJIS,O,X,X,X,O,X,X,O,X,O,X,X,X
LTZOJSI,O,X,X,X,X,X,X,X,X,O,X,X,X
LTZOSIJ,O,X,O,X,X,X,X,X,X,O,X,X,X
LTZOSJI,O,X,O,X,X,X,X,X,X,O,X,X,X
LTOIJSZ,O,O,X,X,X,X,X,X,X,X,O,X,X
LTOIJZS,O,X,X,X,X,X,X,O,X,O,X,X,X
LTOISJZ,O,X,O,X,X,X,X,X,X,X,O,X,X
LTOISZJ,O,X,O,X,X,X,X,X,X,X,O,X,X
LTOIZJS,O,X,X,X,O,X,X,O,X,X,X,X,X
LTOIZSJ,X,X,X,X,X,X,X,O,X,X,O,X,X
LTOJISZ,O,O,X,X,X,X,X,X,X,X,X,X,X
LTOJIZS,O,X,X,X,X,X,X,O,X,O,X,X,X
LTOJSIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOJSZI,O,O,O,X,X,X,X,X,X,O,X,X,X
LTOJZIS,O,X,X,X,X,X,X,O,X,O,X,X,X
LTOJZSI,O,X,X,X,X,X,X,X,X,O,X,X,X
LTOSIJZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LTOSIZJ,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOSJIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOSJZI,O,O,O,X,X,X,X,X,X,O,X,X,X
LTOSZIJ,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOSZJI,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOZIJS,O,X,X,X,O,X,X,O,X,X,O,X,X
LTOZISJ,O,X,X,X,X,X,X,O,X,X,O,X,X
LTOZJIS,O,X,X,X,O,X,X,O,X,O,X,X,X
LTOZJSI,O,X,X,X,X,X,X,X,X,O,X,X,X
LTOZSIJ,O,X,O,X,X,X,X,X,X,O,X,X,X
LTOZSJI,O,X,O,X,X,X,X,X,X,O,X,X,X
LITJSZO,O,O,X,X,X,X,X,X,X,X,X,X,X
LITJSOZ,O,O,X,X,X,X,X,X,X,X,O,X,X
LITJZSO,O,X,X,X,X,X,X,X,X,O,X,O,X
LITJZOS,O,X,X,X,X,X,X,X,X,O,X,O,X
LITJOSZ,O,O,X,X,X,X,X,X,O,X,O,X,X
LITJOZS,O,X,X,X,X,X,X,X,X,O,X,O,X
LITSJZO,O,X,O,X,X,O,X,X,X,X,X,X,X
LITSJOZ,O,X,O,X,X,O,X,X,X,X,O,X,X
LITSZJO,O,X,O,X,X,O,X,X,X,X,X,X,X
LITSZOJ,O,X,O,X,X,X,X,X,X,X,O,X,X
LITSOJZ,O,X,O,X,X,O,X,X,X,X,O,X,X
LITSOZJ,O,X,O,X,X,X,X,X,X,X,O,X,X
LITZJSO,O,X,X,X,O,X,X,X,X,X,O,X,X
LITZJOS,O,X,X,X,X,X,X,X,X,X,O,X,X
LITZSJO,X,X,X,X,X,X,X,X,X,X,O,X,X
LITZSOJ,X,X,X,X,X,X,X,X,X,X,O,X,X
LITZOJS,O,X,X,X,X,X,X,O,X,X,O,X,X
LITZOSJ,X,X,X,X,X,X,X,O,X,X,O,X,X
LITOJSZ,O,O,X,X,X,X,X,X,O,X,O,X,X
LITOJZS,O,X,X,X,X,X,X,O,X,O,X,X,X
LITOSJZ,O,X,O,X,X,X,X,X,X,X,O,X,X
LITOSZJ,O,X,O,X,X,X,X,X,X,X,O,X,X
LITOZJS,O,X,X,X,X,X,X,O,X,X,X,X,X
LITOZSJ,X,X,X,X,X,X,X,O,X,X,O,X,X
LIJTSZO,O,O,X,X,X,X,X,X,X,X,X,X,X
LIJTSOZ,O,O,X,X,X,X,X,X,X,X,X,X,X
LIJTZSO,O,X,X,X,X,X,X,X,X,O,X,O,X
LIJTZOS,O,X,X,X,X,X,X,X,X,O,X,O,X
LIJTOSZ,O,O,X,X,X,X,X,X,O,X,X,X,X
LIJTOZS,O,X,X,X,X,X,X,X,X,O,X,O,X
LIJSTZO,O,O,O,X,X,O,X,X,X,X,X,X,X
LIJSTOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LIJSZTO,O,O,X,X,X,O,X,X,X,X,X,O,X
LIJSZOT,O,O,O,X,X,O,X,X,X,X,X,O,X
LIJSOTZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LIJSOZT,O,O,O,X,X,O,X,X,X,X,X,O,X
LIJZTSO,O,X,X,X,O,X,X,X,X,O,X,O,X
LIJZTOS,O,X,X,X,X,X,X,X,X,O,X,O,X
LIJZSTO,O,O,X,X,O,X,X,X,X,O,X,O,X
LIJZSOT,O,O,X,X,O,X,X,X,X,O,X,O,X
LIJZOTS,O,X,X,X,X,X,X,X,X,O,X,O,X
LIJZOST,O,O,X,X,O,X,X,X,X,O,X,O,X
LIJOTSZ,O,O,X,X,X,X,X,X,O,X,X,X,X
LIJOTZS,O,X,X,X,X,X,X,X,X,O,X,O,X
LIJOSTZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LIJOSZT,O,O,O,X,X,X,X,X,X,X,X,O,X
LIJOZTS,O,X,X,X,X,X,X,X,X,O,X,O,X
LIJOZST,O,O,X,X,X,X,X,X,X,O,X,O,X
LISTJZO,X,O,O,X,X,O,X,X,X,X,X,X,X
LISTJOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LISTZJO,X,O,O,X,X,O,O,X,X,X,X,X,X
LISTZOJ,X,O,O,X,X,X,O,X,X,X,X,X,X
LISTOJZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LISTOZJ,X,O,O,X,X,X,X,X,X,X,X,X,X
LISJTZO,O,O,O,X,X,O,X,X,X,X,X,X,X
LISJTOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LISJZTO,O,O,X,X,X,O,O,X,X,X,X,O,X
LISJZOT,O,O,O,X,X,O,X,X,X,X,X,O,X
LISJOTZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LISJOZT,O,O,O,X,X,O,X,X,X,X,X,O,X
LISZTJO,X,X,X,X,X,X,O,X,X,X,X,X,X
LISZTOJ,X,X,X,X,X,X,O,X,X,X,X,X,X
LISZJTO,X,O,X,X,O,O,O,X,X,X,X,X,X
LISZJOT,O,O,O,X,O,O,X,X,X,X,X,X,X
LISZOTJ,X,X,X,X,X,X,O,X,X,X,X,X,X
LISZOJT,O,O,O,X,X,X,X,X,X,X,X,X,X
LISOTJZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LISOTZJ,X,O,O,X,X,X,X,X,X,X,X,X,X
LISOJTZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LISOJZT,O,O,O,X,X,O,X,X,X,X,X,X,X
LISOZTJ,X,X,X,X,X,X,O,X,X,X,X,X,X
LISOZJT,O,O,O,X,X,X,X,X,X,X,X,X,X
LIZTJSO,O,X,X,X,O,X,X,X,X,X,O,O,X
LIZTJOS,O,X,X,X,X,X,X,X,X,X,O,O,X
LIZTSJO,O,X,X,X,X,X,X,X,X,X,O,X,X
LIZTSOJ,O,X,X,X,X,X,X,X,X,X,O,X,X
LIZTOJS,O,X,X,X,X,X,X,O,X,X,O,X,X
LIZTOSJ,O,X,X,X,X,X,X,O,X,X,O,X,X
LIZJTSO,O,X,X,X,O,X,X,X,X,O,X,O,X
LIZJTOS,O,X,X,X,X,X,X,X,X,O,X,O,X
LIZJSTO,O,O,X,X,O,X,X,X,X,O,X,O,X
LIZJSOT,O,O,X,X,O,X,X,X,X,O,X,O,X
LIZJOTS,O,X,X,X,X,X,X,X,X,O,X,O,X
LIZJOST,O,O,X,X,O,X,X,X,X,O,X,O,X
LIZSTJO,O,X,X,X,X,X,O,X,X,X,X,X,X
LIZSTOJ,O,X,X,X,X,X,O,X,X,O,X,X,X
LIZSJTO,O,X,X,X,O,X,O,X,X,O,X,O,X
LIZSJOT,O,X,X,X,O,X,X,X,X,O,X,O,X
LIZSOTJ,O,X,X,X,X,X,O,X,X,O,X,X,X
LIZSOJT,O,X,X,X,X,X,X,X,X,O,X,X,X
LIZOTJS,O,X,X,X,X,X,X,O,X,X,X,X,O
LIZOTSJ,O,X,X,X,X,X,X,O,X,X,X,X,O
LIZOJTS,O,X,X,X,X,X,X,O,X,O,X,O,O
LIZOJST,O,O,X,X,O,X,X,X,X,O,X,O,O
LIZOSTJ,O,X,X,X,X,X,X,X,X,O,X,X,O
LIZOSJT,O,X,X,X,X,X,X,X,X,O,X,X,O
LIOTJSZ,O,O,X,X,X,X,X,X,O,X,X,X,X
LIOTJZS,O,X,X,X,X,X,X,O,X,O,X,X,X
LIOTSJZ,O,X,O,X,X,X,X,X,X,X,X,X,X
LIOTSZJ,O,X,O,X,X,X,X,X,X,X,X,X,X
LIOTZJS,O,X,X,X,X,X,X,O,X,X,X,X,X
LIOTZSJ,X,X,X,X,X,X,X,O,X,X,X,X,X
LIOJTSZ,O,O,X,X,X,X,X,X,O,X,X,X,X
LIOJTZS,O,X,X,X,X,X,X,O,X,O,X,O,X
LIOJSTZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LIOJSZT,O,O,O,X,X,X,X,X,X,X,X,O,X
LIOJZTS,O,X,X,X,X,X,X,O,X,O,X,O,O
LIOJZST,O,O,X,X,X,X,X,X,X,O,X,O,O
LIOSTJZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LIOSTZJ,X,O,O,X,X,X,X,X,X,X,X,X,X
LIOSJTZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LIOSJZT,O,O,O,X,X,X,X,X,X,X,X,X,X
LIOSZTJ,X,X,X,X,X,X,X,X,X,X,X,X,X
LIOSZJT,O,O,O,X,X,X,X,X,X,X,X,X,X
LIOZTJS,O,X,X,X,X,X,X,O,X,X,X,X,O
LIOZTSJ,O,X,X,X,X,X,X,O,X,X,X,X,O
LIOZJTS,O,X,X,X,X,X,X,O,X,O,X,X,O
LIOZJST,O,O,X,X,O,X,X,X,X,O,X,X,O
LIOZSTJ,O,X,X,X,X,X,X,X,X,O,X,X,O
LIOZSJT,O,X,X,X,X,X,X,X,X,O,X,X,O
LJTISZO,O,O,X,X,X,X,X,X,X,X,X,X,X
LJTISOZ,O,O,X,X,X,X,X,X,X,X,O,X,X
LJTIZSO,O,X,X,X,X,X,X,X,X,O,X,O,X
LJTIZOS,O,X,X,X,X,X,X,X,X,O,X,O,X
LJTIOSZ,O,O,X,X,X,X,X,X,O,X,O,X,X
LJTIOZS,O,X,X,X,X,X,X,X,X,O,X,O,X
LJTSIZO,O,O,O,X,X,O,X,X,X,X,X,X,X
LJTSIOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LJTSZIO,O,O,O,X,X,X,X,X,X,O,X,X,X
LJTSZOI,X,X,O,X,X,X,X,X,X,O,X,X,X
LJTSOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LJTSOZI,O,X,O,X,X,X,X,X,X,O,X,X,X
LJTZISO,O,X,X,X,X,X,X,X,X,O,O,O,X
LJTZIOS,O,X,X,X,X,X,X,X,X,O,O,O,X
LJTZSIO,O,X,X,X,X,X,X,X,X,O,X,X,X
LJTZSOI,X,X,X,X,X,X,X,X,X,O,X,X,X
LJTZOIS,O,X,X,X,X,X,X,X,X,O,X,X,X
LJTZOSI,X,X,X,X,X,X,X,X,X,O,X,X,X
LJTOISZ,O,X,X,X,X,X,X,X,X,X,X,X,X
LJTOIZS,O,X,X,X,X,X,X,X,X,O,X,X,X
LJTOSIZ,O,X,O,X,X,X,X,X,X,X,X,X,X
LJTOSZI,O,X,O,X,X,X,X,X,X,O,X,X,X
LJTOZIS,O,X,X,X,X,X,X,X,X,O,X,X,X
LJTOZSI,O,X,X,X,X,X,X,X,X,O,X,X,X
LJITSZO,O,O,X,X,X,X,X,X,X,X,X,X,X
LJITSOZ,O,O,X,X,X,X,X,X,X,X,X,X,X
LJITZSO,O,X,X,X,X,X,X,X,X,O,X,O,X
LJITZOS,O,X,X,X,X,X,X,X,X,O,X,O,X
LJITOSZ,O,O,X,X,X,X,X,X,O,X,X,X,X
LJITOZS,O,X,X,X,X,X,X,X,X,O,X,O,X
LJISTZO,O,O,O,X,X,O,X,X,X,X,X,X,X
LJISTOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LJISZTO,O,O,X,X,X,O,X,X,X,X,X,O,X
LJISZOT,O,O,O,X,X,O,X,X,X,X,X,O,X
LJISOTZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LJISOZT,O,O,O,X,X,O,X,X,X,X,X,O,X
LJIZTSO,O,X,X,X,X,X,X,X,X,O,X,O,X
LJIZTOS,O,X,X,X,X,X,X,X,X,O,X,O,X
LJIZSTO,O,O,X,X,X,X,X,X,X,O,X,O,X
LJIZSOT,O,O,X,X,X,X,X,X,X,O,X,O,X
LJIZOTS,O,X,X,X,X,X,X,X,X,O,X,O,X
LJIZOST,O,O,X,X,X,X,X,X,X,O,X,O,X
LJIOTSZ,O,O,X,X,X,X,X,X,O,X,X,X,X
LJIOTZS,O,X,X,X,X,X,X,X,X,O,X,O,X
LJIOSTZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LJIOSZT,O,O,O,X,X,X,X,X,X,X,X,O,X
LJIOZTS,O,X,X,X,X,X,X,X,X,O,X,O,X
LJIOZST,O,O,X,X,X,X,X,X,X,O,X,O,X
LJSTIZO,O,O,O,X,X,O,X,X,X,X,X,X,X
LJSTIOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LJSTZIO,O,O,O,X,X,X,X,X,X,O,X,X,X
LJSTZOI,X,X,O,X,X,X,X,X,X,O,X,X,X
LJSTOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LJSTOZI,X,O,O,X,X,X,X,X,X,O,X,X,X
LJSITZO,O,O,O,X,X,O,X,X,X,X,X,X,X
LJSITOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LJSIZTO,O,O,X,X,X,O,X,X,X,X,X,O,X
LJSIZOT,O,O,O,X,X,O,X,X,X,X,X,O,X
LJSIOTZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LJSIOZT,O,O,O,X,X,O,X,X,X,X,X,O,X
LJSZTIO,O,O,O,X,X,X,X,X,X,O,X,X,X
LJSZTOI,O,X,O,X,X,X,X,X,X,O,X,X,X
LJSZITO,O,O,X,X,X,O,X,X,X,O,X,O,X
LJSZIOT,O,O,O,X,X,O,X,X,X,O,X,O,X
LJSZOTI,X,X,O,X,X,X,X,X,X,O,X,X,X
LJSZOIT,O,X,O,X,X,X,X,X,X,O,X,X,X
LJSOTIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LJSOTZI,O,O,O,X,X,X,X,X,X,O,X,X,X
LJSOITZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LJSOIZT,O,O,O,X,X,O,X,X,X,X,X,X,X
LJSOZTI,O,O,O,X,X,X,X,X,X,O,X,X,X
LJSOZIT,O,O,O,X,X,X,X,X,X,O,X,X,X
LJZTISO,O,X,X,X,X,X,X,X,X,O,O,O,X
LJZTIOS,O,X,X,X,X,X,X,X,X,O,O,O,X
LJZTSIO,O,X,X,X,X,X,X,X,X,O,X,X,X
LJZTSOI,X,X,X,X,X,X,X,X,X,O,X,X,X
LJZTOIS,O,X,X,X,X,X,X,X,X,O,X,X,X
LJZTOSI,O,X,X,X,X,X,X,X,X,O,X,X,X
LJZITSO,O,X,X,X,X,X,X,X,X,O,X,O,X
LJZITOS,O,X,X,X,X,X,X,X,O,O,X,O,X
LJZISTO,O,O,X,X,X,X,X,X,X,O,X,O,X
LJZISOT,O,O,X,X,X,X,X,X,X,O,X,O,X
LJZIOTS,O,X,X,X,X,X,X,X,O,O,X,O,X
LJZIOST,O,O,X,X,X,X,X,X,X,O,X,O,X
LJZSTIO,O,O,O,X,X,X,X,X,X,O,X,X,X
LJZSTOI,O,X,O,X,X,X,X,X,X,O,X,X,X
LJZSITO,O,O,X,X,X,O,X,X,X,O,X,O,X
LJZSIOT,O,O,O,X,X,O,X,X,X,O,X,O,X
LJZSOTI,O,X,O,X,X,X,X,X,X,O,X,X,X
LJZSOIT,O,X,O,X,X,X,X,X,X,O,X,X,X
LJZOTIS,O,X,X,X,X,X,X,X,X,O,X,X,X
LJZOTSI,O,X,X,X,X,X,X,X,X,O,X,X,X
LJZOITS,O,X,X,X,X,X,X,X,X,O,X,O,X
LJZOIST,O,X,X,X,X,X,X,X,X,O,X,O,X
LJZOSTI,O,X,O,X,X,X,X,X,X,O,X,X,X
LJZOSIT,O,X,O,X,X,X,X,X,X,O,X,X,X
LJOTISZ,O,O,X,X,X,X,X,X,X,X,X,X,X
LJOTIZS,O,X,X,X,X,X,X,X,X,O,X,X,X
LJOTSIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LJOTSZI,O,O,O,X,X,X,X,X,X,O,X,X,X
LJOTZIS,O,X,X,X,X,X,X,X,X,O,X,X,X
LJOTZSI,O,X,X,X,X,X,X,X,X,O,X,X,X
LJOITSZ,O,O,X,X,X,X,X,X,X,X,X,X,X
LJOITZS,O,X,X,X,X,X,X,X,X,O,X,O,X
LJOISTZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LJOISZT,O,O,O,X,X,X,X,X,X,X,X,O,X
LJOIZTS,O,X,X,X,X,X,X,X,X,O,X,O,X
LJOIZST,O,O,X,X,X,X,X,X,X,O,X,O,X
LJOSTIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LJOSTZI,O,O,O,X,X,X,X,X,X,O,X,X,X
LJOSITZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LJOSIZT,O,O,O,X,X,O,X,X,X,X,X,X,X
LJOSZTI,O,O,O,X,X,X,X,X,X,O,X,X,X
LJOSZIT,O,O,O,X,X,X,X,X,X,O,X,X,X
LJOZTIS,O,X,X,X,X,X,X,X,X,O,X,X,X
LJOZTSI,O,X,X,X,X,X,X,X,X,O,X,X,X
LJOZITS,O,X,X,X,X,X,X,X,X,O,X,O,X
LJOZIST,O,O,X,X,X,X,X,X,X,O,X,O,X
LJOZSTI,O,O,O,X,X,X,X,X,X,O,X,X,X
LJOZSIT,O,O,O,X,X,X,X,X,X,O,X,X,X
LSTIJZO,O,O,O,O,X,O,O,X,X,X,X,X,X
LSTIJOZ,O,O,O,X,X,O,O,X,X,X,O,X,X
LSTIZJO,O,O,O,O,X,O,O,X,X,X,X,X,X
LSTIZOJ,O,O,O,O,X,X,O,X,X,X,O,X,X
LSTIOJZ,O,O,O,X,X,O,O,X,X,X,O,X,X
LSTIOZJ,O,O,O,X,X,X,O,X,X,X,O,X,X
LSTJIZO,O,O,O,O,X,O,O,X,X,X,X,X,X
LSTJIOZ,O,O,O,X,X,O,O,X,X,X,X,X,X
LSTJZIO,O,O,O,O,X,X,O,X,X,O,X,X,X
LSTJZOI,X,X,O,O,X,X,X,X,X,O,X,X,X
LSTJOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LSTJOZI,O,O,O,O,X,X,X,X,X,O,X,X,X
LSTZIJO,O,O,O,O,X,O,O,X,X,X,O,X,X
LSTZIOJ,O,O,O,O,X,X,O,X,X,X,O,X,X
LSTZJIO,O,O,O,O,X,X,O,X,X,X,X,X,X
LSTZJOI,X,X,O,O,X,X,X,X,X,X,X,X,X
LSTZOIJ,O,O,O,O,X,X,O,X,X,X,X,X,X
LSTZOJI,O,O,O,O,X,X,X,X,X,X,X,X,X
LSTOIJZ,O,O,O,O,X,O,O,X,X,X,X,X,X
LSTOIZJ,O,O,O,O,X,X,O,X,X,X,X,X,X
LSTOJIZ,O,O,O,O,X,X,X,X,X,X,X,X,X
LSTOJZI,O,O,O,O,X,X,X,X,X,O,X,X,X
LSTOZIJ,O,O,O,O,X,X,O,X,X,X,X,X,X
LSTOZJI,O,O,O,O,X,X,X,X,X,X,X,X,X
LSITJZO,X,O,O,O,X,O,O,X,X,X,X,X,X
LSITJOZ,O,O,O,X,X,O,O,X,X,X,X,X,X
LSITZJO,X,O,O,O,X,O,O,X,X,X,X,X,X
LSITZOJ,X,O,O,O,X,X,O,X,X,X,X,X,X
LSITOJZ,O,O,O,X,X,O,O,X,X,X,X,X,X
LSITOZJ,X,O,O,X,X,X,O,X,X,X,X,X,X
LSIJTZO,O,O,O,X,X,O,X,X,X,X,X,X,X
LSIJTOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LSIJZTO,O,O,X,X,X,O,O,X,X,X,X,O,X
LSIJZOT,O,O,O,X,X,O,X,X,X,X,X,O,X
LSIJOTZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LSIJOZT,O,O,O,X,X,O,X,X,X,X,X,O,X
LSIZTJO,X,X,X,O,X,X,O,X,X,X,X,X,X
LSIZTOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
LSIZJTO,X,O,X,O,X,O,O,X,X,X,X,X,X
LSIZJOT,O,O,O,O,X,O,X,X,X,X,X,X,X
LSIZOTJ,X,X,X,O,X,X,O,X,X,X,X,X,X
LSIZOJT,O,O,O,O,X,X,X,X,X,X,X,X,X
LSIOTJZ,O,O,O,O,X,X,X,X,X,X,X,X,X
LSIOTZJ,X,O,O,O,X,X,X,X,X,X,X,X,X
LSIOJTZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LSIOJZT,O,O,O,O,X,O,X,X,X,X,X,X,X
LSIOZTJ,X,X,X,O,X,X,O,X,X,X,X,X,X
LSIOZJT,O,O,O,O,X,X,X,X,X,X,X,X,X
LSJTIZO,O,O,O,O,X,O,O,X,X,X,X,X,X
LSJTIOZ,O,O,O,X,X,O,O,X,X,X,X,X,X
LSJTZIO,O,O,O,O,X,X,O,X,X,O,X,X,X
LSJTZOI,X,X,O,O,X,X,X,X,X,O,X,X,X
LSJTOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LSJTOZI,X,O,O,O,X,X,X,X,X,O,X,X,X
LSJITZO,O,O,O,X,X,O,X,X,X,X,X,X,X
LSJITOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LSJIZTO,O,O,X,X,X,O,O,X,X,X,X,O,X
LSJIZOT,O,O,O,X,X,O,X,X,X,X,X,O,X
LSJIOTZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LSJIOZT,O,O,O,X,X,O,X,X,X,X,X,O,X
LSJZTIO,O,O,O,O,X,X,O,X,X,O,X,X,X
LSJZTOI,O,X,O,O,X,X,X,X,X,O,X,X,X
LSJZITO,O,O,X,O,X,O,O,X,X,O,X,O,X
LSJZIOT,O,O,O,O,X,O,X,X,X,O,X,O,X
LSJZOTI,X,X,O,O,X,X,X,X,X,O,X,X,X
LSJZOIT,O,X,O,O,X,X,X,X,X,O,X,X,X
LSJOTIZ,O,O,O,O,X,X,X,X,X,X,X,X,X
LSJOTZI,O,O,O,O,X,X,X,X,X,O,X,X,X
LSJOITZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LSJOIZT,O,O,O,O,X,O,X,X,X,X,X,X,X
LSJOZTI,O,O,O,O,X,X,X,X,X,O,X,X,X
LSJOZIT,O,O,O,O,X,X,X,X,X,O,X,X,X
LSZTIJO,O,O,O,O,X,O,O,X,X,X,O,X,X
LSZTIOJ,O,O,O,O,X,X,O,X,X,O,O,X,X
LSZTJIO,O,O,O,O,X,X,O,X,X,O,X,X,X
LSZTJOI,O,X,O,O,X,X,X,X,X,O,X,X,X
LSZTOIJ,O,O,O,O,X,X,O,X,X,O,X,X,X
LSZTOJI,O,O,O,O,X,X,X,X,X,O,X,X,X
LSZITJO,O,X,X,O,X,X,O,X,X,X,X,X,X
LSZITOJ,O,X,X,O,X,X,O,X,X,O,X,X,X
LSZIJTO,O,O,X,O,X,O,O,X,X,O,X,O,X
LSZIJOT,O,O,O,O,X,O,X,X,X,O,X,O,X
LSZIOTJ,O,X,X,O,X,X,O,X,X,O,X,X,X
LSZIOJT,O,O,O,O,X,X,X,X,X,O,X,X,X
LSZJTIO,O,O,O,O,X,X,O,X,X,O,X,X,X
LSZJTOI,O,X,O,O,X,X,X,X,X,O,X,X,X
LSZJITO,O,O,X,O,X,O,O,X,X,O,X,O,X
LSZJIOT,O,O,O,O,X,O,X,X,X,O,X,O,X
LSZJOTI,O,X,O,O,X,X,X,X,X,O,X,X,X
LSZJOIT,O,X,O,O,X,X,X,X,X,O,X,X,X
LSZOTIJ,O,O,O,O,X,X,O,X,X,O,X,X,X
LSZOTJI,O,O,O,O,X,X,X,X,X,O,X,X,X
LSZOITJ,O,X,X,O,X,X,O,X,X,O,X,X,X
LSZOIJT,O,O,O,O,X,X,X,X,X,O,X,X,X
LSZOJTI,O,O,O,O,X,X,X,X,X,O,X,X,X
LSZOJIT,O,O,O,O,X,X,X,X,X,O,X,X,X
LSOTIJZ,O,O,O,O,X,O,O,X,X,X,X,X,X
LSOTIZJ,O,O,O,O,X,X,O,X,X,X,X,X,X
LSOTJIZ,O,O,O,O,X,X,X,X,X,X,X,X,X
LSOTJZI,O,O,O,O,X,X,X,X,X,O,X,X,X
LSOTZIJ,O,O,O,O,X,X,O,X,X,X,X,X,X
LSOTZJI,O,O,O,O,X,X,X,X,X,X,X,X,X
LSOITJZ,O,O,O,O,X,X,X,X,X,X,X,X,X
LSOITZJ,X,O,O,O,X,X,X,X,X,X,X,X,X
LSOIJTZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LSOIJZT,O,O,O,O,X,O,X,X,X,X,X,X,X
LSOIZTJ,X,X,X,O,X,X,O,X,X,X,X,X,X
LSOIZJT,O,O,O,O,X,X,X,X,X,X,X,X,X
LSOJTIZ,O,O,O,O,X,X,X,X,X,X,X,X,X
LSOJTZI,O,O,O,O,X,X,X,X,X,O,X,X,X
LSOJITZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LSOJIZT,O,O,O,O,X,O,X,X,X,X,X,X,X
LSOJZTI,O,O,O,O,X,X,X,X,X,O,X,X,X
LSOJZIT,O,O,O,O,X,X,X,X,X,O,X,X,X
LSOZTIJ,O,O,O,O,X,X,O,X,X,O,X,X,X
LSOZTJI,O,O,O,O,X,X,X,X,X,O,X,X,X
LSOZITJ,O,X,X,O,X,X,O,X,X,O,X,X,X
LSOZIJT,O,O,O,O,X,X,X,X,X,O,X,X,X
LSOZJTI,O,O,O,O,X,X,X,X,X,O,X,X,X
LSOZJIT,O,O,O,O,X,X,X,X,X,O,X,X,X
LZTIJSO,O,X,X,X,O,X,X,X,X,X,O,O,X
LZTIJOS,O,X,X,X,O,X,X,X,X,X,O,O,X
