sequence,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxcBXeB?TfBFnB0rBirB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeK/IvhFzaBxdB?lhB3iB0mB2wB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeO/IvhF8fBxdB?lhB3iBTmBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxdBTfB?lhB3iBirB0rB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeO/IvhF8fBTcB?xdBliB3mBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeK/IvhFzaBxcB?XeBVnB0mB2wB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxcBXeB?TfBVnBirB0rB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Je2/IvhFxdB0hB?liB3fBTmBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jei6IvhFxdB3fB?0hBliBmrBTrB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFXeBTfB?UiBqrBZmBFsB
IOSJTZL,O,X,X,O,X,X,O,X,O,X
IOSJLTZ,O,O,X,O,X,X,O,X,O,X
IOSJLZT,O,O,X,O,X,X,O,X,X,O
IOSJZTL,O,X,X,O,X,X,O,X,X,X
IOSJZLT,O,X,X,O,X,X,O,X,X,X
IOSZTLJ,O,X,X,X,X,X,X,X,X,X
IOSZTJL,O,X,O,O,X,X,X,X,X,X
IOSZLTJ,X,X,O,O,X,X,X,X,X,X
IOSZLJT,O,X,O,O,X,X,X,X,X,X
IOSZJTL,O,X,O,O,O,X,O,X,X,X
IOSZJLT,O,X,O,O,X,X,O,X,X,X
IOZTLJS,O,X,X,X,O,X,X,X,X,X
IOZTLSJ,O,X,X,X,O,X,X,X,X,X
IOZTJLS,O,X,X,X,O,X,X,X,X,X
IOZTJSL,O,X,X,X,O,X,X,X,X,X
IOZTSLJ,O,X,X,X,X,X,X,X,X,X
IOZTSJL,O,X,X,X,O,X,X,X,X,X
IOZLTJS,X,X,X,X,O,X,X,X,X,X
IOZLTSJ,X,X,X,X,O,X,X,X,X,X
IOZLJTS,X,X,X,X,O,X,X,X,X,X
IOZLJST,X,X,O,O,O,X,X,X,X,X
IOZLSTJ,X,X,O,O,O,X,X,X,X,X
IOZLSJT,X,X,O,O,O,X,X,X,X,X
IOZJTLS,O,X,X,X,O,X,X,X,X,X
IOZJTSL,O,X,X,X,O,X,X,X,X,X
IOZJLTS,X,X,X,X,O,X,X,X,X,X
IOZJLST,X,X,O,O,O,X,X,X,X,X
IOZJSTL,O,X,O,O,O,X,X,X,X,X
IOZJSLT,O,X,O,O,X,X,X,X,X,X
IOZSTLJ,O,X,X,X,X,X,X,X,X,X
IOZSTJL,O,X,O,O,X,X,X,X,X,X
IOZSLTJ,X,X,O,O,X,X,X,X,X,X
IOZSLJT,O,X,O,O,X,X,X,X,X,X
IOZSJTL,O,X,O,O,O,X,X,X,X,X
IOZSJLT,O,X,O,O,X,X,X,X,X,X
LTIJSZO,X,O,X,X,O,O,O,O,X,X
LTIJSOZ,X,O,X,X,O,O,O,X,X,X
LTIJZSO,X,X,X,X,O,O,O,O,X,X
LTIJZOS,X,X,X,X,O,O,X,O,X,X
LTIJOSZ,X,O,X,X,X,O,O,X,X,X
LTIJOZS,X,X,X,X,O,O,O,O,X,X
LTISJZO,X,O,O,X,O,O,O,O,O,X
LTISJOZ,X,O,X,O,O,O,O,X,X,X
LTISZJO,X,X,O,X,O,X,O,O,O,X
LTISZOJ,X,O,O,O,O,O,O,X,O,X
LTISOJZ,X,O,X,O,O,O,O,X,X,X
LTISOZJ,X,O,O,O,O,O,O,X,O,X
LTIZJSO,X,X,O,X,O,X,O,O,X,X
LTIZJOS,X,X,X,X,O,X,X,O,X,X
LTIZSJO,X,X,O,X,O,X,O,O,O,X
LTIZSOJ,X,X,O,X,O,O,O,X,O,X
LTIZOJS,X,X,X,X,O,X,O,O,X,X
LTIZOSJ,X,X,X,X,O,O,O,X,X,X
LTIOJSZ,X,O,X,O,X,O,O,X,X,X
LTIOJZS,X,X,X,X,O,O,O,O,X,X
LTIOSJZ,X,O,X,O,O,O,O,X,X,X
LTIOSZJ,X,O,X,O,O,O,O,X,X,X
LTIOZJS,X,X,X,X,O,X,O,O,X,X
LTIOZSJ,X,X,X,X,O,O,O,X,X,X
LTJISZO,X,O,X,X,O,O,O,O,X,X
LTJISOZ,X,O,X,X,O,O,O,X,X,X
LTJIZSO,X,X,X,X,O,O,O,O,X,X
LTJIZOS,X,X,X,X,O,O,X,O,X,X
LTJIOSZ,X,O,X,X,X,O,O,X,X,X
LTJIOZS,X,X,X,X,O,O,O,O,X,X
LTJSIZO,X,O,O,X,O,O,O,O,X,X
LTJSIOZ,O,O,X,O,O,O,O,X,X,X
LTJSZIO,X,O,O,X,O,O,O,O,X,X
LTJSZOI,X,O,O,X,O,O,X,O,X,X
LTJSOIZ,X,O,X,O,O,O,O,X,X,X
LTJSOZI,X,O,X,O,O,O,O,X,X,X
LTJZISO,X,X,O,X,O,O,O,O,X,X
LTJZIOS,X,X,X,X,O,O,X,O,X,X
LTJZSIO,X,O,O,X,O,O,O,O,X,X
LTJZSOI,X,O,O,X,O,O,X,O,X,X
LTJZOIS,X,X,X,X,O,O,X,O,X,X
LTJZOSI,X,O,O,X,O,O,X,O,X,X
LTJOISZ,X,O,X,O,X,O,O,X,X,X
LTJOIZS,X,X,X,X,O,O,O,O,X,X
LTJOSIZ,X,O,X,O,X,O,O,X,X,X
LTJOSZI,X,O,X,O,X,O,O,X,X,X
LTJOZIS,X,X,X,X,O,O,O,O,X,X
LTJOZSI,X,O,X,O,O,O,O,O,X,X
LTSIJZO,X,O,O,X,O,O,O,O,O,X
LTSIJOZ,O,O,X,O,O,O,O,X,X,X
LTSIZJO,X,X,O,X,O,X,O,O,O,X
LTSIZOJ,X,O,O,O,O,O,O,X,O,X
LTSIOJZ,O,O,X,O,O,O,O,X,X,X
LTSIOZJ,X,O,O,O,O,O,O,X,O,X
LTSJIZO,X,O,O,X,O,O,O,O,O,X
LTSJIOZ,O,O,X,O,O,O,O,X,X,X
LTSJZIO,X,O,O,X,O,O,O,O,O,X
LTSJZOI,X,O,O,X,O,O,X,O,O,X
LTSJOIZ,X,O,X,O,O,O,O,X,X,X
LTSJOZI,X,O,X,O,O,O,O,X,X,X
LTSZIJO,X,X,O,X,O,X,O,O,O,X
LTSZIOJ,X,O,O,O,O,O,O,X,O,X
LTSZJIO,X,X,O,X,O,O,O,O,O,X
LTSZJOI,X,X,O,X,O,O,X,O,O,X
LTSZOIJ,X,O,O,O,O,O,O,X,O,O
LTSZOJI,X,O,O,O,O,O,O,X,O,O
LTSOIJZ,O,O,X,O,O,O,O,X,X,X
LTSOIZJ,X,O,O,O,O,O,O,X,O,X
LTSOJIZ,O,O,X,O,O,O,O,X,X,X
LTSOJZI,O,O,X,O,O,O,O,X,X,O
LTSOZIJ,O,O,O,O,O,O,O,X,O,O
LTSOZJI,O,O,O,O,O,O,O,X,O,O
LTZIJSO,X,X,O,X,O,X,O,O,X,X
LTZIJOS,X,X,X,X,O,X,X,O,X,X
LTZISJO,X,X,O,X,O,X,O,O,O,X
LTZISOJ,X,X,O,X,O,O,O,X,O,X
LTZIOJS,X,X,X,X,O,X,O,O,X,X
LTZIOSJ,X,X,X,X,O,O,O,X,X,X
LTZJISO,X,X,O,X,O,O,O,O,X,X
LTZJIOS,X,X,X,X,O,O,X,O,X,X
LTZJSIO,X,X,O,X,O,O,O,O,X,X
LTZJSOI,X,X,O,X,O,O,X,O,X,X
LTZJOIS,X,X,X,X,O,O,X,O,X,X
LTZJOSI,X,X,O,X,O,O,X,O,X,X
LTZSIJO,X,X,O,X,O,X,O,O,O,X
LTZSIOJ,X,O,O,O,O,O,O,X,O,X
LTZSJIO,X,X,O,X,O,O,O,O,O,X
LTZSJOI,X,X,O,X,O,O,X,O,O,X
LTZSOIJ,X,O,O,O,O,O,O,X,O,O
LTZSOJI,X,O,O,O,O,O,O,X,O,O
LTZOIJS,X,X,X,X,O,X,O,O,X,O
LTZOISJ,X,X,X,X,O,O,O,X,X,O
LTZOJIS,X,X,X,X,O,O,O,O,X,O
LTZOJSI,X,X,O,O,O,O,O,O,X,O
LTZOSIJ,X,O,O,O,O,O,O,X,X,O
LTZOSJI,X,O,O,O,O,O,O,X,X,O
LTOIJSZ,X,O,X,O,X,O,O,X,X,X
LTOIJZS,X,X,X,X,O,O,O,O,X,X
LTOISJZ,X,O,X,O,O,O,O,X,X,X
LTOISZJ,X,O,X,O,O,O,O,X,X,X
LTOIZJS,X,X,X,X,O,X,O,O,X,X
LTOIZSJ,X,X,X,X,O,O,O,X,X,X
LTOJISZ,X,O,X,O,X,O,O,X,X,X
LTOJIZS,X,X,X,X,O,O,O,O,X,X
LTOJSIZ,O,O,X,O,X,O,O,X,X,X
LTOJSZI,O,O,X,O,X,O,O,X,X,O
LTOJZIS,O,X,X,X,O,O,O,O,X,O
LTOJZSI,O,O,X,O,O,O,O,O,X,O
LTOSIJZ,O,O,X,O,O,O,O,X,X,X
LTOSIZJ,X,O,O,O,O,O,O,X,X,X
LTOSJIZ,O,O,X,O,O,O,O,X,X,X
LTOSJZI,O,O,X,O,O,O,O,X,X,O
LTOSZIJ,O,O,O,O,O,O,O,X,X,O
LTOSZJI,O,O,O,O,O,O,O,X,X,O
LTOZIJS,O,X,X,X,O,X,O,O,X,O
LTOZISJ,O,X,X,X,O,O,O,X,X,O
LTOZJIS,O,X,X,X,O,O,O,O,X,O
LTOZJSI,O,X,O,O,O,O,O,O,X,O
LTOZSIJ,O,O,O,O,O,O,O,X,X,O
LTOZSJI,O,O,O,O,O,O,O,X,X,O
LITJSZO,X,O,X,X,O,O,O,O,X,X
LITJSOZ,X,O,X,X,O,O,O,X,X,X
LITJZSO,X,X,X,X,O,O,O,O,X,X
LITJZOS,X,X,X,X,O,O,X,O,X,X
LITJOSZ,X,O,X,X,X,O,O,X,X,X
LITJOZS,X,X,X,X,O,O,O,O,X,X
LITSJZO,X,O,O,X,O,O,O,O,O,X
LITSJOZ,X,O,X,O,O,O,O,X,X,X
LITSZJO,X,X,O,X,O,X,O,O,O,X
LITSZOJ,X,O,O,O,O,O,O,X,O,X
LITSOJZ,X,O,X,O,O,O,O,X,X,X
LITSOZJ,X,O,O,O,O,O,O,X,O,X
LITZJSO,X,X,O,X,O,X,O,O,X,X
LITZJOS,X,X,X,X,O,X,X,O,X,X
LITZSJO,X,X,O,X,O,X,O,O,O,X
LITZSOJ,X,X,O,X,O,O,O,X,O,X
LITZOJS,X,X,X,X,O,X,O,O,X,X
LITZOSJ,X,X,X,X,O,O,O,X,X,X
LITOJSZ,X,O,X,O,X,O,O,X,X,X
LITOJZS,X,X,X,X,O,O,O,O,X,X
LITOSJZ,X,O,X,O,O,O,O,X,X,X
LITOSZJ,X,O,X,O,O,O,O,X,X,X
LITOZJS,X,X,X,X,O,X,O,O,X,X
LITOZSJ,X,X,X,X,O,O,O,X,X,X
LIJTSZO,X,O,X,X,O,O,O,O,O,X
LIJTSOZ,X,O,X,X,O,O,O,X,O,X
LIJTZSO,X,X,X,X,O,O,O,O,O,X
LIJTZOS,X,X,X,X,O,O,X,O,X,X
LIJTOSZ,X,O,X,X,X,O,O,X,X,X
LIJTOZS,X,X,X,X,O,O,X,O,X,X
LIJSTZO,X,O,O,X,X,O,O,O,O,X
LIJSTOZ,X,O,X,O,X,O,O,X,O,X
LIJSZTO,X,O,O,X,O,X,O,X,O,X
LIJSZOT,X,O,O,X,O,O,O,X,X,X
LIJSOTZ,X,O,X,O,X,O,O,X,O,X
LIJSOZT,X,O,X,O,O,O,O,X,X,X
LIJZTSO,X,X,O,X,O,X,X,O,X,X
LIJZTOS,X,X,X,X,O,X,X,O,X,X
LIJZSTO,X,O,O,X,O,X,X,X,X,X
LIJZSOT,X,O,O,X,O,X,X,X,X,X
LIJZOTS,X,X,X,X,O,X,X,X,X,X
LIJZOST,X,O,O,X,O,X,X,X,X,X
LIJOTSZ,X,O,X,O,X,O,X,X,X,X
LIJOTZS,X,X,X,X,X,O,X,O,X,X
LIJOSTZ,X,O,X,O,X,O,X,X,X,X
LIJOSZT,X,O,X,O,X,O,X,X,X,X
LIJOZTS,X,X,X,X,O,X,X,X,X,X
LIJOZST,X,O,X,O,O,X,X,X,X,X
LISTJZO,X,O,O,X,O,O,O,O,O,X
LISTJOZ,X,O,X,O,O,O,O,X,O,X
LISTZJO,X,X,O,X,O,X,O,O,O,X
LISTZOJ,X,O,O,O,O,O,O,X,O,X
LISTOJZ,X,O,X,O,O,O,O,X,X,X
LISTOZJ,X,O,O,O,O,O,O,X,O,X
LISJTZO,X,O,O,X,X,O,O,O,O,X
LISJTOZ,X,O,X,O,X,O,O,X,O,X
LISJZTO,X,O,O,X,O,X,O,X,O,X
LISJZOT,X,O,O,X,O,O,O,X,X,X
LISJOTZ,X,O,X,O,X,O,O,X,O,X
LISJOZT,X,O,X,O,O,O,O,X,X,X
LISZTJO,X,X,O,X,O,X,X,X,O,X
LISZTOJ,X,O,O,O,O,X,X,X,O,X
LISZJTO,X,O,O,X,O,X,O,X,O,X
LISZJOT,X,O,O,X,O,X,O,X,X,X
LISZOTJ,X,O,O,O,O,O,X,X,X,O
LISZOJT,X,O,O,O,O,O,O,X,X,O
LISOTJZ,X,O,X,O,O,O,O,X,X,X
LISOTZJ,X,O,O,O,O,O,O,X,O,X
LISOJTZ,X,O,X,O,X,O,O,X,O,X
LISOJZT,X,O,X,O,O,O,O,X,X,O
LISOZTJ,X,O,O,O,O,O,X,X,X,O
LISOZJT,X,O,O,O,O,O,O,X,X,O
LIZTJSO,X,X,O,X,O,X,X,O,X,X
LIZTJOS,X,X,X,X,O,X,X,O,X,X
LIZTSJO,X,X,O,X,O,X,X,O,X,X
LIZTSOJ,X,X,O,X,O,X,X,X,X,X
LIZTOJS,X,X,X,X,O,X,X,O,X,X
LIZTOSJ,X,X,X,X,O,X,X,X,X,X
LIZJTSO,X,X,O,X,O,X,X,O,X,X
LIZJTOS,X,X,X,X,O,X,X,O,X,X
LIZJSTO,X,O,O,X,O,X,X,X,X,X
LIZJSOT,X,O,O,X,O,X,X,X,X,X
LIZJOTS,X,X,X,X,O,X,X,X,X,X
LIZJOST,X,O,O,X,O,X,X,X,X,X
LIZSTJO,X,X,O,X,O,X,X,X,X,X
LIZSTOJ,X,O,O,O,O,X,X,X,X,X
LIZSJTO,X,O,O,X,O,X,X,X,X,X
LIZSJOT,X,O,O,X,O,X,X,X,X,X
LIZSOTJ,X,O,O,O,O,X,X,X,X,O
LIZSOJT,X,O,O,O,O,X,X,X,X,O
LIZOTJS,X,X,X,X,O,X,X,X,X,O
LIZOTSJ,X,X,X,X,O,X,X,X,X,O
LIZOJTS,X,X,X,X,O,X,X,X,X,O
LIZOJST,X,O,O,O,O,X,X,X,X,O
LIZOSTJ,X,O,O,O,O,X,X,X,X,O
LIZOSJT,X,O,O,O,O,X,X,X,X,O
LIOTJSZ,X,O,X,O,X,O,O,X,X,X
LIOTJZS,X,X,X,X,O,O,O,O,X,X
LIOTSJZ,X,O,X,O,O,O,O,X,X,X
LIOTSZJ,X,O,X,O,O,O,O,X,X,X
LIOTZJS,X,X,X,X,O,X,O,O,X,X
LIOTZSJ,X,X,X,X,O,O,O,X,X,X
LIOJTSZ,X,O,X,O,X,O,O,X,X,X
LIOJTZS,X,X,X,X,X,O,O,O,X,X
LIOJSTZ,X,O,X,O,X,O,O,X,X,X
LIOJSZT,X,O,X,O,X,O,O,X,X,O
LIOJZTS,X,X,X,X,O,X,X,X,X,O
LIOJZST,X,O,X,O,O,X,X,X,X,O
LIOSTJZ,X,O,X,O,X,O,O,X,X,X
LIOSTZJ,X,O,O,O,O,O,O,X,X,X
LIOSJTZ,X,O,X,O,X,O,O,X,X,X
LIOSJZT,X,O,X,O,O,O,O,X,X,O
LIOSZTJ,X,O,O,O,O,O,X,X,X,O
LIOSZJT,X,O,O,O,O,O,O,X,X,O
LIOZTJS,X,X,X,X,O,X,X,X,X,O
LIOZTSJ,X,X,X,X,O,X,X,X,X,O
LIOZJTS,X,X,X,X,O,X,X,X,X,O
LIOZJST,X,O,O,O,O,X,X,X,X,O
LIOZSTJ,X,O,O,O,O,X,X,X,X,O
LIOZSJT,X,O,O,O,O,X,X,X,X,O
LJTISZO,X,O,X,X,O,O,O,O,O,X
LJTISOZ,X,O,X,X,O,O,O,X,O,X
LJTIZSO,X,X,X,X,O,O,O,O,O,X
LJTIZOS,X,X,X,X,O,O,X,O,X,X
LJTIOSZ,X,O,X,X,X,O,O,X,X,X
LJTIOZS,X,X,X,X,O,O,O,O,X,X
LJTSIZO,X,O,O,X,O,O,O,O,O,X
LJTSIOZ,O,O,X,O,O,O,O,X,O,X
LJTSZIO,X,O,O,X,O,O,O,O,O,X
LJTSZOI,X,O,O,X,O,O,X,O,O,X
LJTSOIZ,X,O,X,O,O,O,O,X,O,X
LJTSOZI,X,O,X,O,O,O,O,X,O,X
LJTZISO,X,X,O,X,O,O,O,O,O,X
LJTZIOS,X,X,X,X,O,O,X,O,X,X
LJTZSIO,X,O,O,X,O,O,O,O,O,X
LJTZSOI,X,O,O,X,O,O,X,O,O,X
LJTZOIS,X,X,X,X,O,O,X,O,X,X
LJTZOSI,X,O,O,X,O,O,X,O,X,X
LJTOISZ,X,O,X,O,X,O,O,X,X,X
LJTOIZS,X,X,X,X,O,O,O,O,X,X
LJTOSIZ,X,O,X,O,X,O,O,X,X,X
LJTOSZI,X,O,X,O,X,O,O,X,X,X
LJTOZIS,X,X,X,X,O,O,O,O,X,X
LJTOZSI,X,O,X,O,O,O,O,O,X,X
LJITSZO,X,O,X,X,O,O,O,O,O,X
LJITSOZ,X,O,X,X,O,O,O,X,O,X
LJITZSO,X,X,X,X,O,O,O,O,O,X
LJITZOS,X,X,X,X,O,O,X,O,X,X
LJITOSZ,X,O,X,X,X,O,O,X,X,X
LJITOZS,X,X,X,X,O,O,X,O,X,X
LJISTZO,X,O,O,X,X,O,O,O,O,X
LJISTOZ,X,O,X,O,X,O,O,X,O,X
LJISZTO,X,O,O,X,O,X,O,X,O,X
LJISZOT,X,O,O,X,O,O,O,X,X,X
LJISOTZ,X,O,X,O,X,O,O,X,O,X
LJISOZT,X,O,X,O,O,O,O,X,X,X
LJIZTSO,X,X,O,X,O,X,X,O,X,X
LJIZTOS,X,X,X,X,O,X,X,O,X,X
LJIZSTO,X,O,O,X,O,X,X,X,X,X
LJIZSOT,X,O,O,X,O,X,X,X,X,X
LJIZOTS,X,X,X,X,O,X,X,X,X,X
LJIZOST,X,O,O,X,O,X,X,X,X,X
LJIOTSZ,X,O,X,O,X,O,X,X,X,X
LJIOTZS,X,X,X,X,X,O,X,O,X,X
LJIOSTZ,X,O,X,O,X,O,X,X,X,X
LJIOSZT,X,O,X,O,X,O,X,X,X,X
LJIOZTS,X,X,X,X,O,X,X,X,X,X
LJIOZST,X,O,X,O,O,X,X,X,X,X
LJSTIZO,X,O,O,X,O,O,O,O,O,X
LJSTIOZ,O,O,X,O,O,O,O,X,O,X
LJSTZIO,X,O,O,X,O,O,O,O,O,X
LJSTZOI,X,O,O,X,O,O,X,O,O,X
LJSTOIZ,X,O,X,O,O,O,O,X,O,X
LJSTOZI,X,O,X,O,O,O,O,X,O,X
LJSITZO,X,O,O,X,X,O,O,O,O,X
LJSITOZ,O,O,X,O,X,O,O,X,O,X
LJSIZTO,O,O,O,X,O,X,O,X,O,X
LJSIZOT,O,O,O,X,O,O,O,X,X,X
LJSIOTZ,O,O,X,O,X,O,O,X,O,X
LJSIOZT,O,O,X,O,O,O,O,X,X,X
LJSZTIO,O,O,O,X,O,O,O,O,O,X
LJSZTOI,X,O,O,X,O,O,X,O,O,X
LJSZITO,O,O,O,X,O,X,O,X,O,X
LJSZIOT,O,O,O,X,O,O,O,X,X,X
LJSZOTI,X,O,O,X,O,O,X,X,O,O
LJSZOIT,X,O,O,X,O,O,X,X,X,O
LJSOTIZ,X,O,X,O,O,O,O,X,O,X
LJSOTZI,X,O,X,O,O,O,O,X,O,O
LJSOITZ,X,O,X,O,X,O,O,X,O,X
LJSOIZT,X,O,X,O,O,O,O,X,X,O
LJSOZTI,X,O,X,O,O,O,O,X,O,O
LJSOZIT,X,O,X,O,O,O,O,X,X,O
LJZTISO,X,X,O,X,O,O,O,O,O,X
LJZTIOS,X,X,X,X,O,O,X,O,X,X
LJZTSIO,O,O,O,X,O,O,O,O,O,X
LJZTSOI,X,O,O,X,O,O,X,O,O,X
LJZTOIS,X,X,X,X,O,O,X,O,X,X
LJZTOSI,X,O,O,X,O,O,X,O,X,X
LJZITSO,X,X,O,X,O,X,X,O,X,X
LJZITOS,X,X,X,X,O,X,X,O,X,X
LJZISTO,X,O,O,X,O,X,X,X,X,X
LJZISOT,X,O,O,X,O,X,X,X,X,X
LJZIOTS,X,X,X,X,O,X,X,X,X,X
LJZIOST,X,O,O,X,O,X,X,X,X,X
LJZSTIO,O,O,O,X,O,O,O,O,O,X
LJZSTOI,X,O,O,X,O,O,X,O,O,X
LJZSITO,O,O,O,X,O,X,O,X,O,X
LJZSIOT,O,O,O,X,O,O,O,X,X,X
LJZSOTI,X,O,O,X,O,O,X,X,O,O
LJZSOIT,X,O,O,X,O,O,X,X,X,O
LJZOTIS,X,X,X,X,O,O,X,O,X,O
LJZOTSI,X,O,O,X,O,O,X,O,X,O
LJZOITS,X,X,X,X,O,X,X,X,X,O
LJZOIST,X,O,O,X,O,X,X,X,X,O
LJZOSTI,X,O,O,X,O,O,X,X,X,O
LJZOSIT,X,O,O,X,O,O,X,X,X,O
LJOTISZ,X,O,X,O,X,O,O,X,X,X
LJOTIZS,X,X,X,X,O,O,O,O,X,X
LJOTSIZ,X,O,X,O,X,O,O,X,X,X
LJOTSZI,X,O,X,O,X,O,O,X,X,O
LJOTZIS,X,X,X,X,O,O,O,O,X,O
LJOTZSI,X,O,X,O,O,O,O,O,X,O
LJOITSZ,X,O,X,O,X,O,O,X,X,X
LJOITZS,X,X,X,X,X,O,O,O,X,X
LJOISTZ,X,O,X,O,X,O,O,X,X,X
LJOISZT,X,O,X,O,X,O,O,X,X,O
LJOIZTS,X,X,X,X,O,X,X,X,X,O
LJOIZST,X,O,X,O,O,X,X,X,X,O
LJOSTIZ,X,O,X,O,X,O,O,X,X,X
LJOSTZI,X,O,X,O,X,O,O,X,X,O
LJOSITZ,X,O,X,O,X,O,O,X,X,X
LJOSIZT,X,O,X,O,X,O,O,X,X,O
LJOSZTI,X,O,X,O,X,O,O,X,X,O
LJOSZIT,X,O,X,O,X,O,O,X,X,O
LJOZTIS,X,X,X,X,O,O,O,O,X,O
LJOZTSI,X,O,X,O,O,O,O,O,X,O
LJOZITS,X,X,X,X,O,X,X,X,X,O
LJOZIST,X,O,X,O,O,X,X,X,X,O
LJOZSTI,X,O,X,O,O,O,O,X,X,O
LJOZSIT,X,O,X,O,O,O,O,X,X,O
LSTIJZO,X,O,O,X,O,O,O,O,O,X
LSTIJOZ,O,O,X,O,O,O,O,X,O,X
LSTIZJO,X,X,O,X,O,X,O,O,O,X
LSTIZOJ,X,O,O,O,O,O,O,X,O,X
LSTIOJZ,O,O,X,O,O,O,O,X,X,X
LSTIOZJ,X,O,O,O,O,O,O,X,O,X
LSTJIZO,X,O,O,X,O,O,O,O,O,X
LSTJIOZ,O,O,X,O,O,O,O,X,O,X
LSTJZIO,X,O,O,X,O,O,O,O,O,X
LSTJZOI,X,O,O,X,O,O,X,O,O,X
LSTJOIZ,X,O,X,O,O,O,O,X,O,X
LSTJOZI,X,O,X,O,O,O,O,X,O,X
LSTZIJO,X,X,O,X,O,X,O,O,O,X
LSTZIOJ,X,O,O,O,O,O,O,X,O,X
LSTZJIO,X,X,O,X,O,O,O,O,O,X
LSTZJOI,X,X,O,X,O,O,X,O,O,X
LSTZOIJ,X,O,O,O,O,O,O,X,O,O
LSTZOJI,X,O,O,O,O,O,O,X,O,O
LSTOIJZ,O,O,X,O,O,O,O,X,X,X
LSTOIZJ,X,O,O,O,O,O,O,X,O,X
LSTOJIZ,O,O,X,O,O,O,O,X,X,X
LSTOJZI,O,O,X,O,O,O,O,X,X,O
LSTOZIJ,O,O,O,O,O,O,O,X,O,O
LSTOZJI,O,O,O,O,O,O,O,X,O,O
LSITJZO,X,O,O,X,O,O,O,O,O,X
LSITJOZ,X,O,X,O,O,O,O,X,O,X
LSITZJO,X,X,O,X,O,X,O,O,O,X
LSITZOJ,X,O,O,O,O,O,O,X,O,X
LSITOJZ,X,O,X,O,O,O,O,X,X,X
LSITOZJ,X,O,O,O,O,O,O,X,O,X
LSIJTZO,X,O,O,X,X,O,O,O,O,X
LSIJTOZ,O,O,X,O,X,O,O,X,O,X
LSIJZTO,O,O,O,X,O,X,O,X,O,X
LSIJZOT,O,O,O,X,O,O,O,X,X,X
LSIJOTZ,O,O,X,O,X,O,O,X,O,X
LSIJOZT,O,O,X,O,O,O,O,X,X,X
LSIZTJO,X,X,O,X,O,X,X,X,O,X
LSIZTOJ,X,O,O,O,O,X,X,X,O,X
LSIZJTO,X,O,O,X,O,X,O,X,O,X
LSIZJOT,X,O,O,X,O,X,O,X,X,X
LSIZOTJ,X,O,O,O,O,O,X,X,X,O
LSIZOJT,X,O,O,O,O,O,O,X,X,O
LSIOTJZ,X,O,X,O,O,O,O,X,X,X
LSIOTZJ,X,O,O,O,O,O,O,X,O,X
LSIOJTZ,O,O,X,O,X,O,O,X,O,X
LSIOJZT,O,O,X,O,O,O,O,X,X,O
LSIOZTJ,X,O,O,O,O,O,X,X,X,O
LSIOZJT,X,O,O,O,O,O,O,X,X,O
LSJTIZO,X,O,O,X,O,O,O,O,O,X
LSJTIOZ,O,O,X,O,O,O,O,X,O,X
LSJTZIO,X,O,O,X,O,O,O,O,O,X
LSJTZOI,X,O,O,X,O,O,X,O,O,X
LSJTOIZ,X,O,X,O,O,O,O,X,O,X
LSJTOZI,X,O,X,O,O,O,O,X,O,X
LSJITZO,X,O,O,X,X,O,O,O,O,X
LSJITOZ,O,O,X,O,X,O,O,X,O,X
LSJIZTO,O,O,O,X,O,X,O,X,O,X
LSJIZOT,O,O,O,X,O,O,O,X,X,X
LSJIOTZ,O,O,X,O,X,O,O,X,O,X
LSJIOZT,O,O,X,O,O,O,O,X,X,X
LSJZTIO,O,O,O,X,O,O,O,O,O,X
LSJZTOI,X,O,O,X,O,O,X,O,O,X
LSJZITO,O,O,O,X,O,X,O,X,O,X
LSJZIOT,O,O,O,X,O,O,O,X,X,X
LSJZOTI,X,O,O,X,O,O,X,X,O,O
LSJZOIT,X,O,O,X,O,O,X,X,X,O
LSJOTIZ,X,O,X,O,O,O,O,X,O,X
LSJOTZI,X,O,X,O,O,O,O,X,O,O
LSJOITZ,X,O,X,O,X,O,O,X,O,X
LSJOIZT,X,O,X,O,O,O,O,X,X,O
LSJOZTI,X,O,X,O,O,O,O,X,O,O
LSJOZIT,X,O,X,O,O,O,O,X,X,O
LSZTIJO,O,X,O,X,O,X,O,O,O,X
LSZTIOJ,O,O,O,O,O,O,O,X,O,X
LSZTJIO,O,X,O,X,O,O,O,O,O,X
LSZTJOI,X,X,O,X,O,O,X,O,O,X
LSZTOIJ,O,O,O,O,O,O,O,X,O,O
LSZTOJI,O,O,O,O,O,O,O,X,O,O
LSZITJO,X,X,O,X,O,X,X,X,O,X
LSZITOJ,X,O,O,O,O,X,X,X,O,X
LSZIJTO,O,O,O,X,O,X,O,X,O,X
LSZIJOT,O,O,O,X,O,X,O,X,X,X
