sequence,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhFmdBclBThBK?nBfoBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jem7IvhFRdBclB3hBa?oBTnBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhF/iBajBclBT?hB2sBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jel7IvhFRdB/nBaoBT?lBOrB0rB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jem7IvhFSiBZjBclB3?hBTnBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Je07IvhFlcB3dBeoBT?lBxmBirB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jel7IvhF3dBZmBqrBe?tBUnBTqB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhFidBclBThBm?nB3nBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhF2iBclBThB3?iBysBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8JeR9IvhF/nBaoBTlB0?mBFmBmqB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jel8IvhFajBUhBTiBO?lBfrBRxB,v115@zgB8GeD8FeC8GeC8GeE8AeE8JeX8IvhFFiB8nBxlBT?lBmnBirB
LIZJTOS,X,O,X,X,O,O,X,O,O,X,X,X
LIZJSTO,O,O,O,X,X,O,O,O,X,X,X,O
LIZJSOT,O,O,O,X,X,O,X,X,X,X,X,X
LIZJOTS,X,O,X,X,O,O,X,O,X,X,X,X
LIZJOST,X,O,X,X,O,O,X,X,X,X,X,X
LIZSTJO,O,X,X,X,X,X,X,X,X,X,X,O
LIZSTOJ,O,X,X,O,X,X,X,X,O,X,X,O
LIZSJTO,O,O,X,X,X,X,X,X,X,X,X,O
LIZSJOT,O,O,X,X,X,X,X,X,X,X,X,X
LIZSOTJ,X,X,X,O,X,X,X,X,X,O,O,O
LIZSOJT,O,X,X,X,X,X,X,X,X,O,O,X
LIZOTJS,X,O,X,O,O,X,X,X,O,X,X,X
LIZOTSJ,X,O,X,O,O,X,X,X,O,X,X,O
LIZOJTS,X,O,X,O,O,X,X,X,X,X,X,X
LIZOJST,X,O,X,X,O,X,X,X,X,X,X,X
LIZOSTJ,X,O,X,O,X,X,X,X,X,O,O,O
LIZOSJT,O,O,X,X,O,X,X,X,X,O,O,X
LIOTJSZ,X,O,X,O,X,X,O,X,X,X,X,X
LIOTJZS,X,O,X,O,O,X,O,X,X,X,X,X
LIOTSJZ,X,O,X,O,X,X,O,X,X,X,X,X
LIOTSZJ,X,O,X,O,O,X,X,X,X,O,O,X
LIOTZJS,X,O,X,O,O,X,O,X,X,X,X,X
LIOTZSJ,X,O,X,O,O,X,X,X,X,X,X,X
LIOJTSZ,X,O,X,O,X,X,O,X,X,X,X,X
LIOJTZS,X,O,X,O,O,X,O,X,X,X,X,X
LIOJSTZ,X,X,X,O,X,X,O,X,X,X,X,X
LIOJSZT,X,O,X,O,X,X,O,X,X,O,O,X
LIOJZTS,X,O,X,O,O,X,O,X,X,X,X,X
LIOJZST,X,O,X,X,O,X,O,X,X,X,X,X
LIOSTJZ,X,O,X,O,X,X,O,X,X,X,X,X
LIOSTZJ,X,O,X,O,O,X,X,X,X,O,O,X
LIOSJTZ,X,X,X,O,X,X,O,X,X,X,X,X
LIOSJZT,O,O,X,O,X,X,O,X,X,O,O,X
LIOSZTJ,X,O,X,O,X,X,X,X,X,O,O,O
LIOSZJT,X,O,X,X,O,X,X,X,X,O,O,X
LIOZTJS,X,O,X,O,O,X,O,X,O,X,X,X
LIOZTSJ,X,O,X,O,O,X,X,X,O,X,X,O
LIOZJTS,X,O,X,O,O,X,O,X,X,X,X,X
LIOZJST,X,O,X,X,O,X,O,X,X,X,X,X
LIOZSTJ,X,O,X,O,X,X,X,X,X,O,O,O
LIOZSJT,X,O,X,X,O,X,X,X,X,O,O,X
LJTISZO,X,O,X,X,X,O,O,X,X,X,X,X
LJTISOZ,X,X,X,O,X,O,O,X,X,X,X,X
LJTIZSO,X,O,X,X,X,O,O,O,X,X,X,X
LJTIZOS,X,O,X,X,X,O,X,O,O,X,X,X
LJTIOSZ,X,X,X,O,X,O,O,X,X,X,X,X
LJTIOZS,X,X,X,O,X,O,X,O,O,X,X,X
LJTSIZO,O,O,O,X,X,O,O,X,X,X,X,X
LJTSIOZ,O,X,O,O,X,O,O,X,X,X,X,X
LJTSZIO,O,O,O,X,X,O,X,O,X,X,X,X
LJTSZOI,O,O,O,X,X,O,X,O,O,X,X,X
LJTSOIZ,O,X,O,X,X,O,O,X,X,X,X,X
LJTSOZI,O,X,O,X,X,O,X,O,O,X,X,X
LJTZISO,O,O,O,X,X,O,X,O,X,X,X,X
LJTZIOS,X,O,X,X,X,O,X,O,O,X,X,X
LJTZSIO,O,O,O,X,X,O,X,O,X,X,X,X
LJTZSOI,O,O,O,X,X,O,X,O,O,X,X,X
LJTZOIS,O,O,O,X,X,O,X,O,O,X,X,X
LJTZOSI,O,O,O,X,X,O,X,O,O,X,X,X
LJTOISZ,X,X,X,O,X,X,O,X,X,X,X,X
LJTOIZS,X,X,X,O,X,X,O,O,O,X,X,X
LJTOSIZ,O,X,O,O,X,X,O,X,X,X,X,X
LJTOSZI,O,X,O,O,X,X,X,O,O,X,X,X
LJTOZIS,O,X,O,O,X,X,X,O,O,X,X,X
LJTOZSI,O,X,O,O,X,X,X,O,O,X,X,X
LJITSZO,X,O,X,X,X,O,O,X,X,X,X,X
LJITSOZ,X,X,X,O,X,O,O,X,X,X,X,X
LJITZSO,X,O,X,X,X,O,O,O,X,X,X,X
LJITZOS,X,O,X,X,X,O,X,O,O,X,X,X
LJITOSZ,X,X,X,O,X,O,O,X,X,X,X,X
LJITOZS,X,X,X,O,X,O,X,O,O,X,X,X
LJISTZO,O,X,O,X,X,O,O,X,X,X,X,X
LJISTOZ,X,X,X,O,X,O,O,X,X,X,X,X
LJISZTO,O,O,O,X,X,O,O,O,X,X,X,O
LJISZOT,O,O,O,X,X,O,X,X,X,X,X,X
LJISOTZ,X,X,X,O,X,O,O,X,X,X,X,X
LJISOZT,O,X,O,X,X,O,O,X,X,O,X,X
LJIZTSO,X,O,X,X,X,O,O,O,X,X,X,O
LJIZTOS,X,O,X,X,O,O,X,O,O,X,X,X
LJIZSTO,X,O,X,X,X,O,O,O,X,X,X,O
LJIZSOT,X,O,X,X,X,O,X,X,X,X,X,X
LJIZOTS,X,O,X,X,O,O,X,O,X,X,X,X
LJIZOST,X,O,X,X,O,O,X,X,X,X,X,X
LJIOTSZ,X,O,X,O,X,O,O,X,X,X,X,X
LJIOTZS,X,O,X,O,X,O,O,X,X,X,X,X
LJIOSTZ,X,X,X,O,X,O,O,X,X,X,X,X
LJIOSZT,X,O,X,X,X,O,O,X,X,O,X,X
LJIOZTS,X,O,X,O,X,O,O,O,X,X,X,X
LJIOZST,X,O,X,X,X,O,O,X,X,X,X,X
LJSTIZO,O,X,O,X,X,O,O,X,X,X,X,X
LJSTIOZ,O,X,O,O,X,O,O,X,X,X,X,X
LJSTZIO,O,X,O,X,X,O,X,O,X,X,X,X
LJSTZOI,O,X,O,X,X,O,X,O,O,X,X,X
LJSTOIZ,O,X,O,X,X,O,O,X,X,X,X,X
LJSTOZI,O,X,O,X,X,O,X,O,O,X,X,X
LJSITZO,O,X,O,X,X,O,O,X,X,X,X,X
LJSITOZ,O,X,O,O,X,O,O,X,X,X,X,X
LJSIZTO,O,O,O,X,X,O,O,O,X,X,X,X
LJSIZOT,O,O,O,X,X,O,X,X,X,X,X,X
LJSIOTZ,X,X,X,O,X,O,O,X,X,X,X,X
LJSIOZT,O,X,O,X,X,O,O,X,X,O,X,X
LJSZTIO,O,O,O,X,X,O,X,O,X,X,X,X
LJSZTOI,O,O,O,X,X,O,X,O,O,X,X,X
LJSZITO,O,O,O,X,X,O,O,O,X,X,X,X
LJSZIOT,O,O,O,X,X,O,X,X,X,X,X,X
LJSZOTI,O,X,O,X,X,O,X,X,X,X,X,X
LJSZOIT,O,O,O,X,X,O,O,X,X,X,X,X
LJSOTIZ,O,X,O,O,X,O,O,X,X,X,X,X
LJSOTZI,O,X,O,O,X,O,X,X,X,X,X,X
LJSOITZ,X,X,X,O,X,O,O,X,X,X,X,X
LJSOIZT,O,X,O,O,X,O,O,X,X,O,X,X
LJSOZTI,O,X,O,O,X,O,X,X,X,O,X,X
LJSOZIT,O,X,O,O,X,O,O,X,X,O,X,X
LJZTISO,O,O,O,X,X,O,X,O,X,X,X,O
LJZTIOS,X,O,X,X,O,O,X,O,O,X,X,X
LJZTSIO,O,O,O,X,X,O,X,O,X,X,X,O
LJZTSOI,O,O,O,X,X,O,X,O,O,X,X,X
LJZTOIS,O,O,O,X,O,O,X,O,O,X,X,X
LJZTOSI,O,O,O,X,O,O,X,O,O,X,X,X
LJZITSO,X,O,X,X,X,O,O,O,X,X,X,O
LJZITOS,X,O,X,X,O,O,X,O,O,X,X,X
LJZISTO,O,O,O,X,X,O,O,O,X,X,X,O
LJZISOT,O,O,O,X,X,O,X,X,X,X,X,X
LJZIOTS,X,O,X,X,O,O,X,O,X,X,X,X
LJZIOST,X,O,X,X,O,O,X,X,X,X,X,X
LJZSTIO,O,O,O,X,X,O,X,O,X,X,X,X
LJZSTOI,O,O,O,X,X,O,X,O,O,X,X,X
LJZSITO,O,O,O,X,X,O,O,O,X,X,X,X
LJZSIOT,O,O,O,X,X,O,X,X,X,X,X,X
LJZSOTI,O,X,O,X,X,O,X,X,X,X,X,X
LJZSOIT,O,O,O,X,X,O,O,X,X,X,X,X
LJZOTIS,X,O,X,X,O,O,X,O,O,X,X,X
LJZOTSI,X,O,X,X,X,O,X,O,O,X,X,X
LJZOITS,X,O,X,X,O,O,O,O,X,X,X,X
LJZOIST,X,O,X,X,O,O,O,X,X,X,X,X
LJZOSTI,X,O,X,X,X,O,X,X,X,X,X,X
LJZOSIT,X,O,X,X,O,O,O,X,X,X,X,X
LJOTISZ,X,O,X,O,X,O,O,X,X,X,X,X
LJOTIZS,X,O,X,O,X,O,O,O,O,X,X,X
LJOTSIZ,X,O,X,O,X,O,O,X,X,X,X,X
LJOTSZI,X,O,X,O,X,O,X,O,O,X,X,X
LJOTZIS,X,O,X,O,X,O,X,O,O,X,X,X
LJOTZSI,X,O,X,O,X,O,X,O,O,X,X,X
LJOITSZ,X,O,X,O,X,O,O,X,X,X,X,X
LJOITZS,X,O,X,O,X,O,O,X,X,X,X,X
LJOISTZ,X,X,X,O,X,O,O,X,X,X,X,X
LJOISZT,X,O,X,O,X,O,O,X,X,O,X,X
LJOIZTS,X,O,X,O,X,O,O,O,X,X,X,X
LJOIZST,X,O,X,X,X,O,O,X,X,X,X,X
LJOSTIZ,X,X,X,O,X,O,O,X,X,X,X,X
LJOSTZI,X,X,X,O,X,O,X,X,X,X,X,X
LJOSITZ,X,X,X,O,X,O,O,X,X,X,X,X
LJOSIZT,X,O,X,O,X,O,O,X,X,O,X,X
LJOSZTI,X,O,X,O,X,O,X,X,X,O,X,X
LJOSZIT,X,O,X,O,X,O,O,X,X,O,X,X
LJOZTIS,X,O,X,O,X,O,X,O,O,X,X,X
LJOZTSI,X,O,X,O,X,O,X,O,O,X,X,X
LJOZITS,X,O,X,O,X,O,O,O,X,X,X,X
LJOZIST,X,O,X,X,X,O,O,X,X,X,X,X
LJOZSTI,X,O,X,O,X,O,X,X,X,X,X,X
LJOZSIT,X,O,X,O,X,O,O,X,X,X,X,X
LSTIJZO,O,O,X,X,X,X,X,X,X,X,X,X
LSTIJOZ,O,X,X,O,X,X,X,X,X,X,X,X
LSTIZJO,O,O,X,X,X,X,X,X,X,X,X,X
LSTIZOJ,O,O,X,O,X,X,X,X,X,X,X,X
LSTIOJZ,O,X,X,O,X,X,X,X,X,X,X,X
LSTIOZJ,O,O,X,O,X,X,X,X,X,O,X,X
LSTJIZO,O,O,X,X,X,X,X,X,X,X,X,X
LSTJIOZ,O,X,X,O,X,X,X,X,X,X,X,X
LSTJZIO,O,O,X,X,X,X,X,X,X,X,X,X
LSTJZOI,O,O,X,X,X,X,X,X,O,X,X,X
LSTJOIZ,O,X,X,X,X,X,X,X,X,X,X,X
LSTJOZI,O,X,X,X,X,X,X,X,O,X,X,X
LSTZIJO,O,O,X,X,X,X,X,X,X,X,X,X
LSTZIOJ,O,O,X,O,X,X,X,X,O,X,X,X
LSTZJIO,O,O,X,X,X,X,X,X,X,X,X,X
LSTZJOI,O,O,X,X,X,X,X,X,O,X,X,X
LSTZOIJ,O,O,X,X,X,X,X,X,O,X,X,X
LSTZOJI,O,O,X,X,X,X,X,X,O,X,X,X
LSTOIJZ,O,X,X,O,X,X,X,X,X,X,X,X
LSTOIZJ,O,O,X,O,X,X,X,X,X,O,X,X
LSTOJIZ,O,X,X,O,X,X,X,X,X,X,X,X
LSTOJZI,O,X,X,O,X,X,X,X,O,X,X,X
LSTOZIJ,O,O,X,O,X,X,X,X,O,O,X,X
LSTOZJI,O,O,X,O,X,X,X,X,O,O,X,X
LSITJZO,O,O,X,X,X,X,O,X,X,X,X,X
LSITJOZ,O,X,X,O,X,X,O,X,X,X,X,X
LSITZJO,O,O,X,X,X,X,X,X,X,X,X,O
LSITZOJ,O,O,X,O,X,X,X,X,X,X,X,O
LSITOJZ,O,X,X,O,X,X,X,X,X,X,X,X
LSITOZJ,O,O,X,O,X,X,X,X,X,O,O,X
LSIJTZO,O,X,X,X,X,X,O,X,X,X,X,X
LSIJTOZ,O,X,X,O,X,X,O,X,X,X,X,X
LSIJZTO,O,O,X,X,X,X,O,X,X,X,X,O
LSIJZOT,O,O,X,X,X,X,X,X,X,X,X,X
LSIJOTZ,X,X,X,O,X,X,O,X,X,X,X,X
LSIJOZT,O,X,X,X,X,X,X,X,X,O,O,X
LSIZTJO,O,X,X,X,X,X,X,X,X,X,X,O
LSIZTOJ,O,X,X,O,X,X,X,X,O,X,O,O
LSIZJTO,O,O,X,X,X,X,X,X,X,X,X,O
LSIZJOT,O,O,X,X,X,X,X,X,X,X,X,X
LSIZOTJ,X,X,X,O,X,X,X,X,X,O,O,O
LSIZOJT,O,X,X,X,X,X,X,X,X,O,O,X
LSIOTJZ,X,O,X,O,X,X,X,X,X,X,X,X
LSIOTZJ,X,O,X,O,X,X,X,X,X,O,O,X
LSIOJTZ,X,X,X,O,X,X,X,X,X,X,X,X
LSIOJZT,O,O,X,O,X,X,X,X,X,O,O,X
LSIOZTJ,X,O,X,O,X,X,X,X,X,O,O,O
LSIOZJT,X,O,X,X,X,X,X,X,X,O,O,X
LSJTIZO,O,X,X,X,X,O,O,X,X,X,X,X
LSJTIOZ,O,X,X,O,X,O,O,X,X,X,X,X
LSJTZIO,O,X,X,X,X,O,X,X,X,X,X,X
LSJTZOI,O,X,X,X,X,O,X,X,O,X,X,X
LSJTOIZ,O,X,X,X,X,O,O,X,X,X,X,X
LSJTOZI,O,X,X,X,X,O,X,X,O,X,X,X
LSJITZO,O,X,X,X,X,O,O,X,X,X,X,X
LSJITOZ,O,X,X,O,X,O,O,X,X,X,X,X
LSJIZTO,O,O,X,X,X,O,O,X,X,X,X,X
LSJIZOT,O,O,X,X,X,O,X,X,X,X,X,X
LSJIOTZ,X,X,X,O,X,O,O,X,X,X,X,X
LSJIOZT,O,X,X,X,X,O,O,X,X,O,X,X
LSJZTIO,O,O,X,X,X,O,X,X,X,X,X,X
LSJZTOI,O,O,X,X,X,O,X,X,O,X,X,X
LSJZITO,O,O,X,X,X,O,O,X,X,X,X,X
LSJZIOT,O,O,X,X,X,O,X,X,X,X,X,X
LSJZOTI,O,X,X,X,X,O,X,X,X,X,X,X
LSJZOIT,O,O,X,X,X,O,O,X,X,X,X,X
LSJOTIZ,O,X,X,O,X,O,O,X,X,X,X,X
LSJOTZI,O,X,X,O,X,O,X,X,X,X,X,X
LSJOITZ,X,X,X,O,X,O,O,X,X,X,X,X
LSJOIZT,O,X,X,O,X,O,O,X,X,O,X,X
LSJOZTI,O,X,X,O,X,O,X,X,X,O,X,X
LSJOZIT,O,X,X,O,X,O,O,X,X,O,X,X
LSZTIJO,O,O,X,X,X,X,X,X,X,X,X,O
LSZTIOJ,O,O,X,O,X,X,X,X,O,X,O,O
LSZTJIO,O,O,X,X,X,O,X,X,X,X,X,O
LSZTJOI,O,O,X,X,X,O,X,X,O,X,X,X
LSZTOIJ,O,O,X,X,X,X,X,X,O,X,X,O
LSZTOJI,O,O,X,X,X,X,X,X,O,X,X,X
LSZITJO,O,X,X,X,X,X,X,X,X,X,X,O
LSZITOJ,O,X,X,O,X,X,X,X,O,X,O,O
LSZIJTO,O,O,X,X,X,X,X,X,X,X,X,O
LSZIJOT,O,O,X,X,X,X,X,X,X,X,X,X
LSZIOTJ,X,X,X,O,X,X,X,X,X,O,O,O
LSZIOJT,O,X,X,X,X,X,X,X,X,O,O,X
LSZJTIO,O,O,X,X,X,O,X,X,X,X,X,X
LSZJTOI,O,O,X,X,X,O,X,X,O,X,X,X
LSZJITO,O,O,X,X,X,O,X,X,X,X,X,X
LSZJIOT,O,O,X,X,X,O,X,X,X,X,X,X
LSZJOTI,O,X,X,X,X,O,X,X,X,X,X,X
LSZJOIT,O,O,X,X,X,O,X,X,X,X,X,X
LSZOTIJ,O,O,X,O,X,X,X,X,X,O,X,X
LSZOTJI,O,O,X,O,X,X,X,X,X,O,X,X
LSZOITJ,X,O,X,O,X,X,X,X,X,O,X,X
LSZOIJT,O,O,X,X,X,X,X,X,X,O,X,X
LSZOJTI,O,O,X,O,X,X,X,X,X,O,X,X
LSZOJIT,O,O,X,O,X,X,X,X,X,O,X,X
LSOTIJZ,O,O,X,O,X,X,X,X,X,X,X,X
LSOTIZJ,O,O,X,O,X,X,X,X,X,O,X,X
LSOTJIZ,O,O,X,O,X,X,X,X,X,X,X,X
LSOTJZI,O,O,X,O,X,X,X,X,X,X,X,X
LSOTZIJ,O,O,X,O,X,X,X,X,X,O,X,X
LSOTZJI,O,O,X,O,X,X,X,X,X,O,X,X
LSOITJZ,X,O,X,O,X,X,O,X,X,X,X,X
LSOITZJ,X,O,X,O,X,X,X,X,X,O,X,X
LSOIJTZ,X,X,X,O,X,X,O,X,X,X,X,X
LSOIJZT,O,O,X,O,X,X,O,X,X,O,X,X
LSOIZTJ,X,O,X,O,X,X,X,X,X,O,X,X
LSOIZJT,X,O,X,X,X,X,X,X,X,O,X,X
LSOJTIZ,O,X,X,O,X,X,O,X,X,X,X,X
LSOJTZI,O,X,X,O,X,X,X,X,X,X,X,X
LSOJITZ,X,X,X,O,X,X,O,X,X,X,X,X
LSOJIZT,O,O,X,O,X,X,O,X,X,O,X,X
LSOJZTI,O,O,X,O,X,X,X,X,X,O,X,X
LSOJZIT,O,O,X,O,X,X,O,X,X,O,X,X
LSOZTIJ,O,O,X,O,X,X,X,X,X,O,X,X
LSOZTJI,O,O,X,O,X,X,X,X,X,O,X,X
LSOZITJ,X,O,X,O,X,X,X,X,X,O,X,X
LSOZIJT,O,O,X,X,X,X,X,X,X,O,X,X
LSOZJTI,O,O,X,O,X,X,X,X,X,O,X,X
LSOZJIT,O,O,X,O,X,X,X,X,X,O,X,X
LZTIJSO,O,O,O,X,X,O,X,O,X,X,X,O
LZTIJOS,X,O,X,X,O,O,X,O,O,X,X,X
LZTISJO,O,O,X,X,X,X,X,X,X,X,X,O
LZTISOJ,O,O,X,O,X,X,X,X,O,X,X,O
LZTIOJS,O,O,O,O,O,X,X,O,O,X,X,X
LZTIOSJ,O,X,X,O,O,X,X,X,O,X,X,O
LZTJISO,O,O,O,X,X,O,X,O,X,X,X,O
LZTJIOS,X,O,X,X,O,O,X,O,O,X,X,X
LZTJSIO,O,O,O,X,X,O,X,O,X,X,X,O
LZTJSOI,O,O,O,X,X,O,X,O,O,X,X,X
LZTJOIS,O,O,O,X,O,O,X,O,O,X,X,X
LZTJOSI,O,O,O,X,O,O,X,O,O,X,X,X
LZTSIJO,O,O,X,X,X,X,X,X,X,X,X,O
LZTSIOJ,O,O,X,O,X,X,X,X,O,X,X,O
LZTSJIO,O,O,X,X,X,O,X,X,X,X,X,O
LZTSJOI,O,O,X,X,X,O,X,X,O,X,X,X
LZTSOIJ,O,O,X,X,X,X,X,X,O,X,X,O
LZTSOJI,O,O,X,X,X,X,X,X,O,X,X,X
LZTOIJS,O,O,O,O,O,O,X,O,O,X,X,X
LZTOISJ,O,O,X,O,O,X,X,X,O,X,X,O
LZTOJIS,O,O,O,O,O,O,X,O,O,X,X,X
LZTOJSI,O,O,O,O,O,O,X,O,O,X,X,X
LZTOSIJ,O,O,X,O,O,X,X,X,O,X,X,O
LZTOSJI,O,O,X,O,O,O,X,X,O,X,X,X
LZITJSO,O,O,O,X,X,O,O,O,X,X,X,O
LZITJOS,X,O,X,X,O,O,X,O,O,X,X,X
LZITSJO,O,O,X,X,X,X,X,X,X,X,X,O
LZITSOJ,O,O,X,O,X,X,X,X,O,X,X,O
LZITOJS,O,O,O,O,O,X,X,O,O,X,X,X
LZITOSJ,O,X,X,O,O,X,X,X,O,X,X,O
LZIJTSO,X,O,X,X,X,O,O,O,X,X,X,O
LZIJTOS,X,O,X,X,O,O,X,O,O,X,X,X
LZIJSTO,O,O,O,X,X,O,O,O,X,X,X,O
LZIJSOT,O,O,O,X,X,O,X,X,X,X,X,X
LZIJOTS,X,O,X,X,O,O,X,O,X,X,X,X
LZIJOST,X,O,X,X,O,O,X,X,X,X,X,X
LZISTJO,O,X,X,X,X,X,X,X,X,X,X,O
LZISTOJ,O,X,X,O,X,X,X,X,O,X,X,O
LZISJTO,O,O,X,X,X,X,X,X,X,X,X,O
LZISJOT,O,O,X,X,X,X,X,X,X,X,X,X
LZISOTJ,X,X,X,O,X,X,X,X,X,O,X,O
LZISOJT,O,X,X,X,X,X,X,X,X,O,X,X
LZIOTJS,X,O,X,O,O,X,X,X,O,X,X,X
LZIOTSJ,X,O,X,O,O,X,X,X,O,X,X,O
LZIOJTS,X,O,X,O,O,X,X,X,X,X,X,X
LZIOJST,X,O,X,X,O,X,X,X,X,X,X,X
LZIOSTJ,X,O,X,O,X,X,X,X,X,O,X,O
LZIOSJT,O,O,X,X,O,X,X,X,X,O,X,X
LZJTISO,O,O,O,X,X,O,X,O,X,X,X,O
LZJTIOS,X,O,X,X,O,O,X,O,O,X,X,X
LZJTSIO,O,O,O,X,X,O,X,O,X,X,X,O
LZJTSOI,O,O,O,X,X,O,X,O,O,X,X,X
LZJTOIS,O,O,O,X,O,O,X,O,O,X,X,X
LZJTOSI,O,O,O,X,O,O,X,O,O,X,X,X
LZJITSO,X,O,X,X,X,O,O,O,X,X,X,O
LZJITOS,X,O,X,X,O,O,X,O,O,X,X,X
LZJISTO,O,O,O,X,X,O,O,O,X,X,X,O
LZJISOT,O,O,O,X,X,O,X,X,X,X,X,X
LZJIOTS,X,O,X,X,O,O,X,O,X,X,X,X
LZJIOST,X,O,X,X,O,O,X,X,X,X,X,X
LZJSTIO,O,O,O,X,X,O,X,O,X,X,X,X
LZJSTOI,O,O,O,X,X,O,X,O,O,X,X,X
LZJSITO,O,O,O,X,X,O,O,O,X,X,X,X
LZJSIOT,O,O,O,X,X,O,X,X,X,X,X,X
LZJSOTI,O,X,O,X,X,O,X,X,X,X,X,X
LZJSOIT,O,O,O,X,X,O,O,X,X,X,X,X
LZJOTIS,X,O,X,X,O,O,X,O,O,X,X,X
LZJOTSI,X,O,X,X,X,O,X,O,O,X,X,X
LZJOITS,X,O,X,X,O,O,O,O,X,X,X,X
LZJOIST,X,O,X,X,O,O,O,X,X,X,X,X
LZJOSTI,X,O,X,X,X,O,X,X,X,X,X,X
LZJOSIT,X,O,X,X,O,O,O,X,X,X,X,X
LZSTIJO,O,O,X,X,X,X,X,X,X,X,X,O
LZSTIOJ,O,O,X,O,X,X,X,X,O,X,X,O
LZSTJIO,O,O,X,X,X,O,X,X,X,X,X,O
LZSTJOI,O,O,X,X,X,O,X,X,O,X,X,X
LZSTOIJ,O,O,X,X,X,X,X,X,O,X,X,O
LZSTOJI,O,O,X,X,X,X,X,X,O,X,X,X
LZSITJO,O,X,X,X,X,X,X,X,X,X,X,O
LZSITOJ,O,X,X,O,X,X,X,X,O,X,X,O
LZSIJTO,O,O,X,X,X,X,X,X,X,X,X,O
LZSIJOT,O,O,X,X,X,X,X,X,X,X,X,X
LZSIOTJ,X,X,X,O,X,X,X,X,X,O,X,O
LZSIOJT,O,X,X,X,X,X,X,X,X,O,X,X
LZSJTIO,O,O,X,X,X,O,X,X,X,X,X,X
LZSJTOI,O,O,X,X,X,O,X,X,O,X,X,X
LZSJITO,O,O,X,X,X,O,X,X,X,X,X,X
LZSJIOT,O,O,X,X,X,O,X,X,X,X,X,X
LZSJOTI,O,X,X,X,X,O,X,X,X,X,X,X
LZSJOIT,O,O,X,X,X,O,X,X,X,X,X,X
LZSOTIJ,O,O,X,O,X,X,X,X,X,O,X,X
LZSOTJI,O,O,X,O,X,X,X,X,X,O,X,X
LZSOITJ,X,O,X,O,X,X,X,X,X,O,X,X
LZSOIJT,O,O,X,X,X,X,X,X,X,O,X,X
LZSOJTI,O,O,X,O,X,X,X,X,X,O,X,X
LZSOJIT,O,O,X,O,X,X,X,X,X,O,X,X
LZOTIJS,O,O,X,O,O,O,X,X,O,X,X,X
LZOTISJ,O,O,X,O,O,X,X,X,O,X,X,O
LZOTJIS,O,O,X,O,O,O,X,X,O,X,X,X
LZOTJSI,O,O,X,O,O,O,X,X,O,X,X,X
LZOTSIJ,O,O,X,O,O,X,X,X,O,X,X,O
LZOTSJI,O,O,X,O,O,O,X,X,O,X,X,X
LZOITJS,X,O,X,O,O,O,O,X,O,X,X,X
LZOITSJ,X,O,X,O,O,X,X,X,O,X,X,O
LZOIJTS,X,O,X,O,O,O,O,X,X,X,X,X
LZOIJST,X,O,X,X,O,O,O,X,X,X,X,X
LZOISTJ,X,O,X,O,X,X,X,X,X,O,X,O
LZOISJT,O,O,X,X,O,X,X,X,X,O,X,X
LZOJTIS,X,O,X,O,O,O,X,X,O,X,X,X
LZOJTSI,X,O,X,O,X,O,X,X,O,X,X,X
LZOJITS,X,O,X,O,O,O,O,X,X,X,X,X
LZOJIST,X,O,X,X,O,O,O,X,X,X,X,X
LZOJSTI,X,O,X,O,X,O,X,X,X,X,X,X
LZOJSIT,X,O,X,O,O,O,O,X,X,X,X,X
LZOSTIJ,O,O,X,O,X,X,X,X,X,O,X,X
LZOSTJI,O,O,X,O,X,O,X,X,X,O,X,X
LZOSITJ,X,O,X,O,X,X,X,X,X,O,X,X
LZOSIJT,O,O,X,X,O,X,X,X,X,O,X,X
LZOSJTI,O,O,X,O,X,O,X,X,X,O,X,X
LZOSJIT,O,O,X,O,O,O,X,X,X,O,X,X
LOTIJSZ,X,O,X,O,X,X,O,X,X,X,X,X
LOTIJZS,X,O,X,O,O,X,O,X,O,X,X,X
LOTISJZ,O,O,X,O,X,X,O,X,X,X,X,X
LOTISZJ,O,O,X,O,O,X,X,X,X,O,X,X
LOTIZJS,O,O,X,O,O,X,O,X,O,X,X,X
LOTIZSJ,O,O,X,O,O,X,X,X,O,X,X,X
LOTJISZ,X,O,X,O,X,O,O,X,X,X,X,X
LOTJIZS,X,O,X,O,O,O,O,X,O,X,X,X
LOTJSIZ,O,O,X,O,X,O,O,X,X,X,X,X
LOTJSZI,O,O,X,O,X,O,X,X,O,X,X,X
LOTJZIS,O,O,X,O,O,O,X,X,O,X,X,X
LOTJZSI,O,O,X,O,O,O,X,X,O,X,X,X
LOTSIJZ,O,O,X,O,X,X,X,X,X,X,X,X
LOTSIZJ,O,O,X,O,O,X,X,X,X,O,X,X
LOTSJIZ,O,O,X,O,X,X,X,X,X,X,X,X
