sequence,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFxbBmdBThBK?nBfoBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFmbBRdB3hBa?oBTnBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFxbB/iBajBT?hB2sBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFmbBSiBZjB3?hBTnBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFxbB2iBThB3?iBysBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFxbBidBThBm?nB3nBFrB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFGdBZjBThB/?nBllBirB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhF3cBajBTiBO?rBlqBRxB,v115@8gB8BeA8EeE8EeD8FeE8AeE8Je06IvhFmdBZmBXnBz?sBqrBlqB
LTZSOIJ,O,O,X,X,O,X,O,X,X
LTZSOJI,O,O,X,X,O,X,O,X,X
LTZOIJS,O,O,O,O,O,O,X,X,X
LTZOISJ,O,O,X,O,O,X,O,X,X
LTZOJIS,O,O,O,O,O,O,X,X,X
LTZOJSI,O,O,O,O,O,O,X,X,X
LTZOSIJ,O,O,X,O,O,X,O,X,X
LTZOSJI,O,O,X,O,O,X,O,X,X
LTOIJSZ,O,O,O,O,O,O,X,X,X
LTOIJZS,O,O,O,O,O,O,X,X,X
LTOISJZ,O,O,X,O,O,X,O,X,X
LTOISZJ,O,O,X,O,O,X,O,X,X
LTOIZJS,O,O,O,O,O,O,X,X,X
LTOIZSJ,O,O,X,O,O,X,O,X,X
LTOJISZ,O,O,O,O,O,O,X,X,X
LTOJIZS,O,O,O,O,O,O,X,X,X
LTOJSIZ,O,O,O,O,O,O,X,X,X
LTOJSZI,O,O,O,O,O,O,X,X,X
LTOJZIS,O,O,O,O,O,O,X,X,X
LTOJZSI,O,O,O,O,O,O,X,X,X
LTOSIJZ,O,O,X,O,O,X,O,X,X
LTOSIZJ,O,O,X,O,O,X,O,X,X
LTOSJIZ,O,O,X,O,O,X,O,X,X
LTOSJZI,O,O,X,O,O,X,O,X,X
LTOSZIJ,O,O,X,O,O,X,O,X,X
LTOSZJI,O,O,X,O,O,X,O,X,X
LTOZIJS,O,O,O,O,O,O,X,X,X
LTOZISJ,O,O,X,O,O,X,O,X,X
LTOZJIS,O,O,O,O,O,O,X,X,X
LTOZJSI,O,O,O,O,O,O,X,X,X
LTOZSIJ,O,O,X,O,O,X,O,X,X
LTOZSJI,O,O,X,O,O,X,O,X,X
LITJSZO,O,O,O,X,X,O,X,X,X
LITJSOZ,O,O,O,X,X,X,X,X,X
LITJZSO,O,O,O,X,X,O,X,X,X
LITJZOS,X,O,X,O,O,O,X,X,X
LITJOSZ,X,X,X,O,O,X,X,X,X
LITJOZS,X,O,X,O,O,O,X,X,X
LITSJZO,O,O,X,X,X,X,X,X,X
LITSJOZ,O,O,X,X,X,X,X,X,X
LITSZJO,O,O,X,X,X,X,X,X,X
LITSZOJ,O,O,X,X,O,X,O,X,X
LITSOJZ,O,O,X,X,O,X,O,X,X
LITSOZJ,O,O,X,X,O,X,O,X,X
LITZJSO,O,O,O,X,X,O,X,X,X
LITZJOS,X,O,X,O,O,O,X,X,X
LITZSJO,O,O,X,X,X,X,X,X,X
LITZSOJ,O,O,X,X,O,X,O,X,X
LITZOJS,O,O,O,O,O,O,X,O,X
LITZOSJ,O,X,X,O,O,X,O,X,X
LITOJSZ,O,X,O,O,O,O,X,O,X
LITOJZS,O,O,O,O,O,O,X,O,X
LITOSJZ,O,X,X,O,O,X,O,X,X
LITOSZJ,O,X,X,O,O,X,O,X,X
LITOZJS,O,O,O,O,O,O,X,O,X
LITOZSJ,O,X,X,O,O,X,O,X,X
LIJTSZO,X,O,X,X,X,X,X,X,X
LIJTSOZ,X,O,X,X,X,X,X,X,X
LIJTZSO,X,O,X,X,X,O,X,X,X
LIJTZOS,X,O,X,O,O,O,X,X,X
LIJTOSZ,X,X,X,O,O,X,X,X,X
LIJTOZS,X,O,X,O,O,X,X,X,X
LIJSTZO,O,X,O,X,X,X,X,X,X
LIJSTOZ,X,X,X,X,X,X,X,X,X
LIJSZTO,O,O,O,X,X,O,X,X,X
LIJSZOT,O,O,O,X,X,X,O,O,X
LIJSOTZ,X,X,X,X,X,X,O,O,X
LIJSOZT,O,X,O,X,X,X,O,O,X
LIJZTSO,X,O,X,X,X,O,X,X,X
LIJZTOS,X,O,X,O,O,O,X,X,X
LIJZSTO,O,O,O,X,X,O,X,X,X
LIJZSOT,O,O,O,X,X,X,O,O,X
LIJZOTS,X,O,X,O,X,O,X,O,X
LIJZOST,X,O,X,O,X,X,O,O,X
LIJOTSZ,X,X,X,X,X,X,X,O,X
LIJOTZS,X,O,X,O,X,X,X,O,X
LIJOSTZ,X,X,X,X,X,X,O,O,X
LIJOSZT,X,O,X,O,X,X,O,O,X
LIJOZTS,X,O,X,O,X,O,X,O,X
LIJOZST,X,O,X,O,X,X,O,O,X
LISTJZO,O,X,X,X,X,X,X,X,X
LISTJOZ,O,X,X,X,X,X,X,X,X
LISTZJO,O,X,X,X,X,X,X,X,X
LISTZOJ,O,X,X,X,O,X,O,X,X
LISTOJZ,O,X,X,X,O,X,O,X,X
LISTOZJ,O,X,X,X,O,X,O,X,X
LISJTZO,O,X,X,X,X,X,X,X,X
LISJTOZ,O,X,X,X,X,X,X,X,X
LISJZTO,O,O,X,X,X,X,X,X,X
LISJZOT,O,O,X,X,X,X,O,X,X
LISJOTZ,X,X,X,X,X,X,O,X,X
LISJOZT,O,X,X,X,X,X,O,X,X
LISZTJO,O,X,X,X,X,X,X,X,X
LISZTOJ,O,X,X,X,O,X,O,X,X
LISZJTO,O,O,X,X,X,X,X,X,X
LISZJOT,O,O,X,X,X,X,O,X,X
LISZOTJ,X,X,X,X,X,X,O,X,X
LISZOJT,O,X,X,X,X,X,O,O,X
LISOTJZ,X,X,X,X,X,X,O,X,X
LISOTZJ,X,X,X,X,X,X,O,X,X
LISOJTZ,X,X,X,X,X,X,O,O,X
LISOJZT,O,X,X,X,X,X,O,O,X
LISOZTJ,X,X,X,X,X,X,O,X,X
LISOZJT,O,X,X,X,X,X,O,O,X
LIZTJSO,O,O,O,X,X,O,X,X,X
LIZTJOS,X,O,X,O,O,O,X,X,X
LIZTSJO,O,O,X,X,X,X,X,X,X
LIZTSOJ,O,O,X,X,O,X,O,X,X
LIZTOJS,O,O,O,O,O,O,X,O,X
LIZTOSJ,O,X,X,O,O,X,O,X,X
LIZJTSO,X,O,X,X,X,O,X,X,X
LIZJTOS,X,O,X,O,O,O,X,X,X
LIZJSTO,O,O,O,X,X,O,X,X,X
LIZJSOT,O,O,O,X,X,X,O,O,X
LIZJOTS,X,O,X,O,X,O,X,O,X
LIZJOST,X,O,X,O,X,X,O,O,X
LIZSTJO,O,X,X,X,X,X,X,X,X
LIZSTOJ,O,X,X,X,O,X,O,X,X
LIZSJTO,O,O,X,X,X,X,X,X,X
LIZSJOT,O,O,X,X,X,X,O,X,X
LIZSOTJ,X,X,X,X,X,X,O,X,X
LIZSOJT,O,X,X,X,X,X,O,O,X
LIZOTJS,X,O,X,O,O,X,X,O,X
LIZOTSJ,X,O,X,O,O,X,O,X,X
LIZOJTS,X,O,X,O,X,X,X,O,X
LIZOJST,X,O,X,O,X,X,O,O,X
LIZOSTJ,X,O,X,X,X,X,O,X,O
LIZOSJT,O,O,X,O,X,X,O,O,O
LIOTJSZ,X,O,X,O,O,X,X,O,X
LIOTJZS,X,O,X,O,O,X,X,O,X
LIOTSJZ,X,O,X,O,O,X,O,X,X
LIOTSZJ,X,O,X,O,O,X,O,X,X
LIOTZJS,X,O,X,O,O,X,X,O,X
LIOTZSJ,X,O,X,O,O,X,O,X,X
LIOJTSZ,X,X,X,X,X,X,X,O,X
LIOJTZS,X,O,X,O,X,X,X,O,X
LIOJSTZ,X,X,X,X,X,X,O,O,X
LIOJSZT,X,O,X,O,X,X,O,O,X
LIOJZTS,X,O,X,O,X,X,X,O,X
LIOJZST,X,O,X,O,X,X,O,O,X
LIOSTJZ,X,O,X,X,X,X,O,X,O
LIOSTZJ,X,O,X,X,X,X,O,X,O
LIOSJTZ,X,O,X,X,X,X,O,O,O
LIOSJZT,O,O,X,O,X,X,O,O,O
LIOSZTJ,X,O,X,X,X,X,O,X,O
LIOSZJT,O,O,X,O,X,X,O,O,O
LIOZTJS,X,O,X,O,O,X,X,O,X
LIOZTSJ,X,O,X,O,O,X,O,X,X
LIOZJTS,X,O,X,O,X,X,X,O,X
LIOZJST,X,O,X,O,X,X,O,O,X
LIOZSTJ,X,O,X,X,X,X,O,X,O
LIOZSJT,O,O,X,O,X,X,O,O,O
LJTISZO,O,O,O,X,X,O,X,X,X
LJTISOZ,O,O,O,X,X,X,X,X,X
LJTIZSO,O,O,O,X,X,O,X,X,X
LJTIZOS,X,O,X,O,O,O,X,X,X
LJTIOSZ,X,X,X,O,O,O,X,X,X
LJTIOZS,X,O,X,O,O,O,X,X,X
LJTSIZO,O,O,O,X,X,O,X,X,X
LJTSIOZ,O,O,O,X,X,X,X,X,X
LJTSZIO,O,O,O,X,X,O,X,X,X
LJTSZOI,O,O,O,X,O,O,X,X,X
LJTSOIZ,O,O,O,X,O,O,X,X,X
LJTSOZI,O,O,O,X,O,O,X,X,X
LJTZISO,O,O,O,X,X,O,X,X,X
LJTZIOS,X,O,X,O,O,O,X,X,X
LJTZSIO,O,O,O,X,X,O,X,X,X
LJTZSOI,O,O,O,X,O,O,X,X,X
LJTZOIS,O,O,O,O,O,O,X,X,X
LJTZOSI,O,O,O,O,O,O,X,X,X
LJTOISZ,O,O,O,O,O,O,X,X,X
LJTOIZS,O,O,O,O,O,O,X,X,X
LJTOSIZ,O,O,O,O,O,O,X,X,X
LJTOSZI,O,O,O,O,O,O,X,X,X
LJTOZIS,O,O,O,O,O,O,X,X,X
LJTOZSI,O,O,O,O,O,O,X,X,X
LJITSZO,X,O,X,X,X,O,X,X,X
LJITSOZ,X,O,X,X,X,X,X,X,X
LJITZSO,X,O,X,X,X,O,X,X,X
LJITZOS,X,O,X,O,O,O,X,X,X
LJITOSZ,X,X,X,O,O,O,X,X,X
LJITOZS,X,O,X,O,O,O,X,X,X
LJISTZO,O,X,O,X,X,X,X,X,X
LJISTOZ,X,X,X,X,X,X,X,X,X
LJISZTO,O,O,O,X,X,O,X,X,X
LJISZOT,O,O,O,X,X,X,O,O,X
LJISOTZ,X,X,X,X,X,X,O,O,X
LJISOZT,O,X,O,X,X,X,O,O,X
LJIZTSO,X,O,X,X,X,O,X,X,X
LJIZTOS,X,O,X,O,O,O,X,X,X
LJIZSTO,O,O,O,X,X,O,X,X,X
LJIZSOT,O,O,O,X,X,X,O,O,X
LJIZOTS,X,O,X,O,X,O,X,O,X
LJIZOST,X,O,X,O,X,X,O,O,X
LJIOTSZ,X,X,X,X,X,X,X,O,X
LJIOTZS,X,O,X,O,X,X,X,O,X
LJIOSTZ,X,X,X,X,X,X,O,O,X
LJIOSZT,X,O,X,O,X,X,O,O,X
LJIOZTS,X,O,X,O,X,O,X,O,X
LJIOZST,X,O,X,O,X,X,O,O,X
LJSTIZO,O,O,O,X,X,O,X,X,X
LJSTIOZ,O,O,O,X,X,X,X,X,X
LJSTZIO,O,O,O,X,X,O,X,X,X
LJSTZOI,O,O,O,X,O,O,X,X,X
LJSTOIZ,O,O,O,X,O,O,X,X,X
LJSTOZI,O,O,O,X,O,O,X,X,X
LJSITZO,O,X,O,X,X,X,X,X,X
LJSITOZ,O,X,O,X,X,X,X,X,X
LJSIZTO,O,O,O,X,X,O,X,X,X
LJSIZOT,O,O,O,X,X,X,O,O,X
LJSIOTZ,X,X,X,X,X,X,O,O,X
LJSIOZT,O,X,O,X,X,X,O,O,X
LJSZTIO,O,O,O,X,X,O,X,X,X
LJSZTOI,O,O,O,X,O,O,X,X,X
LJSZITO,O,O,O,X,X,O,X,X,X
LJSZIOT,O,O,O,X,X,X,O,O,X
LJSZOTI,O,X,O,X,X,X,O,X,X
LJSZOIT,O,O,O,X,X,X,O,X,X
LJSOTIZ,O,X,O,X,X,X,O,X,X
LJSOTZI,O,X,O,X,X,X,O,X,X
LJSOITZ,X,X,X,X,X,X,O,X,X
LJSOIZT,O,O,O,X,X,X,O,X,X
LJSOZTI,O,X,O,X,X,X,O,X,X
LJSOZIT,O,O,O,X,X,X,O,X,X
LJZTISO,O,O,O,X,X,O,X,X,X
LJZTIOS,X,O,X,O,O,O,X,X,X
LJZTSIO,O,O,O,X,X,O,X,X,X
LJZTSOI,O,O,O,X,O,O,X,X,X
LJZTOIS,O,O,O,O,O,O,X,X,X
LJZTOSI,O,O,O,O,O,O,X,X,X
LJZITSO,X,O,X,X,X,O,X,X,X
LJZITOS,X,O,X,O,O,O,X,X,X
LJZISTO,O,O,O,X,X,O,X,X,X
LJZISOT,O,O,O,X,X,X,O,O,X
LJZIOTS,X,O,X,O,X,O,X,O,X
LJZIOST,X,O,X,O,X,X,O,O,X
LJZSTIO,O,O,O,X,X,O,X,X,X
LJZSTOI,O,O,O,X,O,O,X,X,X
LJZSITO,O,O,O,X,X,O,X,X,X
LJZSIOT,O,O,O,X,X,X,O,O,X
LJZSOTI,O,X,O,X,X,X,O,X,X
LJZSOIT,O,O,O,X,X,X,O,X,X
LJZOTIS,X,O,X,O,O,O,X,X,X
LJZOTSI,X,O,X,X,O,O,X,X,X
LJZOITS,X,O,X,O,X,O,X,X,X
LJZOIST,X,O,X,O,X,X,O,X,X
LJZOSTI,X,O,X,X,X,X,O,X,X
LJZOSIT,X,O,X,O,X,X,O,X,X
LJOTISZ,X,O,X,X,O,O,X,X,X
LJOTIZS,X,O,X,O,O,O,X,X,X
LJOTSIZ,X,O,X,X,O,O,X,X,X
LJOTSZI,X,O,X,X,O,O,X,X,X
LJOTZIS,X,O,X,O,O,O,X,X,X
LJOTZSI,X,O,X,X,O,O,X,X,X
LJOITSZ,X,X,X,X,X,X,X,X,X
LJOITZS,X,O,X,O,X,X,X,X,X
LJOISTZ,X,X,X,X,X,X,O,X,X
LJOISZT,X,O,X,O,X,X,O,X,X
LJOIZTS,X,O,X,O,X,O,X,X,X
LJOIZST,X,O,X,O,X,X,O,X,X
LJOSTIZ,X,O,X,X,X,X,O,X,X
LJOSTZI,X,O,X,X,X,X,O,X,X
LJOSITZ,X,O,X,X,X,X,O,X,X
LJOSIZT,X,O,X,O,X,X,O,X,X
LJOSZTI,X,O,X,X,X,X,O,X,X
LJOSZIT,X,O,X,O,X,X,O,X,X
LJOZTIS,X,O,X,O,O,O,X,X,X
LJOZTSI,X,O,X,X,O,O,X,X,X
LJOZITS,X,O,X,O,X,O,X,X,X
LJOZIST,X,O,X,O,X,X,O,X,X
LJOZSTI,X,O,X,X,X,X,O,X,X
LJOZSIT,X,O,X,O,X,X,O,X,X
LSTIJZO,O,O,X,X,X,X,X,X,X
LSTIJOZ,O,O,X,X,X,X,X,X,X
LSTIZJO,O,O,X,X,X,X,X,X,X
LSTIZOJ,O,O,X,X,O,X,O,X,X
LSTIOJZ,O,O,X,X,O,X,O,X,X
LSTIOZJ,O,O,X,X,O,X,O,X,X
LSTJIZO,O,O,X,X,X,X,X,X,X
LSTJIOZ,O,O,X,X,X,X,X,X,X
LSTJZIO,O,O,X,X,X,X,X,X,X
LSTJZOI,O,O,X,X,O,X,X,X,X
LSTJOIZ,O,O,X,X,O,X,X,X,X
LSTJOZI,O,O,X,X,O,X,X,X,X
LSTZIJO,O,O,X,X,X,X,X,X,X
LSTZIOJ,O,O,X,X,O,X,O,X,X
LSTZJIO,O,O,X,X,X,X,X,X,X
LSTZJOI,O,O,X,X,O,X,X,X,X
LSTZOIJ,O,O,X,X,O,X,O,X,X
LSTZOJI,O,O,X,X,O,X,O,X,X
LSTOIJZ,O,O,X,X,O,X,O,X,X
LSTOIZJ,O,O,X,X,O,X,O,X,X
LSTOJIZ,O,O,X,X,O,X,O,X,X
LSTOJZI,O,O,X,X,O,X,O,X,X
LSTOZIJ,O,O,X,X,O,X,O,X,X
LSTOZJI,O,O,X,X,O,X,O,X,X
LSITJZO,O,X,X,X,X,X,X,X,X
LSITJOZ,O,X,X,X,X,X,X,X,X
LSITZJO,O,X,X,X,X,X,X,X,X
LSITZOJ,O,X,X,X,O,X,O,X,X
LSITOJZ,O,X,X,X,O,X,O,X,X
LSITOZJ,O,X,X,X,O,X,O,X,X
LSIJTZO,O,X,X,X,X,X,X,X,X
LSIJTOZ,O,X,X,X,X,X,X,X,X
LSIJZTO,O,O,X,X,X,X,X,X,X
LSIJZOT,O,O,X,X,X,X,O,X,X
LSIJOTZ,X,X,X,X,X,X,O,X,X
LSIJOZT,O,X,X,X,X,X,O,X,X
LSIZTJO,O,X,X,X,X,X,X,X,X
LSIZTOJ,O,X,X,X,O,X,O,X,X
LSIZJTO,O,O,X,X,X,X,X,X,X
LSIZJOT,O,O,X,X,X,X,O,X,X
LSIZOTJ,X,X,X,X,X,X,O,X,X
LSIZOJT,O,X,X,X,X,X,O,X,X
LSIOTJZ,X,X,X,X,X,X,O,X,X
LSIOTZJ,X,X,X,X,X,X,O,X,X
LSIOJTZ,X,X,X,X,X,X,O,X,X
LSIOJZT,O,X,X,X,X,X,O,X,X
LSIOZTJ,X,X,X,X,X,X,O,X,X
LSIOZJT,O,X,X,X,X,X,O,X,X
LSJTIZO,O,O,X,X,X,X,X,X,X
LSJTIOZ,O,O,X,X,X,X,X,X,X
LSJTZIO,O,O,X,X,X,X,X,X,X
LSJTZOI,O,O,X,X,O,X,X,X,X
LSJTOIZ,O,O,X,X,O,X,X,X,X
LSJTOZI,O,O,X,X,O,X,X,X,X
LSJITZO,O,X,X,X,X,X,X,X,X
LSJITOZ,O,X,X,X,X,X,X,X,X
LSJIZTO,O,O,X,X,X,X,X,X,X
LSJIZOT,O,O,X,X,X,X,O,X,X
LSJIOTZ,X,X,X,X,X,X,O,X,X
LSJIOZT,O,X,X,X,X,X,O,X,X
LSJZTIO,O,O,X,X,X,X,X,X,X
LSJZTOI,O,O,X,X,O,X,X,X,X
LSJZITO,O,O,X,X,X,X,X,X,X
LSJZIOT,O,O,X,X,X,X,O,X,X
LSJZOTI,O,X,X,X,X,X,O,X,X
LSJZOIT,O,O,X,X,X,X,O,X,X
LSJOTIZ,O,X,X,X,X,X,O,X,X
LSJOTZI,O,X,X,X,X,X,O,X,X
LSJOITZ,X,X,X,X,X,X,O,X,X
LSJOIZT,O,O,X,X,X,X,O,X,X
LSJOZTI,O,X,X,X,X,X,O,X,X
LSJOZIT,O,O,X,X,X,X,O,X,X
LSZTIJO,O,O,X,X,X,X,X,X,X
LSZTIOJ,O,O,X,X,O,X,O,X,X
LSZTJIO,O,O,X,X,X,X,X,X,X
LSZTJOI,O,O,X,X,O,X,X,X,X
LSZTOIJ,O,O,X,X,O,X,O,X,X
LSZTOJI,O,O,X,X,O,X,O,X,X
LSZITJO,O,X,X,X,X,X,X,X,X
LSZITOJ,O,X,X,X,O,X,O,X,X
LSZIJTO,O,O,X,X,X,X,X,X,X
LSZIJOT,O,O,X,X,X,X,O,X,X
LSZIOTJ,X,X,X,X,X,X,O,X,X
LSZIOJT,O,X,X,X,X,X,O,X,X
LSZJTIO,O,O,X,X,X,X,X,X,X
LSZJTOI,O,O,X,X,O,X,X,X,X
LSZJITO,O,O,X,X,X,X,X,X,X
LSZJIOT,O,O,X,X,X,X,O,X,X
LSZJOTI,O,X,X,X,X,X,O,X,X
LSZJOIT,O,O,X,X,X,X,O,X,X
LSZOTIJ,O,O,X,X,X,X,O,X,X
LSZOTJI,O,O,X,X,X,X,O,X,X
LSZOITJ,X,O,X,X,X,X,O,X,X
LSZOIJT,O,O,X,X,X,X,O,X,X
LSZOJTI,O,O,X,X,X,X,O,X,X
LSZOJIT,O,O,X,X,X,X,O,X,X
LSOTIJZ,O,O,X,X,X,X,O,X,X
LSOTIZJ,O,O,X,X,X,X,O,X,X
LSOTJIZ,O,O,X,X,X,X,O,X,X
LSOTJZI,O,O,X,X,X,X,O,X,X
LSOTZIJ,O,O,X,X,X,X,O,X,X
LSOTZJI,O,O,X,X,X,X,O,X,X
LSOITJZ,X,O,X,X,X,X,O,X,X
LSOITZJ,X,O,X,X,X,X,O,X,X
LSOIJTZ,X,O,X,X,X,X,O,X,X
LSOIJZT,O,O,X,X,X,X,O,X,X
LSOIZTJ,X,O,X,X,X,X,O,X,X
LSOIZJT,O,O,X,X,X,X,O,X,X
LSOJTIZ,O,O,X,X,X,X,O,X,X
LSOJTZI,O,O,X,X,X,X,O,X,X
LSOJITZ,X,O,X,X,X,X,O,X,X
LSOJIZT,O,O,X,X,X,X,O,X,X
LSOJZTI,O,O,X,X,X,X,O,X,X
LSOJZIT,O,O,X,X,X,X,O,X,X
LSOZTIJ,O,O,X,X,X,X,O,X,X
LSOZTJI,O,O,X,X,X,X,O,X,X
LSOZITJ,X,O,X,X,X,X,O,X,X
LSOZIJT,O,O,X,X,X,X,O,X,X
LSOZJTI,O,O,X,X,X,X,O,X,X
LSOZJIT,O,O,X,X,X,X,O,X,X
LZTIJSO,O,O,O,X,X,O,X,X,X
LZTIJOS,X,O,X,O,O,O,X,X,X
LZTISJO,O,O,X,X,X,X,X,X,X
LZTISOJ,O,O,X,X,O,X,O,X,X
LZTIOJS,O,O,O,O,O,O,X,X,X
LZTIOSJ,O,X,X,O,O,X,O,X,X
LZTJISO,O,O,O,X,X,O,X,X,X
LZTJIOS,X,O,X,O,O,O,X,X,X
LZTJSIO,O,O,O,X,X,O,X,X,X
LZTJSOI,O,O,O,X,O,O,X,X,X
LZTJOIS,O,O,O,O,O,O,X,X,X
LZTJOSI,O,O,O,O,O,O,X,X,X
LZTSIJO,O,O,X,X,X,X,X,X,X
LZTSIOJ,O,O,X,X,O,X,O,X,X
LZTSJIO,O,O,X,X,X,X,X,X,X
LZTSJOI,O,O,X,X,O,X,X,X,X
LZTSOIJ,O,O,X,X,O,X,O,X,X
LZTSOJI,O,O,X,X,O,X,O,X,X
LZTOIJS,O,O,O,O,O,O,X,X,X
LZTOISJ,O,O,X,O,O,X,O,X,X
LZTOJIS,O,O,O,O,O,O,X,X,X
LZTOJSI,O,O,O,O,O,O,X,X,X
LZTOSIJ,O,O,X,O,O,X,O,X,X
LZTOSJI,O,O,X,O,O,X,O,X,X
LZITJSO,O,O,O,X,X,O,X,X,X
LZITJOS,X,O,X,O,O,O,X,X,X
LZITSJO,O,O,X,X,X,X,X,X,X
LZITSOJ,O,O,X,X,O,X,O,X,X
LZITOJS,O,O,O,O,O,O,X,O,X
LZITOSJ,O,X,X,O,O,X,O,X,X
LZIJTSO,X,O,X,X,X,O,X,X,X
LZIJTOS,X,O,X,O,O,O,X,X,X
LZIJSTO,O,O,O,X,X,O,X,X,X
LZIJSOT,O,O,O,X,X,X,O,O,X
LZIJOTS,X,O,X,O,X,O,X,O,X
LZIJOST,X,O,X,O,X,X,O,O,X
LZISTJO,O,X,X,X,X,X,X,X,X
LZISTOJ,O,X,X,X,O,X,O,X,X
LZISJTO,O,O,X,X,X,X,X,X,X
LZISJOT,O,O,X,X,X,X,O,X,X
LZISOTJ,X,X,X,X,X,X,O,X,X
LZISOJT,O,X,X,X,X,X,O,O,X
LZIOTJS,X,O,X,O,O,X,X,O,X
LZIOTSJ,X,O,X,O,O,X,O,X,X
LZIOJTS,X,O,X,O,X,X,X,O,X
LZIOJST,X,O,X,O,X,X,O,O,X
LZIOSTJ,X,O,X,X,X,X,O,X,O
LZIOSJT,O,O,X,O,X,X,O,O,O
LZJTISO,O,O,O,X,X,O,X,X,X
LZJTIOS,X,O,X,O,O,O,X,X,X
LZJTSIO,O,O,O,X,X,O,X,X,X
LZJTSOI,O,O,O,X,O,O,X,X,X
LZJTOIS,O,O,O,O,O,O,X,X,X
LZJTOSI,O,O,O,O,O,O,X,X,X
LZJITSO,X,O,X,X,X,O,X,X,X
LZJITOS,X,O,X,O,O,O,X,X,X
LZJISTO,O,O,O,X,X,O,X,X,X
LZJISOT,O,O,O,X,X,X,O,O,X
LZJIOTS,X,O,X,O,X,O,X,O,X
LZJIOST,X,O,X,O,X,X,O,O,X
LZJSTIO,O,O,O,X,X,O,X,X,X
LZJSTOI,O,O,O,X,O,O,X,X,X
LZJSITO,O,O,O,X,X,O,X,X,X
LZJSIOT,O,O,O,X,X,X,O,O,X
LZJSOTI,O,X,O,X,X,X,O,X,X
LZJSOIT,O,O,O,X,X,X,O,X,X
LZJOTIS,X,O,X,O,O,O,X,X,X
LZJOTSI,X,O,X,X,O,O,X,X,X
LZJOITS,X,O,X,O,X,O,X,X,X
LZJOIST,X,O,X,O,X,X,O,X,X
LZJOSTI,X,O,X,X,X,X,O,X,X
LZJOSIT,X,O,X,O,X,X,O,X,X
LZSTIJO,O,O,X,X,X,X,X,X,X
LZSTIOJ,O,O,X,X,O,X,O,X,X
LZSTJIO,O,O,X,X,X,X,X,X,X
LZSTJOI,O,O,X,X,O,X,X,X,X
LZSTOIJ,O,O,X,X,O,X,O,X,X
LZSTOJI,O,O,X,X,O,X,O,X,X
LZSITJO,O,X,X,X,X,X,X,X,X
LZSITOJ,O,X,X,X,O,X,O,X,X
LZSIJTO,O,O,X,X,X,X,X,X,X
LZSIJOT,O,O,X,X,X,X,O,X,X
LZSIOTJ,X,X,X,X,X,X,O,X,X
LZSIOJT,O,X,X,X,X,X,O,X,X
LZSJTIO,O,O,X,X,X,X,X,X,X
LZSJTOI,O,O,X,X,O,X,X,X,X
LZSJITO,O,O,X,X,X,X,X,X,X
LZSJIOT,O,O,X,X,X,X,O,X,X
LZSJOTI,O,X,X,X,X,X,O,X,X
LZSJOIT,O,O,X,X,X,X,O,X,X
LZSOTIJ,O,O,X,X,X,X,O,X,X
LZSOTJI,O,O,X,X,X,X,O,X,X
LZSOITJ,X,O,X,X,X,X,O,X,X
LZSOIJT,O,O,X,X,X,X,O,X,X
LZSOJTI,O,O,X,X,X,X,O,X,X
LZSOJIT,O,O,X,X,X,X,O,X,X
LZOTIJS,O,O,X,O,O,X,X,X,X
LZOTISJ,O,O,X,O,O,X,O,X,X
LZOTJIS,O,O,X,O,O,X,X,X,X
LZOTJSI,O,O,X,O,O,X,X,X,X
LZOTSIJ,O,O,X,O,O,X,O,X,X
LZOTSJI,O,O,X,O,O,X,O,X,X
LZOITJS,X,O,X,O,O,X,X,X,X
LZOITSJ,X,O,X,O,O,X,O,X,X
LZOIJTS,X,O,X,O,X,X,X,X,X
LZOIJST,X,O,X,O,X,X,O,X,X
LZOISTJ,X,O,X,X,X,X,O,X,O
LZOISJT,O,O,X,O,X,X,O,X,O
LZOJTIS,X,O,X,O,O,X,X,X,X
LZOJTSI,X,O,X,X,O,X,X,X,X
LZOJITS,X,O,X,O,X,X,X,X,X
LZOJIST,X,O,X,O,X,X,O,X,X
LZOJSTI,X,O,X,X,X,X,O,X,X
LZOJSIT,X,O,X,O,X,X,O,X,O
LZOSTIJ,O,O,X,X,X,X,O,X,X
LZOSTJI,O,O,X,X,X,X,O,X,X
LZOSITJ,X,O,X,X,X,X,O,X,O
LZOSIJT,O,O,X,O,X,X,O,X,O
LZOSJTI,O,O,X,X,X,X,O,X,X
LZOSJIT,O,O,X,O,X,X,O,X,O
LOTIJSZ,O,O,X,O,O,X,X,X,X
LOTIJZS,O,O,X,O,O,X,X,X,X
LOTISJZ,O,O,X,O,O,X,O,X,X
LOTISZJ,O,O,X,O,O,X,O,X,X
LOTIZJS,O,O,X,O,O,X,X,X,X
LOTIZSJ,O,O,X,O,O,X,O,X,X
LOTJISZ,O,O,X,O,O,X,X,X,X
