sequence,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXdBmgBzkBq?qBFnB0rB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex8IvhFlgB3hBzkBO?sB0lBSwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeT7IvhFxcBClB/rBF?nB0qBmrB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXdBigBWqBF?nB0rBzqB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jei7IvhFFdBulBcmBz?kBXnBRwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeT7IvhFxcBlhBClB/?rBOsB0qB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeeAJvhFzbBFdBcmBS?qBXnBRwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXdB0gBzkBF?nBCrB2wB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Je08IvhFlgBzkBxmB6?qBXnB2wB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeF9IvhF8kB5lBThBX?nBilB2wB,v115@zgB8FeD8EeD8GeC8FeF8DeC8JeT7IvhFXdBClBFnBx?qBerB0rB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Je2AJvhFXdBzkBUmBF?nBCmBRwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jei7IvhF5lBzkB/rBF?nBcrBOsB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex8IvhF6lBzkB/rBF?nBmrB0qB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Je6AJvhFTcB8kBxmBl?qB3rBOsB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Je8EJvhFXhBFnBxqB6?qBOsBTrB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex8IvhFClB/rBFnBT?lBmrB0qB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhF0gBzkBFnBX?mBSwBOsB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhF8kB3lBFnBT?rBOsBCrB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXhBVnBzkB0?lBOsBSwB,v115@zgB8FeD8EeD8GeC8FeF8DeC8Jex7IvhFXdB6lBzkBF?nB0rBerB
ZLSOJIT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTIJS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ZLOTISJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
ZLOTJIS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZLOTJSI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLOTSIJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
ZLOTSJI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
ZLOITJS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ZLOITSJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
ZLOIJTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOIJST,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOISTJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOISJT,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOJTIS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZLOJTSI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLOJITS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOJIST,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOJSTI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOJSIT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSTIJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLOSTJI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLOSITJ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSIJT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSJTI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSJIT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTILSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJTILOS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTISLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZJTISOL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZJTIOLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTIOSL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTLISO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJTLIOS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTLSIO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJTLSOI,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTLOIS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTLOSI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTSILO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ZJTSIOL,O,X,X,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZJTSLIO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJTSLOI,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTSOIL,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZJTSOLI,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZJTOILS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTOISL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTOLIS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJTOLSI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJTOSIL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTOSLI,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJITLSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJITLOS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJITSLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZJITSOL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZJITOLS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJITOSL,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJILTSO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJILTOS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJILSTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJILSOT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJILOTS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJILOST,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJISTLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJISTOL,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJISLTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJISLOT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJISOTL,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJISOLT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJIOTLS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOTSL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOLTS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOLST,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOSTL,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJIOSLT,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLTISO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJLTIOS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLTSIO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJLTSOI,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLTOIS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLTOSI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLITSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJLITOS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLISTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLISOT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLIOTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLIOST,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSTIO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSTOI,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLSITO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSIOT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLSOTI,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLSOIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLOTIS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLOTSI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLOITS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLOIST,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLOSTI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLOSIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTILO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJSTIOL,O,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZJSTLIO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJSTLOI,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSTOIL,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZJSTOLI,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZJSITLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSITOL,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSILTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSILOT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSIOTL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSIOLT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSLTIO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLTOI,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSLITO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLIOT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSLOTI,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSLOIT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSOTIL,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZJSOTLI,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZJSOITL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSOILT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSOLTI,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSOLIT,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOTILS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOTISL,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOTLIS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZJOTLSI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJOTSIL,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJOTSLI,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOITLS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOITSL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOILTS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOILST,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOISTL,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJOISLT,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOLTIS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJOLTSI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJOLITS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOLIST,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOLSTI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOLSIT,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOSTIL,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOSTLI,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOSITL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOSILT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOSLTI,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOSLIT,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSTILJO,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ZSTILOJ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ZSTIJLO,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ZSTIJOL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZSTIOLJ,O,X,O,X,O,O,O,O,X,O,X,O,X,X,O,O,X,X,O,X,X
ZSTIOJL,O,X,X,O,O,X,X,O,X,O,X,O,X,X,O,O,X,X,O,X,X
ZSTLIJO,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ZSTLIOJ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ZSTLJIO,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSTLJOI,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSTLOIJ,O,X,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X
ZSTLOJI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZSTJILO,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ZSTJIOL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZSTJLIO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSTJLOI,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSTJOIL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZSTJOLI,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZSTOILJ,O,X,O,X,O,O,O,O,X,O,X,O,O,X,O,O,X,X,O,X,X
ZSTOIJL,O,X,X,O,O,X,X,O,X,O,X,O,O,X,O,O,X,X,O,X,X
ZSTOLIJ,O,X,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X
ZSTOLJI,O,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,O
ZSTOJIL,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X
ZSTOJLI,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
ZSITLJO,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ZSITLOJ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ZSITJLO,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ZSITJOL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZSITOLJ,O,X,O,X,O,O,O,O,X,O,X,O,X,X,O,O,X,X,O,X,X
ZSITOJL,O,X,X,O,O,X,X,O,X,O,X,O,X,X,O,O,X,X,O,X,X
ZSILTJO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSILTOJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSILJTO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILJOT,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSILOTJ,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSILOJT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJTLO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJTOL,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSIJLTO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJLOT,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSIJOTL,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSIJOLT,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSIOTLJ,O,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
ZSIOTJL,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X
ZSIOLTJ,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSIOLJT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOJTL,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSIOJLT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSLTIJO,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSLTIOJ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSLTJIO,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSLTJOI,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSLTOIJ,O,X,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X
ZSLTOJI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZSLITJO,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSLITOJ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSLIJTO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLIJOT,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSLIOTJ,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSLIOJT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLJTIO,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLJTOI,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSLJITO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLJIOT,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSLJOTI,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSLJOIT,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSLOTIJ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZSLOTJI,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSLOITJ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSLOIJT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOJTI,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOJIT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTILO,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSJTIOL,O,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZSJTLIO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSJTLOI,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSJTOIL,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZSJTOLI,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZSJITLO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJITOL,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSJILTO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJILOT,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSJIOTL,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSJIOLT,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSJLTIO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJLTOI,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSJLITO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJLIOT,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSJLOTI,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSJLOIT,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSJOTIL,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZSJOTLI,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZSJOITL,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSJOILT,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSJOLTI,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSJOLIT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSOTILJ,O,X,O,X,O,O,O,O,X,O,X,O,O,X,O,X,X,X,O,X,X
ZSOTIJL,O,X,X,X,O,X,X,O,X,O,X,O,O,X,O,X,X,X,O,X,X
ZSOTLIJ,O,X,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X
ZSOTLJI,O,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,O
ZSOTJIL,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X
ZSOTJLI,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
ZSOITLJ,O,X,X,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X
ZSOITJL,O,X,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,O,X,X
ZSOILTJ,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSOILJT,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSOIJTL,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSOIJLT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
