sequence,v115@AhB8IeC8AeB8CeH8BeG8Jex6IvhF0cB6iBTeB/pBFl?BmpB,v115@AhB8IeC8AeB8CeH8BeG8Je06IvhFxcBTeBKkBGiBFl?BXqB,v115@AhB8IeC8AeB8CeH8BeG8JeT6IvhF0cBxdBCjB/pBFl?BOqB,v115@AhB8IeC8AeB8CeH8BeG8JeX7IvhFxcBTeBKkBGiBFl?B0pB,v115@AhB8IeC8AeB8CeH8BeG8Jex6IvhF0cB6iBTeBlfB2p?BXqB,v115@AhB8IeC8AeB8CeH8BeG8JeZ/IvhF0cB6iBTeBXlBup?BFqB,v115@AhB8IeC8AeB8CeH8BeG8JeT6IvhF0cBxdBVlBCjB2p?BXqB,v115@AhB8IeC8AeB8CeH8BeG8JeF7IvhF0cB6iBTeBxkBmp?B/pB,v115@AhB8IeC8AeB8CeH8BeG8Je06IvhFlcBxiBmpB/pBTq?BCtB,v115@AhB8IeC8AeB8CeH8BeG8Je1/IvhF0cB6iBTeBxkB2p?BXqB
IOZTLJS,X,X,X,X,O,X,X,O,X,O
IOZTLSJ,O,X,X,X,X,O,X,X,X,O
IOZTJLS,X,X,X,X,X,X,X,X,X,O
IOZTJSL,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,X,X,X,X,X,O,X,X,X,O
IOZTSJL,X,X,X,X,X,O,X,X,X,X
IOZLTJS,X,X,X,X,O,X,X,O,X,O
IOZLTSJ,O,X,X,X,X,O,X,X,X,O
IOZLJTS,X,X,X,X,O,X,X,O,X,X
IOZLJST,O,X,X,X,O,O,X,O,X,X
IOZLSTJ,O,X,X,X,X,O,X,X,X,X
IOZLSJT,O,X,X,X,O,O,X,O,X,X
IOZJTLS,X,X,X,X,O,X,X,O,X,O
IOZJTSL,X,X,X,X,O,X,X,X,X,X
IOZJLTS,X,X,X,X,O,X,X,O,X,X
IOZJLST,O,X,X,X,O,O,X,O,X,X
IOZJSTL,X,X,X,X,O,O,X,X,X,X
IOZJSLT,X,X,X,X,O,O,X,O,X,X
IOZSTLJ,O,X,X,X,X,O,X,X,X,O
IOZSTJL,O,X,X,X,X,O,X,X,X,X
IOZSLTJ,O,X,X,X,X,O,X,X,X,X
IOZSLJT,O,X,X,X,O,O,X,O,X,X
IOZSJTL,X,X,X,X,X,O,X,X,X,X
IOZSJLT,O,X,X,X,X,O,X,X,X,X
LTIJSZO,X,O,X,O,X,X,O,O,O,X
LTIJSOZ,X,O,X,O,X,X,O,O,X,X
LTIJZSO,X,O,X,O,X,X,O,O,X,X
LTIJZOS,X,O,X,O,X,X,O,O,X,X
LTIJOSZ,X,O,X,O,X,X,O,O,X,X
LTIJOZS,X,O,X,O,X,X,O,O,X,X
LTISJZO,X,X,O,O,X,O,O,X,X,X
LTISJOZ,X,X,O,O,X,O,O,X,X,X
LTISZJO,X,X,O,X,X,O,O,X,X,X
LTISZOJ,X,X,O,X,X,O,X,X,X,X
LTISOJZ,X,X,O,O,X,O,X,X,X,X
LTISOZJ,X,X,O,X,X,O,X,X,X,X
LTIZJSO,X,O,X,X,X,X,O,O,X,X
LTIZJOS,X,O,X,X,X,X,O,O,X,X
LTIZSJO,X,X,O,X,X,O,O,X,X,X
LTIZSOJ,X,X,O,X,X,O,X,X,X,X
LTIZOJS,X,O,X,X,O,X,O,O,X,X
LTIZOSJ,O,X,X,X,X,O,X,X,X,X
LTIOJSZ,X,O,X,O,X,X,O,O,X,X
LTIOJZS,X,O,X,O,X,X,O,O,X,X
LTIOSJZ,X,X,X,O,X,O,X,X,X,X
LTIOSZJ,X,X,X,X,X,O,X,X,X,X
LTIOZJS,X,O,X,X,O,X,O,O,X,X
LTIOZSJ,O,X,X,X,X,O,X,X,X,X
LTJISZO,X,O,X,O,O,X,O,O,O,X
LTJISOZ,X,O,X,O,O,X,O,O,X,X
LTJIZSO,X,O,X,O,O,X,O,O,X,X
LTJIZOS,X,O,X,O,O,X,O,O,X,X
LTJIOSZ,X,O,X,O,O,X,O,O,X,X
LTJIOZS,X,O,X,O,O,X,O,O,X,X
LTJSIZO,X,O,X,O,O,X,O,X,O,X
LTJSIOZ,X,O,X,O,O,X,O,X,X,X
LTJSZIO,X,O,X,O,O,X,O,X,O,X
LTJSZOI,X,O,X,O,O,X,O,X,X,X
LTJSOIZ,X,O,X,O,O,X,O,X,X,X
LTJSOZI,X,O,X,O,O,X,O,X,X,X
LTJZISO,X,O,X,O,O,X,O,O,X,X
LTJZIOS,X,O,X,O,O,X,O,O,X,X
LTJZSIO,X,O,X,O,O,X,O,X,X,X
LTJZSOI,X,O,X,O,O,X,O,X,X,X
LTJZOIS,X,O,X,O,O,X,O,O,X,X
LTJZOSI,X,O,X,O,O,X,O,X,X,X
LTJOISZ,X,O,X,O,O,X,O,O,X,X
LTJOIZS,X,O,X,O,O,X,O,O,X,X
LTJOSIZ,X,O,X,O,O,X,O,X,X,X
LTJOSZI,X,O,X,O,O,X,O,X,X,X
LTJOZIS,X,O,X,O,O,X,O,O,X,X
LTJOZSI,X,O,X,O,O,X,O,X,X,X
LTSIJZO,O,X,O,O,X,O,O,X,X,X
LTSIJOZ,O,X,O,O,X,O,O,X,X,X
LTSIZJO,O,X,O,X,X,O,O,X,X,X
LTSIZOJ,O,X,O,X,X,O,X,X,X,X
LTSIOJZ,O,X,O,O,X,O,X,X,X,X
LTSIOZJ,O,X,O,X,X,O,X,X,X,X
LTSJIZO,O,O,O,O,X,X,O,X,X,X
LTSJIOZ,O,O,O,O,X,X,O,X,X,X
LTSJZIO,O,O,O,O,X,X,O,X,X,X
LTSJZOI,O,O,O,O,X,X,O,X,X,X
LTSJOIZ,O,O,O,O,X,X,O,X,X,X
LTSJOZI,O,O,O,O,X,X,O,X,X,X
LTSZIJO,O,X,O,X,X,O,O,X,X,X
LTSZIOJ,O,X,O,X,X,O,X,X,X,X
LTSZJIO,O,O,O,O,X,X,O,X,X,X
LTSZJOI,O,O,O,O,X,X,O,X,X,X
LTSZOIJ,O,X,O,X,X,O,X,X,X,X
LTSZOJI,O,O,O,O,X,X,X,X,X,X
LTSOIJZ,O,X,O,O,X,O,X,X,X,X
LTSOIZJ,O,X,O,X,X,O,X,X,X,X
LTSOJIZ,O,O,O,O,X,X,X,X,X,X
LTSOJZI,O,O,O,O,X,X,X,X,X,X
LTSOZIJ,O,X,O,X,X,O,X,X,X,X
LTSOZJI,O,O,O,O,X,X,X,X,X,X
LTZIJSO,X,O,X,X,X,X,O,O,X,X
LTZIJOS,X,O,X,X,X,X,O,O,X,X
LTZISJO,X,X,O,X,X,O,O,X,X,X
LTZISOJ,X,X,O,X,X,O,X,X,X,X
LTZIOJS,X,O,X,X,O,X,O,O,X,X
LTZIOSJ,O,X,X,X,X,O,X,X,X,X
LTZJISO,X,O,X,O,O,X,O,O,X,X
LTZJIOS,X,O,X,O,O,X,O,O,X,X
LTZJSIO,X,O,X,O,O,X,O,X,X,X
LTZJSOI,X,O,X,O,O,X,O,X,X,X
LTZJOIS,X,O,X,O,O,X,O,O,X,X
LTZJOSI,X,O,X,O,O,X,O,X,X,X
LTZSIJO,O,X,O,X,X,O,O,X,X,X
LTZSIOJ,O,X,O,X,X,O,X,X,X,X
LTZSJIO,O,O,O,O,X,X,O,X,X,X
LTZSJOI,O,O,O,O,X,X,O,X,X,X
LTZSOIJ,O,X,O,X,X,O,X,X,X,X
LTZSOJI,O,O,O,O,X,X,X,X,X,X
LTZOIJS,X,O,X,X,O,X,O,O,X,X
LTZOISJ,O,X,X,X,X,O,X,X,X,X
LTZOJIS,X,O,X,O,O,X,O,O,X,X
LTZOJSI,X,O,X,O,O,X,O,X,X,X
LTZOSIJ,O,X,X,X,X,O,X,X,X,X
LTZOSJI,O,O,X,O,X,X,X,X,X,X
LTOIJSZ,X,O,X,O,X,X,O,O,X,X
LTOIJZS,X,O,X,O,X,X,O,O,X,X
LTOISJZ,X,X,X,O,X,O,X,X,X,X
LTOISZJ,X,X,X,X,X,O,X,X,X,X
LTOIZJS,X,O,X,X,O,X,O,O,X,X
LTOIZSJ,O,X,X,X,X,O,X,X,X,X
LTOJISZ,X,O,X,O,O,X,O,O,X,X
LTOJIZS,X,O,X,O,O,X,O,O,X,X
LTOJSIZ,X,O,X,O,O,X,O,X,X,X
LTOJSZI,X,O,X,O,O,X,O,X,X,X
LTOJZIS,X,O,X,O,O,X,O,O,X,X
LTOJZSI,X,O,X,O,O,X,O,X,X,X
LTOSIJZ,O,X,X,O,X,O,X,X,X,X
LTOSIZJ,O,X,X,X,X,O,X,X,X,X
LTOSJIZ,O,O,X,O,X,X,X,X,X,X
LTOSJZI,O,O,X,O,X,X,X,X,X,X
LTOSZIJ,O,X,X,X,X,O,X,X,X,X
LTOSZJI,O,O,X,O,X,X,X,X,X,X
LTOZIJS,X,O,X,X,O,X,O,O,X,X
LTOZISJ,O,X,X,X,X,O,X,X,X,X
LTOZJIS,X,O,X,O,O,X,O,O,X,X
LTOZJSI,X,O,X,O,O,X,O,X,X,X
LTOZSIJ,O,X,X,X,X,O,X,X,X,X
LTOZSJI,O,O,X,O,X,X,X,X,X,X
LITJSZO,X,O,X,O,X,X,O,O,O,X
LITJSOZ,X,O,X,O,X,X,O,O,X,X
LITJZSO,X,O,X,O,X,X,O,O,X,X
LITJZOS,X,O,X,O,X,X,O,O,X,O
LITJOSZ,X,O,X,O,X,X,O,O,X,X
LITJOZS,X,O,X,O,X,X,O,O,X,O
LITSJZO,X,X,O,O,X,O,O,X,X,X
LITSJOZ,X,X,O,O,X,O,O,X,X,X
LITSZJO,X,X,O,X,X,O,O,X,X,X
LITSZOJ,X,X,O,X,X,O,X,X,X,O
LITSOJZ,X,X,O,O,X,O,X,X,X,X
LITSOZJ,X,X,O,X,X,O,X,X,X,O
LITZJSO,X,O,X,X,X,X,O,O,X,X
LITZJOS,X,O,X,X,X,X,O,O,X,O
LITZSJO,X,X,O,X,X,O,O,X,X,X
LITZSOJ,X,X,O,X,X,O,X,X,X,O
LITZOJS,X,O,X,X,O,X,O,O,X,O
LITZOSJ,O,X,X,X,X,O,X,X,X,O
LITOJSZ,X,O,X,O,X,X,O,O,X,X
LITOJZS,X,O,X,O,X,X,O,O,X,O
LITOSJZ,X,X,X,O,X,O,X,X,X,X
LITOSZJ,X,X,X,X,X,O,X,X,X,O
LITOZJS,X,O,X,X,O,X,O,O,X,O
LITOZSJ,O,X,X,X,X,O,X,X,X,O
LIJTSZO,X,O,X,O,O,X,O,O,O,X
LIJTSOZ,X,O,X,O,O,X,O,O,X,X
LIJTZSO,X,O,X,O,O,X,O,O,X,X
LIJTZOS,X,O,X,O,O,X,O,O,X,X
LIJTOSZ,X,O,X,O,O,X,O,O,X,X
LIJTOZS,X,O,X,O,O,X,O,O,X,X
LIJSTZO,X,O,O,O,O,O,O,O,O,X
LIJSTOZ,X,O,O,O,O,O,O,O,X,X
LIJSZTO,X,X,O,X,O,O,O,O,O,X
LIJSZOT,X,O,X,X,O,O,X,O,X,X
LIJSOTZ,X,O,X,O,O,O,X,O,X,X
LIJSOZT,X,O,X,X,O,O,X,O,X,X
LIJZTSO,X,O,X,O,O,X,O,O,X,X
LIJZTOS,X,O,X,O,O,X,O,O,X,X
LIJZSTO,X,X,O,X,O,O,O,O,X,X
LIJZSOT,X,O,X,X,O,O,X,O,X,X
LIJZOTS,X,O,X,O,O,X,O,O,X,X
LIJZOST,O,O,X,X,O,O,X,O,X,X
LIJOTSZ,X,O,X,O,O,X,O,O,X,X
LIJOTZS,X,O,X,O,O,X,O,O,X,X
LIJOSTZ,X,O,X,O,O,O,X,O,X,X
LIJOSZT,X,O,X,X,O,O,X,O,X,X
LIJOZTS,X,O,X,O,O,X,O,O,X,X
LIJOZST,O,O,X,X,O,O,X,O,X,X
LISTJZO,O,X,O,X,X,O,O,X,X,X
LISTJOZ,O,X,O,X,X,O,O,X,X,X
LISTZJO,O,X,O,X,X,O,O,X,X,X
LISTZOJ,O,X,O,X,X,O,X,X,X,X
LISTOJZ,O,X,O,X,X,O,X,X,X,X
LISTOZJ,O,X,O,X,X,O,X,X,X,X
LISJTZO,X,X,O,X,X,O,O,O,X,X
LISJTOZ,X,X,O,X,X,O,O,O,X,X
LISJZTO,X,X,O,X,X,O,O,O,X,X
LISJZOT,O,X,X,X,X,O,X,O,X,X
LISJOTZ,X,X,X,X,X,O,X,O,X,X
LISJOZT,O,X,X,X,X,O,X,O,X,X
LISZTJO,O,X,O,X,X,O,O,X,X,X
LISZTOJ,O,X,O,X,X,O,X,X,X,X
LISZJTO,X,X,O,X,X,O,O,O,X,X
LISZJOT,O,X,X,X,X,O,X,O,X,X
LISZOTJ,O,X,O,X,X,O,X,X,X,X
LISZOJT,O,X,X,X,O,O,X,O,X,X
LISOTJZ,O,X,O,X,X,O,X,X,X,X
LISOTZJ,O,X,O,X,X,O,X,X,X,X
LISOJTZ,X,X,X,X,X,O,X,O,X,X
LISOJZT,O,X,X,X,X,O,X,O,X,X
LISOZTJ,O,X,O,X,X,O,X,X,X,X
LISOZJT,O,X,X,X,O,O,X,O,X,X
LIZTJSO,X,X,X,X,X,X,O,O,X,X
LIZTJOS,X,X,X,X,X,X,O,O,X,O
LIZTSJO,X,X,O,X,X,O,O,X,X,X
LIZTSOJ,X,X,O,X,X,O,X,X,X,O
LIZTOJS,X,X,X,X,O,X,O,O,X,O
LIZTOSJ,O,X,X,X,X,O,X,X,X,O
LIZJTSO,X,X,X,X,O,X,O,O,X,X
LIZJTOS,X,O,X,X,O,X,O,O,X,X
LIZJSTO,X,X,O,X,O,O,O,O,X,X
LIZJSOT,X,O,X,X,O,O,X,O,X,X
LIZJOTS,X,O,X,X,O,X,O,O,X,X
LIZJOST,O,O,X,X,O,O,X,O,X,X
LIZSTJO,O,X,O,X,X,O,O,X,X,X
LIZSTOJ,O,X,O,X,X,O,X,X,X,X
LIZSJTO,X,X,O,X,X,O,O,O,X,X
LIZSJOT,O,X,X,X,X,O,X,O,X,X
LIZSOTJ,O,X,O,X,X,O,X,X,X,X
LIZSOJT,O,X,X,X,O,O,X,O,X,X
LIZOTJS,X,X,X,X,O,X,O,O,X,O
LIZOTSJ,O,X,X,X,X,O,X,X,X,O
LIZOJTS,X,O,X,X,O,X,O,O,X,X
LIZOJST,O,O,X,X,O,O,X,O,X,X
LIZOSTJ,O,X,O,X,X,O,X,X,X,X
LIZOSJT,O,X,X,X,O,O,X,O,X,X
LIOTJSZ,X,O,X,O,X,X,O,O,X,X
LIOTJZS,X,O,X,O,X,X,O,O,X,O
LIOTSJZ,X,X,X,O,X,O,X,X,X,X
LIOTSZJ,X,X,X,X,X,O,X,X,X,O
LIOTZJS,X,O,X,X,O,X,O,O,X,O
LIOTZSJ,O,X,X,X,X,O,X,X,X,O
LIOJTSZ,X,O,X,O,O,X,O,O,X,X
LIOJTZS,X,O,X,O,O,X,O,O,X,X
LIOJSTZ,X,O,X,O,O,O,X,O,X,X
LIOJSZT,X,O,X,X,O,O,X,O,X,X
LIOJZTS,X,O,X,O,O,X,O,O,X,X
LIOJZST,O,O,X,X,O,O,X,O,X,X
LIOSTJZ,O,X,O,X,X,O,X,X,X,X
LIOSTZJ,O,X,O,X,X,O,X,X,X,X
LIOSJTZ,X,X,X,X,X,O,X,O,X,X
LIOSJZT,O,X,X,X,X,O,X,O,X,X
LIOSZTJ,O,X,O,X,X,O,X,X,X,X
LIOSZJT,O,X,X,X,O,O,X,O,X,X
LIOZTJS,X,X,X,X,O,X,O,O,X,O
LIOZTSJ,O,X,X,X,X,O,X,X,X,O
LIOZJTS,X,O,X,X,O,X,O,O,X,X
LIOZJST,O,O,X,X,O,O,X,O,X,X
LIOZSTJ,O,X,O,X,X,O,X,X,X,X
LIOZSJT,O,X,X,X,O,O,X,O,X,X
LJTISZO,X,O,X,O,O,X,O,O,O,X
LJTISOZ,X,O,X,O,O,X,O,O,X,X
LJTIZSO,X,O,X,O,O,X,O,O,X,X
LJTIZOS,X,O,X,O,O,X,O,O,X,X
LJTIOSZ,X,O,X,O,O,X,O,O,X,X
LJTIOZS,X,O,X,O,O,X,O,O,X,X
LJTSIZO,X,O,X,O,O,X,O,X,O,X
LJTSIOZ,X,O,X,O,O,X,O,X,X,X
LJTSZIO,X,O,X,O,O,X,O,X,O,X
LJTSZOI,X,O,X,O,O,X,O,X,X,X
LJTSOIZ,X,O,X,O,O,X,O,X,X,X
LJTSOZI,X,O,X,O,O,X,O,X,X,X
LJTZISO,X,O,X,O,O,X,O,O,X,X
LJTZIOS,X,O,X,O,O,X,O,O,X,X
LJTZSIO,X,O,X,O,O,X,O,X,X,X
LJTZSOI,X,O,X,O,O,X,O,X,X,X
LJTZOIS,X,O,X,O,O,X,O,O,X,X
LJTZOSI,X,O,X,O,O,X,O,X,X,X
LJTOISZ,X,O,X,O,O,X,O,O,X,X
LJTOIZS,X,O,X,O,O,X,O,O,X,X
LJTOSIZ,X,O,X,O,O,X,O,X,X,X
LJTOSZI,X,O,X,O,O,X,O,X,X,X
LJTOZIS,X,O,X,O,O,X,O,O,X,X
LJTOZSI,X,O,X,O,O,X,O,X,X,X
LJITSZO,X,O,X,O,O,X,O,O,O,X
LJITSOZ,X,O,X,O,O,X,O,O,X,X
LJITZSO,X,O,X,O,O,X,O,O,X,X
LJITZOS,X,O,X,O,O,X,O,O,X,X
LJITOSZ,X,O,X,O,O,X,O,O,X,X
LJITOZS,X,O,X,O,O,X,O,O,X,X
LJISTZO,X,O,O,O,O,O,O,O,O,X
LJISTOZ,X,O,O,O,O,O,O,O,X,X
LJISZTO,X,X,O,X,O,O,O,O,O,X
LJISZOT,X,O,X,X,O,O,X,O,X,X
LJISOTZ,X,O,X,O,O,O,X,O,X,X
LJISOZT,X,O,X,X,O,O,X,O,X,X
LJIZTSO,X,O,X,O,O,X,O,O,X,X
LJIZTOS,X,O,X,O,O,X,O,O,X,X
LJIZSTO,X,X,O,X,O,O,O,O,X,X
LJIZSOT,X,O,X,X,O,O,X,O,X,X
LJIZOTS,X,O,X,O,O,X,O,O,X,X
LJIZOST,O,O,X,X,O,O,X,O,X,X
LJIOTSZ,X,O,X,O,O,X,O,O,X,X
LJIOTZS,X,O,X,O,O,X,O,O,X,X
LJIOSTZ,X,O,X,O,O,O,X,O,X,X
LJIOSZT,X,O,X,X,O,O,X,O,X,X
LJIOZTS,X,O,X,O,O,X,O,O,X,X
LJIOZST,O,O,X,X,O,O,X,O,X,X
LJSTIZO,O,O,O,O,O,X,O,X,O,X
LJSTIOZ,O,O,O,O,O,X,O,X,X,X
LJSTZIO,O,O,O,O,O,X,O,X,O,X
LJSTZOI,O,O,O,O,O,X,O,X,X,X
LJSTOIZ,O,O,O,O,O,X,O,X,X,X
LJSTOZI,O,O,O,O,O,X,O,X,X,X
LJSITZO,X,O,O,O,O,O,O,O,O,X
LJSITOZ,X,O,O,O,O,O,O,O,X,X
LJSIZTO,X,X,O,X,O,O,O,O,O,X
LJSIZOT,O,O,X,X,O,O,X,O,X,X
LJSIOTZ,X,O,X,O,O,O,X,O,X,X
LJSIOZT,O,O,X,X,O,O,X,O,X,X
LJSZTIO,O,X,O,X,O,X,O,X,O,X
LJSZTOI,O,X,O,X,O,X,O,X,X,X
LJSZITO,X,X,O,X,O,O,O,O,O,X
LJSZIOT,O,O,X,X,O,O,X,O,X,X
LJSZOTI,O,O,X,X,O,X,X,X,X,X
LJSZOIT,O,O,X,X,O,O,X,O,X,X
LJSOTIZ,O,O,X,O,O,X,X,X,X,X
LJSOTZI,O,O,X,O,O,X,X,X,X,X
LJSOITZ,X,O,X,O,O,O,X,O,X,X
LJSOIZT,O,O,X,X,O,O,X,O,X,X
LJSOZTI,O,O,X,X,O,X,X,X,X,X
LJSOZIT,O,O,X,X,O,O,X,O,X,X
LJZTISO,X,O,X,O,O,X,O,O,X,X
LJZTIOS,X,O,X,O,O,X,O,O,X,X
LJZTSIO,X,O,X,O,O,X,O,X,X,X
LJZTSOI,X,O,X,O,O,X,O,X,X,X
LJZTOIS,X,O,X,O,O,X,O,O,X,X
LJZTOSI,X,O,X,O,O,X,O,X,X,X
LJZITSO,X,O,X,O,O,X,O,O,X,X
LJZITOS,X,O,X,O,O,X,O,O,X,X
LJZISTO,X,X,O,X,O,O,O,O,X,X
LJZISOT,X,O,X,X,O,O,X,O,X,X
LJZIOTS,X,O,X,O,O,X,O,O,X,X
LJZIOST,O,O,X,X,O,O,X,O,X,X
LJZSTIO,O,X,O,X,O,X,O,X,X,X
LJZSTOI,O,X,O,X,O,X,O,X,X,X
LJZSITO,X,X,O,X,O,O,O,O,X,X
LJZSIOT,O,O,X,X,O,O,X,O,X,X
LJZSOTI,O,O,X,X,O,X,X,X,X,X
LJZSOIT,O,O,X,X,O,O,X,O,X,X
LJZOTIS,X,O,X,O,O,X,O,O,X,X
LJZOTSI,X,O,X,O,O,X,O,X,X,X
LJZOITS,X,O,X,O,O,X,O,O,X,X
LJZOIST,O,O,X,X,O,O,X,O,X,X
LJZOSTI,O,O,X,X,O,X,X,X,X,X
LJZOSIT,O,O,X,X,O,O,X,O,X,X
LJOTISZ,X,O,X,O,O,X,O,O,X,X
LJOTIZS,X,O,X,O,O,X,O,O,X,X
LJOTSIZ,X,O,X,O,O,X,O,X,X,X
LJOTSZI,X,O,X,O,O,X,O,X,X,X
LJOTZIS,X,O,X,O,O,X,O,O,X,X
LJOTZSI,X,O,X,O,O,X,O,X,X,X
LJOITSZ,X,O,X,O,O,X,O,O,X,X
LJOITZS,X,O,X,O,O,X,O,O,X,X
LJOISTZ,X,O,X,O,O,O,X,O,X,X
LJOISZT,X,O,X,X,O,O,X,O,X,X
LJOIZTS,X,O,X,O,O,X,O,O,X,X
LJOIZST,O,O,X,X,O,O,X,O,X,X
LJOSTIZ,O,O,X,O,O,X,X,X,X,X
LJOSTZI,O,O,X,O,O,X,X,X,X,X
LJOSITZ,X,O,X,O,O,O,X,O,X,X
LJOSIZT,O,O,X,X,O,O,X,O,X,X
LJOSZTI,O,O,X,X,O,X,X,X,X,X
LJOSZIT,O,O,X,X,O,O,X,O,X,X
LJOZTIS,X,O,X,O,O,X,O,O,X,X
LJOZTSI,X,O,X,O,O,X,O,X,X,X
LJOZITS,X,O,X,O,O,X,O,O,X,X
LJOZIST,O,O,X,X,O,O,X,O,X,X
LJOZSTI,O,O,X,X,O,X,X,X,X,X
LJOZSIT,O,O,X,X,O,O,X,O,X,X
LSTIJZO,O,X,O,O,X,O,O,X,X,X
LSTIJOZ,O,X,O,O,X,O,O,X,X,X
LSTIZJO,O,X,O,X,X,O,O,X,X,X
LSTIZOJ,O,X,O,X,X,O,X,X,X,X
LSTIOJZ,O,X,O,O,X,O,X,X,X,X
LSTIOZJ,O,X,O,X,X,O,X,X,X,X
LSTJIZO,O,O,O,O,X,X,O,X,X,X
LSTJIOZ,O,O,O,O,X,X,O,X,X,X
LSTJZIO,O,O,O,O,X,X,O,X,X,X
LSTJZOI,O,O,O,O,X,X,O,X,X,X
LSTJOIZ,O,O,O,O,X,X,O,X,X,X
LSTJOZI,O,O,O,O,X,X,O,X,X,X
LSTZIJO,O,X,O,X,X,O,O,X,X,X
LSTZIOJ,O,X,O,X,X,O,X,X,X,X
LSTZJIO,O,O,O,O,X,X,O,X,X,X
LSTZJOI,O,O,O,O,X,X,O,X,X,X
LSTZOIJ,O,X,O,X,X,O,X,X,X,X
LSTZOJI,O,O,O,O,X,X,X,X,X,X
LSTOIJZ,O,X,O,O,X,O,X,X,X,X
LSTOIZJ,O,X,O,X,X,O,X,X,X,X
LSTOJIZ,O,O,O,O,X,X,X,X,X,X
LSTOJZI,O,O,O,O,X,X,X,X,X,X
LSTOZIJ,O,X,O,X,X,O,X,X,X,X
LSTOZJI,O,O,O,O,X,X,X,X,X,X
LSITJZO,O,X,O,X,X,O,O,X,X,X
LSITJOZ,O,X,O,X,X,O,O,X,X,X
LSITZJO,O,X,O,X,X,O,O,X,X,X
LSITZOJ,O,X,O,X,X,O,X,X,X,X
LSITOJZ,O,X,O,X,X,O,X,X,X,X
LSITOZJ,O,X,O,X,X,O,X,X,X,X
LSIJTZO,X,X,O,X,X,O,O,O,X,X
LSIJTOZ,X,X,O,X,X,O,O,O,X,X
LSIJZTO,X,X,O,X,X,O,O,O,X,X
LSIJZOT,O,X,X,X,X,O,X,O,X,X
LSIJOTZ,X,X,X,X,X,O,X,O,X,X
LSIJOZT,O,X,X,X,X,O,X,O,X,X
LSIZTJO,O,X,O,X,X,O,O,X,X,X
LSIZTOJ,O,X,O,X,X,O,X,X,X,X
LSIZJTO,X,X,O,X,X,O,O,O,X,X
LSIZJOT,O,X,X,X,X,O,X,O,X,X
LSIZOTJ,O,X,O,X,X,O,X,X,X,X
LSIZOJT,O,X,X,X,O,O,X,O,X,X
LSIOTJZ,O,X,O,X,X,O,X,X,X,X
LSIOTZJ,O,X,O,X,X,O,X,X,X,X
LSIOJTZ,X,X,X,X,X,O,X,O,X,X
LSIOJZT,O,X,X,X,X,O,X,O,X,X
LSIOZTJ,O,X,O,X,X,O,X,X,X,X
LSIOZJT,O,X,X,X,O,O,X,O,X,X
LSJTIZO,O,O,O,O,O,X,O,X,X,X
LSJTIOZ,O,O,O,O,O,X,O,X,X,X
LSJTZIO,O,O,O,O,O,X,O,X,X,X
LSJTZOI,O,O,O,O,O,X,O,X,X,X
LSJTOIZ,O,O,O,O,O,X,O,X,X,X
LSJTOZI,O,O,O,O,O,X,O,X,X,X
LSJITZO,X,O,O,O,O,O,O,O,X,X
LSJITOZ,X,O,O,O,O,O,O,O,X,X
LSJIZTO,X,X,O,X,O,O,O,O,X,X
LSJIZOT,O,O,X,X,O,O,X,O,X,X
LSJIOTZ,X,O,X,O,O,O,X,O,X,X
LSJIOZT,O,O,X,X,O,O,X,O,X,X
LSJZTIO,O,X,O,X,O,X,O,X,X,X
LSJZTOI,O,X,O,X,O,X,O,X,X,X
LSJZITO,X,X,O,X,O,O,O,O,X,X
LSJZIOT,O,O,X,X,O,O,X,O,X,X
LSJZOTI,O,O,X,X,O,X,X,X,X,X
LSJZOIT,O,O,X,X,O,O,X,O,X,X
LSJOTIZ,O,O,X,O,O,X,X,X,X,X
LSJOTZI,O,O,X,O,O,X,X,X,X,X
LSJOITZ,X,O,X,O,O,O,X,O,X,X
LSJOIZT,O,O,X,X,O,O,X,O,X,X
LSJOZTI,O,O,X,X,O,X,X,X,X,X
LSJOZIT,O,O,X,X,O,O,X,O,X,X
LSZTIJO,O,X,O,X,X,O,O,X,X,X
LSZTIOJ,O,X,O,X,X,O,X,X,X,X
LSZTJIO,O,X,O,X,X,X,O,X,X,X
LSZTJOI,O,X,O,X,X,X,O,X,X,X
LSZTOIJ,O,X,O,X,X,O,X,X,X,X
LSZTOJI,O,X,O,X,X,X,X,X,X,X
LSZITJO,O,X,O,X,X,O,O,X,X,X
LSZITOJ,O,X,O,X,X,O,X,X,X,X
LSZIJTO,X,X,O,X,X,O,O,O,X,X
LSZIJOT,O,X,X,X,X,O,X,O,X,X
LSZIOTJ,O,X,O,X,X,O,X,X,X,X
LSZIOJT,O,X,X,X,O,O,X,O,X,X
LSZJTIO,O,X,O,X,O,X,O,X,X,X
LSZJTOI,O,X,O,X,O,X,O,X,X,X
LSZJITO,X,X,O,X,O,O,O,O,X,X
LSZJIOT,O,O,X,X,O,O,X,O,X,X
LSZJOTI,O,O,X,X,O,X,X,X,X,X
LSZJOIT,O,O,X,X,O,O,X,O,X,X
LSZOTIJ,O,X,O,X,X,O,X,X,X,X
LSZOTJI,O,X,O,X,X,X,X,X,X,X
LSZOITJ,O,X,O,X,X,O,X,X,X,X
LSZOIJT,O,X,X,X,O,O,X,O,X,X
LSZOJTI,O,O,X,X,O,X,X,X,X,X
LSZOJIT,O,O,X,X,O,O,X,O,X,X
