sequence,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxdB0gBlhB3?iBOrBzrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8Jez6IvhFqgBxdBlhB3?iB0mB2wB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxcBXeB0gBF?nBTrBmrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhF0cBxdBlgB3?iBOrBzrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxdB0gBlhB3?iBmrBTrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFXeBxgBUmBF?nBOsBTrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8Jez6IvhFWhBxcBXeBU?mBFnBywB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhF0cBxdBlgB3?iBmrBTrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxcBXeBlgBU?iBOrBzrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhFxcBXeBUiBF?mBzrBmqB,v115@zgA8IeA8HeD8EeF8CeG8CeC8JeC7IvhF0cBXeBlgBx?mBOsBTrB,v115@zgA8IeA8HeD8EeF8CeG8CeC8Jez6IvhFCcBxdBlhB3?iBmrBUrB
IZTOSLJ,X,X,O,X,X,O,O,X,O,X,O,X
IZTOSJL,X,X,O,X,X,O,O,X,X,X,O,X
IZLTJSO,X,X,X,O,O,O,X,O,O,X,O,X
IZLTJOS,X,X,X,O,X,O,X,O,X,X,X,X
IZLTSJO,O,X,O,O,O,O,X,O,O,X,O,X
IZLTSOJ,O,X,O,O,O,O,X,O,O,X,O,X
IZLTOJS,X,X,O,X,X,O,X,X,X,X,X,X
IZLTOSJ,X,X,O,O,X,O,X,O,O,X,O,X
IZLJTSO,X,X,X,O,O,O,X,O,X,X,X,X
IZLJTOS,X,X,X,O,X,O,X,O,X,X,X,X
IZLJSTO,O,O,X,O,O,X,X,O,O,X,X,X
IZLJSOT,X,O,X,O,O,X,X,O,X,X,X,X
IZLJOTS,X,X,X,O,X,X,X,O,X,X,X,X
IZLJOST,X,O,X,O,O,X,X,O,X,X,X,X
IZLSTJO,O,X,O,O,O,O,X,O,O,X,O,X
IZLSTOJ,O,O,O,O,O,O,X,O,O,X,O,X
IZLSJTO,O,O,O,O,O,X,X,O,O,X,X,X
IZLSJOT,X,O,O,O,O,X,X,O,X,X,X,X
IZLSOTJ,O,O,O,O,O,X,X,O,O,X,X,X
IZLSOJT,O,O,O,O,O,X,X,X,X,X,X,X
IZLOTJS,X,X,O,O,X,O,X,X,X,X,X,X
IZLOTSJ,O,X,O,O,X,O,X,X,X,X,X,X
IZLOJTS,X,X,X,O,X,X,X,X,X,X,X,X
IZLOJST,O,O,X,O,O,X,X,X,X,X,X,X
IZLOSTJ,O,O,O,O,O,X,X,X,O,X,X,X
IZLOSJT,O,O,O,O,O,X,X,X,X,X,X,X
IZJTLSO,X,X,X,O,O,O,O,O,O,X,O,O
IZJTLOS,X,X,X,O,X,O,O,O,X,X,X,O
IZJTSLO,X,X,X,O,O,O,O,O,O,X,O,O
IZJTSOL,X,X,X,X,O,O,O,O,X,X,X,O
IZJTOLS,X,X,X,O,X,O,O,O,X,X,X,O
IZJTOSL,X,X,X,X,X,O,O,X,X,X,X,O
IZJLTSO,X,X,X,O,O,O,X,O,X,X,X,O
IZJLTOS,X,X,X,O,X,O,X,O,X,X,X,O
IZJLSTO,O,O,X,O,O,X,X,O,O,X,X,O
IZJLSOT,X,O,X,O,O,X,X,O,X,X,X,O
IZJLOTS,X,X,X,O,X,X,X,O,X,X,X,O
IZJLOST,X,O,X,O,O,X,X,O,X,X,X,O
IZJSTLO,O,O,X,O,O,X,X,O,O,X,O,O
IZJSTOL,X,X,X,X,O,X,X,O,X,X,X,O
IZJSLTO,O,O,X,O,O,X,X,O,O,X,X,O
IZJSLOT,X,O,X,O,O,X,X,O,X,X,X,O
IZJSOTL,X,X,X,X,O,X,X,O,X,X,X,O
IZJSOLT,X,O,X,X,O,X,X,O,X,X,X,O
IZJOTLS,X,X,X,O,X,X,O,O,X,X,X,O
IZJOTSL,X,X,X,X,X,X,O,O,X,X,X,O
IZJOLTS,X,X,X,O,X,X,X,O,X,X,X,O
IZJOLST,X,O,X,O,O,X,X,O,X,X,X,O
IZJOSTL,X,X,X,X,O,X,X,O,X,X,X,O
IZJOSLT,X,O,X,X,O,X,X,O,X,X,X,O
IZSTLJO,O,X,O,O,O,O,O,O,O,X,O,X
IZSTLOJ,O,O,O,O,O,O,O,O,O,X,O,O
IZSTJLO,O,X,O,O,O,O,O,O,O,X,O,X
IZSTJOL,X,X,X,X,X,O,O,X,X,X,X,X
IZSTOLJ,O,X,O,O,O,O,O,O,O,X,O,O
IZSTOJL,X,X,O,X,X,O,O,X,X,X,O,X
IZSLTJO,O,X,O,O,O,O,X,O,O,X,O,X
IZSLTOJ,O,O,O,O,O,O,X,O,O,X,O,X
IZSLJTO,O,O,O,O,O,X,X,O,O,X,X,X
IZSLJOT,X,O,O,O,O,X,X,O,X,X,X,X
IZSLOTJ,O,O,O,O,O,X,X,O,O,X,X,X
IZSLOJT,O,O,O,O,O,X,X,X,X,X,X,X
IZSJTLO,O,O,X,O,O,X,X,O,O,X,O,O
IZSJTOL,X,X,X,O,O,X,X,O,X,X,X,O
IZSJLTO,O,O,O,O,O,X,X,O,O,X,X,O
IZSJLOT,X,O,O,O,O,X,X,O,X,X,X,O
IZSJOTL,X,X,X,O,O,X,X,O,X,X,X,O
IZSJOLT,X,O,X,O,O,X,X,O,X,X,X,O
IZSOTLJ,O,X,O,O,O,X,O,O,O,X,O,O
IZSOTJL,O,X,O,O,X,X,O,X,X,X,X,X
IZSOLTJ,O,O,O,O,O,X,X,O,O,X,X,X
IZSOLJT,O,O,O,O,O,X,X,X,X,X,X,X
IZSOJTL,O,X,X,O,X,X,X,X,X,X,X,O
IZSOJLT,O,O,O,O,X,X,X,X,X,X,X,O
IZOTLJS,X,X,O,O,X,O,O,X,X,X,X,X
IZOTLSJ,O,X,O,O,X,O,O,X,O,X,O,X
IZOTJLS,X,X,O,O,X,O,O,X,X,X,X,X
IZOTJSL,X,X,O,X,X,O,O,X,X,X,X,X
IZOTSLJ,O,X,O,O,X,O,O,X,O,X,O,X
IZOTSJL,O,X,O,O,X,O,O,X,X,X,X,X
IZOLTJS,X,X,O,O,X,O,X,X,X,X,X,X
IZOLTSJ,O,X,O,O,X,O,X,X,X,X,X,X
IZOLJTS,X,X,X,O,X,X,X,X,X,X,X,X
IZOLJST,O,O,X,O,O,X,X,X,X,X,X,X
IZOLSTJ,O,O,O,O,O,X,X,X,O,X,X,X
IZOLSJT,O,O,O,O,O,X,X,X,X,X,X,X
IZOJTLS,X,X,X,O,X,X,O,X,X,X,X,O
IZOJTSL,X,X,X,O,X,X,O,X,X,X,X,O
IZOJLTS,X,X,X,O,X,X,X,X,X,X,X,O
IZOJLST,O,O,X,O,O,X,X,X,X,X,X,O
IZOJSTL,O,X,X,O,O,X,X,X,X,X,X,O
IZOJSLT,O,O,X,O,O,X,X,X,X,X,X,O
IZOSTLJ,O,X,O,O,O,X,O,X,O,X,O,O
IZOSTJL,O,X,O,O,X,X,O,X,X,X,X,X
IZOSLTJ,O,O,O,O,O,X,X,X,O,X,X,X
IZOSLJT,O,O,O,O,O,X,X,X,X,X,X,X
IZOSJTL,O,X,X,O,X,X,X,X,X,X,X,O
IZOSJLT,O,O,O,O,X,X,X,X,X,X,X,O
IOTLJSZ,X,O,X,O,X,X,X,O,O,X,O,X
IOTLJZS,X,X,X,O,X,X,X,O,X,X,O,X
IOTLSJZ,X,O,O,O,X,X,X,X,O,O,O,X
IOTLSZJ,O,O,O,O,X,X,X,O,O,O,O,X
IOTLZJS,X,X,O,O,X,X,X,X,O,O,O,X
IOTLZSJ,O,X,O,O,X,X,X,O,O,O,O,X
IOTJLSZ,X,O,X,O,X,X,X,O,O,X,O,X
IOTJLZS,X,X,X,O,X,X,X,O,X,X,O,X
IOTJSLZ,X,O,X,O,X,X,X,O,O,X,O,O
IOTJSZL,X,X,X,O,X,X,X,O,X,X,O,O
IOTJZLS,X,X,X,O,X,X,X,O,X,X,O,O
IOTJZSL,X,X,X,O,X,X,X,X,X,X,O,O
IOTSLJZ,X,O,O,O,X,X,X,X,O,O,O,O
IOTSLZJ,O,O,O,O,X,X,X,O,O,O,O,O
IOTSJLZ,X,O,O,O,X,X,X,X,O,O,O,O
IOTSJZL,O,X,O,O,X,X,X,X,X,X,O,O
IOTSZLJ,O,X,O,O,X,X,O,O,O,O,O,O
IOTSZJL,O,X,O,O,X,X,O,X,O,O,O,X
IOTZLJS,X,X,O,O,X,X,O,X,O,O,O,X
IOTZLSJ,O,X,O,O,X,X,O,O,O,O,O,X
IOTZJLS,X,X,O,O,X,X,O,X,O,O,O,X
IOTZJSL,X,X,O,X,X,X,O,X,O,O,O,X
IOTZSLJ,O,X,O,O,X,X,O,X,O,O,O,X
IOTZSJL,O,X,O,O,X,X,O,X,O,O,O,X
IOLTJSZ,X,O,X,O,X,X,X,O,O,X,O,X
IOLTJZS,X,X,X,O,X,X,X,O,X,X,O,X
IOLTSJZ,X,O,O,O,X,X,X,X,O,O,O,X
IOLTSZJ,O,O,O,O,X,X,X,O,O,O,O,X
IOLTZJS,X,X,O,O,X,X,X,X,O,O,O,X
IOLTZSJ,O,X,O,O,X,X,X,O,O,O,O,X
IOLJTSZ,X,O,X,O,X,X,X,O,X,X,X,X
IOLJTZS,X,X,X,O,X,X,X,O,X,X,X,X
IOLJSTZ,X,O,X,O,X,X,X,O,O,X,X,O
IOLJSZT,O,O,X,O,O,X,X,O,O,X,X,O
IOLJZTS,X,X,X,O,X,X,X,O,O,X,X,O
IOLJZST,O,O,X,O,O,X,X,O,O,X,X,O
IOLSTJZ,X,O,O,O,X,X,X,X,O,O,O,O
IOLSTZJ,O,O,O,O,X,X,X,O,O,O,O,O
IOLSJTZ,X,O,O,O,X,X,X,O,O,O,X,O
IOLSJZT,O,O,O,O,O,X,X,O,O,O,X,O
IOLSZTJ,O,O,O,O,O,X,X,O,O,O,O,X
IOLSZJT,O,O,O,O,O,X,X,X,O,O,X,X
IOLZTJS,X,X,O,O,X,O,X,X,X,X,O,X
IOLZTSJ,O,X,O,O,X,O,X,X,O,O,O,X
IOLZJTS,X,X,X,O,X,X,X,X,X,X,X,X
IOLZJST,O,O,X,O,O,X,X,X,O,O,X,X
IOLZSTJ,O,O,O,O,O,X,X,X,O,O,O,X
IOLZSJT,O,O,O,O,O,X,X,X,O,O,X,X
IOJTLSZ,X,O,X,O,X,X,X,O,O,X,O,X
IOJTLZS,X,X,X,O,X,X,X,O,O,X,O,X
IOJTSLZ,X,O,X,O,X,X,X,O,O,X,O,O
IOJTSZL,X,X,X,O,X,X,X,O,O,X,O,O
IOJTZLS,X,X,X,O,X,X,X,O,O,X,O,O
IOJTZSL,X,X,X,O,X,X,X,O,O,X,O,O
IOJLTSZ,X,O,X,O,X,X,X,O,X,X,X,X
IOJLTZS,X,X,X,O,X,X,X,O,X,X,X,X
IOJLSTZ,X,O,X,O,X,X,X,O,O,X,X,O
IOJLSZT,O,O,X,O,O,X,X,O,O,X,X,O
IOJLZTS,X,X,X,O,X,X,X,O,O,X,X,O
IOJLZST,O,O,X,O,O,X,X,O,O,X,X,O
IOJSTLZ,X,O,X,O,X,X,X,O,O,X,O,O
IOJSTZL,O,X,X,O,O,X,X,O,O,X,O,O
IOJSLTZ,X,O,X,O,X,X,X,O,O,X,X,O
IOJSLZT,O,O,X,O,O,X,X,O,O,X,X,O
IOJSZTL,O,X,X,O,O,X,X,O,O,X,O,O
IOJSZLT,O,O,X,O,O,X,X,O,O,X,X,O
IOJZTLS,X,X,X,O,X,X,X,O,O,X,O,O
IOJZTSL,X,X,X,O,X,X,X,O,O,X,O,O
IOJZLTS,X,X,X,O,X,X,X,O,O,X,X,O
IOJZLST,O,O,X,O,O,X,X,O,O,X,X,O
IOJZSTL,O,X,X,O,O,X,X,O,O,X,O,O
IOJZSLT,O,O,X,O,O,X,X,O,O,X,X,O
IOSTLJZ,X,O,O,O,X,X,X,X,O,O,O,O
IOSTLZJ,O,O,O,O,X,X,X,O,O,O,O,O
IOSTJLZ,X,O,O,O,X,X,X,X,O,O,O,O
IOSTJZL,O,X,O,O,X,X,X,X,O,X,O,O
IOSTZLJ,O,X,O,O,O,X,O,O,O,O,O,O
IOSTZJL,O,X,O,O,X,X,O,X,O,O,O,X
IOSLTJZ,X,O,O,O,X,X,X,X,O,O,O,O
IOSLTZJ,O,O,O,O,X,X,X,O,O,O,O,O
IOSLJTZ,X,O,O,O,X,X,X,O,O,O,X,O
IOSLJZT,O,O,O,O,O,X,X,O,O,O,X,O
IOSLZTJ,O,O,O,O,O,X,X,O,O,O,O,X
IOSLZJT,O,O,O,O,O,X,X,X,O,O,X,X
IOSJTLZ,X,O,O,O,X,X,X,O,O,O,O,O
IOSJTZL,O,X,O,O,O,X,X,O,O,X,O,O
IOSJLTZ,X,O,O,O,X,X,X,O,O,O,X,O
IOSJLZT,O,O,O,O,O,X,X,O,O,O,X,O
IOSJZTL,O,X,X,O,O,X,X,O,O,X,O,O
IOSJZLT,O,O,O,O,O,X,X,O,O,O,X,O
IOSZTLJ,O,X,O,O,O,X,O,O,O,O,O,O
IOSZTJL,O,X,O,O,X,X,O,X,O,O,O,X
IOSZLTJ,O,O,O,O,O,X,X,O,O,O,O,X
IOSZLJT,O,O,O,O,O,X,X,X,O,O,X,X
IOSZJTL,O,X,X,O,X,X,X,X,O,X,O,O
IOSZJLT,O,O,O,O,X,X,X,X,O,O,X,O
IOZTLJS,X,X,O,O,X,O,O,X,O,O,O,X
IOZTLSJ,O,X,O,O,X,O,O,X,O,O,O,X
IOZTJLS,X,X,O,O,X,O,O,X,O,O,O,X
IOZTJSL,X,X,O,X,X,O,O,X,O,O,O,X
IOZTSLJ,O,X,O,O,X,O,O,X,O,O,O,X
IOZTSJL,O,X,O,O,X,O,O,X,O,O,O,X
IOZLTJS,X,X,O,O,X,O,X,X,O,X,O,X
IOZLTSJ,O,X,O,O,X,O,X,X,O,O,O,X
IOZLJTS,X,X,X,O,X,X,X,X,X,X,X,X
IOZLJST,O,O,X,O,O,X,X,X,O,O,X,X
IOZLSTJ,O,O,O,O,O,X,X,X,O,O,O,X
IOZLSJT,O,O,O,O,O,X,X,X,O,O,X,X
IOZJTLS,X,X,X,O,X,X,O,X,O,X,O,O
IOZJTSL,X,X,X,O,X,X,O,X,O,X,O,O
IOZJLTS,X,X,X,O,X,X,X,X,X,X,X,O
IOZJLST,O,O,X,O,O,X,X,X,O,O,X,O
IOZJSTL,O,X,X,O,O,X,X,X,O,X,O,O
IOZJSLT,O,O,X,O,O,X,X,X,O,O,X,O
IOZSTLJ,O,X,O,O,O,X,O,X,O,O,O,O
IOZSTJL,O,X,O,O,X,X,O,X,O,O,O,X
IOZSLTJ,O,O,O,O,O,X,X,X,O,O,O,X
IOZSLJT,O,O,O,O,O,X,X,X,O,O,X,X
IOZSJTL,O,X,X,O,X,X,X,X,O,X,O,O
IOZSJLT,O,O,O,O,X,X,X,X,O,O,X,O
LTIJSZO,X,O,X,O,O,X,X,O,O,X,O,X
LTIJSOZ,X,O,X,O,X,X,X,O,O,X,O,X
LTIJZSO,X,X,X,O,O,X,X,O,O,X,O,X
LTIJZOS,X,X,X,O,X,X,X,O,O,X,X,X
LTIJOSZ,X,O,X,X,X,X,X,O,O,X,O,X
LTIJOZS,X,X,X,O,X,X,X,O,X,X,O,X
LTISJZO,X,O,O,O,O,X,X,O,O,X,O,X
LTISJOZ,X,O,X,O,X,X,X,O,O,X,O,X
LTISZJO,O,X,O,O,O,O,X,O,O,X,O,X
LTISZOJ,O,O,O,O,O,O,X,O,O,X,O,X
LTISOJZ,X,O,X,O,X,X,X,X,O,X,O,X
LTISOZJ,O,O,O,O,X,X,X,O,O,X,O,X
LTIZJSO,X,X,X,O,O,O,X,O,O,X,O,X
LTIZJOS,X,X,X,O,X,O,X,O,X,X,X,X
LTIZSJO,O,X,O,O,O,O,X,O,O,X,O,X
LTIZSOJ,O,X,O,O,O,O,X,O,O,X,O,X
LTIZOJS,X,X,O,X,X,O,X,X,X,X,O,X
LTIZOSJ,X,X,O,O,X,O,X,O,O,X,O,X
LTIOJSZ,X,O,X,O,X,X,X,O,O,X,O,X
LTIOJZS,X,X,X,O,X,X,X,O,X,X,O,X
LTIOSJZ,X,O,X,O,X,X,X,X,O,X,O,X
LTIOSZJ,O,O,X,O,X,X,X,O,O,X,O,X
LTIOZJS,X,X,X,O,X,X,X,X,O,X,O,X
LTIOZSJ,O,X,X,O,X,X,X,O,O,X,O,X
LTJISZO,X,O,X,O,O,X,X,O,O,X,O,X
LTJISOZ,X,O,X,O,X,X,X,O,O,X,O,X
LTJIZSO,X,X,X,O,O,X,X,O,O,X,O,X
LTJIZOS,X,X,X,O,X,X,X,O,O,X,X,X
LTJIOSZ,X,O,X,X,X,X,X,O,O,X,O,X
LTJIOZS,X,X,X,O,X,X,X,O,X,X,O,X
LTJSIZO,X,O,O,O,O,X,X,O,O,X,O,X
LTJSIOZ,X,O,X,O,X,X,X,O,O,X,O,X
LTJSZIO,X,O,O,O,O,O,X,O,O,X,O,X
LTJSZOI,X,O,O,O,O,O,X,O,O,X,X,X
LTJSOIZ,X,O,X,O,X,X,X,O,O,X,O,X
LTJSOZI,X,O,X,O,X,X,X,O,O,X,O,X
LTJZISO,X,X,X,O,O,O,X,O,O,X,O,X
LTJZIOS,X,X,X,O,X,O,X,O,O,X,X,X
LTJZSIO,X,O,O,O,O,O,X,O,O,X,O,X
LTJZSOI,X,O,O,O,O,O,X,O,O,X,X,X
LTJZOIS,X,X,O,O,X,O,X,O,O,X,X,X
LTJZOSI,X,O,O,O,O,O,X,O,O,X,X,X
LTJOISZ,X,O,X,O,X,X,X,O,O,X,O,X
LTJOIZS,X,X,X,O,X,X,X,O,X,X,O,X
LTJOSIZ,X,O,X,O,X,X,X,O,O,X,O,X
LTJOSZI,X,O,X,O,X,X,X,O,O,X,O,X
LTJOZIS,X,X,X,O,X,X,X,O,O,X,O,X
LTJOZSI,X,O,X,O,X,X,X,O,O,X,O,X
LTSIJZO,X,O,O,O,O,X,X,O,O,X,O,X
LTSIJOZ,X,O,X,O,X,X,X,O,O,X,O,X
LTSIZJO,O,X,O,O,O,O,X,O,O,X,O,X
LTSIZOJ,O,O,O,O,O,O,X,O,O,X,O,X
LTSIOJZ,X,O,O,O,X,X,X,X,O,O,O,X
LTSIOZJ,O,O,O,O,X,X,X,O,O,O,O,X
LTSJIZO,X,O,O,O,O,X,X,O,O,X,O,X
LTSJIOZ,X,O,X,O,X,X,X,O,O,X,O,X
LTSJZIO,X,O,O,O,O,O,X,O,O,X,O,X
LTSJZOI,X,O,O,O,O,O,X,O,O,X,X,X
LTSJOIZ,X,O,X,O,X,X,X,O,O,X,O,X
LTSJOZI,X,O,X,O,X,X,X,O,O,X,O,X
LTSZIJO,O,X,O,O,O,O,O,O,O,X,O,X
LTSZIOJ,O,O,O,O,O,O,O,O,O,X,O,X
LTSZJIO,O,X,O,O,O,O,O,O,O,X,O,X
LTSZJOI,O,X,O,O,O,O,O,O,O,X,X,X
LTSZOIJ,O,O,O,O,O,O,O,O,O,X,O,X
LTSZOJI,O,O,O,X,O,O,O,X,O,X,O,X
LTSOIJZ,X,O,O,O,X,X,X,X,O,O,O,X
LTSOIZJ,O,O,O,O,X,X,X,O,O,O,O,X
LTSOJIZ,X,O,O,O,X,X,X,O,O,O,O,X
LTSOJZI,X,O,O,O,X,X,X,O,O,O,O,X
LTSOZIJ,O,O,O,O,X,O,O,O,O,O,O,X
LTSOZJI,O,O,O,O,X,O,O,X,O,O,O,X
LTZIJSO,X,X,X,O,O,O,O,O,O,X,O,X
LTZIJOS,X,X,X,O,X,O,O,O,X,X,X,X
LTZISJO,O,X,O,O,O,O,O,O,O,X,O,X
LTZISOJ,O,X,O,O,O,O,O,O,O,X,O,X
LTZIOJS,X,X,O,X,X,O,O,X,X,X,O,X
LTZIOSJ,X,X,O,O,X,O,O,O,O,X,O,X
LTZJISO,X,X,X,O,O,O,O,O,O,X,O,X
LTZJIOS,X,X,X,O,X,O,O,O,O,X,X,X
LTZJSIO,O,X,O,O,O,O,O,O,O,X,O,X
LTZJSOI,O,X,O,O,O,O,O,O,O,X,X,X
LTZJOIS,X,X,O,O,X,O,O,O,O,X,X,X
LTZJOSI,X,X,O,O,O,O,O,O,O,X,X,X
LTZSIJO,O,X,O,O,O,O,O,O,O,X,O,X
LTZSIOJ,O,O,O,O,O,O,O,O,O,X,O,X
LTZSJIO,O,X,O,O,O,O,O,O,O,X,O,X
LTZSJOI,O,X,O,O,O,O,O,O,O,X,X,X
LTZSOIJ,O,O,O,O,O,O,O,O,O,X,O,X
LTZSOJI,O,O,O,X,O,O,O,X,O,X,O,X
LTZOIJS,X,X,O,O,X,O,O,X,O,X,O,X
LTZOISJ,O,X,O,O,X,O,O,O,O,X,O,X
LTZOJIS,X,X,O,O,X,O,O,X,O,X,O,X
LTZOJSI,O,X,O,O,X,O,O,X,O,X,O,X
LTZOSIJ,O,O,O,O,O,O,O,O,O,X,O,X
LTZOSJI,O,O,O,O,O,O,O,X,O,X,O,X
LTOIJSZ,X,O,X,O,X,X,X,O,O,X,O,X
LTOIJZS,X,X,X,O,X,X,X,O,X,X,O,X
LTOISJZ,X,O,O,O,X,X,X,X,O,O,O,X
LTOISZJ,O,O,O,O,X,X,X,O,O,O,O,X
LTOIZJS,X,X,O,O,X,X,X,X,O,O,O,X
LTOIZSJ,O,X,O,O,X,X,X,O,O,O,O,X
LTOJISZ,X,O,X,O,X,X,X,O,O,X,O,X
LTOJIZS,X,X,X,O,X,X,X,O,X,X,O,X
LTOJSIZ,X,O,O,O,X,X,X,O,O,O,O,X
LTOJSZI,X,O,O,O,X,X,X,O,O,O,O,X
LTOJZIS,X,X,O,O,X,X,X,O,O,O,O,X
LTOJZSI,X,O,O,O,X,X,X,O,O,O,O,X
LTOSIJZ,X,O,O,O,X,X,X,X,O,O,O,X
LTOSIZJ,O,O,O,O,X,X,X,O,O,O,O,X
LTOSJIZ,X,O,O,O,X,X,X,O,O,O,O,X
LTOSJZI,X,O,O,O,X,X,X,O,O,O,O,X
LTOSZIJ,O,O,O,O,X,O,O,O,O,O,O,X
LTOSZJI,O,O,O,O,X,O,O,X,O,O,O,X
LTOZIJS,X,X,O,O,X,O,O,X,O,O,O,X
LTOZISJ,O,X,O,O,X,O,O,O,O,O,O,X
LTOZJIS,X,X,O,O,X,O,O,X,O,O,O,X
LTOZJSI,O,X,O,O,X,O,O,X,O,O,O,X
LTOZSIJ,O,O,O,O,X,O,O,O,O,O,O,X
LTOZSJI,O,O,O,O,X,O,O,X,O,O,O,X
LITJSZO,X,O,X,O,O,X,X,O,O,X,O,X
LITJSOZ,X,O,X,O,X,X,X,O,O,X,O,X
LITJZSO,X,X,X,O,O,X,X,O,O,X,O,X
LITJZOS,X,X,X,O,X,X,X,O,O,X,X,X
LITJOSZ,X,O,X,X,X,X,X,O,O,X,O,X
LITJOZS,X,X,X,O,X,X,X,O,X,X,O,X
LITSJZO,X,O,O,O,O,X,X,O,O,X,O,X
LITSJOZ,X,O,X,O,X,X,X,O,O,X,O,X
LITSZJO,O,X,O,O,O,O,X,O,O,X,O,X
LITSZOJ,O,O,O,O,O,O,X,O,O,X,O,X
LITSOJZ,X,O,X,O,X,X,X,X,O,X,O,X
LITSOZJ,O,O,O,O,X,X,X,O,O,X,O,X
LITZJSO,X,X,X,O,O,O,X,O,O,X,O,X
LITZJOS,X,X,X,O,X,O,X,O,X,X,X,X
LITZSJO,O,X,O,O,O,O,X,O,O,X,O,X
LITZSOJ,O,X,O,O,O,O,X,O,O,X,O,X
LITZOJS,X,X,O,X,X,O,X,X,X,X,O,X
LITZOSJ,X,X,O,O,X,O,X,O,O,X,O,X
LITOJSZ,X,O,X,O,X,X,X,O,O,X,O,X
LITOJZS,X,X,X,O,X,X,X,O,X,X,O,X
LITOSJZ,X,O,X,O,X,X,X,X,O,X,O,X
LITOSZJ,O,O,X,O,X,X,X,O,O,X,O,X
LITOZJS,X,X,X,O,X,X,X,X,O,X,O,X
LITOZSJ,O,X,X,O,X,X,X,O,O,X,O,X
LIJTSZO,X,O,X,O,O,X,X,O,X,X,X,X
LIJTSOZ,X,O,X,X,X,X,X,O,X,X,X,X
LIJTZSO,X,X,X,O,O,X,X,O,X,X,X,X
LIJTZOS,X,X,X,O,X,X,X,O,X,X,X,X
LIJTOSZ,X,O,X,X,X,X,X,O,X,X,X,X
LIJTOZS,X,X,X,O,X,X,X,O,X,X,X,X
LIJSTZO,X,O,X,O,O,X,X,O,O,X,X,O
LIJSTOZ,X,O,X,O,X,X,X,O,O,X,X,O
LIJSZTO,O,O,X,O,O,X,X,O,O,X,X,O
LIJSZOT,X,O,X,O,O,X,X,O,O,X,X,O
LIJSOTZ,X,O,X,O,X,X,X,O,O,X,X,O
LIJSOZT,O,O,X,O,O,X,X,O,O,X,X,O
LIJZTSO,X,X,X,O,O,O,X,O,O,X,X,O
LIJZTOS,X,X,X,O,X,O,X,O,X,X,X,O
LIJZSTO,O,O,X,O,O,X,X,O,O,X,X,O
LIJZSOT,X,O,X,O,O,X,X,O,O,X,X,O
LIJZOTS,X,X,X,O,X,X,X,O,X,X,X,O
LIJZOST,X,O,X,O,O,X,X,O,O,X,X,O
LIJOTSZ,X,O,X,O,X,X,X,O,X,X,X,X
LIJOTZS,X,X,X,O,X,X,X,O,X,X,X,X
LIJOSTZ,X,O,X,O,X,X,X,O,X,X,X,O
LIJOSZT,O,O,X,O,O,X,X,O,X,X,X,O
LIJOZTS,X,X,X,O,X,X,X,O,X,X,X,O
LIJOZST,O,O,X,O,O,X,X,O,X,X,X,O
LISTJZO,X,O,O,O,O,X,X,O,O,X,O,X
LISTJOZ,X,O,X,O,X,X,X,O,O,X,O,O
LISTZJO,O,X,O,O,O,O,X,O,O,X,O,X
LISTZOJ,O,O,O,O,O,O,X,O,O,X,O,O
LISTOJZ,X,O,O,O,X,X,X,X,O,O,O,O
LISTOZJ,O,O,O,O,X,X,X,O,O,O,O,O
LISJTZO,X,O,O,O,O,X,X,O,O,X,X,O
LISJTOZ,X,O,X,O,X,X,X,O,O,X,X,O
LISJZTO,O,O,O,O,O,X,X,O,O,X,X,O
LISJZOT,X,O,O,O,O,X,X,O,O,X,X,O
LISJOTZ,X,O,O,O,X,X,X,O,O,O,X,O
LISJOZT,O,O,O,O,O,X,X,O,O,O,X,O
LISZTJO,O,X,O,O,O,O,X,O,O,X,O,X
LISZTOJ,O,O,O,O,O,O,X,O,O,X,O,X
LISZJTO,O,O,O,O,O,X,X,O,O,X,X,X
LISZJOT,X,O,O,O,O,X,X,O,O,X,X,X
LISZOTJ,O,O,O,O,O,X,X,O,O,O,X,X
LISZOJT,O,O,O,O,O,X,X,X,O,O,X,X
LISOTJZ,X,O,O,O,X,X,X,X,O,O,O,O
LISOTZJ,O,O,O,O,X,X,X,O,O,O,O,O
LISOJTZ,X,O,O,O,X,X,X,O,O,O,X,O
LISOJZT,O,O,O,O,O,X,X,O,O,O,X,O
LISOZTJ,O,O,O,O,O,X,X,O,O,O,X,X
LISOZJT,O,O,O,O,O,X,X,X,O,O,X,X
LIZTJSO,X,X,X,O,O,O,X,O,X,X,O,X
LIZTJOS,X,X,X,O,X,O,X,O,X,X,X,X
LIZTSJO,O,X,O,O,O,O,X,O,O,X,O,X
LIZTSOJ,O,X,O,O,O,O,X,O,O,X,O,X
