sequence,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeT6Iv?hFOgBfiB6iBZjB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeO/Iv?hFXbBSiBZjBUiBzkBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeO/Iv?hFXbBRdBUiBaoBzkBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeOAJv?hFfiB6iBZjBTfB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeT6Iv?hFGdBZjBykBUiBXlBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8Jex6Iv?hFzcBmfBaoB3iB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeWCJv?hFZjBifBXgBTiB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeWCJv?hFZjBifB0fBTiBXlBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8Je06Iv?hFCdBZjB/kBTiBOlBFsB
LZOITSJ,O,X,O,X,O,X,X,X,X
LZOIJTS,O,X,O,X,O,O,X,X,X
LZOIJST,O,O,O,X,O,O,X,X,X
LZOISTJ,O,X,O,X,X,X,X,X,X
LZOISJT,O,O,O,X,O,X,X,X,X
LZOJTIS,O,X,O,X,O,O,X,X,X
LZOJTSI,O,X,O,X,X,O,X,X,X
LZOJITS,O,X,O,X,O,O,X,X,X
LZOJIST,O,O,O,X,O,O,X,X,X
LZOJSTI,O,X,O,X,X,O,X,X,X
LZOJSIT,O,O,O,X,O,O,X,X,X
LZOSTIJ,O,X,O,X,X,X,X,X,X
LZOSTJI,O,X,O,X,X,X,X,X,X
LZOSITJ,O,X,O,X,X,X,X,X,X
LZOSIJT,O,O,O,X,O,X,X,X,X
LZOSJTI,O,X,O,X,X,O,X,X,X
LZOSJIT,O,O,O,X,O,O,X,X,X
LOTIJSZ,X,O,O,O,X,X,O,O,X
LOTIJZS,X,O,O,X,O,X,O,O,X
LOTISJZ,X,O,O,O,X,X,X,X,X
LOTISZJ,X,O,O,O,O,X,X,X,X
LOTIZJS,X,O,O,X,O,O,X,X,X
LOTIZSJ,X,O,O,X,O,X,X,X,X
LOTJISZ,X,O,O,O,X,X,O,O,X
LOTJIZS,X,O,O,X,O,X,O,O,X
LOTJSIZ,X,O,O,O,X,X,X,X,X
LOTJSZI,X,O,O,O,X,X,X,X,X
LOTJZIS,X,O,O,X,O,O,X,X,X
LOTJZSI,X,O,O,X,O,O,X,X,X
LOTSIJZ,X,O,O,O,X,X,X,X,X
LOTSIZJ,X,O,O,O,O,X,X,X,X
LOTSJIZ,X,O,O,O,X,X,X,X,X
LOTSJZI,X,O,O,O,X,X,X,X,X
LOTSZIJ,X,O,O,O,O,X,X,X,X
LOTSZJI,X,O,O,O,O,O,X,X,X
LOTZIJS,X,O,O,X,O,O,X,X,X
LOTZISJ,X,O,O,X,O,X,X,X,X
LOTZJIS,X,O,O,X,O,O,X,X,X
LOTZJSI,X,O,O,X,O,O,X,X,X
LOTZSIJ,X,O,O,X,O,X,X,X,X
LOTZSJI,X,O,O,X,O,O,X,X,X
LOITJSZ,X,O,O,O,X,X,O,O,X
LOITJZS,X,O,X,X,O,X,O,O,X
LOITSJZ,X,O,O,O,X,X,X,X,X
LOITSZJ,X,O,X,O,O,X,X,X,X
LOITZJS,X,O,X,X,O,X,X,X,X
LOITZSJ,X,O,X,X,O,X,X,X,X
LOIJTSZ,X,O,O,O,X,X,O,O,X
LOIJTZS,X,O,X,X,O,X,O,O,X
LOIJSTZ,X,O,O,O,X,X,O,X,X
LOIJSZT,X,O,O,O,X,X,X,X,X
LOIJZTS,X,X,O,X,O,X,X,O,X
LOIJZST,X,O,O,X,O,X,X,X,X
LOISTJZ,X,O,O,O,X,X,X,X,X
LOISTZJ,X,O,X,X,O,X,X,X,X
LOISJTZ,X,O,O,O,X,X,X,X,X
LOISJZT,X,O,O,O,X,X,X,X,X
LOISZTJ,X,X,O,X,X,X,X,X,X
LOISZJT,X,O,O,O,O,X,X,X,X
LOIZTJS,X,X,O,X,O,X,X,X,X
LOIZTSJ,X,X,O,X,O,X,X,X,X
LOIZJTS,X,X,O,X,O,O,X,X,X
LOIZJST,X,O,O,X,O,O,X,X,X
LOIZSTJ,X,X,O,X,X,X,X,X,X
LOIZSJT,X,O,O,X,O,X,X,X,X
LOJTISZ,X,O,O,O,X,X,X,X,X
LOJTIZS,X,O,O,X,O,X,X,X,X
LOJTSIZ,X,O,O,O,X,X,X,X,X
LOJTSZI,X,O,O,O,X,X,X,X,X
LOJTZIS,X,O,O,X,O,X,X,X,X
LOJTZSI,X,O,O,X,O,X,X,X,X
LOJITSZ,X,O,O,O,X,X,O,O,X
LOJITZS,X,O,X,X,O,X,O,O,X
LOJISTZ,X,O,O,O,X,X,O,X,X
LOJISZT,X,O,O,O,X,X,X,X,X
LOJIZTS,X,X,O,X,O,X,X,O,X
LOJIZST,X,O,O,X,O,X,X,X,X
LOJSTIZ,X,O,O,O,X,X,X,X,X
LOJSTZI,X,O,O,O,X,X,X,X,X
LOJSITZ,X,O,O,O,X,X,X,X,X
LOJSIZT,X,O,O,O,X,X,X,X,X
LOJSZTI,X,X,O,X,X,X,X,X,X
LOJSZIT,X,O,O,O,X,X,X,X,X
LOJZTIS,X,X,O,X,O,O,X,X,X
LOJZTSI,X,X,O,X,X,O,X,X,X
LOJZITS,X,X,O,X,O,O,X,X,X
LOJZIST,X,O,O,X,O,O,X,X,X
LOJZSTI,X,X,O,X,X,O,X,X,X
LOJZSIT,X,O,O,X,O,O,X,X,X
LOSTIJZ,X,O,O,O,X,X,X,X,X
LOSTIZJ,X,O,O,O,O,X,X,X,X
LOSTJIZ,X,O,O,O,X,X,X,X,X
LOSTJZI,X,O,O,O,X,X,X,X,X
LOSTZIJ,X,O,O,O,O,X,X,X,X
LOSTZJI,X,O,O,O,O,X,X,X,X
LOSITJZ,X,O,O,O,X,X,X,X,X
LOSITZJ,X,O,X,X,O,X,X,X,X
LOSIJTZ,X,O,O,O,X,X,X,X,X
LOSIJZT,X,O,O,O,X,X,X,X,X
LOSIZTJ,X,X,O,X,X,X,X,X,X
LOSIZJT,X,O,O,O,O,X,X,X,X
LOSJTIZ,X,O,O,O,X,X,X,X,X
LOSJTZI,X,O,O,O,X,X,X,X,X
LOSJITZ,X,O,O,O,X,X,X,X,X
LOSJIZT,X,O,O,O,X,X,X,X,X
LOSJZTI,X,X,O,X,X,X,X,X,X
LOSJZIT,X,O,O,O,X,X,X,X,X
LOSZTIJ,X,X,O,X,X,X,X,X,X
LOSZTJI,X,X,O,X,X,X,X,X,X
LOSZITJ,X,X,O,X,X,X,X,X,X
LOSZIJT,X,O,O,O,O,X,X,X,X
LOSZJTI,X,X,O,X,X,O,X,X,X
LOSZJIT,X,O,O,O,O,O,X,X,X
LOZTIJS,X,X,O,X,O,O,X,X,X
LOZTISJ,X,X,O,X,O,X,X,X,X
LOZTJIS,X,X,O,X,O,O,X,X,X
LOZTJSI,X,X,O,X,O,O,X,X,X
LOZTSIJ,X,X,O,X,O,X,X,X,X
LOZTSJI,X,X,O,X,O,O,X,X,X
LOZITJS,X,X,O,X,O,X,X,X,X
LOZITSJ,X,X,O,X,O,X,X,X,X
LOZIJTS,X,X,O,X,O,O,X,X,X
LOZIJST,X,O,O,X,O,O,X,X,X
LOZISTJ,X,X,O,X,X,X,X,X,X
LOZISJT,X,O,O,X,O,X,X,X,X
LOZJTIS,X,X,O,X,O,O,X,X,X
LOZJTSI,X,X,O,X,X,O,X,X,X
LOZJITS,X,X,O,X,O,O,X,X,X
LOZJIST,X,O,O,X,O,O,X,X,X
LOZJSTI,X,X,O,X,X,O,X,X,X
LOZJSIT,X,O,O,X,O,O,X,X,X
LOZSTIJ,X,X,O,X,X,X,X,X,X
LOZSTJI,X,X,O,X,X,X,X,X,X
LOZSITJ,X,X,O,X,X,X,X,X,X
LOZSIJT,X,O,O,X,O,X,X,X,X
LOZSJTI,X,X,O,X,X,O,X,X,X
LOZSJIT,X,O,O,X,O,O,X,X,X
JTILSZO,O,O,O,O,X,X,O,O,X
JTILSOZ,O,O,O,O,X,X,O,O,X
JTILZSO,O,O,O,X,O,X,O,O,X
JTILZOS,O,X,O,X,O,X,O,O,X
JTILOSZ,X,O,O,O,X,X,O,O,X
JTILOZS,X,O,X,X,O,X,O,O,X
JTISLZO,O,O,O,O,X,X,O,O,X
JTISLOZ,O,O,O,O,X,X,O,O,X
JTISZLO,O,O,O,O,X,X,X,X,X
JTISZOL,O,X,O,O,X,X,X,X,O
JTISOLZ,O,O,X,O,X,X,X,X,O
JTISOZL,O,X,X,O,X,X,X,X,O
JTIZLSO,O,O,O,X,O,X,O,O,X
JTIZLOS,O,X,O,X,O,X,O,O,X
JTIZSLO,O,O,O,O,O,X,X,X,X
JTIZSOL,O,X,O,O,X,X,X,X,X
JTIZOLS,O,X,X,X,O,X,X,X,X
JTIZOSL,O,X,O,O,X,X,X,X,X
JTIOLSZ,X,O,X,O,X,X,O,O,O
JTIOLZS,X,O,X,X,X,X,O,O,X
JTIOSLZ,O,O,X,O,X,X,X,X,O
JTIOSZL,O,O,X,O,X,X,X,X,O
JTIOZLS,O,O,X,X,X,X,X,X,X
JTIOZSL,O,O,X,O,X,X,X,X,X
JTLISZO,O,O,O,O,X,X,O,O,X
JTLISOZ,O,O,O,O,X,X,O,O,X
JTLIZSO,O,O,O,X,O,X,O,O,X
JTLIZOS,O,X,O,X,O,X,O,O,X
JTLIOSZ,X,O,O,O,X,X,O,O,X
JTLIOZS,X,O,O,X,O,X,O,O,X
JTLSIZO,O,O,O,O,X,X,O,O,X
JTLSIOZ,O,O,O,O,X,X,O,O,X
JTLSZIO,O,O,O,O,X,X,X,X,X
JTLSZOI,O,X,O,O,X,X,X,X,X
JTLSOIZ,O,O,O,O,X,X,X,X,X
JTLSOZI,O,X,O,O,X,X,X,X,X
JTLZISO,O,O,O,X,O,O,O,O,X
JTLZIOS,O,X,O,X,O,O,O,O,X
JTLZSIO,O,O,O,X,O,O,X,X,X
JTLZSOI,O,X,O,X,O,O,X,X,X
JTLZOIS,O,X,O,X,O,O,X,X,X
JTLZOSI,O,X,O,X,O,O,X,X,X
JTLOISZ,X,O,O,O,X,X,O,O,X
JTLOIZS,X,O,O,X,O,X,O,O,X
JTLOSIZ,X,O,O,O,X,X,X,X,X
JTLOSZI,X,O,O,O,X,X,X,X,X
JTLOZIS,X,O,O,X,O,O,X,X,X
JTLOZSI,X,O,O,X,O,O,X,X,X
JTSILZO,O,O,O,O,X,X,O,O,X
JTSILOZ,O,O,O,O,X,X,O,O,X
JTSIZLO,O,O,O,O,X,X,X,X,X
JTSIZOL,O,X,O,O,X,X,X,X,O
JTSIOLZ,O,O,X,O,X,X,X,X,O
JTSIOZL,O,X,X,O,X,X,X,X,O
JTSLIZO,O,O,O,O,X,X,O,O,X
JTSLIOZ,O,O,O,O,X,X,O,O,X
JTSLZIO,O,O,O,O,X,X,X,X,X
JTSLZOI,O,X,O,O,X,X,X,X,X
JTSLOIZ,O,O,O,O,X,X,X,X,X
JTSLOZI,O,X,O,O,X,X,X,X,X
JTSZILO,O,O,O,O,X,X,X,X,X
JTSZIOL,O,X,O,O,X,X,X,X,O
JTSZLIO,O,O,O,O,X,X,X,X,X
JTSZLOI,O,X,O,O,X,X,X,X,X
JTSZOIL,O,X,O,O,X,X,X,X,O
JTSZOLI,O,X,O,O,X,X,X,X,O
JTSOILZ,O,O,X,O,X,X,X,X,O
JTSOIZL,O,X,X,O,X,X,X,X,O
JTSOLIZ,O,O,O,O,X,X,X,X,O
JTSOLZI,O,X,O,O,X,X,X,X,O
JTSOZIL,O,X,O,O,X,X,X,X,O
JTSOZLI,O,X,O,O,X,X,X,X,O
JTZILSO,O,O,O,X,O,O,O,O,X
JTZILOS,O,X,O,X,O,O,O,O,X
JTZISLO,O,O,O,O,O,O,X,X,X
JTZISOL,O,X,O,O,X,O,X,X,X
JTZIOLS,O,X,O,X,O,O,X,X,X
JTZIOSL,O,X,O,O,X,O,X,X,X
JTZLISO,O,O,O,X,O,O,O,O,X
JTZLIOS,O,X,O,X,O,O,O,O,X
JTZLSIO,O,O,O,X,O,O,X,X,X
JTZLSOI,O,X,O,X,O,O,X,X,X
JTZLOIS,O,X,O,X,O,O,X,X,X
JTZLOSI,O,X,O,X,O,O,X,X,X
JTZSILO,O,O,O,O,O,O,X,X,X
JTZSIOL,O,X,O,O,X,O,X,X,X
JTZSLIO,O,O,O,O,O,O,X,X,X
JTZSLOI,O,X,O,O,O,O,X,X,X
JTZSOIL,O,X,O,O,X,O,X,X,X
JTZSOLI,O,X,O,O,X,O,X,X,X
JTZOILS,O,X,O,X,O,O,X,X,X
JTZOISL,O,X,O,O,X,O,X,X,X
JTZOLIS,O,X,O,X,O,O,X,X,X
JTZOLSI,O,X,O,X,O,O,X,X,X
JTZOSIL,O,X,O,O,X,O,X,X,X
JTZOSLI,O,X,O,O,X,O,X,X,X
JTOILSZ,X,O,O,O,X,X,O,O,O
JTOILZS,X,O,O,X,X,X,O,O,X
JTOISLZ,O,O,O,O,X,X,X,X,O
JTOISZL,O,O,O,O,X,X,X,X,O
JTOIZLS,O,O,O,X,X,X,X,X,X
JTOIZSL,O,O,O,O,X,X,X,X,X
JTOLISZ,X,O,O,O,X,X,O,O,O
JTOLIZS,X,O,O,X,X,X,O,O,X
JTOLSIZ,X,O,O,O,X,X,X,X,O
JTOLSZI,X,O,O,O,X,X,X,X,O
JTOLZIS,X,O,O,X,X,O,X,X,X
JTOLZSI,X,O,O,X,X,O,X,X,X
JTOSILZ,O,O,O,O,X,X,X,X,O
JTOSIZL,O,O,O,O,X,X,X,X,O
JTOSLIZ,O,O,O,O,X,X,X,X,O
JTOSLZI,O,O,O,O,X,X,X,X,O
JTOSZIL,O,O,O,O,X,X,X,X,O
JTOSZLI,O,O,O,O,X,X,X,X,O
JTOZILS,O,O,O,X,X,O,X,X,X
JTOZISL,O,O,O,O,X,O,X,X,X
JTOZLIS,O,O,O,X,X,O,X,X,X
JTOZLSI,O,O,O,X,X,O,X,X,X
JTOZSIL,O,O,O,O,X,O,X,X,X
JTOZSLI,O,O,O,O,X,O,X,X,X
JITLSZO,O,O,O,O,X,X,O,O,X
JITLSOZ,O,O,O,O,X,X,O,O,X
JITLZSO,O,O,O,X,O,X,O,O,X
JITLZOS,O,X,O,X,O,X,O,O,X
JITLOSZ,X,O,O,O,X,X,O,O,X
JITLOZS,X,O,X,X,O,X,O,O,X
JITSLZO,O,O,O,O,X,X,O,O,X
JITSLOZ,O,O,O,O,X,X,O,O,X
JITSZLO,O,O,O,O,X,X,X,X,X
JITSZOL,O,X,O,O,X,X,X,X,O
JITSOLZ,O,O,X,O,X,X,X,X,O
JITSOZL,O,X,X,O,X,X,X,X,O
JITZLSO,O,O,O,X,O,X,O,O,X
JITZLOS,O,X,O,X,O,X,O,O,X
JITZSLO,O,O,O,O,O,X,X,X,X
JITZSOL,O,X,O,O,X,X,X,X,X
JITZOLS,O,X,X,X,O,X,X,X,X
JITZOSL,O,X,O,O,X,X,X,X,X
JITOLSZ,X,O,X,O,X,X,O,O,O
JITOLZS,X,O,X,X,X,X,O,O,X
JITOSLZ,O,O,X,O,X,X,X,X,O
JITOSZL,O,O,X,O,X,X,X,X,O
JITOZLS,O,O,X,X,X,X,X,X,X
JITOZSL,O,O,X,O,X,X,X,X,X
JILTSZO,O,O,O,O,X,X,O,O,X
JILTSOZ,O,O,X,O,X,X,O,O,X
JILTZSO,O,O,X,X,O,X,O,O,X
JILTZOS,O,X,X,X,O,X,O,O,X
JILTOSZ,X,O,X,O,X,X,O,O,X
JILTOZS,X,X,X,X,O,X,O,O,X
JILSTZO,O,O,O,X,X,X,O,O,X
JILSTOZ,X,O,X,O,X,X,O,O,X
JILSZTO,O,O,O,X,X,X,O,O,X
JILSZOT,O,O,O,O,X,X,X,X,X
JILSOTZ,X,X,X,O,X,X,O,X,X
JILSOZT,O,O,O,O,X,X,X,X,X
JILZTSO,O,X,O,X,X,X,O,O,X
JILZTOS,O,X,X,X,O,X,O,O,X
JILZSTO,O,O,O,X,X,X,O,O,X
JILZSOT,O,O,O,X,O,X,X,X,X
JILZOTS,O,X,X,X,O,X,X,O,X
JILZOST,O,X,O,X,O,X,X,X,X
JILOTSZ,X,O,X,O,X,X,O,O,X
JILOTZS,X,X,X,X,O,X,O,O,X
JILOSTZ,X,O,X,O,X,X,O,X,X
JILOSZT,X,O,O,O,X,X,X,X,X
JILOZTS,X,X,X,X,O,X,X,O,X
JILOZST,X,O,X,X,O,X,X,X,X
JISTLZO,O,O,O,O,X,X,X,X,X
JISTLOZ,O,O,O,O,X,X,X,X,X
JISTZLO,O,O,O,O,X,X,X,X,X
JISTZOL,O,X,O,O,X,X,X,X,O
JISTOLZ,O,O,X,O,X,X,X,X,O
JISTOZL,O,X,X,O,X,X,X,X,O
JISLTZO,O,O,O,X,X,X,O,O,X
JISLTOZ,X,O,X,O,X,X,O,O,X
JISLZTO,O,O,O,X,X,X,O,O,X
JISLZOT,O,O,O,O,X,X,X,X,X
JISLOTZ,X,X,X,O,X,X,O,X,X
JISLOZT,O,O,O,O,X,X,X,X,X
JISZTLO,O,O,O,X,X,X,X,X,X
JISZTOL,O,X,X,X,X,X,X,X,O
JISZLTO,O,O,O,X,X,X,X,X,X
JISZLOT,O,O,O,O,X,X,X,X,X
JISZOTL,O,X,X,X,X,X,X,X,X
JISZOLT,O,X,O,O,X,X,X,X,X
JISOTLZ,X,O,X,O,X,X,X,X,X
JISOTZL,X,X,X,O,X,X,X,X,X
JISOLTZ,X,X,X,O,X,X,X,X,X
JISOLZT,O,O,X,O,X,X,X,X,X
JISOZTL,O,X,X,X,X,X,X,X,X
JISOZLT,O,X,X,O,X,X,X,X,X
JIZTLSO,O,O,X,X,X,X,X,X,X
JIZTLOS,O,X,X,X,O,X,X,X,X
JIZTSLO,O,O,O,O,X,X,X,X,X
JIZTSOL,O,X,X,O,X,X,X,X,X
JIZTOLS,O,X,X,X,X,X,X,X,X
JIZTOSL,O,X,X,O,X,X,X,X,X
JIZLTSO,O,X,O,X,X,X,O,O,X
JIZLTOS,O,X,X,X,O,X,O,O,X
JIZLSTO,O,O,O,X,X,X,O,O,X
JIZLSOT,O,O,O,X,O,X,X,X,X
JIZLOTS,O,X,X,X,O,X,X,O,X
JIZLOST,O,X,O,X,O,X,X,X,X
JIZSTLO,O,O,O,X,X,X,X,X,X
JIZSTOL,O,X,X,X,X,X,X,X,X
JIZSLTO,O,O,O,X,X,X,X,X,X
JIZSLOT,O,O,O,O,O,X,X,X,X
JIZSOTL,O,X,X,X,X,X,X,X,X
JIZSOLT,O,X,O,O,X,X,X,X,X
JIZOTLS,O,X,X,X,X,X,X,X,X
JIZOTSL,O,X,X,O,X,X,X,X,X
JIZOLTS,O,X,X,X,O,X,X,X,X
JIZOLST,O,X,X,X,O,X,X,X,X
JIZOSTL,O,X,X,X,X,X,X,X,X
JIZOSLT,O,X,O,O,X,X,X,X,X
JIOTLSZ,X,O,X,O,X,X,X,X,X
JIOTLZS,X,O,X,X,X,X,X,X,X
JIOTSLZ,O,O,X,O,X,X,X,X,X
JIOTSZL,O,O,X,O,X,X,X,X,X
JIOTZLS,O,O,X,X,X,X,X,X,X
JIOTZSL,O,O,X,O,X,X,X,X,X
JIOLTSZ,X,O,X,O,X,X,O,O,X
JIOLTZS,X,O,X,X,X,X,O,O,X
JIOLSTZ,X,O,X,O,X,X,O,X,X
JIOLSZT,X,O,X,O,X,X,X,X,X
JIOLZTS,X,X,X,X,X,X,X,O,X
JIOLZST,X,O,X,X,X,X,X,X,X
JIOSTLZ,X,O,X,O,X,X,X,X,X
JIOSTZL,X,O,X,O,X,X,X,X,X
JIOSLTZ,X,O,X,O,X,X,X,X,X
JIOSLZT,O,O,X,O,X,X,X,X,X
JIOSZTL,O,O,X,X,X,X,X,X,X
JIOSZLT,O,O,X,O,X,X,X,X,X
JIOZTLS,O,O,X,X,X,X,X,X,X
JIOZTSL,O,O,X,O,X,X,X,X,X
JIOZLTS,O,X,X,X,X,X,X,X,X
JIOZLST,O,O,X,X,X,X,X,X,X
JIOZSTL,O,O,X,X,X,X,X,X,X
JIOZSLT,O,O,X,O,X,X,X,X,X
JLTISZO,O,O,O,O,X,X,O,O,X
JLTISOZ,O,O,O,O,X,X,O,O,X
JLTIZSO,O,O,O,X,O,X,O,O,X
JLTIZOS,O,X,O,X,O,X,O,O,X
JLTIOSZ,X,O,O,O,X,X,O,O,X
JLTIOZS,X,X,X,X,O,X,O,O,X
JLTSIZO,O,O,O,O,X,X,O,O,X
JLTSIOZ,O,O,O,O,X,X,O,O,X
JLTSZIO,O,O,O,O,X,X,X,X,X
JLTSZOI,O,X,O,O,X,X,X,X,X
JLTSOIZ,O,O,O,O,X,X,X,X,X
JLTSOZI,O,X,O,O,X,X,X,X,X
JLTZISO,O,O,O,X,O,X,O,O,X
JLTZIOS,O,X,O,X,O,X,O,O,X
JLTZSIO,O,O,O,X,O,X,X,X,X
JLTZSOI,O,X,O,X,O,X,X,X,X
JLTZOIS,O,X,O,X,O,X,X,X,X
JLTZOSI,O,X,O,X,O,X,X,X,X
JLTOISZ,X,O,O,O,X,X,O,O,X
JLTOIZS,X,X,X,X,O,X,O,O,X
JLTOSIZ,X,O,O,O,X,X,X,X,X
JLTOSZI,X,X,O,O,X,X,X,X,X
JLTOZIS,X,X,O,X,O,X,X,X,X
JLTOZSI,X,X,O,X,O,X,X,X,X
JLITSZO,O,O,O,O,X,X,O,O,X
JLITSOZ,O,O,X,O,X,X,O,O,X
JLITZSO,O,O,X,X,O,X,O,O,X
JLITZOS,O,X,X,X,O,X,O,O,X
JLITOSZ,X,O,X,O,X,X,O,O,X
JLITOZS,X,X,X,X,O,X,O,O,X
JLISTZO,O,O,O,X,X,X,O,O,X
JLISTOZ,X,O,X,O,X,X,O,O,X
JLISZTO,O,O,O,X,X,X,O,O,X
JLISZOT,O,O,O,O,X,X,X,X,X
JLISOTZ,X,X,X,O,X,X,O,X,X
JLISOZT,O,O,O,O,X,X,X,X,X
JLIZTSO,O,X,O,X,X,X,O,O,X
JLIZTOS,O,X,X,X,O,X,O,O,X
JLIZSTO,O,O,O,X,X,X,O,O,X
JLIZSOT,O,O,O,X,O,X,X,X,X
JLIZOTS,O,X,X,X,O,X,X,O,X
JLIZOST,O,X,O,X,O,X,X,X,X
JLIOTSZ,X,O,O,O,X,X,O,O,X
JLIOTZS,X,X,X,X,O,X,O,O,X
JLIOSTZ,X,O,O,O,X,X,O,X,X
JLIOSZT,X,O,O,O,X,X,X,X,X
JLIOZTS,X,X,X,X,O,X,X,O,X
JLIOZST,X,O,O,X,O,X,X,X,X
JLSTIZO,O,O,O,O,X,X,X,X,X
JLSTIOZ,O,O,O,O,X,X,X,X,X
JLSTZIO,O,O,O,O,X,X,X,X,X
JLSTZOI,O,X,O,O,X,X,X,X,X
JLSTOIZ,O,O,O,O,X,X,X,X,X
JLSTOZI,O,X,O,O,X,X,X,X,X
JLSITZO,O,O,O,X,X,X,O,O,X
JLSITOZ,X,O,X,O,X,X,O,O,X
JLSIZTO,O,O,O,X,X,X,O,O,X
JLSIZOT,O,O,O,O,X,X,X,X,X
JLSIOTZ,X,X,X,O,X,X,O,X,X
JLSIOZT,O,O,O,O,X,X,X,X,X
JLSZTIO,O,X,O,X,X,X,X,X,X
JLSZTOI,O,X,X,X,X,X,X,X,X
JLSZITO,O,O,O,X,X,X,X,X,X
JLSZIOT,O,O,O,O,X,X,X,X,X
JLSZOTI,O,X,X,X,X,X,X,X,X
JLSZOIT,O,X,O,O,X,X,X,X,X
JLSOTIZ,X,X,X,O,X,X,X,X,X
JLSOTZI,X,X,X,O,X,X,X,X,X
JLSOITZ,X,X,X,O,X,X,X,X,X
JLSOIZT,O,O,O,O,X,X,X,X,X
JLSOZTI,O,X,X,X,X,X,X,X,X
JLSOZIT,O,X,O,O,X,X,X,X,X
JLZTISO,O,X,O,X,X,X,X,X,X
JLZTIOS,O,X,X,X,O,O,X,X,X
JLZTSIO,O,X,O,X,X,X,X,X,X
JLZTSOI,O,X,X,X,X,X,X,X,X
JLZTOIS,O,X,X,X,O,O,X,X,X
JLZTOSI,O,X,X,X,X,O,X,X,X
JLZITSO,O,X,O,X,X,X,O,O,X
JLZITOS,O,X,X,X,O,O,O,O,X
JLZISTO,O,O,O,X,X,X,O,O,X
JLZISOT,O,O,O,X,O,O,X,X,X
JLZIOTS,O,X,O,X,O,O,X,O,X
JLZIOST,O,X,O,X,O,O,X,X,X
JLZSTIO,O,X,O,X,X,X,X,X,X
JLZSTOI,O,X,X,X,X,X,X,X,X
JLZSITO,O,O,O,X,X,X,X,X,X
JLZSIOT,O,O,O,X,O,O,X,X,X
JLZSOTI,O,X,X,X,X,O,X,X,X
JLZSOIT,O,X,O,X,O,O,X,X,X
JLZOTIS,O,X,O,X,O,O,X,X,X
JLZOTSI,O,X,O,X,X,O,X,X,X
JLZOITS,O,X,O,X,O,O,X,X,X
JLZOIST,O,X,O,X,O,O,X,X,X
JLZOSTI,O,X,O,X,X,O,X,X,X
JLZOSIT,O,X,O,X,O,O,X,X,X
JLOTISZ,X,O,O,O,X,X,X,X,X
JLOTIZS,X,X,X,X,O,X,X,X,X
JLOTSIZ,X,O,O,O,X,X,X,X,X
JLOTSZI,X,X,O,O,X,X,X,X,X
JLOTZIS,X,X,O,X,O,X,X,X,X
JLOTZSI,X,X,O,X,O,X,X,X,X
JLOITSZ,X,O,O,O,X,X,O,O,X
JLOITZS,X,X,X,X,O,X,O,O,X
JLOISTZ,X,O,O,O,X,X,O,X,X
JLOISZT,X,O,O,O,X,X,X,X,X
JLOIZTS,X,X,O,X,O,X,X,O,X
JLOIZST,X,O,O,X,O,X,X,X,X
JLOSTIZ,X,O,O,O,X,X,X,X,X
JLOSTZI,X,X,O,O,X,X,X,X,X
JLOSITZ,X,O,O,O,X,X,X,X,X
JLOSIZT,X,O,O,O,X,X,X,X,X
JLOSZTI,X,X,O,X,X,X,X,X,X
JLOSZIT,X,O,O,O,X,X,X,X,X
JLOZTIS,X,X,O,X,O,O,X,X,X
JLOZTSI,X,X,O,X,X,O,X,X,X
JLOZITS,X,X,O,X,O,O,X,X,X
JLOZIST,X,O,O,X,O,O,X,X,X
JLOZSTI,X,X,O,X,X,O,X,X,X
JLOZSIT,X,O,O,X,O,O,X,X,X
JSTILZO,O,O,O,O,X,X,X,X,X
JSTILOZ,O,O,O,O,X,X,X,X,X
JSTIZLO,O,O,O,O,X,X,X,X,X
JSTIZOL,O,X,O,O,X,X,X,X,O
JSTIOLZ,O,O,X,O,X,X,X,X,O
JSTIOZL,O,X,X,O,X,X,X,X,O
JSTLIZO,O,O,O,O,X,X,X,X,X
JSTLIOZ,O,O,O,O,X,X,X,X,X
JSTLZIO,O,O,O,O,X,X,X,X,X
JSTLZOI,O,X,O,O,X,X,X,X,X
JSTLOIZ,O,O,O,O,X,X,X,X,X
JSTLOZI,O,X,O,O,X,X,X,X,X
JSTZILO,O,O,O,O,X,X,X,X,X
JSTZIOL,O,X,O,O,X,X,X,X,O
JSTZLIO,O,O,O,O,X,X,X,X,X
JSTZLOI,O,X,O,O,X,X,X,X,X
JSTZOIL,O,X,O,O,X,X,X,X,O
JSTZOLI,O,X,O,O,X,X,X,X,O
JSTOILZ,O,O,X,O,X,X,X,X,O
JSTOIZL,O,X,X,O,X,X,X,X,O
