sequence,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahBRdBumBz?iBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFTdBejB6lB0?hBNrBXsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFNhBRdBXiB8?nBWrBywB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahB5hBTdBe?jBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFxcBdjBihBW?rBcsB3rB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFxcBdjBmhBf?rBSsB0rB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhF8hBajBmgB9?nBfrBzrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFXdBdjB6lB2?mBcsBTrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFUdBajBWrBx?mBXsBNrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFzdBihBRnBG?mBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahBzdBRnBu?mBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFmdB0iBRmB6?mBdrBXsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFdiBzdB0gBS?rB3nB2wB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFRdB2nBCmB3?nB0rBNrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFNhBmiB5mBi?iBfrBcsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFXhBRnB8nBe?sBdrBCsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je2AJvhFzdB9mB3nBU?rBZnBCrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFRcBThBynBu?nBdsBUrB
ZTOIJSL,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZTOISLJ,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZTOISJL,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZTOLIJS,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZTOLISJ,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZTOLJIS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZTOLJSI,O,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X
ZTOLSIJ,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O
ZTOLSJI,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O
ZTOJILS,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZTOJISL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZTOJLIS,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZTOJLSI,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
ZTOJSIL,O,O,O,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X
ZTOJSLI,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
ZTOSILJ,O,X,O,O,X,O,O,O,X,X,X,O,X,X,X,X,O,X
ZTOSIJL,O,X,O,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X
ZTOSLIJ,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,O
ZTOSLJI,O,X,X,O,X,O,O,O,X,X,X,X,X,X,O,X,O,O
ZTOSJIL,O,X,O,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X
ZTOSJLI,O,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
ZITLJSO,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZITLJOS,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZITLSJO,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZITLSOJ,X,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X
ZITLOJS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZITLOSJ,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
ZITJLSO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZITJLOS,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZITJSLO,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ZITJSOL,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ZITJOLS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZITJOSL,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZITSLJO,O,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,O,X
ZITSLOJ,O,X,O,O,X,X,X,O,X,O,O,X,O,X,X,X,O,X
ZITSJLO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
ZITSJOL,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ZITSOLJ,O,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X
ZITSOJL,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ZITOLJS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZITOLSJ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZITOJLS,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZITOJSL,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZITOSLJ,O,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZITOSJL,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZILTJSO,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZILTJOS,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZILTSJO,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZILTSOJ,X,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X
ZILTOJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZILTOSJ,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
ZILJTSO,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZILJTOS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZILJSTO,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
ZILJSOT,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ZILJOTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZILJOST,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ZILSTJO,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X
ZILSTOJ,X,X,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X
ZILSJTO,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X
ZILSJOT,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ZILSOTJ,X,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O
ZILSOJT,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ZILOTJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZILOTSJ,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
ZILOJTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZILOJST,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
ZILOSTJ,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,O
ZILOSJT,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZIJTLSO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZIJTLOS,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZIJTSLO,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ZIJTSOL,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ZIJTOLS,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZIJTOSL,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZIJLTSO,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZIJLTOS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZIJLSTO,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
ZIJLSOT,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ZIJLOTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZIJLOST,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ZIJSTLO,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X
ZIJSTOL,X,X,O,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X
ZIJSLTO,X,X,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X
ZIJSLOT,X,X,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X
ZIJSOTL,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X
ZIJSOLT,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X
ZIJOTLS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZIJOTSL,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZIJOLTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZIJOLST,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ZIJOSTL,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
ZIJOSLT,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X
ZISTLJO,O,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X
ZISTLOJ,O,X,O,O,X,X,X,X,X,O,O,O,O,X,X,X,O,X
ZISTJLO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
ZISTJOL,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X
ZISTOLJ,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X
ZISTOJL,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X
ZISLTJO,O,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X
ZISLTOJ,O,X,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X
ZISLJTO,X,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X
ZISLJOT,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X
ZISLOTJ,O,X,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X,O
ZISLOJT,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X
ZISJTLO,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
ZISJTOL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X
ZISJLTO,X,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X
ZISJLOT,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X
ZISJOTL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X
ZISJOLT,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X
ZISOTLJ,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X
ZISOTJL,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X
ZISOLTJ,O,X,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X,O
ZISOLJT,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X
ZISOJTL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X
ZISOJLT,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X
ZIOTLJS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZIOTLSJ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZIOTJLS,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZIOTJSL,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZIOTSLJ,O,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZIOTSJL,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZIOLTJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZIOLTSJ,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
ZIOLJTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZIOLJST,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
ZIOLSTJ,O,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,O
ZIOLSJT,O,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZIOJTLS,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZIOJTSL,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZIOJLTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZIOJLST,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
ZIOJSTL,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
ZIOJSLT,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X
ZIOSTLJ,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ZIOSTJL,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
ZIOSLTJ,O,X,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X,O
ZIOSLJT,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ZIOSJTL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
ZIOSJLT,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ZLTIJSO,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZLTIJOS,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLTISJO,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZLTISOJ,X,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X
ZLTIOJS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLTIOSJ,X,X,X,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X
ZLTJISO,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZLTJIOS,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLTJSIO,O,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,O,X
ZLTJSOI,O,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,O,X
ZLTJOIS,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLTJOSI,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZLTSIJO,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X
ZLTSIOJ,O,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,O,X
ZLTSJIO,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X
ZLTSJOI,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X
ZLTSOIJ,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,O
ZLTSOJI,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,O
ZLTOIJS,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLTOISJ,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
ZLTOJIS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLTOJSI,O,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X
ZLTOSIJ,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O
ZLTOSJI,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O
ZLITJSO,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZLITJOS,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLITSJO,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZLITSOJ,X,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X
ZLITOJS,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLITOSJ,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
ZLIJTSO,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZLIJTOS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLIJSTO,X,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
ZLIJSOT,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ZLIJOTS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLIJOST,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ZLISTJO,X,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X
ZLISTOJ,X,O,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X
ZLISJTO,X,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X
ZLISJOT,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ZLISOTJ,X,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O
ZLISOJT,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ZLIOTJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLIOTSJ,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
ZLIOJTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLIOJST,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
ZLIOSTJ,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,O
ZLIOSJT,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZLJTISO,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZLJTIOS,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLJTSIO,X,O,O,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X
ZLJTSOI,X,O,O,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X
ZLJTOIS,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLJTOSI,X,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZLJITSO,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZLJITOS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLJISTO,X,O,O,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
ZLJISOT,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
ZLJIOTS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLJIOST,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
ZLJSTIO,X,O,O,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X
ZLJSTOI,X,O,O,O,O,X,X,O,X,X,X,X,O,O,O,X,O,X
ZLJSITO,X,O,O,O,O,X,X,O,O,X,X,O,O,O,X,X,X,X
ZLJSIOT,X,O,O,X,O,X,X,X,O,O,X,O,X,O,X,X,X,X
ZLJSOTI,X,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,O,O
ZLJSOIT,X,O,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
ZLJOTIS,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLJOTSI,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZLJOITS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLJOIST,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
ZLJOSTI,X,O,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,O
ZLJOSIT,X,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X
ZLSTIJO,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,O,X
ZLSTIOJ,O,O,O,O,X,O,O,O,X,O,O,X,O,X,X,X,O,X
ZLSTJIO,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X
ZLSTJOI,O,O,O,O,X,O,O,O,X,X,X,X,O,X,O,X,O,X
ZLSTOIJ,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,O
ZLSTOJI,O,O,O,O,X,O,O,O,X,X,X,X,O,X,O,X,O,O
ZLSITJO,O,O,O,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
ZLSITOJ,O,O,O,O,X,O,X,O,X,O,O,O,O,X,X,X,X,X
ZLSIJTO,X,O,O,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
ZLSIJOT,X,O,O,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X
ZLSIOTJ,O,X,O,O,X,O,X,X,X,O,O,O,O,X,X,X,X,O
ZLSIOJT,O,X,O,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X
ZLSJTIO,O,O,O,O,X,O,O,O,X,X,X,X,O,O,X,X,O,X
ZLSJTOI,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,X,O,X
ZLSJITO,X,O,O,O,X,O,X,O,O,X,O,O,O,O,X,X,X,X
ZLSJIOT,X,O,O,X,X,O,X,X,O,O,O,O,X,O,X,X,X,X
ZLSJOTI,O,O,O,O,X,O,O,X,X,X,X,X,O,O,O,X,O,O
ZLSJOIT,O,O,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
ZLSOTIJ,O,X,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,O
ZLSOTJI,O,X,O,O,X,O,O,O,X,X,X,X,O,X,O,X,O,O
ZLSOITJ,O,X,O,O,X,O,X,O,X,O,O,O,O,X,X,X,X,O
ZLSOIJT,O,X,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X
ZLSOJTI,O,X,O,O,X,O,O,O,X,X,X,X,O,O,O,X,O,O
ZLSOJIT,O,X,O,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X
ZLOTIJS,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLOTISJ,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
ZLOTJIS,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLOTJSI,O,X,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X
ZLOTSIJ,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O
ZLOTSJI,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O
ZLOITJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLOITSJ,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
ZLOIJTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLOIJST,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
ZLOISTJ,O,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,O
ZLOISJT,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZLOJTIS,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLOJTSI,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZLOJITS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLOJIST,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
ZLOJSTI,X,X,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,O
ZLOJSIT,X,X,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X
ZLOSTIJ,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O
ZLOSTJI,O,X,O,X,X,O,O,O,X,X,X,X,O,X,O,X,X,O
ZLOSITJ,O,X,O,X,X,O,X,O,X,O,X,O,O,X,X,X,X,O
ZLOSIJT,O,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
ZLOSJTI,O,X,O,X,X,O,O,O,X,X,X,X,O,O,O,X,X,O
ZLOSJIT,O,X,O,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X
ZJTILSO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTILOS,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTISLO,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ZJTISOL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ZJTIOLS,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTIOSL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTLISO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTLIOS,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTLSIO,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X
ZJTLSOI,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X
ZJTLOIS,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTLOSI,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
ZJTSILO,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X
ZJTSIOL,O,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X
ZJTSLIO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ZJTSLOI,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X
ZJTSOIL,O,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X
ZJTSOLI,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X
ZJTOILS,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTOISL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTOLIS,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTOLSI,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
ZJTOSIL,O,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X
ZJTOSLI,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X
ZJITLSO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJITLOS,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJITSLO,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ZJITSOL,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ZJITOLS,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJITOSL,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
