sequence,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFXcBFiB6rB0nBzq?B2xB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFXcBFiB8qB+rBTn?ByxB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFciBFhBfsBimBWw?BzsB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFTdBFhBUnBGrByx?BXrB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFFhBXiB6rB0nBzq?B2xB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFFhBXiB0nBCrB2x?BTrB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFXcBFiBTmBWwBis?B0sB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFUhBFiBXmBOsBSw?BzsB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFXcBTdBcmBVsBWw?ByxB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFFhBXiB8qB+rBTn?ByxB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFlcBciBamBfsBWw?BzsB,v115@7gE8EeF8CeF8FeD8FeA8Jex6IvhFVhBXiB8qB+rBTn?ByxB
IZLTOJS,X,X,X,O,X,X,X,O,O,X,X,X
IZLTOSJ,X,X,X,O,X,X,X,O,O,X,X,O
IZLJTSO,O,O,O,O,X,O,X,O,O,X,X,O
IZLJTOS,X,O,X,O,X,X,X,O,O,X,X,X
IZLJSTO,O,O,X,O,X,O,X,X,X,X,O,O
IZLJSOT,X,O,X,O,X,X,X,X,X,X,O,X
IZLJOTS,X,O,X,O,X,X,O,X,O,X,X,X
IZLJOST,X,O,X,O,X,X,O,X,X,X,X,X
IZLSTJO,O,O,O,X,X,O,X,O,X,O,O,O
IZLSTOJ,X,X,O,O,X,X,X,O,X,O,O,O
IZLSJTO,O,O,X,O,X,X,X,X,X,X,O,O
IZLSJOT,X,O,X,O,X,X,X,X,X,X,X,X
IZLSOTJ,X,X,X,O,X,X,X,X,X,X,O,O
IZLSOJT,X,O,X,O,X,X,X,X,X,X,X,X
IZLOTJS,X,X,O,O,X,X,X,O,O,X,X,X
IZLOTSJ,X,X,O,O,X,X,X,O,O,X,O,O
IZLOJTS,X,O,O,O,X,X,X,X,O,X,X,X
IZLOJST,X,O,X,O,X,X,X,X,X,X,O,X
IZLOSTJ,X,X,O,O,X,X,X,X,X,X,O,O
IZLOSJT,X,O,X,O,X,X,X,X,X,X,O,X
IZJTLSO,X,O,O,X,X,X,X,O,O,X,X,X
IZJTLOS,X,O,X,X,X,X,X,O,O,X,X,X
IZJTSLO,X,O,O,X,O,O,X,O,O,X,O,O
IZJTSOL,X,O,O,X,O,O,X,X,O,X,X,O
IZJTOLS,X,X,X,X,X,X,X,O,O,X,X,X
IZJTOSL,X,O,O,X,X,X,X,O,O,X,X,X
IZJLTSO,O,O,O,O,X,O,X,O,O,X,X,O
IZJLTOS,X,O,X,O,X,X,X,O,O,X,X,X
IZJLSTO,O,O,X,O,X,O,X,X,X,X,O,O
IZJLSOT,X,O,X,O,X,X,X,X,X,X,O,X
IZJLOTS,X,O,X,O,X,X,O,X,O,X,X,X
IZJLOST,X,O,X,O,X,X,O,X,X,X,X,X
IZJSTLO,X,O,O,X,O,O,X,X,X,X,O,O
IZJSTOL,X,O,O,X,O,O,X,X,X,X,O,O
IZJSLTO,X,O,O,X,X,X,X,X,X,X,O,O
IZJSLOT,X,O,X,X,X,X,X,X,X,X,X,X
IZJSOTL,X,O,O,X,X,X,X,X,X,X,O,X
IZJSOLT,X,O,X,X,X,X,X,X,X,X,X,X
IZJOTLS,X,X,O,X,X,X,X,X,O,X,X,X
IZJOTSL,X,O,O,X,O,X,O,X,O,X,O,X
IZJOLTS,O,O,O,X,X,X,O,X,O,X,X,X
IZJOLST,O,O,X,X,X,X,O,X,X,X,X,X
IZJOSTL,X,O,O,X,O,X,O,X,X,X,O,X
IZJOSLT,X,O,X,X,X,X,O,X,X,X,X,X
IZSTLJO,X,O,O,X,O,O,X,O,X,O,O,O
IZSTLOJ,X,X,O,X,X,X,X,O,X,O,O,O
IZSTJLO,X,O,O,X,O,O,X,O,X,O,O,O
IZSTJOL,X,O,O,X,O,O,X,X,X,O,X,O
IZSTOLJ,X,X,O,X,O,X,X,O,X,O,O,O
IZSTOJL,X,X,X,X,O,X,X,O,X,O,X,O
IZSLTJO,O,O,O,X,X,X,X,O,X,X,O,O
IZSLTOJ,X,X,O,X,X,X,X,O,X,X,O,O
IZSLJTO,O,O,X,X,X,X,X,X,X,X,O,O
IZSLJOT,X,O,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,X,X,X,X,X,X,X,X,X,O,O
IZSLOJT,X,O,X,X,X,X,X,X,X,X,X,X
IZSJTLO,X,O,O,X,O,O,X,X,X,X,O,O
IZSJTOL,X,O,O,X,O,O,X,X,X,X,X,O
IZSJLTO,X,O,X,X,X,X,X,X,X,X,X,O
IZSJLOT,X,O,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,O,X,X,X,X,X,X,X,X,X,X
IZSJOLT,X,O,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,O,X,X,X,X,X,X,X,O,O
IZSOTJL,X,X,O,X,X,X,X,X,X,X,O,O
IZSOLTJ,X,X,O,X,X,X,X,X,X,X,O,O
IZSOLJT,X,O,X,X,X,X,X,X,X,X,X,X
IZSOJTL,X,O,O,X,X,X,X,X,X,X,O,X
IZSOJLT,X,O,X,X,X,X,X,X,X,X,X,X
IZOTLJS,X,X,O,O,X,X,X,O,X,X,X,X
IZOTLSJ,X,X,O,O,X,X,X,O,X,X,O,X
IZOTJLS,X,X,O,X,X,X,X,O,X,X,X,X
IZOTJSL,X,X,O,X,O,X,X,O,X,X,O,X
IZOTSLJ,X,X,O,X,O,X,X,O,X,X,O,O
IZOTSJL,X,X,O,X,O,X,X,O,X,X,O,O
IZOLTJS,X,X,O,O,X,X,X,O,O,X,X,X
IZOLTSJ,O,X,O,O,X,X,X,O,O,X,O,O
IZOLJTS,O,O,O,O,X,X,X,O,O,X,X,X
IZOLJST,O,O,X,O,X,X,X,X,X,X,O,X
IZOLSTJ,O,X,O,O,X,X,X,O,X,X,O,O
IZOLSJT,O,O,X,O,X,X,X,X,X,X,O,X
IZOJTLS,X,X,O,X,X,X,X,O,O,X,X,X
IZOJTSL,X,O,O,X,O,X,X,O,O,X,O,X
IZOJLTS,O,O,O,X,X,X,X,O,O,X,X,X
IZOJLST,O,O,X,X,X,X,X,X,X,X,O,X
IZOJSTL,X,O,O,X,O,X,X,X,X,X,O,X
IZOJSLT,X,O,O,X,X,X,X,X,X,X,O,X
IZOSTLJ,X,X,O,X,O,X,X,O,X,X,O,O
IZOSTJL,X,X,O,X,O,X,X,O,X,X,O,O
IZOSLTJ,O,X,O,X,X,X,X,O,X,X,O,O
IZOSLJT,O,O,X,X,X,X,X,X,X,X,O,X
IZOSJTL,X,O,O,X,X,X,X,X,X,X,O,X
IZOSJLT,X,O,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,X,X,X,O,X,X,X,O,X,O,X
IOTLJZS,O,X,O,O,X,X,X,O,O,X,X,X
IOTLSJZ,O,X,X,X,O,X,X,X,X,X,X,X
IOTLSZJ,O,X,X,O,O,X,X,O,O,X,O,X
IOTLZJS,X,X,O,O,X,X,X,O,O,X,X,X
IOTLZSJ,O,X,O,O,X,X,X,O,O,X,X,O
IOTJLSZ,O,X,X,X,O,X,X,X,O,X,O,X
IOTJLZS,O,X,O,O,X,X,X,X,O,X,X,X
IOTJSLZ,X,X,O,X,O,O,X,X,X,X,X,X
IOTJSZL,X,X,O,X,O,O,X,X,O,X,O,X
IOTJZLS,X,X,O,X,X,X,X,O,O,X,X,X
IOTJZSL,X,X,O,X,O,X,X,O,O,X,X,X
IOTSLJZ,O,X,X,X,O,O,X,X,X,X,X,X
IOTSLZJ,O,X,O,O,O,X,X,X,X,O,O,X
IOTSJLZ,X,X,X,X,O,O,X,X,X,X,X,X
IOTSJZL,X,X,O,X,O,O,X,X,X,X,X,X
IOTSZLJ,X,X,O,X,O,X,X,O,X,O,O,X
IOTSZJL,X,X,O,X,O,X,X,O,X,O,O,X
IOTZLJS,X,X,O,O,X,X,X,O,X,X,X,X
IOTZLSJ,X,X,O,O,X,X,X,O,X,X,O,X
IOTZJLS,X,X,O,X,X,X,X,O,X,X,X,X
IOTZJSL,X,X,O,X,O,X,X,O,X,X,O,X
IOTZSLJ,X,X,O,X,O,X,X,O,X,X,O,O
IOTZSJL,X,X,O,X,O,X,X,O,X,X,O,O
IOLTJSZ,O,X,X,X,O,O,X,X,O,X,O,X
IOLTJZS,O,X,O,O,X,X,X,O,O,X,X,X
IOLTSJZ,O,X,X,X,O,O,X,X,X,X,X,X
IOLTSZJ,O,X,X,O,O,X,X,O,O,O,O,X
IOLTZJS,X,X,O,O,X,X,X,O,O,X,X,X
IOLTZSJ,O,X,O,O,X,X,X,O,O,X,X,O
IOLJTSZ,O,X,X,X,O,O,O,X,O,X,O,X
IOLJTZS,O,X,O,O,X,X,O,O,O,X,X,X
IOLJSTZ,O,X,O,X,O,O,O,X,O,X,O,X
IOLJSZT,O,X,O,X,X,X,O,X,X,X,O,X
IOLJZTS,O,X,O,O,X,X,O,O,O,X,X,X
IOLJZST,O,X,X,O,X,X,O,X,X,X,O,X
IOLSTJZ,O,X,X,X,O,O,X,X,X,X,X,X
IOLSTZJ,O,X,O,O,O,X,X,O,O,O,O,X
IOLSJTZ,O,X,X,X,X,X,X,X,O,X,O,X
IOLSJZT,O,X,X,X,X,X,X,X,X,X,O,X
IOLSZTJ,O,X,O,O,X,X,X,O,X,X,O,X
IOLSZJT,O,O,X,O,X,X,X,X,X,X,O,X
IOLZTJS,X,X,O,O,X,X,X,O,O,X,X,X
IOLZTSJ,O,X,O,O,X,X,X,O,O,X,O,O
IOLZJTS,O,O,O,O,X,X,X,O,O,X,X,X
IOLZJST,O,O,X,O,X,X,X,X,X,X,O,X
IOLZSTJ,O,X,O,O,X,X,X,O,X,X,O,O
IOLZSJT,O,O,X,O,X,X,X,X,X,X,O,X
IOJTLSZ,O,X,X,X,O,X,O,X,O,X,O,X
IOJTLZS,O,X,O,O,X,X,O,X,O,X,X,X
IOJTSLZ,X,X,O,X,O,O,O,X,X,X,X,X
IOJTSZL,X,X,O,X,O,O,O,X,O,X,O,X
IOJTZLS,X,X,O,X,X,X,X,O,O,X,X,X
IOJTZSL,X,X,O,X,O,X,O,O,O,X,X,X
IOJLTSZ,O,X,X,X,O,O,O,X,O,X,O,X
IOJLTZS,O,X,O,O,X,X,O,O,O,X,X,X
IOJLSTZ,O,X,O,X,O,O,O,X,O,X,O,X
IOJLSZT,O,X,O,X,X,X,O,X,X,X,O,X
IOJLZTS,O,X,O,O,X,X,O,O,O,X,X,X
IOJLZST,O,X,X,O,X,X,O,X,X,X,O,X
IOJSTLZ,X,X,O,X,O,O,O,X,X,X,X,X
IOJSTZL,X,X,O,X,O,O,O,X,O,X,O,X
IOJSLTZ,O,X,O,X,O,X,O,X,O,X,O,X
IOJSLZT,O,X,O,X,X,X,O,X,X,X,O,X
IOJSZTL,X,X,O,X,O,X,O,X,X,X,O,X
IOJSZLT,X,X,O,X,X,X,O,X,X,X,O,X
IOJZTLS,X,X,O,X,X,X,X,O,O,X,X,X
IOJZTSL,X,X,O,X,O,X,O,O,O,X,O,X
IOJZLTS,O,X,O,X,X,X,O,O,O,X,X,X
IOJZLST,O,X,X,X,X,X,O,X,X,X,O,X
IOJZSTL,X,X,O,X,O,X,O,X,X,X,O,X
IOJZSLT,X,X,O,X,X,X,O,X,X,X,O,X
IOSTLJZ,O,X,X,X,O,O,X,X,X,X,X,X
IOSTLZJ,O,X,O,O,O,X,X,X,X,O,O,X
IOSTJLZ,X,X,X,X,O,O,X,X,X,X,X,X
IOSTJZL,X,X,O,X,O,O,X,X,X,X,X,X
IOSTZLJ,X,X,O,X,O,X,X,O,X,O,O,X
IOSTZJL,X,X,O,X,O,X,X,O,X,O,O,X
IOSLTJZ,O,X,X,X,O,X,X,X,X,X,X,X
IOSLTZJ,O,X,O,O,O,X,X,O,O,X,O,X
IOSLJTZ,O,X,X,X,X,X,X,X,O,X,O,X
IOSLJZT,O,X,X,X,X,X,X,X,X,X,O,X
IOSLZTJ,O,X,O,O,X,X,X,O,X,X,O,X
IOSLZJT,O,O,X,O,X,X,X,X,X,X,O,X
IOSJTLZ,X,X,O,X,O,O,X,X,X,X,X,X
IOSJTZL,X,X,O,X,O,O,X,X,O,X,O,X
IOSJLTZ,O,X,O,X,O,X,X,X,O,X,O,X
IOSJLZT,O,X,O,X,X,X,X,X,X,X,O,X
IOSJZTL,X,X,O,X,O,X,X,X,X,X,O,X
IOSJZLT,X,X,O,X,X,X,X,X,X,X,O,X
IOSZTLJ,X,X,O,X,O,X,X,O,X,X,O,X
IOSZTJL,X,X,O,X,O,X,X,O,X,X,O,X
IOSZLTJ,O,X,O,X,X,X,X,O,X,X,O,X
IOSZLJT,O,O,X,X,X,X,X,X,X,X,O,X
IOSZJTL,X,O,O,X,X,X,X,X,X,X,O,X
IOSZJLT,X,O,X,X,X,X,X,X,X,X,X,X
IOZTLJS,X,X,O,O,X,X,X,O,X,X,X,X
IOZTLSJ,X,X,O,O,X,X,X,O,X,X,O,X
IOZTJLS,X,X,O,X,X,X,X,O,X,X,X,X
IOZTJSL,X,X,O,X,O,X,X,O,X,X,O,X
IOZTSLJ,X,X,O,X,O,X,X,O,X,X,O,O
IOZTSJL,X,X,O,X,O,X,X,O,X,X,O,O
IOZLTJS,X,X,O,O,X,X,X,O,O,X,X,X
IOZLTSJ,O,X,O,O,X,X,X,O,O,X,O,O
IOZLJTS,O,O,O,O,X,X,X,O,O,X,X,X
IOZLJST,O,O,X,O,X,X,X,X,X,X,O,X
IOZLSTJ,O,X,O,O,X,X,X,O,X,X,O,O
IOZLSJT,O,O,X,O,X,X,X,X,X,X,O,X
IOZJTLS,X,X,O,X,X,X,X,O,O,X,X,X
IOZJTSL,X,O,O,X,O,X,X,O,O,X,O,X
IOZJLTS,O,O,O,X,X,X,X,O,O,X,X,X
IOZJLST,O,O,X,X,X,X,X,X,X,X,O,X
IOZJSTL,X,O,O,X,O,X,X,X,X,X,O,X
IOZJSLT,X,O,O,X,X,X,X,X,X,X,O,X
IOZSTLJ,X,X,O,X,O,X,X,O,X,X,O,O
IOZSTJL,X,X,O,X,O,X,X,O,X,X,O,O
IOZSLTJ,O,X,O,X,X,X,X,O,X,X,O,O
IOZSLJT,O,O,X,X,X,X,X,X,X,X,O,X
IOZSJTL,X,O,O,X,X,X,X,X,X,X,O,X
IOZSJLT,X,O,X,X,X,X,X,X,X,X,X,X
LTIJSZO,O,X,X,O,O,O,X,X,O,O,O,X
LTIJSOZ,O,X,X,X,O,O,X,X,O,X,X,X
LTIJZSO,O,X,O,O,X,O,X,O,O,X,X,O
LTIJZOS,X,X,X,O,X,X,X,O,O,X,X,X
LTIJOSZ,O,X,X,X,X,O,O,X,O,X,X,X
LTIJOZS,X,X,X,O,X,X,O,X,O,X,X,X
LTISJZO,O,X,X,X,O,O,X,X,X,O,X,X
LTISJOZ,O,X,X,X,O,O,X,X,X,O,X,X
LTISZJO,O,O,X,X,O,O,X,O,O,O,O,O
LTISZOJ,X,X,X,O,X,X,X,O,O,O,O,O
LTISOJZ,O,X,X,X,O,O,X,X,X,O,X,X
LTISOZJ,X,X,X,O,O,X,X,X,O,O,X,X
LTIZJSO,X,O,O,O,X,O,X,O,O,X,X,O
LTIZJOS,X,O,X,O,X,X,X,O,O,X,X,X
LTIZSJO,O,O,O,X,X,O,X,O,O,O,X,O
LTIZSOJ,X,X,O,O,X,X,X,O,O,O,X,O
LTIZOJS,X,X,X,O,X,X,X,O,O,X,X,X
LTIZOSJ,X,X,X,O,X,X,X,O,O,X,X,O
LTIOJSZ,O,X,X,X,X,O,X,X,O,X,O,X
LTIOJZS,X,X,X,O,X,X,X,X,O,X,X,X
LTIOSJZ,O,X,X,X,X,O,X,X,X,X,X,X
LTIOSZJ,O,X,X,O,X,X,X,X,O,O,O,X
LTIOZJS,X,X,X,O,X,X,X,O,O,X,X,X
LTIOZSJ,O,X,X,O,X,X,X,O,O,X,X,O
LTJISZO,O,X,X,O,O,O,X,X,O,O,O,X
LTJISOZ,O,X,X,X,O,O,X,X,O,X,X,X
LTJIZSO,O,O,O,O,X,O,X,O,O,X,X,O
LTJIZOS,X,O,X,O,X,X,X,O,O,X,X,X
LTJIOSZ,O,X,X,X,X,O,O,X,O,X,X,X
LTJIOZS,O,X,X,O,X,X,O,X,O,X,X,X
LTJSIZO,O,X,X,O,O,O,X,X,O,O,O,X
LTJSIOZ,O,X,X,X,O,O,X,X,O,O,X,X
LTJSZIO,O,O,X,O,O,O,X,X,O,O,O,X
LTJSZOI,O,O,X,O,O,O,X,X,O,O,O,X
LTJSOIZ,O,X,X,X,O,O,X,X,O,O,X,X
LTJSOZI,O,X,X,X,O,O,X,X,O,O,X,X
LTJZISO,O,O,O,O,X,O,X,O,O,X,X,O
LTJZIOS,X,O,X,O,X,X,X,O,O,X,X,X
LTJZSIO,O,O,O,O,X,O,X,O,O,X,X,O
LTJZSOI,O,O,O,O,X,O,X,O,O,X,X,O
LTJZOIS,O,O,X,O,X,X,X,O,O,X,X,X
LTJZOSI,O,O,X,O,X,X,X,O,O,X,X,X
LTJOISZ,O,X,X,X,X,O,O,X,O,X,X,X
LTJOIZS,O,X,X,O,X,X,O,X,O,X,X,X
LTJOSIZ,O,X,X,X,X,O,O,X,O,X,X,X
LTJOSZI,O,X,X,X,X,O,O,X,O,X,X,X
LTJOZIS,O,O,X,O,X,X,O,X,O,X,X,X
LTJOZSI,O,O,X,O,X,X,O,X,O,X,X,X
LTSIJZO,O,X,X,X,O,O,X,X,X,O,X,X
LTSIJOZ,O,X,X,X,O,O,X,X,X,O,X,X
LTSIZJO,O,O,X,X,O,O,X,O,O,O,O,O
LTSIZOJ,X,X,X,O,X,X,X,O,O,O,O,O
LTSIOJZ,O,X,X,X,O,O,X,X,X,O,X,X
LTSIOZJ,X,X,X,O,O,X,X,X,O,O,X,X
LTSJIZO,O,X,X,X,O,O,X,X,X,O,X,X
LTSJIOZ,O,X,X,X,O,O,X,X,X,O,X,X
LTSJZIO,O,X,X,X,O,O,X,X,X,O,X,X
LTSJZOI,O,X,X,X,O,O,X,X,X,O,X,X
LTSJOIZ,O,X,X,X,O,O,X,X,X,O,X,X
LTSJOZI,O,X,X,X,O,O,X,X,X,O,X,X
LTSZIJO,O,O,X,X,O,O,X,O,O,O,O,O
LTSZIOJ,X,X,X,O,X,X,X,O,O,O,O,O
LTSZJIO,O,O,X,X,O,O,X,O,O,O,O,O
LTSZJOI,O,O,X,X,O,O,X,O,O,O,X,O
LTSZOIJ,X,X,X,O,X,X,X,O,O,O,O,O
LTSZOJI,X,X,X,O,X,X,X,O,O,O,X,O
LTSOIJZ,O,X,X,X,O,O,X,X,X,O,X,X
LTSOIZJ,O,X,X,O,O,X,X,X,O,O,X,X
LTSOJIZ,O,X,X,X,O,O,X,X,X,O,X,X
LTSOJZI,O,X,X,X,O,O,X,X,X,O,X,X
LTSOZIJ,O,X,X,X,O,X,X,X,O,O,X,X
LTSOZJI,O,X,X,X,O,X,X,X,O,O,X,X
LTZIJSO,X,O,O,O,X,O,X,O,O,X,X,O
LTZIJOS,X,O,X,O,X,X,X,O,O,X,X,X
LTZISJO,O,O,O,X,X,O,X,O,O,O,X,O
LTZISOJ,X,X,O,O,X,X,X,O,O,O,X,O
LTZIOJS,X,X,X,O,X,X,X,O,O,X,X,X
LTZIOSJ,X,X,X,O,X,X,X,O,O,X,X,O
LTZJISO,X,O,O,O,X,O,X,O,O,X,X,O
LTZJIOS,X,O,X,O,X,X,X,O,O,X,X,X
LTZJSIO,X,O,O,O,X,O,X,O,O,X,X,O
LTZJSOI,X,O,O,O,X,O,X,O,O,X,X,O
LTZJOIS,X,O,X,O,X,X,X,O,O,X,X,X
LTZJOSI,X,O,X,O,X,X,X,O,O,X,X,X
LTZSIJO,O,O,O,X,X,O,X,O,O,O,X,O
LTZSIOJ,X,X,O,O,X,X,X,O,O,O,X,O
LTZSJIO,O,O,O,X,X,O,X,O,O,O,X,O
LTZSJOI,O,O,O,X,X,O,X,O,O,O,X,O
LTZSOIJ,X,X,O,O,X,X,X,O,O,O,X,O
LTZSOJI,X,X,X,O,X,X,X,O,O,O,X,O
LTZOIJS,X,X,X,O,X,X,X,O,O,X,X,X
LTZOISJ,O,X,X,O,X,X,X,O,O,X,X,O
LTZOJIS,X,X,X,O,X,X,X,O,O,X,X,X
LTZOJSI,X,X,X,O,X,X,X,O,O,X,X,X
LTZOSIJ,O,X,X,O,X,X,X,O,O,X,X,O
LTZOSJI,O,X,X,O,X,X,X,O,O,X,X,O
LTOIJSZ,O,X,X,X,X,O,X,X,O,X,O,X
LTOIJZS,X,X,X,O,X,X,X,X,O,X,X,X
LTOISJZ,O,X,X,X,X,O,X,X,X,X,X,X
LTOISZJ,O,X,X,O,X,X,X,X,O,O,O,X
LTOIZJS,X,X,X,O,X,X,X,O,O,X,X,X
LTOIZSJ,O,X,X,O,X,X,X,O,O,X,X,O
LTOJISZ,O,X,X,X,X,O,X,X,O,X,O,X
LTOJIZS,X,X,X,O,X,X,X,X,O,X,X,X
LTOJSIZ,O,X,X,X,X,O,X,X,O,X,O,X
LTOJSZI,O,X,X,X,X,O,X,X,O,X,O,X
LTOJZIS,X,X,X,X,X,X,X,X,O,X,X,X
LTOJZSI,X,X,X,X,X,X,X,X,O,X,X,X
LTOSIJZ,O,X,X,X,X,O,X,X,X,O,X,X
LTOSIZJ,O,X,X,O,X,X,X,X,O,O,O,X
LTOSJIZ,O,X,X,X,X,O,X,X,X,O,X,X
LTOSJZI,O,X,X,X,X,O,X,X,X,O,X,X
LTOSZIJ,O,X,X,X,X,X,X,X,O,O,O,X
LTOSZJI,O,X,X,X,X,X,X,X,O,O,O,X
LTOZIJS,X,X,X,O,X,X,X,O,O,X,X,X
LTOZISJ,O,X,X,O,X,X,X,O,O,X,X,O
LTOZJIS,X,X,X,O,X,X,X,O,O,X,X,X
LTOZJSI,X,X,X,O,X,X,X,O,O,X,X,X
LTOZSIJ,O,X,X,O,X,X,X,O,O,X,X,O
LTOZSJI,O,X,X,O,X,X,X,O,O,X,X,O
LITJSZO,O,X,X,O,O,O,X,X,O,O,O,X
LITJSOZ,O,X,X,X,O,O,X,X,O,X,X,X
LITJZSO,O,X,O,O,X,O,X,O,O,X,X,O
LITJZOS,X,X,X,O,X,X,X,O,O,X,X,X
LITJOSZ,O,X,X,X,X,O,O,X,O,X,X,X
LITJOZS,X,X,X,O,X,X,O,X,O,X,X,X
LITSJZO,O,X,X,X,O,O,X,X,X,O,X,X
LITSJOZ,O,X,X,X,O,O,X,X,X,O,X,X
LITSZJO,O,O,X,X,O,O,X,O,O,O,O,O
LITSZOJ,X,X,X,O,X,X,X,O,O,O,O,O
LITSOJZ,O,X,X,X,O,O,X,X,X,O,X,X
LITSOZJ,X,X,X,O,O,X,X,X,O,O,X,X
LITZJSO,X,O,O,O,X,O,X,O,O,X,X,O
LITZJOS,X,O,X,O,X,X,X,O,O,X,X,X
LITZSJO,O,O,O,X,X,O,X,O,O,O,X,O
LITZSOJ,X,X,O,O,X,X,X,O,O,O,X,O
LITZOJS,X,X,X,O,X,X,X,O,O,X,X,X
LITZOSJ,X,X,X,O,X,X,X,O,O,X,X,O
LITOJSZ,O,X,X,X,X,O,X,X,O,X,O,X
LITOJZS,X,X,X,O,X,X,X,X,O,X,X,X
LITOSJZ,O,X,X,X,X,O,X,X,X,X,X,X
LITOSZJ,O,X,X,O,X,X,X,X,O,O,O,X
LITOZJS,X,X,X,O,X,X,X,O,O,X,X,X
LITOZSJ,O,X,X,O,X,X,X,O,O,X,X,O
LIJTSZO,O,X,X,O,O,O,X,X,O,O,O,X
LIJTSOZ,O,X,X,X,O,O,X,X,O,X,X,X
LIJTZSO,O,O,O,O,X,O,X,O,O,X,X,O
LIJTZOS,X,O,X,O,X,X,X,O,O,X,X,X
LIJTOSZ,O,X,X,X,X,O,O,X,O,X,X,X
LIJTOZS,O,X,X,O,X,X,O,X,O,X,X,X
LIJSTZO,O,X,O,O,O,O,X,X,O,O,O,X
LIJSTOZ,O,X,X,X,O,O,X,X,O,X,X,X
LIJSZTO,O,O,O,O,X,O,X,X,X,X,O,X
LIJSZOT,X,O,X,O,X,X,X,X,X,X,O,X
LIJSOTZ,O,X,X,X,X,O,O,X,O,X,X,X
LIJSOZT,X,X,X,X,X,X,O,X,X,X,O,X
LIJZTSO,O,O,O,O,X,O,X,O,O,X,X,O
LIJZTOS,X,O,X,O,X,X,X,O,O,X,X,X
LIJZSTO,O,O,X,O,X,O,X,X,X,X,O,O
LIJZSOT,X,O,X,O,X,X,X,X,X,X,O,X
LIJZOTS,X,O,X,O,X,X,O,X,O,X,X,X
LIJZOST,X,O,X,O,X,X,O,X,X,X,X,X
LIJOTSZ,O,X,X,X,O,O,O,X,O,X,O,X
LIJOTZS,O,X,X,O,X,X,O,X,O,X,X,X
LIJOSTZ,O,X,X,X,O,O,O,X,O,X,O,X
LIJOSZT,O,X,X,X,X,X,O,X,X,X,O,X
LIJOZTS,O,X,X,O,X,X,O,X,O,X,X,X
LIJOZST,O,X,X,O,X,X,O,X,X,X,O,X
LISTJZO,O,X,X,X,O,O,X,X,X,O,X,X
LISTJOZ,O,X,X,X,O,O,X,X,X,O,X,X
LISTZJO,O,O,O,X,O,O,X,O,O,O,O,O
LISTZOJ,X,X,O,O,X,X,X,O,O,O,O,O
LISTOJZ,O,X,X,X,O,O,X,X,X,O,X,X
LISTOZJ,X,X,X,O,O,X,X,X,O,O,X,X
LISJTZO,O,X,X,O,O,O,X,X,O,O,O,X
LISJTOZ,O,X,X,X,O,O,X,X,O,X,X,X
LISJZTO,O,O,X,O,X,O,X,X,X,X,O,X
LISJZOT,X,O,X,O,X,X,X,X,X,X,O,X
LISJOTZ,O,X,X,X,X,O,O,X,O,X,X,X
LISJOZT,X,X,X,X,X,X,O,X,X,X,O,X
LISZTJO,O,O,O,X,X,O,X,O,X,O,O,O
LISZTOJ,X,X,O,O,X,X,X,O,X,O,O,O
LISZJTO,O,O,X,O,X,X,X,X,X,X,O,O
LISZJOT,X,O,X,O,X,X,X,X,X,X,X,X
LISZOTJ,X,X,X,O,X,X,X,X,X,X,O,O
LISZOJT,X,O,X,O,X,X,X,X,X,X,X,X
LISOTJZ,O,X,X,X,X,O,X,X,X,X,X,X
LISOTZJ,X,X,X,O,X,X,X,X,O,O,O,X
LISOJTZ,O,X,X,X,X,X,X,X,O,X,O,X
LISOJZT,X,X,X,X,X,X,X,X,X,X,O,X
LISOZTJ,X,X,X,O,X,X,X,X,X,X,O,X
LISOZJT,X,O,X,O,X,X,X,X,X,X,O,X
LIZTJSO,X,O,O,O,X,O,X,O,O,X,X,O
LIZTJOS,X,O,X,O,X,X,X,O,O,X,X,X
LIZTSJO,O,O,O,X,X,O,X,O,O,O,O,O
LIZTSOJ,X,X,O,O,X,X,X,O,O,O,O,O
LIZTOJS,X,X,X,O,X,X,X,O,O,X,X,X
LIZTOSJ,X,X,X,O,X,X,X,O,O,X,X,O
LIZJTSO,O,O,O,O,X,O,X,O,O,X,X,O
LIZJTOS,X,O,X,O,X,X,X,O,O,X,X,X
LIZJSTO,O,O,X,O,X,O,X,X,X,X,O,O
LIZJSOT,X,O,X,O,X,X,X,X,X,X,O,X
LIZJOTS,X,O,X,O,X,X,O,X,O,X,X,X
LIZJOST,X,O,X,O,X,X,O,X,X,X,X,X
