sequence,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jex6IvhFygBGdBTfBl?mB3nBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jei6IvhFWhBxcB3fB0?mBlnBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jem6IvhFfhBxcBTfBC?iBlnBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8JeO/IvhF8fBfhBxcBq?mBlnBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jex6IvhFygBGdBTfB3?hBlnBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jex6IvhF0cBTfBmgBf?sBlnB6sB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jei6IvhFWhBxcB3fB0?iBlmBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Je2/IvhFCcBxhB3fB0?mBlnBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jem6IvhFRcBSiBTfBU?hBVsB3sB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jem7IvhFSiBxfBTfBl?mB3nBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8JeK/IvhFzaBRcBciBF?hBfsBusB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Jem7IvhFSiBxfBTfB3?hBlnBUsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Je2/IvhFqiBRhB3fBF?hB8mBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8Je2/IvhFRhB1nB3fBU?hBCnBTsB,v115@7gB8HeB8BeB8EeF8CeH8BeB8JeK/IvhFzaBfhBViBR?nB0mB+sB,v115@7gB8HeB8BeB8EeF8CeH8BeB8JeO/IvhF8fBfhBSiBR?nBlmBTsB
ZLJTSOI,X,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
ZLJTOIS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
ZLJTOSI,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
ZLJITSO,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O
ZLJITOS,X,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X
ZLJISTO,X,O,O,O,O,X,O,O,X,X,X,X,O,X,X,O
ZLJISOT,X,O,O,O,O,X,O,O,O,X,X,X,O,X,X,O
ZLJIOTS,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X
ZLJIOST,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
ZLJSTIO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
ZLJSTOI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZLJSITO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
ZLJSIOT,X,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O
ZLJSOTI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZLJSOIT,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
ZLJOTIS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
ZLJOTSI,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
ZLJOITS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,O
ZLJOIST,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
ZLJOSTI,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
ZLJOSIT,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O
ZLSTIJO,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
ZLSTIOJ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZLSTJIO,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
ZLSTJOI,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZLSTOIJ,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZLSTOJI,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZLSITJO,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
ZLSITOJ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZLSIJTO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,O
ZLSIJOT,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O
ZLSIOTJ,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLSIOJT,X,X,O,O,O,X,O,X,O,X,O,X,X,X,X,O
ZLSJTIO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
ZLSJTOI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZLSJITO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
ZLSJIOT,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O
ZLSJOTI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZLSJOIT,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
ZLSOTIJ,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZLSOTJI,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZLSOITJ,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O
ZLSOIJT,O,X,O,O,O,X,O,X,O,X,O,X,X,X,X,O
ZLSOJTI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZLSOJIT,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O
ZLOTIJS,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X
ZLOTISJ,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ZLOTJIS,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X
ZLOTJSI,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
ZLOTSIJ,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
ZLOTSJI,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
ZLOITJS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
ZLOITSJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
ZLOIJTS,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O
ZLOIJST,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
ZLOISTJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ZLOISJT,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
ZLOJTIS,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X
ZLOJTSI,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
ZLOJITS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,O
ZLOJIST,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
ZLOJSTI,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
ZLOJSIT,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O
ZLOSTIJ,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
ZLOSTJI,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
ZLOSITJ,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O
ZLOSIJT,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O
ZLOSJTI,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
ZLOSJIT,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O
ZJTILSO,X,O,O,O,O,X,O,O,O,X,X,O,X,O,X,O
ZJTILOS,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X,X
ZJTISLO,X,O,O,X,O,X,O,O,O,X,X,O,X,O,X,X
ZJTISOL,X,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O
ZJTIOLS,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
ZJTIOSL,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X
ZJTLISO,X,O,O,O,O,X,O,O,O,X,X,O,X,X,X,X
ZJTLIOS,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X,X
ZJTLSIO,X,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X
ZJTLSOI,X,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X
ZJTLOIS,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X
ZJTLOSI,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
ZJTSILO,X,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X
ZJTSIOL,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
ZJTSLIO,X,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X
ZJTSLOI,X,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X
ZJTSOIL,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
ZJTSOLI,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
ZJTOILS,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
ZJTOISL,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
ZJTOLIS,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X
ZJTOLSI,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
ZJTOSIL,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
ZJTOSLI,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
ZJITLSO,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,O
ZJITLOS,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X
ZJITSLO,X,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X
ZJITSOL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
ZJITOLS,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
ZJITOSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJILTSO,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,O
ZJILTOS,X,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X
ZJILSTO,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,O
ZJILSOT,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,O
ZJILOTS,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X
ZJILOST,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
ZJISTLO,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJISTOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJISLTO,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O
ZJISLOT,X,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O
ZJISOTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJISOLT,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O
ZJIOTLS,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O
ZJIOTSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJIOLTS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
ZJIOLST,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
ZJIOSTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJIOSLT,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O
ZJLTISO,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X
ZJLTIOS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
ZJLTSIO,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X
ZJLTSOI,X,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
ZJLTOIS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
ZJLTOSI,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
ZJLITSO,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O
ZJLITOS,X,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X
ZJLISTO,X,O,O,O,O,X,O,O,X,X,X,X,O,X,X,O
ZJLISOT,X,O,O,O,O,X,O,O,O,X,X,X,O,X,X,O
ZJLIOTS,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X
ZJLIOST,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
ZJLSTIO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
ZJLSTOI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZJLSITO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
ZJLSIOT,X,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O
ZJLSOTI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZJLSOIT,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
ZJLOTIS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
ZJLOTSI,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
ZJLOITS,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,O
ZJLOIST,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
ZJLOSTI,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
ZJLOSIT,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O
ZJSTILO,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X,X
ZJSTIOL,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X,O
ZJSTLIO,X,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X
ZJSTLOI,X,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X
ZJSTOIL,X,O,O,X,O,O,O,X,O,X,O,X,X,X,X,O
ZJSTOLI,X,O,O,X,O,O,O,X,O,X,O,X,X,X,X,X
ZJSITLO,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZJSITOL,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O
ZJSILTO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,O
ZJSILOT,X,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O
ZJSIOTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ZJSIOLT,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
ZJSLTIO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
ZJSLTOI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZJSLITO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
ZJSLIOT,X,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O
ZJSLOTI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZJSLOIT,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
ZJSOTIL,X,O,O,X,O,O,O,X,X,X,O,X,X,X,X,O
ZJSOTLI,X,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X
ZJSOITL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
ZJSOILT,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
ZJSOLTI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZJSOLIT,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
ZJOTILS,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,O
ZJOTISL,X,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O
ZJOTLIS,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X
ZJOTLSI,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
ZJOTSIL,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
ZJOTSLI,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
ZJOITLS,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
ZJOITSL,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
ZJOILTS,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O
ZJOILST,X,X,O,X,O,X,O,O,O,X,X,X,O,X,X,O
ZJOISTL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
ZJOISLT,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
ZJOLTIS,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X
ZJOLTSI,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
ZJOLITS,X,X,X,X,O,X,X,O,O,X,O,X,O,X,X,O
ZJOLIST,X,X,O,X,O,X,O,O,O,X,X,X,O,X,X,O
ZJOLSTI,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZJOLSIT,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O
ZJOSTIL,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O
ZJOSTLI,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
ZJOSITL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
ZJOSILT,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,O
ZJOSLTI,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
ZJOSLIT,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,O
ZSTILJO,X,O,O,X,O,X,O,O,O,O,O,O,X,X,X,O
ZSTILOJ,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X
ZSTIJLO,X,O,O,O,O,X,O,O,O,O,O,O,X,X,X,X
ZSTIJOL,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O
ZSTIOLJ,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X
ZSTIOJL,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
ZSTLIJO,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,X
ZSTLIOJ,X,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X
ZSTLJIO,O,O,O,O,O,X,O,O,O,O,O,X,X,X,X,X
ZSTLJOI,O,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X
ZSTLOIJ,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X
ZSTLOJI,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X
ZSTJILO,X,O,O,O,O,X,O,O,O,O,O,X,X,X,X,X
ZSTJIOL,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O
ZSTJLIO,O,O,O,O,O,X,O,O,O,O,O,X,X,X,X,X
ZSTJLOI,O,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X
ZSTJOIL,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O
ZSTJOLI,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
ZSTOILJ,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X,O
ZSTOIJL,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O
ZSTOLIJ,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X
ZSTOLJI,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X
ZSTOJIL,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O
ZSTOJLI,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
ZSITLJO,X,O,O,X,X,X,O,X,X,O,O,O,X,X,X,O
ZSITLOJ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,O,X
ZSITJLO,X,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X
ZSITJOL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O
ZSITOLJ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
ZSITOJL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSILTJO,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
ZSILTOJ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZSILJTO,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,O
ZSILJOT,X,O,O,O,O,X,O,O,O,O,O,X,X,X,X,O
ZSILOTJ,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
ZSILOJT,X,X,O,O,O,X,O,X,O,X,O,X,X,X,X,O
ZSIJTLO,X,O,O,O,X,X,O,X,X,O,X,O,X,X,X,X
ZSIJTOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZSIJLTO,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,O
ZSIJLOT,X,O,O,O,O,X,O,O,O,O,O,X,X,X,X,O
ZSIJOTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ZSIJOLT,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O
ZSIOTLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ZSIOTJL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ZSIOLTJ,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O
ZSIOLJT,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X,O
ZSIOJTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ZSIOJLT,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O
ZSLTIJO,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
ZSLTIOJ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZSLTJIO,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
ZSLTJOI,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZSLTOIJ,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZSLTOJI,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZSLITJO,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
ZSLITOJ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ZSLIJTO,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,O
ZSLIJOT,O,O,O,O,O,X,O,O,O,O,O,X,X,X,X,O
ZSLIOTJ,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
ZSLIOJT,X,X,O,O,O,X,O,X,O,X,O,X,X,X,X,O
ZSLJTIO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
ZSLJTOI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZSLJITO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
ZSLJIOT,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O
ZSLJOTI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZSLJOIT,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
ZSLOTIJ,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZSLOTJI,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZSLOITJ,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,O
ZSLOIJT,O,X,O,O,O,X,O,X,O,X,O,X,X,X,X,O
ZSLOJTI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZSLOJIT,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O
ZSJTILO,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X,X
ZSJTIOL,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,O
ZSJTLIO,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X
ZSJTLOI,O,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X
ZSJTOIL,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O
ZSJTOLI,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
ZSJITLO,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSJITOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZSJILTO,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,O
ZSJILOT,X,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O
ZSJIOTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ZSJIOLT,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O
ZSJLTIO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
ZSJLTOI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZSJLITO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
ZSJLIOT,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O
ZSJLOTI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZSJLOIT,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
ZSJOTIL,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O
ZSJOTLI,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZSJOITL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
ZSJOILT,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O
ZSJOLTI,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
ZSJOLIT,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O
ZSOTILJ,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X,O
ZSOTIJL,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O
ZSOTLIJ,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X
ZSOTLJI,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X
ZSOTJIL,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O
ZSOTJLI,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
ZSOITLJ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
ZSOITJL,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
ZSOILTJ,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,O
ZSOILJT,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X,O
ZSOIJTL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
ZSOIJLT,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O
ZSOLTIJ,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZSOLTJI,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZSOLITJ,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,O
ZSOLIJT,O,X,O,O,O,X,O,X,O,X,O,X,X,X,X,O
ZSOLJTI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZSOLJIT,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O
ZSOJTIL,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,O
ZSOJTLI,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
ZSOJITL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
ZSOJILT,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,O
ZSOJLTI,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
ZSOJLIT,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,O
ZOTILJS,X,X,O,X,O,X,O,O,O,X,X,O,X,X,X,O
ZOTILSJ,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
ZOTIJLS,X,X,O,X,O,X,O,O,O,X,X,O,X,O,X,O
ZOTIJSL,X,X,O,X,O,X,O,X,O,X,X,X,X,O,X,O
ZOTISLJ,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
ZOTISJL,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
ZOTLIJS,X,X,O,X,O,X,O,O,O,X,X,O,X,X,X,X
ZOTLISJ,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
ZOTLJIS,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
ZOTLJSI,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X
ZOTLSIJ,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X
ZOTLSJI,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X
ZOTJILS,X,X,O,X,O,X,O,O,O,X,X,X,X,O,X,O
