sequence,v115@6gC8HeB8HeC8CeH8BeF8Jei6IvhFRcB3fBGhBTiBll?BUqB,v115@6gC8HeB8HeC8CeH8BeF8Jex6IvhFmcB/kBUgBFhBSn?BTqB,v115@6gC8HeB8HeC8CeH8BeF8JeO/IvhFXbBVhBUdBClBxm?BTqB,v115@6gC8HeB8HeC8CeH8BeF8Jel6IvhFcgBicB/kBGiBRm?BTqB,v115@6gC8HeB8HeC8CeH8BeF8Jex6IvhFmcBTfB/lBFhBSn?BUqB,v115@6gC8HeB8HeC8CeH8BeF8Je2/IvhFRbBzcBSnB0kBll?B3qB,v115@6gC8HeB8HeC8CeH8BeF8Jei6IvhFuhBRgBTiB0kBll?B3qB,v115@6gC8HeB8HeC8CeH8BeF8JeO/IvhFxbB/iBqkB0hBll?BTqB,v115@6gC8HeB8HeC8CeH8BeF8Jex6IvhFuhBifBTiBfqBll?B8qB,v115@6gC8HeB8HeC8CeH8BeF8Jei6IvhFRgBGiBzhB0kBll?B3qB
IOZTLSJ,O,X,O,O,O,X,O,X,X,X
IOZTJLS,O,X,O,O,X,X,O,X,X,X
IOZTJSL,O,X,O,O,O,X,O,X,X,X
IOZTSLJ,O,X,O,O,O,X,O,X,X,X
IOZTSJL,O,X,O,O,O,X,O,X,X,X
IOZLTJS,O,X,O,X,O,X,O,X,X,X
IOZLTSJ,O,X,O,O,O,X,O,X,X,X
IOZLJTS,X,X,O,O,O,X,O,X,X,X
IOZLJST,O,X,O,O,O,X,O,X,X,X
IOZLSTJ,O,X,O,O,O,X,X,X,X,X
IOZLSJT,O,X,O,O,O,X,O,X,X,X
IOZJTLS,O,X,O,O,X,X,O,X,X,X
IOZJTSL,O,X,O,O,X,X,O,X,X,X
IOZJLTS,X,X,O,O,O,X,O,X,X,X
IOZJLST,O,X,O,O,O,X,O,X,X,X
IOZJSTL,O,X,O,O,O,X,X,X,X,X
IOZJSLT,O,X,O,O,O,X,O,X,X,X
IOZSTLJ,O,X,O,O,O,X,X,X,X,X
IOZSTJL,O,X,O,O,O,X,X,X,X,X
IOZSLTJ,O,X,O,O,O,X,X,X,X,X
IOZSLJT,O,X,O,O,O,X,O,X,X,X
IOZSJTL,O,X,O,O,O,X,X,X,X,X
IOZSJLT,O,X,O,O,O,X,O,X,X,X
LTIJSZO,X,O,O,X,X,X,X,X,X,X
LTIJSOZ,X,O,O,X,X,X,X,X,X,X
LTIJZSO,X,O,O,X,O,X,X,X,X,X
LTIJZOS,X,O,O,X,O,X,X,X,X,X
LTIJOSZ,X,O,O,X,X,X,X,X,X,X
LTIJOZS,X,O,O,X,X,X,X,X,X,X
LTISJZO,X,O,O,X,X,X,X,X,X,X
LTISJOZ,X,O,O,X,X,X,X,X,X,X
LTISZJO,X,O,O,X,X,X,X,X,X,X
LTISZOJ,X,O,O,X,X,X,X,X,X,X
LTISOJZ,X,O,O,X,X,X,X,X,X,X
LTISOZJ,X,X,O,X,X,X,X,X,X,X
LTIZJSO,X,O,O,X,O,O,X,X,X,X
LTIZJOS,X,O,O,X,O,O,X,X,X,X
LTIZSJO,X,X,O,X,X,O,X,X,X,X
LTIZSOJ,X,X,O,X,X,O,X,X,X,X
LTIZOJS,X,X,O,X,O,O,X,X,X,X
LTIZOSJ,X,X,O,X,X,O,X,X,X,X
LTIOJSZ,X,O,O,X,X,X,X,X,X,X
LTIOJZS,X,O,O,X,X,X,X,X,X,X
LTIOSJZ,X,O,O,X,X,X,X,X,X,X
LTIOSZJ,X,O,O,X,X,X,X,X,X,X
LTIOZJS,X,O,O,X,X,O,X,X,X,X
LTIOZSJ,X,X,O,X,X,O,X,X,X,X
LTJISZO,O,O,O,X,X,X,X,X,X,X
LTJISOZ,O,O,O,X,X,X,X,X,X,X
LTJIZSO,X,O,O,X,O,X,X,X,X,X
LTJIZOS,X,O,O,X,O,X,X,X,X,X
LTJIOSZ,X,O,O,X,X,X,X,X,X,X
LTJIOZS,X,O,O,X,X,X,X,X,X,X
LTJSIZO,O,O,O,X,X,X,X,X,X,X
LTJSIOZ,O,O,O,X,X,X,X,X,X,X
LTJSZIO,O,O,O,X,O,X,X,O,X,X
LTJSZOI,X,O,O,X,O,X,X,O,X,X
LTJSOIZ,O,O,X,X,X,X,X,X,X,X
LTJSOZI,X,O,O,X,X,X,X,X,X,X
LTJZISO,X,O,O,X,O,O,X,X,X,O
LTJZIOS,X,O,X,X,O,O,X,X,X,O
LTJZSIO,X,O,O,X,O,O,X,X,X,X
LTJZSOI,X,O,O,X,O,O,X,X,X,X
LTJZOIS,X,O,X,X,O,O,X,X,X,X
LTJZOSI,X,O,O,X,O,O,X,X,X,X
LTJOISZ,X,O,X,X,X,X,X,X,X,X
LTJOIZS,X,O,X,X,O,X,X,X,X,X
LTJOSIZ,X,O,X,X,X,X,X,X,X,X
LTJOSZI,X,O,O,X,X,X,X,X,X,X
LTJOZIS,X,O,X,X,O,O,X,X,X,X
LTJOZSI,X,O,O,X,O,O,X,X,X,X
LTSIJZO,O,O,O,X,X,X,X,X,X,X
LTSIJOZ,O,O,O,X,X,X,X,X,X,X
LTSIZJO,X,O,O,X,X,X,X,X,X,X
LTSIZOJ,X,O,O,X,X,X,X,X,X,X
LTSIOJZ,O,O,O,X,X,X,X,X,O,X
LTSIOZJ,O,X,O,X,X,X,X,X,X,X
LTSJIZO,O,O,O,X,X,X,X,X,X,X
LTSJIOZ,O,O,O,X,X,X,X,X,X,X
LTSJZIO,O,O,O,X,O,X,X,O,X,X
LTSJZOI,X,O,O,X,O,X,X,O,X,X
LTSJOIZ,O,O,X,X,X,X,X,X,O,X
LTSJOZI,O,O,O,X,X,X,X,X,O,X
LTSZIJO,X,O,O,X,X,O,X,O,X,X
LTSZIOJ,X,O,X,X,X,O,X,O,X,X
LTSZJIO,O,O,O,X,O,O,X,O,X,X
LTSZJOI,X,O,O,X,O,O,X,O,X,X
LTSZOIJ,O,O,X,X,X,O,X,O,X,X
LTSZOJI,O,O,O,X,O,O,X,O,O,X
LTSOIJZ,O,O,X,X,X,X,X,X,O,X
LTSOIZJ,O,O,X,X,X,X,X,X,X,X
LTSOJIZ,O,O,X,X,X,X,X,X,O,X
LTSOJZI,O,O,O,X,X,X,X,X,O,X
LTSOZIJ,O,O,X,X,X,O,X,X,X,X
LTSOZJI,O,O,O,X,X,O,X,X,O,X
LTZIJSO,X,O,O,X,O,O,X,X,X,O
LTZIJOS,X,O,X,X,O,O,O,X,X,O
LTZISJO,X,X,O,X,X,O,X,X,X,O
LTZISOJ,X,X,X,X,X,O,O,X,X,X
LTZIOJS,X,X,X,X,O,O,O,X,X,O
LTZIOSJ,X,X,X,X,X,O,O,X,X,X
LTZJISO,X,O,O,X,O,O,X,X,X,O
LTZJIOS,X,O,X,X,O,O,O,X,X,O
LTZJSIO,X,O,O,X,O,O,X,X,X,X
LTZJSOI,X,O,O,X,O,O,X,X,X,X
LTZJOIS,X,O,X,X,O,O,O,X,X,X
LTZJOSI,X,O,O,X,O,O,O,X,X,X
LTZSIJO,X,O,O,X,O,O,X,X,X,O
LTZSIOJ,X,O,X,X,O,O,O,X,X,X
LTZSJIO,X,O,O,X,O,O,X,X,X,X
LTZSJOI,X,O,O,X,O,O,X,X,X,X
LTZSOIJ,X,O,X,X,O,O,O,X,X,X
LTZSOJI,X,O,O,X,O,O,O,X,X,X
LTZOIJS,X,O,X,X,O,O,O,X,X,O
LTZOISJ,X,X,X,X,O,O,O,X,X,X
LTZOJIS,X,O,X,X,O,O,O,X,X,X
LTZOJSI,X,O,O,X,O,O,O,X,X,X
LTZOSIJ,X,O,X,X,O,O,O,X,X,X
LTZOSJI,X,O,O,X,O,O,O,X,X,X
LTOIJSZ,O,O,X,X,X,X,X,X,X,X
LTOIJZS,X,O,X,X,O,X,X,X,X,X
LTOISJZ,O,O,X,X,X,X,X,X,X,X
LTOISZJ,O,O,X,X,X,X,X,X,X,X
LTOIZJS,X,O,X,X,O,O,X,X,X,X
LTOIZSJ,X,X,X,X,O,O,X,X,X,X
LTOJISZ,O,O,X,X,X,X,X,X,X,X
LTOJIZS,X,O,X,X,O,X,X,X,X,X
LTOJSIZ,O,O,X,X,X,X,X,X,O,X
LTOJSZI,O,O,O,X,X,X,X,X,O,X
LTOJZIS,X,O,X,X,O,O,O,X,X,X
LTOJZSI,X,O,O,X,O,O,O,X,X,X
LTOSIJZ,O,O,X,X,X,X,X,X,O,X
LTOSIZJ,O,O,X,X,X,X,X,X,X,X
LTOSJIZ,O,O,X,X,X,X,X,X,O,X
LTOSJZI,O,O,O,X,X,X,X,X,O,X
LTOSZIJ,O,O,X,X,X,O,X,X,X,X
LTOSZJI,O,O,O,X,X,O,X,X,O,X
LTOZIJS,X,O,X,X,O,O,O,X,X,X
LTOZISJ,X,X,X,X,O,O,O,X,X,X
LTOZJIS,X,O,X,X,O,O,O,X,X,X
LTOZJSI,X,O,O,X,O,O,O,X,X,X
LTOZSIJ,X,O,X,X,O,O,O,X,X,X
LTOZSJI,X,O,O,X,O,O,O,X,X,X
LITJSZO,X,O,O,X,X,X,X,X,X,X
LITJSOZ,X,O,O,X,X,X,X,X,X,X
LITJZSO,X,O,O,X,O,X,X,X,X,X
LITJZOS,X,O,O,X,O,X,X,X,X,X
LITJOSZ,X,O,O,X,X,X,X,X,X,X
LITJOZS,X,O,O,X,X,X,X,X,X,X
LITSJZO,X,O,O,X,X,X,X,X,X,X
LITSJOZ,X,O,O,X,X,X,X,X,X,X
LITSZJO,X,O,O,O,X,X,X,X,X,X
LITSZOJ,X,O,O,O,X,X,X,X,X,X
LITSOJZ,X,O,O,X,X,X,X,X,X,X
LITSOZJ,X,X,O,X,X,X,X,X,X,X
LITZJSO,X,O,O,X,O,O,X,X,X,X
LITZJOS,X,O,O,X,O,O,X,X,X,X
LITZSJO,X,X,O,O,X,O,X,X,X,X
LITZSOJ,X,X,O,O,X,O,X,X,X,X
LITZOJS,X,X,O,X,O,O,X,X,X,X
LITZOSJ,X,X,O,X,X,O,X,X,X,X
LITOJSZ,X,O,O,X,X,X,X,X,X,X
LITOJZS,X,O,O,X,X,X,X,X,X,X
LITOSJZ,X,O,O,X,X,X,X,X,X,X
LITOSZJ,X,O,O,X,X,X,X,X,X,X
LITOZJS,X,O,O,X,X,O,X,X,X,X
LITOZSJ,X,X,O,X,X,O,X,X,X,X
LIJTSZO,X,O,O,O,X,X,X,X,X,X
LIJTSOZ,X,O,O,X,X,X,X,X,X,X
LIJTZSO,X,O,O,O,O,X,X,X,X,X
LIJTZOS,X,O,O,X,O,X,X,X,X,X
LIJTOSZ,X,O,O,X,X,X,X,X,X,X
LIJTOZS,X,O,O,X,X,X,X,X,X,X
LIJSTZO,X,O,O,O,X,X,X,X,X,X
LIJSTOZ,X,O,O,X,X,X,X,X,X,X
LIJSZTO,X,O,O,O,X,X,X,O,X,X
LIJSZOT,X,O,O,O,X,X,X,O,X,X
LIJSOTZ,X,O,O,X,X,X,X,X,X,X
LIJSOZT,X,O,O,O,X,X,X,X,X,X
LIJZTSO,X,X,O,O,O,X,X,X,X,X
LIJZTOS,X,X,O,X,O,X,X,X,X,X
LIJZSTO,X,X,O,O,O,X,X,X,X,X
LIJZSOT,X,X,O,O,O,X,X,X,X,X
LIJZOTS,X,X,O,X,O,X,X,X,X,X
LIJZOST,X,X,O,O,O,X,X,X,X,X
LIJOTSZ,X,O,O,X,X,X,X,X,X,X
LIJOTZS,X,O,O,X,O,X,X,X,X,X
LIJOSTZ,X,O,O,X,X,X,X,X,X,X
LIJOSZT,X,O,O,O,O,X,X,X,X,X
LIJOZTS,X,X,O,X,O,X,X,X,X,X
LIJOZST,X,X,O,O,O,X,X,X,X,X
LISTJZO,X,O,O,X,X,X,X,X,X,X
LISTJOZ,X,O,O,X,X,X,X,X,X,X
LISTZJO,X,O,O,O,X,X,X,X,X,X
LISTZOJ,X,O,O,O,X,X,X,X,X,X
LISTOJZ,X,O,O,X,X,X,X,X,O,X
LISTOZJ,X,X,O,X,X,X,X,X,X,X
LISJTZO,X,O,O,O,X,X,X,X,X,X
LISJTOZ,X,O,O,X,X,X,X,X,X,X
LISJZTO,X,O,O,O,X,X,X,O,X,X
LISJZOT,X,O,O,O,X,X,X,O,X,X
LISJOTZ,X,O,O,X,X,X,X,X,X,X
LISJOZT,X,O,O,O,X,X,X,X,X,X
LISZTJO,X,O,O,O,X,X,X,O,X,X
LISZTOJ,X,O,O,O,X,X,X,O,X,X
LISZJTO,X,O,O,O,X,X,X,O,X,X
LISZJOT,X,O,O,O,X,X,X,O,X,X
LISZOTJ,X,O,X,O,X,X,X,X,X,X
LISZOJT,X,O,X,X,X,X,X,O,X,X
LISOTJZ,X,O,O,X,X,X,X,X,O,X
LISOTZJ,X,O,O,X,X,X,X,X,X,X
LISOJTZ,X,O,O,X,X,X,X,X,O,X
LISOJZT,X,O,X,X,X,X,X,X,X,X
LISOZTJ,X,O,X,O,X,X,X,X,X,X
LISOZJT,X,O,X,X,X,X,X,X,X,X
LIZTJSO,X,X,O,X,O,O,X,X,X,X
LIZTJOS,X,X,O,X,O,O,X,X,X,X
LIZTSJO,X,X,O,O,X,O,X,X,X,X
LIZTSOJ,X,X,O,O,X,O,X,X,X,X
LIZTOJS,X,X,O,X,O,O,X,X,X,X
LIZTOSJ,X,X,O,X,X,O,X,X,X,X
LIZJTSO,X,X,O,O,O,O,X,X,X,X
LIZJTOS,X,X,O,X,O,O,X,X,X,X
LIZJSTO,X,X,O,O,O,O,X,X,X,X
LIZJSOT,X,X,O,O,O,O,X,X,X,X
LIZJOTS,X,X,O,X,O,O,X,X,X,X
LIZJOST,X,X,O,O,O,O,X,X,X,X
LIZSTJO,X,X,O,O,O,X,X,X,X,X
LIZSTOJ,X,X,O,O,O,X,X,X,X,X
LIZSJTO,X,X,O,O,O,X,X,X,X,X
LIZSJOT,X,X,O,O,O,X,X,X,X,X
LIZSOTJ,X,X,X,O,O,X,X,X,X,X
LIZSOJT,X,X,X,X,O,X,X,X,X,X
LIZOTJS,X,X,O,X,O,O,X,X,X,X
LIZOTSJ,X,X,O,X,O,O,X,X,X,X
LIZOJTS,X,X,O,X,O,O,X,X,X,X
LIZOJST,X,X,O,X,O,O,X,X,X,X
LIZOSTJ,X,X,O,O,O,X,X,X,X,X
LIZOSJT,X,X,O,X,O,X,X,X,X,X
LIOTJSZ,X,O,O,X,X,X,X,X,X,X
LIOTJZS,X,O,O,X,O,X,X,X,X,X
LIOTSJZ,X,O,O,X,X,X,X,X,X,X
LIOTSZJ,X,O,O,X,X,X,X,X,X,X
LIOTZJS,X,O,O,X,O,O,X,X,X,X
LIOTZSJ,X,X,O,X,O,O,X,X,X,X
LIOJTSZ,X,O,O,X,X,X,X,X,X,X
LIOJTZS,X,O,O,X,O,X,X,X,X,X
LIOJSTZ,X,O,O,X,X,X,X,X,O,X
LIOJSZT,X,O,O,X,O,X,X,X,X,X
LIOJZTS,X,X,O,X,O,X,X,X,X,X
LIOJZST,X,X,O,X,O,X,X,X,X,X
LIOSTJZ,X,O,O,X,X,X,X,X,O,X
LIOSTZJ,X,O,O,X,X,X,X,X,X,X
LIOSJTZ,X,O,O,X,X,X,X,X,O,X
LIOSJZT,X,O,O,X,O,X,X,X,X,X
LIOSZTJ,X,O,O,O,O,X,X,X,X,X
LIOSZJT,X,O,O,X,O,X,X,X,X,X
LIOZTJS,X,X,O,X,O,O,X,X,X,X
LIOZTSJ,X,X,O,X,O,O,X,X,X,X
LIOZJTS,X,X,O,X,O,O,X,X,X,X
LIOZJST,X,X,O,X,O,O,X,X,X,X
LIOZSTJ,X,X,O,O,O,X,X,X,X,X
LIOZSJT,X,X,O,X,O,X,X,X,X,X
LJTISZO,O,O,O,O,X,X,X,X,X,X
LJTISOZ,O,O,O,X,X,X,X,X,X,X
LJTIZSO,X,O,O,O,O,X,X,X,X,X
LJTIZOS,X,O,O,X,O,X,X,X,X,X
LJTIOSZ,X,O,O,X,X,X,X,X,X,X
LJTIOZS,X,O,O,X,X,X,X,X,X,X
LJTSIZO,O,O,O,O,X,X,X,X,X,X
LJTSIOZ,O,O,O,X,X,X,X,X,X,X
LJTSZIO,O,O,O,X,O,X,X,O,X,X
LJTSZOI,X,O,O,X,O,X,X,O,X,X
LJTSOIZ,O,O,X,O,X,X,X,X,X,X
LJTSOZI,X,O,O,O,X,X,X,X,X,X
LJTZISO,X,O,O,X,O,O,X,X,X,O
LJTZIOS,X,O,X,X,O,O,X,X,X,O
LJTZSIO,X,O,O,X,O,O,X,X,X,X
LJTZSOI,X,O,O,X,O,O,X,X,X,X
LJTZOIS,X,O,X,X,O,O,X,X,X,X
LJTZOSI,X,O,O,X,O,O,X,X,X,X
LJTOISZ,X,O,X,O,X,X,X,X,X,X
LJTOIZS,X,O,X,O,O,X,X,X,X,X
LJTOSIZ,X,O,X,O,X,X,X,X,X,X
LJTOSZI,X,O,O,O,X,X,X,X,X,X
LJTOZIS,X,O,X,X,O,O,X,X,X,X
LJTOZSI,X,O,O,O,O,O,X,X,X,X
LJITSZO,O,O,O,O,X,X,X,X,X,X
LJITSOZ,O,O,O,X,X,X,X,X,X,X
LJITZSO,X,O,O,O,O,X,X,X,X,X
LJITZOS,X,O,O,X,O,X,X,X,X,X
LJITOSZ,X,O,O,X,X,X,X,X,X,X
LJITOZS,X,O,O,X,X,X,X,X,X,X
LJISTZO,X,O,O,O,X,X,X,X,X,X
LJISTOZ,O,O,O,X,X,X,X,X,X,X
LJISZTO,X,O,O,O,X,X,X,O,X,X
LJISZOT,O,O,O,O,X,X,X,O,X,X
LJISOTZ,O,O,O,O,X,X,X,X,X,X
LJISOZT,O,O,O,O,X,X,X,X,X,X
LJIZTSO,X,X,O,O,O,X,X,X,X,X
LJIZTOS,X,X,O,X,O,X,X,X,X,X
LJIZSTO,O,X,O,O,O,X,X,X,X,X
LJIZSOT,O,X,O,O,O,X,X,X,X,X
LJIZOTS,X,X,O,X,O,X,X,X,X,X
LJIZOST,X,X,O,O,O,X,X,X,X,X
LJIOTSZ,X,O,O,O,X,X,X,X,X,X
LJIOTZS,X,O,O,O,O,X,X,X,X,X
LJIOSTZ,X,O,O,O,X,X,X,X,X,X
LJIOSZT,X,O,O,O,O,X,X,X,X,X
LJIOZTS,X,X,O,O,O,X,X,X,X,X
LJIOZST,X,X,O,O,O,X,X,X,X,X
LJSTIZO,X,O,O,O,X,X,X,X,X,X
LJSTIOZ,O,O,O,X,X,X,X,X,X,X
LJSTZIO,X,O,O,X,O,X,X,O,X,X
LJSTZOI,X,O,O,X,O,X,X,O,X,X
LJSTOIZ,X,O,X,O,X,X,X,X,O,X
LJSTOZI,X,O,O,O,X,X,X,X,O,X
LJSITZO,X,O,O,O,X,X,X,X,X,X
LJSITOZ,O,O,O,X,X,X,X,X,X,X
LJSIZTO,X,O,O,O,X,X,X,O,X,X
LJSIZOT,O,O,O,O,X,X,X,O,X,X
LJSIOTZ,O,O,O,O,X,X,X,X,X,X
LJSIOZT,O,O,O,O,X,X,X,X,X,X
LJSZTIO,X,O,O,X,O,X,X,O,X,X
LJSZTOI,X,O,O,X,O,X,X,O,X,X
LJSZITO,X,O,O,O,O,X,X,O,X,X
LJSZIOT,O,O,X,O,O,X,X,O,X,X
LJSZOTI,X,O,X,O,O,X,X,O,X,X
LJSZOIT,X,O,X,O,O,X,X,O,X,X
LJSOTIZ,X,O,X,O,X,X,X,X,O,X
LJSOTZI,X,O,O,O,X,X,X,X,O,X
LJSOITZ,O,O,O,O,X,X,X,X,O,X
LJSOIZT,O,O,X,O,O,X,X,X,X,X
LJSOZTI,X,O,X,O,O,X,X,O,O,X
LJSOZIT,X,O,X,O,O,X,X,O,X,X
LJZTISO,X,O,O,X,O,O,X,X,X,O
LJZTIOS,X,O,X,X,O,O,X,X,X,O
LJZTSIO,X,O,O,X,O,O,X,X,X,X
LJZTSOI,X,O,O,X,O,O,X,X,X,X
LJZTOIS,X,O,X,X,O,O,X,X,X,X
LJZTOSI,X,O,O,X,O,O,X,X,X,X
LJZITSO,X,X,O,O,O,O,X,X,X,O
LJZITOS,X,X,O,X,O,O,X,X,X,O
LJZISTO,O,X,O,O,O,O,X,X,X,O
LJZISOT,O,X,O,O,O,O,X,X,X,O
LJZIOTS,X,X,O,X,O,O,X,X,X,O
LJZIOST,X,X,O,O,O,O,X,X,X,O
LJZSTIO,O,O,O,X,O,O,X,O,X,X
LJZSTOI,X,O,O,X,O,O,X,O,X,X
LJZSITO,O,O,O,O,O,O,X,O,X,O
LJZSIOT,O,O,X,O,O,O,X,O,X,O
LJZSOTI,X,O,X,O,O,O,X,O,X,X
LJZSOIT,O,O,X,O,O,O,X,O,X,X
LJZOTIS,X,O,X,X,O,O,X,X,X,X
LJZOTSI,X,O,X,O,O,O,X,X,X,X
LJZOITS,X,X,X,O,O,O,X,X,X,O
LJZOIST,X,X,X,O,O,O,X,X,X,O
LJZOSTI,X,O,X,O,O,O,X,X,X,X
LJZOSIT,X,O,X,O,O,O,X,X,X,X
LJOTISZ,X,O,O,O,X,X,X,X,X,X
LJOTIZS,X,O,O,O,O,X,X,X,X,X
LJOTSIZ,X,O,O,O,X,X,X,X,O,X
LJOTSZI,X,O,O,O,X,X,X,X,O,X
LJOTZIS,X,O,O,X,O,O,X,X,X,X
LJOTZSI,X,O,O,O,O,O,X,X,X,X
LJOITSZ,X,O,O,O,X,X,X,X,X,X
LJOITZS,X,O,O,O,O,X,X,X,X,X
LJOISTZ,X,O,O,O,X,X,X,X,O,X
LJOISZT,X,O,O,O,O,X,X,X,X,X
LJOIZTS,X,X,O,O,O,X,X,X,X,X
LJOIZST,X,X,O,O,O,X,X,X,X,X
LJOSTIZ,X,O,O,O,X,X,X,X,O,X
LJOSTZI,X,O,O,O,X,X,X,X,O,X
LJOSITZ,X,O,O,O,X,X,X,X,O,X
LJOSIZT,X,O,O,O,O,X,X,X,X,X
LJOSZTI,X,O,O,O,O,X,X,O,O,X
LJOSZIT,X,O,O,O,O,X,X,O,X,X
LJOZTIS,X,O,O,X,O,O,X,X,X,X
LJOZTSI,X,O,O,O,O,O,X,X,X,X
LJOZITS,X,X,O,O,O,O,X,X,X,X
LJOZIST,X,X,O,O,O,O,X,X,X,X
LJOZSTI,X,O,O,O,O,O,X,X,O,X
LJOZSIT,X,O,O,O,O,O,X,X,X,X
LSTIJZO,O,O,O,X,X,X,X,X,X,X
LSTIJOZ,O,O,O,X,X,X,X,X,X,X
LSTIZJO,X,O,O,X,X,X,X,X,X,X
LSTIZOJ,X,O,O,X,X,X,X,X,X,X
LSTIOJZ,O,O,O,X,X,X,X,X,O,X
LSTIOZJ,O,X,O,X,X,X,X,X,X,X
LSTJIZO,O,O,O,X,X,X,X,X,X,X
LSTJIOZ,O,O,O,X,X,X,X,X,X,X
LSTJZIO,O,O,O,X,O,X,X,O,X,X
LSTJZOI,X,O,O,X,O,X,X,O,X,X
LSTJOIZ,O,O,X,X,X,X,X,X,O,X
LSTJOZI,O,O,O,O,X,X,X,X,O,X
LSTZIJO,O,O,O,X,X,O,X,O,X,X
LSTZIOJ,O,O,X,X,X,O,X,O,X,X
LSTZJIO,O,O,O,X,O,O,X,O,X,X
LSTZJOI,O,O,O,X,O,O,X,O,X,X
LSTZOIJ,O,O,X,X,X,O,X,O,X,X
LSTZOJI,O,O,O,X,O,O,X,O,O,X
LSTOIJZ,O,O,X,X,X,X,X,X,O,X
LSTOIZJ,O,O,X,X,X,X,X,X,X,X
LSTOJIZ,O,O,X,X,X,X,X,X,O,X
LSTOJZI,O,O,O,O,X,X,X,X,O,X
LSTOZIJ,O,O,X,O,X,O,X,X,X,X
LSTOZJI,O,O,O,O,X,O,X,X,O,X
LSITJZO,O,O,O,X,X,X,X,X,X,X
LSITJOZ,O,O,O,X,X,X,X,X,X,X
LSITZJO,X,O,O,O,X,X,X,X,X,X
LSITZOJ,X,O,O,O,X,X,X,X,X,X
LSITOJZ,O,O,O,X,X,X,X,X,O,X
LSITOZJ,O,X,O,X,X,X,X,X,X,X
LSIJTZO,X,O,O,O,X,X,X,X,X,X
LSIJTOZ,O,O,O,X,X,X,X,X,X,X
LSIJZTO,X,O,O,O,X,X,X,O,X,X
LSIJZOT,O,O,O,O,X,X,X,O,X,X
LSIJOTZ,O,O,O,X,X,X,X,X,X,X
LSIJOZT,O,O,O,O,X,X,X,X,X,X
LSIZTJO,O,O,O,O,X,X,X,O,X,X
LSIZTOJ,O,O,O,O,X,X,X,O,X,X
LSIZJTO,O,O,O,O,X,X,X,O,X,X
LSIZJOT,O,O,O,O,X,X,X,O,X,X
LSIZOTJ,O,O,X,O,X,X,X,X,X,X
LSIZOJT,O,O,X,X,X,X,X,O,X,X
LSIOTJZ,O,O,O,X,X,X,X,X,O,X
LSIOTZJ,O,O,O,X,X,X,X,X,X,X
LSIOJTZ,O,O,O,X,X,X,X,X,O,X
LSIOJZT,O,O,X,X,X,X,X,X,X,X
LSIOZTJ,O,O,X,O,X,X,X,X,X,X
LSIOZJT,O,O,X,X,X,X,X,X,X,X
LSJTIZO,O,O,O,O,X,X,X,X,X,X
LSJTIOZ,O,O,O,X,X,X,X,X,X,X
LSJTZIO,O,O,O,X,O,X,X,O,X,X
LSJTZOI,X,O,O,X,O,X,X,O,X,X
LSJTOIZ,O,O,X,O,X,X,X,X,O,X
LSJTOZI,O,O,O,O,X,X,X,X,O,X
LSJITZO,X,O,O,O,X,X,X,X,X,X
LSJITOZ,O,O,O,X,X,X,X,X,X,X
LSJIZTO,X,O,O,O,X,X,X,O,X,X
LSJIZOT,O,O,O,O,X,X,X,O,X,X
LSJIOTZ,O,O,O,O,X,X,X,X,X,X
LSJIOZT,O,O,O,O,X,X,X,X,X,X
LSJZTIO,O,O,O,X,O,X,X,O,X,X
LSJZTOI,O,O,O,X,O,X,X,O,X,X
LSJZITO,O,O,O,O,O,X,X,O,X,X
LSJZIOT,O,O,X,O,O,X,X,O,X,X
LSJZOTI,O,O,X,O,O,X,X,O,X,X
LSJZOIT,O,O,X,O,O,X,X,O,X,X
LSJOTIZ,O,O,X,O,X,X,X,X,O,X
LSJOTZI,O,O,O,O,X,X,X,X,O,X
LSJOITZ,O,O,O,O,X,X,X,X,O,X
LSJOIZT,O,O,X,O,O,X,X,X,X,X
LSJOZTI,O,O,X,O,O,X,X,O,O,X
LSJOZIT,O,O,X,O,O,X,X,O,X,X
LSZTIJO,O,O,O,X,O,O,X,O,X,X
LSZTIOJ,O,O,X,X,O,O,X,O,X,X
LSZTJIO,O,O,O,X,O,O,X,O,X,X
LSZTJOI,O,O,O,X,O,O,X,O,X,X
LSZTOIJ,O,O,X,X,O,O,X,O,X,X
LSZTOJI,O,O,O,X,O,O,X,O,O,X
LSZITJO,O,O,O,X,O,X,X,O,X,X
LSZITOJ,O,O,O,X,O,X,X,O,X,X
LSZIJTO,O,O,O,X,O,X,X,O,X,X
LSZIJOT,O,O,X,X,O,X,X,O,X,X
LSZIOTJ,O,O,X,X,O,X,X,X,X,X
LSZIOJT,O,O,X,X,O,X,X,O,X,X
LSZJTIO,O,O,O,X,O,O,X,O,X,X
LSZJTOI,O,O,O,X,O,O,X,O,X,X
LSZJITO,O,O,O,X,O,O,X,O,X,X
LSZJIOT,O,O,X,X,O,O,X,O,X,X
LSZJOTI,O,O,X,X,O,O,X,O,X,X
LSZJOIT,O,O,X,X,O,O,X,O,X,X
LSZOTIJ,O,O,X,X,O,O,X,O,X,X
LSZOTJI,O,O,X,X,O,O,X,O,O,X
LSZOITJ,O,O,X,X,O,X,X,X,X,X
LSZOIJT,O,O,X,X,O,X,X,O,X,X
LSZOJTI,O,O,X,X,O,O,X,O,O,X
LSZOJIT,O,O,X,X,O,O,X,O,X,X
LSOTIJZ,O,O,X,X,X,X,X,X,O,X
