sequence,v115@zgB8HeC8GeD8FeD8FeH8AeA8Je07IvhFlcB3dB5jBy?nBTmBmsB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhFXdBTeBUhBW?oByrBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Je07IvhFxcBFiB6oBX?jBTmBmsB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jel7IvhFUdBajB5jBO?mBzmBftB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Je07IvhFajB5jBFiBT?mBftBmrB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhFXdB6jBziBm?mBUmBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhF8hBzdB+jBa?mBXnBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhF8hBWjBamBT?jBXnBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Je07IvhFxdBCiBTjBO?mBXnBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhFUhBFiBTjBf?tBywBGtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8JeC9IvhFUhBxiBTjBX?nBmlBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8JeaDJvhF5jBUhBFiBf?tBmqBzrB
LIZJTSO,O,O,O,X,X,X,X,X,X,X,X,X
LIZJTOS,O,O,O,X,X,X,X,X,X,X,X,X
LIZJSTO,O,O,X,X,X,X,X,X,X,X,X,X
LIZJSOT,O,X,X,X,X,X,X,X,X,X,X,X
LIZJOTS,O,X,X,X,X,X,X,X,X,X,X,X
LIZJOST,O,X,X,X,X,X,X,X,X,X,X,X
LIZSTJO,X,O,X,X,O,X,X,X,X,X,X,O
LIZSTOJ,X,O,X,X,O,X,X,X,X,O,X,O
LIZSJTO,X,O,X,X,O,X,X,X,X,X,X,O
LIZSJOT,X,X,X,X,O,X,X,X,X,X,X,X
LIZSOTJ,X,O,X,X,O,X,X,X,X,O,X,O
LIZSOJT,X,X,X,X,O,X,X,X,X,X,X,X
LIZOTJS,O,O,O,X,X,X,X,X,X,X,X,X
LIZOTSJ,X,O,O,X,X,X,X,X,X,X,X,X
LIZOJTS,O,X,O,X,X,X,X,X,X,X,X,X
LIZOJST,O,X,X,X,X,X,X,X,X,X,X,X
LIZOSTJ,X,O,X,X,O,X,X,X,X,X,X,X
LIZOSJT,X,X,X,X,O,X,X,X,X,X,X,X
LIOTJSZ,O,O,X,X,X,X,X,X,X,X,X,X
LIOTJZS,O,O,O,X,X,X,X,X,X,X,X,X
LIOTSJZ,X,O,X,O,X,X,X,X,X,X,X,X
LIOTSZJ,X,X,O,O,X,X,X,X,X,X,X,X
LIOTZJS,O,X,O,X,X,X,X,X,X,X,X,X
LIOTZSJ,X,X,O,X,X,X,X,X,X,X,X,X
LIOJTSZ,O,X,O,O,X,X,X,X,X,X,X,X
LIOJTZS,O,X,O,X,X,X,X,X,X,X,X,X
LIOJSTZ,O,X,X,O,X,X,X,X,X,X,X,X
LIOJSZT,O,X,X,O,X,X,X,X,X,X,X,X
LIOJZTS,O,X,O,X,X,X,X,X,X,X,X,X
LIOJZST,O,X,X,X,X,X,X,X,X,X,X,X
LIOSTJZ,X,O,X,O,O,X,X,X,X,X,X,X
LIOSTZJ,X,X,X,O,O,X,X,X,X,X,X,X
LIOSJTZ,X,X,X,O,O,X,X,X,X,X,X,X
LIOSJZT,X,X,X,O,O,X,X,X,X,X,X,X
LIOSZTJ,X,X,X,O,O,X,X,X,X,X,X,X
LIOSZJT,X,X,X,O,O,X,X,X,X,X,X,X
LIOZTJS,O,X,O,X,X,X,X,X,X,X,X,X
LIOZTSJ,X,X,O,X,X,X,X,X,X,X,X,X
LIOZJTS,O,X,O,X,X,X,X,X,X,X,X,X
LIOZJST,O,X,X,X,X,X,X,X,X,X,X,X
LIOZSTJ,X,X,X,X,O,X,X,X,X,X,X,X
LIOZSJT,X,X,X,X,O,X,X,X,X,X,X,X
LJTISZO,O,O,O,O,X,O,O,X,X,X,X,X
LJTISOZ,O,O,X,O,X,O,O,X,X,X,X,X
LJTIZSO,O,O,O,X,X,O,X,X,X,X,X,X
LJTIZOS,O,O,O,X,X,X,X,X,X,X,X,X
LJTIOSZ,O,O,X,O,X,O,O,X,X,X,X,X
LJTIOZS,O,O,O,X,X,O,X,X,X,X,X,X
LJTSIZO,O,O,O,O,X,O,O,O,X,X,X,X
LJTSIOZ,O,O,X,O,X,O,O,X,X,X,X,X
LJTSZIO,O,O,O,O,X,O,O,O,X,X,X,X
LJTSZOI,O,O,O,O,X,X,O,O,X,X,X,X
LJTSOIZ,O,O,X,O,X,O,O,X,X,X,X,X
LJTSOZI,O,O,X,O,X,O,O,O,X,X,X,X
LJTZISO,O,O,O,X,X,O,X,X,X,X,X,X
LJTZIOS,O,O,O,X,X,X,X,X,X,X,X,X
LJTZSIO,O,O,O,O,X,O,O,X,X,X,X,X
LJTZSOI,O,O,O,O,X,X,O,X,X,X,X,X
LJTZOIS,O,O,O,X,X,X,X,X,X,X,X,X
LJTZOSI,O,O,O,O,X,X,O,X,X,X,X,X
LJTOISZ,O,O,O,O,X,O,O,X,X,X,X,X
LJTOIZS,O,O,O,X,X,O,X,X,X,X,X,X
LJTOSIZ,O,O,O,O,X,O,O,X,X,X,X,X
LJTOSZI,O,O,O,O,X,O,O,X,X,X,X,X
LJTOZIS,O,O,O,X,X,O,X,X,X,X,X,X
LJTOZSI,O,O,O,O,X,O,O,X,X,X,X,X
LJITSZO,O,O,O,O,X,O,X,X,X,X,X,X
LJITSOZ,O,O,X,O,X,O,X,X,X,X,X,X
LJITZSO,O,O,O,X,X,O,X,X,X,X,X,X
LJITZOS,O,O,O,X,X,X,X,X,X,X,X,X
LJITOSZ,O,O,X,O,X,O,X,X,X,X,X,X
LJITOZS,O,O,O,X,X,O,X,X,X,X,X,X
LJISTZO,O,O,X,O,X,O,X,X,X,X,X,X
LJISTOZ,O,O,X,O,X,O,X,X,X,X,X,X
LJISZTO,O,X,X,O,X,X,X,X,X,X,X,X
LJISZOT,O,X,X,O,X,X,X,X,X,X,X,X
LJISOTZ,O,X,X,O,X,X,X,X,X,X,X,X
LJISOZT,O,X,X,O,X,X,X,X,X,X,X,X
LJIZTSO,O,X,O,X,X,X,X,X,X,X,X,X
LJIZTOS,O,X,O,X,X,X,X,X,X,X,X,X
LJIZSTO,O,X,X,X,X,X,X,X,X,X,X,X
LJIZSOT,O,X,X,X,X,X,X,X,X,X,X,X
LJIZOTS,O,X,X,X,X,X,X,X,X,X,X,X
LJIZOST,O,X,X,X,X,X,X,X,X,X,X,X
LJIOTSZ,O,X,O,O,X,X,X,X,X,X,X,X
LJIOTZS,O,X,O,X,X,X,X,X,X,X,X,X
LJIOSTZ,O,X,X,O,X,X,X,X,X,X,X,X
LJIOSZT,O,X,X,O,X,X,X,X,X,X,X,X
LJIOZTS,O,X,O,X,X,X,X,X,X,X,X,X
LJIOZST,O,X,X,X,X,X,X,X,X,X,X,X
LJSTIZO,O,O,O,O,X,O,O,O,X,X,X,X
LJSTIOZ,O,O,X,O,X,O,O,X,X,X,X,X
LJSTZIO,O,O,O,O,X,O,O,O,X,X,X,X
LJSTZOI,O,O,O,O,X,X,O,O,X,X,X,X
LJSTOIZ,O,O,X,O,X,O,O,X,X,X,X,X
LJSTOZI,O,O,X,O,X,O,O,O,X,X,X,X
LJSITZO,O,O,X,O,X,O,X,X,X,X,X,X
LJSITOZ,O,O,X,O,X,O,X,X,X,X,X,X
LJSIZTO,O,X,X,O,X,X,X,O,X,X,X,X
LJSIZOT,O,X,X,O,X,X,X,O,X,X,X,X
LJSIOTZ,O,X,X,O,X,X,X,X,X,X,X,X
LJSIOZT,O,X,X,O,X,X,X,X,X,X,X,X
LJSZTIO,O,O,O,O,X,X,O,O,X,X,X,X
LJSZTOI,O,O,O,O,X,X,O,O,X,X,X,X
LJSZITO,O,O,X,O,X,X,O,O,X,X,X,X
LJSZIOT,O,X,X,O,X,X,X,O,X,X,X,X
LJSZOTI,O,X,X,O,X,X,X,O,X,X,X,X
LJSZOIT,O,X,X,O,X,X,X,O,X,X,X,X
LJSOTIZ,O,X,O,O,X,X,X,X,X,X,X,X
LJSOTZI,O,X,O,O,X,X,X,X,X,X,X,X
LJSOITZ,O,X,X,O,X,X,X,X,X,X,X,X
LJSOIZT,O,X,X,O,X,X,X,X,X,X,X,X
LJSOZTI,O,X,O,O,X,X,X,O,X,X,X,X
LJSOZIT,O,X,X,O,X,X,X,O,X,X,X,X
LJZTISO,O,O,O,X,X,X,X,X,X,X,X,X
LJZTIOS,O,O,O,X,X,X,X,X,X,X,X,X
LJZTSIO,O,O,O,O,X,X,X,X,X,X,X,X
LJZTSOI,O,O,O,O,X,X,X,X,X,X,X,X
LJZTOIS,O,O,O,X,X,X,X,X,X,X,X,X
LJZTOSI,O,O,O,O,X,X,X,X,X,X,X,X
LJZITSO,O,O,O,X,X,X,X,X,X,X,X,X
LJZITOS,O,O,O,X,X,X,X,X,X,X,X,X
LJZISTO,O,O,X,X,X,X,X,X,X,X,X,X
LJZISOT,O,X,X,X,X,X,X,X,X,X,X,X
LJZIOTS,O,X,X,X,X,X,X,X,X,X,X,X
LJZIOST,O,X,X,X,X,X,X,X,X,X,X,X
LJZSTIO,O,O,O,O,X,X,X,X,X,X,X,X
LJZSTOI,O,O,O,O,X,X,X,X,X,X,X,X
LJZSITO,O,O,X,O,X,X,X,X,X,X,X,X
LJZSIOT,O,X,X,O,X,X,X,X,X,X,X,X
LJZSOTI,O,X,X,O,X,X,X,X,X,X,X,X
LJZSOIT,O,X,X,O,X,X,X,X,X,X,X,X
LJZOTIS,O,X,O,X,X,X,X,X,X,X,X,X
LJZOTSI,O,X,O,O,X,X,X,X,X,X,X,X
LJZOITS,O,X,O,X,X,X,X,X,X,X,X,X
LJZOIST,O,X,X,X,X,X,X,X,X,X,X,X
LJZOSTI,O,X,O,O,X,X,X,X,X,X,X,X
LJZOSIT,O,X,X,O,X,X,X,X,X,X,X,X
LJOTISZ,O,X,O,O,X,X,X,X,X,X,X,X
LJOTIZS,O,X,O,X,X,X,X,X,X,X,X,X
LJOTSIZ,O,X,O,O,X,X,X,X,X,X,X,X
LJOTSZI,O,X,O,O,X,X,X,X,X,X,X,X
LJOTZIS,O,X,O,X,X,X,X,X,X,X,X,X
LJOTZSI,O,X,O,O,X,X,X,X,X,X,X,X
LJOITSZ,O,X,O,O,X,X,X,X,X,X,X,X
LJOITZS,O,X,O,X,X,X,X,X,X,X,X,X
LJOISTZ,O,X,X,O,X,X,X,X,X,X,X,X
LJOISZT,O,X,X,O,X,X,X,X,X,X,X,X
LJOIZTS,O,X,O,X,X,X,X,X,X,X,X,X
LJOIZST,O,X,X,X,X,X,X,X,X,X,X,X
LJOSTIZ,O,X,O,O,X,X,X,X,X,X,X,X
LJOSTZI,O,X,O,O,X,X,X,X,X,X,X,X
LJOSITZ,O,X,X,O,X,X,X,X,X,X,X,X
LJOSIZT,O,X,X,O,X,X,X,X,X,X,X,X
LJOSZTI,O,X,O,O,X,X,X,X,X,X,X,X
LJOSZIT,O,X,X,O,X,X,X,X,X,X,X,X
LJOZTIS,O,X,O,X,X,X,X,X,X,X,X,X
LJOZTSI,O,X,O,O,X,X,X,X,X,X,X,X
LJOZITS,O,X,O,X,X,X,X,X,X,X,X,X
LJOZIST,O,X,X,X,X,X,X,X,X,X,X,X
LJOZSTI,O,X,O,O,X,X,X,X,X,X,X,X
LJOZSIT,O,X,X,O,X,X,X,X,X,X,X,X
LSTIJZO,X,O,X,O,O,X,O,O,X,X,X,O
LSTIJOZ,X,O,X,O,X,X,O,X,X,X,X,X
LSTIZJO,X,O,X,O,O,X,O,O,X,X,O,O
LSTIZOJ,X,O,X,O,O,X,O,O,O,X,O,O
LSTIOJZ,X,O,X,O,O,X,X,X,O,X,X,X
LSTIOZJ,X,X,X,O,O,X,X,X,O,X,X,O
LSTJIZO,X,O,X,O,O,X,O,O,X,X,X,O
LSTJIOZ,X,O,X,O,X,X,O,X,X,X,X,X
LSTJZIO,X,O,X,O,O,X,O,O,X,X,X,O
LSTJZOI,X,O,X,O,X,X,O,O,O,X,X,X
LSTJOIZ,X,O,X,O,X,X,O,X,O,X,X,X
LSTJOZI,X,O,X,O,X,X,O,O,O,X,X,X
LSTZIJO,X,O,X,O,O,X,O,O,X,X,O,O
LSTZIOJ,X,O,X,O,O,X,O,O,O,O,O,O
LSTZJIO,X,O,X,O,O,X,O,O,X,X,O,O
LSTZJOI,X,O,X,O,X,X,O,O,O,X,X,X
LSTZOIJ,X,O,X,O,O,X,O,O,O,O,O,O
LSTZOJI,X,O,X,O,O,X,O,O,O,O,X,X
LSTOIJZ,X,O,X,O,O,X,X,X,O,X,X,X
LSTOIZJ,X,X,X,O,O,X,X,X,O,X,X,O
LSTOJIZ,X,O,X,O,O,X,O,X,O,X,X,X
LSTOJZI,X,O,X,O,O,X,O,O,O,X,X,X
LSTOZIJ,X,O,X,O,O,X,O,O,O,O,X,O
LSTOZJI,X,O,X,O,O,X,O,O,O,O,X,X
LSITJZO,X,O,X,O,O,X,O,O,X,X,X,O
LSITJOZ,X,O,X,O,X,X,O,X,X,X,X,X
LSITZJO,X,O,X,O,O,X,O,O,X,X,X,O
LSITZOJ,X,O,X,O,O,X,O,O,O,X,X,O
LSITOJZ,X,O,X,O,O,X,X,X,O,X,X,X
LSITOZJ,X,X,X,O,O,X,X,X,O,X,X,O
LSIJTZO,X,O,X,O,O,X,X,X,X,X,X,O
LSIJTOZ,X,O,X,O,X,X,X,X,X,X,X,X
LSIJZTO,X,X,X,O,O,X,X,O,X,X,X,O
LSIJZOT,X,X,X,O,O,X,X,O,X,X,X,X
LSIJOTZ,X,X,X,O,O,X,X,X,X,X,X,X
LSIJOZT,X,X,X,O,O,X,X,X,X,X,X,X
LSIZTJO,X,O,X,O,O,X,O,O,X,X,O,O
LSIZTOJ,X,O,X,O,O,X,O,O,O,O,O,O
LSIZJTO,X,O,X,O,O,X,O,O,X,X,O,O
LSIZJOT,X,X,X,O,O,X,X,O,X,X,X,X
LSIZOTJ,X,O,X,O,O,X,O,O,X,O,O,O
LSIZOJT,X,X,X,O,O,X,X,O,X,X,X,X
LSIOTJZ,X,O,X,O,O,X,X,X,X,X,X,X
LSIOTZJ,X,X,X,O,O,X,X,X,X,X,X,O
LSIOJTZ,X,X,X,O,O,X,X,X,X,X,X,X
LSIOJZT,X,X,X,O,O,X,X,X,X,X,X,X
LSIOZTJ,X,X,X,O,O,X,X,X,X,O,X,O
LSIOZJT,X,X,X,O,O,X,X,X,X,X,X,X
LSJTIZO,X,O,O,O,O,X,O,O,X,X,X,O
LSJTIOZ,X,O,X,O,X,X,O,X,X,X,X,X
LSJTZIO,X,O,O,O,O,X,O,O,X,X,X,O
LSJTZOI,X,O,O,O,X,X,O,O,O,X,X,X
LSJTOIZ,X,O,X,O,X,X,O,X,O,X,X,X
LSJTOZI,X,O,X,O,X,X,O,O,O,X,X,X
LSJITZO,X,O,X,O,O,X,X,X,X,X,X,O
LSJITOZ,X,O,X,O,X,X,X,X,X,X,X,X
LSJIZTO,X,X,X,O,O,X,X,O,X,X,X,O
LSJIZOT,X,X,X,O,O,X,X,O,X,X,X,X
LSJIOTZ,X,X,X,O,O,X,X,X,X,X,X,X
LSJIOZT,X,X,X,O,O,X,X,X,X,X,X,X
LSJZTIO,X,O,O,O,O,X,O,O,X,X,X,O
LSJZTOI,X,O,O,O,X,X,O,O,O,X,X,X
LSJZITO,X,O,X,O,O,X,O,O,X,X,X,O
LSJZIOT,X,X,X,O,O,X,X,O,X,X,X,X
LSJZOTI,X,X,X,O,O,X,X,O,X,X,X,X
LSJZOIT,X,X,X,O,O,X,X,O,X,X,X,X
LSJOTIZ,X,X,O,O,O,X,X,X,X,X,X,X
LSJOTZI,X,X,O,O,O,X,X,X,X,X,X,X
LSJOITZ,X,X,X,O,O,X,X,X,X,X,X,X
LSJOIZT,X,X,X,O,O,X,X,X,X,X,X,X
LSJOZTI,X,X,O,O,O,X,X,O,X,X,X,X
LSJOZIT,X,X,X,O,O,X,X,O,X,X,X,X
LSZTIJO,X,O,X,O,O,X,O,O,X,X,O,O
LSZTIOJ,X,O,X,O,O,X,O,O,O,O,O,O
LSZTJIO,X,O,X,O,O,X,O,O,X,X,O,O
LSZTJOI,X,O,X,O,X,X,O,O,O,X,X,X
LSZTOIJ,X,O,X,O,O,X,O,O,O,O,O,O
LSZTOJI,X,O,X,O,O,X,O,O,O,O,X,X
LSZITJO,X,O,X,O,O,X,O,O,X,X,O,O
LSZITOJ,X,O,X,O,O,X,O,O,O,O,O,O
LSZIJTO,X,O,X,O,O,X,O,O,X,X,O,O
LSZIJOT,X,X,X,O,O,X,X,O,X,X,X,X
LSZIOTJ,X,O,X,O,O,X,O,O,X,O,O,O
LSZIOJT,X,X,X,O,O,X,X,O,X,X,X,X
LSZJTIO,X,O,O,O,O,X,O,O,X,X,O,O
LSZJTOI,X,O,O,O,X,X,O,O,O,X,X,X
LSZJITO,X,O,X,O,O,X,O,O,X,X,O,O
LSZJIOT,X,X,X,O,O,X,X,O,X,X,X,X
LSZJOTI,X,X,X,O,O,X,X,O,X,X,X,X
LSZJOIT,X,X,X,O,O,X,X,O,X,X,X,X
LSZOTIJ,X,O,O,O,O,X,O,O,O,O,O,O
LSZOTJI,X,O,O,O,O,X,O,O,O,O,X,X
LSZOITJ,X,O,X,O,O,X,O,O,X,O,O,O
LSZOIJT,X,X,X,O,O,X,X,O,X,X,X,X
LSZOJTI,X,X,O,O,O,X,X,O,X,X,X,X
LSZOJIT,X,X,X,O,O,X,X,O,X,X,X,X
LSOTIJZ,X,O,X,O,O,X,X,X,O,X,X,X
LSOTIZJ,X,X,O,O,O,X,X,X,O,X,X,O
LSOTJIZ,X,O,X,O,O,X,O,X,O,X,X,X
LSOTJZI,X,O,X,O,O,X,O,O,O,X,X,X
LSOTZIJ,X,O,O,O,O,X,O,O,O,O,X,O
LSOTZJI,X,O,O,O,O,X,O,O,O,O,X,X
LSOITJZ,X,O,X,O,O,X,X,X,X,X,X,X
LSOITZJ,X,X,X,O,O,X,X,X,X,X,X,O
LSOIJTZ,X,X,X,O,O,X,X,X,X,X,X,X
LSOIJZT,X,X,X,O,O,X,X,X,X,X,X,X
LSOIZTJ,X,X,X,O,O,X,X,X,X,O,X,O
LSOIZJT,X,X,X,O,O,X,X,X,X,X,X,X
LSOJTIZ,X,X,O,O,O,X,X,X,X,X,X,X
LSOJTZI,X,X,O,O,O,X,X,X,X,X,X,X
LSOJITZ,X,X,X,O,O,X,X,X,X,X,X,X
LSOJIZT,X,X,X,O,O,X,X,X,X,X,X,X
LSOJZTI,X,X,O,O,O,X,X,O,X,X,X,X
LSOJZIT,X,X,X,O,O,X,X,O,X,X,X,X
LSOZTIJ,X,O,O,O,O,X,O,O,O,O,X,O
LSOZTJI,X,O,O,O,O,X,O,O,O,O,X,X
LSOZITJ,X,O,X,O,O,X,O,O,X,O,X,O
LSOZIJT,X,X,X,O,O,X,X,O,X,X,X,X
LSOZJTI,X,X,O,O,O,X,X,O,X,X,X,X
LSOZJIT,X,X,X,O,O,X,X,O,X,X,X,X
LZTIJSO,O,O,X,X,X,X,X,X,X,X,X,X
LZTIJOS,O,O,X,X,X,X,X,X,X,X,X,X
LZTISJO,X,O,X,X,X,X,X,X,X,X,X,X
LZTISOJ,X,O,X,X,X,X,X,X,X,O,X,X
LZTIOJS,O,O,X,X,X,X,X,X,X,X,X,X
LZTIOSJ,X,O,X,X,X,X,X,X,X,X,X,X
LZTJISO,O,O,O,X,X,X,X,X,X,X,X,X
LZTJIOS,O,O,O,X,X,X,X,X,X,X,X,X
LZTJSIO,O,O,O,X,X,X,O,X,X,X,X,X
LZTJSOI,O,O,O,X,X,X,O,X,X,X,X,X
LZTJOIS,O,O,O,X,X,X,X,X,X,X,X,X
LZTJOSI,O,O,O,X,X,X,O,X,X,X,X,X
LZTSIJO,X,O,X,X,X,X,O,O,X,X,O,O
LZTSIOJ,X,O,X,X,X,X,O,O,O,O,O,O
LZTSJIO,X,O,X,X,X,X,O,O,X,X,O,O
LZTSJOI,X,O,X,X,X,X,O,O,O,X,X,X
LZTSOIJ,X,O,X,X,X,X,O,O,O,O,O,O
LZTSOJI,X,O,X,X,X,X,O,O,O,O,X,X
LZTOIJS,O,O,O,X,X,X,X,X,X,X,X,X
LZTOISJ,X,O,O,X,X,X,X,X,O,X,X,X
LZTOJIS,O,O,O,X,X,X,X,X,X,X,X,X
LZTOJSI,O,O,O,X,X,X,X,X,X,X,X,X
LZTOSIJ,X,O,O,X,X,X,X,X,O,X,X,X
LZTOSJI,X,O,O,X,X,X,X,X,O,X,X,X
LZITJSO,O,O,X,X,X,X,X,X,X,X,X,X
LZITJOS,O,O,X,X,X,X,X,X,X,X,X,X
LZITSJO,X,O,X,X,X,X,X,X,X,X,X,X
LZITSOJ,X,O,X,X,X,X,X,X,X,O,X,X
LZITOJS,O,O,X,X,X,X,X,X,X,X,X,X
LZITOSJ,X,O,X,X,X,X,X,X,X,X,X,X
LZIJTSO,O,O,O,X,X,X,X,X,X,X,X,X
LZIJTOS,O,O,O,X,X,X,X,X,X,X,X,X
LZIJSTO,O,O,X,X,X,X,X,X,X,X,X,X
LZIJSOT,O,X,X,X,X,X,X,X,X,X,X,X
LZIJOTS,O,X,X,X,X,X,X,X,X,X,X,X
LZIJOST,O,X,X,X,X,X,X,X,X,X,X,X
LZISTJO,X,O,X,X,O,X,X,X,X,X,O,O
LZISTOJ,X,O,X,X,O,X,X,X,X,O,O,O
LZISJTO,X,O,X,X,O,X,X,X,X,X,O,O
LZISJOT,X,X,X,X,O,X,X,X,X,X,X,X
LZISOTJ,X,O,X,X,O,X,X,X,X,O,O,O
LZISOJT,X,X,X,X,O,X,X,X,X,X,X,X
LZIOTJS,O,O,O,X,X,X,X,X,X,X,X,X
LZIOTSJ,X,O,O,X,X,X,X,X,X,X,X,X
LZIOJTS,O,X,O,X,X,X,X,X,X,X,X,X
LZIOJST,O,X,X,X,X,X,X,X,X,X,X,X
LZIOSTJ,X,O,X,X,O,X,X,X,X,X,X,X
LZIOSJT,X,X,X,X,O,X,X,X,X,X,X,X
LZJTISO,O,O,O,X,X,X,X,X,X,X,X,X
LZJTIOS,O,O,O,X,X,X,X,X,X,X,X,X
LZJTSIO,O,O,O,X,X,X,X,X,X,X,X,X
LZJTSOI,O,O,O,X,X,X,X,X,X,X,X,X
LZJTOIS,O,O,O,X,X,X,X,X,X,X,X,X
LZJTOSI,O,O,O,X,X,X,X,X,X,X,X,X
LZJITSO,O,O,O,X,X,X,X,X,X,X,X,X
LZJITOS,O,O,O,X,X,X,X,X,X,X,X,X
LZJISTO,O,O,X,X,X,X,X,X,X,X,X,X
LZJISOT,O,X,X,X,X,X,X,X,X,X,X,X
LZJIOTS,O,X,X,X,X,X,X,X,X,X,X,X
LZJIOST,O,X,X,X,X,X,X,X,X,X,X,X
LZJSTIO,O,O,O,X,X,X,X,X,X,X,O,X
LZJSTOI,O,O,O,X,X,X,X,X,X,X,X,X
LZJSITO,O,O,X,X,X,X,X,X,X,X,O,X
LZJSIOT,O,X,X,X,X,X,X,X,X,X,X,X
LZJSOTI,O,X,X,X,X,X,X,X,X,X,X,X
LZJSOIT,O,X,X,X,X,X,X,X,X,X,X,X
LZJOTIS,O,X,O,X,X,X,X,X,X,X,X,X
LZJOTSI,O,X,O,X,X,X,X,X,X,X,X,X
LZJOITS,O,X,O,X,X,X,X,X,X,X,X,X
LZJOIST,O,X,X,X,X,X,X,X,X,X,X,X
LZJOSTI,O,X,O,X,X,X,X,X,X,X,X,X
LZJOSIT,O,X,X,X,X,X,X,X,X,X,X,X
LZSTIJO,X,O,X,X,O,X,O,O,X,X,O,O
LZSTIOJ,X,O,X,X,O,X,O,O,O,O,O,O
LZSTJIO,X,O,X,X,O,X,O,O,X,X,O,O
LZSTJOI,X,O,X,X,X,X,O,O,O,X,X,X
LZSTOIJ,X,O,X,X,O,X,O,O,O,O,O,O
LZSTOJI,X,O,X,X,O,X,O,O,O,O,X,X
LZSITJO,X,O,X,X,O,X,O,O,X,X,O,O
LZSITOJ,X,O,X,X,O,X,O,O,O,O,O,O
LZSIJTO,X,O,X,X,O,X,O,O,X,X,O,O
LZSIJOT,X,X,X,X,O,X,X,O,X,X,X,X
LZSIOTJ,X,O,X,X,O,X,O,O,X,O,O,O
LZSIOJT,X,X,X,X,O,X,X,O,X,X,X,X
LZSJTIO,X,O,O,X,O,X,O,O,X,X,O,O
LZSJTOI,X,O,O,X,X,X,O,O,O,X,X,X
LZSJITO,X,O,X,X,O,X,O,O,X,X,O,O
LZSJIOT,X,X,X,X,O,X,X,O,X,X,X,X
LZSJOTI,X,X,X,X,O,X,X,O,X,X,X,X
LZSJOIT,X,X,X,X,O,X,X,O,X,X,X,X
LZSOTIJ,X,O,O,X,O,X,O,O,O,O,O,O
LZSOTJI,X,O,O,X,O,X,O,O,O,O,X,X
LZSOITJ,X,O,X,X,O,X,O,O,X,O,O,O
LZSOIJT,X,X,X,X,O,X,X,O,X,X,X,X
LZSOJTI,X,X,O,X,O,X,X,O,X,X,X,X
LZSOJIT,X,X,X,X,O,X,X,O,X,X,X,X
LZOTIJS,O,O,O,X,X,X,X,X,X,X,X,X
LZOTISJ,X,O,O,X,X,X,X,X,X,X,X,X
LZOTJIS,O,O,O,X,X,X,X,X,X,X,X,X
LZOTJSI,O,O,O,X,X,X,X,X,X,X,X,X
LZOTSIJ,X,O,O,X,O,X,X,X,X,X,X,X
LZOTSJI,X,O,O,X,O,X,X,X,X,X,X,X
LZOITJS,O,O,O,X,X,X,X,X,X,X,X,X
LZOITSJ,X,O,O,X,X,X,X,X,X,X,X,X
LZOIJTS,O,X,O,X,X,X,X,X,X,X,X,X
LZOIJST,O,X,X,X,X,X,X,X,X,X,X,X
LZOISTJ,X,O,X,X,O,X,X,X,X,X,X,X
LZOISJT,X,X,X,X,O,X,X,X,X,X,X,X
LZOJTIS,O,X,O,X,X,X,X,X,X,X,X,X
LZOJTSI,O,X,O,X,X,X,X,X,X,X,X,X
LZOJITS,O,X,O,X,X,X,X,X,X,X,X,X
LZOJIST,O,X,X,X,X,X,X,X,X,X,X,X
LZOJSTI,O,X,O,X,X,X,X,X,X,X,X,X
LZOJSIT,O,X,X,X,X,X,X,X,X,X,X,X
LZOSTIJ,X,O,O,X,O,X,X,X,X,X,O,X
LZOSTJI,X,O,O,X,O,X,X,X,X,X,X,X
LZOSITJ,X,O,X,X,O,X,X,X,X,X,O,X
LZOSIJT,X,X,X,X,O,X,X,X,X,X,X,X
LZOSJTI,X,X,O,X,O,X,X,X,X,X,X,X
LZOSJIT,X,X,X,X,O,X,X,X,X,X,X,X
LOTIJSZ,O,O,X,X,X,X,X,X,X,X,X,X
LOTIJZS,O,O,O,X,X,X,X,X,X,X,X,X
LOTISJZ,X,O,X,O,X,X,X,X,X,X,X,X
LOTISZJ,X,X,O,O,X,X,X,X,X,X,X,X
LOTIZJS,O,X,O,X,X,X,X,X,X,X,X,X
LOTIZSJ,X,X,O,X,X,X,X,X,X,X,X,X
LOTJISZ,O,O,O,X,X,X,O,X,X,X,X,X
LOTJIZS,O,O,O,X,X,X,X,X,X,X,X,X
LOTJSIZ,O,O,O,X,X,X,O,X,X,X,X,X
LOTJSZI,O,O,O,X,X,X,O,X,X,X,X,X
LOTJZIS,O,O,O,X,X,X,X,X,X,X,X,X
LOTJZSI,O,O,O,X,X,X,O,X,X,X,X,X
LOTSIJZ,X,O,X,O,O,X,X,X,X,X,X,X
LOTSIZJ,X,X,O,O,O,X,X,X,X,X,X,X
