sequence,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBOhBTeBt?mB0nBXsB,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBdiBGeB/?mBznB0rB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFdiBqiBTeBO?kB/mB0rB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFNhBCeBOkB8?mBXoBzrB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFNhB3dBcjBO?kBCnBzrB,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBNhBWjB8?mBXoBzrB
LZOTISJ,O,O,X,X,X,X
LZOTJIS,O,O,O,X,O,O
LZOTJSI,O,O,O,X,O,X
LZOTSIJ,O,O,X,X,X,X
LZOTSJI,O,O,O,X,O,X
LZOITJS,O,O,X,X,X,O
LZOITSJ,O,O,X,X,X,X
LZOIJTS,O,O,X,X,X,O
LZOIJST,X,O,X,X,X,X
LZOISTJ,O,O,X,X,X,X
LZOISJT,X,O,X,X,X,X
LZOJTIS,O,O,O,X,O,O
LZOJTSI,O,O,O,X,O,X
LZOJITS,O,O,O,X,O,O
LZOJIST,X,O,O,X,O,X
LZOJSTI,X,O,O,X,O,X
LZOJSIT,X,O,O,X,O,X
LZOSTIJ,O,O,X,X,X,X
LZOSTJI,O,O,O,X,O,X
LZOSITJ,O,O,X,X,X,X
LZOSIJT,X,O,X,X,X,X
LZOSJTI,X,O,O,X,O,X
LZOSJIT,X,O,O,X,O,X
LOTIJSZ,O,O,O,X,X,X
LOTIJZS,O,O,O,X,X,O
LOTISJZ,O,O,O,X,X,X
LOTISZJ,X,O,X,X,X,X
LOTIZJS,O,O,X,X,X,O
LOTIZSJ,O,O,X,X,X,X
LOTJISZ,O,O,O,X,X,X
LOTJIZS,O,O,O,X,O,O
LOTJSIZ,O,O,O,X,X,X
LOTJSZI,O,O,O,X,X,X
LOTJZIS,O,O,O,X,O,O
LOTJZSI,O,O,O,X,O,X
LOTSIJZ,O,O,O,X,X,X
LOTSIZJ,X,O,X,X,X,X
LOTSJIZ,O,O,O,X,X,X
LOTSJZI,O,O,O,X,X,X
LOTSZIJ,X,O,X,X,X,X
LOTSZJI,X,O,O,X,X,X
LOTZIJS,O,O,X,X,X,O
LOTZISJ,O,O,X,X,X,X
LOTZJIS,O,O,O,X,O,O
LOTZJSI,O,O,O,X,O,X
LOTZSIJ,O,O,X,X,X,X
LOTZSJI,O,O,O,X,O,X
LOITJSZ,O,O,O,X,X,X
LOITJZS,O,O,O,X,X,O
LOITSJZ,O,O,O,X,X,X
LOITSZJ,X,O,X,X,X,X
LOITZJS,O,O,X,X,X,O
LOITZSJ,O,O,X,X,X,X
LOIJTSZ,O,O,O,X,X,X
LOIJTZS,O,O,O,X,X,O
LOIJSTZ,O,O,O,X,X,X
LOIJSZT,X,O,O,X,X,X
LOIJZTS,O,O,O,X,X,O
LOIJZST,X,O,O,X,X,X
LOISTJZ,O,O,O,X,X,X
LOISTZJ,X,O,X,X,X,X
LOISJTZ,O,O,O,X,X,X
LOISJZT,X,O,O,X,X,X
LOISZTJ,O,O,X,X,X,X
LOISZJT,X,O,X,X,X,X
LOIZTJS,O,O,X,X,X,O
LOIZTSJ,O,O,X,X,X,X
LOIZJTS,O,O,X,X,X,O
LOIZJST,X,O,X,X,X,X
LOIZSTJ,O,O,X,X,X,X
LOIZSJT,X,O,X,X,X,X
LOJTISZ,O,O,O,X,X,X
LOJTIZS,O,O,O,X,O,O
LOJTSIZ,O,O,O,X,X,X
LOJTSZI,O,O,O,X,X,X
LOJTZIS,O,O,O,X,O,O
LOJTZSI,O,O,O,X,O,X
LOJITSZ,O,O,O,X,X,X
LOJITZS,O,O,O,X,O,O
LOJISTZ,O,O,O,X,X,X
LOJISZT,X,O,O,X,X,X
LOJIZTS,O,O,O,X,O,O
LOJIZST,X,O,O,X,O,X
LOJSTIZ,O,O,O,X,X,X
LOJSTZI,O,O,O,X,X,X
LOJSITZ,O,O,O,X,X,X
LOJSIZT,X,O,O,X,X,X
LOJSZTI,X,O,O,X,X,X
LOJSZIT,X,O,O,X,X,X
LOJZTIS,O,O,O,X,O,O
LOJZTSI,O,O,O,X,O,X
LOJZITS,O,O,O,X,O,O
LOJZIST,X,O,O,X,O,X
LOJZSTI,X,O,O,X,O,X
LOJZSIT,X,O,O,X,O,X
LOSTIJZ,O,O,O,X,X,X
LOSTIZJ,X,O,X,X,X,X
LOSTJIZ,O,O,O,X,X,X
LOSTJZI,O,O,O,X,X,X
LOSTZIJ,X,O,X,X,X,X
LOSTZJI,X,O,O,X,X,X
LOSITJZ,O,O,O,X,X,X
LOSITZJ,X,O,X,X,X,X
LOSIJTZ,O,O,O,X,X,X
LOSIJZT,X,O,O,X,X,X
LOSIZTJ,O,O,X,X,X,X
LOSIZJT,X,O,X,X,X,X
LOSJTIZ,O,O,O,X,X,X
LOSJTZI,O,O,O,X,X,X
LOSJITZ,O,O,O,X,X,X
LOSJIZT,X,O,O,X,X,X
LOSJZTI,X,O,O,X,X,X
LOSJZIT,X,O,O,X,X,X
LOSZTIJ,O,O,X,X,X,X
LOSZTJI,O,O,O,X,X,X
LOSZITJ,O,O,X,X,X,X
LOSZIJT,X,O,X,X,X,X
LOSZJTI,X,O,O,X,X,X
LOSZJIT,X,O,O,X,X,X
LOZTIJS,O,O,X,X,X,O
LOZTISJ,O,O,X,X,X,X
LOZTJIS,O,O,O,X,O,O
LOZTJSI,O,O,O,X,O,X
LOZTSIJ,O,O,X,X,X,X
LOZTSJI,O,O,O,X,O,X
LOZITJS,O,O,X,X,X,O
LOZITSJ,O,O,X,X,X,X
LOZIJTS,O,O,X,X,X,O
LOZIJST,X,O,X,X,X,X
LOZISTJ,O,O,X,X,X,X
LOZISJT,X,O,X,X,X,X
LOZJTIS,O,O,O,X,O,O
LOZJTSI,O,O,O,X,O,X
LOZJITS,O,O,O,X,O,O
LOZJIST,X,O,O,X,O,X
LOZJSTI,X,O,O,X,O,X
LOZJSIT,X,O,O,X,O,X
LOZSTIJ,O,O,X,X,X,X
LOZSTJI,O,O,O,X,O,X
LOZSITJ,O,O,X,X,X,X
LOZSIJT,X,O,X,X,X,X
LOZSJTI,X,O,O,X,O,X
LOZSJIT,X,O,O,X,O,X
JTILSZO,O,X,O,O,O,O
JTILSOZ,O,O,O,O,X,X
JTILZSO,O,X,O,O,O,O
JTILZOS,O,X,O,X,O,O
JTILOSZ,O,O,O,X,X,X
JTILOZS,O,O,O,X,O,O
JTISLZO,O,X,O,O,O,O
JTISLOZ,O,O,O,O,X,X
JTISZLO,O,X,O,O,O,O
JTISZOL,O,X,X,O,O,X
JTISOLZ,O,O,O,O,X,X
JTISOZL,O,O,X,O,X,X
JTIZLSO,O,X,O,O,O,O
JTIZLOS,O,X,O,X,O,O
JTIZSLO,O,X,O,O,O,O
JTIZSOL,O,X,X,O,O,X
JTIZOLS,O,X,X,X,O,O
JTIZOSL,O,X,X,O,O,X
JTIOLSZ,O,O,O,X,X,X
JTIOLZS,O,O,O,X,O,O
JTIOSLZ,O,O,O,O,X,X
JTIOSZL,O,O,X,O,X,X
JTIOZLS,O,O,X,X,O,O
JTIOZSL,O,O,X,O,O,X
JTLISZO,O,X,O,O,O,O
JTLISOZ,O,O,O,O,X,X
JTLIZSO,O,X,O,O,O,O
JTLIZOS,O,X,O,X,O,O
JTLIOSZ,O,O,O,X,X,X
JTLIOZS,O,O,O,X,O,O
JTLSIZO,O,X,O,O,O,O
JTLSIOZ,O,O,O,O,X,X
JTLSZIO,O,X,O,O,O,O
JTLSZOI,O,X,O,O,O,X
JTLSOIZ,O,O,O,O,X,X
JTLSOZI,O,O,O,O,X,X
JTLZISO,O,X,O,O,O,O
JTLZIOS,O,X,O,X,O,O
JTLZSIO,O,X,O,O,O,O
JTLZSOI,O,X,O,O,O,X
JTLZOIS,O,X,O,X,O,O
JTLZOSI,O,X,O,X,O,X
JTLOISZ,O,O,O,X,X,X
JTLOIZS,O,O,O,X,O,O
JTLOSIZ,O,O,O,X,X,X
JTLOSZI,O,O,O,X,X,X
JTLOZIS,O,O,O,X,O,O
JTLOZSI,O,O,O,X,O,X
JTSILZO,O,X,O,O,O,O
JTSILOZ,O,O,O,O,X,X
JTSIZLO,O,X,O,O,O,O
JTSIZOL,O,X,X,O,O,X
JTSIOLZ,O,O,O,O,X,X
JTSIOZL,O,O,X,O,X,X
JTSLIZO,O,X,O,O,O,O
JTSLIOZ,O,O,O,O,X,X
JTSLZIO,O,X,O,O,O,O
JTSLZOI,O,X,O,O,O,X
JTSLOIZ,O,O,O,O,X,X
JTSLOZI,O,O,O,O,X,X
JTSZILO,O,X,O,O,O,O
JTSZIOL,O,X,X,O,O,X
JTSZLIO,O,X,O,O,O,O
JTSZLOI,O,X,O,O,O,X
JTSZOIL,O,X,X,O,O,X
JTSZOLI,O,X,X,O,O,X
JTSOILZ,O,O,O,O,X,X
JTSOIZL,O,O,X,O,X,X
JTSOLIZ,O,O,O,O,X,X
JTSOLZI,O,O,O,O,X,X
JTSOZIL,O,O,X,O,X,X
JTSOZLI,O,O,X,O,X,X
JTZILSO,O,X,O,O,O,O
JTZILOS,O,X,O,X,O,O
JTZISLO,O,X,O,O,O,O
JTZISOL,O,X,X,O,O,X
JTZIOLS,O,X,X,X,O,O
JTZIOSL,O,X,X,O,O,X
JTZLISO,O,X,O,O,O,O
JTZLIOS,O,X,O,X,O,O
JTZLSIO,O,X,O,O,O,O
JTZLSOI,O,X,O,O,O,X
JTZLOIS,O,X,O,X,O,O
JTZLOSI,O,X,O,X,O,X
JTZSILO,O,X,O,O,O,O
JTZSIOL,O,X,X,O,O,X
JTZSLIO,O,X,O,O,O,O
JTZSLOI,O,X,O,O,O,X
JTZSOIL,O,X,X,O,O,X
JTZSOLI,O,X,X,O,O,X
JTZOILS,O,X,X,X,O,O
JTZOISL,O,X,X,O,O,X
JTZOLIS,O,X,X,X,O,O
JTZOLSI,O,X,X,X,O,X
JTZOSIL,O,X,X,O,O,X
JTZOSLI,O,X,X,O,O,X
JTOILSZ,O,O,O,X,X,X
JTOILZS,O,O,O,X,O,O
JTOISLZ,O,O,O,O,X,X
JTOISZL,O,O,X,O,X,X
JTOIZLS,O,O,X,X,O,O
JTOIZSL,O,O,X,O,O,X
JTOLISZ,O,O,O,X,X,X
JTOLIZS,O,O,O,X,O,O
JTOLSIZ,O,O,O,X,X,X
JTOLSZI,O,O,O,X,X,X
JTOLZIS,O,O,O,X,O,O
JTOLZSI,O,O,O,X,O,X
JTOSILZ,O,O,O,O,X,X
JTOSIZL,O,O,X,O,X,X
JTOSLIZ,O,O,O,O,X,X
JTOSLZI,O,O,O,O,X,X
JTOSZIL,O,O,X,O,X,X
JTOSZLI,O,O,X,O,X,X
JTOZILS,O,O,X,X,O,O
JTOZISL,O,O,X,O,O,X
JTOZLIS,O,O,X,X,O,O
JTOZLSI,O,O,X,X,O,X
JTOZSIL,O,O,X,O,O,X
JTOZSLI,O,O,X,O,O,X
JITLSZO,O,X,O,O,O,O
JITLSOZ,O,O,O,O,X,X
JITLZSO,O,X,O,O,O,O
JITLZOS,O,X,O,X,O,O
JITLOSZ,O,O,O,X,X,X
JITLOZS,O,O,O,X,O,O
JITSLZO,O,X,O,O,O,O
JITSLOZ,O,O,O,O,X,X
JITSZLO,O,X,O,O,O,O
JITSZOL,O,X,X,O,O,X
JITSOLZ,O,O,O,O,X,X
JITSOZL,O,O,X,O,X,X
JITZLSO,O,X,O,O,O,O
JITZLOS,O,X,O,X,O,O
JITZSLO,O,X,O,O,O,O
JITZSOL,O,X,X,O,O,X
JITZOLS,O,X,X,X,O,O
JITZOSL,O,X,X,O,O,X
JITOLSZ,O,O,O,X,X,X
JITOLZS,O,O,O,X,O,O
JITOSLZ,O,O,O,O,X,X
JITOSZL,O,O,X,O,X,X
JITOZLS,O,O,X,X,O,O
JITOZSL,O,O,X,O,O,X
JILTSZO,O,X,O,O,O,O
JILTSOZ,O,O,O,O,X,X
JILTZSO,O,X,O,O,O,O
JILTZOS,O,X,O,X,O,O
JILTOSZ,O,O,O,X,X,X
JILTOZS,O,O,O,X,O,O
JILSTZO,O,X,O,O,O,O
JILSTOZ,O,O,O,O,X,X
JILSZTO,X,X,O,O,O,O
JILSZOT,X,X,O,O,O,X
JILSOTZ,O,O,O,O,X,X
JILSOZT,X,O,O,O,X,X
JILZTSO,O,X,O,O,O,O
JILZTOS,O,X,O,X,O,O
JILZSTO,X,X,O,O,O,O
JILZSOT,X,X,O,O,O,X
JILZOTS,O,O,O,X,O,O
JILZOST,X,O,O,X,O,X
JILOTSZ,O,O,O,X,X,X
JILOTZS,O,O,O,X,O,O
JILOSTZ,O,O,O,X,X,X
JILOSZT,X,O,O,X,X,X
JILOZTS,O,O,O,X,O,O
JILOZST,X,O,O,X,O,X
JISTLZO,O,X,O,O,O,O
JISTLOZ,O,O,O,O,X,X
JISTZLO,O,X,O,O,O,O
JISTZOL,O,X,X,O,O,X
JISTOLZ,O,O,O,O,X,X
JISTOZL,O,O,X,O,X,X
JISLTZO,O,X,O,O,O,O
JISLTOZ,O,O,O,O,X,X
JISLZTO,X,X,O,O,O,O
JISLZOT,X,X,O,O,O,X
JISLOTZ,O,O,O,O,X,X
JISLOZT,X,O,O,O,X,X
JISZTLO,X,X,O,O,O,O
JISZTOL,X,X,X,O,O,X
JISZLTO,X,X,O,O,O,O
JISZLOT,X,X,O,O,O,X
JISZOTL,X,X,X,O,O,X
JISZOLT,X,X,O,O,O,X
JISOTLZ,O,O,O,O,X,X
JISOTZL,O,O,X,O,X,X
JISOLTZ,O,O,O,O,X,X
JISOLZT,X,O,O,O,X,X
JISOZTL,X,O,X,O,X,X
JISOZLT,X,O,O,O,X,X
JIZTLSO,O,X,O,O,O,O
JIZTLOS,O,X,O,X,O,O
JIZTSLO,O,X,O,O,O,O
JIZTSOL,O,X,X,O,O,X
JIZTOLS,O,X,X,X,O,O
JIZTOSL,O,X,X,O,O,X
JIZLTSO,O,X,O,O,O,O
JIZLTOS,O,X,O,X,O,O
JIZLSTO,X,X,O,O,O,O
JIZLSOT,X,X,O,O,O,X
JIZLOTS,O,O,O,X,O,O
JIZLOST,X,O,O,X,O,X
JIZSTLO,X,X,O,O,O,O
JIZSTOL,X,X,X,O,O,X
JIZSLTO,X,X,O,O,O,O
JIZSLOT,X,X,O,O,O,X
JIZSOTL,X,X,X,O,O,X
JIZSOLT,X,X,O,O,O,X
JIZOTLS,O,O,X,X,O,O
JIZOTSL,O,O,X,O,O,X
JIZOLTS,O,O,O,X,O,O
JIZOLST,X,O,O,X,O,X
JIZOSTL,X,O,X,O,O,X
JIZOSLT,X,O,O,O,O,X
JIOTLSZ,O,O,O,X,X,X
JIOTLZS,O,O,O,X,O,O
JIOTSLZ,O,O,O,O,X,X
JIOTSZL,O,O,X,O,X,X
JIOTZLS,O,O,X,X,O,O
JIOTZSL,O,O,X,O,O,X
JIOLTSZ,O,O,O,X,X,X
JIOLTZS,O,O,O,X,O,O
JIOLSTZ,O,O,O,X,X,X
JIOLSZT,X,O,O,X,X,X
JIOLZTS,O,O,O,X,O,O
JIOLZST,X,O,O,X,O,X
JIOSTLZ,O,O,O,O,X,X
JIOSTZL,O,O,X,O,X,X
JIOSLTZ,O,O,O,O,X,X
JIOSLZT,X,O,O,O,X,X
JIOSZTL,X,O,X,O,X,X
JIOSZLT,X,O,O,O,X,X
JIOZTLS,O,O,X,X,O,O
JIOZTSL,O,O,X,O,O,X
JIOZLTS,O,O,O,X,O,O
JIOZLST,X,O,O,X,O,X
JIOZSTL,X,O,X,O,O,X
JIOZSLT,X,O,O,O,O,X
JLTISZO,O,X,O,O,O,O
JLTISOZ,O,O,O,O,X,X
JLTIZSO,O,X,O,O,O,O
JLTIZOS,O,X,O,X,O,O
JLTIOSZ,O,O,O,X,X,X
JLTIOZS,O,O,O,X,O,O
JLTSIZO,O,X,O,O,O,O
JLTSIOZ,O,O,O,O,X,X
JLTSZIO,O,X,O,O,O,O
JLTSZOI,O,X,O,O,O,X
JLTSOIZ,O,O,O,O,X,X
JLTSOZI,O,O,O,O,X,X
JLTZISO,O,X,O,O,O,O
JLTZIOS,O,X,O,X,O,O
JLTZSIO,O,X,O,O,O,O
JLTZSOI,O,X,O,O,O,X
JLTZOIS,O,X,O,X,O,O
JLTZOSI,O,X,O,X,O,X
JLTOISZ,O,O,O,X,X,X
JLTOIZS,O,O,O,X,O,O
JLTOSIZ,O,O,O,X,X,X
JLTOSZI,O,O,O,X,X,X
JLTOZIS,O,O,O,X,O,O
JLTOZSI,O,O,O,X,O,X
JLITSZO,O,X,O,O,O,O
JLITSOZ,O,O,O,O,X,X
JLITZSO,O,X,O,O,O,O
JLITZOS,O,X,O,X,O,O
JLITOSZ,O,O,O,X,X,X
JLITOZS,O,O,O,X,O,O
JLISTZO,O,X,O,O,O,O
JLISTOZ,O,O,O,O,X,X
JLISZTO,X,X,O,O,O,O
JLISZOT,X,X,O,O,O,X
JLISOTZ,O,O,O,O,X,X
JLISOZT,X,O,O,O,X,X
JLIZTSO,O,X,O,O,O,O
JLIZTOS,O,X,O,X,O,O
JLIZSTO,X,X,O,O,O,O
JLIZSOT,X,X,O,O,O,X
JLIZOTS,O,O,O,X,O,O
JLIZOST,X,O,O,X,O,X
JLIOTSZ,O,O,O,X,X,X
JLIOTZS,O,O,O,X,O,O
JLIOSTZ,O,O,O,X,X,X
JLIOSZT,X,O,O,X,X,X
JLIOZTS,O,O,O,X,O,O
JLIOZST,X,O,O,X,O,X
JLSTIZO,O,X,O,O,O,O
JLSTIOZ,O,O,O,O,X,X
JLSTZIO,O,X,O,O,O,O
JLSTZOI,O,X,O,O,O,X
JLSTOIZ,O,O,O,O,X,X
JLSTOZI,O,O,O,O,X,X
JLSITZO,O,X,O,O,O,O
JLSITOZ,O,O,O,O,X,X
JLSIZTO,X,X,O,O,O,O
JLSIZOT,X,X,O,O,O,X
JLSIOTZ,O,O,O,O,X,X
JLSIOZT,X,O,O,O,X,X
JLSZTIO,X,X,O,O,O,O
JLSZTOI,X,X,O,O,O,X
JLSZITO,X,X,O,O,O,O
JLSZIOT,X,X,O,O,O,X
JLSZOTI,X,X,O,O,O,X
JLSZOIT,X,X,O,O,O,X
JLSOTIZ,O,O,O,O,X,X
JLSOTZI,O,O,O,O,X,X
JLSOITZ,O,O,O,O,X,X
JLSOIZT,X,O,O,O,X,X
JLSOZTI,X,O,O,O,X,X
JLSOZIT,X,O,O,O,X,X
JLZTISO,O,X,O,O,O,O
JLZTIOS,O,X,O,X,O,O
JLZTSIO,O,X,O,O,O,O
JLZTSOI,O,X,O,O,O,X
JLZTOIS,O,X,O,X,O,O
JLZTOSI,O,X,O,X,O,X
JLZITSO,O,X,O,O,O,O
JLZITOS,O,X,O,X,O,O
JLZISTO,X,X,O,O,O,O
JLZISOT,X,X,O,O,O,X
JLZIOTS,O,O,O,X,O,O
JLZIOST,X,O,O,X,O,X
JLZSTIO,X,X,O,O,O,O
JLZSTOI,X,X,O,O,O,X
JLZSITO,X,X,O,O,O,O
JLZSIOT,X,X,O,O,O,X
JLZSOTI,X,X,O,O,O,X
JLZSOIT,X,X,O,O,O,X
JLZOTIS,O,O,O,X,O,O
JLZOTSI,O,O,O,X,O,X
JLZOITS,O,O,O,X,O,O
JLZOIST,X,O,O,X,O,X
JLZOSTI,X,O,O,X,O,X
JLZOSIT,X,O,O,X,O,X
JLOTISZ,O,O,O,X,X,X
JLOTIZS,O,O,O,X,O,O
JLOTSIZ,O,O,O,X,X,X
JLOTSZI,O,O,O,X,X,X
JLOTZIS,O,O,O,X,O,O
JLOTZSI,O,O,O,X,O,X
JLOITSZ,O,O,O,X,X,X
JLOITZS,O,O,O,X,O,O
JLOISTZ,O,O,O,X,X,X
JLOISZT,X,O,O,X,X,X
JLOIZTS,O,O,O,X,O,O
JLOIZST,X,O,O,X,O,X
JLOSTIZ,O,O,O,X,X,X
JLOSTZI,O,O,O,X,X,X
JLOSITZ,O,O,O,X,X,X
JLOSIZT,X,O,O,X,X,X
JLOSZTI,X,O,O,X,X,X
JLOSZIT,X,O,O,X,X,X
JLOZTIS,O,O,O,X,O,O
JLOZTSI,O,O,O,X,O,X
JLOZITS,O,O,O,X,O,O
JLOZIST,X,O,O,X,O,X
JLOZSTI,X,O,O,X,O,X
JLOZSIT,X,O,O,X,O,X
JSTILZO,O,X,O,O,O,O
JSTILOZ,O,O,O,O,X,X
JSTIZLO,O,X,O,O,O,O
JSTIZOL,O,X,X,O,O,X
JSTIOLZ,O,O,O,O,X,X
JSTIOZL,O,O,X,O,X,X
JSTLIZO,O,X,O,O,O,O
JSTLIOZ,O,O,O,O,X,X
JSTLZIO,O,X,O,O,O,O
JSTLZOI,O,X,O,O,O,X
JSTLOIZ,O,O,O,O,X,X
JSTLOZI,O,O,O,O,X,X
JSTZILO,O,X,O,O,O,O
JSTZIOL,O,X,X,O,O,X
JSTZLIO,O,X,O,O,O,O
JSTZLOI,O,X,O,O,O,X
JSTZOIL,O,X,X,O,O,X
JSTZOLI,O,X,X,O,O,X
JSTOILZ,O,O,O,O,X,X
JSTOIZL,O,O,X,O,X,X
JSTOLIZ,O,O,O,O,X,X
JSTOLZI,O,O,O,O,X,X
JSTOZIL,O,O,X,O,X,X
JSTOZLI,O,O,X,O,X,X
JSITLZO,O,X,O,O,O,O
JSITLOZ,O,O,O,O,X,X
JSITZLO,O,X,O,O,O,O
JSITZOL,O,X,X,O,O,X
JSITOLZ,O,O,O,O,X,X
JSITOZL,O,O,X,O,X,X
JSILTZO,O,X,O,O,O,O
JSILTOZ,O,O,O,O,X,X
JSILZTO,X,X,O,O,O,O
JSILZOT,X,X,O,O,O,X
JSILOTZ,O,O,O,O,X,X
JSILOZT,X,O,O,O,X,X
JSIZTLO,X,X,O,O,O,O
JSIZTOL,X,X,X,O,O,X
JSIZLTO,X,X,O,O,O,O
JSIZLOT,X,X,O,O,O,X
JSIZOTL,X,X,X,O,O,X
JSIZOLT,X,X,O,O,O,X
JSIOTLZ,O,O,O,O,X,X
JSIOTZL,O,O,X,O,X,X
JSIOLTZ,O,O,O,O,X,X
JSIOLZT,X,O,O,O,X,X
JSIOZTL,X,O,X,O,X,X
JSIOZLT,X,O,O,O,X,X
JSLTIZO,O,X,O,O,O,O
JSLTIOZ,O,O,O,O,X,X
JSLTZIO,O,X,O,O,O,O
JSLTZOI,O,X,O,O,O,X
JSLTOIZ,O,O,O,O,X,X
JSLTOZI,O,O,O,O,X,X
JSLITZO,O,X,O,O,O,O
JSLITOZ,O,O,O,O,X,X
JSLIZTO,X,X,O,O,O,O
JSLIZOT,X,X,O,O,O,X
JSLIOTZ,O,O,O,O,X,X
JSLIOZT,X,O,O,O,X,X
JSLZTIO,X,X,O,O,O,O
JSLZTOI,X,X,O,O,O,X
JSLZITO,X,X,O,O,O,O
JSLZIOT,X,X,O,O,O,X
JSLZOTI,X,X,O,O,O,X
JSLZOIT,X,X,O,O,O,X
JSLOTIZ,O,O,O,O,X,X
JSLOTZI,O,O,O,O,X,X
JSLOITZ,O,O,O,O,X,X
JSLOIZT,X,O,O,O,X,X
JSLOZTI,X,O,O,O,X,X
JSLOZIT,X,O,O,O,X,X
JSZTILO,X,X,O,O,O,O
JSZTIOL,X,X,X,O,O,X
JSZTLIO,X,X,O,O,O,O
JSZTLOI,X,X,O,O,O,X
JSZTOIL,X,X,X,O,O,X
JSZTOLI,X,X,X,O,O,X
JSZITLO,X,X,O,O,O,O
JSZITOL,X,X,X,O,O,X
JSZILTO,X,X,O,O,O,O
JSZILOT,X,X,O,O,O,X
JSZIOTL,X,X,X,O,O,X
JSZIOLT,X,X,O,O,O,X
JSZLTIO,X,X,O,O,O,O
JSZLTOI,X,X,O,O,O,X
JSZLITO,X,X,O,O,O,O
JSZLIOT,X,X,O,O,O,X
JSZLOTI,X,X,O,O,O,X
JSZLOIT,X,X,O,O,O,X
JSZOTIL,X,X,X,O,O,X
JSZOTLI,X,X,X,O,O,X
JSZOITL,X,X,X,O,O,X
JSZOILT,X,X,O,O,O,X
JSZOLTI,X,X,O,O,O,X
JSZOLIT,X,X,O,O,O,X
JSOTILZ,O,O,O,O,X,X
JSOTIZL,O,O,X,O,X,X
JSOTLIZ,O,O,O,O,X,X
JSOTLZI,O,O,O,O,X,X
JSOTZIL,O,O,X,O,X,X
JSOTZLI,O,O,X,O,X,X
JSOITLZ,O,O,O,O,X,X
JSOITZL,O,O,X,O,X,X
JSOILTZ,O,O,O,O,X,X
JSOILZT,X,O,O,O,X,X
JSOIZTL,X,O,X,O,X,X
JSOIZLT,X,O,O,O,X,X
JSOLTIZ,O,O,O,O,X,X
JSOLTZI,O,O,O,O,X,X
JSOLITZ,O,O,O,O,X,X
JSOLIZT,X,O,O,O,X,X
JSOLZTI,X,O,O,O,X,X
JSOLZIT,X,O,O,O,X,X
JSOZTIL,X,O,X,O,X,X
JSOZTLI,X,O,X,O,X,X
JSOZITL,X,O,X,O,X,X
JSOZILT,X,O,O,O,X,X
JSOZLTI,X,O,O,O,X,X
JSOZLIT,X,O,O,O,X,X
JZTILSO,O,X,O,O,O,O
JZTILOS,O,X,O,X,O,O
JZTISLO,O,X,O,O,O,O
JZTISOL,O,X,X,O,O,X
JZTIOLS,O,X,X,X,O,O
JZTIOSL,O,X,X,O,O,X
JZTLISO,O,X,O,O,O,O
JZTLIOS,O,X,O,X,O,O
JZTLSIO,O,X,O,O,O,O
JZTLSOI,O,X,O,O,O,X
JZTLOIS,O,X,O,X,O,O
JZTLOSI,O,X,O,X,O,X
JZTSILO,O,X,O,O,O,O
JZTSIOL,O,X,X,O,O,X
JZTSLIO,O,X,O,O,O,O
JZTSLOI,O,X,O,O,O,X
JZTSOIL,O,X,X,O,O,X
JZTSOLI,O,X,X,O,O,X
JZTOILS,O,X,X,X,O,O
JZTOISL,O,X,X,O,O,X
JZTOLIS,O,X,X,X,O,O
JZTOLSI,O,X,X,X,O,X
JZTOSIL,O,X,X,O,O,X
JZTOSLI,O,X,X,O,O,X
JZITLSO,O,X,O,O,O,O
JZITLOS,O,X,O,X,O,O
JZITSLO,O,X,O,O,O,O
JZITSOL,O,X,X,O,O,X
JZITOLS,O,X,X,X,O,O
JZITOSL,O,X,X,O,O,X
JZILTSO,O,X,O,O,O,O
JZILTOS,O,X,O,X,O,O
JZILSTO,X,X,O,O,O,O
JZILSOT,X,X,O,O,O,X
JZILOTS,O,O,O,X,O,O
JZILOST,X,O,O,X,O,X
JZISTLO,X,X,O,O,O,O
JZISTOL,X,X,X,O,O,X
JZISLTO,X,X,O,O,O,O
JZISLOT,X,X,O,O,O,X
JZISOTL,X,X,X,O,O,X
JZISOLT,X,X,O,O,O,X
JZIOTLS,O,O,X,X,O,O
JZIOTSL,O,O,X,O,O,X
JZIOLTS,O,O,O,X,O,O
JZIOLST,X,O,O,X,O,X
JZIOSTL,X,O,X,O,O,X
JZIOSLT,X,O,O,O,O,X
JZLTISO,O,X,O,O,O,O
JZLTIOS,O,X,O,X,O,O
JZLTSIO,O,X,O,O,O,O
JZLTSOI,O,X,O,O,O,X
JZLTOIS,O,X,O,X,O,O
JZLTOSI,O,X,O,X,O,X
JZLITSO,O,X,O,O,O,O
JZLITOS,O,X,O,X,O,O
JZLISTO,X,X,O,O,O,O
JZLISOT,X,X,O,O,O,X
JZLIOTS,O,O,O,X,O,O
JZLIOST,X,O,O,X,O,X
JZLSTIO,X,X,O,O,O,O
JZLSTOI,X,X,O,O,O,X
JZLSITO,X,X,O,O,O,O
JZLSIOT,X,X,O,O,O,X
JZLSOTI,X,X,O,O,O,X
JZLSOIT,X,X,O,O,O,X
