sequence,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbBOhB8hBfjB6jBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbBicBGeB3hBUjBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8JeR7Iv?hFzcBfjB6jBukBUhBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hF2gBzcBfjB6jBUhBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbB2hBSjB3hBUjBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFibBzcBUhBXoBGoBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbB2hBFjB3hBctBCtB
JLITSOZ,X,X,O,O,O,X,X
JLITZSO,X,X,O,X,X,X,X
JLITZOS,X,X,O,X,O,X,X
JLITOSZ,X,X,O,O,O,X,X
JLITOZS,X,X,X,X,O,X,X
JLISTZO,X,X,O,X,X,X,X
JLISTOZ,X,X,O,O,X,X,X
JLISZTO,X,X,O,X,X,O,X
JLISZOT,X,X,O,O,X,O,X
JLISOTZ,X,X,O,O,O,X,X
JLISOZT,X,X,O,O,O,X,X
JLIZTSO,X,X,O,X,X,X,X
JLIZTOS,X,X,O,X,X,X,O
JLIZSTO,X,X,O,X,X,O,X
JLIZSOT,X,X,O,X,X,O,X
JLIZOTS,X,X,O,X,O,X,O
JLIZOST,X,X,O,X,O,O,X
JLIOTSZ,X,X,O,O,O,X,X
JLIOTZS,X,X,X,X,O,X,X
JLIOSTZ,X,X,O,O,O,X,X
JLIOSZT,X,X,O,O,O,X,X
JLIOZTS,X,X,X,X,O,X,O
JLIOZST,X,X,X,X,O,X,X
JLSTIZO,X,X,O,X,X,X,X
JLSTIOZ,X,X,O,O,X,X,X
JLSTZIO,X,X,O,X,X,X,X
JLSTZOI,X,X,O,X,X,X,X
JLSTOIZ,X,X,O,O,X,X,X
JLSTOZI,X,X,X,X,X,X,X
JLSITZO,X,X,O,X,X,X,X
JLSITOZ,X,X,O,O,X,X,X
JLSIZTO,X,X,O,X,X,O,X
JLSIZOT,X,X,O,O,X,O,X
JLSIOTZ,X,X,O,O,O,X,X
JLSIOZT,X,X,O,O,O,X,X
JLSZTIO,X,X,O,X,X,X,X
JLSZTOI,X,X,O,X,X,X,X
JLSZITO,X,X,O,X,X,O,X
JLSZIOT,X,X,O,O,X,O,X
JLSZOTI,X,X,O,X,X,X,X
JLSZOIT,X,X,O,O,X,O,X
JLSOTIZ,X,X,O,O,X,X,X
JLSOTZI,X,X,X,X,X,X,X
JLSOITZ,X,X,O,O,O,X,X
JLSOIZT,X,X,O,O,O,X,X
JLSOZTI,X,X,O,X,X,X,X
JLSOZIT,X,X,O,O,X,X,X
JLZTISO,X,X,O,X,X,X,X
JLZTIOS,X,X,O,X,X,X,O
JLZTSIO,X,X,O,X,X,X,X
JLZTSOI,X,X,O,X,X,X,X
JLZTOIS,X,X,O,X,X,X,O
JLZTOSI,X,X,O,X,X,X,X
JLZITSO,X,X,O,X,X,X,X
JLZITOS,X,X,O,X,X,X,O
JLZISTO,X,X,O,X,X,O,X
JLZISOT,X,X,O,X,X,O,X
JLZIOTS,X,X,O,X,O,X,O
JLZIOST,X,X,O,X,O,O,X
JLZSTIO,X,X,O,X,X,X,X
JLZSTOI,X,X,O,X,X,X,X
JLZSITO,X,X,O,X,X,O,X
JLZSIOT,X,X,O,X,X,O,X
JLZSOTI,X,X,O,X,X,X,X
JLZSOIT,X,X,O,X,X,O,X
JLZOTIS,X,X,O,X,X,X,O
JLZOTSI,X,X,O,X,X,X,X
JLZOITS,X,X,O,X,O,X,O
JLZOIST,X,X,O,X,O,O,X
JLZOSTI,X,X,O,X,X,X,X
JLZOSIT,X,X,O,X,X,O,X
JLOTISZ,X,X,O,O,O,X,X
JLOTIZS,X,X,X,X,O,X,X
JLOTSIZ,X,X,O,O,O,X,X
JLOTSZI,X,X,O,O,X,X,X
JLOTZIS,X,X,X,X,O,X,X
JLOTZSI,X,X,X,X,X,X,X
JLOITSZ,X,X,O,O,O,X,X
JLOITZS,X,X,X,X,O,X,X
JLOISTZ,X,X,O,O,O,X,X
JLOISZT,X,X,O,O,O,X,X
JLOIZTS,X,X,X,X,O,X,O
JLOIZST,X,X,X,X,O,X,X
JLOSTIZ,X,X,O,O,X,X,X
JLOSTZI,X,X,X,X,X,X,X
JLOSITZ,X,X,O,O,O,X,X
JLOSIZT,X,X,O,O,O,X,X
JLOSZTI,X,X,X,X,X,X,X
JLOSZIT,X,X,O,O,X,X,X
JLOZTIS,X,X,X,X,X,X,O
JLOZTSI,X,X,X,X,X,X,X
JLOZITS,X,X,X,X,O,X,O
JLOZIST,X,X,X,X,O,X,X
JLOZSTI,X,X,X,X,X,X,X
JLOZSIT,X,X,X,X,X,X,X
JSTILZO,X,O,O,O,X,X,X
JSTILOZ,X,O,O,O,O,X,X
JSTIZLO,X,O,O,O,X,X,X
JSTIZOL,X,O,O,O,X,X,X
JSTIOLZ,X,O,O,O,O,X,X
JSTIOZL,X,O,O,O,X,X,X
JSTLIZO,X,O,O,O,X,X,X
JSTLIOZ,X,O,O,O,O,X,X
JSTLZIO,X,O,O,O,X,X,X
JSTLZOI,X,O,O,O,X,X,X
JSTLOIZ,X,O,O,O,O,X,X
JSTLOZI,X,O,O,O,X,X,X
JSTZILO,X,O,O,O,X,X,X
JSTZIOL,X,O,O,O,X,X,X
JSTZLIO,X,O,O,O,X,X,X
JSTZLOI,X,O,O,O,X,X,X
JSTZOIL,X,O,O,O,X,X,X
JSTZOLI,X,O,O,O,X,X,X
JSTOILZ,X,O,O,O,O,X,X
JSTOIZL,X,O,O,O,X,X,X
JSTOLIZ,X,O,O,O,O,X,X
JSTOLZI,X,O,O,O,X,X,X
JSTOZIL,X,O,O,O,X,X,X
JSTOZLI,X,O,O,O,X,X,X
JSITLZO,X,O,O,O,X,X,X
JSITLOZ,X,O,O,O,O,X,X
JSITZLO,X,O,O,O,X,X,X
JSITZOL,X,O,O,O,X,X,X
JSITOLZ,X,O,O,O,O,X,X
JSITOZL,X,O,O,O,X,X,X
JSILTZO,X,O,O,X,X,X,X
JSILTOZ,X,O,O,O,X,X,X
JSILZTO,O,O,O,X,X,O,X
JSILZOT,O,O,O,O,X,O,X
JSILOTZ,X,O,O,O,O,X,X
JSILOZT,O,O,O,O,O,X,X
JSIZTLO,O,O,O,X,X,O,X
JSIZTOL,O,O,O,X,X,O,O
JSIZLTO,O,O,O,X,X,O,X
JSIZLOT,O,O,O,O,X,O,X
JSIZOTL,O,O,O,X,X,O,O
JSIZOLT,O,O,O,O,X,O,X
JSIOTLZ,X,O,O,O,O,X,X
JSIOTZL,X,O,O,O,X,X,X
JSIOLTZ,X,O,O,O,O,X,X
JSIOLZT,O,O,O,O,O,X,X
JSIOZTL,O,O,O,X,X,X,O
JSIOZLT,O,O,O,O,X,X,X
JSLTIZO,X,O,O,X,X,X,X
JSLTIOZ,X,O,O,O,X,X,X
JSLTZIO,X,O,O,X,X,X,X
JSLTZOI,X,O,O,X,X,X,X
JSLTOIZ,X,O,O,O,X,X,X
JSLTOZI,X,O,X,X,X,X,X
JSLITZO,X,O,O,X,X,X,X
JSLITOZ,X,O,O,O,X,X,X
JSLIZTO,O,O,O,X,X,O,X
JSLIZOT,O,O,O,O,X,O,X
JSLIOTZ,X,O,O,O,O,X,X
JSLIOZT,O,O,O,O,O,X,X
JSLZTIO,O,O,O,X,X,X,X
JSLZTOI,O,O,O,X,X,X,X
JSLZITO,O,O,O,X,X,O,X
JSLZIOT,O,O,O,O,X,O,X
JSLZOTI,O,O,O,X,X,X,X
JSLZOIT,O,O,O,O,X,O,X
JSLOTIZ,X,O,O,O,X,X,X
JSLOTZI,X,O,X,X,X,X,X
JSLOITZ,X,O,O,O,O,X,X
JSLOIZT,O,O,O,O,O,X,X
JSLOZTI,O,O,O,X,X,X,X
JSLOZIT,O,O,O,O,X,X,X
JSZTILO,O,O,O,X,X,X,X
JSZTIOL,O,O,O,X,X,X,O
JSZTLIO,O,O,O,X,X,X,X
JSZTLOI,O,O,O,X,X,X,X
JSZTOIL,O,O,O,X,X,X,O
JSZTOLI,O,O,O,X,X,X,X
JSZITLO,O,O,O,X,X,O,X
JSZITOL,O,O,O,X,X,O,O
JSZILTO,O,O,O,X,X,O,X
JSZILOT,O,O,O,O,X,O,X
JSZIOTL,O,O,O,X,X,O,O
JSZIOLT,O,O,O,O,X,O,X
JSZLTIO,O,O,O,X,X,X,X
JSZLTOI,O,O,O,X,X,X,X
JSZLITO,O,O,O,X,X,O,X
JSZLIOT,O,O,O,O,X,O,X
JSZLOTI,O,O,O,X,X,X,X
JSZLOIT,O,O,O,O,X,O,X
JSZOTIL,O,O,O,X,X,X,O
JSZOTLI,O,O,O,X,X,X,X
JSZOITL,O,O,O,X,X,O,O
JSZOILT,O,O,O,O,X,O,X
JSZOLTI,O,O,O,X,X,X,X
JSZOLIT,O,O,O,O,X,O,X
JSOTILZ,X,O,O,O,O,X,X
JSOTIZL,X,O,O,O,X,X,X
JSOTLIZ,X,O,O,O,O,X,X
JSOTLZI,X,O,O,O,X,X,X
JSOTZIL,X,O,O,O,X,X,X
JSOTZLI,X,O,O,O,X,X,X
JSOITLZ,X,O,O,O,O,X,X
JSOITZL,X,O,O,O,X,X,X
JSOILTZ,X,O,O,O,O,X,X
JSOILZT,O,O,O,O,O,X,X
JSOIZTL,O,O,O,X,X,X,O
JSOIZLT,O,O,O,O,X,X,X
JSOLTIZ,X,O,O,O,X,X,X
JSOLTZI,X,O,X,X,X,X,X
JSOLITZ,X,O,O,O,O,X,X
JSOLIZT,O,O,O,O,O,X,X
JSOLZTI,O,O,O,X,X,X,X
JSOLZIT,O,O,O,O,X,X,X
JSOZTIL,O,O,O,X,X,X,O
JSOZTLI,O,O,O,X,X,X,X
JSOZITL,O,O,O,X,X,X,O
JSOZILT,O,O,O,O,X,X,X
JSOZLTI,O,O,O,X,X,X,X
JSOZLIT,O,O,O,O,X,X,X
JZTILSO,O,X,O,X,X,X,X
JZTILOS,O,X,O,X,O,X,O
JZTISLO,O,O,O,O,X,X,X
JZTISOL,O,O,O,O,X,X,O
JZTIOLS,O,X,O,X,O,X,O
JZTIOSL,O,O,O,O,X,X,O
JZTLISO,O,X,O,X,X,X,X
JZTLIOS,O,X,O,X,O,X,O
JZTLSIO,O,X,O,X,X,X,X
JZTLSOI,O,X,O,X,X,X,X
JZTLOIS,O,X,O,X,O,X,O
JZTLOSI,O,X,O,X,X,X,X
JZTSILO,O,O,O,O,X,X,X
JZTSIOL,O,O,O,O,X,X,O
JZTSLIO,O,O,O,O,X,X,X
JZTSLOI,O,O,O,O,X,X,X
JZTSOIL,O,O,O,O,X,X,O
JZTSOLI,O,O,O,O,X,X,X
JZTOILS,O,X,O,X,O,X,O
JZTOISL,O,O,O,O,X,X,O
JZTOLIS,O,X,O,X,O,X,O
JZTOLSI,O,X,O,X,X,X,X
JZTOSIL,O,O,O,O,X,X,O
JZTOSLI,O,O,O,O,X,X,X
JZITLSO,O,X,O,X,X,X,X
JZITLOS,O,X,O,X,O,X,O
JZITSLO,O,O,O,O,X,X,X
JZITSOL,O,O,O,O,X,X,O
JZITOLS,O,X,O,X,O,X,O
JZITOSL,O,O,O,O,X,X,O
JZILTSO,O,X,O,X,X,X,X
JZILTOS,O,X,O,X,X,X,O
JZILSTO,O,O,O,X,X,O,X
JZILSOT,O,O,O,X,X,O,X
JZILOTS,O,X,O,X,O,X,O
JZILOST,O,O,O,X,O,O,X
JZISTLO,O,O,O,X,X,O,X
JZISTOL,O,O,O,X,X,O,O
JZISLTO,O,O,O,X,X,O,X
JZISLOT,O,O,O,O,X,O,X
JZISOTL,O,O,O,X,X,O,O
JZISOLT,O,O,O,O,X,O,X
JZIOTLS,O,X,O,X,O,X,O
JZIOTSL,O,O,O,O,X,X,O
JZIOLTS,O,X,O,X,O,X,O
JZIOLST,O,O,O,X,O,O,X
JZIOSTL,O,O,O,X,X,O,O
JZIOSLT,O,O,O,O,X,O,X
JZLTISO,O,X,O,X,X,X,X
JZLTIOS,O,X,O,X,X,X,O
JZLTSIO,O,X,O,X,X,X,X
JZLTSOI,O,X,O,X,X,X,X
JZLTOIS,O,X,O,X,X,X,O
JZLTOSI,O,X,O,X,X,X,X
JZLITSO,O,X,O,X,X,X,X
JZLITOS,O,X,O,X,X,X,O
JZLISTO,O,O,O,X,X,O,X
JZLISOT,O,O,O,X,X,O,X
JZLIOTS,O,X,O,X,O,X,O
JZLIOST,O,O,O,X,O,O,X
JZLSTIO,O,O,O,X,X,X,X
JZLSTOI,O,O,O,X,X,X,X
JZLSITO,O,O,O,X,X,O,X
JZLSIOT,O,O,O,X,X,O,X
JZLSOTI,O,O,O,X,X,X,X
JZLSOIT,O,O,O,X,X,O,X
JZLOTIS,O,X,O,X,X,X,O
JZLOTSI,O,X,O,X,X,X,X
JZLOITS,O,X,O,X,O,X,O
JZLOIST,O,O,O,X,O,O,X
JZLOSTI,O,O,O,X,X,X,X
JZLOSIT,O,O,O,X,X,O,X
JZSTILO,O,O,O,X,X,X,X
JZSTIOL,O,O,O,X,X,X,O
JZSTLIO,O,O,O,X,X,X,X
JZSTLOI,O,O,O,X,X,X,X
JZSTOIL,O,O,O,X,X,X,O
JZSTOLI,O,O,O,X,X,X,X
JZSITLO,O,O,O,X,X,O,X
JZSITOL,O,O,O,X,X,O,O
JZSILTO,O,O,O,X,X,O,X
JZSILOT,O,O,O,O,X,O,X
JZSIOTL,O,O,O,X,X,O,O
JZSIOLT,O,O,O,O,X,O,X
JZSLTIO,O,O,O,X,X,X,X
JZSLTOI,O,O,O,X,X,X,X
JZSLITO,O,O,O,X,X,O,X
JZSLIOT,O,O,O,O,X,O,X
JZSLOTI,O,O,O,X,X,X,X
JZSLOIT,O,O,O,O,X,O,X
JZSOTIL,O,O,O,X,X,X,O
JZSOTLI,O,O,O,X,X,X,X
JZSOITL,O,O,O,X,X,O,O
JZSOILT,O,O,O,O,X,O,X
JZSOLTI,O,O,O,X,X,X,X
JZSOLIT,O,O,O,O,X,O,X
JZOTILS,O,X,O,X,O,X,O
JZOTISL,O,O,O,O,X,X,O
JZOTLIS,O,X,O,X,O,X,O
JZOTLSI,O,X,O,X,X,X,X
JZOTSIL,O,O,O,O,X,X,O
JZOTSLI,O,O,O,O,X,X,X
JZOITLS,O,X,O,X,O,X,O
JZOITSL,O,O,O,O,X,X,O
JZOILTS,O,X,O,X,O,X,O
JZOILST,O,O,O,X,O,O,X
JZOISTL,O,O,O,X,X,O,O
JZOISLT,O,O,O,O,X,O,X
JZOLTIS,O,X,O,X,X,X,O
JZOLTSI,O,X,O,X,X,X,X
JZOLITS,O,X,O,X,O,X,O
JZOLIST,O,O,O,X,O,O,X
JZOLSTI,O,O,O,X,X,X,X
JZOLSIT,O,O,O,X,X,O,X
JZOSTIL,O,O,O,X,X,X,O
JZOSTLI,O,O,O,X,X,X,X
JZOSITL,O,O,O,X,X,O,O
JZOSILT,O,O,O,O,X,O,X
JZOSLTI,O,O,O,X,X,X,X
JZOSLIT,O,O,O,O,X,O,X
JOTILSZ,X,X,O,O,O,X,X
JOTILZS,X,X,X,X,O,X,X
JOTISLZ,O,O,O,O,O,X,X
JOTISZL,O,O,O,O,X,X,X
JOTIZLS,O,O,O,X,O,X,O
JOTIZSL,O,O,O,O,X,X,O
JOTLISZ,X,X,O,O,O,X,X
JOTLIZS,X,X,X,X,O,X,X
JOTLSIZ,X,X,O,O,O,X,X
JOTLSZI,X,X,O,O,X,X,X
JOTLZIS,X,X,X,X,O,X,X
JOTLZSI,X,X,X,X,X,X,X
JOTSILZ,O,O,O,O,O,X,X
JOTSIZL,O,O,O,O,X,X,X
JOTSLIZ,O,O,O,O,O,X,X
JOTSLZI,O,O,O,O,X,X,X
JOTSZIL,O,O,O,O,X,X,X
JOTSZLI,O,O,O,O,X,X,X
JOTZILS,O,O,O,X,O,X,O
JOTZISL,O,O,O,O,X,X,O
JOTZLIS,O,O,O,X,O,X,O
JOTZLSI,O,O,O,X,X,X,X
JOTZSIL,O,O,O,O,X,X,O
JOTZSLI,O,O,O,O,X,X,X
JOITLSZ,X,X,O,O,O,X,X
JOITLZS,X,X,X,X,O,X,X
JOITSLZ,O,O,O,O,O,X,X
JOITSZL,O,O,O,O,X,X,X
JOITZLS,O,O,O,X,O,X,O
JOITZSL,O,O,O,O,X,X,O
JOILTSZ,X,X,O,O,O,X,X
JOILTZS,X,X,X,X,O,X,X
JOILSTZ,X,X,O,O,O,X,X
JOILSZT,X,X,O,O,O,X,X
JOILZTS,X,X,X,X,O,X,O
JOILZST,X,X,X,X,O,X,X
JOISTLZ,X,O,O,O,O,X,X
JOISTZL,X,O,O,O,X,X,X
JOISLTZ,X,O,O,O,O,X,X
JOISLZT,O,O,O,O,O,X,X
JOISZTL,O,O,O,X,X,X,O
JOISZLT,O,O,O,O,X,X,X
JOIZTLS,O,X,O,X,O,X,O
JOIZTSL,O,O,O,O,X,X,O
JOIZLTS,O,X,O,X,O,X,O
JOIZLST,O,O,O,X,O,X,X
JOIZSTL,O,O,O,X,X,X,O
JOIZSLT,O,O,O,O,X,X,X
JOLTISZ,X,X,O,O,O,X,X
JOLTIZS,X,X,X,X,O,X,X
JOLTSIZ,X,X,O,O,O,X,X
JOLTSZI,X,X,O,O,X,X,X
JOLTZIS,X,X,X,X,O,X,X
JOLTZSI,X,X,X,X,X,X,X
JOLITSZ,X,X,O,O,O,X,X
JOLITZS,X,X,X,X,O,X,X
JOLISTZ,X,X,O,O,O,X,X
JOLISZT,X,X,O,O,O,X,X
JOLIZTS,X,X,X,X,O,X,O
JOLIZST,X,X,X,X,O,X,X
JOLSTIZ,X,X,O,O,X,X,X
JOLSTZI,X,X,X,X,X,X,X
JOLSITZ,X,X,O,O,O,X,X
JOLSIZT,X,X,O,O,O,X,X
JOLSZTI,X,X,X,X,X,X,X
JOLSZIT,X,X,O,O,X,X,X
JOLZTIS,X,X,X,X,X,X,O
JOLZTSI,X,X,X,X,X,X,X
JOLZITS,X,X,X,X,O,X,O
JOLZIST,X,X,X,X,O,X,X
JOLZSTI,X,X,X,X,X,X,X
JOLZSIT,X,X,X,X,X,X,X
JOSTILZ,X,O,O,O,O,X,X
JOSTIZL,X,O,O,O,X,X,X
JOSTLIZ,X,O,O,O,O,X,X
JOSTLZI,X,O,O,O,X,X,X
JOSTZIL,X,O,O,O,X,X,X
JOSTZLI,X,O,O,O,X,X,X
JOSITLZ,X,O,O,O,O,X,X
JOSITZL,X,O,O,O,X,X,X
JOSILTZ,X,O,O,O,O,X,X
JOSILZT,O,O,O,O,O,X,X
JOSIZTL,O,O,O,X,X,X,O
JOSIZLT,O,O,O,O,X,X,X
JOSLTIZ,X,O,O,O,X,X,X
JOSLTZI,X,O,X,X,X,X,X
JOSLITZ,X,O,O,O,O,X,X
JOSLIZT,O,O,O,O,O,X,X
JOSLZTI,O,O,O,X,X,X,X
JOSLZIT,O,O,O,O,X,X,X
JOSZTIL,O,O,O,X,X,X,O
JOSZTLI,O,O,O,X,X,X,X
JOSZITL,O,O,O,X,X,X,O
JOSZILT,O,O,O,O,X,X,X
JOSZLTI,O,O,O,X,X,X,X
JOSZLIT,O,O,O,O,X,X,X
JOZTILS,O,X,O,X,O,X,O
JOZTISL,O,O,O,O,X,X,O
JOZTLIS,O,X,O,X,O,X,O
JOZTLSI,O,X,O,X,X,X,X
JOZTSIL,O,O,O,O,X,X,O
JOZTSLI,O,O,O,O,X,X,X
JOZITLS,O,X,O,X,O,X,O
JOZITSL,O,O,O,O,X,X,O
JOZILTS,O,X,O,X,O,X,O
JOZILST,O,O,O,X,O,X,X
JOZISTL,O,O,O,X,X,X,O
JOZISLT,O,O,O,O,X,X,X
JOZLTIS,O,X,O,X,X,X,O
JOZLTSI,O,X,O,X,X,X,X
JOZLITS,O,X,O,X,O,X,O
JOZLIST,O,O,O,X,O,X,X
JOZLSTI,O,O,O,X,X,X,X
JOZLSIT,O,O,O,X,X,X,X
JOZSTIL,O,O,O,X,X,X,O
JOZSTLI,O,O,O,X,X,X,X
JOZSITL,O,O,O,X,X,X,O
JOZSILT,O,O,O,O,X,X,X
JOZSLTI,O,O,O,X,X,X,X
JOZSLIT,O,O,O,O,X,X,X
STILJZO,O,O,O,O,X,X,X
STILJOZ,O,O,O,O,O,X,X
STILZJO,O,O,O,O,X,O,X
STILZOJ,O,O,O,O,X,O,X
STILOJZ,O,O,O,O,O,X,X
STILOZJ,O,O,X,O,X,X,X
STIJLZO,O,O,O,O,X,X,X
STIJLOZ,O,O,O,O,O,X,X
STIJZLO,O,O,O,O,X,X,X
STIJZOL,O,O,O,O,X,X,X
STIJOLZ,O,O,O,O,O,X,X
STIJOZL,O,O,O,O,X,X,X
STIZLJO,O,O,O,O,X,O,X
STIZLOJ,O,O,O,O,X,O,X
STIZJLO,O,O,O,O,X,O,X
STIZJOL,O,O,O,O,X,O,X
STIZOLJ,O,O,O,O,X,O,X
STIZOJL,O,O,O,O,X,O,X
STIOLJZ,O,O,O,O,O,X,X
STIOLZJ,O,O,X,O,X,X,X
STIOJLZ,O,O,O,O,O,X,X
STIOJZL,O,O,O,O,X,X,X
STIOZLJ,O,O,X,O,X,X,X
STIOZJL,O,O,X,O,X,X,X
STLIJZO,O,O,O,O,X,X,X
STLIJOZ,O,O,O,O,O,X,X
STLIZJO,O,O,O,O,X,O,X
STLIZOJ,O,O,O,O,X,O,X
STLIOJZ,O,O,O,O,O,X,X
STLIOZJ,O,O,X,O,X,X,X
STLJIZO,O,O,O,O,X,X,X
STLJIOZ,O,O,O,O,O,X,X
STLJZIO,O,O,O,O,X,X,X
STLJZOI,O,O,O,O,X,X,X
STLJOIZ,O,O,O,O,O,X,X
STLJOZI,O,O,O,O,X,X,X
STLZIJO,O,O,O,O,X,O,X
STLZIOJ,O,O,O,O,X,O,X
STLZJIO,O,O,O,O,X,X,X
STLZJOI,O,O,O,O,X,X,X
STLZOIJ,O,O,O,O,X,O,X
STLZOJI,O,O,O,O,X,X,X
STLOIJZ,O,O,O,O,O,X,X
STLOIZJ,O,O,X,O,X,X,X
STLOJIZ,O,O,O,O,O,X,X
STLOJZI,O,O,O,O,X,X,X
STLOZIJ,O,O,O,O,X,X,X
STLOZJI,O,O,O,O,X,X,X
STJILZO,O,O,O,O,X,X,X
STJILOZ,O,O,O,O,O,X,X
STJIZLO,O,O,O,O,X,X,X
STJIZOL,O,O,O,O,X,X,X
STJIOLZ,O,O,O,O,O,X,X
STJIOZL,O,O,O,O,X,X,X
STJLIZO,O,O,O,O,X,X,X
STJLIOZ,O,O,O,O,O,X,X
STJLZIO,O,O,O,O,X,X,X
STJLZOI,O,O,O,O,X,X,X
STJLOIZ,O,O,O,O,O,X,X
STJLOZI,O,O,O,O,X,X,X
STJZILO,O,O,O,O,X,X,X
STJZIOL,O,O,O,O,X,X,X
STJZLIO,O,O,O,O,X,X,X
STJZLOI,O,O,O,O,X,X,X
STJZOIL,O,O,O,O,X,X,X
STJZOLI,O,O,O,O,X,X,X
STJOILZ,O,O,O,O,O,X,X
STJOIZL,O,O,O,O,X,X,X
STJOLIZ,O,O,O,O,O,X,X
STJOLZI,O,O,O,O,X,X,X
STJOZIL,O,O,O,O,X,X,X
STJOZLI,O,O,O,O,X,X,X
STZILJO,O,O,O,O,X,O,X
STZILOJ,O,O,O,O,X,O,X
STZIJLO,O,O,O,O,X,O,X
STZIJOL,O,O,O,O,X,O,X
STZIOLJ,O,O,O,O,X,O,X
STZIOJL,O,O,O,O,X,O,X
STZLIJO,O,O,O,O,X,O,X
STZLIOJ,O,O,O,O,X,O,X
STZLJIO,O,O,O,O,X,X,X
STZLJOI,O,O,O,O,X,X,X
STZLOIJ,O,O,O,O,X,O,X
STZLOJI,O,O,O,O,X,X,X
STZJILO,O,O,O,O,X,X,X
STZJIOL,O,O,O,O,X,X,X
STZJLIO,O,O,O,O,X,X,X
STZJLOI,O,O,O,O,X,X,X
STZJOIL,O,O,O,O,X,X,X
STZJOLI,O,O,O,O,X,X,X
STZOILJ,O,O,O,O,X,O,X
STZOIJL,O,O,O,O,X,O,X
STZOLIJ,O,O,O,O,X,O,X
STZOLJI,O,O,O,O,X,X,X
STZOJIL,O,O,O,O,X,X,X
STZOJLI,O,O,O,O,X,X,X
STOILJZ,O,O,O,O,O,X,X
STOILZJ,O,O,X,O,X,X,X
STOIJLZ,O,O,O,O,O,X,X
STOIJZL,O,O,O,O,X,X,X
STOIZLJ,O,O,X,O,X,X,X
STOIZJL,O,O,X,O,X,X,X
STOLIJZ,O,O,O,O,O,X,X
STOLIZJ,O,O,X,O,X,X,X
STOLJIZ,O,O,O,O,O,X,X
STOLJZI,O,O,O,O,X,X,X
STOLZIJ,O,O,O,O,X,X,X
STOLZJI,O,O,O,O,X,X,X
STOJILZ,O,O,O,O,O,X,X
STOJIZL,O,O,O,O,X,X,X
STOJLIZ,O,O,O,O,O,X,X
STOJLZI,O,O,O,O,X,X,X
STOJZIL,O,O,O,O,X,X,X
STOJZLI,O,O,O,O,X,X,X
STOZILJ,O,O,O,O,X,X,X
STOZIJL,O,O,O,O,X,X,X
STOZLIJ,O,O,O,O,X,X,X
STOZLJI,O,O,O,O,X,X,X
STOZJIL,O,O,O,O,X,X,X
STOZJLI,O,O,O,O,X,X,X
SITLJZO,O,O,X,O,X,X,X
SITLJOZ,O,O,X,O,O,X,X
SITLZJO,O,O,X,O,X,O,X
SITLZOJ,O,O,X,O,X,O,X
SITLOJZ,O,O,X,O,O,X,X
SITLOZJ,O,O,X,O,X,X,X
SITJLZO,O,O,X,O,X,X,X
SITJLOZ,O,O,X,O,O,X,X
SITJZLO,O,O,X,O,X,X,X
SITJZOL,O,O,X,O,X,X,X
SITJOLZ,O,O,X,O,O,X,X
SITJOZL,O,O,X,O,X,X,X
SITZLJO,O,O,X,O,X,O,X
SITZLOJ,O,O,X,O,X,O,X
SITZJLO,O,O,X,O,X,O,X
SITZJOL,O,O,X,O,X,O,X
SITZOLJ,O,O,X,O,X,O,X
SITZOJL,O,O,X,O,X,O,X
SITOLJZ,O,O,X,O,O,X,X
SITOLZJ,O,O,X,O,X,X,X
SITOJLZ,O,O,X,O,O,X,X
SITOJZL,O,O,X,O,X,X,X
SITOZLJ,O,O,X,O,X,X,X
SITOZJL,O,O,X,O,X,X,X
SILTJZO,X,O,X,X,X,X,X
SILTJOZ,X,O,X,O,X,X,X
SILTZJO,O,O,X,X,X,O,X
SILTZOJ,O,O,X,X,X,O,X
SILTOJZ,X,O,X,O,X,X,X
SILTOZJ,O,O,X,X,X,X,X
SILJTZO,X,O,O,X,X,X,X
SILJTOZ,X,O,O,O,X,X,X
SILJZTO,O,O,O,X,X,O,X
SILJZOT,O,O,O,O,X,O,X
SILJOTZ,X,O,O,O,O,X,X
SILJOZT,O,O,O,O,O,X,X
SILZTJO,O,O,X,X,X,O,X
SILZTOJ,O,O,O,X,X,O,X
SILZJTO,O,O,O,X,X,O,X
SILZJOT,O,O,O,O,X,O,X
SILZOTJ,O,O,O,X,X,O,X
SILZOJT,O,O,O,O,X,O,X
SILOTJZ,X,O,X,O,X,X,X
SILOTZJ,O,O,X,X,X,X,X
SILOJTZ,X,O,O,O,O,X,X
SILOJZT,O,O,O,O,O,X,X
SILOZTJ,O,O,X,X,X,O,X
SILOZJT,O,O,X,O,X,O,X
SIJTLZO,X,O,O,O,X,X,X
SIJTLOZ,X,O,O,O,O,X,X
