sequence,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFxcB6jBcmBm?iBXnBFtB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFlcB3dBimBG?oBRsBctB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhF6hBxdB/nBF?jB2rBctB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFlcBWjBymBX?jBctBxwB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFViBajB5jB0?hB2rBftB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFxcBcmBXnBO?tB6tBlsB
LZOTJSI,O,X,O,X,X,X
LZOTSIJ,O,X,O,X,X,X
LZOTSJI,O,X,O,X,X,X
LZOITJS,O,O,X,O,X,X
LZOITSJ,O,X,X,O,X,X
LZOIJTS,X,O,X,O,X,X
LZOIJST,X,O,O,O,X,X
LZOISTJ,O,X,O,O,X,X
LZOISJT,O,X,O,O,X,O
LZOJTIS,X,O,X,X,X,X
LZOJTSI,X,X,O,X,X,X
LZOJITS,X,O,X,O,X,X
LZOJIST,X,O,O,O,X,X
LZOJSTI,X,X,O,X,X,O
LZOJSIT,X,X,O,X,X,O
LZOSTIJ,O,X,O,X,X,X
LZOSTJI,O,X,O,X,X,X
LZOSITJ,O,X,O,X,X,X
LZOSIJT,O,X,O,X,X,O
LZOSJTI,O,X,O,X,X,O
LZOSJIT,O,X,O,X,X,O
LOTIJSZ,X,O,X,X,X,X
LOTIJZS,O,O,X,O,X,X
LOTISJZ,O,O,X,X,X,X
LOTISZJ,O,X,X,O,X,X
LOTIZJS,O,O,X,O,X,X
LOTIZSJ,O,X,X,O,X,X
LOTJISZ,X,O,X,X,X,X
LOTJIZS,O,O,X,X,X,X
LOTJSIZ,O,O,O,X,X,X
LOTJSZI,O,X,O,X,X,X
LOTJZIS,O,O,X,X,X,X
LOTJZSI,O,X,O,X,X,X
LOTSIJZ,O,O,X,X,X,X
LOTSIZJ,O,X,O,X,X,X
LOTSJIZ,O,O,X,X,X,X
LOTSJZI,O,X,X,X,X,X
LOTSZIJ,O,X,O,X,X,X
LOTSZJI,O,X,O,X,X,X
LOTZIJS,O,O,X,O,X,X
LOTZISJ,O,X,X,O,X,X
LOTZJIS,O,O,X,X,X,X
LOTZJSI,O,X,O,X,X,X
LOTZSIJ,O,X,O,X,X,X
LOTZSJI,O,X,O,X,X,X
LOITJSZ,X,O,X,X,X,X
LOITJZS,O,O,X,O,X,X
LOITSJZ,X,O,X,X,X,X
LOITSZJ,O,X,X,O,X,X
LOITZJS,O,O,X,O,X,X
LOITZSJ,O,X,X,O,X,X
LOIJTSZ,X,O,X,X,X,X
LOIJTZS,X,O,X,O,X,X
LOIJSTZ,X,O,O,X,O,X
LOIJSZT,X,O,O,X,O,X
LOIJZTS,X,O,X,O,X,X
LOIJZST,X,O,O,O,X,X
LOISTJZ,X,O,X,X,O,X
LOISTZJ,X,X,O,O,O,X
LOISJTZ,X,O,X,X,O,X
LOISJZT,X,O,O,X,O,X
LOISZTJ,X,X,O,O,O,X
LOISZJT,X,X,O,O,O,X
LOIZTJS,O,O,X,O,X,X
LOIZTSJ,O,X,X,O,X,X
LOIZJTS,X,O,X,O,X,X
LOIZJST,X,O,O,O,X,X
LOIZSTJ,O,X,O,O,X,X
LOIZSJT,O,X,O,O,X,O
LOJTISZ,X,O,X,X,X,X
LOJTIZS,X,O,X,X,X,X
LOJTSIZ,X,O,O,X,X,X
LOJTSZI,X,X,O,X,X,X
LOJTZIS,X,O,X,X,X,X
LOJTZSI,X,X,O,X,X,X
LOJITSZ,X,O,X,X,X,X
LOJITZS,X,O,X,X,X,X
LOJISTZ,X,O,O,X,O,X
LOJISZT,X,O,O,X,O,X
LOJIZTS,X,O,X,X,X,X
LOJIZST,X,O,O,X,X,X
LOJSTIZ,X,O,O,X,O,X
LOJSTZI,X,X,O,X,O,X
LOJSITZ,X,O,O,X,O,X
LOJSIZT,X,O,O,X,O,X
LOJSZTI,X,X,O,X,O,O
LOJSZIT,X,X,O,X,O,O
LOJZTIS,X,O,X,X,X,X
LOJZTSI,X,X,O,X,X,X
LOJZITS,X,O,X,X,X,X
LOJZIST,X,O,O,X,X,X
LOJZSTI,X,X,O,X,X,O
LOJZSIT,X,X,O,X,X,O
LOSTIJZ,O,O,X,X,O,X
LOSTIZJ,O,X,O,X,O,X
LOSTJIZ,O,O,X,X,O,X
LOSTJZI,O,X,X,X,O,X
LOSTZIJ,O,X,O,X,O,X
LOSTZJI,O,X,O,X,X,X
LOSITJZ,X,O,X,X,O,X
LOSITZJ,X,X,O,X,O,X
LOSIJTZ,X,O,X,X,O,X
LOSIJZT,X,O,O,X,O,X
LOSIZTJ,X,X,O,X,O,X
LOSIZJT,X,X,O,X,O,X
LOSJTIZ,X,O,O,X,O,X
LOSJTZI,O,X,O,X,O,X
LOSJITZ,X,O,O,X,O,X
LOSJIZT,O,O,O,X,O,X
LOSJZTI,O,X,O,X,O,O
LOSJZIT,O,X,O,X,O,O
LOSZTIJ,O,X,O,X,O,X
LOSZTJI,O,X,O,X,X,X
LOSZITJ,O,X,O,X,O,X
LOSZIJT,O,X,O,X,O,O
LOSZJTI,O,X,O,X,O,O
LOSZJIT,O,X,O,X,O,O
LOZTIJS,O,O,X,O,X,X
LOZTISJ,O,X,O,O,X,X
LOZTJIS,O,O,X,X,X,X
LOZTJSI,O,X,O,X,X,X
LOZTSIJ,O,X,O,X,X,X
LOZTSJI,O,X,O,X,X,X
LOZITJS,O,O,X,O,X,X
LOZITSJ,O,X,X,O,X,X
LOZIJTS,X,O,X,O,X,X
LOZIJST,X,O,O,O,X,X
LOZISTJ,O,X,O,O,X,X
LOZISJT,O,X,O,O,X,O
LOZJTIS,X,O,X,X,X,X
LOZJTSI,X,X,O,X,X,X
LOZJITS,X,O,X,O,X,X
LOZJIST,X,O,O,O,X,X
LOZJSTI,X,X,O,X,X,O
LOZJSIT,X,X,O,X,X,O
LOZSTIJ,O,X,O,X,X,X
LOZSTJI,O,X,O,X,X,X
LOZSITJ,O,X,O,X,X,X
LOZSIJT,O,X,O,X,X,O
LOZSJTI,O,X,O,X,X,O
LOZSJIT,O,X,O,X,X,O
JTILSZO,X,O,X,X,X,X
JTILSOZ,X,O,X,X,X,X
JTILZSO,O,O,X,O,X,X
JTILZOS,O,O,X,O,X,X
JTILOSZ,X,O,X,X,X,X
JTILOZS,O,O,X,O,X,X
JTISLZO,X,X,X,X,O,X
JTISLOZ,X,X,X,X,O,X
JTISZLO,X,X,X,X,O,X
JTISZOL,X,X,X,X,O,X
JTISOLZ,X,X,X,X,O,X
JTISOZL,X,X,X,X,O,X
JTIZLSO,O,X,X,O,X,X
JTIZLOS,O,X,X,O,X,X
JTIZSLO,O,X,X,X,X,X
JTIZSOL,O,X,X,X,X,X
JTIZOLS,O,X,X,O,X,X
JTIZOSL,O,X,X,X,X,X
JTIOLSZ,X,O,X,X,X,X
JTIOLZS,O,O,X,O,X,X
JTIOSLZ,X,X,X,X,O,X
JTIOSZL,X,X,X,X,O,X
JTIOZLS,O,X,X,O,X,X
JTIOZSL,O,X,X,X,X,X
JTLISZO,X,O,X,X,X,X
JTLISOZ,X,O,X,X,X,X
JTLIZSO,O,O,X,X,X,X
JTLIZOS,O,O,X,X,X,X
JTLIOSZ,X,O,X,X,X,X
JTLIOZS,O,O,X,X,X,X
JTLSIZO,O,O,X,X,X,X
JTLSIOZ,O,O,O,X,X,X
JTLSZIO,O,X,O,X,X,X
JTLSZOI,O,X,O,X,X,X
JTLSOIZ,O,O,O,X,X,X
JTLSOZI,O,X,O,X,X,X
JTLZISO,O,O,X,X,X,X
JTLZIOS,O,O,X,X,X,X
JTLZSIO,O,X,O,X,X,X
JTLZSOI,O,X,O,X,X,X
JTLZOIS,O,O,X,X,X,X
JTLZOSI,O,X,O,X,X,X
JTLOISZ,X,O,X,X,X,X
JTLOIZS,O,O,X,X,X,X
JTLOSIZ,O,O,O,X,X,X
JTLOSZI,O,X,O,X,X,X
JTLOZIS,O,O,X,X,X,X
JTLOZSI,O,X,O,X,X,X
JTSILZO,O,X,X,X,O,X
JTSILOZ,O,X,O,X,O,X
JTSIZLO,O,X,X,X,O,X
JTSIZOL,O,X,X,X,O,X
JTSIOLZ,O,X,O,X,O,X
JTSIOZL,O,X,X,X,O,X
JTSLIZO,O,X,X,X,O,X
JTSLIOZ,O,X,O,X,O,X
JTSLZIO,O,X,O,X,O,X
JTSLZOI,O,X,O,X,O,X
JTSLOIZ,O,X,O,X,O,X
JTSLOZI,O,X,O,X,O,X
JTSZILO,O,X,O,X,O,O
JTSZIOL,O,X,O,X,O,O
JTSZLIO,O,X,O,X,O,O
JTSZLOI,O,X,O,X,O,O
JTSZOIL,O,X,O,X,O,O
JTSZOLI,O,X,O,X,O,O
JTSOILZ,O,X,O,X,O,X
JTSOIZL,O,X,X,X,O,X
JTSOLIZ,O,X,O,X,O,X
JTSOLZI,O,X,O,X,O,X
JTSOZIL,O,X,O,X,O,O
JTSOZLI,O,X,O,X,O,O
JTZILSO,O,X,X,O,X,X
JTZILOS,O,X,X,O,X,X
JTZISLO,O,X,X,X,X,X
JTZISOL,O,X,X,X,X,X
JTZIOLS,O,X,X,O,X,X
JTZIOSL,O,X,X,X,X,X
JTZLISO,O,X,X,X,X,X
JTZLIOS,O,X,X,X,X,X
JTZLSIO,O,X,O,X,X,X
JTZLSOI,O,X,O,X,X,X
JTZLOIS,O,X,X,X,X,X
JTZLOSI,O,X,O,X,X,X
JTZSILO,O,X,O,X,X,O
JTZSIOL,O,X,O,X,X,O
JTZSLIO,O,X,O,X,X,O
JTZSLOI,O,X,O,X,X,O
JTZSOIL,O,X,O,X,X,O
JTZSOLI,O,X,O,X,X,O
JTZOILS,O,X,X,O,X,X
JTZOISL,O,X,X,X,X,X
JTZOLIS,O,X,X,X,X,X
JTZOLSI,O,X,O,X,X,X
JTZOSIL,O,X,O,X,X,O
JTZOSLI,O,X,O,X,X,O
JTOILSZ,X,O,X,X,X,X
JTOILZS,O,O,X,O,X,X
JTOISLZ,X,X,X,X,O,X
JTOISZL,X,X,X,X,O,X
JTOIZLS,O,X,X,O,X,X
JTOIZSL,O,X,X,X,X,X
JTOLISZ,X,O,X,X,X,X
JTOLIZS,O,O,X,X,X,X
JTOLSIZ,O,O,O,X,X,X
JTOLSZI,O,X,O,X,X,X
JTOLZIS,O,O,X,X,X,X
JTOLZSI,O,X,O,X,X,X
JTOSILZ,O,X,O,X,O,X
JTOSIZL,O,X,X,X,O,X
JTOSLIZ,O,X,O,X,O,X
JTOSLZI,O,X,O,X,O,X
JTOSZIL,O,X,O,X,O,O
JTOSZLI,O,X,O,X,O,O
JTOZILS,O,X,X,O,X,X
JTOZISL,O,X,X,X,X,X
JTOZLIS,O,X,X,X,X,X
JTOZLSI,O,X,O,X,X,X
JTOZSIL,O,X,O,X,X,O
JTOZSLI,O,X,O,X,X,O
JITLSZO,X,O,X,X,X,X
JITLSOZ,X,O,X,X,X,X
JITLZSO,X,O,X,O,X,X
JITLZOS,X,O,X,O,X,X
JITLOSZ,X,O,X,X,X,X
JITLOZS,O,O,X,O,X,X
JITSLZO,X,X,X,X,O,X
JITSLOZ,X,X,X,X,O,X
JITSZLO,X,X,X,X,O,X
JITSZOL,X,X,X,X,O,X
JITSOLZ,X,X,X,X,O,X
JITSOZL,X,X,X,X,O,X
JITZLSO,O,X,X,O,X,X
JITZLOS,O,X,X,O,X,X
JITZSLO,O,X,X,X,X,X
JITZSOL,O,X,X,X,X,X
JITZOLS,O,X,X,O,X,X
JITZOSL,O,X,X,X,X,X
JITOLSZ,X,O,X,X,X,X
JITOLZS,O,O,X,O,X,X
JITOSLZ,X,X,X,X,O,X
JITOSZL,X,X,X,X,O,X
JITOZLS,O,X,X,O,X,X
JITOZSL,O,X,X,X,X,X
JILTSZO,X,O,X,X,X,X
JILTSOZ,X,O,X,X,X,X
JILTZSO,X,O,X,O,X,X
JILTZOS,X,O,X,O,X,X
JILTOSZ,X,O,X,X,X,X
JILTOZS,X,O,X,O,X,X
JILSTZO,X,O,X,X,O,X
JILSTOZ,X,O,O,X,O,X
JILSZTO,X,O,O,X,O,X
JILSZOT,X,O,O,X,O,X
JILSOTZ,X,O,O,X,O,X
JILSOZT,X,O,O,X,O,X
JILZTSO,X,O,X,O,X,X
JILZTOS,X,O,X,O,X,X
JILZSTO,X,O,O,O,X,X
JILZSOT,X,O,O,O,X,X
JILZOTS,X,O,X,O,X,X
JILZOST,X,O,O,O,X,X
JILOTSZ,X,O,X,X,X,X
JILOTZS,X,O,X,O,X,X
JILOSTZ,X,O,O,X,O,X
JILOSZT,X,O,O,X,O,X
JILOZTS,X,O,X,O,X,X
JILOZST,X,O,O,O,X,X
JISTLZO,X,X,X,X,O,X
JISTLOZ,X,X,O,X,O,X
JISTZLO,X,X,X,X,O,X
JISTZOL,X,X,X,X,O,X
JISTOLZ,X,X,O,X,O,X
JISTOZL,X,X,X,X,O,X
JISLTZO,X,X,X,X,O,X
JISLTOZ,X,X,O,X,O,X
JISLZTO,X,X,O,X,O,X
JISLZOT,X,X,O,X,O,X
JISLOTZ,X,X,O,X,O,X
JISLOZT,X,X,O,X,O,X
JISZTLO,X,X,O,X,O,O
JISZTOL,X,X,O,X,O,O
JISZLTO,X,X,O,X,O,O
JISZLOT,X,X,O,X,O,O
JISZOTL,X,X,O,X,O,O
JISZOLT,X,X,O,X,O,O
JISOTLZ,X,X,O,X,O,X
JISOTZL,X,X,X,X,O,X
JISOLTZ,X,X,O,X,O,X
JISOLZT,X,X,O,X,O,X
JISOZTL,X,X,O,X,O,O
JISOZLT,X,X,O,X,O,O
JIZTLSO,O,X,X,O,X,X
JIZTLOS,O,X,X,O,X,X
JIZTSLO,O,X,X,X,X,X
JIZTSOL,O,X,X,X,X,X
JIZTOLS,O,X,X,O,X,X
JIZTOSL,O,X,X,X,X,X
JIZLTSO,X,X,X,O,X,X
JIZLTOS,X,X,X,O,X,X
JIZLSTO,X,X,O,O,X,X
JIZLSOT,X,X,O,O,X,X
JIZLOTS,X,X,X,O,X,X
JIZLOST,X,X,O,O,X,X
JIZSTLO,O,X,O,X,O,O
JIZSTOL,O,X,O,X,O,O
JIZSLTO,O,X,O,O,O,O
JIZSLOT,O,X,O,O,O,O
JIZSOTL,O,X,O,X,O,O
JIZSOLT,O,X,O,O,O,O
JIZOTLS,O,X,X,O,X,X
JIZOTSL,O,X,X,X,X,X
JIZOLTS,X,X,X,O,X,X
JIZOLST,X,X,O,O,X,X
JIZOSTL,O,X,O,X,O,O
JIZOSLT,O,X,O,O,O,O
JIOTLSZ,X,O,X,X,X,X
JIOTLZS,O,O,X,O,X,X
JIOTSLZ,X,X,X,X,O,X
JIOTSZL,X,X,X,X,O,X
JIOTZLS,O,X,X,O,X,X
JIOTZSL,O,X,X,X,X,X
JIOLTSZ,X,O,X,X,X,X
JIOLTZS,X,O,X,O,X,X
JIOLSTZ,X,O,O,X,O,X
JIOLSZT,X,O,O,X,O,X
JIOLZTS,X,O,X,O,X,X
JIOLZST,X,O,O,O,X,X
JIOSTLZ,X,X,O,X,O,X
JIOSTZL,X,X,X,X,O,X
JIOSLTZ,X,X,O,X,O,X
JIOSLZT,X,X,O,X,O,X
JIOSZTL,X,X,O,X,O,O
JIOSZLT,X,X,O,X,O,O
JIOZTLS,O,X,X,O,X,X
JIOZTSL,O,X,X,X,X,X
JIOZLTS,X,X,X,O,X,X
JIOZLST,X,X,O,O,X,X
JIOZSTL,O,X,O,X,O,O
JIOZSLT,O,X,O,O,O,O
JLTISZO,X,O,X,X,X,X
JLTISOZ,X,O,X,X,X,X
JLTIZSO,X,O,X,X,X,X
JLTIZOS,X,O,X,X,X,X
JLTIOSZ,X,O,X,X,X,X
JLTIOZS,X,O,X,X,X,X
JLTSIZO,X,O,X,X,X,X
JLTSIOZ,X,O,O,X,X,X
JLTSZIO,X,X,O,X,X,X
JLTSZOI,X,X,O,X,X,X
JLTSOIZ,X,O,O,X,X,X
JLTSOZI,X,X,O,X,X,X
JLTZISO,X,O,X,X,X,X
JLTZIOS,X,O,X,X,X,X
JLTZSIO,X,X,O,X,X,X
JLTZSOI,X,X,O,X,X,X
JLTZOIS,X,O,X,X,X,X
JLTZOSI,X,X,O,X,X,X
JLTOISZ,X,O,X,X,X,X
JLTOIZS,X,O,X,X,X,X
JLTOSIZ,X,O,O,X,X,X
JLTOSZI,X,X,O,X,X,X
JLTOZIS,X,O,X,X,X,X
JLTOZSI,X,X,O,X,X,X
JLITSZO,X,O,X,X,X,X
JLITSOZ,X,O,X,X,X,X
JLITZSO,X,O,X,X,X,X
JLITZOS,X,O,X,X,X,X
JLITOSZ,X,O,X,X,X,X
JLITOZS,X,O,X,X,X,X
JLISTZO,X,O,X,X,O,X
JLISTOZ,X,O,O,X,O,X
JLISZTO,X,O,O,X,O,X
JLISZOT,X,O,O,X,O,X
JLISOTZ,X,O,O,X,O,X
JLISOZT,X,O,O,X,O,X
JLIZTSO,X,O,X,X,X,X
JLIZTOS,X,O,X,X,X,X
JLIZSTO,X,O,O,X,X,X
JLIZSOT,X,O,O,X,X,X
JLIZOTS,X,O,X,X,X,X
JLIZOST,X,O,O,X,X,X
JLIOTSZ,X,O,X,X,X,X
JLIOTZS,X,O,X,X,X,X
JLIOSTZ,X,O,O,X,O,X
JLIOSZT,X,O,O,X,O,X
JLIOZTS,X,O,X,X,X,X
JLIOZST,X,O,O,X,X,X
JLSTIZO,X,O,X,X,O,X
JLSTIOZ,X,O,O,X,O,X
JLSTZIO,X,X,O,X,O,X
JLSTZOI,X,X,O,X,O,X
JLSTOIZ,X,O,O,X,O,X
JLSTOZI,X,X,O,X,O,X
JLSITZO,X,O,X,X,O,X
JLSITOZ,X,O,O,X,O,X
JLSIZTO,X,O,O,X,O,X
JLSIZOT,X,O,O,X,O,X
JLSIOTZ,X,O,O,X,O,X
JLSIOZT,X,O,O,X,O,X
JLSZTIO,X,X,O,X,O,O
JLSZTOI,X,X,O,X,O,O
JLSZITO,X,X,O,X,O,O
JLSZIOT,X,X,O,X,O,O
JLSZOTI,X,X,O,X,O,O
JLSZOIT,X,X,O,X,O,O
JLSOTIZ,X,O,O,X,O,X
JLSOTZI,X,X,O,X,O,X
JLSOITZ,X,O,O,X,O,X
JLSOIZT,X,O,O,X,O,X
JLSOZTI,X,X,O,X,O,O
JLSOZIT,X,X,O,X,O,O
JLZTISO,X,O,X,X,X,X
JLZTIOS,X,O,X,X,X,X
JLZTSIO,X,X,O,X,X,X
JLZTSOI,X,X,O,X,X,X
JLZTOIS,X,O,X,X,X,X
JLZTOSI,X,X,O,X,X,X
JLZITSO,X,O,X,X,X,X
JLZITOS,X,O,X,X,X,X
JLZISTO,X,O,O,X,X,X
JLZISOT,X,O,O,X,X,X
JLZIOTS,X,O,X,X,X,X
JLZIOST,X,O,O,X,X,X
JLZSTIO,X,X,O,X,X,O
JLZSTOI,X,X,O,X,X,O
JLZSITO,X,X,O,X,X,O
JLZSIOT,X,X,O,X,X,O
JLZSOTI,X,X,O,X,X,O
JLZSOIT,X,X,O,X,X,O
JLZOTIS,X,O,X,X,X,X
JLZOTSI,X,X,O,X,X,X
JLZOITS,X,O,X,X,X,X
JLZOIST,X,O,O,X,X,X
JLZOSTI,X,X,O,X,X,O
JLZOSIT,X,X,O,X,X,O
JLOTISZ,X,O,X,X,X,X
JLOTIZS,X,O,X,X,X,X
JLOTSIZ,X,O,O,X,X,X
JLOTSZI,X,X,O,X,X,X
JLOTZIS,X,O,X,X,X,X
JLOTZSI,X,X,O,X,X,X
JLOITSZ,X,O,X,X,X,X
JLOITZS,X,O,X,X,X,X
JLOISTZ,X,O,O,X,O,X
JLOISZT,X,O,O,X,O,X
JLOIZTS,X,O,X,X,X,X
JLOIZST,X,O,O,X,X,X
JLOSTIZ,X,O,O,X,O,X
JLOSTZI,X,X,O,X,O,X
JLOSITZ,X,O,O,X,O,X
JLOSIZT,X,O,O,X,O,X
JLOSZTI,X,X,O,X,O,O
JLOSZIT,X,X,O,X,O,O
JLOZTIS,X,O,X,X,X,X
JLOZTSI,X,X,O,X,X,X
JLOZITS,X,O,X,X,X,X
JLOZIST,X,O,O,X,X,X
JLOZSTI,X,X,O,X,X,O
JLOZSIT,X,X,O,X,X,O
JSTILZO,O,X,X,X,O,X
JSTILOZ,O,X,O,X,O,X
JSTIZLO,O,X,X,X,O,X
JSTIZOL,O,X,X,X,O,X
JSTIOLZ,O,X,O,X,O,X
JSTIOZL,O,X,X,X,O,X
JSTLIZO,O,X,X,X,O,X
JSTLIOZ,O,X,O,X,O,X
JSTLZIO,O,X,O,X,O,X
JSTLZOI,O,X,O,X,O,X
JSTLOIZ,O,X,O,X,O,X
JSTLOZI,O,X,O,X,O,X
JSTZILO,O,X,O,X,O,O
JSTZIOL,O,X,O,X,O,O
JSTZLIO,O,X,O,X,O,O
JSTZLOI,O,X,O,X,O,O
JSTZOIL,O,X,O,X,O,O
JSTZOLI,O,X,O,X,O,O
JSTOILZ,O,X,O,X,O,X
JSTOIZL,O,X,X,X,O,X
JSTOLIZ,O,X,O,X,O,X
JSTOLZI,O,X,O,X,O,X
JSTOZIL,O,X,O,X,O,O
JSTOZLI,O,X,O,X,O,O
JSITLZO,X,X,X,X,O,X
JSITLOZ,X,X,O,X,O,X
JSITZLO,X,X,X,X,O,X
JSITZOL,X,X,X,X,O,X
JSITOLZ,X,X,O,X,O,X
JSITOZL,X,X,X,X,O,X
JSILTZO,X,X,X,X,O,X
JSILTOZ,X,X,O,X,O,X
JSILZTO,O,X,O,X,O,X
JSILZOT,O,X,O,X,O,X
JSILOTZ,X,X,O,X,O,X
JSILOZT,O,X,O,X,O,X
JSIZTLO,O,X,O,X,O,O
JSIZTOL,O,X,O,X,O,O
JSIZLTO,O,X,O,X,O,O
JSIZLOT,O,X,O,X,O,O
JSIZOTL,O,X,O,X,O,O
JSIZOLT,O,X,O,X,O,O
JSIOTLZ,X,X,O,X,O,X
JSIOTZL,X,X,X,X,O,X
JSIOLTZ,X,X,O,X,O,X
JSIOLZT,O,X,O,X,O,X
JSIOZTL,O,X,O,X,O,O
JSIOZLT,O,X,O,X,O,O
JSLTIZO,X,O,X,X,O,X
JSLTIOZ,X,O,O,X,O,X
JSLTZIO,O,X,O,X,O,X
JSLTZOI,O,X,O,X,O,X
JSLTOIZ,X,O,O,X,O,X
JSLTOZI,O,X,O,X,O,X
JSLITZO,X,O,X,X,O,X
JSLITOZ,X,O,O,X,O,X
JSLIZTO,O,O,O,X,O,X
JSLIZOT,O,O,O,X,O,X
JSLIOTZ,X,O,O,X,O,X
JSLIOZT,O,O,O,X,O,X
JSLZTIO,O,X,O,X,O,O
JSLZTOI,O,X,O,X,O,O
JSLZITO,O,X,O,X,O,O
JSLZIOT,O,X,O,X,O,O
JSLZOTI,O,X,O,X,O,O
JSLZOIT,O,X,O,X,O,O
JSLOTIZ,X,O,O,X,O,X
JSLOTZI,O,X,O,X,O,X
JSLOITZ,X,O,O,X,O,X
JSLOIZT,O,O,O,X,O,X
JSLOZTI,O,X,O,X,O,O
JSLOZIT,O,X,O,X,O,O
JSZTILO,O,X,O,X,O,O
JSZTIOL,O,X,O,X,O,O
JSZTLIO,O,X,O,X,O,O
JSZTLOI,O,X,O,X,O,O
JSZTOIL,O,X,O,X,O,O
JSZTOLI,O,X,O,X,O,O
JSZITLO,O,X,O,X,O,O
JSZITOL,O,X,O,X,O,O
JSZILTO,O,X,O,X,O,O
JSZILOT,O,X,O,X,O,O
JSZIOTL,O,X,O,X,O,O
JSZIOLT,O,X,O,X,O,O
JSZLTIO,O,X,O,X,O,O
JSZLTOI,O,X,O,X,O,O
JSZLITO,O,X,O,X,O,O
JSZLIOT,O,X,O,X,O,O
JSZLOTI,O,X,O,X,O,O
JSZLOIT,O,X,O,X,O,O
JSZOTIL,O,X,O,X,O,O
JSZOTLI,O,X,O,X,O,O
JSZOITL,O,X,O,X,O,O
JSZOILT,O,X,O,X,O,O
JSZOLTI,O,X,O,X,O,O
JSZOLIT,O,X,O,X,O,O
JSOTILZ,O,X,O,X,O,X
JSOTIZL,O,X,X,X,O,X
JSOTLIZ,O,X,O,X,O,X
JSOTLZI,O,X,O,X,O,X
JSOTZIL,O,X,O,X,O,O
JSOTZLI,O,X,O,X,O,O
JSOITLZ,X,X,O,X,O,X
JSOITZL,X,X,X,X,O,X
JSOILTZ,X,X,O,X,O,X
JSOILZT,O,X,O,X,O,X
JSOIZTL,O,X,O,X,O,O
JSOIZLT,O,X,O,X,O,O
JSOLTIZ,X,O,O,X,O,X
JSOLTZI,O,X,O,X,O,X
JSOLITZ,X,O,O,X,O,X
JSOLIZT,O,O,O,X,O,X
JSOLZTI,O,X,O,X,O,O
JSOLZIT,O,X,O,X,O,O
JSOZTIL,O,X,O,X,O,O
JSOZTLI,O,X,O,X,O,O
JSOZITL,O,X,O,X,O,O
JSOZILT,O,X,O,X,O,O
JSOZLTI,O,X,O,X,O,O
JSOZLIT,O,X,O,X,O,O
JZTILSO,O,X,X,O,X,X
JZTILOS,O,X,X,O,X,X
JZTISLO,O,X,O,X,X,X
JZTISOL,O,X,O,X,X,X
JZTIOLS,O,X,X,O,X,X
JZTIOSL,O,X,O,X,X,X
JZTLISO,O,X,X,X,X,X
JZTLIOS,O,X,X,X,X,X
JZTLSIO,O,X,O,X,X,X
JZTLSOI,O,X,O,X,X,X
JZTLOIS,O,X,X,X,X,X
JZTLOSI,O,X,O,X,X,X
JZTSILO,O,X,O,X,X,O
JZTSIOL,O,X,O,X,X,O
JZTSLIO,O,X,O,X,X,O
JZTSLOI,O,X,O,X,X,O
JZTSOIL,O,X,O,X,X,O
JZTSOLI,O,X,O,X,X,O
JZTOILS,O,X,X,O,X,X
JZTOISL,O,X,O,X,X,X
JZTOLIS,O,X,X,X,X,X
JZTOLSI,O,X,O,X,X,X
JZTOSIL,O,X,O,X,X,O
JZTOSLI,O,X,O,X,X,O
JZITLSO,O,X,X,O,X,X
JZITLOS,O,X,X,O,X,X
JZITSLO,O,X,X,X,X,X
JZITSOL,O,X,X,X,X,X
JZITOLS,O,X,X,O,X,X
JZITOSL,O,X,X,X,X,X
JZILTSO,X,X,X,O,X,X
JZILTOS,X,X,X,O,X,X
JZILSTO,X,X,O,O,X,X
JZILSOT,X,X,O,O,X,X
JZILOTS,X,X,X,O,X,X
JZILOST,X,X,O,O,X,X
JZISTLO,O,X,O,X,O,O
JZISTOL,O,X,O,X,O,O
JZISLTO,O,X,O,O,O,O
JZISLOT,O,X,O,O,O,O
JZISOTL,O,X,O,X,O,O
JZISOLT,O,X,O,O,O,O
JZIOTLS,O,X,X,O,X,X
JZIOTSL,O,X,X,X,X,X
JZIOLTS,X,X,X,O,X,X
JZIOLST,X,X,O,O,X,X
JZIOSTL,O,X,O,X,O,O
JZIOSLT,O,X,O,O,O,O
JZLTISO,X,O,X,X,X,X
JZLTIOS,X,O,X,X,X,X
JZLTSIO,X,X,O,X,X,X
JZLTSOI,X,X,O,X,X,X
JZLTOIS,X,O,X,X,X,X
JZLTOSI,X,X,O,X,X,X
JZLITSO,X,O,X,O,X,X
JZLITOS,X,O,X,O,X,X
JZLISTO,X,O,O,O,X,X
JZLISOT,X,O,O,O,X,X
JZLIOTS,X,O,X,O,X,X
JZLIOST,X,O,O,O,X,X
JZLSTIO,X,X,O,X,X,O
JZLSTOI,X,X,O,X,X,O
JZLSITO,X,X,O,X,X,O
JZLSIOT,X,X,O,X,X,O
JZLSOTI,X,X,O,X,X,O
JZLSOIT,X,X,O,X,X,O
JZLOTIS,X,O,X,X,X,X
JZLOTSI,X,X,O,X,X,X
