sequence,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeZ/IvhFuf?BcgBCeBXjBzpBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeZ/IvhFCb?BuiBcjBXgBzpBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFCe?BTfBOlBXjB0pBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeSDJvhFxf?BXgBziB2pBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeZ/IvhFcg?BqiBTeBfqBlsBupB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFqi?BTeBXgB2pBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JecAJvhFTe?BOkBfqBysB5nBlpB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeSDJvhFxf?B0fBziB2pBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeC+IvhFxf?BXjBTfBOlB0pBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jel6IvhFcg?BTeBysBmpB5nB/pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFCe?BOlBXjBTkBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeSDJvhFxf?B0fBziB/pBOqBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFqi?BTeB0fB2pBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFui?BcjBTfBypBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeuCJvhFcj?BxfBTfBypBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeG+IvhFxf?BziBikBXlBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFOl?BTkB3nBFoB0pBCtB
TJLZOSI,X,X,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TJLOISZ,X,X,X,O,O,O,X,O,X,O,O,X,X,X,X,O,X
TJLOIZS,X,X,X,O,X,X,X,O,X,O,X,X,O,O,X,O,X
TJLOSIZ,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,O,X
TJLOSZI,X,X,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TJLOZIS,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X
TJLOZSI,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TJSILZO,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TJSILOZ,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TJSIZLO,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TJSIZOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJSIOZL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSLIZO,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TJSLIOZ,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TJSLZIO,O,O,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X
TJSLZOI,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X
TJSLOIZ,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TJSLOZI,O,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X
TJSZILO,O,O,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X
TJSZIOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSZLIO,O,O,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X
TJSZLOI,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X
TJSZOIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSZOLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSOILZ,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJSOIZL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TJSOLIZ,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJSOLZI,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TJSOZIL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TJSOZLI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TJZILSO,O,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TJZILOS,X,O,X,O,X,X,X,O,X,X,X,X,O,O,O,X,X
TJZISLO,O,O,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X
TJZISOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZIOLS,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TJZIOSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZLISO,O,O,O,O,X,X,X,O,X,O,X,X,O,X,O,X,X
TJZLIOS,X,O,X,O,X,X,X,O,X,O,X,X,O,O,O,X,X
TJZLSIO,O,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X,X
TJZLSOI,O,O,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TJZLOIS,X,O,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X
TJZLOSI,X,O,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TJZSILO,O,O,O,X,O,O,X,X,O,X,O,X,O,X,O,X,X
TJZSIOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZSLIO,O,O,O,X,O,O,X,X,O,X,O,X,O,X,O,X,X
TJZSLOI,O,O,O,X,O,O,X,X,X,X,O,X,O,O,X,X,X
TJZSOIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJZSOLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJZOILS,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TJZOISL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJZOLIS,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X
TJZOLSI,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TJZOSIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJZOSLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJOILSZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X
TJOILZS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TJOISLZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TJOISZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJOIZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJOIZSL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJOLISZ,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X
TJOLIZS,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
TJOLSIZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
TJOLSZI,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
TJOLZIS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TJOLZSI,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJOSILZ,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X
TJOSIZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TJOSLIZ,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X
TJOSLZI,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TJOSZIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TJOSZLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TJOZILS,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TJOZISL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJOZLIS,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TJOZLSI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJOZSIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJOZSLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TSILJZO,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TSILJOZ,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TSILZJO,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TSILZOJ,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TSILOJZ,O,X,X,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TSILOZJ,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TSIJLZO,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X
TSIJLOZ,O,X,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X
TSIJZLO,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TSIJZOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSIJOLZ,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TSIJOZL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TSIZLJO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TSIZLOJ,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TSIZJLO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TSIZJOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSIZOLJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSIZOJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSIOLJZ,O,O,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X
TSIOLZJ,O,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TSIOJLZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TSIOJZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TSIOZLJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TSIOZJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSLIJZO,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TSLIJOZ,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TSLIZJO,O,O,O,O,O,X,X,X,O,X,X,O,X,X,O,X,X
TSLIZOJ,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TSLIOJZ,O,X,X,O,O,O,X,O,O,X,O,O,X,X,X,O,X
TSLIOZJ,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TSLJIZO,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X
TSLJIOZ,O,X,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X
TSLJZIO,O,O,O,X,O,O,O,X,O,X,O,X,O,X,X,X,X
TSLJZOI,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X
TSLJOIZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
TSLJOZI,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X
TSLZIJO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X
TSLZIOJ,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TSLZJIO,O,O,O,X,O,O,O,X,O,X,O,X,X,X,O,X,X
TSLZJOI,O,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X
TSLZOIJ,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TSLZOJI,O,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X
TSLOIJZ,O,X,X,X,O,O,X,X,O,X,O,O,X,X,X,O,X
TSLOIZJ,O,O,X,X,O,O,X,X,O,X,X,O,X,O,X,X,X
TSLOJIZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,O,X
TSLOJZI,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X
TSLOZIJ,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TSLOZJI,O,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X
TSJILZO,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TSJILOZ,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X
TSJIZLO,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TSJIZOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSJIOLZ,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TSJIOZL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TSJLIZO,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X
TSJLIOZ,O,X,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X
TSJLZIO,O,O,O,X,O,O,O,X,O,X,O,X,O,X,X,X,X
TSJLZOI,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X
TSJLOIZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
TSJLOZI,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X
TSJZILO,O,O,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X
TSJZIOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSJZLIO,O,O,O,X,O,O,O,X,O,X,O,X,O,X,X,X,X
TSJZLOI,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X
TSJZOIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TSJZOLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TSJOILZ,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TSJOIZL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TSJOLIZ,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TSJOLZI,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TSJOZIL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TSJOZLI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TSZILJO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TSZILOJ,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TSZIJLO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TSZIJOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSZIOLJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSZIOJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSZLIJO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X
TSZLIOJ,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TSZLJIO,O,O,O,X,O,O,O,X,O,X,O,X,X,X,O,X,X
TSZLJOI,O,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X
TSZLOIJ,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TSZLOJI,O,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X
TSZJILO,O,O,O,X,O,O,X,X,O,X,O,X,X,X,O,X,X
TSZJIOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSZJLIO,O,O,O,X,O,O,O,X,O,X,O,X,X,X,O,X,X
TSZJLOI,O,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X
TSZJOIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TSZJOLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TSZOILJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSZOIJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSZOLIJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSZOLJI,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TSZOJIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TSZOJLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TSOILJZ,O,O,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X
TSOILZJ,O,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TSOIJLZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TSOIJZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TSOIZLJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TSOIZJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSOLIJZ,O,O,X,X,O,O,X,X,O,X,O,O,X,X,X,O,X
TSOLIZJ,O,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TSOLJIZ,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X
TSOLJZI,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TSOLZIJ,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TSOLZJI,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TSOJILZ,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X
TSOJIZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TSOJLIZ,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X
TSOJLZI,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TSOJZIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TSOJZLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TSOZILJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSOZIJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSOZLIJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSOZLJI,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TSOZJIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TSOZJLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TZILJSO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TZILJOS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TZILSJO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X
TZILSOJ,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TZILOJS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TZILOSJ,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TZIJLSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TZIJLOS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
TZIJSLO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TZIJSOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZIJOLS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TZIJOSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZISLJO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TZISLOJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TZISJLO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TZISJOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZISOLJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TZISOJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZIOLJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZIOLSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZIOJLS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TZIOJSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZIOSLJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TZIOSJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLIJSO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TZLIJOS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
TZLISJO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X
TZLISOJ,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TZLIOJS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X
TZLIOSJ,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TZLJISO,O,O,O,O,X,X,X,O,X,O,X,X,O,X,O,X,X
TZLJIOS,X,O,X,O,X,X,X,O,X,O,X,X,O,O,O,X,X
TZLJSIO,O,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X,X
TZLJSOI,O,O,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TZLJOIS,X,O,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X
TZLJOSI,X,O,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TZLSIJO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X
TZLSIOJ,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TZLSJIO,O,O,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X
TZLSJOI,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X
TZLSOIJ,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TZLSOJI,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X
TZLOIJS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X
TZLOISJ,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TZLOJIS,X,O,O,X,X,X,X,X,X,O,X,X,O,O,O,O,X
TZLOJSI,X,O,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TZLOSIJ,X,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TZLOSJI,X,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X
TZJILSO,O,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TZJILOS,X,O,X,O,X,X,X,O,X,X,X,X,O,O,O,X,X
TZJISLO,O,O,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X
TZJISOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZJIOLS,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TZJIOSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZJLISO,O,O,O,O,X,X,X,O,X,O,X,X,O,X,O,X,X
TZJLIOS,X,O,X,O,X,X,X,O,X,O,X,X,O,O,O,X,X
TZJLSIO,O,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X,X
TZJLSOI,O,O,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TZJLOIS,X,O,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X
TZJLOSI,X,O,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TZJSILO,O,O,O,X,O,O,X,X,O,X,O,X,O,X,O,X,X
TZJSIOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZJSLIO,O,O,O,X,O,O,X,X,O,X,O,X,O,X,O,X,X
TZJSLOI,O,O,O,X,O,O,X,X,X,X,O,X,O,O,X,X,X
TZJSOIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TZJSOLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TZJOILS,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TZJOISL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TZJOLIS,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X
TZJOLSI,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TZJOSIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TZJOSLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TZSILJO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TZSILOJ,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TZSIJLO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TZSIJOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZSIOLJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TZSIOJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZSLIJO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X
TZSLIOJ,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TZSLJIO,O,O,O,X,O,O,O,X,O,X,O,X,X,X,O,X,X
TZSLJOI,O,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X
TZSLOIJ,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TZSLOJI,O,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X
TZSJILO,O,O,O,X,O,O,X,X,O,X,O,X,X,X,O,X,X
TZSJIOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZSJLIO,O,O,O,X,O,O,O,X,O,X,O,X,X,X,O,X,X
TZSJLOI,O,O,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X
TZSJOIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TZSJOLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TZSOILJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TZSOIJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZSOLIJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TZSOLJI,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TZSOJIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TZSOJLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TZOILJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOILSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOIJLS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TZOIJSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOISLJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TZOISJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZOLIJS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X
TZOLISJ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TZOLJIS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X
TZOLJSI,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TZOLSIJ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TZOLSJI,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
