sequence,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFcgBxcBXeBenBFm?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFFdBXeBxgBmlBzm?BUrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFUdBFeBxgB3gBmm?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFcgB2hBXeBRmBFn?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhF1gB0cBXeBOnBxl?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFFeBTgBxhBmmB3m?BUrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFFeBxgBXiBmlBzm?BUrB
JLSTOIZ,X,O,X,X,X,X,O
JLSTOZI,X,O,X,X,X,X,X
JLSITZO,O,X,O,X,O,X,O
JLSITOZ,X,X,X,X,X,X,O
JLSIZTO,O,X,O,X,X,X,O
JLSIZOT,O,X,X,X,X,X,X
JLSIOTZ,X,O,X,X,X,X,O
JLSIOZT,X,O,X,X,X,X,X
JLSZTIO,O,X,O,X,X,X,O
JLSZTOI,O,X,X,X,X,X,X
JLSZITO,O,X,O,X,X,X,O
JLSZIOT,O,X,X,O,X,X,X
JLSZOTI,O,O,X,X,X,X,X
JLSZOIT,O,O,X,O,X,X,X
JLSOTIZ,X,O,X,X,X,X,O
JLSOTZI,X,O,X,X,X,X,X
JLSOITZ,X,O,X,X,O,X,O
JLSOIZT,X,O,X,X,X,X,X
JLSOZTI,O,O,X,X,X,X,X
JLSOZIT,O,O,X,O,X,X,X
JLZTISO,O,X,O,X,X,X,O
JLZTIOS,O,X,O,X,X,X,X
JLZTSIO,O,X,O,X,X,X,O
JLZTSOI,O,X,X,X,X,X,X
JLZTOIS,O,X,O,X,X,X,X
JLZTOSI,O,X,O,X,X,X,X
JLZITSO,O,X,O,X,X,X,O
JLZITOS,O,X,O,X,X,X,X
JLZISTO,O,X,O,X,X,X,O
JLZISOT,O,X,X,O,X,X,X
JLZIOTS,X,X,O,O,X,X,X
JLZIOST,O,X,X,O,X,X,X
JLZSTIO,O,X,O,X,X,X,O
JLZSTOI,O,X,X,X,X,X,X
JLZSITO,O,X,O,X,X,X,O
JLZSIOT,O,X,X,O,X,X,X
JLZSOTI,O,O,X,X,X,X,X
JLZSOIT,O,O,X,O,X,X,X
JLZOTIS,O,O,O,X,X,X,X
JLZOTSI,O,O,O,X,X,X,X
JLZOITS,X,O,O,O,X,X,X
JLZOIST,O,O,O,O,X,X,X
JLZOSTI,O,O,O,X,X,X,X
JLZOSIT,O,O,O,O,X,X,X
JLOTISZ,X,O,O,X,X,O,O
JLOTIZS,X,O,O,X,X,O,X
JLOTSIZ,X,O,O,X,X,O,O
JLOTSZI,X,O,O,X,X,X,X
JLOTZIS,X,O,O,X,X,O,X
JLOTZSI,X,O,O,X,X,X,X
JLOITSZ,X,O,O,X,O,O,O
JLOITZS,X,O,O,X,O,O,X
JLOISTZ,X,O,O,X,O,O,O
JLOISZT,X,O,O,X,X,X,X
JLOIZTS,X,O,O,X,X,O,X
JLOIZST,X,O,O,X,X,X,X
JLOSTIZ,X,O,O,X,X,O,O
JLOSTZI,X,O,O,X,X,X,X
JLOSITZ,X,O,O,X,O,O,O
JLOSIZT,X,O,O,X,X,X,X
JLOSZTI,O,O,O,X,X,X,X
JLOSZIT,O,O,O,O,X,X,X
JLOZTIS,O,O,O,X,X,O,X
JLOZTSI,O,O,O,X,X,X,X
JLOZITS,X,O,O,O,X,O,X
JLOZIST,O,O,O,O,X,X,X
JLOZSTI,O,O,O,X,X,X,X
JLOZSIT,O,O,O,O,X,X,X
JSTILZO,O,X,O,X,X,X,O
JSTILOZ,X,X,X,X,X,X,O
JSTIZLO,O,X,O,X,X,X,O
JSTIZOL,O,X,X,X,X,X,X
JSTIOLZ,X,X,X,X,X,O,O
JSTIOZL,O,X,X,X,X,X,X
JSTLIZO,O,X,O,X,X,X,O
JSTLIOZ,X,X,X,X,X,X,O
JSTLZIO,O,X,O,X,X,X,O
JSTLZOI,O,X,X,X,X,X,X
JSTLOIZ,X,O,X,X,X,X,O
JSTLOZI,X,O,X,X,X,X,X
JSTZILO,O,X,O,X,X,X,O
JSTZIOL,O,X,X,X,X,X,X
JSTZLIO,O,X,O,X,X,X,O
JSTZLOI,O,X,X,X,X,X,X
JSTZOIL,O,X,X,X,X,X,X
JSTZOLI,O,X,X,X,X,X,X
JSTOILZ,X,O,X,X,X,O,O
JSTOIZL,O,O,X,X,X,X,X
JSTOLIZ,X,O,X,X,X,O,O
JSTOLZI,X,O,X,X,X,X,X
JSTOZIL,O,O,X,X,X,X,X
JSTOZLI,O,O,X,X,X,X,X
JSITLZO,O,X,O,X,O,X,O
JSITLOZ,X,X,X,X,X,X,O
JSITZLO,O,X,O,O,O,X,O
JSITZOL,O,X,X,X,X,X,X
JSITOLZ,X,X,X,X,X,O,O
JSITOZL,O,X,X,X,X,X,X
JSILTZO,O,X,O,X,O,X,O
JSILTOZ,X,X,X,X,X,X,O
JSILZTO,O,X,O,O,X,X,O
JSILZOT,O,X,X,O,X,X,X
JSILOTZ,X,O,X,X,X,X,O
JSILOZT,X,O,X,X,X,X,X
JSIZTLO,O,X,O,O,X,X,O
JSIZTOL,O,X,X,X,X,X,X
JSIZLTO,O,X,O,O,X,X,O
JSIZLOT,O,X,X,O,X,X,X
JSIZOTL,X,X,X,O,X,X,X
JSIZOLT,O,X,X,O,X,X,X
JSIOTLZ,X,O,X,X,X,O,O
JSIOTZL,O,O,X,X,X,X,X
JSIOLTZ,X,O,X,X,X,O,O
JSIOLZT,X,O,X,X,X,X,X
JSIOZTL,X,O,X,X,X,X,X
JSIOZLT,O,O,X,O,X,X,X
JSLTIZO,O,X,O,X,X,X,O
JSLTIOZ,X,X,X,X,X,X,O
JSLTZIO,O,X,O,X,X,X,O
JSLTZOI,O,X,X,X,X,X,X
JSLTOIZ,X,O,X,X,X,X,O
JSLTOZI,X,O,X,X,X,X,X
JSLITZO,O,X,O,X,O,X,O
JSLITOZ,X,X,X,X,X,X,O
JSLIZTO,O,X,O,X,X,X,O
JSLIZOT,O,X,X,X,X,X,X
JSLIOTZ,X,O,X,X,X,X,O
JSLIOZT,X,O,X,X,X,X,X
JSLZTIO,O,X,O,X,X,X,O
JSLZTOI,O,X,X,X,X,X,X
JSLZITO,O,X,O,X,X,X,O
JSLZIOT,O,X,X,O,X,X,X
JSLZOTI,O,O,X,X,X,X,X
JSLZOIT,O,O,X,O,X,X,X
JSLOTIZ,X,O,X,X,X,X,O
JSLOTZI,X,O,X,X,X,X,X
JSLOITZ,X,O,X,X,O,X,O
JSLOIZT,X,O,X,X,X,X,X
JSLOZTI,O,O,X,X,X,X,X
JSLOZIT,O,O,X,O,X,X,X
JSZTILO,O,X,O,X,X,X,O
JSZTIOL,O,X,X,X,X,X,X
JSZTLIO,O,X,O,X,X,X,O
JSZTLOI,O,X,X,X,X,X,X
JSZTOIL,O,X,X,X,X,X,X
JSZTOLI,O,X,X,X,X,X,X
JSZITLO,O,X,O,X,X,X,O
JSZITOL,O,X,X,X,X,X,X
JSZILTO,O,X,O,X,X,X,O
JSZILOT,O,X,X,O,X,X,X
JSZIOTL,X,X,X,O,X,X,X
JSZIOLT,O,X,X,O,X,X,X
JSZLTIO,O,X,O,X,X,X,O
JSZLTOI,O,X,X,X,X,X,X
JSZLITO,O,X,O,X,X,X,O
JSZLIOT,O,X,X,O,X,X,X
JSZLOTI,O,O,X,X,X,X,X
JSZLOIT,O,O,X,O,X,X,X
JSZOTIL,O,O,X,X,X,X,X
JSZOTLI,O,O,X,X,X,X,X
JSZOITL,X,O,X,O,X,X,X
JSZOILT,O,O,X,O,X,X,X
JSZOLTI,O,O,X,X,X,X,X
JSZOLIT,O,O,X,O,X,X,X
JSOTILZ,X,O,X,X,X,O,O
JSOTIZL,O,O,X,X,X,X,X
JSOTLIZ,X,O,X,X,X,O,O
JSOTLZI,X,O,X,X,X,X,X
JSOTZIL,O,O,X,X,X,X,X
JSOTZLI,O,O,X,X,X,X,X
JSOITLZ,X,O,X,X,O,O,O
JSOITZL,O,O,X,O,O,X,X
JSOILTZ,X,O,X,X,O,O,O
JSOILZT,X,O,X,O,X,X,X
JSOIZTL,X,O,X,O,X,X,X
JSOIZLT,O,O,X,O,X,X,X
JSOLTIZ,X,O,X,X,X,O,O
JSOLTZI,X,O,X,X,X,X,X
JSOLITZ,X,O,X,X,O,O,O
JSOLIZT,X,O,X,X,X,X,X
JSOLZTI,O,O,X,X,X,X,X
JSOLZIT,O,O,X,O,X,X,X
JSOZTIL,O,O,X,X,X,X,X
JSOZTLI,O,O,X,X,X,X,X
JSOZITL,X,O,X,O,X,X,X
JSOZILT,O,O,X,O,X,X,X
JSOZLTI,O,O,X,X,X,X,X
JSOZLIT,O,O,X,O,X,X,X
JZTILSO,O,X,O,X,X,X,O
JZTILOS,O,X,O,X,X,X,X
JZTISLO,O,X,O,X,X,X,O
JZTISOL,O,X,X,X,X,X,X
JZTIOLS,O,X,O,X,X,O,X
JZTIOSL,O,X,X,X,X,X,X
JZTLISO,O,X,O,X,X,X,O
JZTLIOS,O,X,O,X,X,X,X
JZTLSIO,O,X,O,X,X,X,O
JZTLSOI,O,X,X,X,X,X,X
JZTLOIS,O,X,O,X,X,X,X
JZTLOSI,O,X,O,X,X,X,X
JZTSILO,O,X,O,X,X,X,O
JZTSIOL,O,X,X,X,X,X,X
JZTSLIO,O,X,O,X,X,X,O
JZTSLOI,O,X,X,X,X,X,X
JZTSOIL,O,X,X,X,X,X,X
JZTSOLI,O,X,X,X,X,X,X
JZTOILS,O,X,O,X,X,O,X
JZTOISL,O,X,O,X,X,X,X
JZTOLIS,O,X,O,X,X,O,X
JZTOLSI,O,X,O,X,X,X,X
JZTOSIL,O,X,O,X,X,X,X
JZTOSLI,O,X,O,X,X,X,X
JZITLSO,O,X,O,X,X,X,O
JZITLOS,O,X,O,X,X,X,X
JZITSLO,O,X,O,X,X,X,O
JZITSOL,O,X,X,X,X,X,X
JZITOLS,O,X,O,X,X,O,X
JZITOSL,O,X,X,X,X,X,X
JZILTSO,O,X,O,X,X,X,O
JZILTOS,O,X,O,X,X,X,X
JZILSTO,O,X,O,X,X,X,O
JZILSOT,O,X,X,O,X,X,X
JZILOTS,X,X,O,O,X,X,X
JZILOST,O,X,X,O,X,X,X
JZISTLO,O,X,O,X,X,X,O
JZISTOL,O,X,X,X,X,X,X
JZISLTO,O,X,O,X,X,X,O
JZISLOT,O,X,X,O,X,X,X
JZISOTL,X,X,X,O,X,X,X
JZISOLT,O,X,X,O,X,X,X
JZIOTLS,X,X,O,O,X,O,X
JZIOTSL,X,X,X,O,X,X,X
JZIOLTS,X,X,O,O,X,O,X
JZIOLST,O,X,X,O,X,X,X
JZIOSTL,X,X,X,O,X,X,X
JZIOSLT,O,X,X,O,X,X,X
JZLTISO,O,X,O,X,X,X,O
JZLTIOS,O,X,O,X,X,X,X
JZLTSIO,O,X,O,X,X,X,O
JZLTSOI,O,X,X,X,X,X,X
JZLTOIS,O,X,O,X,X,X,X
JZLTOSI,O,X,O,X,X,X,X
JZLITSO,O,X,O,X,X,X,O
JZLITOS,O,X,O,X,X,X,X
JZLISTO,O,X,O,X,X,X,O
JZLISOT,O,X,X,O,X,X,X
JZLIOTS,X,X,O,O,X,X,X
JZLIOST,O,X,X,O,X,X,X
JZLSTIO,O,X,O,X,X,X,O
JZLSTOI,O,X,X,X,X,X,X
JZLSITO,O,X,O,X,X,X,O
JZLSIOT,O,X,X,O,X,X,X
JZLSOTI,O,O,X,X,X,X,X
JZLSOIT,O,O,X,O,X,X,X
JZLOTIS,O,O,O,X,X,X,X
JZLOTSI,O,O,O,X,X,X,X
JZLOITS,X,O,O,O,X,X,X
JZLOIST,O,O,O,O,X,X,X
JZLOSTI,O,O,O,X,X,X,X
JZLOSIT,O,O,O,O,X,X,X
JZSTILO,O,X,O,X,X,X,O
JZSTIOL,O,X,X,X,X,X,X
JZSTLIO,O,X,O,X,X,X,O
JZSTLOI,O,X,X,X,X,X,X
JZSTOIL,O,X,X,X,X,X,X
JZSTOLI,O,X,X,X,X,X,X
JZSITLO,O,X,O,X,X,X,O
JZSITOL,O,X,X,X,X,X,X
JZSILTO,O,X,O,X,X,X,O
JZSILOT,O,X,X,O,X,X,X
JZSIOTL,X,X,X,O,X,X,X
JZSIOLT,O,X,X,O,X,X,X
JZSLTIO,O,X,O,X,X,X,O
JZSLTOI,O,X,X,X,X,X,X
JZSLITO,O,X,O,X,X,X,O
JZSLIOT,O,X,X,O,X,X,X
JZSLOTI,O,O,X,X,X,X,X
JZSLOIT,O,O,X,O,X,X,X
JZSOTIL,O,O,X,X,X,X,X
JZSOTLI,O,O,X,X,X,X,X
JZSOITL,X,O,X,O,X,X,X
JZSOILT,O,O,X,O,X,X,X
JZSOLTI,O,O,X,X,X,X,X
JZSOLIT,O,O,X,O,X,X,X
JZOTILS,O,O,O,X,X,O,X
JZOTISL,O,O,O,X,X,X,X
JZOTLIS,O,O,O,X,X,O,X
JZOTLSI,O,O,O,X,X,X,X
JZOTSIL,O,O,O,X,X,X,X
JZOTSLI,O,O,O,X,X,X,X
JZOITLS,X,O,O,O,X,O,X
JZOITSL,X,O,O,O,X,X,X
JZOILTS,X,O,O,O,X,O,X
JZOILST,O,O,O,O,X,X,X
JZOISTL,X,O,O,O,X,X,X
JZOISLT,O,O,O,O,X,X,X
JZOLTIS,O,O,O,X,X,O,X
JZOLTSI,O,O,O,X,X,X,X
JZOLITS,X,O,O,O,X,O,X
JZOLIST,O,O,O,O,X,X,X
JZOLSTI,O,O,O,X,X,X,X
JZOLSIT,O,O,O,O,X,X,X
JZOSTIL,O,O,O,X,X,X,X
JZOSTLI,O,O,O,X,X,X,X
JZOSITL,X,O,O,O,X,X,X
JZOSILT,O,O,O,O,X,X,X
JZOSLTI,O,O,O,X,X,X,X
JZOSLIT,O,O,O,O,X,X,X
JOTILSZ,X,O,O,X,X,O,O
JOTILZS,X,O,O,X,X,O,X
JOTISLZ,X,O,O,X,X,O,O
JOTISZL,O,O,O,X,X,X,X
JOTIZLS,O,O,O,X,X,O,X
JOTIZSL,O,O,O,X,X,X,X
JOTLISZ,X,O,O,X,X,O,O
JOTLIZS,X,O,O,X,X,O,X
JOTLSIZ,X,O,O,X,X,O,O
JOTLSZI,X,O,O,X,X,X,X
JOTLZIS,X,O,O,X,X,O,X
JOTLZSI,X,O,O,X,X,X,X
JOTSILZ,X,O,O,X,X,O,O
JOTSIZL,O,O,O,X,X,X,X
JOTSLIZ,X,O,O,X,X,O,O
JOTSLZI,X,O,O,X,X,X,X
JOTSZIL,O,O,O,X,X,X,X
JOTSZLI,O,O,O,X,X,X,X
JOTZILS,O,O,O,X,X,O,X
JOTZISL,O,O,O,X,X,X,X
JOTZLIS,O,O,O,X,X,O,X
JOTZLSI,O,O,O,X,X,X,X
JOTZSIL,O,O,O,X,X,X,X
JOTZSLI,O,O,O,X,X,X,X
JOITLSZ,X,O,O,X,O,O,O
JOITLZS,X,O,O,X,O,O,X
JOITSLZ,X,O,O,X,O,O,O
JOITSZL,O,O,O,O,O,X,X
JOITZLS,O,O,O,O,O,O,X
JOITZSL,O,O,O,O,O,X,X
JOILTSZ,X,O,O,X,O,O,O
JOILTZS,X,O,O,X,O,O,X
JOILSTZ,X,O,O,X,O,O,O
JOILSZT,X,O,O,O,X,X,X
JOILZTS,X,O,O,O,X,O,X
JOILZST,X,O,O,O,X,X,X
JOISTLZ,X,O,O,X,O,O,O
JOISTZL,O,O,O,O,O,X,X
JOISLTZ,X,O,O,X,O,O,O
JOISLZT,X,O,O,O,X,X,X
JOISZTL,X,O,O,O,X,X,X
JOISZLT,O,O,O,O,X,X,X
JOIZTLS,X,O,O,O,X,O,X
JOIZTSL,X,O,O,O,X,X,X
JOIZLTS,X,O,O,O,X,O,X
JOIZLST,O,O,O,O,X,X,X
JOIZSTL,X,O,O,O,X,X,X
JOIZSLT,O,O,O,O,X,X,X
JOLTISZ,X,O,O,X,X,O,O
JOLTIZS,X,O,O,X,X,O,X
JOLTSIZ,X,O,O,X,X,O,O
JOLTSZI,X,O,O,X,X,X,X
JOLTZIS,X,O,O,X,X,O,X
JOLTZSI,X,O,O,X,X,X,X
JOLITSZ,X,O,O,X,O,O,O
JOLITZS,X,O,O,X,O,O,X
JOLISTZ,X,O,O,X,O,O,O
JOLISZT,X,O,O,X,X,X,X
JOLIZTS,X,O,O,X,X,O,X
JOLIZST,X,O,O,X,X,X,X
JOLSTIZ,X,O,O,X,X,O,O
JOLSTZI,X,O,O,X,X,X,X
JOLSITZ,X,O,O,X,O,O,O
JOLSIZT,X,O,O,X,X,X,X
JOLSZTI,O,O,O,X,X,X,X
JOLSZIT,O,O,O,O,X,X,X
JOLZTIS,O,O,O,X,X,O,X
JOLZTSI,O,O,O,X,X,X,X
JOLZITS,X,O,O,O,X,O,X
JOLZIST,O,O,O,O,X,X,X
JOLZSTI,O,O,O,X,X,X,X
JOLZSIT,O,O,O,O,X,X,X
JOSTILZ,X,O,O,X,X,O,O
JOSTIZL,O,O,O,X,X,X,X
JOSTLIZ,X,O,O,X,X,O,O
JOSTLZI,X,O,O,X,X,X,X
JOSTZIL,O,O,O,X,X,X,X
JOSTZLI,O,O,O,X,X,X,X
JOSITLZ,X,O,O,X,O,O,O
JOSITZL,O,O,O,O,O,X,X
JOSILTZ,X,O,O,X,O,O,O
JOSILZT,X,O,O,O,X,X,X
JOSIZTL,X,O,O,O,X,X,X
JOSIZLT,O,O,O,O,X,X,X
JOSLTIZ,X,O,O,X,X,O,O
JOSLTZI,X,O,O,X,X,X,X
JOSLITZ,X,O,O,X,O,O,O
JOSLIZT,X,O,O,X,X,X,X
JOSLZTI,O,O,O,X,X,X,X
JOSLZIT,O,O,O,O,X,X,X
JOSZTIL,O,O,O,X,X,X,X
JOSZTLI,O,O,O,X,X,X,X
JOSZITL,X,O,O,O,X,X,X
JOSZILT,O,O,O,O,X,X,X
JOSZLTI,O,O,O,X,X,X,X
JOSZLIT,O,O,O,O,X,X,X
JOZTILS,O,O,O,X,X,O,X
JOZTISL,O,O,O,X,X,X,X
JOZTLIS,O,O,O,X,X,O,X
JOZTLSI,O,O,O,X,X,X,X
JOZTSIL,O,O,O,X,X,X,X
JOZTSLI,O,O,O,X,X,X,X
JOZITLS,X,O,O,O,X,O,X
JOZITSL,X,O,O,O,X,X,X
JOZILTS,X,O,O,O,X,O,X
JOZILST,O,O,O,O,X,X,X
JOZISTL,X,O,O,O,X,X,X
JOZISLT,O,O,O,O,X,X,X
JOZLTIS,O,O,O,X,X,O,X
JOZLTSI,O,O,O,X,X,X,X
JOZLITS,X,O,O,O,X,O,X
JOZLIST,O,O,O,O,X,X,X
JOZLSTI,O,O,O,X,X,X,X
JOZLSIT,O,O,O,O,X,X,X
JOZSTIL,O,O,O,X,X,X,X
JOZSTLI,O,O,O,X,X,X,X
JOZSITL,X,O,O,O,X,X,X
JOZSILT,O,O,O,O,X,X,X
JOZSLTI,O,O,O,X,X,X,X
JOZSLIT,O,O,O,O,X,X,X
STILJZO,X,X,X,X,O,X,O
STILJOZ,X,X,X,X,X,X,O
STILZJO,X,X,X,X,O,X,O
STILZOJ,X,X,X,X,O,X,X
STILOJZ,X,O,X,X,X,X,O
STILOZJ,X,O,X,X,O,X,X
STIJLZO,O,X,X,X,O,X,O
STIJLOZ,X,X,X,X,X,X,O
STIJZLO,O,X,X,O,O,X,O
STIJZOL,O,X,X,X,X,X,X
STIJOLZ,X,X,X,X,X,O,O
STIJOZL,O,X,X,X,X,X,X
STIZLJO,O,X,X,X,O,X,O
STIZLOJ,X,X,X,O,O,X,X
STIZJLO,X,X,X,X,O,X,X
STIZJOL,X,X,X,X,X,X,X
STIZOLJ,X,X,X,O,O,X,X
STIZOJL,X,X,X,O,X,X,X
STIOLJZ,X,O,X,X,X,O,O
STIOLZJ,X,O,X,X,O,X,X
STIOJLZ,X,O,X,X,X,X,X
STIOJZL,X,O,X,X,X,X,X
STIOZLJ,X,O,X,X,O,X,X
STIOZJL,X,X,X,X,X,X,X
STLIJZO,X,X,X,X,O,X,O
STLIJOZ,X,X,X,X,X,X,O
STLIZJO,X,X,X,X,O,X,O
STLIZOJ,X,X,X,X,O,X,X
STLIOJZ,X,O,X,X,X,X,O
STLIOZJ,X,O,X,X,O,X,X
STLJIZO,X,X,O,X,X,X,O
STLJIOZ,X,X,X,X,X,X,O
STLJZIO,O,X,O,X,X,X,O
STLJZOI,O,X,X,X,X,X,X
STLJOIZ,X,O,X,X,X,X,O
STLJOZI,X,O,X,X,X,X,X
STLZIJO,O,X,X,X,X,X,O
STLZIOJ,X,X,X,O,X,X,X
STLZJIO,O,X,O,X,X,X,O
STLZJOI,O,X,X,X,X,X,X
STLZOIJ,X,O,X,O,X,X,X
STLZOJI,X,O,O,X,X,X,X
STLOIJZ,X,O,X,X,O,O,O
STLOIZJ,X,O,X,X,O,X,X
STLOJIZ,X,O,O,X,X,O,O
STLOJZI,X,O,O,X,X,X,X
STLOZIJ,X,O,X,O,X,X,X
STLOZJI,X,O,O,X,X,X,X
STJILZO,O,X,O,X,X,X,O
STJILOZ,X,X,X,X,X,X,O
STJIZLO,O,X,O,X,X,X,O
STJIZOL,O,X,X,X,X,X,X
STJIOLZ,X,X,X,X,X,O,O
STJIOZL,O,X,X,X,X,X,X
STJLIZO,O,X,O,X,X,X,O
STJLIOZ,X,X,X,X,X,X,O
STJLZIO,O,X,O,X,X,X,O
STJLZOI,O,X,X,X,X,X,X
STJLOIZ,X,O,X,X,X,X,O
STJLOZI,X,O,X,X,X,X,X
STJZILO,O,X,O,X,X,X,O
STJZIOL,O,X,X,X,X,X,X
STJZLIO,O,X,O,X,X,X,O
STJZLOI,O,X,X,X,X,X,X
STJZOIL,O,X,X,X,X,X,X
STJZOLI,O,X,X,X,X,X,X
STJOILZ,X,O,X,X,X,O,O
STJOIZL,O,O,X,X,X,X,X
STJOLIZ,X,O,X,X,X,O,O
STJOLZI,X,O,X,X,X,X,X
STJOZIL,O,O,X,X,X,X,X
STJOZLI,O,O,X,X,X,X,X
STZILJO,O,X,X,X,X,X,O
STZILOJ,X,X,X,O,X,X,X
STZIJLO,X,X,X,X,X,X,X
STZIJOL,X,X,X,X,X,X,X
STZIOLJ,X,X,X,O,X,X,X
STZIOJL,X,X,X,O,X,X,X
STZLIJO,O,X,X,X,X,X,O
STZLIOJ,X,X,X,O,X,X,X
STZLJIO,O,X,O,X,X,X,O
STZLJOI,O,X,X,X,X,X,X
STZLOIJ,X,O,X,O,X,X,X
STZLOJI,X,O,O,X,X,X,X
STZJILO,O,X,O,X,X,X,O
STZJIOL,O,X,X,X,X,X,X
STZJLIO,O,X,O,X,X,X,O
STZJLOI,O,X,X,X,X,X,X
STZJOIL,O,X,X,X,X,X,X
STZJOLI,O,X,X,X,X,X,X
STZOILJ,X,O,X,O,X,X,X
STZOIJL,X,X,X,O,X,X,X
STZOLIJ,X,O,X,O,X,X,X
STZOLJI,X,O,O,X,X,X,X
STZOJIL,X,O,O,X,X,X,X
STZOJLI,X,O,O,X,X,X,X
STOILJZ,X,O,X,X,O,O,O
STOILZJ,X,O,X,X,O,X,X
STOIJLZ,X,O,X,X,O,X,X
STOIJZL,X,O,X,O,O,X,X
STOIZLJ,X,O,X,O,O,X,X
STOIZJL,X,X,X,O,O,X,X
STOLIJZ,X,O,X,X,O,O,O
STOLIZJ,X,O,X,X,O,X,X
STOLJIZ,X,O,O,X,X,O,O
STOLJZI,X,O,O,X,X,X,X
STOLZIJ,X,O,X,O,X,X,X
STOLZJI,X,O,O,X,X,X,X
STOJILZ,X,O,O,X,X,O,O
STOJIZL,X,O,O,X,X,X,X
STOJLIZ,X,O,O,X,X,O,O
STOJLZI,X,O,O,X,X,X,X
STOJZIL,X,O,O,X,X,X,X
STOJZLI,X,O,O,X,X,X,X
STOZILJ,X,O,X,O,X,X,X
STOZIJL,X,X,X,O,X,X,X
STOZLIJ,X,O,X,O,X,X,X
STOZLJI,X,O,O,X,X,X,X
STOZJIL,X,O,O,X,X,X,X
STOZJLI,X,O,O,X,X,X,X
SITLJZO,X,X,X,X,O,X,O
SITLJOZ,X,X,X,X,X,X,O
SITLZJO,X,X,X,X,O,X,O
SITLZOJ,X,X,X,X,O,X,X
SITLOJZ,X,O,X,X,X,X,O
SITLOZJ,X,O,X,X,O,X,X
SITJLZO,O,X,X,X,O,X,O
SITJLOZ,X,X,X,X,X,X,O
SITJZLO,O,X,X,O,O,X,O
SITJZOL,O,X,X,X,X,X,X
SITJOLZ,X,X,X,X,X,O,O
SITJOZL,O,X,X,X,X,X,X
SITZLJO,O,X,X,X,O,X,O
SITZLOJ,X,X,X,O,O,X,X
SITZJLO,X,X,X,X,O,X,X
SITZJOL,X,X,X,X,X,X,X
SITZOLJ,X,X,X,O,O,X,X
SITZOJL,X,X,X,O,X,X,X
SITOLJZ,X,O,X,X,X,O,O
SITOLZJ,X,O,X,X,O,X,X
SITOJLZ,X,O,X,X,X,X,X
SITOJZL,X,O,X,X,X,X,X
SITOZLJ,X,O,X,X,O,X,X
SITOZJL,X,X,X,X,X,X,X
SILTJZO,X,X,X,X,O,X,O
SILTJOZ,X,X,X,X,X,X,O
SILTZJO,X,X,X,X,O,X,O
SILTZOJ,X,X,X,X,O,X,X
SILTOJZ,X,O,X,X,X,X,O
SILTOZJ,X,O,X,X,O,X,X
SILJTZO,O,X,X,X,O,X,O
SILJTOZ,X,X,X,X,X,X,O
SILJZTO,O,X,X,O,X,X,O
SILJZOT,O,X,X,O,X,X,X
SILJOTZ,X,O,X,X,X,X,O
SILJOZT,X,O,X,X,X,X,X
SILZTJO,O,X,X,X,O,X,O
SILZTOJ,X,X,X,O,O,X,X
SILZJTO,O,X,X,X,X,X,X
SILZJOT,O,X,X,O,X,X,X
SILZOTJ,X,X,X,O,X,X,X
SILZOJT,O,X,X,O,X,X,X
SILOTJZ,X,O,X,X,O,X,O
SILOTZJ,X,O,X,X,O,X,X
SILOJTZ,X,O,X,X,O,X,X
SILOJZT,X,O,X,X,X,X,X
SILOZTJ,X,O,X,O,O,X,X
SILOZJT,X,X,X,O,X,X,X
SIJTLZO,O,X,X,X,O,X,O
SIJTLOZ,X,X,X,X,X,X,O
SIJTZLO,O,X,X,O,O,X,O
SIJTZOL,O,X,X,X,X,X,X
SIJTOLZ,X,X,X,X,X,O,O
SIJTOZL,O,X,X,X,X,X,X
SIJLTZO,O,X,X,X,O,X,O
SIJLTOZ,X,X,X,X,X,X,O
SIJLZTO,O,X,X,O,X,X,O
SIJLZOT,O,X,X,O,X,X,X
SIJLOTZ,X,O,X,X,X,X,O
SIJLOZT,X,O,X,X,X,X,X
SIJZTLO,O,X,X,O,X,X,O
SIJZTOL,O,X,X,X,X,X,X
SIJZLTO,O,X,X,O,X,X,O
SIJZLOT,O,X,X,O,X,X,X
SIJZOTL,X,X,X,O,X,X,X
SIJZOLT,O,X,X,O,X,X,X
SIJOTLZ,X,O,X,X,X,O,O
SIJOTZL,O,O,X,X,X,X,X
SIJOLTZ,X,O,X,X,X,O,O
SIJOLZT,X,O,X,X,X,X,X
SIJOZTL,X,O,X,X,X,X,X
SIJOZLT,O,O,X,O,X,X,X
SIZTLJO,O,X,X,X,O,X,O
SIZTLOJ,X,X,X,O,O,X,X
SIZTJLO,X,X,X,X,O,X,X
SIZTJOL,X,X,X,X,X,X,X
SIZTOLJ,X,X,X,O,O,X,X
SIZTOJL,X,X,X,O,X,X,X
SIZLTJO,O,X,X,X,O,X,O
SIZLTOJ,X,X,X,O,O,X,X
SIZLJTO,O,X,X,X,X,X,X
SIZLJOT,O,X,X,O,X,X,X
