sequence,v115@5gC8GeC8FeD8EeE8DeG8JeT6IvhFNgBGcB5jB8lBKp?BfqB,v115@5gC8GeC8FeD8EeE8DeG8JeO/IvhFdgBqgBTcB5jBcp?BXqB,v115@5gC8GeC8FeD8EeE8DeG8Jei6IvhFugBchB5jB3fBNq?BTpB,v115@5gC8GeC8FeD8EeE8DeG8JeX7IvhFTcB5jB2kBtlBip?B0pB,v115@5gC8GeC8FeD8EeE8DeG8JeT6IvhFGcB5jB8lBikB3p?BNqB,v115@5gC8GeC8FeD8EeE8DeG8Jei6IvhFcgBTcB5jB9kB3l?B2uB,v115@5gC8GeC8FeD8EeE8DeG8JeO/IvhFCcB5jBXhBUlBTp?BdqB,v115@5gC8GeC8FeD8EeE8DeG8JeX7IvhFTcB5jBtlBmpBKp?B0pB,v115@5gC8GeC8FeD8EeE8DeG8Je//IvhFTcB5jB0gBKpBdq?BGqB
LOTSIJZ,O,X,O,O,X,X,X,X,X
LOTSIZJ,O,O,O,O,X,X,X,X,O
LOTSJIZ,O,X,O,O,X,X,X,X,X
LOTSJZI,O,X,O,O,X,X,X,X,X
LOTSZIJ,O,O,O,O,X,X,X,X,O
LOTSZJI,O,O,O,O,X,X,X,X,O
LOTZIJS,X,O,O,O,X,X,X,X,O
LOTZISJ,X,O,O,O,X,X,X,X,O
LOTZJIS,X,O,O,O,X,X,X,X,O
LOTZJSI,X,O,O,O,X,X,X,X,O
LOTZSIJ,X,O,O,O,X,X,X,X,O
LOTZSJI,X,O,O,O,X,X,X,X,O
LOITJSZ,X,X,X,O,X,X,X,O,X
LOITJZS,X,X,X,O,X,X,X,O,X
LOITSJZ,O,X,O,O,X,X,X,X,X
LOITSZJ,O,O,O,O,X,X,X,X,O
LOITZJS,X,O,O,O,X,X,X,X,O
LOITZSJ,X,O,O,O,X,X,X,X,O
LOIJTSZ,X,X,X,O,X,O,X,O,X
LOIJTZS,X,X,X,O,X,X,X,O,X
LOIJSTZ,O,X,X,X,X,O,X,X,X
LOIJSZT,O,O,X,X,X,O,O,X,X
LOIJZTS,X,O,X,X,X,X,X,X,X
LOIJZST,O,X,X,X,X,X,O,X,X
LOISTJZ,O,X,X,O,X,X,X,X,X
LOISTZJ,O,O,X,O,X,X,X,X,O
LOISJTZ,O,X,X,X,X,O,X,X,X
LOISJZT,O,O,X,X,X,O,O,X,X
LOISZTJ,O,O,X,X,X,X,X,X,X
LOISZJT,O,O,X,X,X,O,O,X,X
LOIZTJS,X,O,O,O,X,X,X,X,X
LOIZTSJ,X,O,O,O,X,X,X,X,X
LOIZJTS,X,O,X,X,X,X,X,X,X
LOIZJST,O,X,X,X,X,X,O,X,X
LOIZSTJ,O,O,X,X,X,X,X,X,X
LOIZSJT,O,O,X,X,X,X,O,X,X
LOJTISZ,X,X,X,O,X,O,X,O,X
LOJTIZS,X,X,X,O,X,X,X,O,X
LOJTSIZ,X,X,X,O,X,O,X,X,X
LOJTSZI,X,X,X,O,X,O,X,X,X
LOJTZIS,X,X,X,O,X,X,X,X,X
LOJTZSI,X,X,X,O,X,X,X,X,X
LOJITSZ,X,X,X,O,X,O,X,O,X
LOJITZS,X,X,X,O,X,X,X,O,X
LOJISTZ,O,X,X,X,X,O,X,X,X
LOJISZT,O,O,X,X,X,O,O,X,X
LOJIZTS,X,O,X,X,X,X,X,X,X
LOJIZST,O,X,X,X,X,X,O,X,X
LOJSTIZ,O,X,X,X,X,O,X,X,X
LOJSTZI,O,X,X,X,X,O,X,X,X
LOJSITZ,O,X,X,X,X,O,X,X,X
LOJSIZT,O,O,X,X,X,O,O,X,X
LOJSZTI,O,O,X,X,X,O,X,X,X
LOJSZIT,O,O,X,X,X,O,O,X,X
LOJZTIS,X,O,X,X,X,X,X,X,X
LOJZTSI,X,O,X,X,X,X,X,X,X
LOJZITS,X,O,X,X,X,X,X,X,X
LOJZIST,O,X,X,X,X,X,O,X,X
LOJZSTI,O,X,X,X,X,X,X,X,X
LOJZSIT,O,X,X,X,X,X,O,X,X
LOSTIJZ,O,X,X,O,X,X,X,X,X
LOSTIZJ,O,O,X,O,X,X,X,X,O
LOSTJIZ,O,X,X,O,X,X,X,X,X
LOSTJZI,O,X,X,O,X,X,X,X,X
LOSTZIJ,O,O,X,O,X,X,X,X,O
LOSTZJI,O,O,X,O,X,X,X,X,O
LOSITJZ,O,X,X,O,X,X,X,X,X
LOSITZJ,O,O,X,O,X,X,X,X,O
LOSIJTZ,O,X,X,X,X,O,X,X,X
LOSIJZT,O,O,X,X,X,O,O,X,X
LOSIZTJ,O,O,X,X,X,X,X,X,X
LOSIZJT,O,O,X,X,X,O,O,X,X
LOSJTIZ,O,X,X,X,X,O,X,X,X
LOSJTZI,O,X,X,X,X,O,X,X,X
LOSJITZ,O,X,X,X,X,O,X,X,X
LOSJIZT,O,O,X,X,X,O,O,X,X
LOSJZTI,O,O,X,X,X,O,X,X,X
LOSJZIT,O,O,X,X,X,O,O,X,X
LOSZTIJ,O,O,X,X,X,X,X,X,X
LOSZTJI,O,O,X,X,X,X,X,X,X
LOSZITJ,O,O,X,X,X,X,X,X,X
LOSZIJT,O,O,X,X,X,O,O,X,X
LOSZJTI,O,O,X,X,X,O,X,X,X
LOSZJIT,O,O,X,X,X,O,O,X,X
LOZTIJS,X,O,O,O,X,X,X,X,X
LOZTISJ,X,O,O,O,X,X,X,X,X
LOZTJIS,X,O,O,O,X,X,X,X,X
LOZTJSI,X,O,O,O,X,X,X,X,X
LOZTSIJ,X,O,O,O,X,X,X,X,X
LOZTSJI,X,O,O,O,X,X,X,X,X
LOZITJS,X,O,O,O,X,X,X,X,X
LOZITSJ,X,O,O,O,X,X,X,X,X
LOZIJTS,X,O,X,X,X,X,X,X,X
LOZIJST,O,X,X,X,X,X,O,X,X
LOZISTJ,O,O,X,X,X,X,X,X,X
LOZISJT,O,O,X,X,X,X,O,X,X
LOZJTIS,X,O,X,X,X,X,X,X,X
LOZJTSI,X,O,X,X,X,X,X,X,X
LOZJITS,X,O,X,X,X,X,X,X,X
LOZJIST,O,X,X,X,X,X,O,X,X
LOZJSTI,O,X,X,X,X,X,X,X,X
LOZJSIT,O,X,X,X,X,X,O,X,X
LOZSTIJ,O,O,X,X,X,X,X,X,X
LOZSTJI,O,O,X,X,X,X,X,X,X
LOZSITJ,O,O,X,X,X,X,X,X,X
LOZSIJT,O,O,X,X,X,X,O,X,X
LOZSJTI,O,O,X,X,X,X,X,X,X
LOZSJIT,O,O,X,X,X,X,O,X,X
JTILSZO,O,X,X,O,X,O,X,O,X
JTILSOZ,X,X,X,O,X,O,X,O,X
JTILZSO,O,X,X,O,X,X,X,O,X
JTILZOS,X,X,X,O,X,X,X,O,X
JTILOSZ,X,X,X,O,X,O,X,O,X
JTILOZS,X,X,X,O,X,X,X,O,X
JTISLZO,X,X,O,X,X,O,X,O,X
JTISLOZ,X,X,X,X,X,O,X,O,X
JTISZLO,X,X,O,X,O,O,X,X,X
JTISZOL,X,X,O,X,X,O,X,X,X
JTISOLZ,X,X,X,X,X,O,X,O,X
JTISOZL,X,X,X,X,X,O,X,X,X
JTIZLSO,O,X,O,X,X,X,X,O,X
JTIZLOS,X,X,O,X,X,X,X,O,X
JTIZSLO,X,X,O,X,O,O,X,X,X
JTIZSOL,X,X,O,X,X,O,X,X,X
JTIZOLS,X,X,O,X,X,X,X,O,X
JTIZOSL,X,X,O,X,X,O,X,X,X
JTIOLSZ,X,X,X,O,X,O,X,O,X
JTIOLZS,X,X,X,O,X,X,X,O,X
JTIOSLZ,X,X,O,X,X,O,X,O,X
JTIOSZL,X,X,O,X,X,O,X,X,X
JTIOZLS,X,X,O,X,X,X,X,O,X
JTIOZSL,X,X,O,X,X,O,X,X,X
JTLISZO,O,X,X,O,X,O,X,O,X
JTLISOZ,X,X,X,O,X,O,X,O,X
JTLIZSO,O,X,X,O,X,X,X,O,X
JTLIZOS,X,X,X,O,X,X,X,O,X
JTLIOSZ,X,X,X,O,X,O,X,O,X
JTLIOZS,X,X,X,O,X,X,X,O,X
JTLSIZO,O,X,X,O,X,O,X,X,X
JTLSIOZ,X,X,X,O,X,O,X,X,X
JTLSZIO,O,X,X,O,X,O,X,X,X
JTLSZOI,O,X,X,O,X,O,X,X,X
JTLSOIZ,X,X,X,O,X,O,X,X,X
JTLSOZI,X,X,X,O,X,O,X,X,X
JTLZISO,O,X,X,O,X,X,X,X,X
JTLZIOS,X,X,X,O,X,X,X,X,X
JTLZSIO,O,X,X,O,X,X,X,X,X
JTLZSOI,O,X,X,O,X,X,X,X,X
JTLZOIS,X,X,X,O,X,X,X,X,X
JTLZOSI,X,X,X,O,X,X,X,X,X
JTLOISZ,X,X,X,O,X,O,X,O,X
JTLOIZS,X,X,X,O,X,X,X,O,X
JTLOSIZ,X,X,X,O,X,O,X,X,X
JTLOSZI,X,X,X,O,X,O,X,X,X
JTLOZIS,X,X,X,O,X,X,X,X,X
JTLOZSI,X,X,X,O,X,X,X,X,X
JTSILZO,X,X,O,X,X,O,X,O,X
JTSILOZ,X,X,X,X,X,O,X,O,X
JTSIZLO,X,X,O,X,O,O,X,X,X
JTSIZOL,X,X,O,X,X,O,X,X,X
JTSIOLZ,X,X,X,X,X,O,X,O,X
JTSIOZL,X,X,X,X,X,O,X,X,X
JTSLIZO,X,X,O,X,X,O,X,X,X
JTSLIOZ,X,X,X,X,X,O,X,X,X
JTSLZIO,X,X,O,X,X,O,X,X,X
JTSLZOI,X,X,O,X,X,O,X,X,X
JTSLOIZ,X,X,X,X,X,O,X,X,X
JTSLOZI,X,X,X,X,X,O,X,X,X
JTSZILO,X,X,O,X,O,O,X,X,X
JTSZIOL,X,X,O,X,X,O,X,X,X
JTSZLIO,X,X,O,X,O,O,X,X,X
JTSZLOI,X,X,O,X,X,O,X,X,X
JTSZOIL,X,X,O,X,X,O,X,X,X
JTSZOLI,X,X,O,X,X,O,X,X,X
JTSOILZ,X,X,X,X,X,O,X,O,X
JTSOIZL,X,X,X,X,X,O,X,X,X
JTSOLIZ,X,X,X,X,X,O,X,X,X
JTSOLZI,X,X,X,X,X,O,X,X,X
JTSOZIL,X,X,X,X,X,O,X,X,X
JTSOZLI,X,X,X,X,X,O,X,X,X
JTZILSO,O,X,O,X,X,X,X,O,X
JTZILOS,X,X,O,X,X,X,X,O,X
JTZISLO,X,X,O,X,O,O,X,X,X
JTZISOL,X,X,O,X,X,O,X,X,X
JTZIOLS,X,X,O,X,X,X,X,O,X
JTZIOSL,X,X,O,X,X,O,X,X,X
JTZLISO,O,X,O,X,X,X,X,X,X
JTZLIOS,X,X,O,X,X,X,X,X,X
JTZLSIO,O,X,O,X,X,X,X,X,X
JTZLSOI,O,X,O,X,X,X,X,X,X
JTZLOIS,X,X,O,X,X,X,X,X,X
JTZLOSI,X,X,O,X,X,X,X,X,X
JTZSILO,X,X,O,X,O,O,X,X,X
JTZSIOL,X,X,O,X,X,O,X,X,X
JTZSLIO,X,X,O,X,O,O,X,X,X
JTZSLOI,X,X,O,X,X,O,X,X,X
JTZSOIL,X,X,O,X,X,O,X,X,X
JTZSOLI,X,X,O,X,X,O,X,X,X
JTZOILS,X,X,O,X,X,X,X,O,X
JTZOISL,X,X,O,X,X,O,X,X,X
JTZOLIS,X,X,O,X,X,X,X,X,X
JTZOLSI,X,X,O,X,X,X,X,X,X
JTZOSIL,X,X,O,X,X,O,X,X,X
JTZOSLI,X,X,O,X,X,O,X,X,X
JTOILSZ,X,X,X,O,X,O,X,O,X
JTOILZS,X,X,X,O,X,X,X,O,X
JTOISLZ,X,X,O,X,X,O,X,O,X
JTOISZL,X,X,O,X,X,O,X,X,X
JTOIZLS,X,X,O,X,X,X,X,O,X
JTOIZSL,X,X,O,X,X,O,X,X,X
JTOLISZ,X,X,X,O,X,O,X,O,X
JTOLIZS,X,X,X,O,X,X,X,O,X
JTOLSIZ,X,X,X,O,X,O,X,X,X
JTOLSZI,X,X,X,O,X,O,X,X,X
JTOLZIS,X,X,X,O,X,X,X,X,X
JTOLZSI,X,X,X,O,X,X,X,X,X
JTOSILZ,X,X,O,X,X,O,X,O,X
JTOSIZL,X,X,O,X,X,O,X,X,X
JTOSLIZ,X,X,O,X,X,O,X,X,X
JTOSLZI,X,X,O,X,X,O,X,X,X
JTOSZIL,X,X,O,X,X,O,X,X,X
JTOSZLI,X,X,O,X,X,O,X,X,X
JTOZILS,X,X,O,X,X,X,X,O,X
JTOZISL,X,X,O,X,X,O,X,X,X
JTOZLIS,X,X,O,X,X,X,X,X,X
JTOZLSI,X,X,O,X,X,X,X,X,X
JTOZSIL,X,X,O,X,X,O,X,X,X
JTOZSLI,X,X,O,X,X,O,X,X,X
JITLSZO,O,X,X,O,X,O,X,O,X
JITLSOZ,X,X,X,O,X,O,X,O,X
JITLZSO,O,X,X,O,X,X,X,O,X
JITLZOS,X,X,X,O,X,X,X,O,X
JITLOSZ,X,X,X,O,X,O,X,O,X
JITLOZS,X,X,X,O,X,X,X,O,X
JITSLZO,X,X,O,X,X,O,X,O,X
JITSLOZ,X,X,X,X,X,O,X,O,X
JITSZLO,X,X,O,X,O,O,X,X,X
JITSZOL,X,X,O,X,X,O,X,X,X
JITSOLZ,X,X,X,X,X,O,X,O,X
JITSOZL,X,X,X,X,X,O,X,X,X
JITZLSO,O,X,O,X,X,X,X,O,X
JITZLOS,X,X,O,X,X,X,X,O,X
JITZSLO,X,X,O,X,O,O,X,X,X
JITZSOL,X,X,O,X,X,O,X,X,X
JITZOLS,X,X,O,X,X,X,X,O,X
JITZOSL,X,X,O,X,X,O,X,X,X
JITOLSZ,X,X,X,O,X,O,X,O,X
JITOLZS,X,X,X,O,X,X,X,O,X
JITOSLZ,X,X,O,X,X,O,X,O,X
JITOSZL,X,X,O,X,X,O,X,X,X
JITOZLS,X,X,O,X,X,X,X,O,X
JITOZSL,X,X,O,X,X,O,X,X,X
JILTSZO,O,X,X,O,X,O,X,O,O
JILTSOZ,X,X,X,O,X,O,X,O,X
JILTZSO,O,X,X,O,X,X,X,O,O
JILTZOS,X,X,X,O,X,X,X,O,O
JILTOSZ,X,X,X,O,X,O,X,O,X
JILTOZS,X,X,X,O,X,X,X,O,X
JILSTZO,O,X,X,O,X,O,X,X,O
JILSTOZ,O,X,X,O,X,O,X,X,X
JILSZTO,O,O,X,X,O,O,X,X,X
JILSZOT,O,O,X,X,O,O,X,X,X
JILSOTZ,O,X,X,X,X,O,X,X,X
JILSOZT,O,O,X,X,X,O,X,X,X
JILZTSO,O,O,X,O,X,X,X,X,X
JILZTOS,X,O,X,O,X,X,X,X,X
JILZSTO,O,X,X,X,O,X,X,X,X
JILZSOT,O,X,X,X,O,X,X,X,X
JILZOTS,X,O,X,X,X,X,X,X,X
JILZOST,O,X,X,X,X,X,X,X,X
JILOTSZ,X,X,X,O,X,O,X,O,X
JILOTZS,X,X,X,O,X,X,X,O,X
JILOSTZ,O,X,X,X,X,O,X,X,X
JILOSZT,O,O,X,X,X,O,X,X,X
JILOZTS,X,O,X,X,X,X,X,X,X
JILOZST,O,X,X,X,X,X,X,X,X
JISTLZO,X,X,X,X,X,O,X,O,X
JISTLOZ,X,X,X,X,X,O,X,O,X
JISTZLO,X,X,X,X,O,O,X,X,X
JISTZOL,X,X,X,X,X,O,X,X,X
JISTOLZ,X,X,X,X,X,O,X,O,X
JISTOZL,X,X,X,X,X,O,X,X,X
JISLTZO,O,X,X,X,X,O,X,X,X
JISLTOZ,X,X,X,X,X,O,X,X,X
JISLZTO,O,O,X,X,O,O,X,X,X
JISLZOT,O,O,X,X,O,O,X,X,X
JISLOTZ,X,X,X,X,X,O,X,X,X
JISLOZT,O,O,X,X,O,O,X,X,X
JISZTLO,X,O,X,X,O,O,X,X,X
JISZTOL,X,O,X,X,X,O,X,X,X
JISZLTO,O,O,X,X,O,O,X,X,X
JISZLOT,O,O,X,X,O,O,X,X,X
JISZOTL,X,O,X,X,X,O,X,X,X
JISZOLT,X,O,X,X,O,O,X,X,X
JISOTLZ,X,X,X,X,X,O,X,O,X
JISOTZL,X,X,X,X,X,O,O,X,X
JISOLTZ,X,X,X,X,X,O,X,X,X
JISOLZT,X,O,X,X,X,O,O,X,X
JISOZTL,X,X,X,X,X,O,O,X,X
JISOZLT,X,O,X,X,O,O,O,X,X
JIZTLSO,O,O,O,X,X,X,X,O,X
JIZTLOS,X,O,O,X,X,X,X,O,X
JIZTSLO,X,O,O,X,O,O,X,X,X
JIZTSOL,X,X,O,X,X,O,X,X,X
JIZTOLS,X,O,O,X,X,X,X,O,X
JIZTOSL,X,X,O,X,X,O,X,X,X
JIZLTSO,O,O,O,X,X,X,X,X,X
JIZLTOS,X,O,O,X,X,X,X,X,X
JIZLSTO,O,X,X,X,O,X,X,X,X
JIZLSOT,O,X,X,X,O,X,X,X,X
JIZLOTS,X,O,X,X,X,X,X,X,X
JIZLOST,O,X,X,X,X,X,X,X,X
JIZSTLO,X,O,O,X,O,O,X,X,X
JIZSTOL,X,X,O,X,X,O,X,X,X
JIZSLTO,O,X,X,X,O,O,X,X,X
JIZSLOT,O,X,X,X,O,O,X,X,X
JIZSOTL,X,X,X,X,X,O,X,X,X
JIZSOLT,X,X,X,X,O,O,X,X,X
JIZOTLS,X,O,O,X,X,X,X,O,X
JIZOTSL,X,X,O,X,X,O,X,X,X
JIZOLTS,X,O,X,X,X,X,X,X,X
JIZOLST,O,X,X,X,X,X,X,X,X
JIZOSTL,X,X,X,X,X,O,X,X,X
JIZOSLT,X,X,X,X,O,O,X,X,X
JIOTLSZ,X,X,X,O,X,O,X,O,X
JIOTLZS,X,X,X,O,X,X,X,O,X
JIOTSLZ,X,X,O,X,X,O,X,O,X
JIOTSZL,X,X,O,X,X,O,O,X,X
JIOTZLS,X,X,O,X,X,X,X,O,X
JIOTZSL,X,X,O,X,X,O,O,X,X
JIOLTSZ,X,X,X,O,X,O,X,O,X
JIOLTZS,X,X,X,O,X,X,X,O,X
JIOLSTZ,X,X,X,X,X,O,X,X,X
JIOLSZT,O,O,X,X,X,O,O,X,X
JIOLZTS,X,O,X,X,X,X,X,X,X
JIOLZST,O,X,X,X,X,X,O,X,X
JIOSTLZ,X,X,X,X,X,O,X,O,X
JIOSTZL,X,X,X,X,X,O,O,X,X
JIOSLTZ,X,X,X,X,X,O,X,X,X
JIOSLZT,X,O,X,X,X,O,O,X,X
JIOSZTL,X,X,X,X,X,O,O,X,X
JIOSZLT,X,O,X,X,O,O,O,X,X
JIOZTLS,X,X,O,X,X,X,X,O,X
JIOZTSL,X,X,O,X,X,O,O,X,X
JIOZLTS,X,O,X,X,X,X,X,X,X
JIOZLST,O,X,X,X,X,X,O,X,X
JIOZSTL,X,X,X,X,X,O,O,X,X
JIOZSLT,X,X,X,X,O,O,O,X,X
JLTISZO,O,X,X,O,X,O,X,O,O
JLTISOZ,X,X,X,O,X,O,X,O,X
JLTIZSO,O,X,X,O,X,X,X,O,O
JLTIZOS,X,X,X,O,X,X,X,O,O
JLTIOSZ,X,X,X,O,X,O,X,O,X
JLTIOZS,X,X,X,O,X,X,X,O,X
JLTSIZO,O,X,X,O,X,O,X,X,O
JLTSIOZ,X,X,X,O,X,O,X,X,X
JLTSZIO,O,X,X,O,X,O,X,X,O
JLTSZOI,O,X,X,O,X,O,X,X,O
JLTSOIZ,X,X,X,O,X,O,X,X,X
JLTSOZI,X,X,X,O,X,O,X,X,X
JLTZISO,O,X,X,O,X,X,X,X,O
JLTZIOS,X,X,X,O,X,X,X,X,O
JLTZSIO,O,X,X,O,X,X,X,X,O
JLTZSOI,O,X,X,O,X,X,X,X,O
JLTZOIS,X,X,X,O,X,X,X,X,O
JLTZOSI,X,X,X,O,X,X,X,X,O
JLTOISZ,X,X,X,O,X,O,X,O,X
JLTOIZS,X,X,X,O,X,X,X,O,X
JLTOSIZ,X,X,X,O,X,O,X,X,X
JLTOSZI,X,X,X,O,X,O,X,X,X
JLTOZIS,X,X,X,O,X,X,X,X,X
JLTOZSI,X,X,X,O,X,X,X,X,X
JLITSZO,O,X,X,O,X,O,X,O,O
JLITSOZ,X,X,X,O,X,O,X,O,X
JLITZSO,O,X,X,O,X,X,X,O,O
JLITZOS,X,X,X,O,X,X,X,O,O
JLITOSZ,X,X,X,O,X,O,X,O,X
JLITOZS,X,X,X,O,X,X,X,O,X
JLISTZO,O,X,X,O,X,O,X,X,O
JLISTOZ,O,X,X,O,X,O,X,X,X
JLISZTO,O,O,X,X,O,O,X,X,X
JLISZOT,O,O,X,X,O,O,X,X,X
JLISOTZ,O,X,X,X,X,O,X,X,X
JLISOZT,O,O,X,X,X,O,X,X,X
JLIZTSO,O,O,X,O,X,X,X,X,X
JLIZTOS,X,O,X,O,X,X,X,X,X
JLIZSTO,O,X,X,X,O,X,X,X,X
JLIZSOT,O,X,X,X,O,X,X,X,X
JLIZOTS,X,O,X,X,X,X,X,X,X
JLIZOST,O,X,X,X,X,X,X,X,X
JLIOTSZ,X,X,X,O,X,O,X,O,X
JLIOTZS,X,X,X,O,X,X,X,O,X
JLIOSTZ,O,X,X,X,X,O,X,X,X
JLIOSZT,O,O,X,X,X,O,X,X,X
JLIOZTS,X,O,X,X,X,X,X,X,X
JLIOZST,O,X,X,X,X,X,X,X,X
JLSTIZO,O,X,X,O,X,O,X,X,O
JLSTIOZ,O,X,X,O,X,O,X,X,X
JLSTZIO,O,X,X,O,X,O,X,X,O
JLSTZOI,O,X,X,O,X,O,X,X,O
JLSTOIZ,O,X,X,O,X,O,X,X,X
JLSTOZI,O,X,X,O,X,O,X,X,X
JLSITZO,O,X,X,O,X,O,X,X,O
JLSITOZ,O,X,X,O,X,O,X,X,X
JLSIZTO,O,O,X,X,O,O,X,X,X
JLSIZOT,O,O,X,X,O,O,X,X,X
JLSIOTZ,O,X,X,X,X,O,X,X,X
JLSIOZT,O,O,X,X,X,O,X,X,X
JLSZTIO,O,O,X,X,O,O,X,X,X
JLSZTOI,O,O,X,X,X,O,X,X,X
JLSZITO,O,O,X,X,O,O,X,X,X
JLSZIOT,O,O,X,X,O,O,X,X,X
JLSZOTI,O,O,X,X,X,O,X,X,X
JLSZOIT,O,O,X,X,O,O,X,X,X
JLSOTIZ,O,X,X,X,X,O,X,X,X
JLSOTZI,O,X,X,X,X,O,X,X,X
JLSOITZ,O,X,X,X,X,O,X,X,X
JLSOIZT,O,O,X,X,X,O,X,X,X
JLSOZTI,O,O,X,X,X,O,X,X,X
JLSOZIT,O,O,X,X,X,O,X,X,X
JLZTISO,O,O,X,O,X,X,X,X,X
JLZTIOS,X,O,X,O,X,X,X,X,X
JLZTSIO,O,O,X,O,X,X,X,X,X
JLZTSOI,O,O,X,O,X,X,X,X,X
JLZTOIS,X,O,X,O,X,X,X,X,X
JLZTOSI,X,O,X,O,X,X,X,X,X
JLZITSO,O,O,X,O,X,X,X,X,X
JLZITOS,X,O,X,O,X,X,X,X,X
JLZISTO,O,X,X,X,O,X,X,X,X
JLZISOT,O,X,X,X,O,X,X,X,X
JLZIOTS,X,O,X,X,X,X,X,X,X
JLZIOST,O,X,X,X,X,X,X,X,X
JLZSTIO,O,X,X,X,O,X,X,X,X
JLZSTOI,O,X,X,X,X,X,X,X,X
JLZSITO,O,X,X,X,O,X,X,X,X
JLZSIOT,O,X,X,X,O,X,X,X,X
JLZSOTI,O,X,X,X,X,X,X,X,X
JLZSOIT,O,X,X,X,O,X,X,X,X
JLZOTIS,X,O,X,X,X,X,X,X,X
JLZOTSI,X,O,X,X,X,X,X,X,X
JLZOITS,X,O,X,X,X,X,X,X,X
JLZOIST,O,X,X,X,X,X,X,X,X
JLZOSTI,O,X,X,X,X,X,X,X,X
JLZOSIT,O,X,X,X,X,X,X,X,X
JLOTISZ,X,X,X,O,X,O,X,O,X
JLOTIZS,X,X,X,O,X,X,X,O,X
JLOTSIZ,X,X,X,O,X,O,X,X,X
JLOTSZI,X,X,X,O,X,O,X,X,X
JLOTZIS,X,X,X,O,X,X,X,X,X
JLOTZSI,X,X,X,O,X,X,X,X,X
JLOITSZ,X,X,X,O,X,O,X,O,X
JLOITZS,X,X,X,O,X,X,X,O,X
JLOISTZ,O,X,X,X,X,O,X,X,X
JLOISZT,O,O,X,X,X,O,X,X,X
JLOIZTS,X,O,X,X,X,X,X,X,X
JLOIZST,O,X,X,X,X,X,X,X,X
JLOSTIZ,O,X,X,X,X,O,X,X,X
JLOSTZI,O,X,X,X,X,O,X,X,X
JLOSITZ,O,X,X,X,X,O,X,X,X
JLOSIZT,O,O,X,X,X,O,X,X,X
JLOSZTI,O,O,X,X,X,O,X,X,X
JLOSZIT,O,O,X,X,X,O,X,X,X
JLOZTIS,X,O,X,X,X,X,X,X,X
JLOZTSI,X,O,X,X,X,X,X,X,X
JLOZITS,X,O,X,X,X,X,X,X,X
JLOZIST,O,X,X,X,X,X,X,X,X
JLOZSTI,O,X,X,X,X,X,X,X,X
JLOZSIT,O,X,X,X,X,X,X,X,X
JSTILZO,X,X,X,X,X,O,X,O,X
JSTILOZ,X,X,X,X,X,O,X,O,X
JSTIZLO,X,X,X,X,O,O,X,X,X
JSTIZOL,X,X,X,X,X,O,X,X,X
JSTIOLZ,X,X,X,X,X,O,X,O,X
JSTIOZL,X,X,X,X,X,O,X,X,X
JSTLIZO,X,X,X,X,X,O,X,X,X
JSTLIOZ,X,X,X,X,X,O,X,X,X
JSTLZIO,X,X,X,X,X,O,X,X,X
JSTLZOI,X,X,X,X,X,O,X,X,X
JSTLOIZ,X,X,X,X,X,O,X,X,X
JSTLOZI,X,X,X,X,X,O,X,X,X
JSTZILO,X,X,X,X,O,O,X,X,X
JSTZIOL,X,X,X,X,X,O,X,X,X
JSTZLIO,X,X,X,X,O,O,X,X,X
JSTZLOI,X,X,X,X,X,O,X,X,X
JSTZOIL,X,X,X,X,X,O,X,X,X
JSTZOLI,X,X,X,X,X,O,X,X,X
JSTOILZ,X,X,X,X,X,O,X,O,X
JSTOIZL,X,X,X,X,X,O,X,X,X
JSTOLIZ,X,X,X,X,X,O,X,X,X
JSTOLZI,X,X,X,X,X,O,X,X,X
JSTOZIL,X,X,X,X,X,O,X,X,X
JSTOZLI,X,X,X,X,X,O,X,X,X
JSITLZO,X,X,X,X,X,O,X,O,X
JSITLOZ,X,X,X,X,X,O,X,O,X
JSITZLO,X,X,X,X,O,O,X,X,X
JSITZOL,X,X,X,X,X,O,X,X,X
JSITOLZ,X,X,X,X,X,O,X,O,X
JSITOZL,X,X,X,X,X,O,X,X,X
JSILTZO,O,X,X,X,X,O,X,X,X
JSILTOZ,X,X,X,X,X,O,X,X,X
JSILZTO,O,O,X,X,O,O,X,X,X
JSILZOT,O,O,X,X,O,O,X,X,X
JSILOTZ,X,X,X,X,X,O,X,X,X
JSILOZT,O,O,X,X,O,O,X,X,X
JSIZTLO,X,O,X,X,O,O,X,X,X
JSIZTOL,X,O,X,X,X,O,X,X,X
JSIZLTO,O,O,X,X,O,O,X,X,X
JSIZLOT,O,O,X,X,O,O,X,X,X
JSIZOTL,X,O,X,X,X,O,X,X,X
JSIZOLT,X,O,X,X,O,O,X,X,X
JSIOTLZ,X,X,X,X,X,O,X,O,X
JSIOTZL,X,X,X,X,X,O,O,X,X
JSIOLTZ,X,X,X,X,X,O,X,X,X
JSIOLZT,X,O,X,X,X,O,O,X,X
JSIOZTL,X,X,X,X,X,O,O,X,X
JSIOZLT,X,O,X,X,O,O,O,X,X
JSLTIZO,O,X,X,X,X,O,X,X,X
JSLTIOZ,X,X,X,X,X,O,X,X,X
JSLTZIO,O,X,X,X,X,O,X,X,X
JSLTZOI,O,X,X,X,X,O,X,X,X
JSLTOIZ,X,X,X,X,X,O,X,X,X
JSLTOZI,X,X,X,X,X,O,X,X,X
JSLITZO,O,X,X,X,X,O,X,X,X
