sequence,v115@zgB8HeB8HeD8FeC8EeH8AeC8Je2AJvhFRcBCeBUiBT?jBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jei7IvhFzdB+jBRhBU?iBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhFxcB6jBemBF?iB8nBfsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhF/hBGdB6jBZ?nB8sBVwB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Je2AJvhFTdB6jB8nBR?rBfsBFrB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jex8IvhFXeBmgBzhBS?oB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeyAJvhFGdBTeB3hBx?nB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jex7IvhFXdB6jB2mBz?iB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhFxcB8iB+jBy?mBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jei7IvhFFdBTeBXmBx?nBGmBcsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhFUeBxhBmhBS?oBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeOCJvhFXeBxgBSoBT?hB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jei9IvhF+jBxgB3iBT?hB0lBFsB
LTZOISJ,O,X,X,O,X,O,X,X,X,X,X,X,X
LTZOJIS,O,X,O,O,X,O,X,O,O,X,X,X,X
LTZOJSI,O,X,O,O,X,O,X,O,O,X,X,X,X
LTZOSIJ,O,X,X,O,X,O,X,O,X,X,X,X,X
LTZOSJI,O,X,O,O,X,O,X,O,X,X,X,X,X
LTOIJSZ,O,O,X,X,X,O,X,O,X,X,X,O,X
LTOIJZS,O,O,X,X,X,O,X,O,O,X,X,X,X
LTOISJZ,O,X,X,X,X,O,X,O,X,X,X,O,X
LTOISZJ,X,X,X,O,X,O,X,O,X,X,X,X,X
LTOIZJS,O,X,X,O,X,O,X,X,X,X,X,X,X
LTOIZSJ,O,X,X,O,X,O,X,X,X,X,X,X,X
LTOJISZ,O,O,O,X,X,O,X,O,X,X,X,O,X
LTOJIZS,O,O,O,X,X,O,X,O,O,X,X,X,X
LTOJSIZ,O,O,O,X,X,O,X,O,X,X,X,O,X
LTOJSZI,O,X,O,O,X,O,X,O,O,X,X,X,X
LTOJZIS,O,O,O,O,X,O,X,O,O,X,X,X,X
LTOJZSI,O,X,O,O,X,O,X,O,O,X,X,X,X
LTOSIJZ,O,X,X,X,X,O,O,O,X,X,X,O,X
LTOSIZJ,X,X,X,O,X,O,O,O,X,X,X,X,X
LTOSJIZ,O,X,O,X,X,O,O,O,X,X,X,O,X
LTOSJZI,O,X,O,O,X,O,X,O,O,X,X,X,X
LTOSZIJ,O,X,X,O,X,O,X,O,X,X,X,X,X
LTOSZJI,O,X,O,O,X,O,X,O,X,X,X,X,X
LTOZIJS,O,X,X,O,X,O,X,X,X,X,X,X,X
LTOZISJ,O,X,X,O,X,O,X,X,X,X,X,X,X
LTOZJIS,O,X,O,O,X,O,X,O,O,X,X,X,X
LTOZJSI,O,X,O,O,X,O,X,O,O,X,X,X,X
LTOZSIJ,O,X,X,O,X,O,X,O,X,X,X,X,X
LTOZSJI,O,X,O,O,X,O,X,O,X,X,X,X,X
LITJSZO,X,X,X,X,X,X,O,O,X,X,X,O,O
LITJSOZ,X,O,X,X,X,O,O,O,X,X,X,O,O
LITJZSO,X,X,X,X,O,X,X,O,X,X,X,O,X
LITJZOS,X,O,X,X,X,X,X,X,X,X,X,X,X
LITJOSZ,X,O,X,X,X,O,O,O,X,X,X,O,X
LITJOZS,X,O,X,X,X,O,X,X,X,X,X,X,X
LITSJZO,X,X,X,X,X,X,O,X,X,O,X,O,X
LITSJOZ,X,O,X,X,X,O,O,X,X,O,X,O,X
LITSZJO,X,X,X,O,X,X,O,X,X,O,X,O,X
LITSZOJ,X,X,X,O,X,X,O,X,X,O,X,X,X
LITSOJZ,X,X,X,X,X,O,O,X,X,O,X,O,X
LITSOZJ,X,X,X,O,X,O,O,X,X,O,X,X,X
LITZJSO,X,X,X,O,O,X,X,X,X,X,X,O,X
LITZJOS,X,O,X,O,X,X,X,X,X,X,X,X,X
LITZSJO,X,X,X,O,O,X,X,X,X,X,X,O,X
LITZSOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
LITZOJS,X,X,X,O,X,X,X,X,X,X,X,X,X
LITZOSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
LITOJSZ,X,O,X,X,X,O,O,O,X,X,X,O,X
LITOJZS,X,O,X,X,X,O,X,O,X,X,X,X,X
LITOSJZ,X,X,X,X,X,O,O,O,X,O,X,O,X
LITOSZJ,X,X,X,O,X,O,O,O,X,O,X,X,X
LITOZJS,X,X,X,O,X,O,X,X,X,X,X,X,X
LITOZSJ,X,X,X,O,X,O,X,X,X,X,X,X,X
LIJTSZO,X,X,X,X,X,X,O,X,X,X,X,X,O
LIJTSOZ,X,O,X,X,X,O,O,X,X,X,X,X,O
LIJTZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJTZOS,X,O,X,X,X,X,X,X,X,X,X,X,X
LIJTOSZ,X,O,O,X,X,O,O,X,X,X,X,X,X
LIJTOZS,X,O,O,X,X,O,X,X,X,X,X,X,X
LIJSTZO,X,O,X,X,X,X,X,X,X,O,X,O,O
LIJSTOZ,X,O,O,X,X,O,O,X,X,O,X,O,O
LIJSZTO,X,X,O,X,O,X,X,X,X,O,X,O,O
LIJSZOT,X,O,O,X,O,X,O,X,X,O,X,X,X
LIJSOTZ,X,O,O,X,X,X,O,X,X,O,X,O,O
LIJSOZT,X,O,O,X,X,X,O,X,X,O,X,X,X
LIJZTSO,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJZTOS,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJZSTO,X,X,O,X,O,X,X,X,X,X,X,X,X
LIJZSOT,X,X,O,X,O,X,X,X,X,X,X,X,X
LIJZOTS,X,O,O,X,X,X,X,X,X,X,X,X,X
LIJZOST,X,O,O,X,O,X,X,X,X,X,X,X,X
LIJOTSZ,X,O,O,X,X,X,O,X,X,X,X,X,X
LIJOTZS,X,O,O,X,X,X,X,X,X,X,X,X,X
LIJOSTZ,X,O,O,X,X,X,O,X,X,O,X,X,X
LIJOSZT,X,O,O,X,X,X,O,X,X,O,X,X,X
LIJOZTS,X,O,O,X,X,X,X,X,X,X,X,X,X
LIJOZST,X,O,O,X,O,X,X,X,X,X,X,X,X
LISTJZO,X,O,X,X,X,X,X,X,X,O,X,O,X
LISTJOZ,X,O,X,X,X,O,O,X,X,O,X,O,X
LISTZJO,X,O,X,X,X,X,X,X,X,O,X,O,X
LISTZOJ,X,X,X,X,X,X,X,X,X,O,X,X,X
LISTOJZ,X,O,X,X,X,O,O,X,X,O,X,O,X
LISTOZJ,X,X,X,X,X,O,X,X,X,O,X,X,X
LISJTZO,X,O,X,X,X,X,X,X,X,O,X,O,X
LISJTOZ,X,O,O,X,X,O,O,X,X,O,X,O,X
LISJZTO,X,X,O,X,O,X,X,X,X,O,X,O,X
LISJZOT,X,O,O,X,O,X,O,X,X,O,X,X,X
LISJOTZ,X,O,O,X,X,X,O,X,X,O,X,O,X
LISJOZT,X,O,O,X,X,X,O,X,X,O,X,X,X
LISZTJO,X,X,X,X,O,X,X,X,X,O,X,X,X
LISZTOJ,X,X,X,X,O,X,X,X,X,O,X,X,X
LISZJTO,X,X,O,X,O,X,X,X,X,O,X,O,X
LISZJOT,X,O,O,X,O,X,O,X,X,O,X,X,X
LISZOTJ,X,X,X,X,O,X,X,X,X,O,X,X,X
LISZOJT,X,X,O,X,O,X,O,X,X,O,X,X,X
LISOTJZ,X,X,X,X,X,X,O,X,X,O,X,X,X
LISOTZJ,X,X,X,X,X,X,X,X,X,O,X,X,X
LISOJTZ,X,O,O,X,X,X,O,X,X,O,X,O,X
LISOJZT,X,O,O,X,X,X,O,X,X,O,X,X,X
LISOZTJ,X,X,X,X,X,X,X,X,X,O,X,X,X
LISOZJT,X,X,O,X,X,X,O,X,X,O,X,X,X
LIZTJSO,X,X,X,O,O,X,X,X,X,X,X,X,X
LIZTJOS,X,O,X,O,X,X,X,X,X,X,X,X,X
LIZTSJO,X,X,X,O,O,X,X,X,X,X,X,X,X
LIZTSOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
LIZTOJS,X,X,X,O,X,X,X,X,X,X,X,X,X
LIZTOSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
LIZJTSO,X,X,X,O,O,X,X,X,X,X,X,X,X
LIZJTOS,X,X,O,O,X,X,X,X,X,X,X,X,X
LIZJSTO,X,X,O,X,O,X,X,X,X,X,X,X,X
LIZJSOT,X,X,O,X,O,X,X,X,X,X,X,X,X
LIZJOTS,X,O,O,O,X,X,X,X,X,X,X,X,X
LIZJOST,X,O,O,X,O,X,X,X,X,X,X,X,X
LIZSTJO,X,X,X,O,O,X,X,X,X,O,X,X,X
LIZSTOJ,X,X,X,O,O,X,X,X,X,O,X,X,X
LIZSJTO,X,X,O,X,O,X,X,X,X,O,X,O,X
LIZSJOT,X,O,O,X,O,X,X,X,X,O,X,X,X
LIZSOTJ,X,X,X,O,O,X,X,X,X,O,X,X,X
LIZSOJT,X,X,O,X,O,X,X,X,X,O,X,X,X
LIZOTJS,X,X,X,O,X,X,X,X,X,X,X,X,X
LIZOTSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
LIZOJTS,X,X,O,O,X,X,X,X,X,X,X,X,X
LIZOJST,X,X,O,X,O,X,X,X,X,X,X,X,X
LIZOSTJ,X,X,X,O,O,X,X,X,X,O,X,X,X
LIZOSJT,X,X,O,X,O,X,X,X,X,O,X,X,X
LIOTJSZ,X,O,X,X,X,X,O,O,X,X,X,X,X
LIOTJZS,X,O,X,X,X,X,X,O,X,X,X,X,X
LIOTSJZ,X,X,X,X,X,X,O,O,X,O,X,X,X
LIOTSZJ,X,X,X,O,X,X,O,O,X,O,X,X,X
LIOTZJS,X,X,X,O,X,X,X,X,X,X,X,X,X
LIOTZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
LIOJTSZ,X,O,O,X,X,X,O,X,X,X,X,X,X
LIOJTZS,X,O,O,X,X,X,X,X,X,X,X,X,X
LIOJSTZ,X,O,O,X,X,X,O,X,X,O,X,X,X
LIOJSZT,X,O,O,X,X,X,O,X,X,O,X,X,X
LIOJZTS,X,O,O,X,X,X,X,X,X,X,X,X,X
LIOJZST,X,O,O,X,O,X,X,X,X,X,X,X,X
LIOSTJZ,X,X,X,X,X,X,O,X,X,O,X,X,X
LIOSTZJ,X,X,X,X,X,X,X,X,X,O,X,X,X
LIOSJTZ,X,O,O,X,X,X,O,X,X,O,X,O,X
LIOSJZT,X,O,O,X,X,X,O,X,X,O,X,X,X
LIOSZTJ,X,X,X,X,X,X,X,X,X,O,X,X,X
LIOSZJT,X,X,O,X,X,X,O,X,X,O,X,X,X
LIOZTJS,X,X,X,O,X,X,X,X,X,X,X,X,X
LIOZTSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
LIOZJTS,X,X,O,O,X,X,X,X,X,X,X,X,X
LIOZJST,X,X,O,X,O,X,X,X,X,X,X,X,X
LIOZSTJ,X,X,X,O,O,X,X,X,X,O,X,X,X
LIOZSJT,X,X,O,X,O,X,X,X,X,O,X,X,X
LJTISZO,X,X,X,X,X,X,X,O,X,X,X,O,O
LJTISOZ,X,O,X,X,X,O,X,O,X,X,X,O,O
LJTIZSO,O,X,X,X,O,X,X,O,O,X,X,O,X
LJTIZOS,O,O,X,X,X,X,X,X,O,X,X,X,X
LJTIOSZ,O,O,O,X,X,O,X,O,X,X,X,O,X
LJTIOZS,O,O,O,X,X,O,X,X,O,X,X,X,X
LJTSIZO,X,O,X,X,X,X,O,O,X,X,X,O,O
LJTSIOZ,X,O,O,X,X,O,O,O,X,X,X,O,O
LJTSZIO,X,O,O,O,X,X,O,O,O,X,X,O,O
LJTSZOI,X,O,O,O,X,O,X,X,O,X,X,X,X
LJTSOIZ,X,O,O,X,X,O,O,O,X,X,X,O,O
LJTSOZI,X,O,O,O,X,O,X,X,O,X,X,X,X
LJTZISO,O,X,X,O,O,X,X,O,O,X,X,O,X
LJTZIOS,O,O,O,O,X,X,X,X,O,X,X,X,X
LJTZSIO,O,X,O,O,X,X,X,O,O,X,X,O,X
LJTZSOI,X,X,O,O,X,O,X,X,O,X,X,X,X
LJTZOIS,O,O,O,O,X,O,X,X,O,X,X,X,X
LJTZOSI,O,X,O,O,X,O,X,X,O,X,X,X,X
LJTOISZ,O,O,O,X,X,O,X,O,X,X,X,O,X
LJTOIZS,O,O,O,X,X,O,X,O,O,X,X,X,X
LJTOSIZ,O,O,O,X,X,O,X,O,X,X,X,O,X
LJTOSZI,O,O,O,O,X,O,X,O,O,X,X,X,X
LJTOZIS,O,O,O,O,X,O,X,O,O,X,X,X,X
LJTOZSI,O,X,O,O,X,O,X,O,O,X,X,X,X
LJITSZO,X,X,X,X,X,X,X,X,X,X,X,X,O
LJITSOZ,X,O,X,X,X,O,X,X,X,X,X,X,O
LJITZSO,O,X,X,X,O,X,X,X,X,X,X,X,X
LJITZOS,O,O,X,X,X,X,X,X,X,X,X,X,X
LJITOSZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LJITOZS,O,O,O,X,X,O,X,X,X,X,X,X,X
LJISTZO,O,O,X,X,X,X,X,X,X,O,X,O,O
LJISTOZ,O,O,O,X,X,O,X,X,X,O,X,O,O
LJISZTO,O,X,O,X,O,X,X,X,X,O,X,O,O
LJISZOT,O,O,O,X,O,X,X,X,X,O,X,X,X
LJISOTZ,O,O,O,X,X,X,X,X,X,O,X,O,O
LJISOZT,O,O,O,X,X,X,X,X,X,O,X,X,X
LJIZTSO,X,X,X,X,O,X,X,X,X,X,X,X,X
LJIZTOS,X,X,O,X,X,X,X,X,X,X,X,X,X
LJIZSTO,X,X,O,X,O,X,X,X,X,X,X,X,X
LJIZSOT,X,X,O,X,O,X,X,X,X,X,X,X,X
LJIZOTS,X,O,O,X,X,X,X,X,X,X,X,X,X
LJIZOST,X,O,O,X,O,X,X,X,X,X,X,X,X
LJIOTSZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LJIOTZS,O,O,O,X,X,X,X,X,X,X,X,X,X
LJIOSTZ,O,O,O,X,X,X,X,X,X,O,X,X,X
LJIOSZT,O,O,O,X,X,X,X,X,X,O,X,X,X
LJIOZTS,O,O,O,X,X,X,X,X,X,X,X,X,X
LJIOZST,O,O,O,X,O,X,X,X,X,X,X,X,X
LJSTIZO,O,O,X,X,X,X,X,X,X,X,X,O,O
LJSTIOZ,O,O,O,X,X,O,X,X,X,X,X,O,O
LJSTZIO,O,O,O,X,X,X,X,X,X,X,X,O,O
LJSTZOI,O,O,O,X,X,O,X,X,X,X,X,X,X
LJSTOIZ,O,O,O,X,X,O,X,X,X,X,X,O,O
LJSTOZI,O,O,O,X,X,O,X,X,X,X,X,X,X
LJSITZO,O,O,X,X,X,X,X,X,X,O,X,O,O
LJSITOZ,O,O,O,X,X,O,X,X,X,O,X,O,O
LJSIZTO,O,X,O,X,O,X,X,X,X,O,X,O,O
LJSIZOT,O,O,O,X,O,X,X,X,X,O,X,X,X
LJSIOTZ,O,O,O,X,X,X,X,X,X,O,X,O,O
LJSIOZT,O,O,O,X,X,X,X,X,X,O,X,X,X
LJSZTIO,O,O,O,X,X,X,X,X,X,X,X,O,O
LJSZTOI,X,O,O,X,X,O,X,X,X,X,X,X,X
LJSZITO,O,X,O,X,O,X,X,X,X,X,X,O,O
LJSZIOT,O,O,O,X,O,X,X,X,X,X,X,X,X
LJSZOTI,O,X,O,X,X,X,X,X,X,X,X,X,X
LJSZOIT,O,O,O,X,X,X,X,X,X,X,X,X,X
LJSOTIZ,O,O,O,X,X,O,X,X,X,X,X,O,O
LJSOTZI,O,O,O,X,X,O,X,X,X,X,X,X,X
LJSOITZ,O,O,O,X,X,X,X,X,X,X,X,O,O
LJSOIZT,O,O,O,X,X,X,X,X,X,X,X,X,X
LJSOZTI,O,X,O,X,X,X,X,X,X,X,X,X,X
LJSOZIT,O,O,O,X,X,X,X,X,X,X,X,X,X
LJZTISO,X,X,X,O,O,X,X,X,O,X,X,X,X
LJZTIOS,X,O,O,O,X,X,X,X,O,X,X,X,X
LJZTSIO,X,X,O,O,X,X,X,X,O,X,X,X,X
LJZTSOI,X,X,O,O,X,O,X,X,O,X,X,X,X
LJZTOIS,X,O,O,O,X,O,X,X,O,X,X,X,X
LJZTOSI,X,X,O,O,X,O,X,X,O,X,X,X,X
LJZITSO,X,X,X,O,O,X,X,X,X,X,X,X,X
LJZITOS,X,X,O,O,X,X,X,X,O,X,X,X,X
LJZISTO,X,X,O,X,O,X,X,X,X,X,X,X,X
LJZISOT,X,X,O,X,O,X,X,X,X,X,X,X,X
LJZIOTS,X,O,O,O,X,X,X,X,O,X,X,X,X
LJZIOST,X,O,O,X,O,X,X,X,X,X,X,X,X
LJZSTIO,X,O,O,X,X,X,X,X,X,X,X,X,X
LJZSTOI,X,O,O,X,X,O,X,X,X,X,X,X,X
LJZSITO,X,X,O,X,O,X,X,X,X,X,X,X,X
LJZSIOT,X,O,O,X,O,X,X,X,X,X,X,X,X
LJZSOTI,X,X,O,X,X,X,X,X,X,X,X,X,X
LJZSOIT,X,O,O,X,X,X,X,X,X,X,X,X,X
LJZOTIS,X,O,O,O,X,X,X,X,O,X,X,X,X
LJZOTSI,X,X,O,O,X,X,X,X,O,X,X,X,X
LJZOITS,X,O,O,O,X,X,X,X,O,X,X,X,X
LJZOIST,X,O,O,X,O,X,X,X,X,X,X,X,X
LJZOSTI,X,X,O,X,X,X,X,X,X,X,X,X,X
LJZOSIT,X,O,O,X,X,X,X,X,X,X,X,X,X
LJOTISZ,O,O,O,X,X,O,X,O,X,X,X,X,X
LJOTIZS,O,O,O,X,X,O,X,O,O,X,X,X,X
LJOTSIZ,O,O,O,X,X,O,X,O,X,X,X,X,X
LJOTSZI,O,O,O,O,X,O,X,O,O,X,X,X,X
LJOTZIS,O,O,O,O,X,O,X,O,O,X,X,X,X
LJOTZSI,O,X,O,O,X,O,X,O,O,X,X,X,X
LJOITSZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LJOITZS,O,O,O,X,X,X,X,X,X,X,X,X,X
LJOISTZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LJOISZT,O,O,O,X,X,X,X,X,X,X,X,X,X
LJOIZTS,O,O,O,X,X,X,X,X,X,X,X,X,X
LJOIZST,O,O,O,X,O,X,X,X,X,X,X,X,X
LJOSTIZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LJOSTZI,O,O,O,X,X,O,X,X,X,X,X,X,X
LJOSITZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LJOSIZT,O,O,O,X,X,X,X,X,X,X,X,X,X
LJOSZTI,O,X,O,X,X,X,X,X,X,X,X,X,X
LJOSZIT,O,O,O,X,X,X,X,X,X,X,X,X,X
LJOZTIS,O,O,O,O,X,X,X,X,O,X,X,X,X
LJOZTSI,O,X,O,O,X,X,X,X,O,X,X,X,X
LJOZITS,O,O,O,O,X,X,X,X,O,X,X,X,X
LJOZIST,O,O,O,X,O,X,X,X,X,X,X,X,X
LJOZSTI,X,X,O,X,X,X,X,X,X,X,X,X,X
LJOZSIT,O,O,O,X,X,X,X,X,X,X,X,X,X
LSTIJZO,X,O,X,X,X,X,O,X,X,O,X,O,X
LSTIJOZ,X,O,X,X,X,O,O,X,X,O,X,O,X
LSTIZJO,X,O,X,O,X,X,O,X,X,O,X,O,X
LSTIZOJ,X,X,X,O,X,X,O,X,X,O,O,X,X
LSTIOJZ,X,O,X,X,X,O,O,X,X,O,X,O,X
LSTIOZJ,X,X,X,O,X,O,O,X,X,O,O,X,X
LSTJIZO,O,O,X,X,X,X,O,O,X,X,X,O,X
LSTJIOZ,O,O,O,X,X,O,O,O,X,X,X,O,X
LSTJZIO,O,O,O,O,X,X,O,O,X,X,X,O,X
LSTJZOI,O,O,O,O,X,O,X,X,X,X,X,X,X
LSTJOIZ,O,O,O,X,X,O,O,O,X,X,X,O,X
LSTJOZI,O,O,O,O,X,O,X,X,X,X,X,X,X
LSTZIJO,O,O,X,O,X,X,O,X,X,X,X,O,X
LSTZIOJ,O,X,X,O,X,X,O,X,X,X,X,X,X
LSTZJIO,O,O,O,O,X,X,O,X,X,X,X,O,X
LSTZJOI,O,O,O,O,X,O,X,X,X,X,X,X,X
LSTZOIJ,O,X,X,O,X,O,X,X,X,X,X,X,X
LSTZOJI,O,X,O,O,X,O,X,X,X,X,X,X,X
LSTOIJZ,O,O,X,X,X,O,O,O,X,X,X,O,X
LSTOIZJ,X,X,X,O,X,O,O,O,X,X,O,X,X
LSTOJIZ,O,O,O,X,X,O,O,O,X,X,X,O,X
LSTOJZI,O,O,O,O,X,O,X,O,X,X,X,X,X
LSTOZIJ,O,X,X,O,X,O,X,O,X,X,X,X,X
LSTOZJI,O,X,O,O,X,O,X,O,X,X,X,X,X
LSITJZO,X,O,X,X,X,X,X,X,X,O,X,O,X
LSITJOZ,X,O,X,X,X,O,X,X,X,O,X,O,X
LSITZJO,X,O,X,X,X,X,X,X,X,O,X,O,X
LSITZOJ,X,X,X,X,X,X,X,X,X,O,O,X,X
LSITOJZ,X,O,X,X,X,O,X,X,X,O,X,O,X
LSITOZJ,X,X,X,X,X,O,X,X,X,O,O,X,X
LSIJTZO,X,O,X,X,X,X,X,X,X,O,X,O,X
LSIJTOZ,X,O,O,X,X,O,X,X,X,O,X,O,X
LSIJZTO,X,X,O,X,O,X,X,X,X,O,X,O,X
LSIJZOT,X,O,O,X,O,X,X,X,X,O,X,X,X
LSIJOTZ,X,O,O,X,X,X,X,X,X,O,X,O,X
LSIJOZT,X,O,O,X,X,X,X,X,X,O,X,X,X
LSIZTJO,X,X,X,X,O,X,X,X,X,O,X,X,X
LSIZTOJ,X,X,X,X,O,X,X,X,X,O,X,X,X
LSIZJTO,X,X,O,X,O,X,X,X,X,O,X,O,X
LSIZJOT,X,O,O,X,O,X,X,X,X,O,X,X,X
LSIZOTJ,X,X,X,X,O,X,X,X,X,O,O,X,X
LSIZOJT,X,X,O,X,O,X,X,X,X,O,O,X,X
LSIOTJZ,X,X,X,X,X,X,X,X,X,O,X,X,X
LSIOTZJ,X,X,X,X,X,X,X,X,X,O,O,X,X
LSIOJTZ,X,O,O,X,X,X,X,X,X,O,X,O,X
LSIOJZT,X,O,O,X,X,X,X,X,X,O,X,X,X
LSIOZTJ,X,X,X,X,X,X,X,X,X,O,O,X,X
LSIOZJT,X,X,O,X,X,X,X,X,X,O,O,X,X
LSJTIZO,O,O,X,X,X,X,X,X,X,X,X,O,X
LSJTIOZ,O,O,O,X,X,O,X,X,X,X,X,O,X
LSJTZIO,O,O,O,X,X,X,X,X,X,X,X,O,X
LSJTZOI,O,O,O,X,X,O,X,X,X,X,X,X,X
LSJTOIZ,O,O,O,X,X,O,X,X,X,X,X,O,X
LSJTOZI,O,O,O,X,X,O,X,X,X,X,X,X,X
LSJITZO,O,O,X,X,X,X,X,X,X,O,X,O,X
LSJITOZ,O,O,O,X,X,O,X,X,X,O,X,O,X
LSJIZTO,O,X,O,X,O,X,X,X,X,O,X,O,X
LSJIZOT,O,O,O,X,O,X,X,X,X,O,X,X,X
LSJIOTZ,O,O,O,X,X,X,X,X,X,O,X,O,X
LSJIOZT,O,O,O,X,X,X,X,X,X,O,X,X,X
LSJZTIO,O,O,O,X,X,X,X,X,X,X,X,O,X
LSJZTOI,X,O,O,X,X,O,X,X,X,X,X,X,X
LSJZITO,O,X,O,X,O,X,X,X,X,X,X,O,X
LSJZIOT,O,O,O,X,O,X,X,X,X,X,X,X,X
LSJZOTI,O,X,O,X,X,X,X,X,X,X,X,X,X
LSJZOIT,O,O,O,X,X,X,X,X,X,X,X,X,X
LSJOTIZ,O,O,O,X,X,O,X,X,X,X,X,O,X
LSJOTZI,O,O,O,X,X,O,X,X,X,X,X,X,X
LSJOITZ,O,O,O,X,X,X,X,X,X,X,X,O,X
LSJOIZT,O,O,O,X,X,X,X,X,X,X,X,X,X
LSJOZTI,O,X,O,X,X,X,X,X,X,X,X,X,X
LSJOZIT,O,O,O,X,X,X,X,X,X,X,X,X,X
LSZTIJO,O,O,X,O,X,X,X,X,X,X,X,O,X
LSZTIOJ,X,X,X,O,X,X,X,X,X,X,X,X,X
LSZTJIO,O,O,O,O,X,X,X,X,X,X,X,O,X
LSZTJOI,X,O,O,O,X,O,X,X,X,X,X,X,X
LSZTOIJ,X,X,X,O,X,O,X,X,X,X,X,X,X
LSZTOJI,X,X,O,O,X,O,X,X,X,X,X,X,X
LSZITJO,O,X,X,O,O,X,X,X,X,O,X,X,X
LSZITOJ,X,X,X,O,O,X,X,X,X,O,X,X,X
LSZIJTO,O,X,O,X,O,X,X,X,X,O,X,O,X
LSZIJOT,O,O,O,X,O,X,X,X,X,O,X,X,X
LSZIOTJ,O,X,X,O,O,X,X,X,X,O,X,X,X
LSZIOJT,O,X,O,X,O,X,X,X,X,O,X,X,X
LSZJTIO,O,O,O,X,X,X,X,X,X,X,X,O,X
LSZJTOI,X,O,O,X,X,O,X,X,X,X,X,X,X
LSZJITO,O,X,O,X,O,X,X,X,X,X,X,O,X
LSZJIOT,O,O,O,X,O,X,X,X,X,X,X,X,X
LSZJOTI,O,X,O,X,X,X,X,X,X,X,X,X,X
LSZJOIT,O,O,O,X,X,X,X,X,X,X,X,X,X
LSZOTIJ,O,X,X,O,X,X,X,X,X,X,X,X,X
LSZOTJI,O,X,O,O,X,X,X,X,X,X,X,X,X
LSZOITJ,O,X,X,O,X,X,X,X,X,X,X,X,X
LSZOIJT,O,X,O,X,X,X,X,X,X,X,X,X,X
LSZOJTI,O,X,O,X,X,X,X,X,X,X,X,X,X
LSZOJIT,O,X,O,X,X,X,X,X,X,X,X,X,X
LSOTIJZ,O,O,X,X,X,O,X,O,X,X,X,O,X
LSOTIZJ,X,X,X,O,X,O,X,O,X,X,O,X,X
LSOTJIZ,O,O,O,X,X,O,X,O,X,X,X,O,X
LSOTJZI,O,O,O,O,X,O,X,O,X,X,X,X,X
LSOTZIJ,O,X,X,O,X,O,X,O,X,X,X,X,X
LSOTZJI,O,X,O,O,X,O,X,O,X,X,X,X,X
LSOITJZ,X,X,X,X,X,X,X,X,X,O,X,X,X
LSOITZJ,X,X,X,X,X,X,X,X,X,O,O,X,X
LSOIJTZ,O,O,O,X,X,X,X,X,X,O,X,O,X
LSOIJZT,O,O,O,X,X,X,X,X,X,O,X,X,X
LSOIZTJ,X,X,X,X,X,X,X,X,X,O,O,X,X
LSOIZJT,X,X,O,X,X,X,X,X,X,O,O,X,X
LSOJTIZ,O,O,O,X,X,O,X,X,X,X,X,O,X
LSOJTZI,O,O,O,X,X,O,X,X,X,X,X,X,X
LSOJITZ,O,O,O,X,X,X,X,X,X,X,X,O,X
LSOJIZT,O,O,O,X,X,X,X,X,X,X,X,X,X
LSOJZTI,O,X,O,X,X,X,X,X,X,X,X,X,X
LSOJZIT,O,O,O,X,X,X,X,X,X,X,X,X,X
LSOZTIJ,O,X,X,O,X,X,X,X,X,X,X,X,X
LSOZTJI,O,X,O,O,X,X,X,X,X,X,X,X,X
LSOZITJ,O,X,X,O,X,X,X,X,X,X,X,X,X
LSOZIJT,O,X,O,X,X,X,X,X,X,X,X,X,X
LSOZJTI,O,X,O,X,X,X,X,X,X,X,X,X,X
LSOZJIT,O,X,O,X,X,X,X,X,X,X,X,X,X
LZTIJSO,X,X,X,O,O,X,X,X,X,X,X,O,X
