sequence,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBGeBU?jB6rBzqB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBCeBT?jB8qB+rB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdiBzdB+jBU?hBXmBSwB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBzcBGeBU?jBCrB3rB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBfjB6jB8?mBzqBurB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBGeBU?jBCrBTrB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBzcBSjBU?jB3mBWwB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBGeBzhBU?jBCrB3rB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFzcBfjB6jB8?qBurBdrB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBSjBU?jBTmBWwB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdiBfjB6jBU?hBTmBWwB
LJZTSIO,O,O,O,O,X,O,O,O,X,O,O
LJZTSOI,O,O,O,O,X,O,O,O,X,O,O
LJZTOIS,O,O,O,O,X,O,X,O,X,X,X
LJZTOSI,O,O,O,O,X,O,X,O,X,X,X
LJZITSO,O,O,O,O,X,O,O,O,X,O,O
LJZITOS,O,O,O,O,X,O,X,O,X,X,X
LJZISTO,O,O,O,O,X,O,O,O,O,X,O
LJZISOT,X,O,O,O,X,O,X,X,O,X,O
LJZIOTS,O,O,O,O,X,O,X,O,X,O,X
LJZIOST,X,O,O,O,X,O,X,X,X,X,X
LJZSTIO,O,O,O,O,X,O,O,O,O,X,O
LJZSTOI,O,O,O,O,X,O,O,O,O,X,O
LJZSITO,O,O,O,O,X,O,O,O,O,X,O
LJZSIOT,X,O,O,O,X,O,X,X,O,X,O
LJZSOTI,X,O,O,O,X,O,O,O,O,X,O
LJZSOIT,X,O,O,O,X,O,X,X,O,X,O
LJZOTIS,O,O,O,O,X,O,X,O,X,O,X
LJZOTSI,O,O,O,O,X,O,X,O,X,O,X
LJZOITS,O,O,O,O,X,O,X,O,X,O,X
LJZOIST,X,O,O,O,X,O,X,X,X,X,X
LJZOSTI,X,O,O,O,X,O,X,O,O,X,X
LJZOSIT,X,O,O,O,X,O,X,X,O,X,X
LJOTISZ,X,X,O,X,X,O,O,X,X,O,X
LJOTIZS,X,O,O,X,X,O,X,O,X,O,X
LJOTSIZ,X,X,O,X,X,O,O,X,X,O,X
LJOTSZI,X,O,O,X,X,O,O,X,X,O,X
LJOTZIS,X,O,O,X,X,O,X,O,X,O,X
LJOTZSI,X,O,O,X,X,O,X,O,X,O,X
LJOITSZ,X,X,O,X,X,O,O,X,X,O,X
LJOITZS,X,O,O,X,X,O,X,X,X,O,X
LJOISTZ,X,X,O,X,X,O,O,X,X,O,X
LJOISZT,X,X,O,X,X,X,X,X,X,X,X
LJOIZTS,X,O,O,X,X,O,X,X,X,O,X
LJOIZST,X,O,O,X,X,O,X,X,X,X,X
LJOSTIZ,X,X,O,X,X,O,O,X,X,O,X
LJOSTZI,X,O,O,X,X,O,O,X,O,O,X
LJOSITZ,X,X,O,X,X,O,O,X,X,O,X
LJOSIZT,X,X,O,X,X,X,X,X,O,X,X
LJOSZTI,X,O,O,X,X,X,O,X,O,X,X
LJOSZIT,X,O,O,X,X,X,X,X,O,X,X
LJOZTIS,X,O,O,X,X,O,X,O,X,O,X
LJOZTSI,X,O,O,X,X,O,X,O,X,O,X
LJOZITS,X,O,O,X,X,O,X,O,X,O,X
LJOZIST,X,O,O,X,X,O,X,X,X,X,X
LJOZSTI,X,O,O,X,X,O,X,O,O,X,X
LJOZSIT,X,O,O,X,X,O,X,X,O,X,X
LSTIJZO,O,X,O,O,X,O,O,X,X,O,O
LSTIJOZ,X,X,O,O,X,X,O,X,X,X,O
LSTIZJO,O,X,O,O,X,O,X,O,O,O,O
LSTIZOJ,O,X,X,O,X,O,O,O,X,O,O
LSTIOJZ,X,X,X,O,O,X,O,X,X,X,X
LSTIOZJ,O,X,X,O,O,O,O,O,X,O,O
LSTJIZO,O,X,O,O,X,O,O,X,X,O,O
LSTJIOZ,X,X,O,O,X,X,O,X,X,X,O
LSTJZIO,O,X,O,O,X,O,O,X,O,O,O
LSTJZOI,O,X,O,O,X,O,O,X,O,X,O
LSTJOIZ,X,X,O,O,X,X,O,X,X,X,O
LSTJOZI,X,X,O,O,X,X,O,X,O,X,O
LSTZIJO,O,X,O,O,X,O,X,O,O,O,O
LSTZIOJ,O,X,X,O,X,O,O,O,X,O,O
LSTZJIO,O,X,O,O,X,O,X,O,O,O,O
LSTZJOI,O,X,O,O,X,O,X,O,O,X,O
LSTZOIJ,O,X,X,O,X,O,O,O,X,O,O
LSTZOJI,O,X,X,O,X,O,O,O,X,X,O
LSTOIJZ,X,X,X,O,O,X,O,X,X,X,X
LSTOIZJ,O,X,X,O,O,O,O,O,X,O,O
LSTOJIZ,X,X,X,O,O,X,O,X,X,X,X
LSTOJZI,X,X,X,O,O,X,O,X,X,X,X
LSTOZIJ,O,X,X,O,O,O,O,O,X,O,O
LSTOZJI,O,X,X,O,O,O,O,O,X,X,O
LSITJZO,O,X,O,O,X,O,O,X,X,O,O
LSITJOZ,X,X,O,O,X,X,O,X,X,X,O
LSITZJO,O,X,O,O,X,O,X,O,O,O,O
LSITZOJ,O,X,X,O,X,O,O,O,X,O,O
LSITOJZ,X,X,X,O,O,X,O,X,X,X,X
LSITOZJ,O,X,X,O,O,O,O,O,X,O,O
LSIJTZO,O,X,O,O,X,O,O,X,X,O,O
LSIJTOZ,X,X,O,O,X,X,O,X,X,O,O
LSIJZTO,X,X,O,O,X,X,O,X,O,X,O
LSIJZOT,X,X,O,O,X,X,X,X,O,X,O
LSIJOTZ,X,X,O,X,O,X,O,X,X,O,O
LSIJOZT,X,X,O,X,O,X,X,X,O,X,O
LSIZTJO,O,X,O,O,X,O,X,O,O,X,O
LSIZTOJ,O,X,X,O,X,O,O,O,X,X,O
LSIZJTO,O,O,O,O,X,O,X,O,O,X,O
LSIZJOT,X,X,O,O,X,O,X,X,O,X,O
LSIZOTJ,X,X,X,O,O,O,X,X,X,X,O
LSIZOJT,X,X,X,O,O,O,X,X,O,X,X
LSIOTJZ,X,X,X,O,O,O,O,X,X,X,X
LSIOTZJ,O,X,X,O,O,O,O,X,X,X,O
LSIOJTZ,X,X,X,X,O,O,X,X,X,X,O
LSIOJZT,X,X,X,X,O,X,X,X,X,X,O
LSIOZTJ,X,X,X,O,O,O,X,X,X,X,O
LSIOZJT,X,X,X,O,O,O,X,X,O,X,X
LSJTIZO,O,X,O,O,X,O,O,X,X,O,O
LSJTIOZ,X,X,O,O,X,X,O,X,X,O,O
LSJTZIO,O,O,O,O,X,O,O,X,O,O,O
LSJTZOI,O,O,O,O,X,O,O,X,O,O,O
LSJTOIZ,X,X,O,O,X,X,O,X,X,O,O
LSJTOZI,X,X,O,O,X,X,O,X,O,O,O
LSJITZO,O,X,O,O,X,O,O,X,X,O,O
LSJITOZ,X,X,O,O,X,X,O,X,X,O,O
LSJIZTO,X,X,O,O,X,X,O,X,O,X,O
LSJIZOT,X,X,O,O,X,X,X,X,O,X,O
LSJIOTZ,X,X,O,X,O,X,O,X,X,O,O
LSJIOZT,X,X,O,X,O,X,X,X,O,X,O
LSJZTIO,X,O,O,O,X,X,O,X,O,X,O
LSJZTOI,X,O,O,O,X,X,O,X,O,X,O
LSJZITO,X,O,O,O,X,X,O,X,O,X,O
LSJZIOT,X,X,O,O,X,X,X,X,O,X,O
LSJZOTI,X,X,O,O,X,X,O,X,O,X,O
LSJZOIT,X,X,O,O,X,X,X,X,O,X,O
LSJOTIZ,X,X,O,O,O,X,O,X,X,O,O
LSJOTZI,X,X,O,O,O,X,O,X,O,O,O
LSJOITZ,X,X,O,X,O,X,O,X,X,O,O
LSJOIZT,X,X,O,X,O,X,X,X,O,X,O
LSJOZTI,X,X,O,O,O,X,O,X,O,X,O
LSJOZIT,X,X,O,O,O,X,X,X,O,X,O
LSZTIJO,O,X,O,O,X,O,X,O,O,X,O
LSZTIOJ,O,X,X,O,X,O,O,O,X,X,O
LSZTJIO,O,X,O,O,X,O,X,O,O,X,O
LSZTJOI,O,X,O,O,X,O,X,O,O,X,O
LSZTOIJ,O,X,X,O,X,O,O,O,X,X,O
LSZTOJI,O,X,X,O,X,O,O,O,X,X,O
LSZITJO,O,X,O,O,X,O,X,O,O,X,O
LSZITOJ,O,X,X,O,X,O,O,O,X,X,O
LSZIJTO,O,O,O,O,X,O,X,O,O,X,O
LSZIJOT,X,X,O,O,X,O,X,X,O,X,O
LSZIOTJ,X,X,X,O,O,O,X,X,X,X,O
LSZIOJT,X,X,X,O,O,O,X,X,O,X,X
LSZJTIO,O,O,O,O,X,O,X,O,O,X,O
LSZJTOI,O,O,O,O,X,O,X,O,O,X,O
LSZJITO,O,O,O,O,X,O,X,O,O,X,O
LSZJIOT,X,X,O,O,X,O,X,X,O,X,O
LSZJOTI,X,X,O,O,X,O,X,O,O,X,O
LSZJOIT,X,X,O,O,X,O,X,X,O,X,O
LSZOTIJ,X,X,X,O,O,O,O,O,X,X,O
LSZOTJI,X,X,X,O,O,O,O,O,X,X,O
LSZOITJ,X,X,X,O,O,O,X,X,X,X,O
LSZOIJT,X,X,X,O,O,O,X,X,O,X,X
LSZOJTI,X,X,X,O,O,O,X,O,O,X,X
LSZOJIT,X,X,X,O,O,O,X,X,O,X,X
LSOTIJZ,X,X,X,O,O,O,O,X,X,X,X
LSOTIZJ,O,X,X,O,O,O,O,O,X,X,O
LSOTJIZ,X,X,X,O,O,O,O,X,X,X,X
LSOTJZI,X,X,X,O,O,O,O,X,X,X,X
LSOTZIJ,O,X,X,O,O,O,O,O,X,X,O
LSOTZJI,O,X,X,O,O,O,O,O,X,X,O
LSOITJZ,X,X,X,O,O,O,O,X,X,X,X
LSOITZJ,O,X,X,O,O,O,O,X,X,X,O
LSOIJTZ,X,X,X,X,O,O,X,X,X,X,O
LSOIJZT,X,X,X,X,O,X,X,X,X,X,O
LSOIZTJ,X,X,X,O,O,O,X,X,X,X,O
LSOIZJT,X,X,X,O,O,O,X,X,O,X,X
LSOJTIZ,X,X,X,O,O,O,O,X,X,X,O
LSOJTZI,X,X,X,O,O,O,O,X,O,X,O
LSOJITZ,X,X,X,X,O,O,X,X,X,X,O
LSOJIZT,X,X,X,X,O,X,X,X,O,X,O
LSOJZTI,X,X,X,O,O,X,X,X,O,X,O
LSOJZIT,X,X,X,O,O,X,X,X,O,X,O
LSOZTIJ,X,X,X,O,O,O,O,O,X,X,O
LSOZTJI,X,X,X,O,O,O,O,O,X,X,O
LSOZITJ,X,X,X,O,O,O,X,X,X,X,O
LSOZIJT,X,X,X,O,O,O,X,X,O,X,X
LSOZJTI,X,X,X,O,O,O,X,O,O,X,X
LSOZJIT,X,X,X,O,O,O,X,X,O,X,X
LZTIJSO,O,O,O,O,X,O,O,O,X,X,X
LZTIJOS,O,O,O,O,X,O,X,O,X,X,X
LZTISJO,O,X,O,O,X,O,X,O,X,O,O
LZTISOJ,O,X,X,O,X,O,O,O,X,O,O
LZTIOJS,O,X,O,O,X,O,X,O,X,X,X
LZTIOSJ,O,X,X,O,X,O,X,O,X,X,X
LZTJISO,O,O,O,O,X,O,O,O,X,X,X
LZTJIOS,O,O,O,O,X,O,X,O,X,X,X
LZTJSIO,O,O,O,O,X,O,O,O,X,X,X
LZTJSOI,O,O,O,O,X,O,O,O,X,X,X
LZTJOIS,O,O,O,O,X,O,X,O,X,X,X
LZTJOSI,O,O,O,O,X,O,X,O,X,X,X
LZTSIJO,O,X,O,O,X,O,X,O,X,O,O
LZTSIOJ,O,X,X,O,X,O,O,O,X,O,O
LZTSJIO,O,X,O,O,X,O,X,O,X,O,O
LZTSJOI,O,X,O,O,X,O,X,O,X,X,O
LZTSOIJ,O,X,X,O,X,O,O,O,X,O,O
LZTSOJI,O,X,X,O,X,O,O,O,X,X,O
LZTOIJS,O,X,O,O,X,O,X,O,X,X,X
LZTOISJ,O,X,X,O,X,O,X,O,X,X,X
LZTOJIS,O,X,O,O,X,O,X,O,X,X,X
LZTOJSI,O,X,O,O,X,O,X,O,X,X,X
LZTOSIJ,O,X,X,O,X,O,X,O,X,X,X
LZTOSJI,O,X,X,O,X,O,X,O,X,X,X
LZITJSO,O,O,O,O,X,O,O,O,X,X,X
LZITJOS,O,O,O,O,X,O,X,O,X,X,X
LZITSJO,O,X,O,O,X,O,X,O,X,O,O
LZITSOJ,O,X,X,O,X,O,O,O,X,O,O
LZITOJS,O,X,O,O,X,O,X,O,X,X,X
LZITOSJ,O,X,X,O,X,O,X,O,X,X,X
LZIJTSO,O,O,O,O,X,O,O,O,X,O,X
LZIJTOS,O,O,O,O,X,O,X,O,X,X,X
LZIJSTO,O,O,O,O,X,O,O,O,O,X,X
LZIJSOT,X,O,O,O,X,O,X,X,O,X,X
LZIJOTS,O,O,O,O,X,O,X,O,X,O,X
LZIJOST,O,O,O,O,X,O,X,X,X,X,X
LZISTJO,O,X,O,O,X,O,X,O,O,X,O
LZISTOJ,O,X,X,O,X,O,O,O,X,X,O
LZISJTO,O,O,O,O,X,O,X,O,O,X,O
LZISJOT,X,X,O,O,X,O,X,X,O,X,X
LZISOTJ,X,X,X,O,X,O,X,X,X,X,O
LZISOJT,X,X,X,O,X,O,X,X,O,X,X
LZIOTJS,O,O,O,O,X,O,X,O,X,X,X
LZIOTSJ,O,X,X,O,X,O,X,O,X,X,X
LZIOJTS,O,O,O,O,X,O,X,O,X,X,X
LZIOJST,O,O,O,O,X,O,X,X,X,X,X
LZIOSTJ,O,X,X,O,X,O,X,X,X,X,X
LZIOSJT,O,O,X,O,X,O,X,X,X,X,X
LZJTISO,O,O,O,O,X,O,O,O,X,O,X
LZJTIOS,O,O,O,O,X,O,X,O,X,X,X
LZJTSIO,O,O,O,O,X,O,O,O,X,O,X
LZJTSOI,O,O,O,O,X,O,O,O,X,O,X
LZJTOIS,O,O,O,O,X,O,X,O,X,X,X
LZJTOSI,O,O,O,O,X,O,X,O,X,X,X
LZJITSO,O,O,O,O,X,O,O,O,X,O,X
LZJITOS,O,O,O,O,X,O,X,O,X,X,X
LZJISTO,O,O,O,O,X,O,O,O,O,X,X
LZJISOT,X,O,O,O,X,O,X,X,O,X,X
LZJIOTS,O,O,O,O,X,O,X,O,X,O,X
LZJIOST,O,O,O,O,X,O,X,X,X,X,X
LZJSTIO,O,O,O,O,X,O,O,O,O,X,X
LZJSTOI,O,O,O,O,X,O,O,O,O,X,X
LZJSITO,O,O,O,O,X,O,O,O,O,X,X
LZJSIOT,X,O,O,O,X,O,X,X,O,X,X
LZJSOTI,X,O,O,O,X,O,O,O,O,X,X
LZJSOIT,X,O,O,O,X,O,X,X,O,X,X
LZJOTIS,O,O,O,O,X,O,X,O,X,O,X
LZJOTSI,O,O,O,O,X,O,X,O,X,O,X
LZJOITS,O,O,O,O,X,O,X,O,X,O,X
LZJOIST,O,O,O,O,X,O,X,X,X,X,X
LZJOSTI,O,O,O,O,X,O,X,O,O,X,X
LZJOSIT,O,O,O,O,X,O,X,X,O,X,X
LZSTIJO,O,X,O,O,X,O,X,O,O,X,O
LZSTIOJ,O,X,X,O,X,O,O,O,X,X,O
LZSTJIO,O,X,O,O,X,O,X,O,O,X,O
LZSTJOI,O,X,O,O,X,O,X,O,O,X,O
LZSTOIJ,O,X,X,O,X,O,O,O,X,X,O
LZSTOJI,O,X,X,O,X,O,O,O,X,X,O
LZSITJO,O,X,O,O,X,O,X,O,O,X,O
LZSITOJ,O,X,X,O,X,O,O,O,X,X,O
LZSIJTO,O,O,O,O,X,O,X,O,O,X,O
LZSIJOT,X,X,O,O,X,O,X,X,O,X,X
LZSIOTJ,X,X,X,O,X,O,X,X,X,X,O
LZSIOJT,X,X,X,O,X,O,X,X,O,X,X
LZSJTIO,O,O,O,O,X,O,X,O,O,X,O
LZSJTOI,O,O,O,O,X,O,X,O,O,X,O
LZSJITO,O,O,O,O,X,O,X,O,O,X,O
LZSJIOT,X,X,O,O,X,O,X,X,O,X,X
LZSJOTI,X,X,O,O,X,O,X,O,O,X,X
LZSJOIT,X,X,O,O,X,O,X,X,O,X,X
LZSOTIJ,X,X,X,O,X,O,O,O,X,X,O
LZSOTJI,X,X,X,O,X,O,O,O,X,X,O
LZSOITJ,X,X,X,O,X,O,X,X,X,X,O
LZSOIJT,X,X,X,O,X,O,X,X,O,X,X
LZSOJTI,X,X,X,O,X,O,X,O,O,X,X
LZSOJIT,X,X,X,O,X,O,X,X,O,X,X
LZOTIJS,O,O,O,O,X,O,X,O,X,X,X
LZOTISJ,O,X,X,O,X,O,X,O,X,X,X
LZOTJIS,O,O,O,O,X,O,X,O,X,X,X
LZOTJSI,O,O,O,O,X,O,X,O,X,X,X
LZOTSIJ,O,X,X,O,X,O,X,O,X,X,X
LZOTSJI,O,X,X,O,X,O,X,O,X,X,X
LZOITJS,O,O,O,O,X,O,X,O,X,X,X
LZOITSJ,O,X,X,O,X,O,X,O,X,X,X
LZOIJTS,O,O,O,O,X,O,X,O,X,X,X
LZOIJST,O,O,O,O,X,O,X,X,X,X,X
LZOISTJ,O,X,X,O,X,O,X,X,X,X,X
LZOISJT,O,O,X,O,X,O,X,X,X,X,X
LZOJTIS,O,O,O,O,X,O,X,O,X,X,X
LZOJTSI,O,O,O,O,X,O,X,O,X,X,X
LZOJITS,O,O,O,O,X,O,X,O,X,X,X
LZOJIST,O,O,O,O,X,O,X,X,X,X,X
LZOJSTI,O,O,O,O,X,O,X,O,X,X,X
LZOJSIT,O,O,O,O,X,O,X,X,X,X,X
LZOSTIJ,O,X,X,O,X,O,X,O,X,X,X
LZOSTJI,O,X,X,O,X,O,X,O,X,X,X
LZOSITJ,O,X,X,O,X,O,X,X,X,X,X
LZOSIJT,O,O,X,O,X,O,X,X,X,X,X
LZOSJTI,O,O,X,O,X,O,X,O,X,X,X
LZOSJIT,O,O,X,O,X,O,X,X,X,X,X
LOTIJSZ,O,X,O,X,X,O,O,X,X,X,X
LOTIJZS,O,X,O,X,X,O,X,O,X,X,X
LOTISJZ,O,X,X,X,O,O,O,X,X,X,X
LOTISZJ,O,X,X,X,O,O,O,O,X,O,X
LOTIZJS,O,O,O,O,X,O,X,O,X,X,X
LOTIZSJ,O,X,X,O,O,O,X,O,X,X,X
LOTJISZ,O,X,O,X,X,O,O,X,X,X,X
LOTJIZS,O,O,O,X,X,O,X,O,X,X,X
LOTJSIZ,O,X,O,X,X,O,O,X,X,X,X
LOTJSZI,O,O,O,X,X,O,O,X,X,X,X
LOTJZIS,O,O,O,X,X,O,X,O,X,X,X
LOTJZSI,O,O,O,X,X,O,X,O,X,X,X
LOTSIJZ,O,X,X,X,O,O,O,X,X,X,X
LOTSIZJ,O,X,X,X,O,O,O,O,X,O,X
LOTSJIZ,O,X,X,X,O,O,O,X,X,X,X
LOTSJZI,O,X,X,X,O,O,O,X,X,X,X
LOTSZIJ,O,X,X,X,O,O,O,O,X,O,X
LOTSZJI,O,X,X,X,O,O,O,O,X,X,X
LOTZIJS,O,O,O,O,X,O,X,O,X,X,X
LOTZISJ,O,X,X,O,O,O,X,O,X,X,X
LOTZJIS,O,O,O,O,X,O,X,O,X,X,X
LOTZJSI,O,O,O,O,X,O,X,O,X,X,X
LOTZSIJ,O,X,X,O,O,O,X,O,X,X,X
LOTZSJI,O,X,X,O,O,O,X,O,X,X,X
LOITJSZ,O,X,O,X,X,O,O,X,X,X,X
LOITJZS,O,X,O,X,X,O,X,O,X,X,X
LOITSJZ,O,X,X,X,O,O,O,X,X,X,X
LOITSZJ,O,X,X,X,O,O,O,O,X,O,X
LOITZJS,O,O,O,O,X,O,X,O,X,X,X
LOITZSJ,O,X,X,O,O,O,X,O,X,X,X
LOIJTSZ,O,X,O,X,X,O,O,X,X,O,X
LOIJTZS,O,O,O,X,X,O,X,X,X,O,X
LOIJSTZ,O,X,O,X,X,O,O,X,X,O,X
LOIJSZT,X,X,O,X,X,X,X,X,X,X,X
LOIJZTS,O,O,O,X,X,O,X,X,X,O,X
LOIJZST,O,O,O,X,X,O,X,X,X,X,X
LOISTJZ,O,X,X,O,O,O,O,X,X,X,X
LOISTZJ,O,X,X,O,O,O,O,X,X,X,X
LOISJTZ,O,X,X,X,O,O,X,X,X,X,X
LOISJZT,X,X,X,X,O,X,X,X,X,X,X
LOISZTJ,O,X,X,O,O,O,X,X,X,X,X
LOISZJT,O,O,X,O,O,O,X,X,X,X,X
LOIZTJS,O,O,O,O,X,O,X,O,X,X,X
LOIZTSJ,O,X,X,O,O,O,X,O,X,X,X
LOIZJTS,O,O,O,O,X,O,X,O,X,X,X
LOIZJST,O,O,O,O,X,O,X,X,X,X,X
LOIZSTJ,O,X,X,O,O,O,X,X,X,X,X
LOIZSJT,O,O,X,O,O,O,X,X,X,X,X
LOJTISZ,O,X,O,X,X,O,O,X,X,O,X
LOJTIZS,O,O,O,X,X,O,X,O,X,O,X
LOJTSIZ,O,X,O,X,X,O,O,X,X,O,X
LOJTSZI,O,O,O,X,X,O,O,X,X,O,X
LOJTZIS,O,O,O,X,X,O,X,O,X,O,X
LOJTZSI,O,O,O,X,X,O,X,O,X,O,X
LOJITSZ,O,X,O,X,X,O,O,X,X,O,X
LOJITZS,O,O,O,X,X,O,X,X,X,O,X
LOJISTZ,O,X,O,X,X,O,O,X,X,O,X
LOJISZT,X,X,O,X,X,X,X,X,X,X,X
LOJIZTS,O,O,O,X,X,O,X,X,X,O,X
LOJIZST,O,O,O,X,X,O,X,X,X,X,X
LOJSTIZ,O,X,O,X,X,O,O,X,X,O,X
LOJSTZI,O,O,O,X,X,O,O,X,X,O,X
LOJSITZ,O,X,O,X,X,O,O,X,X,O,X
LOJSIZT,X,X,O,X,X,X,X,X,X,X,X
LOJSZTI,X,O,O,X,X,X,O,X,X,X,X
LOJSZIT,X,O,O,X,X,X,X,X,X,X,X
LOJZTIS,O,O,O,X,X,O,X,O,X,O,X
LOJZTSI,O,O,O,X,X,O,X,O,X,O,X
LOJZITS,O,O,O,X,X,O,X,O,X,O,X
LOJZIST,O,O,O,X,X,O,X,X,X,X,X
LOJZSTI,O,O,O,X,X,O,X,O,X,X,X
LOJZSIT,O,O,O,X,X,O,X,X,X,X,X
LOSTIJZ,O,X,X,O,O,O,O,X,X,X,X
LOSTIZJ,O,X,X,O,O,O,O,O,X,X,X
LOSTJIZ,O,X,X,O,O,O,O,X,X,X,X
LOSTJZI,O,X,X,O,O,O,O,X,X,X,X
LOSTZIJ,O,X,X,O,O,O,O,O,X,X,X
LOSTZJI,O,X,X,O,O,O,O,O,X,X,X
LOSITJZ,O,X,X,O,O,O,O,X,X,X,X
LOSITZJ,O,X,X,O,O,O,O,X,X,X,X
LOSIJTZ,O,X,X,X,O,O,X,X,X,X,X
LOSIJZT,X,X,X,X,O,X,X,X,X,X,X
LOSIZTJ,O,X,X,O,O,O,X,X,X,X,X
LOSIZJT,O,O,X,O,O,O,X,X,X,X,X
LOSJTIZ,O,X,X,O,O,O,O,X,X,X,X
LOSJTZI,O,O,X,O,O,O,O,X,X,X,X
LOSJITZ,O,X,X,X,O,O,X,X,X,X,X
LOSJIZT,X,X,X,X,O,X,X,X,X,X,X
LOSJZTI,X,O,X,O,O,X,X,X,X,X,X
LOSJZIT,X,O,X,O,O,X,X,X,X,X,X
LOSZTIJ,O,X,X,O,O,O,O,O,X,X,X
LOSZTJI,O,X,X,O,O,O,O,O,X,X,X
LOSZITJ,O,X,X,O,O,O,X,X,X,X,X
LOSZIJT,O,O,X,O,O,O,X,X,X,X,X
LOSZJTI,O,O,X,O,O,O,X,O,X,X,X
LOSZJIT,O,O,X,O,O,O,X,X,X,X,X
LOZTIJS,O,O,O,O,X,O,X,O,X,X,X
LOZTISJ,O,X,X,O,O,O,X,O,X,X,X
LOZTJIS,O,O,O,O,X,O,X,O,X,X,X
LOZTJSI,O,O,O,O,X,O,X,O,X,X,X
LOZTSIJ,O,X,X,O,O,O,X,O,X,X,X
LOZTSJI,O,X,X,O,O,O,X,O,X,X,X
LOZITJS,O,O,O,O,X,O,X,O,X,X,X
LOZITSJ,O,X,X,O,O,O,X,O,X,X,X
LOZIJTS,O,O,O,O,X,O,X,O,X,X,X
LOZIJST,O,O,O,O,X,O,X,X,X,X,X
LOZISTJ,O,X,X,O,O,O,X,X,X,X,X
LOZISJT,O,O,X,O,O,O,X,X,X,X,X
LOZJTIS,O,O,O,O,X,O,X,O,X,X,X
LOZJTSI,O,O,O,O,X,O,X,O,X,X,X
LOZJITS,O,O,O,O,X,O,X,O,X,X,X
LOZJIST,O,O,O,O,X,O,X,X,X,X,X
LOZJSTI,O,O,O,O,X,O,X,O,X,X,X
LOZJSIT,O,O,O,O,X,O,X,X,X,X,X
LOZSTIJ,O,X,X,O,O,O,X,O,X,X,X
LOZSTJI,O,X,X,O,O,O,X,O,X,X,X
LOZSITJ,O,X,X,O,O,O,X,X,X,X,X
LOZSIJT,O,O,X,O,O,O,X,X,X,X,X
LOZSJTI,O,O,X,O,O,O,X,O,X,X,X
LOZSJIT,O,O,X,O,O,O,X,X,X,X,X
JTILSZO,X,X,O,X,X,X,O,X,X,O,O
JTILSOZ,X,X,O,X,X,X,O,X,X,O,O
JTILZSO,X,O,O,X,X,X,O,X,X,O,O
JTILZOS,X,O,O,X,X,X,X,X,X,X,X
JTILOSZ,X,X,O,X,X,X,O,X,X,O,X
JTILOZS,X,X,O,X,X,X,X,X,X,O,X
JTISLZO,X,X,X,X,X,X,O,X,X,O,O
JTISLOZ,X,X,X,X,X,X,O,X,X,O,O
JTISZLO,O,X,X,X,X,O,O,X,X,O,O
JTISZOL,O,X,O,X,X,O,O,X,X,X,O
JTISOLZ,X,X,X,X,X,X,O,X,X,O,O
JTISOZL,X,X,O,X,X,X,O,X,X,X,O
JTIZLSO,O,O,X,X,X,O,O,X,X,O,O
JTIZLOS,X,O,O,X,X,X,X,O,X,X,X
JTIZSLO,O,O,X,X,X,O,X,X,X,O,O
JTIZSOL,O,O,O,X,X,O,X,O,X,X,O
JTIZOLS,X,O,O,X,X,X,X,O,X,X,X
JTIZOSL,O,O,O,X,X,O,X,O,X,X,O
JTIOLSZ,X,X,O,X,X,X,O,X,X,O,X
JTIOLZS,X,O,O,X,X,X,X,X,X,O,X
JTIOSLZ,X,X,X,X,X,X,X,X,X,O,O
JTIOSZL,X,X,O,X,X,X,X,X,X,O,O
JTIOZLS,X,O,O,X,X,X,X,O,X,O,X
JTIOZSL,X,O,O,X,X,X,X,O,X,O,O
JTLISZO,O,X,O,X,X,O,O,X,X,O,O
JTLISOZ,X,X,O,X,X,X,O,X,X,O,O
JTLIZSO,O,O,O,X,X,O,O,X,X,O,O
JTLIZOS,O,O,O,X,X,O,X,X,X,X,X
JTLIOSZ,X,X,O,X,X,X,O,X,X,O,X
JTLIOZS,X,X,O,X,X,X,X,X,X,O,X
JTLSIZO,O,X,O,X,X,O,O,X,X,O,O
JTLSIOZ,X,X,O,X,X,X,O,X,X,O,O
JTLSZIO,O,O,O,X,X,O,O,X,X,O,O
JTLSZOI,O,O,O,X,X,O,O,X,X,O,O
JTLSOIZ,X,X,O,X,X,X,O,X,X,O,O
JTLSOZI,X,X,O,X,X,X,O,X,X,O,O
JTLZISO,O,O,O,X,X,O,O,X,X,O,O
JTLZIOS,O,O,O,X,X,O,X,X,X,X,X
JTLZSIO,O,O,O,X,X,O,O,X,X,O,O
JTLZSOI,O,O,O,X,X,O,O,X,X,O,O
