sequence,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFTeBUhBFiBu?sBirBXsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jel7IvhFSiBTeBZmBu?rB3nBUsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFTeBUhBlnBm?rB6sB3rB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Je07IvhFxcBTeBKrBf?sBlnBGsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFTeBUhBlnBi?rBGsBXsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhF8hBGeBamBz?iB/sB1wB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jel7IvhFuhB3dBcjBZ?mBCsBTsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFTeB3hBlnBm?rB6sBUrB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhFViBcjBamB3?iB+rBTsB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Jex7IvhF8hBTeBamBl?nB3rB+sB,v115@zgB8HeC8GeD8EeE8DeF8DeB8Je07IvhFxdB3hBlnBm?rBCtBTrB,v115@zgB8HeC8GeD8EeE8DeF8DeB8JeU9IvhFFhBXjBzmBm?lBCoBxwB
IZTOSLJ,X,O,X,X,X,O,X,X,X,X,X,O
IZTOSJL,X,O,O,X,X,O,O,X,X,X,X,O
IZLTJSO,O,X,O,X,O,O,O,X,O,X,X,X
IZLTJOS,O,X,O,X,O,O,O,X,O,X,X,X
IZLTSJO,X,X,X,O,O,O,O,X,X,X,X,X
IZLTSOJ,X,X,X,O,O,O,O,X,X,X,X,X
IZLTOJS,X,X,O,X,O,O,O,X,O,X,X,X
IZLTOSJ,X,X,X,O,O,O,O,X,X,X,X,X
IZLJTSO,O,X,O,X,O,X,O,X,O,X,X,X
IZLJTOS,O,X,O,X,O,X,O,X,O,X,X,X
IZLJSTO,O,X,X,O,X,X,O,X,O,X,X,X
IZLJSOT,O,X,X,O,X,X,O,X,O,X,X,X
IZLJOTS,O,X,O,X,O,X,O,X,O,X,X,X
IZLJOST,O,X,X,O,X,X,O,X,O,X,X,X
IZLSTJO,X,X,X,O,O,X,O,X,X,O,X,X
IZLSTOJ,X,X,X,O,O,X,O,X,X,O,X,X
IZLSJTO,O,X,X,O,X,X,O,X,O,O,X,X
IZLSJOT,O,X,X,O,X,X,O,X,O,X,X,X
IZLSOTJ,X,X,X,O,O,X,O,X,X,O,X,X
IZLSOJT,X,X,X,O,X,X,O,X,O,X,X,X
IZLOTJS,X,X,O,X,O,X,O,X,O,X,X,X
IZLOTSJ,X,X,X,O,O,X,O,X,X,X,X,X
IZLOJTS,O,X,O,X,O,X,O,X,O,X,X,X
IZLOJST,O,X,X,O,X,X,O,X,O,X,X,X
IZLOSTJ,X,X,X,O,O,X,O,X,X,X,X,X
IZLOSJT,X,X,X,O,X,X,O,X,O,X,X,X
IZJTLSO,X,X,O,X,X,X,O,X,O,X,X,X
IZJTLOS,O,X,O,X,X,X,O,X,O,X,X,X
IZJTSLO,X,O,O,X,X,X,O,X,X,X,O,X
IZJTSOL,O,O,O,X,X,X,O,X,X,X,X,X
IZJTOLS,O,X,O,X,X,X,X,X,X,X,X,X
IZJTOSL,O,O,O,X,X,X,X,X,X,X,X,X
IZJLTSO,O,X,O,X,O,X,O,X,O,X,X,X
IZJLTOS,O,X,O,X,O,X,O,X,O,X,X,X
IZJLSTO,O,X,X,O,X,X,O,X,O,X,X,X
IZJLSOT,O,X,X,O,X,X,O,X,O,X,X,X
IZJLOTS,O,X,O,X,O,X,O,X,O,X,X,X
IZJLOST,O,X,X,O,X,X,O,X,O,X,X,X
IZJSTLO,X,O,O,X,X,X,O,O,X,X,O,X
IZJSTOL,O,O,O,X,X,X,O,O,X,X,X,X
IZJSLTO,X,O,X,X,X,X,O,X,X,X,X,X
IZJSLOT,X,O,X,X,X,X,O,X,X,X,X,X
IZJSOTL,O,O,O,X,X,X,O,X,X,X,X,X
IZJSOLT,X,O,X,X,X,X,X,X,X,X,X,X
IZJOTLS,O,X,O,X,X,X,X,X,O,X,X,X
IZJOTSL,O,O,O,X,X,X,X,X,X,X,X,X
IZJOLTS,O,X,O,X,O,X,X,X,O,X,X,X
IZJOLST,O,X,X,O,X,X,X,X,O,X,X,X
IZJOSTL,O,O,O,X,X,X,X,X,X,X,X,X
IZJOSLT,X,O,X,X,X,X,X,X,X,X,X,X
IZSTLJO,X,X,X,X,X,X,O,X,X,X,X,X
IZSTLOJ,X,O,X,X,X,X,O,X,X,X,X,X
IZSTJLO,X,O,O,X,X,X,O,X,X,X,X,X
IZSTJOL,X,O,O,X,X,X,O,X,X,X,X,X
IZSTOLJ,X,O,X,X,X,X,X,X,X,X,X,X
IZSTOJL,X,O,O,X,X,X,O,X,X,X,X,X
IZSLTJO,X,X,X,O,O,X,O,X,X,X,X,X
IZSLTOJ,X,O,X,O,O,X,O,X,X,X,X,X
IZSLJTO,O,X,X,O,X,X,O,X,O,X,X,X
IZSLJOT,O,X,X,O,X,X,O,X,O,X,X,X
IZSLOTJ,X,O,X,O,O,X,O,X,X,X,X,X
IZSLOJT,X,X,X,O,X,X,O,X,O,X,X,X
IZSJTLO,X,O,O,X,X,X,O,X,X,X,X,X
IZSJTOL,O,O,O,X,X,X,O,X,X,X,X,X
IZSJLTO,X,O,X,X,X,X,O,X,X,X,X,X
IZSJLOT,X,O,X,X,X,X,O,X,X,X,X,X
IZSJOTL,O,O,O,X,X,X,O,X,X,X,X,X
IZSJOLT,X,O,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,O,X,X,X,X,X,X,X,X,X,O
IZSOTJL,X,O,O,X,X,X,O,X,X,X,X,O
IZSOLTJ,X,O,X,O,O,X,O,X,X,X,X,O
IZSOLJT,X,X,X,O,X,X,O,X,O,X,X,X
IZSOJTL,O,O,O,X,X,X,O,X,X,X,X,O
IZSOJLT,X,O,X,X,X,X,X,X,X,X,X,X
IZOTLJS,X,X,O,X,O,X,O,X,O,X,X,X
IZOTLSJ,X,X,X,O,O,X,O,X,X,X,X,O
IZOTJLS,O,X,O,X,X,X,X,X,X,X,X,X
IZOTJSL,O,O,O,X,X,X,X,X,X,X,X,O
IZOTSLJ,X,O,X,X,X,X,X,X,X,X,X,O
IZOTSJL,X,O,O,X,X,X,O,X,X,X,X,O
IZOLTJS,X,X,O,X,O,X,O,X,O,X,X,X
IZOLTSJ,X,X,X,O,O,X,O,X,X,X,X,O
IZOLJTS,O,X,O,X,O,X,O,X,O,X,X,X
IZOLJST,O,X,X,O,X,X,O,X,O,X,X,X
IZOLSTJ,X,X,X,O,O,X,O,X,X,X,X,O
IZOLSJT,X,X,X,O,X,X,O,X,O,X,X,X
IZOJTLS,O,X,O,X,X,X,X,X,O,X,X,X
IZOJTSL,O,O,O,X,X,X,X,X,X,X,X,O
IZOJLTS,O,X,O,X,O,X,X,X,O,X,X,X
IZOJLST,O,X,X,O,X,X,X,X,O,X,X,X
IZOJSTL,O,O,O,X,X,X,X,X,X,X,X,O
IZOJSLT,X,O,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,O,X,X,X,X,X,X,X,X,X,O
IZOSTJL,X,O,O,X,X,X,O,X,X,X,X,O
IZOSLTJ,X,O,X,O,O,X,O,X,X,X,X,O
IZOSLJT,X,X,X,O,X,X,O,X,O,X,X,X
IZOSJTL,O,O,O,X,X,X,O,X,X,X,X,O
IZOSJLT,X,O,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,X,O,X,X,X,X,O,X,O,X,X,X
IOTLJZS,X,X,X,X,X,X,O,X,O,X,X,X
IOTLSJZ,X,O,X,X,X,X,O,X,X,X,X,X
IOTLSZJ,X,O,X,X,X,X,O,X,X,X,X,O
IOTLZJS,X,X,X,X,O,X,O,X,O,X,X,X
IOTLZSJ,X,X,X,X,O,X,O,X,X,X,X,O
IOTJLSZ,X,O,X,X,X,X,X,X,X,X,X,X
IOTJLZS,O,X,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,X,O,X,X,X,X,X,O,X,X,X,X
IOTJSZL,X,O,X,X,X,X,X,O,X,X,X,O
IOTJZLS,O,X,O,X,X,X,X,X,X,X,X,X
IOTJZSL,O,O,O,X,X,X,X,X,X,X,X,O
IOTSLJZ,X,O,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,O,X,X,X,X,X,X,X,X,X,O
IOTSJLZ,X,O,X,X,X,X,X,O,X,X,X,X
IOTSJZL,X,O,X,X,X,X,X,O,X,X,X,O
IOTSZLJ,X,O,X,X,X,X,X,X,X,X,X,O
IOTSZJL,X,O,X,X,X,X,X,X,X,X,X,O
IOTZLJS,X,X,O,X,O,X,O,X,O,X,X,X
IOTZLSJ,X,X,X,X,O,X,O,X,X,X,X,O
IOTZJLS,O,X,O,X,X,O,X,X,X,X,X,X
IOTZJSL,O,O,O,X,X,O,X,X,X,X,X,O
IOTZSLJ,X,O,X,X,X,O,X,X,X,X,X,O
IOTZSJL,X,O,O,X,X,O,O,X,X,X,X,O
IOLTJSZ,X,O,X,X,X,X,O,X,O,X,X,X
IOLTJZS,X,X,X,X,X,X,O,X,O,X,X,X
IOLTSJZ,X,O,X,X,X,X,O,X,X,X,X,X
IOLTSZJ,X,O,X,X,X,X,O,X,X,X,X,O
IOLTZJS,X,X,X,X,O,O,O,X,O,X,X,X
IOLTZSJ,X,X,X,X,O,O,O,X,X,X,X,O
IOLJTSZ,X,O,X,X,X,X,O,X,O,X,X,X
IOLJTZS,O,X,X,X,X,X,O,X,O,X,X,X
IOLJSTZ,X,O,X,X,X,X,O,X,O,X,X,X
IOLJSZT,O,O,X,X,X,X,O,X,O,X,X,X
IOLJZTS,O,X,O,X,O,X,O,X,O,X,X,X
IOLJZST,O,X,X,X,X,X,O,X,O,X,X,X
IOLSTJZ,X,O,X,O,X,X,O,X,X,X,X,X
IOLSTZJ,X,O,X,O,X,X,O,X,X,X,X,O
IOLSJTZ,X,O,X,X,X,X,O,X,O,X,X,X
IOLSJZT,X,O,X,X,X,X,O,X,O,X,X,X
IOLSZTJ,X,O,X,O,O,X,O,X,X,O,X,O
IOLSZJT,X,X,X,O,X,X,O,X,O,X,X,X
IOLZTJS,X,X,O,X,O,X,O,X,O,X,X,X
IOLZTSJ,X,X,X,O,O,X,O,X,X,X,X,O
IOLZJTS,O,X,O,X,O,X,O,X,O,X,X,X
IOLZJST,O,X,X,O,X,X,O,X,O,X,X,X
IOLZSTJ,X,X,X,O,O,X,O,X,X,X,X,O
IOLZSJT,X,X,X,O,X,X,O,X,O,X,X,X
IOJTLSZ,X,O,X,X,X,X,X,X,O,X,X,X
IOJTLZS,O,X,X,X,X,X,X,X,O,X,X,X
IOJTSLZ,X,O,X,X,X,X,X,O,X,X,X,X
IOJTSZL,X,O,X,X,X,X,X,O,X,X,X,O
IOJTZLS,O,X,O,X,X,X,X,X,O,X,X,X
IOJTZSL,O,O,O,X,X,X,X,X,X,X,X,O
IOJLTSZ,X,O,X,X,X,X,X,X,O,X,X,X
IOJLTZS,O,X,X,X,X,X,X,X,O,X,X,X
IOJLSTZ,X,O,X,X,X,X,X,X,O,X,X,X
IOJLSZT,O,O,X,X,X,X,X,X,O,X,X,X
IOJLZTS,O,X,O,X,O,X,X,X,O,X,X,X
IOJLZST,O,X,X,X,X,X,X,X,O,X,X,X
IOJSTLZ,X,O,X,X,X,O,X,O,X,X,X,X
IOJSTZL,X,O,X,X,X,O,X,O,X,X,X,O
IOJSLTZ,X,O,X,X,X,X,X,X,X,X,X,X
IOJSLZT,O,O,X,X,X,X,X,X,X,X,X,X
IOJSZTL,O,O,O,X,X,X,X,X,X,X,X,O
IOJSZLT,X,O,X,X,X,X,X,X,X,X,X,X
IOJZTLS,O,X,O,X,X,X,X,X,O,X,X,X
IOJZTSL,O,O,O,X,X,X,X,X,X,X,X,O
IOJZLTS,O,X,O,X,O,X,X,X,O,X,X,X
IOJZLST,O,X,X,X,X,X,X,X,O,X,X,X
IOJZSTL,O,O,O,X,X,X,X,X,X,X,X,O
IOJZSLT,X,O,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,X,O,X,X,X,O,X,X,X,X,X,X
IOSTLZJ,X,O,X,X,X,O,X,X,X,X,X,O
IOSTJLZ,X,O,X,X,X,O,X,X,X,X,X,X
IOSTJZL,X,O,X,X,X,O,X,X,X,X,X,O
IOSTZLJ,X,O,X,X,X,O,X,X,X,X,X,O
IOSTZJL,X,O,X,X,X,O,X,X,X,X,X,O
IOSLTJZ,X,O,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,X,O,X,X,X,X,X,X,X,X,X,O
IOSLJTZ,X,O,X,X,X,X,X,X,O,X,X,X
IOSLJZT,X,O,X,X,X,X,X,X,O,X,X,X
IOSLZTJ,X,O,X,X,O,X,X,X,X,X,X,O
IOSLZJT,X,X,X,X,X,X,X,X,O,X,X,X
IOSJTLZ,X,O,X,X,X,O,X,X,X,X,X,X
IOSJTZL,X,O,X,X,X,O,X,X,X,X,X,O
IOSJLTZ,X,O,X,X,X,X,X,X,X,X,X,X
IOSJLZT,O,O,X,X,X,X,X,X,X,X,X,X
IOSJZTL,O,O,O,X,X,X,X,X,X,X,X,O
IOSJZLT,X,O,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,X,O,X,X,X,X,X,X,X,X,X,O
IOSZTJL,X,O,O,X,X,X,X,X,X,X,X,O
IOSZLTJ,X,O,X,X,O,X,X,X,X,X,X,O
IOSZLJT,X,X,X,X,X,X,X,X,O,X,X,X
IOSZJTL,O,O,O,X,X,X,X,X,X,X,X,O
IOSZJLT,X,O,X,X,X,X,X,X,X,X,X,X
IOZTLJS,X,X,O,X,O,X,O,X,O,X,X,X
IOZTLSJ,X,X,X,O,O,X,O,X,X,X,X,O
IOZTJLS,O,X,O,X,X,X,X,X,X,X,X,X
IOZTJSL,O,O,O,X,X,X,X,X,X,X,X,O
IOZTSLJ,X,O,X,X,X,X,X,X,X,X,X,O
IOZTSJL,X,O,O,X,X,X,O,X,X,X,X,O
IOZLTJS,X,X,O,X,O,X,O,X,O,X,X,X
IOZLTSJ,X,X,X,O,O,X,O,X,X,X,X,O
IOZLJTS,O,X,O,X,O,X,O,X,O,X,X,X
IOZLJST,O,X,X,O,X,X,O,X,O,X,X,X
IOZLSTJ,X,X,X,O,O,X,O,X,X,X,X,O
IOZLSJT,X,X,X,O,X,X,O,X,O,X,X,X
IOZJTLS,O,X,O,X,X,X,X,X,O,X,X,X
IOZJTSL,O,O,O,X,X,X,X,X,X,X,X,O
IOZJLTS,O,X,O,X,O,X,X,X,O,X,X,X
IOZJLST,O,X,X,O,X,X,X,X,O,X,X,X
IOZJSTL,O,O,O,X,X,X,X,X,X,X,X,O
IOZJSLT,X,O,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,O,X,X,X,X,X,X,X,X,X,O
IOZSTJL,X,O,O,X,X,X,O,X,X,X,X,O
IOZSLTJ,X,O,X,O,O,X,O,X,X,X,X,O
IOZSLJT,X,X,X,O,X,X,O,X,O,X,X,X
IOZSJTL,O,O,O,X,X,X,O,X,X,X,X,O
IOZSJLT,X,O,X,X,X,X,X,X,X,X,X,X
LTIJSZO,X,O,X,X,X,O,O,X,O,X,X,X
LTIJSOZ,X,O,X,X,X,X,O,X,X,X,X,X
LTIJZSO,O,X,X,X,X,O,O,X,O,X,X,X
LTIJZOS,O,X,X,X,X,O,O,X,O,X,X,X
LTIJOSZ,X,O,X,X,X,X,O,X,O,X,X,X
LTIJOZS,O,X,X,X,X,X,O,X,O,X,X,X
LTISJZO,X,O,X,X,X,O,O,X,X,X,X,X
LTISJOZ,X,O,X,X,X,X,O,X,X,X,X,X
LTISZJO,X,X,X,X,X,O,O,X,X,O,X,X
LTISZOJ,X,O,X,X,X,O,O,X,X,O,X,X
LTISOJZ,X,O,X,X,X,O,O,X,X,X,X,X
LTISOZJ,X,O,X,X,X,O,O,X,X,X,X,X
LTIZJSO,O,X,X,X,O,O,O,X,O,X,X,X
LTIZJOS,O,X,X,X,O,O,O,X,O,X,X,X
LTIZSJO,X,X,X,X,O,O,O,X,X,X,X,X
LTIZSOJ,X,X,X,X,O,O,O,X,X,X,X,X
LTIZOJS,X,X,X,X,O,O,O,X,O,X,X,X
LTIZOSJ,X,X,X,X,O,O,O,X,X,X,X,X
LTIOJSZ,X,O,X,X,X,X,O,X,O,X,X,X
LTIOJZS,X,X,X,X,X,X,O,X,O,X,X,X
LTIOSJZ,X,O,X,X,X,X,O,X,X,X,X,X
LTIOSZJ,X,O,X,X,X,X,O,X,X,X,X,O
LTIOZJS,X,X,X,X,O,O,O,X,O,X,X,X
LTIOZSJ,X,X,X,X,O,O,O,X,X,X,X,O
LTJISZO,X,X,X,X,X,O,O,X,O,X,X,X
LTJISOZ,X,X,X,X,X,X,O,X,X,X,X,X
LTJIZSO,O,X,X,X,X,O,O,X,O,X,X,X
LTJIZOS,O,X,X,X,X,O,O,X,O,X,X,X
LTJIOSZ,X,X,X,X,X,X,O,X,O,X,X,X
LTJIOZS,O,X,X,X,X,X,O,X,O,X,X,X
LTJSIZO,X,O,X,X,X,O,X,O,O,X,O,X
LTJSIOZ,X,O,X,X,X,X,X,O,X,X,O,X
LTJSZIO,O,X,X,X,X,O,O,O,O,X,O,X
LTJSZOI,O,X,X,X,X,O,O,O,O,X,O,X
LTJSOIZ,X,O,X,X,X,O,X,O,X,X,O,X
LTJSOZI,O,X,X,X,X,O,X,O,X,X,O,X
LTJZISO,O,X,O,X,O,O,O,X,O,X,X,X
LTJZIOS,O,X,O,X,O,O,O,X,O,X,X,X
LTJZSIO,O,X,O,X,O,O,O,X,O,X,O,X
LTJZSOI,O,X,O,X,O,O,O,X,O,X,O,X
LTJZOIS,O,X,O,X,O,O,X,X,O,X,X,X
LTJZOSI,O,X,O,X,O,X,O,X,O,X,X,X
LTJOISZ,X,X,X,X,X,X,X,X,O,X,X,X
LTJOIZS,O,X,X,X,X,X,X,X,O,X,X,X
LTJOSIZ,X,O,X,X,X,X,X,O,O,X,X,X
LTJOSZI,O,X,X,X,X,O,X,O,O,X,X,X
LTJOZIS,O,X,O,X,O,O,X,X,O,X,X,X
LTJOZSI,O,X,O,X,O,X,O,X,O,X,X,X
LTSIJZO,X,O,X,O,X,O,O,X,X,X,X,X
LTSIJOZ,X,O,X,O,X,X,O,X,X,X,X,X
LTSIZJO,X,X,X,O,X,O,O,X,X,O,X,X
LTSIZOJ,X,O,X,O,X,O,O,X,X,O,X,X
LTSIOJZ,X,O,X,O,X,O,O,X,X,X,X,X
LTSIOZJ,X,O,X,O,X,O,O,X,X,X,X,X
LTSJIZO,X,O,X,O,X,O,X,O,X,X,O,X
LTSJIOZ,X,O,X,O,X,X,X,O,X,X,O,X
LTSJZIO,X,X,X,O,X,O,O,O,X,O,O,X
LTSJZOI,X,X,X,O,X,O,O,O,X,O,O,X
LTSJOIZ,X,O,X,O,X,O,X,O,X,X,O,X
LTSJOZI,X,X,X,O,X,O,X,O,X,X,O,X
LTSZIJO,X,X,X,O,O,O,O,X,X,O,X,X
LTSZIOJ,X,X,X,O,O,O,O,X,X,O,X,X
LTSZJIO,X,X,X,O,O,O,O,X,X,O,X,X
LTSZJOI,X,X,X,O,O,O,O,X,X,O,X,X
LTSZOIJ,X,X,X,O,O,O,X,X,X,O,X,X
LTSZOJI,X,X,X,O,O,O,O,X,X,O,X,X
LTSOIJZ,X,O,X,O,X,O,X,X,X,X,X,X
LTSOIZJ,X,O,X,O,X,O,X,X,X,X,X,X
LTSOJIZ,X,O,X,O,X,O,X,O,X,X,X,X
LTSOJZI,X,X,X,O,X,O,X,O,X,X,X,X
LTSOZIJ,X,X,X,O,O,O,X,X,X,O,X,X
LTSOZJI,X,X,X,O,O,O,X,X,X,O,X,X
LTZIJSO,O,X,O,X,O,O,O,X,O,X,X,X
LTZIJOS,O,X,O,X,O,O,O,X,O,X,X,X
LTZISJO,X,X,X,O,O,O,O,X,X,X,X,X
LTZISOJ,X,X,X,O,O,O,O,X,X,X,X,X
LTZIOJS,X,X,O,X,O,O,O,X,O,X,X,X
LTZIOSJ,X,X,X,O,O,O,O,X,X,X,X,X
LTZJISO,O,X,O,X,O,O,O,X,O,X,X,X
LTZJIOS,O,X,O,X,O,O,O,X,O,X,X,X
LTZJSIO,O,X,O,X,O,O,O,X,O,X,O,X
LTZJSOI,O,X,O,X,O,O,O,X,O,X,O,X
LTZJOIS,O,X,O,X,O,O,X,X,O,X,X,X
LTZJOSI,O,X,O,X,O,X,O,X,O,X,X,X
LTZSIJO,X,X,X,O,O,O,O,X,X,X,X,X
LTZSIOJ,X,X,X,O,O,O,O,X,X,X,X,X
LTZSJIO,X,X,X,O,O,O,O,X,X,X,X,X
LTZSJOI,X,X,X,O,O,O,O,X,X,X,X,X
LTZSOIJ,X,X,X,O,O,O,X,X,X,X,X,X
LTZSOJI,X,X,X,O,O,O,O,X,X,X,X,X
LTZOIJS,X,X,O,X,O,O,O,X,O,X,X,X
LTZOISJ,X,X,X,O,O,O,O,X,X,X,X,X
LTZOJIS,X,X,O,X,O,O,X,X,O,X,X,X
LTZOJSI,X,X,O,X,O,X,O,X,O,X,X,X
LTZOSIJ,X,X,X,O,O,O,X,X,X,X,X,X
LTZOSJI,X,X,X,O,O,O,O,X,X,X,X,X
LTOIJSZ,X,O,X,X,X,X,O,X,O,X,X,X
LTOIJZS,X,X,X,X,X,X,O,X,O,X,X,X
LTOISJZ,X,O,X,X,X,X,O,X,X,X,X,X
LTOISZJ,X,O,X,X,X,X,O,X,X,X,X,X
LTOIZJS,X,X,X,X,O,O,O,X,O,X,X,X
LTOIZSJ,X,X,X,X,O,O,O,X,X,X,X,X
LTOJISZ,X,X,X,X,X,X,X,X,O,X,X,X
LTOJIZS,X,X,X,X,X,X,X,X,O,X,X,X
LTOJSIZ,X,O,X,X,X,X,X,O,O,X,X,X
LTOJSZI,X,X,X,X,X,O,X,O,O,X,X,X
LTOJZIS,X,X,O,X,O,O,X,X,O,X,X,X
LTOJZSI,X,X,O,X,O,X,O,X,O,X,X,X
LTOSIJZ,X,O,X,O,X,O,X,X,X,X,X,X
LTOSIZJ,X,O,X,O,X,O,X,X,X,X,X,X
LTOSJIZ,X,O,X,O,X,O,X,O,X,X,X,X
LTOSJZI,X,X,X,O,X,O,X,O,X,X,X,X
LTOSZIJ,X,X,X,O,O,O,X,X,X,X,X,X
LTOSZJI,X,X,X,O,O,O,X,X,X,X,X,X
LTOZIJS,X,X,O,X,O,O,O,X,O,X,X,X
LTOZISJ,X,X,X,O,O,O,O,X,X,X,X,X
LTOZJIS,X,X,O,X,O,O,X,X,O,X,X,X
LTOZJSI,X,X,O,X,O,X,O,X,O,X,X,X
LTOZSIJ,X,X,X,O,O,O,X,X,X,X,X,X
LTOZSJI,X,X,X,O,O,O,O,X,X,X,X,X
LITJSZO,X,O,X,X,X,O,O,X,O,X,X,X
LITJSOZ,X,O,X,X,X,X,O,X,X,X,X,X
LITJZSO,O,X,X,X,X,O,O,X,O,X,X,X
LITJZOS,O,X,X,X,X,O,O,X,O,X,X,X
LITJOSZ,X,O,X,X,X,X,O,X,O,X,X,X
LITJOZS,O,X,X,X,X,X,O,X,O,X,X,X
LITSJZO,X,O,X,X,X,O,O,X,X,X,X,X
LITSJOZ,X,O,X,X,X,X,O,X,X,X,X,X
LITSZJO,X,X,X,X,X,O,O,X,X,O,X,X
LITSZOJ,X,O,X,X,X,O,O,X,X,O,X,X
LITSOJZ,X,O,X,X,X,O,O,X,X,X,X,X
LITSOZJ,X,O,X,X,X,O,O,X,X,X,X,X
LITZJSO,O,X,X,X,O,O,O,X,O,X,X,X
LITZJOS,O,X,X,X,O,O,O,X,O,X,X,X
LITZSJO,X,X,X,X,O,O,O,X,X,X,X,X
LITZSOJ,X,X,X,X,O,O,O,X,X,X,X,X
LITZOJS,X,X,X,X,O,O,O,X,O,X,X,X
LITZOSJ,X,X,X,X,O,O,O,X,X,X,X,X
LITOJSZ,X,O,X,X,X,X,O,X,O,X,X,X
LITOJZS,X,X,X,X,X,X,O,X,O,X,X,X
LITOSJZ,X,O,X,X,X,X,O,X,X,X,X,X
LITOSZJ,X,O,X,X,X,X,O,X,X,X,X,O
LITOZJS,X,X,X,X,O,O,O,X,O,X,X,X
LITOZSJ,X,X,X,X,O,O,O,X,X,X,X,O
LIJTSZO,X,O,X,X,X,O,O,X,O,X,X,X
LIJTSOZ,X,O,X,X,X,X,O,X,X,X,X,X
LIJTZSO,O,X,X,X,X,O,O,X,O,X,X,X
LIJTZOS,O,X,X,X,X,O,O,X,O,X,X,X
LIJTOSZ,X,O,X,X,X,X,O,X,O,X,X,X
LIJTOZS,O,X,X,X,X,X,O,X,O,X,X,X
LIJSTZO,X,O,X,X,X,X,O,O,O,X,X,X
LIJSTOZ,X,O,X,X,X,X,O,O,X,X,X,X
LIJSZTO,O,O,X,X,X,X,O,X,O,O,X,X
LIJSZOT,O,O,X,X,X,X,O,X,O,X,X,X
LIJSOTZ,X,O,X,X,X,X,O,X,O,X,X,X
LIJSOZT,O,O,X,X,X,X,O,X,O,X,X,X
LIJZTSO,O,X,O,X,O,X,O,X,O,X,X,X
LIJZTOS,O,X,O,X,O,X,O,X,O,X,X,X
LIJZSTO,O,X,X,X,X,X,O,X,O,X,X,X
LIJZSOT,O,X,X,X,X,X,O,X,O,X,X,X
LIJZOTS,O,X,O,X,O,X,O,X,O,X,X,X
LIJZOST,O,X,X,X,X,X,O,X,O,X,X,X
LIJOTSZ,X,O,X,X,X,X,O,X,O,X,X,X
LIJOTZS,O,X,X,X,X,X,O,X,O,X,X,X
LIJOSTZ,X,O,X,X,X,X,O,X,O,X,X,X
LIJOSZT,O,O,X,X,X,X,O,X,O,X,X,X
LIJOZTS,O,X,O,X,O,X,O,X,O,X,X,X
LIJOZST,O,X,X,X,X,X,O,X,O,X,X,X
LISTJZO,X,O,X,O,X,X,O,X,X,X,X,X
LISTJOZ,X,O,X,O,X,X,O,X,X,X,X,X
LISTZJO,X,X,X,O,X,O,O,X,X,O,X,X
LISTZOJ,X,O,X,O,X,O,O,X,X,O,X,X
LISTOJZ,X,O,X,O,X,X,O,X,X,X,X,X
LISTOZJ,X,O,X,O,X,X,O,X,X,X,X,X
LISJTZO,X,O,X,X,X,X,O,X,O,X,X,X
LISJTOZ,X,O,X,X,X,X,O,X,X,X,X,X
LISJZTO,O,O,X,X,X,X,O,X,O,O,X,X
LISJZOT,O,O,X,X,X,X,O,X,O,X,X,X
LISJOTZ,X,O,X,X,X,X,O,X,O,X,X,X
LISJOZT,O,O,X,X,X,X,O,X,O,X,X,X
LISZTJO,X,X,X,O,O,X,O,X,X,O,X,X
LISZTOJ,X,O,X,O,O,X,O,X,X,O,X,X
LISZJTO,O,X,X,O,X,X,O,X,O,O,X,X
LISZJOT,O,X,X,O,X,X,O,X,O,X,X,X
LISZOTJ,X,O,X,O,O,X,O,X,X,O,X,X
LISZOJT,X,X,X,O,X,X,O,X,O,X,X,X
LISOTJZ,X,O,X,O,X,X,O,X,X,X,X,X
LISOTZJ,X,O,X,O,X,X,O,X,X,X,X,O
LISOJTZ,X,O,X,X,X,X,O,X,O,X,X,X
LISOJZT,X,O,X,X,X,X,O,X,O,X,X,X
LISOZTJ,X,O,X,O,O,X,O,X,X,O,X,O
LISOZJT,X,X,X,O,X,X,O,X,O,X,X,X
LIZTJSO,O,X,O,X,O,O,O,X,O,X,X,X
LIZTJOS,O,X,O,X,O,O,O,X,O,X,X,X
LIZTSJO,X,X,X,O,O,O,O,X,X,X,X,X
LIZTSOJ,X,X,X,O,O,O,O,X,X,X,X,X
